prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has playing area,playing area of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7258; levenshtein=0.6429; semantic=0.8731; sequence_match=0.8148,False,0.8046,False,gold already mapped to 'has playing area'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,offers achievement,sequence_match+jaro_winkler+semantic,jaro_winkler=0.7432; levenshtein=0.7059; semantic=0.7201; sequence_match=0.7742,False,0.7458,False,gold already mapped to 'has achievement'
ObjectProperty,has item,owns item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'has item'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,gold already mapped to 'owns item'
ObjectProperty,has item,has type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6372; sequence_match=0.7143,False,0.7394,False,gold already mapped to 'has item'
ObjectProperty,has achievement,type of achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6897; levenshtein=0.6471; semantic=0.7864; sequence_match=0.7097,False,0.7286,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8683; levenshtein=0.4667; semantic=0.7030; sequence_match=0.6087,False,0.7267,False,gold already mapped to 'offers achievement'
ObjectProperty,owns achievement,type of achievement,sequence_match+semantic+jaro_winkler,jaro_winkler=0.6964; levenshtein=0.6471; semantic=0.7264; sequence_match=0.7500,False,0.7243,False,gold already mapped to 'offers achievement'
ObjectProperty,owns character,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8423; levenshtein=0.4615; semantic=0.7426; sequence_match=0.5714,False,0.7188,False,pred already taken by 'owns item'
ObjectProperty,plays game,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7328; levenshtein=0.5714; semantic=0.6996; sequence_match=0.6957,False,0.7094,False,gold already mapped to 'plays game'
ObjectProperty,plays game,playing area of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8632; levenshtein=0.5385; semantic=0.6163; sequence_match=0.6364,False,0.7053,False,gold already mapped to 'plays game'
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has achievement,achieved by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6857; levenshtein=0.5000; semantic=0.7748; sequence_match=0.5833,False,0.6813,False,top-3 avg score 0.6813 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,is achievement in game,offers achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6625; levenshtein=0.4211; semantic=0.6958; sequence_match=0.6667,False,0.675,False,top-3 avg score 0.6750 < final_threshold 0.7
ObjectProperty,has achievement,has equipment,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8065; levenshtein=0.5714; semantic=0.5953; sequence_match=0.6154,False,0.6724,False,top-3 avg score 0.6724 < final_threshold 0.7
ObjectProperty,has item,usable item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7079; levenshtein=0.5000; semantic=0.7200; sequence_match=0.5882,False,0.672,False,top-3 avg score 0.6720 < final_threshold 0.7
ObjectProperty,owns item,owned by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.7823; sequence_match=0.5333,False,0.6687,False,top-3 avg score 0.6687 < final_threshold 0.7
ObjectProperty,owns achievement,achieved by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.4667; semantic=0.7210; sequence_match=0.5600,False,0.6677,False,top-3 avg score 0.6677 < final_threshold 0.7
ObjectProperty,plays game,played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.7486; sequence_match=0.5882,False,0.6617,False,top-3 avg score 0.6617 < final_threshold 0.7
ObjectProperty,has character,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
ObjectProperty,has game genre,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.6653; sequence_match=0.5714,False,0.653,False,top-3 avg score 0.6530 < final_threshold 0.7
ObjectProperty,has item,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.4167; semantic=0.6077; sequence_match=0.5263,False,0.6484,False,top-3 avg score 0.6484 < final_threshold 0.7
ObjectProperty,has achievement,has resident,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8072; levenshtein=0.5000; semantic=0.5756; sequence_match=0.5600,False,0.6476,False,top-3 avg score 0.6476 < final_threshold 0.7
ObjectProperty,is character in game,usable in game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6487; levenshtein=0.5294; semantic=0.6666; sequence_match=0.6207,False,0.6453,False,top-3 avg score 0.6453 < final_threshold 0.7
ObjectProperty,has playing area,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,plays game,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,is character in game,contained in game,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7026; levenshtein=0.5294; semantic=0.6787; sequence_match=0.5000,False,0.6369,False,top-3 avg score 0.6369 < final_threshold 0.7
ObjectProperty,is achievement in game,type of achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6125; levenshtein=0.3684; semantic=0.6803; sequence_match=0.6111,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,is session in game,contained in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7111; levenshtein=0.4000; semantic=0.6411; sequence_match=0.5333,False,0.6285,False,top-3 avg score 0.6285 < final_threshold 0.7
ObjectProperty,owns item,usable item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.6867; sequence_match=0.5556,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,has game genre,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5386; sequence_match=0.5385,False,0.6279,False,top-3 avg score 0.6279 < final_threshold 0.7
ObjectProperty,is achievement in game,contained in game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6495; levenshtein=0.4211; semantic=0.6987; sequence_match=0.5294,False,0.6259,False,top-3 avg score 0.6259 < final_threshold 0.7
ObjectProperty,is session in game,usable in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6917; levenshtein=0.4667; semantic=0.5918; sequence_match=0.5926,False,0.6254,False,top-3 avg score 0.6254 < final_threshold 0.7
ObjectProperty,is friend with player,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7202; sequence_match=0.5185,False,0.6219,False,top-3 avg score 0.6219 < final_threshold 0.7
ObjectProperty,has playing area,last played game,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6508; levenshtein=0.5714; semantic=0.4858; sequence_match=0.6429,False,0.6217,False,top-3 avg score 0.6217 < final_threshold 0.7
ObjectProperty,has playing area,has genre,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.4903; sequence_match=0.5455,False,0.6189,False,top-3 avg score 0.6189 < final_threshold 0.7
ObjectProperty,has achievement,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6360; sequence_match=0.5217,False,0.6187,False,top-3 avg score 0.6187 < final_threshold 0.7
ObjectProperty,has game genre,genre of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5595; levenshtein=0.2500; semantic=0.7617; sequence_match=0.5263,False,0.6159,False,top-3 avg score 0.6159 < final_threshold 0.7
ObjectProperty,involves player,made by player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5992; levenshtein=0.4286; semantic=0.6984; sequence_match=0.5385,False,0.612,False,top-3 avg score 0.6120 < final_threshold 0.7
ObjectProperty,has item,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6007; sequence_match=0.5333,False,0.6082,False,top-3 avg score 0.6082 < final_threshold 0.7
ObjectProperty,has character,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.6890; sequence_match=0.4615,False,0.6044,False,top-3 avg score 0.6044 < final_threshold 0.7
ObjectProperty,has feature,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7994; levenshtein=0.3333; semantic=0.5494; sequence_match=0.4545,False,0.6011,False,top-3 avg score 0.6011 < final_threshold 0.7
ObjectProperty,is leaderboard in game,usable in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6804; levenshtein=0.4737; semantic=0.5396; sequence_match=0.5806,False,0.6002,False,top-3 avg score 0.6002 < final_threshold 0.7
ObjectProperty,has character,has type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.6367; sequence_match=0.5263,False,0.5993,False,top-3 avg score 0.5993 < final_threshold 0.7
ObjectProperty,is achievement in game,usable in game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5931; levenshtein=0.4737; semantic=0.6239; sequence_match=0.5806,False,0.5992,False,top-3 avg score 0.5992 < final_threshold 0.7
ObjectProperty,has character,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.6636; sequence_match=0.4762,False,0.5991,False,top-3 avg score 0.5991 < final_threshold 0.7
ObjectProperty,has feature,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.6542; sequence_match=0.4706,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.7
ObjectProperty,plays game,usable in game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6442; levenshtein=0.4167; semantic=0.6684; sequence_match=0.4762,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.7
ObjectProperty,has feature,has type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6714; levenshtein=0.5000; semantic=0.6082; sequence_match=0.4706,False,0.5932,False,top-3 avg score 0.5932 < final_threshold 0.7
ObjectProperty,has character,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.4167; semantic=0.5926; sequence_match=0.5000,False,0.591,False,top-3 avg score 0.5910 < final_threshold 0.7
ObjectProperty,is leaderboard in game,contained in game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6192; levenshtein=0.4211; semantic=0.6244; sequence_match=0.5294,False,0.591,False,top-3 avg score 0.5910 < final_threshold 0.7
ObjectProperty,has playing area,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.3571; semantic=0.4998; sequence_match=0.4762,False,0.5902,False,top-3 avg score 0.5902 < final_threshold 0.7
ObjectProperty,has leaderboard,has made IAP,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6857; levenshtein=0.5000; semantic=0.4207; sequence_match=0.5833,False,0.5897,False,top-3 avg score 0.5897 < final_threshold 0.7
ObjectProperty,has item,has resident,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6563; levenshtein=0.4545; semantic=0.5485; sequence_match=0.5556,False,0.5868,False,top-3 avg score 0.5868 < final_threshold 0.7
ObjectProperty,has item,has made IAP,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8344; levenshtein=0.4000; semantic=0.4339; sequence_match=0.4706,False,0.5796,False,top-3 avg score 0.5796 < final_threshold 0.7
ObjectProperty,has game genre,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.5375; sequence_match=0.5385,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.7
ObjectProperty,has game genre,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.6248; sequence_match=0.4615,False,0.5764,False,top-3 avg score 0.5764 < final_threshold 0.7
ObjectProperty,is achievement in game,achieved by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5942; levenshtein=0.3684; semantic=0.6457; sequence_match=0.4828,False,0.5742,False,top-3 avg score 0.5742 < final_threshold 0.7
ObjectProperty,owns character,owned by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5531; levenshtein=0.2308; semantic=0.7608; sequence_match=0.4000,False,0.5713,False,top-3 avg score 0.5713 < final_threshold 0.7
ObjectProperty,purchases game offering,offered by game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5287; levenshtein=0.1905; semantic=0.8271; sequence_match=0.3529,False,0.5696,False,top-3 avg score 0.5696 < final_threshold 0.7
ObjectProperty,has achievement,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.5840; sequence_match=0.4545,False,0.5664,False,top-3 avg score 0.5664 < final_threshold 0.7
ObjectProperty,has feature,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.6594; sequence_match=0.4167,False,0.5656,False,top-3 avg score 0.5656 < final_threshold 0.7
ObjectProperty,has playing area,usable in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6210; levenshtein=0.4286; semantic=0.5202; sequence_match=0.5385,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has character,has resident,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.2500; semantic=0.6177; sequence_match=0.4348,False,0.5596,False,top-3 avg score 0.5596 < final_threshold 0.7
ObjectProperty,owns achievement,owned by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6127; levenshtein=0.2667; semantic=0.7000; sequence_match=0.3636,False,0.5588,False,top-3 avg score 0.5588 < final_threshold 0.7
ObjectProperty,lives in,has resident,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5617; levenshtein=0.3636; semantic=0.6661; sequence_match=0.4444,False,0.5574,False,top-3 avg score 0.5574 < final_threshold 0.7
ObjectProperty,has feature,has resident,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.3636; semantic=0.5332; sequence_match=0.4762,False,0.5563,False,top-3 avg score 0.5563 < final_threshold 0.7
ObjectProperty,has game genre,has equipment,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6746; levenshtein=0.3333; semantic=0.4853; sequence_match=0.5000,False,0.5533,False,top-3 avg score 0.5533 < final_threshold 0.7
ObjectProperty,purchases game offering,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6085; levenshtein=0.3333; semantic=0.5834; sequence_match=0.4667,False,0.5529,False,top-3 avg score 0.5529 < final_threshold 0.7
ObjectProperty,is leaderboard in game,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6135; levenshtein=0.3684; semantic=0.5569; sequence_match=0.4848,False,0.5518,False,top-3 avg score 0.5518 < final_threshold 0.7
ObjectProperty,has feature,has playing area,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5499; sequence_match=0.4167,False,0.5516,False,top-3 avg score 0.5516 < final_threshold 0.7
ObjectProperty,is friend with player,made by player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5787; levenshtein=0.3889; semantic=0.6060; sequence_match=0.4667,False,0.5504,False,top-3 avg score 0.5504 < final_threshold 0.7
ObjectProperty,owns achievement,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6722; levenshtein=0.4000; semantic=0.5342; sequence_match=0.4444,False,0.5503,False,top-3 avg score 0.5503 < final_threshold 0.7
ObjectProperty,plays game,offered by game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5134; levenshtein=0.3077; semantic=0.6825; sequence_match=0.4545,False,0.5502,False,top-3 avg score 0.5502 < final_threshold 0.7
ObjectProperty,owns item,contained in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.2667; semantic=0.5508; sequence_match=0.4348,False,0.5489,False,top-3 avg score 0.5489 < final_threshold 0.7
ObjectProperty,involves player,played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5298; levenshtein=0.2143; semantic=0.6602; sequence_match=0.4545,False,0.5482,False,top-3 avg score 0.5482 < final_threshold 0.7
ObjectProperty,has game genre,has resident,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6818; levenshtein=0.4167; semantic=0.4407; sequence_match=0.5217,False,0.5481,False,top-3 avg score 0.5481 < final_threshold 0.7
ObjectProperty,has item,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.2857; semantic=0.4766; sequence_match=0.4762,False,0.5478,False,top-3 avg score 0.5478 < final_threshold 0.7
ObjectProperty,owns achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6968; levenshtein=0.2667; semantic=0.5768; sequence_match=0.3636,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.7
ObjectProperty,is player in session,playing area of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6295; levenshtein=0.4118; semantic=0.4724; sequence_match=0.5333,False,0.545,False,top-3 avg score 0.5450 < final_threshold 0.7
ObjectProperty,plays game,last played by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6442; levenshtein=0.2500; semantic=0.5090; sequence_match=0.4762,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,purchases game offering,offers achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6327; levenshtein=0.1905; semantic=0.6254; sequence_match=0.3684,False,0.5422,False,top-3 avg score 0.5422 < final_threshold 0.7
ObjectProperty,purchases game offering,usable in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6409; levenshtein=0.2381; semantic=0.5578; sequence_match=0.4242,False,0.541,False,top-3 avg score 0.5410 < final_threshold 0.7
ObjectProperty,has leaderboard,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4974; sequence_match=0.4545,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.7
ObjectProperty,owns achievement,contained in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.2000; semantic=0.5330; sequence_match=0.4667,False,0.5406,False,top-3 avg score 0.5406 < final_threshold 0.7
ObjectProperty,has game genre,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.5631; sequence_match=0.4211,False,0.5397,False,top-3 avg score 0.5397 < final_threshold 0.7
ObjectProperty,has game genre,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5528; sequence_match=0.4211,False,0.5392,False,top-3 avg score 0.5392 < final_threshold 0.7
ObjectProperty,plays game,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.4984; sequence_match=0.4706,False,0.539,False,top-3 avg score 0.5390 < final_threshold 0.7
ObjectProperty,has character,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.3571; semantic=0.5075; sequence_match=0.4615,False,0.5386,False,top-3 avg score 0.5386 < final_threshold 0.7
ObjectProperty,has game genre,usable in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.5846; sequence_match=0.4167,False,0.5375,False,top-3 avg score 0.5375 < final_threshold 0.7
ObjectProperty,is player in session,played by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5707; sequence_match=0.4000,False,0.5368,False,top-3 avg score 0.5368 < final_threshold 0.7
ObjectProperty,is character in game,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6342; levenshtein=0.3529; semantic=0.4581; sequence_match=0.5161,False,0.5361,False,top-3 avg score 0.5361 < final_threshold 0.7
ObjectProperty,has item,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has playing area,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has leaderboard,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3571; semantic=0.5015; sequence_match=0.4286,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,has achievement,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6023; sequence_match=0.3810,False,0.5341,False,top-3 avg score 0.5341 < final_threshold 0.7
ObjectProperty,is leaderboard in game,offered by game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6109; levenshtein=0.3684; semantic=0.5471; sequence_match=0.4375,False,0.5318,False,top-3 avg score 0.5318 < final_threshold 0.7
ObjectProperty,is player in session,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6500; levenshtein=0.3529; semantic=0.4288; sequence_match=0.5161,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.7
ObjectProperty,is character in game,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6500; levenshtein=0.3529; semantic=0.4876; sequence_match=0.4516,False,0.5298,False,top-3 avg score 0.5298 < final_threshold 0.7
ObjectProperty,has achievement,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5367; sequence_match=0.4286,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has playing area,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5367; sequence_match=0.4286,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has leaderboard,has resident,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6169; levenshtein=0.3571; semantic=0.4874; sequence_match=0.4800,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has playing area,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5056; sequence_match=0.4348,False,0.5278,False,top-3 avg score 0.5278 < final_threshold 0.7
ObjectProperty,plays game,made by player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5093; levenshtein=0.2500; semantic=0.5949; sequence_match=0.4762,False,0.5268,False,top-3 avg score 0.5268 < final_threshold 0.7
ObjectProperty,has achievement,lives in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.5737; sequence_match=0.3810,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
ObjectProperty,lives in,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.5737; sequence_match=0.3810,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
ObjectProperty,has game genre,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6574; levenshtein=0.4167; semantic=0.4441; sequence_match=0.4762,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,is character in session,has resident,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6364; levenshtein=0.2500; semantic=0.4887; sequence_match=0.4516,False,0.5255,False,top-3 avg score 0.5255 < final_threshold 0.7
ObjectProperty,has leaderboard,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.4944; sequence_match=0.4348,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,involves player,last played game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5893; levenshtein=0.1429; semantic=0.4822; sequence_match=0.5000,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.7
ObjectProperty,owns achievement,has resident,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6702; levenshtein=0.3333; semantic=0.5162; sequence_match=0.3846,False,0.5237,False,top-3 avg score 0.5237 < final_threshold 0.7
