role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,haspermission,haspermission,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,consequence,isconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8273; sequence_match=0.8462,False,0.8413,True,selected
property,hasprohibition,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.3571; semantic=0.6033; sequence_match=0.5714,False,0.6773,False,pred already taken by 'hasaction' (higher averaged score)
property,hasaction,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8088; levenshtein=0.4444; semantic=0.6322; sequence_match=0.5882,False,0.6764,False,gold already mapped to 'haspart'
property,hasoperator,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8217; levenshtein=0.3636; semantic=0.6487; sequence_match=0.5556,False,0.6753,False,gold already mapped to 'usesoperator'
property,hasduty,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8000; levenshtein=0.4286; semantic=0.6543; sequence_match=0.5714,False,0.6752,False,gold already mapped to 'hasduty'
property,hasaction,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8260; levenshtein=0.3846; semantic=0.6452; sequence_match=0.5455,False,0.6722,False,gold already mapped to 'haspart'
property,andsequence,isconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7690; levenshtein=0.5333; semantic=0.5522; sequence_match=0.6923,False,0.6712,False,pred already taken by 'consequence' (higher averaged score)
property,hasprohibition,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.6242; sequence_match=0.5455,False,0.6635,False,gold already mapped to 'hasparty'
property,hasoperator,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8075; levenshtein=0.4615; semantic=0.5869; sequence_match=0.5833,False,0.6592,False,gold already mapped to 'usesoperator'
property,hasaction,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7966; levenshtein=0.4615; semantic=0.6187; sequence_match=0.5455,False,0.6536,False,gold already mapped to 'haspart'
property,hasduty,hasright,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.7369; sequence_match=0.5333,False,0.6536,False,gold already mapped to 'hasduty'
property,hasoperator,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.4615; semantic=0.6425; sequence_match=0.5833,False,0.6344,False,gold already mapped to 'usesoperator'
property,hasoperator,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.3636; semantic=0.6721; sequence_match=0.5263,False,0.6305,False,gold already mapped to 'usesoperator'
property,operand,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6437; levenshtein=0.4167; semantic=0.7147; sequence_match=0.5263,False,0.6282,False,pred already taken by 'hasoperator' (higher averaged score)
property,hasconstraint,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8021; levenshtein=0.3846; semantic=0.6799; sequence_match=0.4000,False,0.6273,False,gold already mapped to 'hasconstraint'
property,hasaction,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.7063; sequence_match=0.5000,False,0.6261,False,gold already mapped to 'haspart'
property,hasaction,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6786; sequence_match=0.5000,False,0.6168,False,gold already mapped to 'haspart'
property,partof,haspart,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4365; levenshtein=0.2857; semantic=0.7828; sequence_match=0.6154,False,0.6116,False,pred already taken by 'hasaction' (higher averaged score)
property,hasaction,hassubconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7991; levenshtein=0.3750; semantic=0.5396; sequence_match=0.4800,False,0.6062,False,gold already mapped to 'haspart'
property,haspermission,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6996; levenshtein=0.3846; semantic=0.5957; sequence_match=0.5000,False,0.5984,False,top-3 avg score 0.5984 < final_threshold 0.6
property,haspermission,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6699; levenshtein=0.3846; semantic=0.6481; sequence_match=0.4762,False,0.5981,False,top-3 avg score 0.5981 < final_threshold 0.6
property,hasprohibition,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.6221; sequence_match=0.4762,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.6
property,hasaction,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6602; levenshtein=0.3333; semantic=0.6505; sequence_match=0.4706,False,0.5937,False,top-3 avg score 0.5937 < final_threshold 0.6
property,partof,hasparty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.5661; sequence_match=0.5714,False,0.5921,False,top-3 avg score 0.5921 < final_threshold 0.6
property,hasduty,hasrole,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6190; levenshtein=0.4286; semantic=0.7193; sequence_match=0.4286,False,0.5890,False,top-3 avg score 0.5890 < final_threshold 0.6
property,scope,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5789; sequence_match=0.5000,False,0.5850,False,top-3 avg score 0.5850 < final_threshold 0.6
property,target,hasright,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7222; levenshtein=0.5000; semantic=0.5325; sequence_match=0.1429,False,0.5849,False,top-3 avg score 0.5849 < final_threshold 0.6
property,hasoperator,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6627; sequence_match=0.4444,False,0.5840,False,top-3 avg score 0.5840 < final_threshold 0.6
property,assignee,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5612; sequence_match=0.5000,False,0.5759,False,top-3 avg score 0.5759 < final_threshold 0.6
property,relation,directlylinked,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6151; levenshtein=0.2857; semantic=0.6551; sequence_match=0.4545,False,0.5749,False,top-3 avg score 0.5749 < final_threshold 0.6
property,scope,specifies,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6648; levenshtein=0.3333; semantic=0.6259; sequence_match=0.4286,False,0.5731,False,top-3 avg score 0.5731 < final_threshold 0.6
property,assigner,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5481; sequence_match=0.5000,False,0.5716,False,top-3 avg score 0.5716 < final_threshold 0.6
property,hasoperator,hassubconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3750; semantic=0.5484; sequence_match=0.5185,False,0.5702,False,top-3 avg score 0.5702 < final_threshold 0.6
property,consequence,constrains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6515; levenshtein=0.4545; semantic=0.5711; sequence_match=0.4762,False,0.5663,False,top-3 avg score 0.5663 < final_threshold 0.6
property,haspermission,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6699; levenshtein=0.3846; semantic=0.5525; sequence_match=0.4762,False,0.5662,False,top-3 avg score 0.5662 < final_threshold 0.6
property,hasprohibition,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6456; levenshtein=0.3571; semantic=0.6812; sequence_match=0.3704,False,0.5657,False,top-3 avg score 0.5657 < final_threshold 0.6
property,hasprohibition,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6964; sequence_match=0.3810,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.6
property,hasduty,hassubconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6756; levenshtein=0.3125; semantic=0.5853; sequence_match=0.4348,False,0.5652,False,top-3 avg score 0.5652 < final_threshold 0.6
property,or,constrains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.2000; semantic=0.6284; sequence_match=0.3333,False,0.5650,False,top-3 avg score 0.5650 < final_threshold 0.6
property,hasduty,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6626; sequence_match=0.4000,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,hasconstraint,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6626; sequence_match=0.4000,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,hasprohibition,hassubconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6610; levenshtein=0.3125; semantic=0.6209; sequence_match=0.4000,False,0.5606,False,top-3 avg score 0.5606 < final_threshold 0.6
property,failure,activateduponfailureof,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5011; levenshtein=0.3182; semantic=0.6961; sequence_match=0.4828,False,0.5600,False,top-3 avg score 0.5600 < final_threshold 0.6
property,target,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5684; sequence_match=0.4615,False,0.5576,False,top-3 avg score 0.5576 < final_threshold 0.6
property,hasconstraint,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6386; sequence_match=0.4000,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
property,operand,constrains,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5738; levenshtein=0.4000; semantic=0.6267; sequence_match=0.4706,False,0.5570,False,top-3 avg score 0.5570 < final_threshold 0.6
property,hasconstraint,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6816; levenshtein=0.3077; semantic=0.6041; sequence_match=0.3810,False,0.5556,False,top-3 avg score 0.5556 < final_threshold 0.6
property,inheritrelation,haspermission,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6684; levenshtein=0.3333; semantic=0.4947; sequence_match=0.5000,False,0.5544,False,top-3 avg score 0.5544 < final_threshold 0.6
property,obligation,violates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.2000; semantic=0.5719; sequence_match=0.4444,False,0.5527,False,top-3 avg score 0.5527 < final_threshold 0.6
property,hasconstraint,hasright,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.6576; sequence_match=0.3810,False,0.5485,False,top-3 avg score 0.5485 < final_threshold 0.6
property,scope,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.3333; semantic=0.5453; sequence_match=0.4706,False,0.5479,False,top-3 avg score 0.5479 < final_threshold 0.6
property,haspermission,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6078; sequence_match=0.4000,False,0.5469,False,top-3 avg score 0.5469 < final_threshold 0.6
property,haspermission,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6447; levenshtein=0.3077; semantic=0.6044; sequence_match=0.3846,False,0.5446,False,top-3 avg score 0.5446 < final_threshold 0.6
property,hasconstraint,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6447; levenshtein=0.3077; semantic=0.6044; sequence_match=0.3846,False,0.5446,False,top-3 avg score 0.5446 < final_threshold 0.6
property,partof,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5235; sequence_match=0.4615,False,0.5426,False,top-3 avg score 0.5426 < final_threshold 0.6
property,assigner,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5430; sequence_match=0.4762,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
property,assigner,hassubconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6458; levenshtein=0.3125; semantic=0.5526; sequence_match=0.4167,False,0.5384,False,top-3 avg score 0.5384 < final_threshold 0.6
property,inheritsfrom,involves,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2500; semantic=0.6039; sequence_match=0.4000,False,0.5383,False,top-3 avg score 0.5383 < final_threshold 0.6
property,hasoperator,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.2727; semantic=0.5671; sequence_match=0.4211,False,0.5382,False,top-3 avg score 0.5382 < final_threshold 0.6
property,hasconstraint,isconsequenceof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6205; levenshtein=0.3333; semantic=0.5525; sequence_match=0.4286,False,0.5339,False,top-3 avg score 0.5339 < final_threshold 0.6
property,hasduty,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.5980; sequence_match=0.4000,False,0.5331,False,top-3 avg score 0.5331 < final_threshold 0.6
property,scope,isconsequenceof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.2667; semantic=0.4982; sequence_match=0.4000,False,0.5290,False,top-3 avg score 0.5290 < final_threshold 0.6
property,assigner,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.4931; sequence_match=0.4762,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.6
property,haspermission,hassubconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6775; levenshtein=0.3125; semantic=0.4798; sequence_match=0.4138,False,0.5237,False,top-3 avg score 0.5237 < final_threshold 0.6
property,target,haspart,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.2857; semantic=0.5697; sequence_match=0.4615,False,0.5236,False,top-3 avg score 0.5236 < final_threshold 0.6
property,assignee,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5679; sequence_match=0.4000,False,0.5230,False,top-3 avg score 0.5230 < final_threshold 0.6
property,haspermission,specifies,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.4558; sequence_match=0.4545,False,0.5214,False,top-3 avg score 0.5214 < final_threshold 0.6
property,hasaction,activateduponfailureof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.1364; semantic=0.5696; sequence_match=0.3871,False,0.5200,False,top-3 avg score 0.5200 < final_threshold 0.6
property,target,hasparty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.5041; sequence_match=0.4286,False,0.5192,False,top-3 avg score 0.5192 < final_threshold 0.6
property,haspermission,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6026; levenshtein=0.2308; semantic=0.5736; sequence_match=0.3810,False,0.5190,False,top-3 avg score 0.5190 < final_threshold 0.6
property,failure,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2857; semantic=0.4959; sequence_match=0.4286,False,0.5185,False,top-3 avg score 0.5185 < final_threshold 0.6
property,function,constrains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.3000; semantic=0.5755; sequence_match=0.3333,False,0.5168,False,top-3 avg score 0.5168 < final_threshold 0.6
property,inheritsfrom,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5644; levenshtein=0.3077; semantic=0.5042; sequence_match=0.4800,False,0.5162,False,top-3 avg score 0.5162 < final_threshold 0.6
property,assignee,hassubconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5479; sequence_match=0.4167,False,0.5160,False,top-3 avg score 0.5160 < final_threshold 0.6
property,hasprohibition,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2143; semantic=0.5864; sequence_match=0.3636,False,0.5147,False,top-3 avg score 0.5147 < final_threshold 0.6
property,targetpolicy,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.2500; semantic=0.4765; sequence_match=0.4211,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.6
property,and,hasduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.4884; sequence_match=0.4000,False,0.5131,False,top-3 avg score 0.5131 < final_threshold 0.6
property,relation,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6816; levenshtein=0.3077; semantic=0.4765; sequence_match=0.3810,False,0.5130,False,top-3 avg score 0.5130 < final_threshold 0.6
property,partof,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.4707; sequence_match=0.4286,False,0.5127,False,top-3 avg score 0.5127 < final_threshold 0.6
property,scope,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5131; levenshtein=0.2727; semantic=0.6485; sequence_match=0.3750,False,0.5122,False,top-3 avg score 0.5122 < final_threshold 0.6
property,assigner,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5282; sequence_match=0.4000,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.6
property,assigner,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5993; sequence_match=0.4000,False,0.5090,False,top-3 avg score 0.5090 < final_threshold 0.6
property,remedy,expressedvia,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.3333; semantic=0.4976; sequence_match=0.4444,False,0.5085,False,top-3 avg score 0.5085 < final_threshold 0.6
property,assignee,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5277; sequence_match=0.4762,False,0.5077,False,top-3 avg score 0.5077 < final_threshold 0.6
property,scope,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5764; sequence_match=0.3333,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.6
property,failure,isexclusive,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5617; levenshtein=0.2727; semantic=0.5130; sequence_match=0.4444,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.6
property,hasconstraint,supports,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6032; levenshtein=0.1538; semantic=0.6246; sequence_match=0.2857,False,0.5045,False,top-3 avg score 0.5045 < final_threshold 0.6
property,handlepolicyconflicts,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2381; semantic=0.4766; sequence_match=0.4118,False,0.5040,False,top-3 avg score 0.5040 < final_threshold 0.6
property,assigner,haspart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.5079; sequence_match=0.4000,False,0.5030,False,top-3 avg score 0.5030 < final_threshold 0.6
property,hasaction,constrains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2000; semantic=0.5419; sequence_match=0.3158,False,0.5007,False,top-3 avg score 0.5007 < final_threshold 0.6
property,assignee,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5379; levenshtein=0.1818; semantic=0.5422; sequence_match=0.4211,False,0.5004,False,top-3 avg score 0.5004 < final_threshold 0.6
property,inheritsfrom,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.2500; semantic=0.5226; sequence_match=0.4211,False,0.4984,False,top-3 avg score 0.4984 < final_threshold 0.6
property,scope,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.1538; semantic=0.5487; sequence_match=0.3333,False,0.4974,False,top-3 avg score 0.4974 < final_threshold 0.6
property,inheritsfrom,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.1667; semantic=0.5428; sequence_match=0.4000,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.6
property,assignee,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.4930; sequence_match=0.4762,False,0.4961,False,top-3 avg score 0.4961 < final_threshold 0.6
property,scope,haspart,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5619; levenshtein=0.1429; semantic=0.5859; sequence_match=0.3333,False,0.4937,False,top-3 avg score 0.4937 < final_threshold 0.6
property,handlepolicyconflicts,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5821; levenshtein=0.2857; semantic=0.5445; sequence_match=0.3529,False,0.4932,False,top-3 avg score 0.4932 < final_threshold 0.6
property,remedy,directlylinked,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5675; levenshtein=0.2143; semantic=0.5094; sequence_match=0.4000,False,0.4923,False,top-3 avg score 0.4923 < final_threshold 0.6
property,scope,subclassof,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.2000; semantic=0.5421; sequence_match=0.4000,False,0.4918,False,top-3 avg score 0.4918 < final_threshold 0.6
property,hasconstraint,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.2308; semantic=0.5304; sequence_match=0.4000,False,0.4910,False,top-3 avg score 0.4910 < final_threshold 0.6
property,relation,violates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5144; sequence_match=0.3750,False,0.4909,False,top-3 avg score 0.4909 < final_threshold 0.6
property,relation,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5426; sequence_match=0.4000,False,0.4901,False,top-3 avg score 0.4901 < final_threshold 0.6
property,onlyone,violates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.4659; sequence_match=0.4000,False,0.4890,False,top-3 avg score 0.4890 < final_threshold 0.6
property,hasconstraint,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.1538; semantic=0.5713; sequence_match=0.3333,False,0.4872,False,top-3 avg score 0.4872 < final_threshold 0.6
property,onlyone,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2857; semantic=0.5090; sequence_match=0.4286,False,0.4871,False,top-3 avg score 0.4871 < final_threshold 0.6
property,haspermission,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5531; levenshtein=0.2308; semantic=0.6055; sequence_match=0.3000,False,0.4862,False,top-3 avg score 0.4862 < final_threshold 0.6
property,hasduty,haspermission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5531; levenshtein=0.2308; semantic=0.6055; sequence_match=0.3000,False,0.4862,False,top-3 avg score 0.4862 < final_threshold 0.6
property,assignee,isconsequenceof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.2667; semantic=0.4492; sequence_match=0.3478,False,0.4861,False,top-3 avg score 0.4861 < final_threshold 0.6
property,consequence,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.3077; semantic=0.5613; sequence_match=0.4167,False,0.4859,False,top-3 avg score 0.4859 < final_threshold 0.6
property,scope,hassubconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5958; levenshtein=0.1875; semantic=0.5737; sequence_match=0.2857,False,0.4851,False,top-3 avg score 0.4851 < final_threshold 0.6
property,inheritsfrom,haspart,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5516; levenshtein=0.1667; semantic=0.5869; sequence_match=0.3158,False,0.4847,False,top-3 avg score 0.4847 < final_threshold 0.6
property,scope,supports,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5472; levenshtein=0.2500; semantic=0.5973; sequence_match=0.3077,False,0.4841,False,top-3 avg score 0.4841 < final_threshold 0.6
property,obligation,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4952; levenshtein=0.1000; semantic=0.7193; sequence_match=0.2353,False,0.4833,False,top-3 avg score 0.4833 < final_threshold 0.6
property,function,hassubconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5972; levenshtein=0.2500; semantic=0.5138; sequence_match=0.3333,False,0.4815,False,top-3 avg score 0.4815 < final_threshold 0.6
property,function,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5322; sequence_match=0.2857,False,0.4813,False,top-3 avg score 0.4813 < final_threshold 0.6
property,relation,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5492; levenshtein=0.2727; semantic=0.5766; sequence_match=0.3158,False,0.4806,False,top-3 avg score 0.4806 < final_threshold 0.6
