prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has measurement,has measurement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has property,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,has measurement,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6456; levenshtein=0.4286; semantic=0.5931; sequence_match=0.5185,False,0.5858,False,top-3 avg score 0.5858 < final_threshold 0.7
ObjectProperty,has period,has unit,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5686; sequence_match=0.5000,False,0.5802,False,top-3 avg score 0.5802 < final_threshold 0.7
ObjectProperty,has duration,has actuator type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6702; levenshtein=0.3333; semantic=0.5000; sequence_match=0.5385,False,0.5696,False,top-3 avg score 0.5696 < final_threshold 0.7
ObjectProperty,has property,has unit,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6133; sequence_match=0.4444,False,0.5676,False,top-3 avg score 0.5676 < final_threshold 0.7
ObjectProperty,has key performance indicator,defines indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6616; levenshtein=0.4615; semantic=0.5634; sequence_match=0.4762,False,0.5671,False,top-3 avg score 0.5671 < final_threshold 0.7
ObjectProperty,has phenomenon time,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6618; levenshtein=0.3333; semantic=0.6391; sequence_match=0.4000,False,0.567,False,top-3 avg score 0.5670 < final_threshold 0.7
ObjectProperty,has measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7956; levenshtein=0.3889; semantic=0.4617; sequence_match=0.4375,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.7
ObjectProperty,hasGeometry,tariff usage of meter,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6246; levenshtein=0.4444; semantic=0.4075; sequence_match=0.6207,False,0.5632,False,top-3 avg score 0.5632 < final_threshold 0.7
ObjectProperty,has property,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6025; levenshtein=0.3571; semantic=0.5990; sequence_match=0.4800,False,0.5605,False,top-3 avg score 0.5605 < final_threshold 0.7
ObjectProperty,has property,has actuator type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6534; levenshtein=0.4000; semantic=0.4891; sequence_match=0.5385,False,0.5603,False,top-3 avg score 0.5603 < final_threshold 0.7
ObjectProperty,has phenomenon time,has measurement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6675; levenshtein=0.3529; semantic=0.4967; sequence_match=0.5161,False,0.5601,False,top-3 avg score 0.5601 < final_threshold 0.7
ObjectProperty,has period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.6083; sequence_match=0.4444,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,hasGeometry,has part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.3636; semantic=0.5754; sequence_match=0.4444,False,0.5587,False,top-3 avg score 0.5587 < final_threshold 0.7
ObjectProperty,has period,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5721; sequence_match=0.4286,False,0.5561,False,top-3 avg score 0.5561 < final_threshold 0.7
ObjectProperty,has period,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5510; sequence_match=0.4545,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,hasGeometry,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.4743; sequence_match=0.4828,False,0.5519,False,top-3 avg score 0.5519 < final_threshold 0.7
ObjectProperty,has phenomenon time,has sensor type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6537; levenshtein=0.4706; semantic=0.5080; sequence_match=0.4667,False,0.5441,False,top-3 avg score 0.5441 < final_threshold 0.7
ObjectProperty,has measurement,uses sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.5939; sequence_match=0.4167,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,has period,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5576; sequence_match=0.4348,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.7
ObjectProperty,hasGeometry,has physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5730; levenshtein=0.3158; semantic=0.6535; sequence_match=0.4000,False,0.5422,False,top-3 avg score 0.5422 < final_threshold 0.7
ObjectProperty,hasGeometry,has unit,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.5262; sequence_match=0.4444,False,0.5385,False,top-3 avg score 0.5385 < final_threshold 0.7
ObjectProperty,has measurement,has physical property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6225; levenshtein=0.3684; semantic=0.6223; sequence_match=0.3636,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,has property,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6406; levenshtein=0.3889; semantic=0.4725; sequence_match=0.4828,False,0.5319,False,top-3 avg score 0.5319 < final_threshold 0.7
ObjectProperty,has duration,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6297; levenshtein=0.3077; semantic=0.5477; sequence_match=0.4167,False,0.5314,False,top-3 avg score 0.5314 < final_threshold 0.7
ObjectProperty,has key performance indicator,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.3462; semantic=0.5470; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.7
ObjectProperty,has billing period,has part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6756; levenshtein=0.3125; semantic=0.4802; sequence_match=0.4348,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,has period,is part of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6602; levenshtein=0.4444; semantic=0.4532; sequence_match=0.4706,False,0.528,False,top-3 avg score 0.5280 < final_threshold 0.7
ObjectProperty,has billing period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.2778; semantic=0.5210; sequence_match=0.4118,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,hasGeometry,describes property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5875; levenshtein=0.2941; semantic=0.5573; sequence_match=0.4286,False,0.5245,False,top-3 avg score 0.5245 < final_threshold 0.7
ObjectProperty,has property,is part of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6540; levenshtein=0.2727; semantic=0.4901; sequence_match=0.4211,False,0.5217,False,top-3 avg score 0.5217 < final_threshold 0.7
ObjectProperty,has key performance indicator,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6382; levenshtein=0.3846; semantic=0.4251; sequence_match=0.5000,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,applies to,specifies indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5043; sequence_match=0.4444,False,0.52,False,top-3 avg score 0.5200 < final_threshold 0.7
ObjectProperty,has phenomenon time,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5936; levenshtein=0.3158; semantic=0.5697; sequence_match=0.3889,False,0.5174,False,top-3 avg score 0.5174 < final_threshold 0.7
ObjectProperty,measurement made by,has unit,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6695; levenshtein=0.2353; semantic=0.4658; sequence_match=0.4167,False,0.5173,False,top-3 avg score 0.5173 < final_threshold 0.7
ObjectProperty,has property,produced by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6515; levenshtein=0.2727; semantic=0.4218; sequence_match=0.4762,False,0.5165,False,top-3 avg score 0.5165 < final_threshold 0.7
ObjectProperty,has phenomenon time,has part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6695; levenshtein=0.2941; semantic=0.4514; sequence_match=0.4167,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.7
ObjectProperty,makes measurement,uses actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.1875; semantic=0.5387; sequence_match=0.3571,False,0.5116,False,top-3 avg score 0.5116 < final_threshold 0.7
ObjectProperty,makes measurement,has unit,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5387; levenshtein=0.2500; semantic=0.5501; sequence_match=0.4348,False,0.5078,False,top-3 avg score 0.5078 < final_threshold 0.7
ObjectProperty,hasGeometry,has actuator type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6534; levenshtein=0.4000; semantic=0.4691; sequence_match=0.3077,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.7
ObjectProperty,has duration,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.5640; sequence_match=0.3333,False,0.506,False,top-3 avg score 0.5060 < final_threshold 0.7
ObjectProperty,makes measurement,describes property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5688; levenshtein=0.2353; semantic=0.5248; sequence_match=0.4242,False,0.506,False,top-3 avg score 0.5060 < final_threshold 0.7
ObjectProperty,has key performance indicator,has actuator type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6279; levenshtein=0.2308; semantic=0.4499; sequence_match=0.4390,False,0.5056,False,top-3 avg score 0.5056 < final_threshold 0.7
ObjectProperty,hasGeometry,uses sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.1818; semantic=0.5476; sequence_match=0.3810,False,0.5045,False,top-3 avg score 0.5045 < final_threshold 0.7
ObjectProperty,has phenomenon time,has unit,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6695; levenshtein=0.2941; semantic=0.4258; sequence_match=0.4167,False,0.504,False,top-3 avg score 0.5040 < final_threshold 0.7
ObjectProperty,applies to,uses actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.1667; semantic=0.5350; sequence_match=0.3810,False,0.5022,False,top-3 avg score 0.5022 < final_threshold 0.7
ObjectProperty,has key performance indicator,has unit,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6355; levenshtein=0.2308; semantic=0.5057; sequence_match=0.3636,False,0.5016,False,top-3 avg score 0.5016 < final_threshold 0.7
ObjectProperty,has billing period,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.3684; semantic=0.4785; sequence_match=0.4571,False,0.5011,False,top-3 avg score 0.5011 < final_threshold 0.7
ObjectProperty,has key performance indicator,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6511; levenshtein=0.2308; semantic=0.4880; sequence_match=0.3556,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.7
ObjectProperty,has key performance indicator,has part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6404; levenshtein=0.2308; semantic=0.4881; sequence_match=0.3636,False,0.4974,False,top-3 avg score 0.4974 < final_threshold 0.7
ObjectProperty,has phenomenon time,tariff usage of meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6383; levenshtein=0.1667; semantic=0.3945; sequence_match=0.4571,False,0.4966,False,top-3 avg score 0.4966 < final_threshold 0.7
ObjectProperty,has billing period,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6218; levenshtein=0.2500; semantic=0.4535; sequence_match=0.4138,False,0.4964,False,top-3 avg score 0.4964 < final_threshold 0.7
ObjectProperty,has measurement,describes property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5420; levenshtein=0.2941; semantic=0.5587; sequence_match=0.3871,False,0.4959,False,top-3 avg score 0.4959 < final_threshold 0.7
ObjectProperty,makes measurement,has part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.3125; semantic=0.5318; sequence_match=0.3478,False,0.4956,False,top-3 avg score 0.4956 < final_threshold 0.7
ObjectProperty,is measured by device,defined by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2778; semantic=0.5015; sequence_match=0.3704,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.7
ObjectProperty,makes measurement,uses sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4708; levenshtein=0.3125; semantic=0.6275; sequence_match=0.3846,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.7
ObjectProperty,has measurement,tariff usage of meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6233; levenshtein=0.2778; semantic=0.5421; sequence_match=0.3125,False,0.4926,False,top-3 avg score 0.4926 < final_threshold 0.7
ObjectProperty,has period,tariff used,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.4367; sequence_match=0.4211,False,0.4921,False,top-3 avg score 0.4921 < final_threshold 0.7
ObjectProperty,makes measurement,used in meter tariff usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5985; levenshtein=0.1364; semantic=0.5617; sequence_match=0.3158,False,0.492,False,top-3 avg score 0.4920 < final_threshold 0.7
ObjectProperty,has duration,uses actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5707; levenshtein=0.2500; semantic=0.4690; sequence_match=0.4348,False,0.4915,False,top-3 avg score 0.4915 < final_threshold 0.7
ObjectProperty,has billing period,has unit,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6089; levenshtein=0.3125; semantic=0.5144; sequence_match=0.3478,False,0.4904,False,top-3 avg score 0.4904 < final_threshold 0.7
ObjectProperty,applies to,has part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5087; sequence_match=0.3750,False,0.4903,False,top-3 avg score 0.4903 < final_threshold 0.7
ObjectProperty,has measurement,used in meter tariff usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5896; levenshtein=0.1364; semantic=0.5438; sequence_match=0.3333,False,0.4889,False,top-3 avg score 0.4889 < final_threshold 0.7
ObjectProperty,has period,of water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.1111; semantic=0.5015; sequence_match=0.3750,False,0.4879,False,top-3 avg score 0.4879 < final_threshold 0.7
ObjectProperty,has key performance indicator,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6179; levenshtein=0.2692; semantic=0.4864; sequence_match=0.3590,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.7
ObjectProperty,makes measurement,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5634; levenshtein=0.3125; semantic=0.5531; sequence_match=0.3448,False,0.4871,False,top-3 avg score 0.4871 < final_threshold 0.7
ObjectProperty,makes measurement,tariff usage of meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5935; levenshtein=0.2222; semantic=0.5649; sequence_match=0.2941,False,0.4842,False,top-3 avg score 0.4842 < final_threshold 0.7
ObjectProperty,has period,has actuator type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5630; levenshtein=0.2667; semantic=0.4721; sequence_match=0.4167,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.7
ObjectProperty,has duration,is part of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6265; levenshtein=0.3636; semantic=0.3930; sequence_match=0.4211,False,0.4802,False,top-3 avg score 0.4802 < final_threshold 0.7
ObjectProperty,applies to,is part of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.5154; sequence_match=0.3529,False,0.4777,False,top-3 avg score 0.4777 < final_threshold 0.7
ObjectProperty,has measurement,has actuator type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6599; levenshtein=0.2667; semantic=0.4885; sequence_match=0.2759,False,0.4747,False,top-3 avg score 0.4747 < final_threshold 0.7
ObjectProperty,applies to,defines indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.2500; semantic=0.4627; sequence_match=0.4000,False,0.4729,False,top-3 avg score 0.4729 < final_threshold 0.7
ObjectProperty,hasGeometry,of water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5617; levenshtein=0.1818; semantic=0.5233; sequence_match=0.3333,False,0.4728,False,top-3 avg score 0.4728 < final_threshold 0.7
ObjectProperty,applies to,has unit,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.4535; sequence_match=0.3750,False,0.4719,False,top-3 avg score 0.4719 < final_threshold 0.7
ObjectProperty,is measured by device,used in meter tariff usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.1818; semantic=0.4890; sequence_match=0.3000,False,0.4717,False,top-3 avg score 0.4717 < final_threshold 0.7
ObjectProperty,has period,uses tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.4752; sequence_match=0.3158,False,0.4698,False,top-3 avg score 0.4698 < final_threshold 0.7
ObjectProperty,applies to,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6053; levenshtein=0.2632; semantic=0.4462; sequence_match=0.3571,False,0.4695,False,top-3 avg score 0.4695 < final_threshold 0.7
ObjectProperty,makes measurement,has physical property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5544; levenshtein=0.3158; semantic=0.5351; sequence_match=0.2857,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,measurement made by,used in meter tariff usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6570; levenshtein=0.1818; semantic=0.4890; sequence_match=0.2564,False,0.4675,False,top-3 avg score 0.4675 < final_threshold 0.7
ObjectProperty,has duration,defines indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5484; levenshtein=0.2500; semantic=0.4762; sequence_match=0.3704,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.7
ObjectProperty,measurement made by,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5287; levenshtein=0.2353; semantic=0.4645; sequence_match=0.4000,False,0.4644,False,top-3 avg score 0.4644 < final_threshold 0.7
ObjectProperty,hasGeometry,used in meter tariff usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6061; levenshtein=0.1818; semantic=0.4222; sequence_match=0.3636,False,0.464,False,top-3 avg score 0.4640 < final_threshold 0.7
ObjectProperty,feature is measured by device,defined by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.2400; semantic=0.4477; sequence_match=0.3529,False,0.4638,False,top-3 avg score 0.4638 < final_threshold 0.7
ObjectProperty,measurement made by,has part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.1765; semantic=0.4555; sequence_match=0.3333,False,0.4637,False,top-3 avg score 0.4637 < final_threshold 0.7
ObjectProperty,applies to,uses sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5296; sequence_match=0.3158,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.7
ObjectProperty,has duration,specifies indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5322; levenshtein=0.2222; semantic=0.5117; sequence_match=0.3448,False,0.4629,False,top-3 avg score 0.4629 < final_threshold 0.7
ObjectProperty,makes measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6269; levenshtein=0.2222; semantic=0.4078; sequence_match=0.3529,False,0.4625,False,top-3 avg score 0.4625 < final_threshold 0.7
ObjectProperty,has period,uses sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.3000; semantic=0.5396; sequence_match=0.3158,False,0.4623,False,top-3 avg score 0.4623 < final_threshold 0.7
ObjectProperty,makes measurement,uses tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5375; levenshtein=0.2500; semantic=0.5391; sequence_match=0.3077,False,0.4614,False,top-3 avg score 0.4614 < final_threshold 0.7
ObjectProperty,hasGeometry,defined by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.1818; semantic=0.5474; sequence_match=0.3000,False,0.4609,False,top-3 avg score 0.4609 < final_threshold 0.7
ObjectProperty,feature is measured by device,used in meter tariff usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6433; levenshtein=0.2000; semantic=0.4364; sequence_match=0.2979,False,0.4592,False,top-3 avg score 0.4592 < final_threshold 0.7
ObjectProperty,measurement made by,uses sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5399; levenshtein=0.1765; semantic=0.5377; sequence_match=0.2963,False,0.458,False,top-3 avg score 0.4580 < final_threshold 0.7
ObjectProperty,measurement made by,produced by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5954; levenshtein=0.2941; semantic=0.4780; sequence_match=0.2963,False,0.4566,False,top-3 avg score 0.4566 < final_threshold 0.7
ObjectProperty,has measurement,uses actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6210; levenshtein=0.1429; semantic=0.5122; sequence_match=0.2308,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
ObjectProperty,has period,specifies indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.4565; sequence_match=0.2963,False,0.4546,False,top-3 avg score 0.4546 < final_threshold 0.7
ObjectProperty,isKPIOf,describes property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5189; levenshtein=0.1765; semantic=0.5069; sequence_match=0.3333,False,0.4531,False,top-3 avg score 0.4531 < final_threshold 0.7
ObjectProperty,applies to,has measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4934; levenshtein=0.1429; semantic=0.5138; sequence_match=0.3478,False,0.4517,False,top-3 avg score 0.4517 < final_threshold 0.7
ObjectProperty,has measurement,of water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5476; levenshtein=0.1429; semantic=0.5216; sequence_match=0.2857,False,0.4516,False,top-3 avg score 0.4516 < final_threshold 0.7
ObjectProperty,makes measurement,has actuator type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5871; levenshtein=0.1875; semantic=0.4451; sequence_match=0.3226,False,0.4516,False,top-3 avg score 0.4516 < final_threshold 0.7
ObjectProperty,applies to,tariff used,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5315; levenshtein=0.2000; semantic=0.5037; sequence_match=0.3158,False,0.4503,False,top-3 avg score 0.4503 < final_threshold 0.7
ObjectProperty,is measured by device,has unit,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5146; levenshtein=0.2222; semantic=0.5143; sequence_match=0.3200,False,0.4496,False,top-3 avg score 0.4496 < final_threshold 0.7
ObjectProperty,applies to,has actuator type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5704; levenshtein=0.2000; semantic=0.4435; sequence_match=0.3333,False,0.4491,False,top-3 avg score 0.4491 < final_threshold 0.7
