gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
Source code available,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6680; levenshtein=0.2105; semantic=0.6387; sequence_match=0.5000,False,0.6022,False,pred already taken by 'Open source software license' (higher averaged score)
software developer organization,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6927; levenshtein=0.3448; semantic=0.6220; sequence_match=0.4878,False,0.6009,False,pred already taken by 'software interface' (higher averaged score)
licence,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5361; levenshtein=0.3529; semantic=0.7575; sequence_match=0.5000,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.6
Open source software license,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5048; levenshtein=0.2800; semantic=0.8238; sequence_match=0.4375,False,0.5887,False,top-3 avg score 0.5887 < final_threshold 0.6
Not Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7302; levenshtein=0.4167; semantic=0.5026; sequence_match=0.5263,False,0.5864,False,top-3 avg score 0.5864 < final_threshold 0.6
data format specification,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8348; levenshtein=0.1739; semantic=0.6226; sequence_match=0.2963,False,0.5846,False,top-3 avg score 0.5846 < final_threshold 0.6
Open source software license,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6340; levenshtein=0.3200; semantic=0.6278; sequence_match=0.4865,False,0.5828,False,top-3 avg score 0.5828 < final_threshold 0.6
algorithm,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.2222; semantic=0.5765; sequence_match=0.4706,False,0.5805,False,top-3 avg score 0.5805 < final_threshold 0.6
Development status,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6120; levenshtein=0.3529; semantic=0.5881; sequence_match=0.5333,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
CEL ASCII format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.4286; semantic=0.4402; sequence_match=0.5455,False,0.5706,False,top-3 avg score 0.5706 < final_threshold 0.6
plain text file format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6294; levenshtein=0.4211; semantic=0.4779; sequence_match=0.5926,False,0.5666,False,top-3 avg score 0.5666 < final_threshold 0.6
Maintained,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.2308; semantic=0.5701; sequence_match=0.5217,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.6
plain text file format,Data Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4535; levenshtein=0.4211; semantic=0.6665; sequence_match=0.5517,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
version number,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.6230; sequence_match=0.4545,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.6
Maintained,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3000; semantic=0.5377; sequence_match=0.4286,False,0.5499,False,top-3 avg score 0.5499 < final_threshold 0.6
data item,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5297; sequence_match=0.4706,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.6
Open source software license,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.3600; semantic=0.5787; sequence_match=0.4865,False,0.5476,False,top-3 avg score 0.5476 < final_threshold 0.6
CEL binary format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.4469; sequence_match=0.5217,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.6
Not Free,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5640; sequence_match=0.4211,False,0.5429,False,top-3 avg score 0.5429 < final_threshold 0.6
data format specification,Modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6027; levenshtein=0.4348; semantic=0.4519; sequence_match=0.5714,False,0.542,False,top-3 avg score 0.5420 < final_threshold 0.6
text editing,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.1667; semantic=0.6315; sequence_match=0.4348,False,0.5411,False,top-3 avg score 0.5411 < final_threshold 0.6
data format specification,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6347; levenshtein=0.3478; semantic=0.5902; sequence_match=0.3889,False,0.5379,False,top-3 avg score 0.5379 < final_threshold 0.6
Maintained,Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2500; semantic=0.5997; sequence_match=0.3636,False,0.5359,False,top-3 avg score 0.5359 < final_threshold 0.6
application programming interface,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6526; levenshtein=0.2258; semantic=0.5917; sequence_match=0.3590,False,0.5344,False,top-3 avg score 0.5344 < final_threshold 0.6
algorithm,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.5617; sequence_match=0.4211,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.6
Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.4306; sequence_match=0.5000,False,0.5324,False,top-3 avg score 0.5324 < final_threshold 0.6
Not Free,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5913; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.6
PROcess,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5979; levenshtein=0.3333; semantic=0.5021; sequence_match=0.4800,False,0.5267,False,top-3 avg score 0.5267 < final_threshold 0.6
software interface,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6315; levenshtein=0.1667; semantic=0.5410; sequence_match=0.4000,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.6
data item,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5605; sequence_match=0.3810,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.6
function,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5557; sequence_match=0.4000,False,0.519,False,top-3 avg score 0.5190 < final_threshold 0.6
Free,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5121; sequence_match=0.3750,False,0.5179,False,top-3 avg score 0.5179 < final_threshold 0.6
programming language,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5838; levenshtein=0.3158; semantic=0.5335; sequence_match=0.4324,False,0.5166,False,top-3 avg score 0.5166 < final_threshold 0.6
XML,URL,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5556; levenshtein=0.3333; semantic=0.6578; sequence_match=0.3333,False,0.5156,False,top-3 avg score 0.5156 < final_threshold 0.6
Source code available,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5553; levenshtein=0.2105; semantic=0.6015; sequence_match=0.3871,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.6
Source code available,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5307; levenshtein=0.1579; semantic=0.6447; sequence_match=0.3684,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.6
desktop graphical user interface,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6885; levenshtein=0.2414; semantic=0.5141; sequence_match=0.3404,False,0.5143,False,top-3 avg score 0.5143 < final_threshold 0.6
PROcess,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.4911; sequence_match=0.4286,False,0.5129,False,top-3 avg score 0.5129 < final_threshold 0.6
desktop graphical user interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2069; semantic=0.6407; sequence_match=0.3158,False,0.5114,False,top-3 avg score 0.5114 < final_threshold 0.6
Not Free,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5361; levenshtein=0.2353; semantic=0.5761; sequence_match=0.4167,False,0.5096,False,top-3 avg score 0.5096 < final_threshold 0.6
web service,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6087; levenshtein=0.3529; semantic=0.4670; sequence_match=0.4444,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.6
Purchase cost,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6487; levenshtein=0.2941; semantic=0.4530; sequence_match=0.4138,False,0.5052,False,top-3 avg score 0.5052 < final_threshold 0.6
Source code available,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4729; levenshtein=0.2105; semantic=0.6775; sequence_match=0.3571,False,0.5025,False,top-3 avg score 0.5025 < final_threshold 0.6
file rendering,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5663; levenshtein=0.3077; semantic=0.5395; sequence_match=0.4000,False,0.5019,False,top-3 avg score 0.5019 < final_threshold 0.6
application programming interface,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6323; levenshtein=0.1935; semantic=0.6159; sequence_match=0.2500,False,0.4994,False,top-3 avg score 0.4994 < final_threshold 0.6
Maintained,Proprietary License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.2778; semantic=0.5345; sequence_match=0.4286,False,0.4988,False,top-3 avg score 0.4988 < final_threshold 0.6
software,Proprietary License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5009; levenshtein=0.2222; semantic=0.6107; sequence_match=0.3846,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.6
web service,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5519; levenshtein=0.2000; semantic=0.6284; sequence_match=0.3158,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.6
software,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5781; sequence_match=0.3333,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.6
CEL ASCII format,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.4943; sequence_match=0.3810,False,0.4981,False,top-3 avg score 0.4981 < final_threshold 0.6
data format specification,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6703; levenshtein=0.2174; semantic=0.4351; sequence_match=0.3871,False,0.4975,False,top-3 avg score 0.4975 < final_threshold 0.6
Purchase cost,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.2778; semantic=0.5372; sequence_match=0.3333,False,0.497,False,top-3 avg score 0.4970 < final_threshold 0.6
Maintained,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5830; levenshtein=0.2105; semantic=0.4897; sequence_match=0.4138,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.6
web service,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.5589; sequence_match=0.3529,False,0.4952,False,top-3 avg score 0.4952 < final_threshold 0.6
Maintained,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5494; sequence_match=0.3529,False,0.4929,False,top-3 avg score 0.4929 < final_threshold 0.6
desktop graphical user interface,Programming Language,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5707; levenshtein=0.3103; semantic=0.5867; sequence_match=0.2917,False,0.4892,False,top-3 avg score 0.4892 < final_threshold 0.6
.csv,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4921; levenshtein=0.2857; semantic=0.5733; sequence_match=0.4000,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
text editing,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5579; levenshtein=0.2308; semantic=0.5737; sequence_match=0.3333,False,0.4883,False,top-3 avg score 0.4883 < final_threshold 0.6
web service,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5347; sequence_match=0.3529,False,0.488,False,top-3 avg score 0.4880 < final_threshold 0.6
PROcess,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5531; levenshtein=0.1538; semantic=0.6073; sequence_match=0.3000,False,0.4868,False,top-3 avg score 0.4868 < final_threshold 0.6
Not Free,Proprietary License,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5307; levenshtein=0.2778; semantic=0.6485; sequence_match=0.1600,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.6
algorithm,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.6418; sequence_match=0.3333,False,0.4855,False,top-3 avg score 0.4855 < final_threshold 0.6
data item,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1667; semantic=0.5285; sequence_match=0.4000,False,0.4854,False,top-3 avg score 0.4854 < final_threshold 0.6
software interface,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5072; levenshtein=0.2353; semantic=0.6114; sequence_match=0.3333,False,0.484,False,top-3 avg score 0.4840 < final_threshold 0.6
Not Free,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.1429; semantic=0.6422; sequence_match=0.2857,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.6
version number,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5663; levenshtein=0.2308; semantic=0.5849; sequence_match=0.3000,False,0.4837,False,top-3 avg score 0.4837 < final_threshold 0.6
software interface,Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.1176; semantic=0.5422; sequence_match=0.3448,False,0.483,False,top-3 avg score 0.4830 < final_threshold 0.6
Source code available,URL,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5906; levenshtein=0.1579; semantic=0.5838; sequence_match=0.2727,False,0.4824,False,top-3 avg score 0.4824 < final_threshold 0.6
file rendering,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.2308; semantic=0.5919; sequence_match=0.2727,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.6
Development status,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1765; semantic=0.5900; sequence_match=0.3333,False,0.4807,False,top-3 avg score 0.4807 < final_threshold 0.6
software,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.6076; sequence_match=0.2500,False,0.4803,False,top-3 avg score 0.4803 < final_threshold 0.6
text editing,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.5394; sequence_match=0.3333,False,0.4799,False,top-3 avg score 0.4799 < final_threshold 0.6
desktop graphical user interface,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6497; levenshtein=0.2414; semantic=0.4818; sequence_match=0.3043,False,0.4786,False,top-3 avg score 0.4786 < final_threshold 0.6
software interface,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6028; levenshtein=0.1765; semantic=0.5797; sequence_match=0.2500,False,0.4775,False,top-3 avg score 0.4775 < final_threshold 0.6
application programming interface,Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5690; levenshtein=0.1935; semantic=0.5372; sequence_match=0.3256,False,0.4773,False,top-3 avg score 0.4773 < final_threshold 0.6
software developer organization,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4904; levenshtein=0.1724; semantic=0.6057; sequence_match=0.3333,False,0.4765,False,top-3 avg score 0.4765 < final_threshold 0.6
licence,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5531; levenshtein=0.2308; semantic=0.5749; sequence_match=0.3000,False,0.476,False,top-3 avg score 0.4760 < final_threshold 0.6
Free,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.2857; semantic=0.5996; sequence_match=0.3636,False,0.4759,False,top-3 avg score 0.4759 < final_threshold 0.6
CEL ASCII format,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.1429; semantic=0.5020; sequence_match=0.3478,False,0.4755,False,top-3 avg score 0.4755 < final_threshold 0.6
.csv,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.6038; sequence_match=0.2857,False,0.4724,False,top-3 avg score 0.4724 < final_threshold 0.6
Source code available,Data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5351; levenshtein=0.1579; semantic=0.6194; sequence_match=0.2609,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
algorithm,Data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.1111; semantic=0.6513; sequence_match=0.3077,False,0.4709,False,top-3 avg score 0.4709 < final_threshold 0.6
PROcess,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5700; levenshtein=0.2941; semantic=0.4254; sequence_match=0.4167,False,0.4707,False,top-3 avg score 0.4707 < final_threshold 0.6
data item,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.4516; sequence_match=0.3750,False,0.47,False,top-3 avg score 0.4700 < final_threshold 0.6
CEL ASCII format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.4723; sequence_match=0.3478,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.6
software,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.1538; semantic=0.6019; sequence_match=0.2857,False,0.4689,False,top-3 avg score 0.4689 < final_threshold 0.6
file rendering,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5385; levenshtein=0.2308; semantic=0.5589; sequence_match=0.3077,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.6
software interface,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5055; levenshtein=0.2632; semantic=0.6217; sequence_match=0.2778,False,0.4683,False,top-3 avg score 0.4683 < final_threshold 0.6
application programming interface,Proprietary License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6003; levenshtein=0.2581; semantic=0.5457; sequence_match=0.2449,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.6
Source code available,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5497; levenshtein=0.2105; semantic=0.5314; sequence_match=0.3226,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.6
application programming interface,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5668; levenshtein=0.1613; semantic=0.5737; sequence_match=0.2632,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.6
software interface,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5752; levenshtein=0.1176; semantic=0.5326; sequence_match=0.2941,False,0.4673,False,top-3 avg score 0.4673 < final_threshold 0.6
version number,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5924; levenshtein=0.1765; semantic=0.5421; sequence_match=0.2667,False,0.4671,False,top-3 avg score 0.4671 < final_threshold 0.6
application programming interface,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5127; levenshtein=0.1613; semantic=0.6124; sequence_match=0.2727,False,0.466,False,top-3 avg score 0.4660 < final_threshold 0.6
GIF,Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.5115; sequence_match=0.2667,False,0.4631,False,top-3 avg score 0.4631 < final_threshold 0.6
Free,Proprietary License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5370; levenshtein=0.1667; semantic=0.5785; sequence_match=0.2727,False,0.4628,False,top-3 avg score 0.4628 < final_threshold 0.6
Free,URL,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5744; sequence_match=0.2857,False,0.4626,False,top-3 avg score 0.4626 < final_threshold 0.6
Source code available,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5538; levenshtein=0.2105; semantic=0.5834; sequence_match=0.2500,False,0.4624,False,top-3 avg score 0.4624 < final_threshold 0.6
Development status,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5752; levenshtein=0.0588; semantic=0.4586; sequence_match=0.3529,False,0.4622,False,top-3 avg score 0.4622 < final_threshold 0.6
Not Free,Data Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.5102; sequence_match=0.2353,False,0.4613,False,top-3 avg score 0.4613 < final_threshold 0.6
version number,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4744; levenshtein=0.0769; semantic=0.6017; sequence_match=0.3077,False,0.4612,False,top-3 avg score 0.4612 < final_threshold 0.6
GIF,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.2222; semantic=0.5672; sequence_match=0.3333,False,0.4607,False,top-3 avg score 0.4607 < final_threshold 0.6
desktop graphical user interface,Documentation,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5714; levenshtein=0.2414; semantic=0.5676; sequence_match=0.2381,False,0.4601,False,top-3 avg score 0.4601 < final_threshold 0.6
Free,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5310; levenshtein=0.1765; semantic=0.5628; sequence_match=0.2857,False,0.4598,False,top-3 avg score 0.4598 < final_threshold 0.6
web service,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5259; levenshtein=0.2778; semantic=0.4954; sequence_match=0.3571,False,0.4595,False,top-3 avg score 0.4595 < final_threshold 0.6
CEL binary format,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5731; levenshtein=0.0667; semantic=0.4457; sequence_match=0.3571,False,0.4587,False,top-3 avg score 0.4587 < final_threshold 0.6
data format specification,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5662; levenshtein=0.1739; semantic=0.4597; sequence_match=0.3500,False,0.4586,False,top-3 avg score 0.4586 < final_threshold 0.6
software,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5456; sequence_match=0.3000,False,0.4578,False,top-3 avg score 0.4578 < final_threshold 0.6
software interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.6657; sequence_match=0.2308,False,0.4577,False,top-3 avg score 0.4577 < final_threshold 0.6
