gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Maintained,Maintained,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
data format specification,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8870; levenshtein=0.4348; semantic=0.8404; sequence_match=0.6061,False,0.7778,False,gold already mapped to 'Data Format Type'
software interface,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8843; levenshtein=0.5882; semantic=0.6985; sequence_match=0.6897,False,0.7575,False,gold already mapped to 'Software Source'
algorithm,Algorithm Usage Output,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8900; levenshtein=0.4500; semantic=0.7141; sequence_match=0.6207,False,0.7416,False,gold already mapped to 'Algorithm'
Maintained,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8291; levenshtein=0.4118; semantic=0.7617; sequence_match=0.5926,False,0.7278,False,gold already mapped to 'Maintained'
software,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8842; levenshtein=0.4211; semantic=0.6909; sequence_match=0.5926,False,0.7226,False,gold already mapped to 'Software Type'
XML,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.3000; semantic=0.8188; sequence_match=0.4615,False,0.7057,False,pred already taken by 'text editing' (higher averaged score)
Open source software license,Software License Type,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6815; levenshtein=0.4400; semantic=0.7524; sequence_match=0.6818,False,0.7053,False,gold already mapped to 'Open Source'
software interface,Software License Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8835; levenshtein=0.5789; semantic=0.5814; sequence_match=0.6111,False,0.692,False,gold already mapped to 'Software Source'
Open source software license,Proprietary License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6364; levenshtein=0.5600; semantic=0.8341; sequence_match=0.6047,False,0.6917,False,gold already mapped to 'Open Source'
software developer role,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8419; levenshtein=0.4762; semantic=0.6098; sequence_match=0.6061,False,0.6859,False,pred already taken by 'software' (higher averaged score)
data item,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.5000; semantic=0.6561; sequence_match=0.5556,False,0.6828,False,gold already mapped to 'Data'
GIF,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.2500; semantic=0.7625; sequence_match=0.4000,False,0.6625,False,pred already taken by 'file rendering' (higher averaged score)
CEL binary format,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6419; levenshtein=0.5882; semantic=0.7185; sequence_match=0.6250,False,0.6618,False,gold already mapped to 'Open Format'
software developer role,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6614; levenshtein=0.4286; semantic=0.7226; sequence_match=0.6000,False,0.6613,False,pred already taken by 'Development status' (higher averaged score)
software developer role,Software Source,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8437; levenshtein=0.5238; semantic=0.5884; sequence_match=0.5143,False,0.652,False,gold already mapped to 'Software License Type'
Open source software license,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7105; levenshtein=0.3600; semantic=0.7204; sequence_match=0.5128,False,0.6479,False,gold already mapped to 'Open Source'
CEL binary format,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.4667; semantic=0.7060; sequence_match=0.5600,False,0.6469,False,gold already mapped to 'Open Format'
licence,Proprietary License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5979; levenshtein=0.3333; semantic=0.8263; sequence_match=0.4800,False,0.6347,False,gold already mapped to 'License Permissiveness'
software developer organization,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8413; levenshtein=0.4138; semantic=0.5626; sequence_match=0.5000,False,0.6346,False,pred already taken by 'software developer role' (higher averaged score)
CEL ASCII format,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6381; levenshtein=0.4286; semantic=0.6821; sequence_match=0.5833,False,0.6345,False,gold already mapped to 'Data Format'
application programming interface,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.4194; semantic=0.7137; sequence_match=0.5200,False,0.6246,False,pred already taken by 'programming language' (higher averaged score)
Development status,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6435; levenshtein=0.3529; semantic=0.6796; sequence_match=0.5294,False,0.6175,False,gold already mapped to 'Developer'
software developer organization,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6220; levenshtein=0.3103; semantic=0.7488; sequence_match=0.4737,False,0.6148,False,pred already taken by 'Development status' (higher averaged score)
data item,Data Format Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.6209; sequence_match=0.5455,False,0.6123,False,gold already mapped to 'Data'
software,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.3750; semantic=0.5712; sequence_match=0.5333,False,0.6059,False,gold already mapped to 'Software Type'
CEL ASCII format,Data Format Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2143; semantic=0.6382; sequence_match=0.5000,False,0.6016,False,gold already mapped to 'Data Format'
Development status,Community Development,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6297; levenshtein=0.2500; semantic=0.5795; sequence_match=0.5946,False,0.6013,False,gold already mapped to 'Developer'
software developer organization,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6927; levenshtein=0.3448; semantic=0.6220; sequence_match=0.4878,False,0.6009,False,pred already taken by 'software' (higher averaged score)
Source code available,Open Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6154; levenshtein=0.1579; semantic=0.7494; sequence_match=0.4138,False,0.5929,False,top-3 avg score 0.5929 < final_threshold 0.6
software developer organization,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6914; levenshtein=0.3448; semantic=0.6624; sequence_match=0.4186,False,0.5908,False,top-3 avg score 0.5908 < final_threshold 0.6
CEL ASCII format,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5759; levenshtein=0.3529; semantic=0.6696; sequence_match=0.5161,False,0.5872,False,top-3 avg score 0.5872 < final_threshold 0.6
PROcess,Help Access,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6714; levenshtein=0.5000; semantic=0.4897; sequence_match=0.5882,False,0.5866,False,top-3 avg score 0.5866 < final_threshold 0.6
Not Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7302; levenshtein=0.4167; semantic=0.5026; sequence_match=0.5263,False,0.5864,False,top-3 avg score 0.5864 < final_threshold 0.6
data format specification,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8348; levenshtein=0.1739; semantic=0.6226; sequence_match=0.2963,False,0.5846,False,top-3 avg score 0.5846 < final_threshold 0.6
plain text file format,Open Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5275; levenshtein=0.3684; semantic=0.6669; sequence_match=0.5517,False,0.5821,False,top-3 avg score 0.5821 < final_threshold 0.6
algorithm,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.2222; semantic=0.5765; sequence_match=0.4706,False,0.5805,False,top-3 avg score 0.5805 < final_threshold 0.6
web service,Open Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3000; semantic=0.5716; sequence_match=0.5000,False,0.5794,False,top-3 avg score 0.5794 < final_threshold 0.6
Not Free,Open Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6048; levenshtein=0.3000; semantic=0.6589; sequence_match=0.4706,False,0.5781,False,top-3 avg score 0.5781 < final_threshold 0.6
Source code available,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5944; levenshtein=0.2105; semantic=0.7674; sequence_match=0.3636,False,0.5752,False,top-3 avg score 0.5752 < final_threshold 0.6
licence,Software License Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5576; levenshtein=0.3158; semantic=0.7023; sequence_match=0.4615,False,0.5738,False,top-3 avg score 0.5738 < final_threshold 0.6
Free,GIF Rendering,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7778; levenshtein=0.3333; semantic=0.4360; sequence_match=0.5000,False,0.5712,False,top-3 avg score 0.5712 < final_threshold 0.6
CEL binary format,Data Format Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5766; levenshtein=0.2000; semantic=0.6543; sequence_match=0.4828,False,0.5712,False,top-3 avg score 0.5712 < final_threshold 0.6
CEL ASCII format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.4286; semantic=0.4402; sequence_match=0.5455,False,0.5706,False,top-3 avg score 0.5706 < final_threshold 0.6
data format specification,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6037; levenshtein=0.1739; semantic=0.7034; sequence_match=0.4000,False,0.569,False,top-3 avg score 0.5690 < final_threshold 0.6
software,Open Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.7065; sequence_match=0.4444,False,0.567,False,top-3 avg score 0.5670 < final_threshold 0.6
plain text file format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6294; levenshtein=0.4211; semantic=0.4779; sequence_match=0.5926,False,0.5666,False,top-3 avg score 0.5666 < final_threshold 0.6
data item,Maintained,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6417; levenshtein=0.5000; semantic=0.4577; sequence_match=0.5556,False,0.5657,False,top-3 avg score 0.5657 < final_threshold 0.6
Not Free,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.3571; semantic=0.5886; sequence_match=0.4762,False,0.5629,False,top-3 avg score 0.5629 < final_threshold 0.6
version number,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.2308; semantic=0.5455; sequence_match=0.4800,False,0.5617,False,top-3 avg score 0.5617 < final_threshold 0.6
Open source software license,License Permissiveness,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6470; levenshtein=0.2400; semantic=0.7332; sequence_match=0.3043,False,0.5615,False,top-3 avg score 0.5615 < final_threshold 0.6
plain text file format,Data Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4535; levenshtein=0.4211; semantic=0.6665; sequence_match=0.5517,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
software,Version Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5595; levenshtein=0.3571; semantic=0.5646; sequence_match=0.5455,False,0.5565,False,top-3 avg score 0.5565 < final_threshold 0.6
file rendering,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.4615; semantic=0.5416; sequence_match=0.5217,False,0.5555,False,top-3 avg score 0.5555 < final_threshold 0.6
Free,Feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.5216; sequence_match=0.5455,False,0.5541,False,top-3 avg score 0.5541 < final_threshold 0.6
version number,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.6230; sequence_match=0.4545,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.6
web service,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.5539; sequence_match=0.4545,False,0.551,False,top-3 avg score 0.5510 < final_threshold 0.6
Maintained,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3000; semantic=0.5377; sequence_match=0.4286,False,0.5499,False,top-3 avg score 0.5499 < final_threshold 0.6
data item,Data Usage For Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3125; semantic=0.5796; sequence_match=0.4167,False,0.5497,False,top-3 avg score 0.5497 < final_threshold 0.6
data format specification,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5909; levenshtein=0.2609; semantic=0.6942; sequence_match=0.3636,False,0.5496,False,top-3 avg score 0.5496 < final_threshold 0.6
data item,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5297; sequence_match=0.4706,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.6
Open source software license,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.3600; semantic=0.5787; sequence_match=0.4865,False,0.5476,False,top-3 avg score 0.5476 < final_threshold 0.6
software interface,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6735; levenshtein=0.3529; semantic=0.5936; sequence_match=0.3704,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.6
function,Unmaintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.2500; semantic=0.5204; sequence_match=0.5000,False,0.5448,False,top-3 avg score 0.5448 < final_threshold 0.6
software developer organization,Community Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5602; levenshtein=0.3103; semantic=0.5841; sequence_match=0.4898,False,0.5447,False,top-3 avg score 0.5447 < final_threshold 0.6
Development status,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6130; levenshtein=0.2941; semantic=0.5657; sequence_match=0.4516,False,0.5434,False,top-3 avg score 0.5434 < final_threshold 0.6
CEL binary format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.4469; sequence_match=0.5217,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.6
CEL ASCII format,Collaborator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6944; levenshtein=0.2857; semantic=0.3954; sequence_match=0.5385,False,0.5428,False,top-3 avg score 0.5428 < final_threshold 0.6
Open source software license,Open Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6793; levenshtein=0.2800; semantic=0.5459; sequence_match=0.4000,False,0.5417,False,top-3 avg score 0.5417 < final_threshold 0.6
software interface,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7155; levenshtein=0.2353; semantic=0.5195; sequence_match=0.3871,False,0.5407,False,top-3 avg score 0.5407 < final_threshold 0.6
Not Free,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5689; sequence_match=0.4286,False,0.5388,False,top-3 avg score 0.5388 < final_threshold 0.6
plain text file format,Data Format Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5259; levenshtein=0.2105; semantic=0.6032; sequence_match=0.4848,False,0.538,False,top-3 avg score 0.5380 < final_threshold 0.6
application programming interface,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6526; levenshtein=0.2258; semantic=0.5917; sequence_match=0.3590,False,0.5344,False,top-3 avg score 0.5344 < final_threshold 0.6
data format specification,Data Usage For Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6739; levenshtein=0.3478; semantic=0.4676; sequence_match=0.4615,False,0.5344,False,top-3 avg score 0.5344 < final_threshold 0.6
Free,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6548; levenshtein=0.2857; semantic=0.5025; sequence_match=0.4444,False,0.5339,False,top-3 avg score 0.5339 < final_threshold 0.6
algorithm,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.5617; sequence_match=0.4211,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.6
Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.4306; sequence_match=0.5000,False,0.5324,False,top-3 avg score 0.5324 < final_threshold 0.6
Not Free,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5913; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.6
PROcess,Help Resource,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5770; levenshtein=0.2500; semantic=0.4866; sequence_match=0.5263,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.6
software interface,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6811; levenshtein=0.2941; semantic=0.5751; sequence_match=0.3333,False,0.5299,False,top-3 avg score 0.5299 < final_threshold 0.6
programming language,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6135; levenshtein=0.2632; semantic=0.6093; sequence_match=0.3636,False,0.5288,False,top-3 avg score 0.5288 < final_threshold 0.6
CEL binary format,Collaborator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6722; levenshtein=0.3333; semantic=0.3939; sequence_match=0.5185,False,0.5282,False,top-3 avg score 0.5282 < final_threshold 0.6
web service,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5651; levenshtein=0.2143; semantic=0.5164; sequence_match=0.5000,False,0.5272,False,top-3 avg score 0.5272 < final_threshold 0.6
PROcess,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5979; levenshtein=0.3333; semantic=0.5021; sequence_match=0.4800,False,0.5267,False,top-3 avg score 0.5267 < final_threshold 0.6
software interface,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6315; levenshtein=0.1667; semantic=0.5410; sequence_match=0.4000,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.6
software interface,Open Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5611; levenshtein=0.2941; semantic=0.6378; sequence_match=0.3704,False,0.5231,False,top-3 avg score 0.5231 < final_threshold 0.6
licence,Help Access,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.2000; semantic=0.5429; sequence_match=0.3529,False,0.5224,False,top-3 avg score 0.5224 < final_threshold 0.6
data item,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.4889; sequence_match=0.4444,False,0.5222,False,top-3 avg score 0.5222 < final_threshold 0.6
Development status,Help Access,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5954; levenshtein=0.2941; semantic=0.5214; sequence_match=0.4444,False,0.5204,False,top-3 avg score 0.5204 < final_threshold 0.6
function,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5557; sequence_match=0.4000,False,0.519,False,top-3 avg score 0.5190 < final_threshold 0.6
PROcess,Open Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.2000; semantic=0.5106; sequence_match=0.4706,False,0.5183,False,top-3 avg score 0.5183 < final_threshold 0.6
programming language,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5838; levenshtein=0.3158; semantic=0.5335; sequence_match=0.4324,False,0.5166,False,top-3 avg score 0.5166 < final_threshold 0.6
data item,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5434; sequence_match=0.4000,False,0.5149,False,top-3 avg score 0.5149 < final_threshold 0.6
Source code available,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5307; levenshtein=0.1579; semantic=0.6447; sequence_match=0.3684,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.6
desktop graphical user interface,Proprietary License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6885; levenshtein=0.2414; semantic=0.5141; sequence_match=0.3404,False,0.5143,False,top-3 avg score 0.5143 < final_threshold 0.6
Purchase cost,Open Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6183; levenshtein=0.0833; semantic=0.4688; sequence_match=0.4545,False,0.5139,False,top-3 avg score 0.5139 < final_threshold 0.6
Source code available,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5709; levenshtein=0.1579; semantic=0.5828; sequence_match=0.3871,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.6
Not Free,Version Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2143; semantic=0.5063; sequence_match=0.3810,False,0.5127,False,top-3 avg score 0.5127 < final_threshold 0.6
Not Free,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6688; levenshtein=0.2632; semantic=0.4841; sequence_match=0.3846,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.6
Not Free,Open Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6048; levenshtein=0.2000; semantic=0.5795; sequence_match=0.3529,False,0.5124,False,top-3 avg score 0.5124 < final_threshold 0.6
desktop graphical user interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2069; semantic=0.6407; sequence_match=0.3158,False,0.5114,False,top-3 avg score 0.5114 < final_threshold 0.6
Free,Software License Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7368; levenshtein=0.2105; semantic=0.4467; sequence_match=0.3478,False,0.5105,False,top-3 avg score 0.5105 < final_threshold 0.6
text editing,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6447; levenshtein=0.4167; semantic=0.4514; sequence_match=0.4348,False,0.5103,False,top-3 avg score 0.5103 < final_threshold 0.6
function,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.5361; sequence_match=0.4444,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.6
licence,Open Source,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6571; levenshtein=0.3000; semantic=0.5732; sequence_match=0.2353,False,0.5101,False,top-3 avg score 0.5101 < final_threshold 0.6
software developer role,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5254; levenshtein=0.3333; semantic=0.5146; sequence_match=0.4878,False,0.5093,False,top-3 avg score 0.5093 < final_threshold 0.6
desktop graphical user interface,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6023; levenshtein=0.2069; semantic=0.5650; sequence_match=0.3590,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
version number,Open Source,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6033; levenshtein=0.3077; semantic=0.6150; sequence_match=0.2609,False,0.5087,False,top-3 avg score 0.5087 < final_threshold 0.6
licence,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6028; levenshtein=0.2941; semantic=0.5030; sequence_match=0.4167,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.6
software interface,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6291; levenshtein=0.2941; semantic=0.5482; sequence_match=0.3448,False,0.5074,False,top-3 avg score 0.5074 < final_threshold 0.6
software interface,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5381; levenshtein=0.1176; semantic=0.5060; sequence_match=0.4706,False,0.5049,False,top-3 avg score 0.5049 < final_threshold 0.6
licence,GIF Rendering,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.4575; sequence_match=0.4211,False,0.5045,False,top-3 avg score 0.5045 < final_threshold 0.6
algorithm,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.3333; semantic=0.5402; sequence_match=0.3810,False,0.504,False,top-3 avg score 0.5040 < final_threshold 0.6
