prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasVintageYear,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8787; levenshtein=0.5000; semantic=0.8886; sequence_match=0.6316,False,0.7996,True,selected
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,hasColor,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.2083; semantic=0.6145; sequence_match=0.3125,False,0.5127,False,top-3 avg score 0.5127 < final_threshold 0.7
ObjectProperty,hasFlavor,has origin region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.2667; semantic=0.4759; sequence_match=0.4167,False,0.5074,False,top-3 avg score 0.5074 < final_threshold 0.7
ObjectProperty,hasVintageYear,of wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.6406; sequence_match=0.3000,False,0.504,False,top-3 avg score 0.5040 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2500; semantic=0.5068; sequence_match=0.3750,False,0.4976,False,top-3 avg score 0.4976 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.2083; semantic=0.6063; sequence_match=0.3030,False,0.4976,False,top-3 avg score 0.4976 < final_threshold 0.7
ObjectProperty,hasBody,has grape variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5429; levenshtein=0.2667; semantic=0.5476; sequence_match=0.3636,False,0.4847,False,top-3 avg score 0.4847 < final_threshold 0.7
ObjectProperty,hasBody,has origin region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6127; levenshtein=0.2000; semantic=0.4597; sequence_match=0.3636,False,0.4787,False,top-3 avg score 0.4787 < final_threshold 0.7
ObjectProperty,hasBody,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,hasSugar,has origin region,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5861; levenshtein=0.3333; semantic=0.3842; sequence_match=0.4348,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,locatedIn,of wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5185; levenshtein=0.2222; semantic=0.4858; sequence_match=0.4000,False,0.4681,False,top-3 avg score 0.4681 < final_threshold 0.7
ObjectProperty,locatedIn,has origin region,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4963; levenshtein=0.2667; semantic=0.5252; sequence_match=0.2500,False,0.4294,False,top-3 avg score 0.4294 < final_threshold 0.7
ObjectProperty,madeFromGrape,has vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5148; levenshtein=0.2083; semantic=0.5015; sequence_match=0.2703,False,0.4289,False,top-3 avg score 0.4289 < final_threshold 0.7
ObjectProperty,hasBody,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5179; levenshtein=0.1250; semantic=0.5633; sequence_match=0.1935,False,0.4249,False,top-3 avg score 0.4249 < final_threshold 0.7
ObjectProperty,locatedIn,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.2083; semantic=0.4819; sequence_match=0.3030,False,0.419,False,top-3 avg score 0.4190 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,madeFromGrape,has origin region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5650; levenshtein=0.1333; semantic=0.4105; sequence_match=0.2143,False,0.3966,False,top-3 avg score 0.3966 < final_threshold 0.7
ObjectProperty,madeFromGrape,of wine,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3291; levenshtein=0.1538; semantic=0.7034; sequence_match=0.1053,False,0.3955,False,top-3 avg score 0.3955 < final_threshold 0.7
ObjectProperty,locatedIn,has grape variety,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.4638; sequence_match=0.1667,False,0.3916,False,top-3 avg score 0.3916 < final_threshold 0.7
ObjectProperty,hasFlavor,of wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.1111; semantic=0.5204; sequence_match=0.1333,False,0.3599,False,top-3 avg score 0.3599 < final_threshold 0.7
ObjectProperty,hasColor,of wine,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5424; sequence_match=0.1429,False,0.2284,False,top-3 avg score 0.2284 < final_threshold 0.7
ObjectProperty,hasBody,of wine,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5071; sequence_match=0.1538,False,0.2203,False,top-3 avg score 0.2203 < final_threshold 0.7
ObjectProperty,hasSugar,of wine,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5047; sequence_match=0.0000,False,0.1682,False,top-3 avg score 0.1682 < final_threshold 0.7
DatatypeProperty,yearValue,has vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.6890; sequence_match=0.3478,False,0.5379,False,top-3 avg score 0.5379 < final_threshold 0.7
