prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,measurement made by,measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9176; levenshtein=0.5882; semantic=0.8482; sequence_match=0.7407,False,0.8355,True,selected
ObjectProperty,applies to,actuator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5412; sequence_match=0.3158,False,0.4671,False,top-3 avg score 0.4671 < final_threshold 0.7
ObjectProperty,isKPIOf,billing info of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.3077; semantic=0.4537; sequence_match=0.4000,False,0.4656,False,top-3 avg score 0.4656 < final_threshold 0.7
ObjectProperty,has duration,tariff of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.2727; semantic=0.4246; sequence_match=0.4211,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.7
ObjectProperty,has billing period,has device,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.3125; semantic=0.4325; sequence_match=0.4000,False,0.4628,False,top-3 avg score 0.4628 < final_threshold 0.7
ObjectProperty,applies to,sensor of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.0000; semantic=0.5440; sequence_match=0.3529,False,0.4626,False,top-3 avg score 0.4626 < final_threshold 0.7
ObjectProperty,measurement made by,has water meter,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5703; levenshtein=0.2941; semantic=0.5228; sequence_match=0.2000,False,0.4624,False,top-3 avg score 0.4624 < final_threshold 0.7
ObjectProperty,makes measurement,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5846; levenshtein=0.1875; semantic=0.5047; sequence_match=0.2963,False,0.4619,False,top-3 avg score 0.4619 < final_threshold 0.7
ObjectProperty,isKPIOf,has tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.4594; sequence_match=0.2500,False,0.46,False,top-3 avg score 0.4600 < final_threshold 0.7
ObjectProperty,has period,device of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1111; semantic=0.4545; sequence_match=0.3529,False,0.459,False,top-3 avg score 0.4590 < final_threshold 0.7
ObjectProperty,feature is measured by device,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6231; levenshtein=0.2000; semantic=0.4362; sequence_match=0.3158,False,0.4583,False,top-3 avg score 0.4583 < final_threshold 0.7
ObjectProperty,has duration,sensor of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.5091; sequence_match=0.3158,False,0.458,False,top-3 avg score 0.4580 < final_threshold 0.7
ObjectProperty,has property,has billing info,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4957; levenshtein=0.2143; semantic=0.5555; sequence_match=0.3200,False,0.4571,False,top-3 avg score 0.4571 < final_threshold 0.7
ObjectProperty,has property,composed by,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5848; levenshtein=0.3636; semantic=0.4223; sequence_match=0.2857,False,0.4569,False,top-3 avg score 0.4569 < final_threshold 0.7
ObjectProperty,isKPIOf,tariff of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4901; levenshtein=0.2500; semantic=0.4794; sequence_match=0.4000,False,0.4565,False,top-3 avg score 0.4565 < final_threshold 0.7
ObjectProperty,has property,water meter of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5707; levenshtein=0.3333; semantic=0.4599; sequence_match=0.2609,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
ObjectProperty,hasGeometry,composes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.1818; semantic=0.5928; sequence_match=0.3158,False,0.4544,False,top-3 avg score 0.4544 < final_threshold 0.7
ObjectProperty,makes measurement,sensor of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.2500; semantic=0.6092; sequence_match=0.2500,False,0.4531,False,top-3 avg score 0.4531 < final_threshold 0.7
ObjectProperty,has property,tariff of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.4861; sequence_match=0.3158,False,0.4504,False,top-3 avg score 0.4504 < final_threshold 0.7
ObjectProperty,has key performance indicator,sensor of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5491; levenshtein=0.1923; semantic=0.4995; sequence_match=0.2941,False,0.4476,False,top-3 avg score 0.4476 < final_threshold 0.7
ObjectProperty,is measured by device,water meter of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.1667; semantic=0.5823; sequence_match=0.2000,False,0.4459,False,top-3 avg score 0.4459 < final_threshold 0.7
ObjectProperty,feature is measured by device,water meter of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5552; levenshtein=0.2400; semantic=0.4571; sequence_match=0.3243,False,0.4455,False,top-3 avg score 0.4455 < final_threshold 0.7
ObjectProperty,hasGeometry,composed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5182; levenshtein=0.2727; semantic=0.4359; sequence_match=0.3810,False,0.445,False,top-3 avg score 0.4450 < final_threshold 0.7
ObjectProperty,applies to,has billing info,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2857; semantic=0.4123; sequence_match=0.3478,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.7
ObjectProperty,measurement made by,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4832; levenshtein=0.2353; semantic=0.5392; sequence_match=0.3077,False,0.4434,False,top-3 avg score 0.4434 < final_threshold 0.7
ObjectProperty,has key performance indicator,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5871; levenshtein=0.1923; semantic=0.4547; sequence_match=0.2857,False,0.4425,False,top-3 avg score 0.4425 < final_threshold 0.7
ObjectProperty,applies to,water meter of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5093; levenshtein=0.2500; semantic=0.4331; sequence_match=0.3810,False,0.4411,False,top-3 avg score 0.4411 < final_threshold 0.7
ObjectProperty,applies to,composes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.2222; semantic=0.5102; sequence_match=0.3529,False,0.4405,False,top-3 avg score 0.4405 < final_threshold 0.7
ObjectProperty,applies to,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.5095; sequence_match=0.3529,False,0.4403,False,top-3 avg score 0.4403 < final_threshold 0.7
ObjectProperty,applies to,has tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.5023; sequence_match=0.3333,False,0.439,False,top-3 avg score 0.4390 < final_threshold 0.7
ObjectProperty,hasGeometry,actuator of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5045; levenshtein=0.0909; semantic=0.5245; sequence_match=0.2857,False,0.4382,False,top-3 avg score 0.4382 < final_threshold 0.7
ObjectProperty,is measured by device,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.1667; semantic=0.5064; sequence_match=0.2581,False,0.4372,False,top-3 avg score 0.4372 < final_threshold 0.7
ObjectProperty,has phenomenon time,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5033; levenshtein=0.2353; semantic=0.4218; sequence_match=0.3846,False,0.4366,False,top-3 avg score 0.4366 < final_threshold 0.7
ObjectProperty,has billing period,sensor of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5208; levenshtein=0.2500; semantic=0.4539; sequence_match=0.3333,False,0.436,False,top-3 avg score 0.4360 < final_threshold 0.7
ObjectProperty,makes measurement,has tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5648; levenshtein=0.2500; semantic=0.4925; sequence_match=0.2400,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.7
ObjectProperty,applies to,defined for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.2000; semantic=0.5551; sequence_match=0.3158,False,0.4347,False,top-3 avg score 0.4347 < final_threshold 0.7
ObjectProperty,makes measurement,has device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.2500; semantic=0.5018; sequence_match=0.3200,False,0.4344,False,top-3 avg score 0.4344 < final_threshold 0.7
ObjectProperty,is measured by device,composed by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.3517; sequence_match=0.3571,False,0.4326,False,top-3 avg score 0.4326 < final_threshold 0.7
ObjectProperty,hasGeometry,defined for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5045; levenshtein=0.0909; semantic=0.5009; sequence_match=0.2857,False,0.4304,False,top-3 avg score 0.4304 < final_threshold 0.7
ObjectProperty,has billing period,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5223; levenshtein=0.2500; semantic=0.4683; sequence_match=0.2963,False,0.429,False,top-3 avg score 0.4290 < final_threshold 0.7
