prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has period,has tariff,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5079; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
DatatypeProperty,has manufacturer,manufacturer,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8500; levenshtein=0.8000; semantic=0.9217; sequence_match=0.8889,False,0.8869,True,selected
DatatypeProperty,has version,version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8048; levenshtein=0.7000; semantic=0.9101; sequence_match=0.8235,False,0.8461,True,selected
DatatypeProperty,has model,model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8750; levenshtein=0.6250; semantic=0.8790; sequence_match=0.7692,False,0.8411,True,selected
DatatypeProperty,has firmware version,hardware version,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8277; levenshtein=0.7778; semantic=0.7865; sequence_match=0.8485,False,0.8209,False,gold already mapped to 'firmware version'
DatatypeProperty,has version,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8370; levenshtein=0.6000; semantic=0.7946; sequence_match=0.7200,False,0.7839,False,gold already mapped to 'version'
DatatypeProperty,has hardware version,firmware version,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6667; semantic=0.7055; sequence_match=0.7273,False,0.7424,False,gold already mapped to 'hardware version'
DatatypeProperty,has version,firmware version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6528; levenshtein=0.5333; semantic=0.7954; sequence_match=0.6400,False,0.6961,False,top-3 avg score 0.6961 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,radio frequency level,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6696; levenshtein=0.3750; semantic=0.7023; sequence_match=0.6512,False,0.6743,False,top-3 avg score 0.6743 < final_threshold 0.7
DatatypeProperty,has firmware version,version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4206; levenshtein=0.3889; semantic=0.8183; sequence_match=0.5600,False,0.5996,False,top-3 avg score 0.5996 < final_threshold 0.7
DatatypeProperty,requires power,power,semantic+sequence_match+levenshtein,jaro_winkler=0.3513; levenshtein=0.3846; semantic=0.8094; sequence_match=0.5556,False,0.5832,False,top-3 avg score 0.5832 < final_threshold 0.7
DatatypeProperty,has start timestamp,tariff start date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6723; levenshtein=0.2353; semantic=0.5585; sequence_match=0.5000,False,0.5769,False,top-3 avg score 0.5769 < final_threshold 0.7
DatatypeProperty,has fabrication number,manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6593; levenshtein=0.3500; semantic=0.6733; sequence_match=0.3750,False,0.5692,False,top-3 avg score 0.5692 < final_threshold 0.7
DatatypeProperty,has hardware version,version,semantic+sequence_match+levenshtein,jaro_winkler=0.2989; levenshtein=0.3889; semantic=0.7456; sequence_match=0.5600,False,0.5648,False,top-3 avg score 0.5648 < final_threshold 0.7
DatatypeProperty,has manufacturer,fabrication number,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5617; levenshtein=0.2353; semantic=0.6419; sequence_match=0.3750,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
DatatypeProperty,has model,hardware version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2000; semantic=0.6050; sequence_match=0.3478,False,0.5139,False,top-3 avg score 0.5139 < final_threshold 0.7
DatatypeProperty,has manufacturer,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1333; semantic=0.5185; sequence_match=0.4000,False,0.5062,False,top-3 avg score 0.5062 < final_threshold 0.7
DatatypeProperty,requires power,radio frequency level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6109; levenshtein=0.2632; semantic=0.5312; sequence_match=0.3750,False,0.5057,False,top-3 avg score 0.5057 < final_threshold 0.7
DatatypeProperty,has firmware version,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1111; semantic=0.5613; sequence_match=0.3429,False,0.5018,False,top-3 avg score 0.5018 < final_threshold 0.7
DatatypeProperty,has firmware version,manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5146; levenshtein=0.2222; semantic=0.5905; sequence_match=0.4000,False,0.5017,False,top-3 avg score 0.5017 < final_threshold 0.7
DatatypeProperty,has fabrication number,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.2500; semantic=0.5397; sequence_match=0.3429,False,0.5016,False,top-3 avg score 0.5016 < final_threshold 0.7
DatatypeProperty,requires power,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6329; levenshtein=0.1333; semantic=0.5655; sequence_match=0.2857,False,0.4947,False,top-3 avg score 0.4947 < final_threshold 0.7
DatatypeProperty,requires power,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.0769; semantic=0.4778; sequence_match=0.4000,False,0.492,False,top-3 avg score 0.4920 < final_threshold 0.7
DatatypeProperty,has firmware version,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.3333; semantic=0.4531; sequence_match=0.4000,False,0.4911,False,top-3 avg score 0.4911 < final_threshold 0.7
DatatypeProperty,has firmware version,tariff duration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6402; levenshtein=0.3333; semantic=0.4512; sequence_match=0.3750,False,0.4888,False,top-3 avg score 0.4888 < final_threshold 0.7
DatatypeProperty,has start timestamp,temporal setting,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5430; levenshtein=0.1765; semantic=0.6004; sequence_match=0.3125,False,0.4853,False,top-3 avg score 0.4853 < final_threshold 0.7
DatatypeProperty,requires power,firmware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6530; levenshtein=0.1333; semantic=0.5130; sequence_match=0.2857,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.7
DatatypeProperty,has version,temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5794; levenshtein=0.2000; semantic=0.4699; sequence_match=0.4000,False,0.4831,False,top-3 avg score 0.4831 < final_threshold 0.7
DatatypeProperty,has timestamp,temporal setting,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5222; levenshtein=0.1333; semantic=0.6220; sequence_match=0.2963,False,0.4802,False,top-3 avg score 0.4802 < final_threshold 0.7
DatatypeProperty,has version,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2353; semantic=0.4719; sequence_match=0.3704,False,0.4801,False,top-3 avg score 0.4801 < final_threshold 0.7
DatatypeProperty,has version,tariff duration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.4019; sequence_match=0.4167,False,0.4792,False,top-3 avg score 0.4792 < final_threshold 0.7
DatatypeProperty,has version,tariff period,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5722; levenshtein=0.3333; semantic=0.4053; sequence_match=0.4545,False,0.4773,False,top-3 avg score 0.4773 < final_threshold 0.7
DatatypeProperty,requires power,version,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5663; levenshtein=0.3077; semantic=0.5485; sequence_match=0.2000,False,0.4742,False,top-3 avg score 0.4742 < final_threshold 0.7
DatatypeProperty,has hardware version,manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4981; levenshtein=0.2222; semantic=0.5880; sequence_match=0.3333,False,0.4732,False,top-3 avg score 0.4732 < final_threshold 0.7
DatatypeProperty,has hardware version,tariff duration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5886; levenshtein=0.3333; semantic=0.3885; sequence_match=0.4375,False,0.4716,False,top-3 avg score 0.4716 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.2083; semantic=0.4784; sequence_match=0.3077,False,0.4713,False,top-3 avg score 0.4713 < final_threshold 0.7
DatatypeProperty,has fabrication number,tariff duration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6048; levenshtein=0.3000; semantic=0.3382; sequence_match=0.4706,False,0.4712,False,top-3 avg score 0.4712 < final_threshold 0.7
DatatypeProperty,has fabrication number,version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.2000; semantic=0.5221; sequence_match=0.2963,False,0.4688,False,top-3 avg score 0.4688 < final_threshold 0.7
DatatypeProperty,has fabrication number,firmware version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.1500; semantic=0.5586; sequence_match=0.2857,False,0.4666,False,top-3 avg score 0.4666 < final_threshold 0.7
DatatypeProperty,has firmware version,radio frequency level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5468; levenshtein=0.1053; semantic=0.5188; sequence_match=0.3243,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.7
DatatypeProperty,has manufacturer,tariff start date,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6056; levenshtein=0.2000; semantic=0.3822; sequence_match=0.4000,False,0.4626,False,top-3 avg score 0.4626 < final_threshold 0.7
DatatypeProperty,has timestamp,tariff start date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.2667; semantic=0.4909; sequence_match=0.3704,False,0.4612,False,top-3 avg score 0.4612 < final_threshold 0.7
DatatypeProperty,has model,version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.5892; sequence_match=0.2667,False,0.4559,False,top-3 avg score 0.4559 < final_threshold 0.7
DatatypeProperty,has hardware version,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5622; levenshtein=0.3333; semantic=0.4020; sequence_match=0.4000,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
DatatypeProperty,has version,geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5045; levenshtein=0.2727; semantic=0.4785; sequence_match=0.3810,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
DatatypeProperty,has timestamp,hardware version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5167; levenshtein=0.2000; semantic=0.5499; sequence_match=0.2963,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.7
DatatypeProperty,has start timestamp,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5309; levenshtein=0.2941; semantic=0.5126; sequence_match=0.3125,False,0.452,False,top-3 avg score 0.4520 < final_threshold 0.7
DatatypeProperty,has firmware version,billing date period,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5050; levenshtein=0.3889; semantic=0.4578; sequence_match=0.3429,False,0.4506,False,top-3 avg score 0.4506 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,firmware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5944; levenshtein=0.2083; semantic=0.4456; sequence_match=0.3077,False,0.4492,False,top-3 avg score 0.4492 < final_threshold 0.7
DatatypeProperty,has model,power,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.4827; sequence_match=0.3077,False,0.4468,False,top-3 avg score 0.4468 < final_threshold 0.7
DatatypeProperty,has timestamp,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5036; levenshtein=0.1765; semantic=0.4874; sequence_match=0.3448,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.7
DatatypeProperty,has fabrication number,geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5040; levenshtein=0.3000; semantic=0.4356; sequence_match=0.3871,False,0.4422,False,top-3 avg score 0.4422 < final_threshold 0.7
DatatypeProperty,has hardware version,geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5286; levenshtein=0.2222; semantic=0.5204; sequence_match=0.2759,False,0.4416,False,top-3 avg score 0.4416 < final_threshold 0.7
DatatypeProperty,requires power,manufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5470; levenshtein=0.2308; semantic=0.5376; sequence_match=0.2400,False,0.4415,False,top-3 avg score 0.4415 < final_threshold 0.7
DatatypeProperty,has fabrication number,billing date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5669; levenshtein=0.2500; semantic=0.4326; sequence_match=0.3226,False,0.4407,False,top-3 avg score 0.4407 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5075; levenshtein=0.2500; semantic=0.4255; sequence_match=0.3871,False,0.44,False,top-3 avg score 0.4400 < final_threshold 0.7
DatatypeProperty,has fabrication number,tariff start date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.2000; semantic=0.3982; sequence_match=0.3429,False,0.4378,False,top-3 avg score 0.4378 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,tariff duration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6268; levenshtein=0.2500; semantic=0.3703; sequence_match=0.3158,False,0.4376,False,top-3 avg score 0.4376 < final_threshold 0.7
DatatypeProperty,has start timestamp,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5126; levenshtein=0.1176; semantic=0.4457; sequence_match=0.3529,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6093; levenshtein=0.2500; semantic=0.3411; sequence_match=0.3590,False,0.4365,False,top-3 avg score 0.4365 < final_threshold 0.7
DatatypeProperty,has start timestamp,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5036; levenshtein=0.2353; semantic=0.4500; sequence_match=0.3448,False,0.4328,False,top-3 avg score 0.4328 < final_threshold 0.7
DatatypeProperty,has firmware version,geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5286; levenshtein=0.2222; semantic=0.4879; sequence_match=0.2759,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.7
DatatypeProperty,has hardware version,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5133; levenshtein=0.1111; semantic=0.4901; sequence_match=0.2857,False,0.4297,False,top-3 avg score 0.4297 < final_threshold 0.7
DatatypeProperty,has hardware version,temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.2222; semantic=0.4617; sequence_match=0.3030,False,0.429,False,top-3 avg score 0.4290 < final_threshold 0.7
DatatypeProperty,has model,radio frequency level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5627; levenshtein=0.2105; semantic=0.4277; sequence_match=0.2963,False,0.4289,False,top-3 avg score 0.4289 < final_threshold 0.7
DatatypeProperty,requires power,tariff duration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5139; levenshtein=0.0714; semantic=0.4718; sequence_match=0.2963,False,0.4273,False,top-3 avg score 0.4273 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4998; levenshtein=0.2500; semantic=0.4363; sequence_match=0.3429,False,0.4263,False,top-3 avg score 0.4263 < final_threshold 0.7
DatatypeProperty,has hardware version,radio frequency level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5385; levenshtein=0.1053; semantic=0.4634; sequence_match=0.2703,False,0.4241,False,top-3 avg score 0.4241 < final_threshold 0.7
DatatypeProperty,has hardware version,tariff start date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5343; levenshtein=0.1667; semantic=0.4316; sequence_match=0.3030,False,0.423,False,top-3 avg score 0.4230 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,power,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.1250; semantic=0.4876; sequence_match=0.2069,False,0.4222,False,top-3 avg score 0.4222 < final_threshold 0.7
DatatypeProperty,has timestamp,billing date,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4823; levenshtein=0.1667; semantic=0.5222; sequence_match=0.2609,False,0.4218,False,top-3 avg score 0.4218 < final_threshold 0.7
DatatypeProperty,has timestamp,model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.0833; semantic=0.5062; sequence_match=0.2353,False,0.4213,False,top-3 avg score 0.4213 < final_threshold 0.7
DatatypeProperty,requires power,billing date period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5493; levenshtein=0.1765; semantic=0.4478; sequence_match=0.2667,False,0.4212,False,top-3 avg score 0.4212 < final_threshold 0.7
DatatypeProperty,requires power,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5596; levenshtein=0.2353; semantic=0.4367; sequence_match=0.2667,False,0.421,False,top-3 avg score 0.4210 < final_threshold 0.7
DatatypeProperty,has model,temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.1333; semantic=0.4519; sequence_match=0.2609,False,0.4209,False,top-3 avg score 0.4209 < final_threshold 0.7
DatatypeProperty,has hardware version,model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5037; levenshtein=0.1111; semantic=0.5839; sequence_match=0.1739,False,0.4205,False,top-3 avg score 0.4205 < final_threshold 0.7
DatatypeProperty,has version,billing date period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4647; levenshtein=0.2353; semantic=0.4218; sequence_match=0.3704,False,0.4189,False,top-3 avg score 0.4189 < final_threshold 0.7
DatatypeProperty,has version,power,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5333; levenshtein=0.2000; semantic=0.4540; sequence_match=0.2667,False,0.418,False,top-3 avg score 0.4180 < final_threshold 0.7
DatatypeProperty,has start timestamp,manufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5036; levenshtein=0.2353; semantic=0.4723; sequence_match=0.2759,False,0.4173,False,top-3 avg score 0.4173 < final_threshold 0.7
DatatypeProperty,has timestamp,firmware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5167; levenshtein=0.0667; semantic=0.5090; sequence_match=0.2222,False,0.416,False,top-3 avg score 0.4160 < final_threshold 0.7
DatatypeProperty,has model,tariff start date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5250; levenshtein=0.2000; semantic=0.3721; sequence_match=0.3478,False,0.415,False,top-3 avg score 0.4150 < final_threshold 0.7
DatatypeProperty,has timestamp,version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4484; levenshtein=0.0833; semantic=0.5829; sequence_match=0.2105,False,0.4139,False,top-3 avg score 0.4139 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.3797; sequence_match=0.2778,False,0.4136,False,top-3 avg score 0.4136 < final_threshold 0.7
DatatypeProperty,has firmware version,power,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4778; levenshtein=0.1667; semantic=0.4995; sequence_match=0.2609,False,0.4127,False,top-3 avg score 0.4127 < final_threshold 0.7
DatatypeProperty,has hardware version,billing date period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5050; levenshtein=0.3333; semantic=0.3894; sequence_match=0.3429,False,0.4124,False,top-3 avg score 0.4124 < final_threshold 0.7
DatatypeProperty,has hardware version,power,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4778; levenshtein=0.1667; semantic=0.4972; sequence_match=0.2609,False,0.412,False,top-3 avg score 0.4120 < final_threshold 0.7
DatatypeProperty,has manufacturer,firmware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4889; levenshtein=0.0667; semantic=0.4794; sequence_match=0.2667,False,0.4117,False,top-3 avg score 0.4117 < final_threshold 0.7
DatatypeProperty,has firmware version,model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5037; levenshtein=0.1111; semantic=0.5517; sequence_match=0.1739,False,0.4098,False,top-3 avg score 0.4098 < final_threshold 0.7
DatatypeProperty,has firmware version,tariff start date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5759; levenshtein=0.1667; semantic=0.4629; sequence_match=0.1818,False,0.4069,False,top-3 avg score 0.4069 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,tariff start date,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6556; levenshtein=0.2083; semantic=0.3561; sequence_match=0.2051,False,0.4067,False,top-3 avg score 0.4067 < final_threshold 0.7
DatatypeProperty,has start timestamp,geolocation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4831; levenshtein=0.1176; semantic=0.5187; sequence_match=0.2143,False,0.4053,False,top-3 avg score 0.4053 < final_threshold 0.7
DatatypeProperty,has fabrication number,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.1500; semantic=0.3554; sequence_match=0.3125,False,0.4041,False,top-3 avg score 0.4041 < final_threshold 0.7
DatatypeProperty,has timestamp,manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4778; levenshtein=0.0833; semantic=0.4825; sequence_match=0.2500,False,0.4034,False,top-3 avg score 0.4034 < final_threshold 0.7
DatatypeProperty,has version,manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.0833; semantic=0.4817; sequence_match=0.2727,False,0.4033,False,top-3 avg score 0.4033 < final_threshold 0.7
DatatypeProperty,has start timestamp,tariff duration,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4272; levenshtein=0.1765; semantic=0.4531; sequence_match=0.3226,False,0.401,False,top-3 avg score 0.4010 < final_threshold 0.7
DatatypeProperty,requires power,temporal setting,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4538; levenshtein=0.2000; semantic=0.4556; sequence_match=0.2857,False,0.3984,False,top-3 avg score 0.3984 < final_threshold 0.7
DatatypeProperty,has model,fabrication number,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4559; levenshtein=0.1765; semantic=0.4990; sequence_match=0.2400,False,0.3983,False,top-3 avg score 0.3983 < final_threshold 0.7
DatatypeProperty,has model,geolocation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4773; levenshtein=0.0909; semantic=0.5062; sequence_match=0.2105,False,0.398,False,top-3 avg score 0.3980 < final_threshold 0.7
DatatypeProperty,has model,firmware version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4139; levenshtein=0.1333; semantic=0.5183; sequence_match=0.2609,False,0.3977,False,top-3 avg score 0.3977 < final_threshold 0.7
DatatypeProperty,has timestamp,geolocation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3990; levenshtein=0.0833; semantic=0.5307; sequence_match=0.2609,False,0.3969,False,top-3 avg score 0.3969 < final_threshold 0.7
DatatypeProperty,has model,manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.1667; semantic=0.5597; sequence_match=0.2000,False,0.3968,False,top-3 avg score 0.3968 < final_threshold 0.7
DatatypeProperty,has version,radio frequency level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5275; levenshtein=0.1579; semantic=0.4335; sequence_match=0.2069,False,0.3893,False,top-3 avg score 0.3893 < final_threshold 0.7
DatatypeProperty,has firmware version,temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4757; levenshtein=0.2222; semantic=0.4478; sequence_match=0.2424,False,0.3886,False,top-3 avg score 0.3886 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,manufacturer,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5833; levenshtein=0.1667; semantic=0.4155; sequence_match=0.1111,False,0.3885,False,top-3 avg score 0.3885 < final_threshold 0.7
DatatypeProperty,has model,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.3871; sequence_match=0.3000,False,0.3865,False,top-3 avg score 0.3865 < final_threshold 0.7
