prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,madeFromGrape,made from grape,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,for vintage year,semantic+sequence_match+levenshtein,jaro_winkler=0.7056; levenshtein=0.7857; semantic=0.9306; sequence_match=0.7857,False,0.834,True,selected
ObjectProperty,madeFromGrape,for vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.0714; semantic=0.5975; sequence_match=0.2222,False,0.4833,False,top-3 avg score 0.4833 < final_threshold 0.7
ObjectProperty,hasColor,characteristic of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.2500; semantic=0.5322; sequence_match=0.4167,False,0.483,False,top-3 avg score 0.4830 < final_threshold 0.7
ObjectProperty,locatedIn,for wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.4745; sequence_match=0.3750,False,0.4794,False,top-3 avg score 0.4794 < final_threshold 0.7
ObjectProperty,hasBody,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,hasFlavor,characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.1875; semantic=0.5276; sequence_match=0.3200,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.7
ObjectProperty,hasFlavor,made from grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.2308; semantic=0.5460; sequence_match=0.2727,False,0.4662,False,top-3 avg score 0.4662 < final_threshold 0.7
ObjectProperty,hasSugar,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5676; sequence_match=0.2857,False,0.4575,False,top-3 avg score 0.4575 < final_threshold 0.7
ObjectProperty,hasSugar,assesses vintage of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5784; levenshtein=0.1765; semantic=0.4703; sequence_match=0.3200,False,0.4562,False,top-3 avg score 0.4562 < final_threshold 0.7
ObjectProperty,locatedIn,for vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5034; sequence_match=0.2609,False,0.4505,False,top-3 avg score 0.4505 < final_threshold 0.7
ObjectProperty,hasVintageYear,characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5506; levenshtein=0.1250; semantic=0.5324; sequence_match=0.2667,False,0.4499,False,top-3 avg score 0.4499 < final_threshold 0.7
ObjectProperty,hasFlavor,for wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.0000; semantic=0.5540; sequence_match=0.3750,False,0.449,False,top-3 avg score 0.4490 < final_threshold 0.7
ObjectProperty,hasFlavor,for vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5042; levenshtein=0.1429; semantic=0.5796; sequence_match=0.2609,False,0.4482,False,top-3 avg score 0.4482 < final_threshold 0.7
ObjectProperty,hasBody,characteristic of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4702; levenshtein=0.1875; semantic=0.4996; sequence_match=0.3478,False,0.4392,False,top-3 avg score 0.4392 < final_threshold 0.7
ObjectProperty,hasSugar,for vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.2143; semantic=0.5203; sequence_match=0.3636,False,0.4375,False,top-3 avg score 0.4375 < final_threshold 0.7
ObjectProperty,madeFromGrape,has vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5148; levenshtein=0.2083; semantic=0.5015; sequence_match=0.2703,False,0.4289,False,top-3 avg score 0.4289 < final_threshold 0.7
ObjectProperty,hasBody,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5179; levenshtein=0.1250; semantic=0.5633; sequence_match=0.1935,False,0.4249,False,top-3 avg score 0.4249 < final_threshold 0.7
ObjectProperty,hasVintageYear,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5305; sequence_match=0.2222,False,0.4239,False,top-3 avg score 0.4239 < final_threshold 0.7
ObjectProperty,hasSugar,characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5792; levenshtein=0.1875; semantic=0.4286; sequence_match=0.2500,False,0.4193,False,top-3 avg score 0.4193 < final_threshold 0.7
ObjectProperty,locatedIn,has vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.2083; semantic=0.4819; sequence_match=0.3030,False,0.419,False,top-3 avg score 0.4190 < final_threshold 0.7
ObjectProperty,hasColor,assesses vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4559; levenshtein=0.1176; semantic=0.5578; sequence_match=0.2400,False,0.4179,False,top-3 avg score 0.4179 < final_threshold 0.7
ObjectProperty,hasFlavor,assesses vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.5417; sequence_match=0.2308,False,0.4163,False,top-3 avg score 0.4163 < final_threshold 0.7
ObjectProperty,locatedIn,assesses vintage of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4832; levenshtein=0.1765; semantic=0.4570; sequence_match=0.3077,False,0.416,False,top-3 avg score 0.4160 < final_threshold 0.7
ObjectProperty,hasBody,assesses vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4678; levenshtein=0.0588; semantic=0.5292; sequence_match=0.2500,False,0.4157,False,top-3 avg score 0.4157 < final_threshold 0.7
ObjectProperty,hasColor,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5322; sequence_match=0.2857,False,0.414,False,top-3 avg score 0.4140 < final_threshold 0.7
ObjectProperty,hasColor,for wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.0000; semantic=0.5512; sequence_match=0.2667,False,0.4135,False,top-3 avg score 0.4135 < final_threshold 0.7
ObjectProperty,hasColor,for vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4187; levenshtein=0.1429; semantic=0.6166; sequence_match=0.1818,False,0.4057,False,top-3 avg score 0.4057 < final_threshold 0.7
ObjectProperty,locatedIn,made from grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5007; levenshtein=0.0000; semantic=0.4416; sequence_match=0.2727,False,0.405,False,top-3 avg score 0.4050 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,hasBody,for vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4365; levenshtein=0.0714; semantic=0.5506; sequence_match=0.1905,False,0.3925,False,top-3 avg score 0.3925 < final_threshold 0.7
ObjectProperty,madeFromGrape,assesses vintage of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4706; sequence_match=0.2000,False,0.3878,False,top-3 avg score 0.3878 < final_threshold 0.7
ObjectProperty,madeFromGrape,characteristic of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4324; levenshtein=0.1250; semantic=0.4351; sequence_match=0.2759,False,0.3811,False,top-3 avg score 0.3811 < final_threshold 0.7
ObjectProperty,hasBody,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.4652; sequence_match=0.2000,False,0.3691,False,top-3 avg score 0.3691 < final_threshold 0.7
ObjectProperty,hasSugar,for wine,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5517; sequence_match=0.1333,False,0.2283,False,top-3 avg score 0.2283 < final_threshold 0.7
ObjectProperty,hasBody,for wine,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5002; sequence_match=0.1429,False,0.2143,False,top-3 avg score 0.2143 < final_threshold 0.7
DatatypeProperty,yearValue,has value,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.6667; semantic=0.7801; sequence_match=0.7059,False,0.7638,True,selected
DatatypeProperty,yearValue,assessment value,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6053; levenshtein=0.4000; semantic=0.7821; sequence_match=0.5000,False,0.6291,False,top-3 avg score 0.6291 < final_threshold 0.7
DatatypeProperty,yearValue,vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4360; levenshtein=0.0909; semantic=0.6663; sequence_match=0.4000,False,0.5008,False,top-3 avg score 0.5008 < final_threshold 0.7
