gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Achievement,Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Game,Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Genre,Genre,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Player,Player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
playing area,Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
in-app purchase event,In-App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9444; levenshtein=0.7222; semantic=0.8778; sequence_match=0.8387,False,0.887,True,selected
game product,Game Participation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6910; levenshtein=0.4118; semantic=0.5845; sequence_match=0.5000,False,0.5918,False,top-3 avg score 0.5918 < final_threshold 0.6
Loyalty,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.5448; sequence_match=0.5333,False,0.5895,False,top-3 avg score 0.5895 < final_threshold 0.6
hard mode,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.3750; semantic=0.6585; sequence_match=0.5000,False,0.5806,False,top-3 avg score 0.5806 < final_threshold 0.6
Feature,Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5466; sequence_match=0.5000,False,0.5743,False,top-3 avg score 0.5743 < final_threshold 0.6
Curiosity,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5456; sequence_match=0.5000,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.6
in-app purchase event,Achievement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6616; levenshtein=0.3889; semantic=0.4966; sequence_match=0.5517,False,0.57,False,top-3 avg score 0.5700 < final_threshold 0.6
Virtuosity,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.6588; sequence_match=0.4706,False,0.5677,False,top-3 avg score 0.5677 < final_threshold 0.6
special play style,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6486; levenshtein=0.2500; semantic=0.5981; sequence_match=0.4545,False,0.5671,False,top-3 avg score 0.5671 < final_threshold 0.6
Game,Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6180; sequence_match=0.4444,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.6
Genre,Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6180; sequence_match=0.4444,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.6
Game,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.6
Player,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.6
special play style,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.2500; semantic=0.5386; sequence_match=0.4615,False,0.5612,False,top-3 avg score 0.5612 < final_threshold 0.6
Paragon,Game Participation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6028; levenshtein=0.3529; semantic=0.5804; sequence_match=0.5000,False,0.5611,False,top-3 avg score 0.5611 < final_threshold 0.6
Item,Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.5751; sequence_match=0.4000,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
Completion,Game Participation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.3529; semantic=0.5372; sequence_match=0.4444,False,0.546,False,top-3 avg score 0.5460 < final_threshold 0.6
Leaderboard,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.2727; semantic=0.5688; sequence_match=0.4706,False,0.5443,False,top-3 avg score 0.5443 < final_threshold 0.6
Completion,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.7289; sequence_match=0.3810,False,0.5427,False,top-3 avg score 0.5427 < final_threshold 0.6
Achievement,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6667; sequence_match=0.4000,False,0.5424,False,top-3 avg score 0.5424 < final_threshold 0.6
Game,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6667; sequence_match=0.4000,False,0.5424,False,top-3 avg score 0.5424 < final_threshold 0.6
Genre,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3750; semantic=0.4977; sequence_match=0.4615,False,0.5392,False,top-3 avg score 0.5392 < final_threshold 0.6
Achievement,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.2727; semantic=0.5484; sequence_match=0.4211,False,0.532,False,top-3 avg score 0.5320 < final_threshold 0.6
Paragon,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.2727; semantic=0.4772; sequence_match=0.4444,False,0.526,False,top-3 avg score 0.5260 < final_threshold 0.6
Paragon,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.2857; semantic=0.5729; sequence_match=0.4615,False,0.5247,False,top-3 avg score 0.5247 < final_threshold 0.6
Loyalty,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5130; sequence_match=0.4286,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
Feature,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.1250; semantic=0.5522; sequence_match=0.4000,False,0.5198,False,top-3 avg score 0.5198 < final_threshold 0.6
playing area,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.0909; semantic=0.5140; sequence_match=0.4211,False,0.5187,False,top-3 avg score 0.5187 < final_threshold 0.6
Veteran,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.6508; sequence_match=0.3333,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.6
Achievement,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6040; levenshtein=0.1818; semantic=0.5552; sequence_match=0.3810,False,0.5134,False,top-3 avg score 0.5134 < final_threshold 0.6
special play style,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5960; levenshtein=0.1875; semantic=0.5625; sequence_match=0.3704,False,0.5096,False,top-3 avg score 0.5096 < final_threshold 0.6
Veteran,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.5190; sequence_match=0.4000,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.6
Session,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5182; sequence_match=0.4000,False,0.5065,False,top-3 avg score 0.5065 < final_threshold 0.6
in-app purchase event,Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6074; levenshtein=0.1667; semantic=0.4270; sequence_match=0.4848,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.6
Veteran,Achievement Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6159; levenshtein=0.2000; semantic=0.5299; sequence_match=0.3636,False,0.5031,False,top-3 avg score 0.5031 < final_threshold 0.6
Completion,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.2000; semantic=0.5281; sequence_match=0.3750,False,0.501,False,top-3 avg score 0.5010 < final_threshold 0.6
Item,Achievement Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6500; levenshtein=0.2000; semantic=0.5349; sequence_match=0.3158,False,0.5002,False,top-3 avg score 0.5002 < final_threshold 0.6
Luck,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5738; sequence_match=0.3333,False,0.4968,False,top-3 avg score 0.4968 < final_threshold 0.6
Paragon,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.4887; sequence_match=0.4000,False,0.4966,False,top-3 avg score 0.4966 < final_threshold 0.6
Genre,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.4540; sequence_match=0.4000,False,0.4958,False,top-3 avg score 0.4958 < final_threshold 0.6
Game,Player Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5667; levenshtein=0.2000; semantic=0.6343; sequence_match=0.2857,False,0.4956,False,top-3 avg score 0.4956 < final_threshold 0.6
Feature,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6048; levenshtein=0.3000; semantic=0.5287; sequence_match=0.3529,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.6
Completion,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1000; semantic=0.4817; sequence_match=0.4000,False,0.4939,False,top-3 avg score 0.4939 < final_threshold 0.6
Paragon,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.5505; sequence_match=0.3529,False,0.4932,False,top-3 avg score 0.4932 < final_threshold 0.6
hard mode,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.1250; semantic=0.5187; sequence_match=0.3750,False,0.4923,False,top-3 avg score 0.4923 < final_threshold 0.6
playing area,Game Participation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6493; levenshtein=0.1765; semantic=0.5407; sequence_match=0.2857,False,0.4919,False,top-3 avg score 0.4919 < final_threshold 0.6
Character,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5315; levenshtein=0.3000; semantic=0.5146; sequence_match=0.4211,False,0.489,False,top-3 avg score 0.4890 < final_threshold 0.6
Completion,Achievement Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2000; semantic=0.5898; sequence_match=0.3200,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
Completion,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5667; levenshtein=0.2000; semantic=0.6128; sequence_match=0.2857,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
game product,Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6242; levenshtein=0.2727; semantic=0.4652; sequence_match=0.3750,False,0.4882,False,top-3 avg score 0.4882 < final_threshold 0.6
Game,Playing Area,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.2727; semantic=0.6169; sequence_match=0.4000,False,0.488,False,top-3 avg score 0.4880 < final_threshold 0.6
playing area,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.2727; semantic=0.6169; sequence_match=0.4000,False,0.488,False,top-3 avg score 0.4880 < final_threshold 0.6
Fandom,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5910; sequence_match=0.4000,False,0.4877,False,top-3 avg score 0.4877 < final_threshold 0.6
Achievement,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4892; levenshtein=0.1818; semantic=0.6355; sequence_match=0.3333,False,0.486,False,top-3 avg score 0.4860 < final_threshold 0.6
Character,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.3333; semantic=0.5504; sequence_match=0.4000,False,0.4835,False,top-3 avg score 0.4835 < final_threshold 0.6
Feature,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.0000; semantic=0.6330; sequence_match=0.2857,False,0.4808,False,top-3 avg score 0.4808 < final_threshold 0.6
Veteran,Game Participation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.2353; semantic=0.5836; sequence_match=0.3333,False,0.4786,False,top-3 avg score 0.4786 < final_threshold 0.6
Collection,Game Participation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5954; levenshtein=0.2941; semantic=0.4645; sequence_match=0.3704,False,0.4768,False,top-3 avg score 0.4768 < final_threshold 0.6
game product,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.1818; semantic=0.4812; sequence_match=0.3529,False,0.4758,False,top-3 avg score 0.4758 < final_threshold 0.6
Character,Game Participation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6176; levenshtein=0.2353; semantic=0.5004; sequence_match=0.3077,False,0.4753,False,top-3 avg score 0.4753 < final_threshold 0.6
Veteran,Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5651; levenshtein=0.2857; semantic=0.5261; sequence_match=0.3333,False,0.4748,False,top-3 avg score 0.4748 < final_threshold 0.6
Character,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5367; levenshtein=0.2727; semantic=0.5848; sequence_match=0.3000,False,0.4738,False,top-3 avg score 0.4738 < final_threshold 0.6
Veteran,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5739; sequence_match=0.3077,False,0.4738,False,top-3 avg score 0.4738 < final_threshold 0.6
Character,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.4988; sequence_match=0.3529,False,0.4737,False,top-3 avg score 0.4737 < final_threshold 0.6
Curiosity,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.0909; semantic=0.5802; sequence_match=0.3000,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
special play style,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5423; levenshtein=0.2500; semantic=0.5126; sequence_match=0.3478,False,0.4676,False,top-3 avg score 0.4676 < final_threshold 0.6
special play style,Game Participation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5319; levenshtein=0.1176; semantic=0.5661; sequence_match=0.3030,False,0.467,False,top-3 avg score 0.4670 < final_threshold 0.6
Player,Game Participation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5507; levenshtein=0.1176; semantic=0.5877; sequence_match=0.2609,False,0.4664,False,top-3 avg score 0.4664 < final_threshold 0.6
Character,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1111; semantic=0.4753; sequence_match=0.3529,False,0.4659,False,top-3 avg score 0.4659 < final_threshold 0.6
Collection,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.5918; sequence_match=0.2857,False,0.4652,False,top-3 avg score 0.4652 < final_threshold 0.6
hard mode,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.1818; semantic=0.6231; sequence_match=0.3158,False,0.4645,False,top-3 avg score 0.4645 < final_threshold 0.6
playing area,In-App Purchase,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5821; levenshtein=0.1538; semantic=0.3944; sequence_match=0.4167,False,0.4644,False,top-3 avg score 0.4644 < final_threshold 0.6
Loyalty,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.4649; sequence_match=0.3529,False,0.4639,False,top-3 avg score 0.4639 < final_threshold 0.6
Achievement,Game Participation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5217; levenshtein=0.1176; semantic=0.5838; sequence_match=0.2857,False,0.4637,False,top-3 avg score 0.4637 < final_threshold 0.6
Achievement,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5379; levenshtein=0.0909; semantic=0.5362; sequence_match=0.3158,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.6
Genre,Achievement Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.5759; sequence_match=0.3000,False,0.4623,False,top-3 avg score 0.4623 < final_threshold 0.6
Character,Genre,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5407; levenshtein=0.2222; semantic=0.5598; sequence_match=0.2857,False,0.4621,False,top-3 avg score 0.4621 < final_threshold 0.6
Curiosity,Achievement Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5704; levenshtein=0.2000; semantic=0.4773; sequence_match=0.3333,False,0.4603,False,top-3 avg score 0.4603 < final_threshold 0.6
Game,Achievement Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5389; levenshtein=0.1333; semantic=0.5251; sequence_match=0.3158,False,0.4599,False,top-3 avg score 0.4599 < final_threshold 0.6
Feature,In-App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5531; levenshtein=0.3077; semantic=0.4262; sequence_match=0.4000,False,0.4598,False,top-3 avg score 0.4598 < final_threshold 0.6
Leaderboard,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5182; levenshtein=0.2727; semantic=0.4771; sequence_match=0.3810,False,0.4587,False,top-3 avg score 0.4587 < final_threshold 0.6
game product,Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5152; levenshtein=0.0909; semantic=0.4968; sequence_match=0.3636,False,0.4585,False,top-3 avg score 0.4585 < final_threshold 0.6
Item,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.5424; sequence_match=0.3636,False,0.4568,False,top-3 avg score 0.4568 < final_threshold 0.6
Feature,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.2857; semantic=0.5233; sequence_match=0.3077,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.6
Completion,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.4782; sequence_match=0.3333,False,0.4538,False,top-3 avg score 0.4538 < final_threshold 0.6
Item,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.0000; semantic=0.6111; sequence_match=0.2500,False,0.4537,False,top-3 avg score 0.4537 < final_threshold 0.6
hard mode,Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.1250; semantic=0.5022; sequence_match=0.3077,False,0.4533,False,top-3 avg score 0.4533 < final_threshold 0.6
Collection,Player Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5167; levenshtein=0.1000; semantic=0.5427; sequence_match=0.3000,False,0.4531,False,top-3 avg score 0.4531 < final_threshold 0.6
hard mode,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.0000; semantic=0.5571; sequence_match=0.2857,False,0.4522,False,top-3 avg score 0.4522 < final_threshold 0.6
game product,Player Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.1818; semantic=0.5801; sequence_match=0.1905,False,0.4518,False,top-3 avg score 0.4518 < final_threshold 0.6
Veteran,Player Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.2000; semantic=0.5332; sequence_match=0.3529,False,0.4504,False,top-3 avg score 0.4504 < final_threshold 0.6
Loyalty,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.1429; semantic=0.5078; sequence_match=0.3077,False,0.4491,False,top-3 avg score 0.4491 < final_threshold 0.6
Completion,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.0000; semantic=0.4754; sequence_match=0.2857,False,0.4486,False,top-3 avg score 0.4486 < final_threshold 0.6
Character,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5921; sequence_match=0.2500,False,0.4482,False,top-3 avg score 0.4482 < final_threshold 0.6
Character,Achievement Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4963; levenshtein=0.2000; semantic=0.5148; sequence_match=0.3333,False,0.4481,False,top-3 avg score 0.4481 < final_threshold 0.6
special play style,Game Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.5081; sequence_match=0.3333,False,0.4471,False,top-3 avg score 0.4471 < final_threshold 0.6
Fandom,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5277; sequence_match=0.2857,False,0.4471,False,top-3 avg score 0.4471 < final_threshold 0.6
playing area,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.4757; sequence_match=0.3158,False,0.4469,False,top-3 avg score 0.4469 < final_threshold 0.6
Curiosity,Location,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.5057; sequence_match=0.3529,False,0.4467,False,top-3 avg score 0.4467 < final_threshold 0.6
Player,Game Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.5235; sequence_match=0.2857,False,0.4457,False,top-3 avg score 0.4457 < final_threshold 0.6
Session,Game Participation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4678; levenshtein=0.2353; semantic=0.5359; sequence_match=0.3333,False,0.4457,False,top-3 avg score 0.4457 < final_threshold 0.6
Paragon,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.6865; sequence_match=0.1818,False,0.4442,False,top-3 avg score 0.4442 < final_threshold 0.6
Genre,Game Participation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5922; levenshtein=0.1765; semantic=0.4624; sequence_match=0.2727,False,0.4424,False,top-3 avg score 0.4424 < final_threshold 0.6
Virtuosity,Achievement Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.2000; semantic=0.5323; sequence_match=0.3200,False,0.4415,False,top-3 avg score 0.4415 < final_threshold 0.6
Feature,Location,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.2500; semantic=0.5449; sequence_match=0.2667,False,0.4411,False,top-3 avg score 0.4411 < final_threshold 0.6
Achievement,Genre,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5273; levenshtein=0.1818; semantic=0.5442; sequence_match=0.2500,False,0.4405,False,top-3 avg score 0.4405 < final_threshold 0.6
Genre,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5273; levenshtein=0.1818; semantic=0.5442; sequence_match=0.2500,False,0.4405,False,top-3 avg score 0.4405 < final_threshold 0.6
Achievement,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.0909; semantic=0.5810; sequence_match=0.2353,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.6
Player,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.0909; semantic=0.5810; sequence_match=0.2353,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.6
Character,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.2222; semantic=0.5540; sequence_match=0.3077,False,0.4385,False,top-3 avg score 0.4385 < final_threshold 0.6
Leaderboard,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.4484; sequence_match=0.3158,False,0.4378,False,top-3 avg score 0.4378 < final_threshold 0.6
Feature,Playing Area,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.4734; sequence_match=0.2222,False,0.4378,False,top-3 avg score 0.4378 < final_threshold 0.6
Character,In-App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5840; levenshtein=0.1538; semantic=0.3654; sequence_match=0.3636,False,0.4377,False,top-3 avg score 0.4377 < final_threshold 0.6
Feature,Game,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4286; levenshtein=0.2857; semantic=0.5943; sequence_match=0.1818,False,0.4362,False,top-3 avg score 0.4362 < final_threshold 0.6
