prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,played game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8878; levenshtein=0.8000; semantic=0.9012; sequence_match=0.8421,False,0.877,True,selected
ObjectProperty,has playing area,has player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9063; levenshtein=0.5714; semantic=0.6160; sequence_match=0.6957,False,0.7393,False,gold already mapped to 'has playing area'
ObjectProperty,owns achievement,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8683; levenshtein=0.4667; semantic=0.7030; sequence_match=0.6087,False,0.7267,False,gold already mapped to 'has game achievement'
ObjectProperty,has game genre,has game equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8717; levenshtein=0.5000; semantic=0.6452; sequence_match=0.6429,False,0.7199,False,gold already mapped to 'has genre'
ObjectProperty,has game genre,has game achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8578; levenshtein=0.5000; semantic=0.7000; sequence_match=0.6000,False,0.7192,False,gold already mapped to 'has genre'
ObjectProperty,owns character,owns item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8423; levenshtein=0.4615; semantic=0.7426; sequence_match=0.5714,False,0.7188,False,pred already taken by 'owns item'
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,owns item,used item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7500; levenshtein=0.5000; semantic=0.7308; sequence_match=0.6250,False,0.7019,False,gold already mapped to 'owns item'
ObjectProperty,has item,used item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.5000; semantic=0.6970; sequence_match=0.6667,False,0.6923,False,top-3 avg score 0.6923 < final_threshold 0.7
ObjectProperty,has achievement,has game equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8559; levenshtein=0.5000; semantic=0.6136; sequence_match=0.6000,False,0.6898,False,top-3 avg score 0.6898 < final_threshold 0.7
ObjectProperty,has achievement,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.3571; semantic=0.6934; sequence_match=0.5714,False,0.6864,False,top-3 avg score 0.6864 < final_threshold 0.7
ObjectProperty,has item,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4286; semantic=0.6641; sequence_match=0.5714,False,0.6852,False,top-3 avg score 0.6852 < final_threshold 0.7
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,has playing area,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.4286; semantic=0.6610; sequence_match=0.5714,False,0.6756,False,top-3 avg score 0.6756 < final_threshold 0.7
ObjectProperty,has character,has purchaser,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8315; levenshtein=0.4167; semantic=0.5244; sequence_match=0.6667,False,0.6742,False,top-3 avg score 0.6742 < final_threshold 0.7
ObjectProperty,involves player,has player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6164; levenshtein=0.5000; semantic=0.7950; sequence_match=0.6087,False,0.6734,False,top-3 avg score 0.6734 < final_threshold 0.7
ObjectProperty,has achievement,has equipment,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8065; levenshtein=0.5714; semantic=0.5953; sequence_match=0.6154,False,0.6724,False,top-3 avg score 0.6724 < final_threshold 0.7
ObjectProperty,has item,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8167; levenshtein=0.4000; semantic=0.5931; sequence_match=0.5882,False,0.666,False,top-3 avg score 0.6660 < final_threshold 0.7
ObjectProperty,has item,purchased item,sequence_match+semantic+jaro_winkler,jaro_winkler=0.6264; levenshtein=0.5385; semantic=0.6693; sequence_match=0.7000,False,0.6652,False,top-3 avg score 0.6652 < final_threshold 0.7
ObjectProperty,plays game,has player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7090; levenshtein=0.2222; semantic=0.7297; sequence_match=0.5556,False,0.6647,False,top-3 avg score 0.6647 < final_threshold 0.7
ObjectProperty,has playing area,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8430; levenshtein=0.4444; semantic=0.5845; sequence_match=0.5625,False,0.6633,False,top-3 avg score 0.6633 < final_threshold 0.7
ObjectProperty,has leaderboard,has player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7981; levenshtein=0.4286; semantic=0.5770; sequence_match=0.6087,False,0.6613,False,top-3 avg score 0.6613 < final_threshold 0.7
ObjectProperty,has character,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
ObjectProperty,has character,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6475; sequence_match=0.5263,False,0.657,False,top-3 avg score 0.6570 < final_threshold 0.7
ObjectProperty,is achievement in game,earned achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6625; levenshtein=0.3684; semantic=0.6958; sequence_match=0.6111,False,0.6565,False,top-3 avg score 0.6565 < final_threshold 0.7
ObjectProperty,is character in game,purchased in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7520; levenshtein=0.5294; semantic=0.5787; sequence_match=0.6250,False,0.6519,False,top-3 avg score 0.6519 < final_threshold 0.7
ObjectProperty,purchases game offering,purchased item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8558; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5294,False,0.6514,False,top-3 avg score 0.6514 < final_threshold 0.7
ObjectProperty,has item,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.4167; semantic=0.6077; sequence_match=0.5263,False,0.6484,False,top-3 avg score 0.6484 < final_threshold 0.7
ObjectProperty,plays game,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,has achievement,has player equipment,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8380; levenshtein=0.5000; semantic=0.5293; sequence_match=0.5625,False,0.6433,False,top-3 avg score 0.6433 < final_threshold 0.7
ObjectProperty,has feature,has in app purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7988; levenshtein=0.4375; semantic=0.5719; sequence_match=0.5385,False,0.6364,False,top-3 avg score 0.6364 < final_threshold 0.7
ObjectProperty,has game genre,has player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8056; levenshtein=0.4167; semantic=0.5315; sequence_match=0.5714,False,0.6362,False,top-3 avg score 0.6362 < final_threshold 0.7
ObjectProperty,has feature,has player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7900; levenshtein=0.5000; semantic=0.5799; sequence_match=0.5263,False,0.6321,False,top-3 avg score 0.6321 < final_threshold 0.7
ObjectProperty,has game genre,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5386; sequence_match=0.5385,False,0.6279,False,top-3 avg score 0.6279 < final_threshold 0.7
ObjectProperty,is friend with player,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7202; sequence_match=0.5185,False,0.6219,False,top-3 avg score 0.6219 < final_threshold 0.7
ObjectProperty,has achievement,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6762; levenshtein=0.3571; semantic=0.6892; sequence_match=0.5000,False,0.6218,False,top-3 avg score 0.6218 < final_threshold 0.7
ObjectProperty,has playing area,has genre,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.4903; sequence_match=0.5455,False,0.6189,False,top-3 avg score 0.6189 < final_threshold 0.7
ObjectProperty,has achievement,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6360; sequence_match=0.5217,False,0.6187,False,top-3 avg score 0.6187 < final_threshold 0.7
ObjectProperty,plays game,has game equipment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6806; levenshtein=0.2500; semantic=0.6819; sequence_match=0.4800,False,0.6142,False,top-3 avg score 0.6142 < final_threshold 0.7
ObjectProperty,has feature,has purchaser,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7994; levenshtein=0.3333; semantic=0.4973; sequence_match=0.5455,False,0.6141,False,top-3 avg score 0.6141 < final_threshold 0.7
ObjectProperty,is player in session,has player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6346; levenshtein=0.3529; semantic=0.6666; sequence_match=0.5385,False,0.6132,False,top-3 avg score 0.6132 < final_threshold 0.7
ObjectProperty,purchases game offering,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6825; levenshtein=0.3333; semantic=0.6538; sequence_match=0.5000,False,0.6121,False,top-3 avg score 0.6121 < final_threshold 0.7
ObjectProperty,has character,has player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5980; sequence_match=0.5714,False,0.612,False,top-3 avg score 0.6120 < final_threshold 0.7
ObjectProperty,has feature,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3000; semantic=0.6655; sequence_match=0.5000,False,0.6107,False,top-3 avg score 0.6107 < final_threshold 0.7
ObjectProperty,has item,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6007; sequence_match=0.5333,False,0.6082,False,top-3 avg score 0.6082 < final_threshold 0.7
ObjectProperty,has item,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.3333; semantic=0.5302; sequence_match=0.4800,False,0.6071,False,top-3 avg score 0.6071 < final_threshold 0.7
ObjectProperty,has feature,has game,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6714; levenshtein=0.5000; semantic=0.6471; sequence_match=0.4706,False,0.6062,False,top-3 avg score 0.6062 < final_threshold 0.7
ObjectProperty,has character,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.6890; sequence_match=0.4615,False,0.6044,False,top-3 avg score 0.6044 < final_threshold 0.7
ObjectProperty,has feature,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7994; levenshtein=0.3333; semantic=0.5494; sequence_match=0.4545,False,0.6011,False,top-3 avg score 0.6011 < final_threshold 0.7
ObjectProperty,owns item,purchased item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.7239; sequence_match=0.4762,False,0.6011,False,top-3 avg score 0.6011 < final_threshold 0.7
ObjectProperty,has character,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.6636; sequence_match=0.4762,False,0.5991,False,top-3 avg score 0.5991 < final_threshold 0.7
ObjectProperty,has feature,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.6542; sequence_match=0.4706,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.7
ObjectProperty,is friend with player,first IAP player,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7302; levenshtein=0.5000; semantic=0.4981; sequence_match=0.5625,False,0.5976,False,top-3 avg score 0.5976 < final_threshold 0.7
ObjectProperty,has item,has player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6114; sequence_match=0.5000,False,0.5944,False,top-3 avg score 0.5944 < final_threshold 0.7
ObjectProperty,purchases game offering,has purchaser,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6923; levenshtein=0.2857; semantic=0.5395; sequence_match=0.5455,False,0.5924,False,top-3 avg score 0.5924 < final_threshold 0.7
ObjectProperty,has character,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.4167; semantic=0.5926; sequence_match=0.5000,False,0.591,False,top-3 avg score 0.5910 < final_threshold 0.7
ObjectProperty,is achievement in game,purchased in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6192; levenshtein=0.4737; semantic=0.6132; sequence_match=0.5294,False,0.5873,False,top-3 avg score 0.5873 < final_threshold 0.7
ObjectProperty,plays game,first IAP game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.6183; sequence_match=0.4762,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.7
ObjectProperty,has character,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6389; levenshtein=0.3333; semantic=0.6644; sequence_match=0.4545,False,0.5859,False,top-3 avg score 0.5859 < final_threshold 0.7
ObjectProperty,plays game,has game achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2222; semantic=0.6461; sequence_match=0.4444,False,0.5858,False,top-3 avg score 0.5858 < final_threshold 0.7
ObjectProperty,has item,has game equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6885; levenshtein=0.3125; semantic=0.6336; sequence_match=0.4348,False,0.5856,False,top-3 avg score 0.5856 < final_threshold 0.7
ObjectProperty,has item,has game achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6746; levenshtein=0.3333; semantic=0.5951; sequence_match=0.4800,False,0.5832,False,top-3 avg score 0.5832 < final_threshold 0.7
ObjectProperty,has playing area,played game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5905; levenshtein=0.5000; semantic=0.5705; sequence_match=0.5833,False,0.5814,False,top-3 avg score 0.5814 < final_threshold 0.7
ObjectProperty,is session in game,purchased in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6889; levenshtein=0.4000; semantic=0.5174; sequence_match=0.5333,False,0.5799,False,top-3 avg score 0.5799 < final_threshold 0.7
ObjectProperty,has game genre,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.5375; sequence_match=0.5385,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.7
ObjectProperty,plays game,purchased in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6529; levenshtein=0.4000; semantic=0.4960; sequence_match=0.5833,False,0.5774,False,top-3 avg score 0.5774 < final_threshold 0.7
ObjectProperty,purchases game offering,has game equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.5562; sequence_match=0.5405,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.7
ObjectProperty,purchases game offering,played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6778; levenshtein=0.3333; semantic=0.6008; sequence_match=0.4516,False,0.5767,False,top-3 avg score 0.5767 < final_threshold 0.7
ObjectProperty,has game genre,played game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2500; semantic=0.6710; sequence_match=0.4545,False,0.5715,False,top-3 avg score 0.5715 < final_threshold 0.7
ObjectProperty,owns character,has purchaser,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6774; levenshtein=0.2308; semantic=0.5563; sequence_match=0.4800,False,0.5712,False,top-3 avg score 0.5712 < final_threshold 0.7
ObjectProperty,has game genre,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6759; levenshtein=0.3889; semantic=0.5682; sequence_match=0.4667,False,0.5703,False,top-3 avg score 0.5703 < final_threshold 0.7
ObjectProperty,owns achievement,has game equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6972; levenshtein=0.3125; semantic=0.5573; sequence_match=0.4516,False,0.5687,False,top-3 avg score 0.5687 < final_threshold 0.7
ObjectProperty,purchases game offering,has game achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6071; levenshtein=0.2857; semantic=0.6347; sequence_match=0.4615,False,0.5678,False,top-3 avg score 0.5678 < final_threshold 0.7
ObjectProperty,has achievement,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.5840; sequence_match=0.4545,False,0.5664,False,top-3 avg score 0.5664 < final_threshold 0.7
ObjectProperty,has feature,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.6594; sequence_match=0.4167,False,0.5656,False,top-3 avg score 0.5656 < final_threshold 0.7
ObjectProperty,has item,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6640; levenshtein=0.2778; semantic=0.6306; sequence_match=0.4000,False,0.5649,False,top-3 avg score 0.5649 < final_threshold 0.7
ObjectProperty,is character in game,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6028; levenshtein=0.3529; semantic=0.5918; sequence_match=0.5000,False,0.5649,False,top-3 avg score 0.5649 < final_threshold 0.7
ObjectProperty,has character,has in app purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.3125; semantic=0.5134; sequence_match=0.5000,False,0.5646,False,top-3 avg score 0.5646 < final_threshold 0.7
ObjectProperty,has character,has game achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6759; levenshtein=0.3333; semantic=0.6128; sequence_match=0.4000,False,0.5629,False,top-3 avg score 0.5629 < final_threshold 0.7
ObjectProperty,has achievement,has player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.2857; semantic=0.6108; sequence_match=0.4348,False,0.5611,False,top-3 avg score 0.5611 < final_threshold 0.7
ObjectProperty,is character in game,played game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5954; levenshtein=0.3529; semantic=0.6412; sequence_match=0.4444,False,0.5604,False,top-3 avg score 0.5604 < final_threshold 0.7
ObjectProperty,has playing area,has in app purchase,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6798; levenshtein=0.3125; semantic=0.4636; sequence_match=0.5333,False,0.5589,False,top-3 avg score 0.5589 < final_threshold 0.7
ObjectProperty,involves player,first IAP player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5893; levenshtein=0.4286; semantic=0.5117; sequence_match=0.5714,False,0.5575,False,top-3 avg score 0.5575 < final_threshold 0.7
ObjectProperty,is player in session,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6146; levenshtein=0.3889; semantic=0.5428; sequence_match=0.5143,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.7
ObjectProperty,has achievement,has purchaser,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.2857; semantic=0.5602; sequence_match=0.4615,False,0.5562,False,top-3 avg score 0.5562 < final_threshold 0.7
ObjectProperty,is achievement in game,first IAP game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6301; levenshtein=0.3158; semantic=0.5214; sequence_match=0.5161,False,0.5559,False,top-3 avg score 0.5559 < final_threshold 0.7
ObjectProperty,plays game,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6084; sequence_match=0.4444,False,0.5546,False,top-3 avg score 0.5546 < final_threshold 0.7
ObjectProperty,has game genre,has equipment,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6746; levenshtein=0.3333; semantic=0.4853; sequence_match=0.5000,False,0.5533,False,top-3 avg score 0.5533 < final_threshold 0.7
ObjectProperty,has feature,purchased item,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6872; levenshtein=0.2308; semantic=0.4487; sequence_match=0.5217,False,0.5526,False,top-3 avg score 0.5526 < final_threshold 0.7
ObjectProperty,has feature,has playing area,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5499; sequence_match=0.4167,False,0.5516,False,top-3 avg score 0.5516 < final_threshold 0.7
ObjectProperty,is session in game,first IAP game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6357; levenshtein=0.4000; semantic=0.4985; sequence_match=0.5185,False,0.5509,False,top-3 avg score 0.5509 < final_threshold 0.7
ObjectProperty,owns achievement,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6722; levenshtein=0.4000; semantic=0.5342; sequence_match=0.4444,False,0.5503,False,top-3 avg score 0.5503 < final_threshold 0.7
ObjectProperty,is leaderboard in game,purchased in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6192; levenshtein=0.4211; semantic=0.5021; sequence_match=0.5294,False,0.5503,False,top-3 avg score 0.5503 < final_threshold 0.7
ObjectProperty,is session in game,played game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.2667; semantic=0.6380; sequence_match=0.4000,False,0.5497,False,top-3 avg score 0.5497 < final_threshold 0.7
ObjectProperty,involves player,played game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5619; levenshtein=0.2143; semantic=0.6700; sequence_match=0.4167,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.7
ObjectProperty,has game genre,has player equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6759; levenshtein=0.3889; semantic=0.5059; sequence_match=0.4667,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.7
ObjectProperty,is player in session,played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.3529; semantic=0.5529; sequence_match=0.4444,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.7
ObjectProperty,has game genre,first IAP game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.6198; sequence_match=0.4167,False,0.5492,False,top-3 avg score 0.5492 < final_threshold 0.7
ObjectProperty,is event associated to player,first IAP player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6510; levenshtein=0.3600; semantic=0.4316; sequence_match=0.5641,False,0.5489,False,top-3 avg score 0.5489 < final_threshold 0.7
