gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Actuator,Actuator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Device,Device,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Sensor,Sensor,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Tariff,Tariff,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water meter,Water Meter,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water infrastructure,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8699; levenshtein=0.6129; semantic=0.9136; sequence_match=0.7600,False,0.8479,True,selected
Meter,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.3333; semantic=0.6659; sequence_match=0.3636,False,0.5358,False,top-3 avg score 0.5358 < final_threshold 0.6
Acceptability property,Actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6885; levenshtein=0.2857; semantic=0.5039; sequence_match=0.4138,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.6
Point,Location,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5472; levenshtein=0.2500; semantic=0.5818; sequence_match=0.4615,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.6
Actuator,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5028; sequence_match=0.5000,False,0.5287,False,top-3 avg score 0.5287 < final_threshold 0.6
Sensor,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.1667; semantic=0.6329; sequence_match=0.3636,False,0.5285,False,top-3 avg score 0.5285 < final_threshold 0.6
Water meter,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6419; levenshtein=0.2258; semantic=0.6490; sequence_match=0.2927,False,0.5279,False,top-3 avg score 0.5279 < final_threshold 0.6
Water asset,Actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.2000; semantic=0.5975; sequence_match=0.3333,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.6
FeatureOfInterest,Water Meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7152; levenshtein=0.3529; semantic=0.4063; sequence_match=0.4444,False,0.522,False,top-3 avg score 0.5220 < final_threshold 0.6
Time-based tariff,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6746; levenshtein=0.2667; semantic=0.4860; sequence_match=0.4000,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
Water,Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.2000; semantic=0.5567; sequence_match=0.4000,False,0.5189,False,top-3 avg score 0.5189 < final_threshold 0.6
Water,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.1667; semantic=0.6112; sequence_match=0.3636,False,0.5176,False,top-3 avg score 0.5176 < final_threshold 0.6
Measurement,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5131; levenshtein=0.3636; semantic=0.5350; sequence_match=0.5000,False,0.516,False,top-3 avg score 0.5160 < final_threshold 0.6
Measurement,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4798; levenshtein=0.2727; semantic=0.7052; sequence_match=0.3529,False,0.5126,False,top-3 avg score 0.5126 < final_threshold 0.6
Point,Physical Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5922; levenshtein=0.2353; semantic=0.5752; sequence_match=0.3636,False,0.5103,False,top-3 avg score 0.5103 < final_threshold 0.6
Meter,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.1667; semantic=0.5795; sequence_match=0.3636,False,0.507,False,top-3 avg score 0.5070 < final_threshold 0.6
Actuator,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.7062; sequence_match=0.2857,False,0.5066,False,top-3 avg score 0.5066 < final_threshold 0.6
Sensor,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.7062; sequence_match=0.2857,False,0.5066,False,top-3 avg score 0.5066 < final_threshold 0.6
Temporal duration,Chemical Indicator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6873; levenshtein=0.3529; semantic=0.4779; sequence_match=0.2424,False,0.5061,False,top-3 avg score 0.5061 < final_threshold 0.6
Sensor,Physical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4837; levenshtein=0.2353; semantic=0.6783; sequence_match=0.3478,False,0.5032,False,top-3 avg score 0.5032 < final_threshold 0.6
Meter,Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.0000; semantic=0.5543; sequence_match=0.3636,False,0.4986,False,top-3 avg score 0.4986 < final_threshold 0.6
Time-based tariff,Temporal Setting,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6222; levenshtein=0.3333; semantic=0.5379; sequence_match=0.1333,False,0.4978,False,top-3 avg score 0.4978 < final_threshold 0.6
Water infrastructure,Actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5627; levenshtein=0.2632; semantic=0.5535; sequence_match=0.3704,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.6
Actuator,Water Meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.3000; semantic=0.6017; sequence_match=0.3333,False,0.495,False,top-3 avg score 0.4950 < final_threshold 0.6
Water meter,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.3000; semantic=0.6017; sequence_match=0.3333,False,0.495,False,top-3 avg score 0.4950 < final_threshold 0.6
Temporal duration,Physical Indicator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6377; levenshtein=0.2941; semantic=0.5495; sequence_match=0.1818,False,0.4938,False,top-3 avg score 0.4938 < final_threshold 0.6
Water,Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.1667; semantic=0.5260; sequence_match=0.3636,False,0.4928,False,top-3 avg score 0.4928 < final_threshold 0.6
Water infrastructure,Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6322; levenshtein=0.2105; semantic=0.5255; sequence_match=0.3200,False,0.4925,False,top-3 avg score 0.4925 < final_threshold 0.6
Actuator,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.6159; sequence_match=0.3077,False,0.4912,False,top-3 avg score 0.4912 < final_threshold 0.6
Sensor,Water Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4603; levenshtein=0.2857; semantic=0.6099; sequence_match=0.4000,False,0.4901,False,top-3 avg score 0.4901 < final_threshold 0.6
Meter,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.6065; sequence_match=0.3077,False,0.4881,False,top-3 avg score 0.4881 < final_threshold 0.6
Temporal duration,Location,sequence_match+jaro_winkler+semantic,jaro_winkler=0.5000; levenshtein=0.3750; semantic=0.4634; sequence_match=0.5000,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.6
Temporal duration,Water Indicator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6798; levenshtein=0.3125; semantic=0.4598; sequence_match=0.2667,False,0.484,False,top-3 avg score 0.4840 < final_threshold 0.6
Temporal entity,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.5718; sequence_match=0.3000,False,0.4811,False,top-3 avg score 0.4811 < final_threshold 0.6
ChemicalProperty,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.1875; semantic=0.4088; sequence_match=0.3871,False,0.4809,False,top-3 avg score 0.4809 < final_threshold 0.6
Temporal duration,Actuator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6280; levenshtein=0.3125; semantic=0.4964; sequence_match=0.2500,False,0.479,False,top-3 avg score 0.4790 < final_threshold 0.6
Geometry,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6056; levenshtein=0.2667; semantic=0.4794; sequence_match=0.3478,False,0.4776,False,top-3 avg score 0.4776 < final_threshold 0.6
Temporal entity,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.2143; semantic=0.4576; sequence_match=0.3333,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.6
Measurement,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5492; levenshtein=0.0909; semantic=0.5638; sequence_match=0.3158,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.6
Geometry,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.5668; sequence_match=0.3077,False,0.4748,False,top-3 avg score 0.4748 < final_threshold 0.6
Sensor,Chemical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4837; levenshtein=0.2353; semantic=0.5913; sequence_match=0.3478,False,0.4743,False,top-3 avg score 0.4743 < final_threshold 0.6
Water meter,Temporal Setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6270; levenshtein=0.2000; semantic=0.3924; sequence_match=0.4000,False,0.4731,False,top-3 avg score 0.4731 < final_threshold 0.6
Key Performance Indicator,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.3043; semantic=0.4311; sequence_match=0.4211,False,0.4731,False,top-3 avg score 0.4731 < final_threshold 0.6
Acceptability property,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5810; levenshtein=0.1429; semantic=0.6038; sequence_match=0.2308,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
Meter,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2000; semantic=0.4709; sequence_match=0.3000,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
Measurement,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6285; levenshtein=0.2667; semantic=0.4789; sequence_match=0.3077,False,0.4717,False,top-3 avg score 0.4717 < final_threshold 0.6
Meter,Water Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4937; levenshtein=0.2143; semantic=0.6035; sequence_match=0.3158,False,0.471,False,top-3 avg score 0.4710 < final_threshold 0.6
Water property,Asset,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4991; levenshtein=0.2308; semantic=0.6827; sequence_match=0.2222,False,0.4709,False,top-3 avg score 0.4709 < final_threshold 0.6
Temporal duration,Water Distribution Infrastructure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5735; levenshtein=0.1935; semantic=0.4536; sequence_match=0.3830,False,0.47,False,top-3 avg score 0.4700 < final_threshold 0.6
FeatureOfInterest,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6130; levenshtein=0.2941; semantic=0.4739; sequence_match=0.3226,False,0.4698,False,top-3 avg score 0.4698 < final_threshold 0.6
Sensor,Water Meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.6480; sequence_match=0.2500,False,0.4697,False,top-3 avg score 0.4697 < final_threshold 0.6
Water meter,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.6480; sequence_match=0.2500,False,0.4697,False,top-3 avg score 0.4697 < final_threshold 0.6
Meter,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4667; levenshtein=0.2000; semantic=0.5411; sequence_match=0.4000,False,0.4692,False,top-3 avg score 0.4692 < final_threshold 0.6
Water meter,Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.3000; semantic=0.4851; sequence_match=0.4000,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.6
ChemicalProperty,Physical Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.3529; semantic=0.4926; sequence_match=0.3636,False,0.4685,False,top-3 avg score 0.4685 < final_threshold 0.6
Water property,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5912; levenshtein=0.2667; semantic=0.4530; sequence_match=0.3571,False,0.4671,False,top-3 avg score 0.4671 < final_threshold 0.6
Sensor,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5611; levenshtein=0.2000; semantic=0.5486; sequence_match=0.2857,False,0.4651,False,top-3 avg score 0.4651 < final_threshold 0.6
Temporal duration,Sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5625; levenshtein=0.1875; semantic=0.5505; sequence_match=0.2727,False,0.4619,False,top-3 avg score 0.4619 < final_threshold 0.6
FeatureOfInterest,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6723; levenshtein=0.1765; semantic=0.3992; sequence_match=0.3125,False,0.4613,False,top-3 avg score 0.4613 < final_threshold 0.6
Water infrastructure,Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5868; levenshtein=0.1579; semantic=0.5458; sequence_match=0.2500,False,0.4609,False,top-3 avg score 0.4609 < final_threshold 0.6
Geometry,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.5684; sequence_match=0.2857,False,0.4606,False,top-3 avg score 0.4606 < final_threshold 0.6
FeatureOfInterest,Actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.2353; semantic=0.4949; sequence_match=0.2400,False,0.4601,False,top-3 avg score 0.4601 < final_threshold 0.6
Temporal entity,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5274; levenshtein=0.2857; semantic=0.4852; sequence_match=0.3636,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.6
Temporal entity,Chemical Indicator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5420; levenshtein=0.3529; semantic=0.4769; sequence_match=0.2581,False,0.4573,False,top-3 avg score 0.4573 < final_threshold 0.6
ChemicalProperty,Device,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.2500; semantic=0.4522; sequence_match=0.3636,False,0.4571,False,top-3 avg score 0.4571 < final_threshold 0.6
Time-based tariff,Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.2000; semantic=0.4471; sequence_match=0.4000,False,0.4564,False,top-3 avg score 0.4564 < final_threshold 0.6
Time-based tariff,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6365; levenshtein=0.1333; semantic=0.4568; sequence_match=0.2759,False,0.4564,False,top-3 avg score 0.4564 < final_threshold 0.6
Point,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4889; levenshtein=0.2667; semantic=0.4797; sequence_match=0.4000,False,0.4562,False,top-3 avg score 0.4562 < final_threshold 0.6
Actuator,Physical Indicator,semantic+sequence_match+levenshtein,jaro_winkler=0.2892; levenshtein=0.2941; semantic=0.5916; sequence_match=0.4800,False,0.4552,False,top-3 avg score 0.4552 < final_threshold 0.6
Actuator,Water Distribution Infrastructure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5923; levenshtein=0.1935; semantic=0.5163; sequence_match=0.2564,False,0.455,False,top-3 avg score 0.4550 < final_threshold 0.6
Water property,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5584; sequence_match=0.2857,False,0.4544,False,top-3 avg score 0.4544 < final_threshold 0.6
Device,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.4865; sequence_match=0.3000,False,0.4526,False,top-3 avg score 0.4526 < final_threshold 0.6
FeatureOfInterest,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.1765; semantic=0.4535; sequence_match=0.3200,False,0.4488,False,top-3 avg score 0.4488 < final_threshold 0.6
Water,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.4846; sequence_match=0.3077,False,0.4474,False,top-3 avg score 0.4474 < final_threshold 0.6
Temporal duration,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5696; levenshtein=0.1250; semantic=0.4626; sequence_match=0.3077,False,0.4467,False,top-3 avg score 0.4467 < final_threshold 0.6
Tariff,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5675; levenshtein=0.2143; semantic=0.4706; sequence_match=0.3000,False,0.446,False,top-3 avg score 0.4460 < final_threshold 0.6
Measurement,Water Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5372; levenshtein=0.1429; semantic=0.5559; sequence_match=0.2400,False,0.4444,False,top-3 avg score 0.4444 < final_threshold 0.6
Temporal entity,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5274; levenshtein=0.1429; semantic=0.5317; sequence_match=0.2727,False,0.4439,False,top-3 avg score 0.4439 < final_threshold 0.6
Acceptability property,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.2381; semantic=0.4154; sequence_match=0.2857,False,0.4438,False,top-3 avg score 0.4438 < final_threshold 0.6
Acceptability property,Physical Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5548; levenshtein=0.1905; semantic=0.5117; sequence_match=0.2632,False,0.4432,False,top-3 avg score 0.4432 < final_threshold 0.6
Time-based tariff,Actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5194; levenshtein=0.2000; semantic=0.4621; sequence_match=0.3478,False,0.4431,False,top-3 avg score 0.4431 < final_threshold 0.6
Measurement,Chemical Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5162; levenshtein=0.1765; semantic=0.5271; sequence_match=0.2857,False,0.443,False,top-3 avg score 0.4430 < final_threshold 0.6
Water property,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5353; levenshtein=0.0769; semantic=0.5072; sequence_match=0.2857,False,0.4427,False,top-3 avg score 0.4427 < final_threshold 0.6
Tariff,Actuator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.3611; levenshtein=0.1250; semantic=0.5381; sequence_match=0.4286,False,0.4426,False,top-3 avg score 0.4426 < final_threshold 0.6
Water asset,Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4889; levenshtein=0.2000; semantic=0.5882; sequence_match=0.2500,False,0.4424,False,top-3 avg score 0.4424 < final_threshold 0.6
Point,Water Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4937; levenshtein=0.2143; semantic=0.5143; sequence_match=0.3158,False,0.4412,False,top-3 avg score 0.4412 < final_threshold 0.6
Water infrastructure,Location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5702; levenshtein=0.1053; semantic=0.4564; sequence_match=0.2963,False,0.4409,False,top-3 avg score 0.4409 < final_threshold 0.6
Temporal entity,Physical Indicator,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4827; levenshtein=0.2941; semantic=0.5459; sequence_match=0.1935,False,0.4409,False,top-3 avg score 0.4409 < final_threshold 0.6
Key Performance Indicator,Water Distribution Infrastructure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5565; levenshtein=0.1935; semantic=0.4314; sequence_match=0.3333,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.6
Water infrastructure,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4795; levenshtein=0.2105; semantic=0.5205; sequence_match=0.3200,False,0.44,False,top-3 avg score 0.4400 < final_threshold 0.6
Water infrastructure,Sensor,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5424; levenshtein=0.2105; semantic=0.5669; sequence_match=0.1600,False,0.44,False,top-3 avg score 0.4400 < final_threshold 0.6
Geometry,Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.5624; sequence_match=0.2500,False,0.4375,False,top-3 avg score 0.4375 < final_threshold 0.6
Geometry,Location,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.5623; sequence_match=0.2500,False,0.4374,False,top-3 avg score 0.4374 < final_threshold 0.6
Actuator,Chemical Indicator,semantic+sequence_match+levenshtein,jaro_winkler=0.2892; levenshtein=0.2941; semantic=0.5351; sequence_match=0.4800,False,0.4364,False,top-3 avg score 0.4364 < final_threshold 0.6
Water asset,Device,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.5456; sequence_match=0.2500,False,0.4356,False,top-3 avg score 0.4356 < final_threshold 0.6
Tariff,Water Distribution Infrastructure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5982; levenshtein=0.1290; semantic=0.4922; sequence_match=0.2162,False,0.4355,False,top-3 avg score 0.4355 < final_threshold 0.6
