prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,madeFromGrape,made from grape,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasSugar,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5676; sequence_match=0.2857,False,0.4575,False,top-3 avg score 0.4575 < final_threshold 0.7
ObjectProperty,hasVintageYear,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5305; sequence_match=0.2222,False,0.4239,False,top-3 avg score 0.4239 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,produced in region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5862; levenshtein=0.2353; semantic=0.3726; sequence_match=0.3030,False,0.4206,False,top-3 avg score 0.4206 < final_threshold 0.7
ObjectProperty,hasColor,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5322; sequence_match=0.2857,False,0.414,False,top-3 avg score 0.4140 < final_threshold 0.7
ObjectProperty,madeFromGrape,has vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.5200; sequence_match=0.1739,False,0.4122,False,top-3 avg score 0.4122 < final_threshold 0.7
ObjectProperty,locatedIn,made from grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5007; levenshtein=0.0000; semantic=0.4416; sequence_match=0.2727,False,0.405,False,top-3 avg score 0.4050 < final_threshold 0.7
ObjectProperty,madeFromGrape,produced in region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5158; levenshtein=0.1250; semantic=0.4310; sequence_match=0.2069,False,0.3845,False,top-3 avg score 0.3845 < final_threshold 0.7
ObjectProperty,hasVintageYear,produced in region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4901; levenshtein=0.0625; semantic=0.4366; sequence_match=0.2000,False,0.3755,False,top-3 avg score 0.3755 < final_threshold 0.7
ObjectProperty,hasBody,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.4652; sequence_match=0.2000,False,0.3691,False,top-3 avg score 0.3691 < final_threshold 0.7
ObjectProperty,hasBody,produced in region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4702; levenshtein=0.0625; semantic=0.3718; sequence_match=0.1739,False,0.3386,False,top-3 avg score 0.3386 < final_threshold 0.7
ObjectProperty,hasColor,produced in region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4097; levenshtein=0.1250; semantic=0.4104; sequence_match=0.1667,False,0.3289,False,top-3 avg score 0.3289 < final_threshold 0.7
ObjectProperty,hasSugar,produced in region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4097; levenshtein=0.1250; semantic=0.3629; sequence_match=0.1667,False,0.3131,False,top-3 avg score 0.3131 < final_threshold 0.7
ObjectProperty,hasFlavor,produced in region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.2824; levenshtein=0.0625; semantic=0.4197; sequence_match=0.1600,False,0.2874,False,top-3 avg score 0.2874 < final_threshold 0.7
DatatypeProperty,yearValue,has year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.1111; semantic=0.7823; sequence_match=0.5000,False,0.6352,False,top-3 avg score 0.6352 < final_threshold 0.7
DatatypeProperty,yearValue,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5073; sequence_match=0.3158,False,0.4558,False,top-3 avg score 0.4558 < final_threshold 0.7
DatatypeProperty,yearValue,has color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.2222; semantic=0.4957; sequence_match=0.2353,False,0.4073,False,top-3 avg score 0.4073 < final_threshold 0.7
DatatypeProperty,yearValue,is good vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5214; levenshtein=0.1538; semantic=0.5331; sequence_match=0.0909,False,0.4028,False,top-3 avg score 0.4028 < final_threshold 0.7
DatatypeProperty,yearValue,has body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.4624; sequence_match=0.1250,False,0.3351,False,top-3 avg score 0.3351 < final_threshold 0.7
