role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,haspermission,haspermission,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasoperator,hasoperator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,inheritsfrom,inheritsfrom,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,partof,ispartof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9167; levenshtein=0.7500; semantic=0.8314; sequence_match=0.8571,False,0.8684,True,selected
property,hasaction,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7966; levenshtein=0.4615; semantic=0.6187; sequence_match=0.5455,False,0.6536,False,pred already taken by 'haspermission' (higher averaged score)
property,hasduty,hasright,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.7369; sequence_match=0.5333,False,0.6536,False,gold already mapped to 'hasduty'
property,hasaction,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.6441; sequence_match=0.6000,False,0.6420,False,pred already taken by 'hasoperator' (higher averaged score)
property,hasduty,haspermissionduty,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5350; levenshtein=0.4118; semantic=0.8053; sequence_match=0.5833,False,0.6412,False,gold already mapped to 'hasduty'
property,hasconstraint,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.4615; semantic=0.6425; sequence_match=0.5833,False,0.6344,False,gold already mapped to 'hasconstraint'
property,hasoperator,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.4615; semantic=0.6425; sequence_match=0.5833,False,0.6344,False,gold already mapped to 'hasoperator'
property,hasoperator,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.3636; semantic=0.6721; sequence_match=0.5263,False,0.6305,False,gold already mapped to 'hasoperator'
property,operand,hasoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.4545; semantic=0.7139; sequence_match=0.5556,False,0.6197,False,gold already mapped to 'usesoperator'
property,hasprohibition,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8072; levenshtein=0.4286; semantic=0.5670; sequence_match=0.4800,False,0.6181,False,gold already mapped to 'haspermissionduty'
property,hasaction,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6786; sequence_match=0.5000,False,0.6168,False,gold already mapped to 'hasrole'
property,hasoperator,haspermissionduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6910; levenshtein=0.3529; semantic=0.6327; sequence_match=0.5000,False,0.6079,False,gold already mapped to 'hasoperator'
property,hasaction,haspermissionduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6732; levenshtein=0.3529; semantic=0.6670; sequence_match=0.4615,False,0.6006,False,gold already mapped to 'hasrole'
property,haspermission,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6699; levenshtein=0.3846; semantic=0.6481; sequence_match=0.4762,False,0.5981,False,top-3 avg score 0.5981 < final_threshold 0.6
property,hasprohibition,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.6221; sequence_match=0.4762,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.6
property,hasaction,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6602; levenshtein=0.3333; semantic=0.6505; sequence_match=0.4706,False,0.5937,False,top-3 avg score 0.5937 < final_threshold 0.6
property,scope,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7212; levenshtein=0.2727; semantic=0.5570; sequence_match=0.5000,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.6
property,hasduty,hasrole,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6190; levenshtein=0.4286; semantic=0.7193; sequence_match=0.4286,False,0.5890,False,top-3 avg score 0.5890 < final_threshold 0.6
property,scope,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5789; sequence_match=0.5000,False,0.5850,False,top-3 avg score 0.5850 < final_threshold 0.6
property,target,hasright,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7222; levenshtein=0.5000; semantic=0.5325; sequence_match=0.1429,False,0.5849,False,top-3 avg score 0.5849 < final_threshold 0.6
property,hasduty,hasoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6627; sequence_match=0.4444,False,0.5840,False,top-3 avg score 0.5840 < final_threshold 0.6
property,hasoperator,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6627; sequence_match=0.4444,False,0.5840,False,top-3 avg score 0.5840 < final_threshold 0.6
property,assignee,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5612; sequence_match=0.5000,False,0.5759,False,top-3 avg score 0.5759 < final_threshold 0.6
property,hasconstraint,haspermissionduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6665; levenshtein=0.3529; semantic=0.6549; sequence_match=0.4000,False,0.5738,False,top-3 avg score 0.5738 < final_threshold 0.6
property,scope,specifies,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6648; levenshtein=0.3333; semantic=0.6259; sequence_match=0.4286,False,0.5731,False,top-3 avg score 0.5731 < final_threshold 0.6
property,assigner,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5481; sequence_match=0.5000,False,0.5716,False,top-3 avg score 0.5716 < final_threshold 0.6
property,hasprohibition,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6456; levenshtein=0.3571; semantic=0.6812; sequence_match=0.3704,False,0.5657,False,top-3 avg score 0.5657 < final_threshold 0.6
property,hasprohibition,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6964; sequence_match=0.3810,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.6
property,hasduty,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6626; sequence_match=0.4000,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,hasconstraint,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6626; sequence_match=0.4000,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,target,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5684; sequence_match=0.4615,False,0.5576,False,top-3 avg score 0.5576 < final_threshold 0.6
property,hasconstraint,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6386; sequence_match=0.4000,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
property,inheritrelation,haspermission,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6684; levenshtein=0.3333; semantic=0.4947; sequence_match=0.5000,False,0.5544,False,top-3 avg score 0.5544 < final_threshold 0.6
property,obligation,violates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.2000; semantic=0.5719; sequence_match=0.4444,False,0.5527,False,top-3 avg score 0.5527 < final_threshold 0.6
property,hasconstraint,hasright,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.6576; sequence_match=0.3810,False,0.5485,False,top-3 avg score 0.5485 < final_threshold 0.6
property,failure,activatesuponfailureof,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5011; levenshtein=0.3182; semantic=0.6610; sequence_match=0.4828,False,0.5483,False,top-3 avg score 0.5483 < final_threshold 0.6
property,scope,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.3333; semantic=0.5453; sequence_match=0.4706,False,0.5479,False,top-3 avg score 0.5479 < final_threshold 0.6
property,haspermission,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6078; sequence_match=0.4000,False,0.5469,False,top-3 avg score 0.5469 < final_threshold 0.6
property,assignee,haspermissionduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.2941; semantic=0.5926; sequence_match=0.4000,False,0.5460,False,top-3 avg score 0.5460 < final_threshold 0.6
property,hasoperator,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6328; levenshtein=0.3158; semantic=0.5379; sequence_match=0.4667,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.6
property,haspermission,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6447; levenshtein=0.3077; semantic=0.6044; sequence_match=0.3846,False,0.5446,False,top-3 avg score 0.5446 < final_threshold 0.6
property,hasconstraint,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6447; levenshtein=0.3077; semantic=0.6044; sequence_match=0.3846,False,0.5446,False,top-3 avg score 0.5446 < final_threshold 0.6
property,assigner,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5910; sequence_match=0.4211,False,0.5444,False,top-3 avg score 0.5444 < final_threshold 0.6
property,hasaction,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5349; sequence_match=0.4286,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.6
property,partof,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5235; sequence_match=0.4615,False,0.5426,False,top-3 avg score 0.5426 < final_threshold 0.6
property,assigner,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5430; sequence_match=0.4762,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
property,assigner,haspermissionduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6670; levenshtein=0.2941; semantic=0.5525; sequence_match=0.4000,False,0.5399,False,top-3 avg score 0.5399 < final_threshold 0.6
property,haspermission,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6479; levenshtein=0.3158; semantic=0.5181; sequence_match=0.4375,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.6
property,hasconstraint,isconsequenceof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6205; levenshtein=0.3333; semantic=0.5525; sequence_match=0.4286,False,0.5339,False,top-3 avg score 0.5339 < final_threshold 0.6
property,hasaction,activatesuponfailureof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6675; levenshtein=0.1818; semantic=0.5432; sequence_match=0.3871,False,0.5326,False,top-3 avg score 0.5326 < final_threshold 0.6
property,relation,isdirectlylinkedto,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.2222; semantic=0.6288; sequence_match=0.3846,False,0.5322,False,top-3 avg score 0.5322 < final_threshold 0.6
property,operand,haspermissionduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6256; levenshtein=0.2941; semantic=0.5523; sequence_match=0.4167,False,0.5315,False,top-3 avg score 0.5315 < final_threshold 0.6
property,haspermission,grantsaccess,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5427; levenshtein=0.0769; semantic=0.6471; sequence_match=0.4000,False,0.5299,False,top-3 avg score 0.5299 < final_threshold 0.6
property,scope,isconsequenceof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.2667; semantic=0.4982; sequence_match=0.4000,False,0.5290,False,top-3 avg score 0.5290 < final_threshold 0.6
property,hasoperator,appliesto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.2727; semantic=0.4978; sequence_match=0.4000,False,0.5265,False,top-3 avg score 0.5265 < final_threshold 0.6
property,inheritsfrom,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.3333; semantic=0.5632; sequence_match=0.4000,False,0.5257,False,top-3 avg score 0.5257 < final_threshold 0.6
property,function,contains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.2500; semantic=0.5172; sequence_match=0.3750,False,0.5252,False,top-3 avg score 0.5252 < final_threshold 0.6
property,inheritrelation,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6058; levenshtein=0.3333; semantic=0.5058; sequence_match=0.4615,False,0.5244,False,top-3 avg score 0.5244 < final_threshold 0.6
property,assigner,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.4931; sequence_match=0.4762,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.6
property,assignee,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5679; sequence_match=0.4000,False,0.5230,False,top-3 avg score 0.5230 < final_threshold 0.6
property,haspermission,appliesto,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5292; sequence_match=0.2727,False,0.5226,False,top-3 avg score 0.5226 < final_threshold 0.6
property,haspermission,specifies,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.4558; sequence_match=0.4545,False,0.5214,False,top-3 avg score 0.5214 < final_threshold 0.6
property,hasoperator,inheritsfrom,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5970; levenshtein=0.1667; semantic=0.5240; sequence_match=0.4348,False,0.5186,False,top-3 avg score 0.5186 < final_threshold 0.6
property,inheritsfrom,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5970; levenshtein=0.1667; semantic=0.5240; sequence_match=0.4348,False,0.5186,False,top-3 avg score 0.5186 < final_threshold 0.6
property,failure,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2857; semantic=0.4959; sequence_match=0.4286,False,0.5185,False,top-3 avg score 0.5185 < final_threshold 0.6
property,inheritrelation,haspermissionduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5430; levenshtein=0.1765; semantic=0.5723; sequence_match=0.4375,False,0.5176,False,top-3 avg score 0.5176 < final_threshold 0.6
property,inheritsfrom,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5644; levenshtein=0.3077; semantic=0.5042; sequence_match=0.4800,False,0.5162,False,top-3 avg score 0.5162 < final_threshold 0.6
property,hasduty,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5925; levenshtein=0.2632; semantic=0.5675; sequence_match=0.3846,False,0.5149,False,top-3 avg score 0.5149 < final_threshold 0.6
property,hasoperator,isoftype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.1818; semantic=0.4956; sequence_match=0.4211,False,0.5144,False,top-3 avg score 0.5144 < final_threshold 0.6
property,hasduty,isoftype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5411; sequence_match=0.4000,False,0.5141,False,top-3 avg score 0.5141 < final_threshold 0.6
property,targetpolicy,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.2500; semantic=0.4765; sequence_match=0.4211,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.6
property,and,hasduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.4884; sequence_match=0.4000,False,0.5131,False,top-3 avg score 0.5131 < final_threshold 0.6
property,relation,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6816; levenshtein=0.3077; semantic=0.4765; sequence_match=0.3810,False,0.5130,False,top-3 avg score 0.5130 < final_threshold 0.6
property,scope,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5131; levenshtein=0.2727; semantic=0.6485; sequence_match=0.3750,False,0.5122,False,top-3 avg score 0.5122 < final_threshold 0.6
property,target,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.4818; sequence_match=0.4286,False,0.5118,False,top-3 avg score 0.5118 < final_threshold 0.6
property,assigner,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5282; sequence_match=0.4000,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.6
property,hasaction,grantsaccess,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5373; sequence_match=0.3810,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.6
property,assigner,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5993; sequence_match=0.4000,False,0.5090,False,top-3 avg score 0.5090 < final_threshold 0.6
property,handlepolicyconflicts,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6100; levenshtein=0.2857; semantic=0.4656; sequence_match=0.4500,False,0.5085,False,top-3 avg score 0.5085 < final_threshold 0.6
property,assignee,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5277; sequence_match=0.4762,False,0.5077,False,top-3 avg score 0.5077 < final_threshold 0.6
property,scope,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5764; sequence_match=0.3333,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.6
property,failure,isexclusive,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5617; levenshtein=0.2727; semantic=0.5130; sequence_match=0.4444,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.6
property,inheritrelation,isdirectlylinkedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6603; levenshtein=0.2222; semantic=0.5493; sequence_match=0.3030,False,0.5042,False,top-3 avg score 0.5042 < final_threshold 0.6
property,handlepolicyconflicts,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2381; semantic=0.4766; sequence_match=0.4118,False,0.5040,False,top-3 avg score 0.5040 < final_threshold 0.6
property,consequence,contains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.3636; semantic=0.4578; sequence_match=0.4211,False,0.5018,False,top-3 avg score 0.5018 < final_threshold 0.6
property,relation,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5463; sequence_match=0.3750,False,0.5016,False,top-3 avg score 0.5016 < final_threshold 0.6
property,assignee,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5379; levenshtein=0.1818; semantic=0.5422; sequence_match=0.4211,False,0.5004,False,top-3 avg score 0.5004 < final_threshold 0.6
property,inheritsfrom,haspermissionduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5874; levenshtein=0.2353; semantic=0.5680; sequence_match=0.3448,False,0.5001,False,top-3 avg score 0.5001 < final_threshold 0.6
property,failure,issupportedby,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.1538; semantic=0.4714; sequence_match=0.4000,False,0.4993,False,top-3 avg score 0.4993 < final_threshold 0.6
property,relation,haspermissionduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.2353; semantic=0.5303; sequence_match=0.3200,False,0.4986,False,top-3 avg score 0.4986 < final_threshold 0.6
property,inheritsfrom,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.2500; semantic=0.5226; sequence_match=0.4211,False,0.4984,False,top-3 avg score 0.4984 < final_threshold 0.6
property,relation,inheritsfrom,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.2500; semantic=0.5790; sequence_match=0.3000,False,0.4976,False,top-3 avg score 0.4976 < final_threshold 0.6
property,scope,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.1538; semantic=0.5487; sequence_match=0.3333,False,0.4974,False,top-3 avg score 0.4974 < final_threshold 0.6
property,assigner,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2632; semantic=0.4882; sequence_match=0.3704,False,0.4972,False,top-3 avg score 0.4972 < final_threshold 0.6
property,inheritsfrom,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.1667; semantic=0.5428; sequence_match=0.4000,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.6
property,hasaction,appliesto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5463; levenshtein=0.0000; semantic=0.4985; sequence_match=0.4444,False,0.4964,False,top-3 avg score 0.4964 < final_threshold 0.6
property,assignee,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.4930; sequence_match=0.4762,False,0.4961,False,top-3 avg score 0.4961 < final_threshold 0.6
property,hasprohibition,hasnestedconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5276; levenshtein=0.2632; semantic=0.5966; sequence_match=0.3636,False,0.4959,False,top-3 avg score 0.4959 < final_threshold 0.6
property,assignee,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2105; semantic=0.4795; sequence_match=0.3704,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.6
property,handlepolicyconflicts,haspermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5821; levenshtein=0.2857; semantic=0.5445; sequence_match=0.3529,False,0.4932,False,top-3 avg score 0.4932 < final_threshold 0.6
property,handlepolicyconflicts,haspermissionduty,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5881; levenshtein=0.3333; semantic=0.5567; sequence_match=0.2632,False,0.4927,False,top-3 avg score 0.4927 < final_threshold 0.6
property,hasoperator,ispartof,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.5985; levenshtein=0.4545; semantic=0.4027; sequence_match=0.4211,False,0.4914,False,top-3 avg score 0.4914 < final_threshold 0.6
property,hasconstraint,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.2308; semantic=0.5304; sequence_match=0.4000,False,0.4910,False,top-3 avg score 0.4910 < final_threshold 0.6
