prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns achievement,obtains achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8490; levenshtein=0.7778; semantic=0.8541; sequence_match=0.8485,False,0.8506,True,selected
ObjectProperty,has item,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8167; levenshtein=0.4000; semantic=0.5931; sequence_match=0.5882,False,0.666,False,top-3 avg score 0.6660 < final_threshold 0.7
ObjectProperty,owns achievement,achievement type of,sequence_match+semantic+jaro_winkler,jaro_winkler=0.6419; levenshtein=0.4118; semantic=0.6571; sequence_match=0.6875,False,0.6622,False,top-3 avg score 0.6622 < final_threshold 0.7
ObjectProperty,plays game,played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.7486; sequence_match=0.5882,False,0.6617,False,top-3 avg score 0.6617 < final_threshold 0.7
ObjectProperty,is achievement in game,achievement type of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7236; levenshtein=0.5789; semantic=0.5926; sequence_match=0.6667,False,0.661,False,top-3 avg score 0.6610 < final_threshold 0.7
ObjectProperty,has character,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
ObjectProperty,has leaderboard,has player game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7930; levenshtein=0.5000; semantic=0.5818; sequence_match=0.5926,False,0.6558,False,top-3 avg score 0.6558 < final_threshold 0.7
ObjectProperty,has game genre,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.6653; sequence_match=0.5714,False,0.653,False,top-3 avg score 0.6530 < final_threshold 0.7
ObjectProperty,has item,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.4167; semantic=0.6077; sequence_match=0.5263,False,0.6484,False,top-3 avg score 0.6484 < final_threshold 0.7
ObjectProperty,has playing area,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,plays game,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,has game genre,has player game per game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8119; levenshtein=0.4500; semantic=0.5551; sequence_match=0.5625,False,0.6432,False,top-3 avg score 0.6432 < final_threshold 0.7
ObjectProperty,plays game,for player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7037; levenshtein=0.1111; semantic=0.6656; sequence_match=0.5556,False,0.6416,False,top-3 avg score 0.6416 < final_threshold 0.7
ObjectProperty,plays game,belongs to game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6538; levenshtein=0.4615; semantic=0.6949; sequence_match=0.5455,False,0.6314,False,top-3 avg score 0.6314 < final_threshold 0.7
ObjectProperty,has game genre,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5386; sequence_match=0.5385,False,0.6279,False,top-3 avg score 0.6279 < final_threshold 0.7
ObjectProperty,plays game,for game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5886; levenshtein=0.4444; semantic=0.7880; sequence_match=0.5000,False,0.6255,False,top-3 avg score 0.6255 < final_threshold 0.7
ObjectProperty,is friend with player,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7202; sequence_match=0.5185,False,0.6219,False,top-3 avg score 0.6219 < final_threshold 0.7
ObjectProperty,has achievement,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6762; levenshtein=0.3571; semantic=0.6892; sequence_match=0.5000,False,0.6218,False,top-3 avg score 0.6218 < final_threshold 0.7
ObjectProperty,has playing area,last played game,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6508; levenshtein=0.5714; semantic=0.4858; sequence_match=0.6429,False,0.6217,False,top-3 avg score 0.6217 < final_threshold 0.7
ObjectProperty,plays game,has player game per game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6685; levenshtein=0.4000; semantic=0.6445; sequence_match=0.5517,False,0.6216,False,top-3 avg score 0.6216 < final_threshold 0.7
ObjectProperty,has playing area,has genre,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.4903; sequence_match=0.5455,False,0.6189,False,top-3 avg score 0.6189 < final_threshold 0.7
ObjectProperty,has achievement,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6360; sequence_match=0.5217,False,0.6187,False,top-3 avg score 0.6187 < final_threshold 0.7
ObjectProperty,is character in game,has player game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6858; levenshtein=0.4118; semantic=0.5670; sequence_match=0.6000,False,0.6176,False,top-3 avg score 0.6176 < final_threshold 0.7
ObjectProperty,has game genre,genre of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5595; levenshtein=0.2500; semantic=0.7617; sequence_match=0.5263,False,0.6159,False,top-3 avg score 0.6159 < final_threshold 0.7
ObjectProperty,purchases game offering,purchased by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8216; levenshtein=0.3810; semantic=0.5116; sequence_match=0.5000,False,0.6111,False,top-3 avg score 0.6111 < final_threshold 0.7
ObjectProperty,has feature,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3000; semantic=0.6655; sequence_match=0.5000,False,0.6107,False,top-3 avg score 0.6107 < final_threshold 0.7
ObjectProperty,has item,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6007; sequence_match=0.5333,False,0.6082,False,top-3 avg score 0.6082 < final_threshold 0.7
ObjectProperty,has item,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.3333; semantic=0.5302; sequence_match=0.4800,False,0.6071,False,top-3 avg score 0.6071 < final_threshold 0.7
ObjectProperty,has feature,has player game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6985; levenshtein=0.4615; semantic=0.5992; sequence_match=0.5217,False,0.6065,False,top-3 avg score 0.6065 < final_threshold 0.7
ObjectProperty,has item,has player game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6996; levenshtein=0.3846; semantic=0.6182; sequence_match=0.5000,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,is friend with player,for player,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5000; levenshtein=0.3889; semantic=0.7244; sequence_match=0.5926,False,0.6057,False,top-3 avg score 0.6057 < final_threshold 0.7
ObjectProperty,has character,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.6890; sequence_match=0.4615,False,0.6044,False,top-3 avg score 0.6044 < final_threshold 0.7
ObjectProperty,has feature,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7994; levenshtein=0.3333; semantic=0.5494; sequence_match=0.4545,False,0.6011,False,top-3 avg score 0.6011 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has player game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6652; levenshtein=0.3684; semantic=0.5734; sequence_match=0.5625,False,0.6004,False,top-3 avg score 0.6004 < final_threshold 0.7
ObjectProperty,has character,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.6636; sequence_match=0.4762,False,0.5991,False,top-3 avg score 0.5991 < final_threshold 0.7
ObjectProperty,has feature,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.6542; sequence_match=0.4706,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.7
ObjectProperty,is session in game,belongs to game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6329; levenshtein=0.3333; semantic=0.6483; sequence_match=0.5000,False,0.5937,False,top-3 avg score 0.5937 < final_threshold 0.7
ObjectProperty,owns item,belongs to game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.6770; sequence_match=0.4762,False,0.5931,False,top-3 avg score 0.5931 < final_threshold 0.7
ObjectProperty,involves player,has player game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5623; levenshtein=0.2143; semantic=0.6975; sequence_match=0.5185,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.7
ObjectProperty,has character,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.4167; semantic=0.5926; sequence_match=0.5000,False,0.591,False,top-3 avg score 0.5910 < final_threshold 0.7
ObjectProperty,has achievement,has player game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6319; levenshtein=0.3571; semantic=0.6136; sequence_match=0.5185,False,0.588,False,top-3 avg score 0.5880 < final_threshold 0.7
ObjectProperty,is player in session,has player game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6120; levenshtein=0.4118; semantic=0.6134; sequence_match=0.5333,False,0.5863,False,top-3 avg score 0.5863 < final_threshold 0.7
ObjectProperty,has character,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6389; levenshtein=0.3333; semantic=0.6644; sequence_match=0.4545,False,0.5859,False,top-3 avg score 0.5859 < final_threshold 0.7
ObjectProperty,purchases game offering,has player game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6485; levenshtein=0.2857; semantic=0.6249; sequence_match=0.4706,False,0.5813,False,top-3 avg score 0.5813 < final_threshold 0.7
ObjectProperty,has game genre,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.5375; sequence_match=0.5385,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.7
ObjectProperty,has game genre,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.6248; sequence_match=0.4615,False,0.5764,False,top-3 avg score 0.5764 < final_threshold 0.7
ObjectProperty,has character,has player game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.3846; semantic=0.5860; sequence_match=0.4800,False,0.5752,False,top-3 avg score 0.5752 < final_threshold 0.7
ObjectProperty,has leaderboard,has player game per game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.5165; sequence_match=0.5294,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.7
ObjectProperty,owns character,owned by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5531; levenshtein=0.2308; semantic=0.7608; sequence_match=0.4000,False,0.5713,False,top-3 avg score 0.5713 < final_threshold 0.7
ObjectProperty,has game genre,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6759; levenshtein=0.3889; semantic=0.5682; sequence_match=0.4667,False,0.5703,False,top-3 avg score 0.5703 < final_threshold 0.7
ObjectProperty,has game genre,for game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5516; levenshtein=0.3333; semantic=0.7328; sequence_match=0.4211,False,0.5685,False,top-3 avg score 0.5685 < final_threshold 0.7
ObjectProperty,purchases game offering,has player game per game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6794; levenshtein=0.3333; semantic=0.4840; sequence_match=0.5366,False,0.5667,False,top-3 avg score 0.5667 < final_threshold 0.7
ObjectProperty,has achievement,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.5840; sequence_match=0.4545,False,0.5664,False,top-3 avg score 0.5664 < final_threshold 0.7
ObjectProperty,purchases game offering,made purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6365; levenshtein=0.1905; semantic=0.5755; sequence_match=0.4848,False,0.5656,False,top-3 avg score 0.5656 < final_threshold 0.7
ObjectProperty,has feature,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.6594; sequence_match=0.4167,False,0.5656,False,top-3 avg score 0.5656 < final_threshold 0.7
ObjectProperty,owns achievement,owned by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6127; levenshtein=0.2667; semantic=0.7000; sequence_match=0.3636,False,0.5588,False,top-3 avg score 0.5588 < final_threshold 0.7
ObjectProperty,has game genre,has equipment,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6746; levenshtein=0.3333; semantic=0.4853; sequence_match=0.5000,False,0.5533,False,top-3 avg score 0.5533 < final_threshold 0.7
ObjectProperty,is session in game,has player game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6205; levenshtein=0.3333; semantic=0.6105; sequence_match=0.4286,False,0.5532,False,top-3 avg score 0.5532 < final_threshold 0.7
ObjectProperty,purchases game offering,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6085; levenshtein=0.3333; semantic=0.5834; sequence_match=0.4667,False,0.5529,False,top-3 avg score 0.5529 < final_threshold 0.7
ObjectProperty,is leaderboard in game,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6135; levenshtein=0.3684; semantic=0.5569; sequence_match=0.4848,False,0.5518,False,top-3 avg score 0.5518 < final_threshold 0.7
ObjectProperty,has feature,has playing area,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5499; sequence_match=0.4167,False,0.5516,False,top-3 avg score 0.5516 < final_threshold 0.7
ObjectProperty,owns item,obtains achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6594; levenshtein=0.3333; semantic=0.5317; sequence_match=0.4615,False,0.5509,False,top-3 avg score 0.5509 < final_threshold 0.7
ObjectProperty,owns achievement,has equipment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6722; levenshtein=0.4000; semantic=0.5342; sequence_match=0.4444,False,0.5503,False,top-3 avg score 0.5503 < final_threshold 0.7
ObjectProperty,involves player,played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5298; levenshtein=0.2143; semantic=0.6602; sequence_match=0.4545,False,0.5482,False,top-3 avg score 0.5482 < final_threshold 0.7
ObjectProperty,has item,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.2857; semantic=0.4766; sequence_match=0.4762,False,0.5478,False,top-3 avg score 0.5478 < final_threshold 0.7
ObjectProperty,owns achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6968; levenshtein=0.2667; semantic=0.5768; sequence_match=0.3636,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.7
ObjectProperty,is player in session,playing area of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6295; levenshtein=0.4118; semantic=0.4724; sequence_match=0.5333,False,0.545,False,top-3 avg score 0.5450 < final_threshold 0.7
ObjectProperty,has character,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.3333; semantic=0.5441; sequence_match=0.4667,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,plays game,last played by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6442; levenshtein=0.2500; semantic=0.5090; sequence_match=0.4762,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,owns achievement,belongs to game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5650; levenshtein=0.1333; semantic=0.6342; sequence_match=0.4286,False,0.5426,False,top-3 avg score 0.5426 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has player game per game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6327; levenshtein=0.4000; semantic=0.5314; sequence_match=0.4615,False,0.5419,False,top-3 avg score 0.5419 < final_threshold 0.7
ObjectProperty,owns character,belongs to game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5855; levenshtein=0.0769; semantic=0.6537; sequence_match=0.3846,False,0.5413,False,top-3 avg score 0.5413 < final_threshold 0.7
ObjectProperty,has leaderboard,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4974; sequence_match=0.4545,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.7
ObjectProperty,has game genre,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5528; sequence_match=0.4211,False,0.5392,False,top-3 avg score 0.5392 < final_threshold 0.7
ObjectProperty,plays game,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.4984; sequence_match=0.4706,False,0.539,False,top-3 avg score 0.5390 < final_threshold 0.7
ObjectProperty,has character,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.3571; semantic=0.5075; sequence_match=0.4615,False,0.5386,False,top-3 avg score 0.5386 < final_threshold 0.7
ObjectProperty,is player in session,for player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5065; levenshtein=0.2941; semantic=0.6455; sequence_match=0.4615,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,is player in session,played by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5707; sequence_match=0.4000,False,0.5368,False,top-3 avg score 0.5368 < final_threshold 0.7
ObjectProperty,is character in game,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6342; levenshtein=0.3529; semantic=0.4581; sequence_match=0.5161,False,0.5361,False,top-3 avg score 0.5361 < final_threshold 0.7
ObjectProperty,has item,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has playing area,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has leaderboard,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3571; semantic=0.5015; sequence_match=0.4286,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,is friend with player,has player game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4875; levenshtein=0.1111; semantic=0.6578; sequence_match=0.4516,False,0.5323,False,top-3 avg score 0.5323 < final_threshold 0.7
ObjectProperty,is player in session,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6500; levenshtein=0.3529; semantic=0.4288; sequence_match=0.5161,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.7
ObjectProperty,involves player,has player game per game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4905; levenshtein=0.2000; semantic=0.6891; sequence_match=0.4118,False,0.5304,False,top-3 avg score 0.5304 < final_threshold 0.7
ObjectProperty,is character in game,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6500; levenshtein=0.3529; semantic=0.4876; sequence_match=0.4516,False,0.5298,False,top-3 avg score 0.5298 < final_threshold 0.7
ObjectProperty,purchases game offering,for game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5175; levenshtein=0.2381; semantic=0.7120; sequence_match=0.3571,False,0.5289,False,top-3 avg score 0.5289 < final_threshold 0.7
ObjectProperty,owns character,obtains achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6197; levenshtein=0.3333; semantic=0.5785; sequence_match=0.3871,False,0.5284,False,top-3 avg score 0.5284 < final_threshold 0.7
ObjectProperty,has achievement,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5367; sequence_match=0.4286,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has playing area,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5367; sequence_match=0.4286,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has playing area,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5056; sequence_match=0.4348,False,0.5278,False,top-3 avg score 0.5278 < final_threshold 0.7
ObjectProperty,lives in,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.5737; sequence_match=0.3810,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
