prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasPolicy,has Policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,permission,has Permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9382; sequence_match=0.8696,False,0.877,True,selected
ObjectProperty,partOf,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5130; sequence_match=0.4615,False,0.5391,False,top-3 avg score 0.5391 < final_threshold 0.7
ObjectProperty,hasPolicy,has Conflict Resolution Strategy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2759; semantic=0.6160; sequence_match=0.4211,False,0.5383,False,top-3 avg score 0.5383 < final_threshold 0.7
ObjectProperty,assigner,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5324; sequence_match=0.4762,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,assignee,has Role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.6024; sequence_match=0.4000,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.7
ObjectProperty,assigner,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5231; sequence_match=0.4762,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,target,has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5462; sequence_match=0.4286,False,0.5333,False,top-3 avg score 0.5333 < final_threshold 0.7
ObjectProperty,inheritFrom,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.5642; sequence_match=0.4167,False,0.5314,False,top-3 avg score 0.5314 < final_threshold 0.7
ObjectProperty,relation,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6816; levenshtein=0.3077; semantic=0.5184; sequence_match=0.3810,False,0.527,False,top-3 avg score 0.5270 < final_threshold 0.7
ObjectProperty,assignee,Has Consequence Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2778; semantic=0.5440; sequence_match=0.3846,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.7
ObjectProperty,inheritRelation,has Operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6058; levenshtein=0.3333; semantic=0.4970; sequence_match=0.4615,False,0.5214,False,top-3 avg score 0.5214 < final_threshold 0.7
ObjectProperty,hasPolicy,Has Consequence Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3333; semantic=0.5709; sequence_match=0.4444,False,0.5199,False,top-3 avg score 0.5199 < final_threshold 0.7
ObjectProperty,relation,has Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.3333; semantic=0.5126; sequence_match=0.5000,False,0.5199,False,top-3 avg score 0.5199 < final_threshold 0.7
ObjectProperty,consequence,has Constraint On Requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5733; levenshtein=0.3077; semantic=0.4895; sequence_match=0.4865,False,0.5164,False,top-3 avg score 0.5164 < final_threshold 0.7
ObjectProperty,action,has Negation,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.5051; levenshtein=0.4545; semantic=0.4179; sequence_match=0.5882,False,0.5159,False,top-3 avg score 0.5159 < final_threshold 0.7
ObjectProperty,duty,Has Consequence Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4352; levenshtein=0.2222; semantic=0.7481; sequence_match=0.3636,False,0.5157,False,top-3 avg score 0.5157 < final_threshold 0.7
ObjectProperty,hasPolicy,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5188; sequence_match=0.4000,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.7
ObjectProperty,assignee,has Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5475; sequence_match=0.4762,False,0.5143,False,top-3 avg score 0.5143 < final_threshold 0.7
ObjectProperty,assigner,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5409; sequence_match=0.4000,False,0.514,False,top-3 avg score 0.5140 < final_threshold 0.7
ObjectProperty,conflict,Has Consequence Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5741; levenshtein=0.2778; semantic=0.5726; sequence_match=0.3846,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.7
ObjectProperty,failure,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2857; semantic=0.4715; sequence_match=0.4286,False,0.5103,False,top-3 avg score 0.5103 < final_threshold 0.7
ObjectProperty,scope,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5847; sequence_match=0.3333,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.7
ObjectProperty,and,has Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.4769; sequence_match=0.4000,False,0.5092,False,top-3 avg score 0.5092 < final_threshold 0.7
ObjectProperty,hasPolicy,has Contract Party Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6616; levenshtein=0.3000; semantic=0.5208; sequence_match=0.3448,False,0.5091,False,top-3 avg score 0.5091 < final_threshold 0.7
ObjectProperty,constraint,Has Consequence Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6011; levenshtein=0.3333; semantic=0.5678; sequence_match=0.3571,False,0.5087,False,top-3 avg score 0.5087 < final_threshold 0.7
ObjectProperty,assignee,has Remedy,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.4042; sequence_match=0.4706,False,0.5076,False,top-3 avg score 0.5076 < final_threshold 0.7
ObjectProperty,scope,Has Consequence Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6741; levenshtein=0.2222; semantic=0.5007; sequence_match=0.3478,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.7
ObjectProperty,scope,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.1538; semantic=0.5789; sequence_match=0.3333,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.7
ObjectProperty,andSequence,has Constraint On Requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.4775; sequence_match=0.4324,False,0.5068,False,top-3 avg score 0.5068 < final_threshold 0.7
ObjectProperty,assignee,has Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5248; sequence_match=0.4762,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,hasPolicy,has Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.5976; sequence_match=0.3529,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,action,has Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6340; levenshtein=0.2353; semantic=0.5372; sequence_match=0.3478,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.7
ObjectProperty,scope,has Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6167; levenshtein=0.2500; semantic=0.5492; sequence_match=0.3529,False,0.5063,False,top-3 avg score 0.5063 < final_threshold 0.7
ObjectProperty,hasPolicy,has Contract Party Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6561; levenshtein=0.2857; semantic=0.5276; sequence_match=0.3333,False,0.5057,False,top-3 avg score 0.5057 < final_threshold 0.7
ObjectProperty,conflict,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5792; levenshtein=0.3125; semantic=0.5187; sequence_match=0.4167,False,0.5048,False,top-3 avg score 0.5048 < final_threshold 0.7
ObjectProperty,target,has Remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5030; sequence_match=0.4000,False,0.5047,False,top-3 avg score 0.5047 < final_threshold 0.7
ObjectProperty,action,has Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4957; levenshtein=0.3077; semantic=0.5913; sequence_match=0.4211,False,0.5027,False,top-3 avg score 0.5027 < final_threshold 0.7
ObjectProperty,action,Has Consequence Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.1667; semantic=0.5447; sequence_match=0.3333,False,0.5025,False,top-3 avg score 0.5025 < final_threshold 0.7
ObjectProperty,inheritFrom,has Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5379; levenshtein=0.1818; semantic=0.5448; sequence_match=0.4211,False,0.5012,False,top-3 avg score 0.5012 < final_threshold 0.7
ObjectProperty,prohibition,has Negation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5697; levenshtein=0.3636; semantic=0.4772; sequence_match=0.4545,False,0.5005,False,top-3 avg score 0.5005 < final_threshold 0.7
ObjectProperty,assigner,has Constraint On Requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6195; levenshtein=0.2692; semantic=0.4698; sequence_match=0.4118,False,0.5003,False,top-3 avg score 0.5003 < final_threshold 0.7
ObjectProperty,duty,has Contract Party Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.2000; semantic=0.7294; sequence_match=0.3333,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.7
ObjectProperty,operator,has Contract Party,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5125; levenshtein=0.3125; semantic=0.5615; sequence_match=0.4167,False,0.4969,False,top-3 avg score 0.4969 < final_threshold 0.7
ObjectProperty,operator,has Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5365; levenshtein=0.3077; semantic=0.5725; sequence_match=0.3810,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.7
ObjectProperty,constraint,has Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6149; levenshtein=0.2759; semantic=0.4607; sequence_match=0.4103,False,0.4953,False,top-3 avg score 0.4953 < final_threshold 0.7
ObjectProperty,inheritRelation,has Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6268; levenshtein=0.3103; semantic=0.4484; sequence_match=0.4091,False,0.4948,False,top-3 avg score 0.4948 < final_threshold 0.7
ObjectProperty,assignee,has Constraint On Requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6047; levenshtein=0.2692; semantic=0.4644; sequence_match=0.4118,False,0.4936,False,top-3 avg score 0.4936 < final_threshold 0.7
ObjectProperty,assigner,has Nested Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2632; semantic=0.4772; sequence_match=0.3704,False,0.4935,False,top-3 avg score 0.4935 < final_threshold 0.7
ObjectProperty,assignee,has Nested Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2105; semantic=0.4719; sequence_match=0.3704,False,0.4918,False,top-3 avg score 0.4918 < final_threshold 0.7
ObjectProperty,implies,has Policy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.5077; sequence_match=0.3750,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.7
ObjectProperty,scope,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5958; levenshtein=0.2500; semantic=0.4920; sequence_match=0.3810,False,0.4896,False,top-3 avg score 0.4896 < final_threshold 0.7
ObjectProperty,permission,has Operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.0909; semantic=0.5666; sequence_match=0.3810,False,0.4886,False,top-3 avg score 0.4886 < final_threshold 0.7
ObjectProperty,constraint,has Operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.5644; sequence_match=0.3810,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.7
ObjectProperty,obligation,has Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4952; levenshtein=0.1000; semantic=0.7312; sequence_match=0.2353,False,0.4873,False,top-3 avg score 0.4873 < final_threshold 0.7
ObjectProperty,obligation,has Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.5784; sequence_match=0.3333,False,0.4872,False,top-3 avg score 0.4872 < final_threshold 0.7
ObjectProperty,operand,has Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.3077; semantic=0.5993; sequence_match=0.4000,False,0.4863,False,top-3 avg score 0.4863 < final_threshold 0.7
ObjectProperty,inheritRelation,has Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.3333; semantic=0.4514; sequence_match=0.3704,False,0.4858,False,top-3 avg score 0.4858 < final_threshold 0.7
ObjectProperty,function,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5453; sequence_match=0.2857,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.7
ObjectProperty,scope,has Contract Party Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2000; semantic=0.4703; sequence_match=0.3200,False,0.4856,False,top-3 avg score 0.4856 < final_threshold 0.7
ObjectProperty,constraint,has Duty Assignment,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5954; levenshtein=0.2941; semantic=0.5659; sequence_match=0.2222,False,0.4851,False,top-3 avg score 0.4851 < final_threshold 0.7
ObjectProperty,hasPolicy,has Duty Assignment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5499; levenshtein=0.2353; semantic=0.5977; sequence_match=0.3077,False,0.4851,False,top-3 avg score 0.4851 < final_threshold 0.7
ObjectProperty,assignee,has Negation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6265; levenshtein=0.2727; semantic=0.4029; sequence_match=0.4211,False,0.4835,False,top-3 avg score 0.4835 < final_threshold 0.7
ObjectProperty,scope,has Contract Party Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6635; levenshtein=0.1905; semantic=0.4774; sequence_match=0.3077,False,0.4829,False,top-3 avg score 0.4829 < final_threshold 0.7
ObjectProperty,consequence,has Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.3077; semantic=0.5494; sequence_match=0.4167,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,assignee,has Policy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.2222; semantic=0.5233; sequence_match=0.3529,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,failure,has Remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.4829; sequence_match=0.3750,False,0.4817,False,top-3 avg score 0.4817 < final_threshold 0.7
ObjectProperty,operator,has Negation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5379; levenshtein=0.3636; semantic=0.4814; sequence_match=0.4211,False,0.4801,False,top-3 avg score 0.4801 < final_threshold 0.7
