prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,madeFromGrape,made from grape,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8805; sequence_match=0.8333,False,0.8856,True,selected
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5548; levenshtein=0.1765; semantic=0.5991; sequence_match=0.3333,False,0.4957,False,top-3 avg score 0.4957 < final_threshold 0.7
ObjectProperty,madeFromGrape,has wine type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.2308; semantic=0.5957; sequence_match=0.3333,False,0.4954,False,top-3 avg score 0.4954 < final_threshold 0.7
ObjectProperty,hasColor,has wine type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5492; levenshtein=0.2727; semantic=0.5810; sequence_match=0.3158,False,0.482,False,top-3 avg score 0.4820 < final_threshold 0.7
ObjectProperty,hasBody,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,varies with vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5221; levenshtein=0.1765; semantic=0.5410; sequence_match=0.3529,False,0.472,False,top-3 avg score 0.4720 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,hasFlavor,made from grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.2308; semantic=0.5460; sequence_match=0.2727,False,0.4662,False,top-3 avg score 0.4662 < final_threshold 0.7
ObjectProperty,locatedIn,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.0000; semantic=0.5223; sequence_match=0.3158,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.7
ObjectProperty,hasFlavor,has wine type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.2727; semantic=0.5464; sequence_match=0.3000,False,0.4606,False,top-3 avg score 0.4606 < final_threshold 0.7
ObjectProperty,hasSugar,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5676; sequence_match=0.2857,False,0.4575,False,top-3 avg score 0.4575 < final_threshold 0.7
ObjectProperty,hasSugar,has wine type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.2727; semantic=0.4588; sequence_match=0.3158,False,0.4413,False,top-3 avg score 0.4413 < final_threshold 0.7
ObjectProperty,locatedIn,varies with vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.1765; semantic=0.4631; sequence_match=0.3077,False,0.4402,False,top-3 avg score 0.4402 < final_threshold 0.7
ObjectProperty,hasVintageYear,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5305; sequence_match=0.2222,False,0.4239,False,top-3 avg score 0.4239 < final_threshold 0.7
ObjectProperty,locatedIn,has wine type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5367; levenshtein=0.0909; semantic=0.4321; sequence_match=0.3000,False,0.4229,False,top-3 avg score 0.4229 < final_threshold 0.7
ObjectProperty,madeFromGrape,varies with vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4937; levenshtein=0.2353; semantic=0.4893; sequence_match=0.2667,False,0.4166,False,top-3 avg score 0.4166 < final_threshold 0.7
ObjectProperty,hasColor,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5322; sequence_match=0.2857,False,0.414,False,top-3 avg score 0.4140 < final_threshold 0.7
ObjectProperty,madeFromGrape,has vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.5200; sequence_match=0.1739,False,0.4122,False,top-3 avg score 0.4122 < final_threshold 0.7
ObjectProperty,locatedIn,made from grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5007; levenshtein=0.0000; semantic=0.4416; sequence_match=0.2727,False,0.405,False,top-3 avg score 0.4050 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,hasBody,varies with vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4678; levenshtein=0.1176; semantic=0.5619; sequence_match=0.1667,False,0.3988,False,top-3 avg score 0.3988 < final_threshold 0.7
ObjectProperty,hasColor,varies with vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4060; levenshtein=0.1176; semantic=0.6230; sequence_match=0.1600,False,0.3964,False,top-3 avg score 0.3964 < final_threshold 0.7
ObjectProperty,hasFlavor,varies with vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3932; levenshtein=0.1765; semantic=0.5678; sequence_match=0.1538,False,0.3792,False,top-3 avg score 0.3792 < final_threshold 0.7
ObjectProperty,hasBody,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.4652; sequence_match=0.2000,False,0.3691,False,top-3 avg score 0.3691 < final_threshold 0.7
ObjectProperty,hasSugar,varies with vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4060; levenshtein=0.1765; semantic=0.5048; sequence_match=0.1600,False,0.3624,False,top-3 avg score 0.3624 < final_threshold 0.7
DatatypeProperty,yearValue,vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4360; levenshtein=0.0909; semantic=0.6663; sequence_match=0.4000,False,0.5008,False,top-3 avg score 0.5008 < final_threshold 0.7
DatatypeProperty,yearValue,has quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.2000; semantic=0.5662; sequence_match=0.3158,False,0.4712,False,top-3 avg score 0.4712 < final_threshold 0.7
