prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has property,monitors Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6824; levenshtein=0.5625; semantic=0.7470; sequence_match=0.6667,False,0.6987,False,top-3 avg score 0.6987 < final_threshold 0.7
ObjectProperty,has period,is Tariff Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.4480; sequence_match=0.4211,False,0.4959,False,top-3 avg score 0.4959 < final_threshold 0.7
ObjectProperty,has billing period,has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.3125; semantic=0.5146; sequence_match=0.4000,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.7
ObjectProperty,applies to,has Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.3333; semantic=0.4725; sequence_match=0.3810,False,0.4814,False,top-3 avg score 0.4814 < final_threshold 0.7
ObjectProperty,has phenomenon time,has Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.2941; semantic=0.5221; sequence_match=0.3448,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,hasGeometry,monitors Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5960; levenshtein=0.2500; semantic=0.5171; sequence_match=0.2963,False,0.4698,False,top-3 avg score 0.4698 < final_threshold 0.7
ObjectProperty,has duration,is Tariff Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.4341; sequence_match=0.3810,False,0.4666,False,top-3 avg score 0.4666 < final_threshold 0.7
ObjectProperty,isKPIOf,has Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.2500; semantic=0.5127; sequence_match=0.3158,False,0.46,False,top-3 avg score 0.4600 < final_threshold 0.7
ObjectProperty,isKPIOf,has Tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.4594; sequence_match=0.2500,False,0.46,False,top-3 avg score 0.4600 < final_threshold 0.7
ObjectProperty,applies to,is Indicator Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5840; levenshtein=0.2308; semantic=0.5158; sequence_match=0.2727,False,0.4575,False,top-3 avg score 0.4575 < final_threshold 0.7
ObjectProperty,applies to,is Tariff Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.1000; semantic=0.4951; sequence_match=0.4211,False,0.4498,False,top-3 avg score 0.4498 < final_threshold 0.7
ObjectProperty,is measured by device,is Indicator Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4875; levenshtein=0.1667; semantic=0.5322; sequence_match=0.3226,False,0.4474,False,top-3 avg score 0.4474 < final_threshold 0.7
ObjectProperty,has key performance indicator,has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5871; levenshtein=0.1923; semantic=0.4547; sequence_match=0.2857,False,0.4425,False,top-3 avg score 0.4425 < final_threshold 0.7
ObjectProperty,has key performance indicator,monitors Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5823; levenshtein=0.1538; semantic=0.5050; sequence_match=0.2381,False,0.4418,False,top-3 avg score 0.4418 < final_threshold 0.7
ObjectProperty,measurement made by,monitors Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5212; levenshtein=0.1176; semantic=0.5003; sequence_match=0.3030,False,0.4415,False,top-3 avg score 0.4415 < final_threshold 0.7
ObjectProperty,isKPIOf,monitors Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4405; levenshtein=0.1875; semantic=0.5352; sequence_match=0.3478,False,0.4412,False,top-3 avg score 0.4412 < final_threshold 0.7
ObjectProperty,has billing period,is Indicator Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5634; levenshtein=0.3125; semantic=0.4130; sequence_match=0.3448,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.7
ObjectProperty,is measured by device,is Tariff Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5407; levenshtein=0.2222; semantic=0.4220; sequence_match=0.3571,False,0.44,False,top-3 avg score 0.4400 < final_threshold 0.7
ObjectProperty,has period,is Indicator Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.1538; semantic=0.4649; sequence_match=0.2727,False,0.4392,False,top-3 avg score 0.4392 < final_threshold 0.7
ObjectProperty,applies to,has Tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.5023; sequence_match=0.3333,False,0.439,False,top-3 avg score 0.4390 < final_threshold 0.7
ObjectProperty,has billing period,is Tariff Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5375; levenshtein=0.1875; semantic=0.4676; sequence_match=0.3077,False,0.4376,False,top-3 avg score 0.4376 < final_threshold 0.7
ObjectProperty,has phenomenon time,has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5033; levenshtein=0.2353; semantic=0.4218; sequence_match=0.3846,False,0.4366,False,top-3 avg score 0.4366 < final_threshold 0.7
ObjectProperty,makes measurement,has Tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5648; levenshtein=0.2500; semantic=0.4925; sequence_match=0.2400,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.7
ObjectProperty,has measurement,monitors Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4899; levenshtein=0.2500; semantic=0.5321; sequence_match=0.2667,False,0.4296,False,top-3 avg score 0.4296 < final_threshold 0.7
ObjectProperty,has period,monitors Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4894; levenshtein=0.1875; semantic=0.4724; sequence_match=0.3200,False,0.4272,False,top-3 avg score 0.4272 < final_threshold 0.7
ObjectProperty,makes measurement,monitors Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4750; levenshtein=0.2500; semantic=0.5544; sequence_match=0.2500,False,0.4265,False,top-3 avg score 0.4265 < final_threshold 0.7
ObjectProperty,makes measurement,has Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5097; levenshtein=0.1250; semantic=0.5446; sequence_match=0.2143,False,0.4229,False,top-3 avg score 0.4229 < final_threshold 0.7
ObjectProperty,has property,is Tariff Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5045; levenshtein=0.0909; semantic=0.4783; sequence_match=0.2857,False,0.4228,False,top-3 avg score 0.4228 < final_threshold 0.7
ObjectProperty,is measured by device,has Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4315; levenshtein=0.1667; semantic=0.4962; sequence_match=0.3333,False,0.4203,False,top-3 avg score 0.4203 < final_threshold 0.7
ObjectProperty,applies to,monitors Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1875; semantic=0.4500; sequence_match=0.2400,False,0.4198,False,top-3 avg score 0.4198 < final_threshold 0.7
ObjectProperty,is measured by device,monitors Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.4930; sequence_match=0.2941,False,0.4152,False,top-3 avg score 0.4152 < final_threshold 0.7
ObjectProperty,measurement made by,has Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.1765; semantic=0.4517; sequence_match=0.2069,False,0.4069,False,top-3 avg score 0.4069 < final_threshold 0.7
ObjectProperty,hasGeometry,is Indicator Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4738; levenshtein=0.1538; semantic=0.4840; sequence_match=0.2500,False,0.4026,False,top-3 avg score 0.4026 < final_threshold 0.7
ObjectProperty,is measured by device,has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.4284; sequence_match=0.2963,False,0.399,False,top-3 avg score 0.3990 < final_threshold 0.7
ObjectProperty,has phenomenon time,monitors Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4736; levenshtein=0.0588; semantic=0.4780; sequence_match=0.2424,False,0.398,False,top-3 avg score 0.3980 < final_threshold 0.7
ObjectProperty,has billing period,monitors Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4821; levenshtein=0.1250; semantic=0.4560; sequence_match=0.2500,False,0.396,False,top-3 avg score 0.3960 < final_threshold 0.7
ObjectProperty,feature is measured by device,has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5431; levenshtein=0.2000; semantic=0.4084; sequence_match=0.2353,False,0.3956,False,top-3 avg score 0.3956 < final_threshold 0.7
ObjectProperty,has property,is Indicator Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4738; levenshtein=0.0769; semantic=0.4511; sequence_match=0.2500,False,0.3916,False,top-3 avg score 0.3916 < final_threshold 0.7
ObjectProperty,has phenomenon time,is Indicator Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4937; levenshtein=0.1176; semantic=0.4719; sequence_match=0.2000,False,0.3885,False,top-3 avg score 0.3885 < final_threshold 0.7
ObjectProperty,feature is measured by device,is Tariff Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5022; levenshtein=0.1600; semantic=0.3606; sequence_match=0.2857,False,0.3829,False,top-3 avg score 0.3829 < final_threshold 0.7
ObjectProperty,feature is measured by device,has Indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4783; levenshtein=0.1600; semantic=0.4867; sequence_match=0.1622,False,0.3757,False,top-3 avg score 0.3757 < final_threshold 0.7
ObjectProperty,measurement made by,has Tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4766; levenshtein=0.2353; semantic=0.4140; sequence_match=0.2308,False,0.3753,False,top-3 avg score 0.3753 < final_threshold 0.7
ObjectProperty,has key performance indicator,is Tariff Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4991; levenshtein=0.1538; semantic=0.3817; sequence_match=0.2222,False,0.3677,False,top-3 avg score 0.3677 < final_threshold 0.7
ObjectProperty,has duration,monitors Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4557; levenshtein=0.1250; semantic=0.4818; sequence_match=0.1481,False,0.3619,False,top-3 avg score 0.3619 < final_threshold 0.7
ObjectProperty,has measurement,is Tariff Of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3937; levenshtein=0.2143; semantic=0.4675; sequence_match=0.1667,False,0.3585,False,top-3 avg score 0.3585 < final_threshold 0.7
ObjectProperty,feature is measured by device,monitors Property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4817; levenshtein=0.1600; semantic=0.4301; sequence_match=0.1463,False,0.3572,False,top-3 avg score 0.3572 < final_threshold 0.7
ObjectProperty,hasGeometry,is Tariff Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4131; levenshtein=0.0909; semantic=0.4535; sequence_match=0.1905,False,0.3524,False,top-3 avg score 0.3524 < final_threshold 0.7
ObjectProperty,has measurement,is Indicator Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3645; levenshtein=0.0714; semantic=0.5351; sequence_match=0.1481,False,0.3492,False,top-3 avg score 0.3492 < final_threshold 0.7
ObjectProperty,measurement made by,is Indicator Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4262; levenshtein=0.1176; semantic=0.4767; sequence_match=0.1333,False,0.3454,False,top-3 avg score 0.3454 < final_threshold 0.7
ObjectProperty,makes measurement,is Tariff Of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3847; levenshtein=0.1875; semantic=0.4629; sequence_match=0.1538,False,0.345,False,top-3 avg score 0.3450 < final_threshold 0.7
ObjectProperty,feature is measured by device,is Indicator Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3949; levenshtein=0.1200; semantic=0.4816; sequence_match=0.1579,False,0.3448,False,top-3 avg score 0.3448 < final_threshold 0.7
ObjectProperty,makes measurement,is Indicator Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3526; levenshtein=0.1250; semantic=0.5363; sequence_match=0.1379,False,0.3423,False,top-3 avg score 0.3423 < final_threshold 0.7
ObjectProperty,measurement made by,is Tariff Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3810; levenshtein=0.0588; semantic=0.4180; sequence_match=0.1481,False,0.3157,False,top-3 avg score 0.3157 < final_threshold 0.7
ObjectProperty,has phenomenon time,is Tariff Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.3810; levenshtein=0.1176; semantic=0.3776; sequence_match=0.1481,False,0.3023,False,top-3 avg score 0.3023 < final_threshold 0.7
DatatypeProperty,has hardware version,Hardware Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9200; levenshtein=0.8333; semantic=0.9394; sequence_match=0.9091,False,0.9228,True,selected
DatatypeProperty,has fabrication number,Fabrication Number,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8912; levenshtein=0.8500; semantic=0.9316; sequence_match=0.9189,False,0.9139,True,selected
DatatypeProperty,has firmware version,Firmware Version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8778; levenshtein=0.8333; semantic=0.9220; sequence_match=0.9091,False,0.903,True,selected
DatatypeProperty,has manufacturer,Manufacturer,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8500; levenshtein=0.8000; semantic=0.9217; sequence_match=0.8889,False,0.8869,True,selected
DatatypeProperty,has version,Version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8048; levenshtein=0.7000; semantic=0.9101; sequence_match=0.8235,False,0.8461,True,selected
DatatypeProperty,has model,Model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8750; levenshtein=0.6250; semantic=0.8790; sequence_match=0.7692,False,0.8411,True,selected
DatatypeProperty,has firmware version,Hardware Version,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8277; levenshtein=0.7778; semantic=0.7865; sequence_match=0.8485,False,0.8209,False,gold already mapped to 'Firmware Version'
DatatypeProperty,has version,Hardware Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8370; levenshtein=0.6000; semantic=0.7946; sequence_match=0.7200,False,0.7839,False,gold already mapped to 'Version'
DatatypeProperty,has hardware version,Firmware Version,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6667; semantic=0.7055; sequence_match=0.7273,False,0.7424,False,gold already mapped to 'Hardware Version'
DatatypeProperty,has version,Firmware Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6528; levenshtein=0.5333; semantic=0.7954; sequence_match=0.6400,False,0.6961,False,top-3 avg score 0.6961 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,Radio Frequency Level,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6696; levenshtein=0.3750; semantic=0.7023; sequence_match=0.6512,False,0.6743,False,top-3 avg score 0.6743 < final_threshold 0.7
DatatypeProperty,has firmware version,Version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4206; levenshtein=0.3889; semantic=0.8183; sequence_match=0.5600,False,0.5996,False,top-3 avg score 0.5996 < final_threshold 0.7
DatatypeProperty,requires power,Power,semantic+sequence_match+levenshtein,jaro_winkler=0.3513; levenshtein=0.3846; semantic=0.8094; sequence_match=0.5556,False,0.5832,False,top-3 avg score 0.5832 < final_threshold 0.7
DatatypeProperty,has start timestamp,Tariff Start Date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6723; levenshtein=0.2353; semantic=0.5585; sequence_match=0.5000,False,0.5769,False,top-3 avg score 0.5769 < final_threshold 0.7
DatatypeProperty,has fabrication number,Manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6593; levenshtein=0.3500; semantic=0.6733; sequence_match=0.3750,False,0.5692,False,top-3 avg score 0.5692 < final_threshold 0.7
DatatypeProperty,has hardware version,Version,semantic+sequence_match+levenshtein,jaro_winkler=0.2989; levenshtein=0.3889; semantic=0.7456; sequence_match=0.5600,False,0.5648,False,top-3 avg score 0.5648 < final_threshold 0.7
DatatypeProperty,has manufacturer,Fabrication Number,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5617; levenshtein=0.2353; semantic=0.6419; sequence_match=0.3750,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
DatatypeProperty,has model,Hardware Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2000; semantic=0.6050; sequence_match=0.3478,False,0.5139,False,top-3 avg score 0.5139 < final_threshold 0.7
DatatypeProperty,has manufacturer,Hardware Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1333; semantic=0.5185; sequence_match=0.4000,False,0.5062,False,top-3 avg score 0.5062 < final_threshold 0.7
DatatypeProperty,requires power,Radio Frequency Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6109; levenshtein=0.2632; semantic=0.5312; sequence_match=0.3750,False,0.5057,False,top-3 avg score 0.5057 < final_threshold 0.7
DatatypeProperty,has firmware version,Fabrication Number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1111; semantic=0.5613; sequence_match=0.3429,False,0.5018,False,top-3 avg score 0.5018 < final_threshold 0.7
DatatypeProperty,has firmware version,Manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5146; levenshtein=0.2222; semantic=0.5905; sequence_match=0.4000,False,0.5017,False,top-3 avg score 0.5017 < final_threshold 0.7
DatatypeProperty,has fabrication number,Hardware Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.2500; semantic=0.5397; sequence_match=0.3429,False,0.5016,False,top-3 avg score 0.5016 < final_threshold 0.7
DatatypeProperty,requires power,Hardware Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6329; levenshtein=0.1333; semantic=0.5655; sequence_match=0.2857,False,0.4947,False,top-3 avg score 0.4947 < final_threshold 0.7
DatatypeProperty,requires power,Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.0769; semantic=0.4778; sequence_match=0.4000,False,0.492,False,top-3 avg score 0.4920 < final_threshold 0.7
DatatypeProperty,has firmware version,Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.3333; semantic=0.4531; sequence_match=0.4000,False,0.4911,False,top-3 avg score 0.4911 < final_threshold 0.7
DatatypeProperty,has firmware version,Tariff Duration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6402; levenshtein=0.3333; semantic=0.4512; sequence_match=0.3750,False,0.4888,False,top-3 avg score 0.4888 < final_threshold 0.7
DatatypeProperty,has start timestamp,Temporal Setting,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5430; levenshtein=0.1765; semantic=0.6004; sequence_match=0.3125,False,0.4853,False,top-3 avg score 0.4853 < final_threshold 0.7
DatatypeProperty,requires power,Firmware Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6530; levenshtein=0.1333; semantic=0.5130; sequence_match=0.2857,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.7
DatatypeProperty,has version,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5794; levenshtein=0.2000; semantic=0.4699; sequence_match=0.4000,False,0.4831,False,top-3 avg score 0.4831 < final_threshold 0.7
DatatypeProperty,has timestamp,Temporal Setting,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5222; levenshtein=0.1333; semantic=0.6220; sequence_match=0.2963,False,0.4802,False,top-3 avg score 0.4802 < final_threshold 0.7
DatatypeProperty,has version,Fabrication Number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2353; semantic=0.4719; sequence_match=0.3704,False,0.4801,False,top-3 avg score 0.4801 < final_threshold 0.7
DatatypeProperty,has version,Tariff Duration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.4019; sequence_match=0.4167,False,0.4792,False,top-3 avg score 0.4792 < final_threshold 0.7
DatatypeProperty,has version,Tariff Period,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5722; levenshtein=0.3333; semantic=0.4053; sequence_match=0.4545,False,0.4773,False,top-3 avg score 0.4773 < final_threshold 0.7
DatatypeProperty,requires power,Version,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5663; levenshtein=0.3077; semantic=0.5485; sequence_match=0.2000,False,0.4742,False,top-3 avg score 0.4742 < final_threshold 0.7
DatatypeProperty,has hardware version,Manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4981; levenshtein=0.2222; semantic=0.5880; sequence_match=0.3333,False,0.4732,False,top-3 avg score 0.4732 < final_threshold 0.7
DatatypeProperty,has hardware version,Tariff Duration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5886; levenshtein=0.3333; semantic=0.3885; sequence_match=0.4375,False,0.4716,False,top-3 avg score 0.4716 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,Hardware Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.2083; semantic=0.4784; sequence_match=0.3077,False,0.4713,False,top-3 avg score 0.4713 < final_threshold 0.7
DatatypeProperty,has fabrication number,Tariff Duration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6048; levenshtein=0.3000; semantic=0.3382; sequence_match=0.4706,False,0.4712,False,top-3 avg score 0.4712 < final_threshold 0.7
DatatypeProperty,has fabrication number,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.2000; semantic=0.5221; sequence_match=0.2963,False,0.4688,False,top-3 avg score 0.4688 < final_threshold 0.7
DatatypeProperty,has fabrication number,Firmware Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.1500; semantic=0.5586; sequence_match=0.2857,False,0.4666,False,top-3 avg score 0.4666 < final_threshold 0.7
DatatypeProperty,has firmware version,Radio Frequency Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5468; levenshtein=0.1053; semantic=0.5188; sequence_match=0.3243,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.7
DatatypeProperty,has manufacturer,Tariff Start Date,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6056; levenshtein=0.2000; semantic=0.3822; sequence_match=0.4000,False,0.4626,False,top-3 avg score 0.4626 < final_threshold 0.7
DatatypeProperty,has timestamp,Tariff Start Date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.2667; semantic=0.4909; sequence_match=0.3704,False,0.4612,False,top-3 avg score 0.4612 < final_threshold 0.7
DatatypeProperty,has model,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.5892; sequence_match=0.2667,False,0.4559,False,top-3 avg score 0.4559 < final_threshold 0.7
DatatypeProperty,has hardware version,Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5622; levenshtein=0.3333; semantic=0.4020; sequence_match=0.4000,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
DatatypeProperty,has version,Geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5045; levenshtein=0.2727; semantic=0.4785; sequence_match=0.3810,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
DatatypeProperty,has timestamp,Hardware Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5167; levenshtein=0.2000; semantic=0.5499; sequence_match=0.2963,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.7
DatatypeProperty,has start timestamp,Hardware Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5309; levenshtein=0.2941; semantic=0.5126; sequence_match=0.3125,False,0.452,False,top-3 avg score 0.4520 < final_threshold 0.7
DatatypeProperty,has firmware version,Billing Date Period,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5050; levenshtein=0.3889; semantic=0.4578; sequence_match=0.3429,False,0.4506,False,top-3 avg score 0.4506 < final_threshold 0.7
