prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has item,has Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,lives in,lives In,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has achievement,has Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,True,selected
ObjectProperty,has character,has Friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.6636; sequence_match=0.4762,False,0.5991,False,top-3 avg score 0.5991 < final_threshold 0.7
ObjectProperty,has feature,has Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.6542; sequence_match=0.4706,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.7
ObjectProperty,plays game,usable In Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6442; levenshtein=0.4167; semantic=0.6684; sequence_match=0.4762,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.7
ObjectProperty,has character,has Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.4167; semantic=0.5926; sequence_match=0.5000,False,0.591,False,top-3 avg score 0.5910 < final_threshold 0.7
ObjectProperty,has achievement,has Equipped Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6735; levenshtein=0.3333; semantic=0.6023; sequence_match=0.4828,False,0.5862,False,top-3 avg score 0.5862 < final_threshold 0.7
ObjectProperty,has character,has Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6389; levenshtein=0.3333; semantic=0.6644; sequence_match=0.4545,False,0.5859,False,top-3 avg score 0.5859 < final_threshold 0.7
ObjectProperty,has game genre,has Playing Area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.5375; sequence_match=0.5385,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.7
ObjectProperty,has game genre,last Played Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.6248; sequence_match=0.4615,False,0.5764,False,top-3 avg score 0.5764 < final_threshold 0.7
ObjectProperty,has game genre,has Achievement Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6759; levenshtein=0.3889; semantic=0.5682; sequence_match=0.4667,False,0.5703,False,top-3 avg score 0.5703 < final_threshold 0.7
ObjectProperty,has feature,has Equipped Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6746; levenshtein=0.2667; semantic=0.5520; sequence_match=0.4800,False,0.5689,False,top-3 avg score 0.5689 < final_threshold 0.7
ObjectProperty,has achievement,has Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.5840; sequence_match=0.4545,False,0.5664,False,top-3 avg score 0.5664 < final_threshold 0.7
ObjectProperty,purchases game offering,made Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6365; levenshtein=0.1905; semantic=0.5755; sequence_match=0.4848,False,0.5656,False,top-3 avg score 0.5656 < final_threshold 0.7
ObjectProperty,has playing area,usable In Game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6210; levenshtein=0.4286; semantic=0.5202; sequence_match=0.5385,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,purchases game offering,plays Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6085; levenshtein=0.3333; semantic=0.5834; sequence_match=0.4667,False,0.5529,False,top-3 avg score 0.5529 < final_threshold 0.7
ObjectProperty,is leaderboard in game,last Played Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6135; levenshtein=0.3684; semantic=0.5569; sequence_match=0.4848,False,0.5518,False,top-3 avg score 0.5518 < final_threshold 0.7
ObjectProperty,has feature,has Playing Area,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5499; sequence_match=0.4167,False,0.5516,False,top-3 avg score 0.5516 < final_threshold 0.7
ObjectProperty,has item,last Played Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.2857; semantic=0.4766; sequence_match=0.4762,False,0.5478,False,top-3 avg score 0.5478 < final_threshold 0.7
ObjectProperty,owns achievement,has Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6968; levenshtein=0.2667; semantic=0.5768; sequence_match=0.3636,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.7
ObjectProperty,has character,has Achievement Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.3333; semantic=0.5441; sequence_match=0.4667,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,has item,has Available Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6439; levenshtein=0.2609; semantic=0.5843; sequence_match=0.4000,False,0.5427,False,top-3 avg score 0.5427 < final_threshold 0.7
ObjectProperty,purchases game offering,usable In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6409; levenshtein=0.2381; semantic=0.5578; sequence_match=0.4242,False,0.541,False,top-3 avg score 0.5410 < final_threshold 0.7
ObjectProperty,has leaderboard,has Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4974; sequence_match=0.4545,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.7
ObjectProperty,has game genre,has Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5528; sequence_match=0.4211,False,0.5392,False,top-3 avg score 0.5392 < final_threshold 0.7
ObjectProperty,plays game,has Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.4984; sequence_match=0.4706,False,0.539,False,top-3 avg score 0.5390 < final_threshold 0.7
ObjectProperty,has character,has Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.3571; semantic=0.5075; sequence_match=0.4615,False,0.5386,False,top-3 avg score 0.5386 < final_threshold 0.7
ObjectProperty,has game genre,usable In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.5846; sequence_match=0.4167,False,0.5375,False,top-3 avg score 0.5375 < final_threshold 0.7
ObjectProperty,is character in game,has Playing Area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6342; levenshtein=0.3529; semantic=0.4581; sequence_match=0.5161,False,0.5361,False,top-3 avg score 0.5361 < final_threshold 0.7
ObjectProperty,has item,has Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has playing area,has Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has leaderboard,has Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3571; semantic=0.5015; sequence_match=0.4286,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,is player in session,has Playing Area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6500; levenshtein=0.3529; semantic=0.4288; sequence_match=0.5161,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.7
ObjectProperty,has item,has Obtained Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6544; levenshtein=0.2727; semantic=0.5241; sequence_match=0.4138,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.7
ObjectProperty,is character in game,last Played Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6500; levenshtein=0.3529; semantic=0.4876; sequence_match=0.4516,False,0.5298,False,top-3 avg score 0.5298 < final_threshold 0.7
ObjectProperty,has achievement,has Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5367; sequence_match=0.4286,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has playing area,has Friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5056; sequence_match=0.4348,False,0.5278,False,top-3 avg score 0.5278 < final_threshold 0.7
ObjectProperty,has achievement,lives In,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.5737; sequence_match=0.3810,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
ObjectProperty,has game genre,has Friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6574; levenshtein=0.4167; semantic=0.4441; sequence_match=0.4762,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,has leaderboard,has Friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.4944; sequence_match=0.4348,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,involves player,last Played Game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5893; levenshtein=0.1429; semantic=0.4822; sequence_match=0.5000,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.7
ObjectProperty,has character,has Obtained Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6456; levenshtein=0.3182; semantic=0.5722; sequence_match=0.3529,False,0.5236,False,top-3 avg score 0.5236 < final_threshold 0.7
ObjectProperty,involves player,plays Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4934; levenshtein=0.2857; semantic=0.6393; sequence_match=0.4348,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.7
ObjectProperty,has playing area,has Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.5115; sequence_match=0.4167,False,0.5221,False,top-3 avg score 0.5221 < final_threshold 0.7
ObjectProperty,owns item,has Equipped Item,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4139; levenshtein=0.2667; semantic=0.7150; sequence_match=0.4348,False,0.5212,False,top-3 avg score 0.5212 < final_threshold 0.7
ObjectProperty,has feature,has Achievement Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6011; levenshtein=0.3333; semantic=0.5277; sequence_match=0.4286,False,0.5191,False,top-3 avg score 0.5191 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has Playing Area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6469; levenshtein=0.3158; semantic=0.4233; sequence_match=0.4848,False,0.5183,False,top-3 avg score 0.5183 < final_threshold 0.7
ObjectProperty,has character,has Available Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5882; levenshtein=0.3043; semantic=0.6175; sequence_match=0.3429,False,0.5162,False,top-3 avg score 0.5162 < final_threshold 0.7
ObjectProperty,is character in game,has Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6256; levenshtein=0.2941; semantic=0.5043; sequence_match=0.4167,False,0.5155,False,top-3 avg score 0.5155 < final_threshold 0.7
ObjectProperty,has leaderboard,has Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5434; sequence_match=0.3810,False,0.5145,False,top-3 avg score 0.5145 < final_threshold 0.7
ObjectProperty,has achievement,plays Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.5355; sequence_match=0.4348,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.7
ObjectProperty,is session in game,last Played Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5540; levenshtein=0.3333; semantic=0.5709; sequence_match=0.4138,False,0.5129,False,top-3 avg score 0.5129 < final_threshold 0.7
ObjectProperty,has achievement,owns Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2143; semantic=0.5787; sequence_match=0.3636,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.7
ObjectProperty,has game genre,has Available Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6292; levenshtein=0.3043; semantic=0.5068; sequence_match=0.4000,False,0.512,False,top-3 avg score 0.5120 < final_threshold 0.7
ObjectProperty,owns character,has Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5615; levenshtein=0.1538; semantic=0.6236; sequence_match=0.3478,False,0.511,False,top-3 avg score 0.5110 < final_threshold 0.7
ObjectProperty,owns achievement,has Equipped Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.1333; semantic=0.5761; sequence_match=0.3333,False,0.5106,False,top-3 avg score 0.5106 < final_threshold 0.7
ObjectProperty,has leaderboard,has Available Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5669; levenshtein=0.3043; semantic=0.5863; sequence_match=0.3784,False,0.5105,False,top-3 avg score 0.5105 < final_threshold 0.7
ObjectProperty,is friend with player,last Played Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.1111; semantic=0.4838; sequence_match=0.4375,False,0.5082,False,top-3 avg score 0.5082 < final_threshold 0.7
ObjectProperty,is session in game,plays Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4963; levenshtein=0.3333; semantic=0.6093; sequence_match=0.4167,False,0.5074,False,top-3 avg score 0.5074 < final_threshold 0.7
ObjectProperty,has feature,has Available Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5647; levenshtein=0.2609; semantic=0.5905; sequence_match=0.3636,False,0.5063,False,top-3 avg score 0.5063 < final_threshold 0.7
ObjectProperty,purchases game offering,has Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.1905; semantic=0.5093; sequence_match=0.3571,False,0.5057,False,top-3 avg score 0.5057 < final_threshold 0.7
ObjectProperty,has achievement,last Played Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5635; levenshtein=0.2143; semantic=0.5242; sequence_match=0.4286,False,0.5054,False,top-3 avg score 0.5054 < final_threshold 0.7
ObjectProperty,owns character,has Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5089; sequence_match=0.3810,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.7
ObjectProperty,lives in,has Friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.5512; sequence_match=0.3750,False,0.5049,False,top-3 avg score 0.5049 < final_threshold 0.7
ObjectProperty,has leaderboard,last Played Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5893; levenshtein=0.2857; semantic=0.4943; sequence_match=0.4286,False,0.5041,False,top-3 avg score 0.5041 < final_threshold 0.7
ObjectProperty,has feature,has Obtained Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6251; levenshtein=0.2727; semantic=0.5110; sequence_match=0.3750,False,0.5037,False,top-3 avg score 0.5037 < final_threshold 0.7
ObjectProperty,lives in,usable In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.1667; semantic=0.4432; sequence_match=0.4211,False,0.5026,False,top-3 avg score 0.5026 < final_threshold 0.7
ObjectProperty,has leaderboard,has Obtained Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6229; levenshtein=0.2727; semantic=0.5514; sequence_match=0.3333,False,0.5026,False,top-3 avg score 0.5026 < final_threshold 0.7
ObjectProperty,is character in game,has Friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6346; levenshtein=0.2353; semantic=0.4864; sequence_match=0.3846,False,0.5019,False,top-3 avg score 0.5019 < final_threshold 0.7
ObjectProperty,has playing area,has Available Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6040; levenshtein=0.3043; semantic=0.5206; sequence_match=0.3784,False,0.501,False,top-3 avg score 0.5010 < final_threshold 0.7
ObjectProperty,is player in session,plays Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.2941; semantic=0.5554; sequence_match=0.3846,False,0.5007,False,top-3 avg score 0.5007 < final_threshold 0.7
ObjectProperty,has playing area,has Obtained Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3182; semantic=0.4537; sequence_match=0.4444,False,0.5005,False,top-3 avg score 0.5005 < final_threshold 0.7
ObjectProperty,owns character,has Friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5427; levenshtein=0.1538; semantic=0.5936; sequence_match=0.3636,False,0.5,False,top-3 avg score 0.5000 < final_threshold 0.7
ObjectProperty,has achievement,usable In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6210; levenshtein=0.2857; semantic=0.4924; sequence_match=0.3846,False,0.4993,False,top-3 avg score 0.4993 < final_threshold 0.7
ObjectProperty,purchases game offering,last Played Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5258; levenshtein=0.2381; semantic=0.5675; sequence_match=0.4000,False,0.4978,False,top-3 avg score 0.4978 < final_threshold 0.7
ObjectProperty,has leaderboard,has Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.5387; sequence_match=0.3333,False,0.4975,False,top-3 avg score 0.4975 < final_threshold 0.7
ObjectProperty,is session in game,lives In,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6159; levenshtein=0.2667; semantic=0.4196; sequence_match=0.4545,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.7
ObjectProperty,has game genre,has Obtained Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6351; levenshtein=0.3182; semantic=0.4431; sequence_match=0.4118,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.7
ObjectProperty,has feature,last Played Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.4520; sequence_match=0.4167,False,0.4964,False,top-3 avg score 0.4964 < final_threshold 0.7
