prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,permission,has Permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9382; sequence_match=0.8696,False,0.877,True,selected
ObjectProperty,relation,has Remediation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6964; levenshtein=0.5000; semantic=0.4522; sequence_match=0.6364,False,0.6109,False,top-3 avg score 0.6109 < final_threshold 0.7
ObjectProperty,action,activated upon failure of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8545; levenshtein=0.2727; semantic=0.5366; sequence_match=0.4286,False,0.6066,False,top-3 avg score 0.6066 < final_threshold 0.7
ObjectProperty,hasPolicy,has Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6264; sequence_match=0.5000,False,0.5994,False,top-3 avg score 0.5994 < final_threshold 0.7
ObjectProperty,hasPolicy,has Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.6771; sequence_match=0.4706,False,0.5986,False,top-3 avg score 0.5986 < final_threshold 0.7
ObjectProperty,prohibition,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3077; semantic=0.5895; sequence_match=0.5000,False,0.589,False,top-3 avg score 0.5890 < final_threshold 0.7
ObjectProperty,target,has Right,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7222; levenshtein=0.5000; semantic=0.5377; sequence_match=0.1429,False,0.5867,False,top-3 avg score 0.5867 < final_threshold 0.7
ObjectProperty,failure,activated upon failure of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5011; levenshtein=0.3182; semantic=0.7635; sequence_match=0.4828,False,0.5825,False,top-3 avg score 0.5825 < final_threshold 0.7
ObjectProperty,scope,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5000,False,0.5817,False,top-3 avg score 0.5817 < final_threshold 0.7
ObjectProperty,constraint,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.3750; semantic=0.5633; sequence_match=0.5385,False,0.5811,False,top-3 avg score 0.5811 < final_threshold 0.7
ObjectProperty,permission,has Remediation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7071; levenshtein=0.4286; semantic=0.5276; sequence_match=0.5000,False,0.5783,False,top-3 avg score 0.5783 < final_threshold 0.7
ObjectProperty,assigner,has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5490; sequence_match=0.5000,False,0.5719,False,top-3 avg score 0.5719 < final_threshold 0.7
ObjectProperty,assignee,has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5462; sequence_match=0.5000,False,0.5709,False,top-3 avg score 0.5709 < final_threshold 0.7
ObjectProperty,inheritRelation,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6684; levenshtein=0.3333; semantic=0.5361; sequence_match=0.5000,False,0.5681,False,top-3 avg score 0.5681 < final_threshold 0.7
ObjectProperty,assignee,has Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5359; sequence_match=0.5000,False,0.5675,False,top-3 avg score 0.5675 < final_threshold 0.7
ObjectProperty,hasPolicy,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6467; levenshtein=0.3846; semantic=0.5952; sequence_match=0.4545,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.7
ObjectProperty,andSequence,has Consequent Duty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6344; levenshtein=0.4118; semantic=0.4883; sequence_match=0.5714,False,0.5647,False,top-3 avg score 0.5647 < final_threshold 0.7
ObjectProperty,assigner,has Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5235; sequence_match=0.5000,False,0.5634,False,top-3 avg score 0.5634 < final_threshold 0.7
ObjectProperty,hasPolicy,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,target,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5734; sequence_match=0.4615,False,0.5593,False,top-3 avg score 0.5593 < final_threshold 0.7
ObjectProperty,obligation,has Remediation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.3571; semantic=0.5446; sequence_match=0.5000,False,0.5551,False,top-3 avg score 0.5551 < final_threshold 0.7
ObjectProperty,operator,is Part Of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6833; levenshtein=0.3750; semantic=0.4787; sequence_match=0.5000,False,0.554,False,top-3 avg score 0.5540 < final_threshold 0.7
ObjectProperty,inheritRelation,has Remediation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6937; levenshtein=0.4000; semantic=0.4059; sequence_match=0.5517,False,0.5504,False,top-3 avg score 0.5504 < final_threshold 0.7
ObjectProperty,conflict,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.5657; sequence_match=0.4762,False,0.5484,False,top-3 avg score 0.5484 < final_threshold 0.7
ObjectProperty,action,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3077; semantic=0.5357; sequence_match=0.4211,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,partOf,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5130; sequence_match=0.4615,False,0.5391,False,top-3 avg score 0.5391 < final_threshold 0.7
ObjectProperty,hasPolicy,has Logical Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6822; levenshtein=0.3529; semantic=0.4728; sequence_match=0.4615,False,0.5389,False,top-3 avg score 0.5389 < final_threshold 0.7
ObjectProperty,hasPolicy,has Conflict Resolution Strategy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2759; semantic=0.6160; sequence_match=0.4211,False,0.5383,False,top-3 avg score 0.5383 < final_threshold 0.7
ObjectProperty,assigner,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5324; sequence_match=0.4762,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,prohibition,provides Capability,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6751; levenshtein=0.3889; semantic=0.4539; sequence_match=0.4828,False,0.5372,False,top-3 avg score 0.5372 < final_threshold 0.7
ObjectProperty,prohibition,has Remediation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6169; levenshtein=0.4286; semantic=0.5143; sequence_match=0.4800,False,0.5371,False,top-3 avg score 0.5371 < final_threshold 0.7
ObjectProperty,constraint,has Consequent Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6087; levenshtein=0.3529; semantic=0.5567; sequence_match=0.4444,False,0.5366,False,top-3 avg score 0.5366 < final_threshold 0.7
ObjectProperty,operator,has Logical Operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4951; levenshtein=0.2353; semantic=0.7142; sequence_match=0.4000,False,0.5364,False,top-3 avg score 0.5364 < final_threshold 0.7
ObjectProperty,assignee,has Role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.6024; sequence_match=0.4000,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.7
ObjectProperty,assigner,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5231; sequence_match=0.4762,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,target,has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5462; sequence_match=0.4286,False,0.5333,False,top-3 avg score 0.5333 < final_threshold 0.7
ObjectProperty,inheritFrom,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.5642; sequence_match=0.4167,False,0.5314,False,top-3 avg score 0.5314 < final_threshold 0.7
ObjectProperty,assigner,has Logical Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.2941; semantic=0.5452; sequence_match=0.4000,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,inheritFrom,is Part Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.3636; semantic=0.5375; sequence_match=0.4211,False,0.5284,False,top-3 avg score 0.5284 < final_threshold 0.7
ObjectProperty,relation,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6816; levenshtein=0.3077; semantic=0.5184; sequence_match=0.3810,False,0.527,False,top-3 avg score 0.5270 < final_threshold 0.7
ObjectProperty,assignee,has Consequent Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.2353; semantic=0.5959; sequence_match=0.3200,False,0.5204,False,top-3 avg score 0.5204 < final_threshold 0.7
ObjectProperty,action,is Part Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.4919; sequence_match=0.4286,False,0.5198,False,top-3 avg score 0.5198 < final_threshold 0.7
ObjectProperty,target,is Part Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.4959; sequence_match=0.4286,False,0.5165,False,top-3 avg score 0.5165 < final_threshold 0.7
ObjectProperty,hasPolicy,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5188; sequence_match=0.4000,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.7
ObjectProperty,assignee,has Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5475; sequence_match=0.4762,False,0.5143,False,top-3 avg score 0.5143 < final_threshold 0.7
ObjectProperty,assigner,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5409; sequence_match=0.4000,False,0.514,False,top-3 avg score 0.5140 < final_threshold 0.7
ObjectProperty,scope,has Consequent Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6784; levenshtein=0.2353; semantic=0.4949; sequence_match=0.3636,False,0.5123,False,top-3 avg score 0.5123 < final_threshold 0.7
ObjectProperty,failure,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2857; semantic=0.4715; sequence_match=0.4286,False,0.5103,False,top-3 avg score 0.5103 < final_threshold 0.7
ObjectProperty,scope,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5847; sequence_match=0.3333,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.7
ObjectProperty,and,has Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.4769; sequence_match=0.4000,False,0.5092,False,top-3 avg score 0.5092 < final_threshold 0.7
ObjectProperty,scope,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.1538; semantic=0.5789; sequence_match=0.3333,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.7
ObjectProperty,assignee,has Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5248; sequence_match=0.4762,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,hasPolicy,has Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.5976; sequence_match=0.3529,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,relation,is Part Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5578; sequence_match=0.3750,False,0.5054,False,top-3 avg score 0.5054 < final_threshold 0.7
ObjectProperty,conflict,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5792; levenshtein=0.3125; semantic=0.5187; sequence_match=0.4167,False,0.5048,False,top-3 avg score 0.5048 < final_threshold 0.7
ObjectProperty,constraint,has Logical Operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5399; levenshtein=0.1765; semantic=0.5989; sequence_match=0.3704,False,0.5031,False,top-3 avg score 0.5031 < final_threshold 0.7
ObjectProperty,action,has Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4957; levenshtein=0.3077; semantic=0.5913; sequence_match=0.4211,False,0.5027,False,top-3 avg score 0.5027 < final_threshold 0.7
ObjectProperty,inheritFrom,has Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5379; levenshtein=0.1818; semantic=0.5448; sequence_match=0.4211,False,0.5012,False,top-3 avg score 0.5012 < final_threshold 0.7
ObjectProperty,action,has Remediation,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4921; levenshtein=0.3571; semantic=0.5112; sequence_match=0.5000,False,0.5011,False,top-3 avg score 0.5011 < final_threshold 0.7
ObjectProperty,action,has Consequent Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6340; levenshtein=0.1765; semantic=0.5172; sequence_match=0.3478,False,0.4997,False,top-3 avg score 0.4997 < final_threshold 0.7
ObjectProperty,operator,has Contract Party,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5125; levenshtein=0.3125; semantic=0.5615; sequence_match=0.4167,False,0.4969,False,top-3 avg score 0.4969 < final_threshold 0.7
ObjectProperty,operator,has Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5365; levenshtein=0.3077; semantic=0.5725; sequence_match=0.3810,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.7
ObjectProperty,constraint,has Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6149; levenshtein=0.2759; semantic=0.4607; sequence_match=0.4103,False,0.4953,False,top-3 avg score 0.4953 < final_threshold 0.7
ObjectProperty,scope,has Logical Operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4810; levenshtein=0.2941; semantic=0.5491; sequence_match=0.4545,False,0.4949,False,top-3 avg score 0.4949 < final_threshold 0.7
ObjectProperty,inheritRelation,has Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6268; levenshtein=0.3103; semantic=0.4484; sequence_match=0.4091,False,0.4948,False,top-3 avg score 0.4948 < final_threshold 0.7
ObjectProperty,assignee,has Negated Element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.2941; semantic=0.4362; sequence_match=0.4000,False,0.4939,False,top-3 avg score 0.4939 < final_threshold 0.7
ObjectProperty,assigner,has Nested Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2632; semantic=0.4772; sequence_match=0.3704,False,0.4935,False,top-3 avg score 0.4935 < final_threshold 0.7
ObjectProperty,assignee,has Nested Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2105; semantic=0.4719; sequence_match=0.3704,False,0.4918,False,top-3 avg score 0.4918 < final_threshold 0.7
ObjectProperty,scope,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5958; levenshtein=0.2500; semantic=0.4920; sequence_match=0.3810,False,0.4896,False,top-3 avg score 0.4896 < final_threshold 0.7
ObjectProperty,hasPolicy,has Consequent Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.5322; sequence_match=0.3846,False,0.4889,False,top-3 avg score 0.4889 < final_threshold 0.7
ObjectProperty,permission,provides Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6011; levenshtein=0.2222; semantic=0.5765; sequence_match=0.2857,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.7
ObjectProperty,obligation,has Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4952; levenshtein=0.1000; semantic=0.7312; sequence_match=0.2353,False,0.4873,False,top-3 avg score 0.4873 < final_threshold 0.7
ObjectProperty,obligation,has Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.5784; sequence_match=0.3333,False,0.4872,False,top-3 avg score 0.4872 < final_threshold 0.7
ObjectProperty,obligation,has Logical Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.2353; semantic=0.5065; sequence_match=0.2963,False,0.4864,False,top-3 avg score 0.4864 < final_threshold 0.7
ObjectProperty,operand,has Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.3077; semantic=0.5993; sequence_match=0.4000,False,0.4863,False,top-3 avg score 0.4863 < final_threshold 0.7
ObjectProperty,function,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5453; sequence_match=0.2857,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.7
ObjectProperty,andSequence,has Negated Element,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6076; levenshtein=0.2353; semantic=0.4108; sequence_match=0.4286,False,0.4823,False,top-3 avg score 0.4823 < final_threshold 0.7
ObjectProperty,consequence,has Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.3077; semantic=0.5494; sequence_match=0.4167,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,hasPolicy,has Remediation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.2857; semantic=0.5149; sequence_match=0.3478,False,0.4798,False,top-3 avg score 0.4798 < final_threshold 0.7
ObjectProperty,action,has Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6245; levenshtein=0.2069; semantic=0.4719; sequence_match=0.3429,False,0.4798,False,top-3 avg score 0.4798 < final_threshold 0.7
ObjectProperty,operator,has Remediation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.4795; sequence_match=0.3636,False,0.4791,False,top-3 avg score 0.4791 < final_threshold 0.7
ObjectProperty,partOf,has Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.4792; sequence_match=0.4286,False,0.4785,False,top-3 avg score 0.4785 < final_threshold 0.7
ObjectProperty,assignee,has Logical Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.2353; semantic=0.5403; sequence_match=0.3200,False,0.4778,False,top-3 avg score 0.4778 < final_threshold 0.7
ObjectProperty,scope,provides Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6259; levenshtein=0.1667; semantic=0.5453; sequence_match=0.2609,False,0.4774,False,top-3 avg score 0.4774 < final_threshold 0.7
ObjectProperty,assignee,has Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.6529; sequence_match=0.2667,False,0.4772,False,top-3 avg score 0.4772 < final_threshold 0.7
ObjectProperty,constraint,provides Capability,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6011; levenshtein=0.2778; semantic=0.5522; sequence_match=0.1429,False,0.477,False,top-3 avg score 0.4770 < final_threshold 0.7
ObjectProperty,partOf,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.1875; semantic=0.5112; sequence_match=0.3636,False,0.4768,False,top-3 avg score 0.4768 < final_threshold 0.7
ObjectProperty,Only One,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2857; semantic=0.4730; sequence_match=0.4286,False,0.4751,False,top-3 avg score 0.4751 < final_threshold 0.7
ObjectProperty,target,has Remediation,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.4885; sequence_match=0.1000,False,0.475,False,top-3 avg score 0.4750 < final_threshold 0.7
ObjectProperty,permission,is Part Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5750; levenshtein=0.1000; semantic=0.5145; sequence_match=0.3333,False,0.4743,False,top-3 avg score 0.4743 < final_threshold 0.7
ObjectProperty,operand,has Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.2308; semantic=0.5614; sequence_match=0.4000,False,0.4737,False,top-3 avg score 0.4737 < final_threshold 0.7
ObjectProperty,leftOperand,has Nested Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5494; levenshtein=0.3158; semantic=0.4707; sequence_match=0.4000,False,0.4734,False,top-3 avg score 0.4734 < final_threshold 0.7
ObjectProperty,action,has Logical Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5507; levenshtein=0.2353; semantic=0.5215; sequence_match=0.3478,False,0.4733,False,top-3 avg score 0.4733 < final_threshold 0.7
ObjectProperty,or,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7083; levenshtein=0.1250; semantic=0.4893; sequence_match=0.2222,False,0.4733,False,top-3 avg score 0.4733 < final_threshold 0.7
ObjectProperty,constraint,has Right,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5500; levenshtein=0.3000; semantic=0.5670; sequence_match=0.2222,False,0.4723,False,top-3 avg score 0.4723 < final_threshold 0.7
ObjectProperty,inheritFrom,has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.0909; semantic=0.5488; sequence_match=0.3158,False,0.4713,False,top-3 avg score 0.4713 < final_threshold 0.7
ObjectProperty,action,has Role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5657; sequence_match=0.3077,False,0.471,False,top-3 avg score 0.4710 < final_threshold 0.7
ObjectProperty,target,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.1875; semantic=0.4927; sequence_match=0.3636,False,0.4706,False,top-3 avg score 0.4706 < final_threshold 0.7
ObjectProperty,scope,has Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.5531; sequence_match=0.3077,False,0.4703,False,top-3 avg score 0.4703 < final_threshold 0.7
ObjectProperty,obligation,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.2308; semantic=0.4999; sequence_match=0.3478,False,0.4697,False,top-3 avg score 0.4697 < final_threshold 0.7
ObjectProperty,conflict,has Consequent Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5784; levenshtein=0.2353; semantic=0.5104; sequence_match=0.3200,False,0.4696,False,top-3 avg score 0.4696 < final_threshold 0.7
ObjectProperty,assigner,has Consequent Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.2353; semantic=0.5148; sequence_match=0.3200,False,0.4693,False,top-3 avg score 0.4693 < final_threshold 0.7
ObjectProperty,relation,has Role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.6163; sequence_match=0.2667,False,0.4689,False,top-3 avg score 0.4689 < final_threshold 0.7
ObjectProperty,prohibition,has Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5379; levenshtein=0.1818; semantic=0.5528; sequence_match=0.3158,False,0.4688,False,top-3 avg score 0.4688 < final_threshold 0.7
ObjectProperty,relation,has Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5365; levenshtein=0.1538; semantic=0.5829; sequence_match=0.2857,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,relation,has Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5920; levenshtein=0.2414; semantic=0.4332; sequence_match=0.3784,False,0.4678,False,top-3 avg score 0.4678 < final_threshold 0.7
ObjectProperty,constraint,has Negated Element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5954; levenshtein=0.2353; semantic=0.5106; sequence_match=0.2963,False,0.4674,False,top-3 avg score 0.4674 < final_threshold 0.7
ObjectProperty,and,has Negated Element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7255; levenshtein=0.1765; semantic=0.3767; sequence_match=0.3000,False,0.4674,False,top-3 avg score 0.4674 < final_threshold 0.7
ObjectProperty,and,has Nested Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7193; levenshtein=0.1579; semantic=0.4067; sequence_match=0.2727,False,0.4662,False,top-3 avg score 0.4662 < final_threshold 0.7
ObjectProperty,action,has Nested Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6322; levenshtein=0.2105; semantic=0.4459; sequence_match=0.3200,False,0.466,False,top-3 avg score 0.4660 < final_threshold 0.7
ObjectProperty,assigner,has Remediation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2143; semantic=0.4384; sequence_match=0.3636,False,0.4654,False,top-3 avg score 0.4654 < final_threshold 0.7
ObjectProperty,target,has Duty,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5397; levenshtein=0.2857; semantic=0.5705; sequence_match=0.1538,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.7
