prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasBody,has body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasColor,has color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has vintage year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasWineDescriptor,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8824; levenshtein=0.4118; semantic=0.7368; sequence_match=0.5833,False,0.7342,True,selected
ObjectProperty,hasVintageYear,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5905; sequence_match=0.3810,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,hasSugar,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5859; sequence_match=0.4000,False,0.529,False,top-3 avg score 0.5290 < final_threshold 0.7
ObjectProperty,hasFlavor,has wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.6195; sequence_match=0.3750,False,0.5273,False,top-3 avg score 0.5273 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasColor,has grape variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2667; semantic=0.6354; sequence_match=0.3478,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,hasFlavor,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.4978; sequence_match=0.4444,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,hasSugar,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5682; sequence_match=0.4000,False,0.5231,False,top-3 avg score 0.5231 < final_threshold 0.7
ObjectProperty,hasBody,has typical color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6127; levenshtein=0.2667; semantic=0.5876; sequence_match=0.3636,False,0.5213,False,top-3 avg score 0.5213 < final_threshold 0.7
ObjectProperty,hasSugar,has region,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.4192; sequence_match=0.4706,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,locatedIn,characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6227; levenshtein=0.2500; semantic=0.5232; sequence_match=0.4000,False,0.5153,False,top-3 avg score 0.5153 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5454; sequence_match=0.3871,False,0.5099,False,top-3 avg score 0.5099 < final_threshold 0.7
ObjectProperty,hasSugar,has typical color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.4928; sequence_match=0.4348,False,0.5055,False,top-3 avg score 0.5055 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has typical color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5785; levenshtein=0.3529; semantic=0.4862; sequence_match=0.4375,False,0.5007,False,top-3 avg score 0.5007 < final_threshold 0.7
ObjectProperty,hasVintageYear,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5524; levenshtein=0.2857; semantic=0.6111; sequence_match=0.3333,False,0.4989,False,top-3 avg score 0.4989 < final_threshold 0.7
ObjectProperty,locatedIn,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.5164; sequence_match=0.3750,False,0.4934,False,top-3 avg score 0.4934 < final_threshold 0.7
ObjectProperty,hasVintageYear,used in wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5619; levenshtein=0.2143; semantic=0.5844; sequence_match=0.3333,False,0.4932,False,top-3 avg score 0.4932 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5096; sequence_match=0.3704,False,0.4927,False,top-3 avg score 0.4927 < final_threshold 0.7
ObjectProperty,hasBody,has grape variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5429; levenshtein=0.2667; semantic=0.5476; sequence_match=0.3636,False,0.4847,False,top-3 avg score 0.4847 < final_threshold 0.7
ObjectProperty,locatedIn,used in wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6148; levenshtein=0.2000; semantic=0.4140; sequence_match=0.4211,False,0.4833,False,top-3 avg score 0.4833 < final_threshold 0.7
ObjectProperty,hasColor,characteristic of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.2500; semantic=0.5322; sequence_match=0.4167,False,0.483,False,top-3 avg score 0.4830 < final_threshold 0.7
ObjectProperty,hasBody,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6176; levenshtein=0.3529; semantic=0.4234; sequence_match=0.3846,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.7
ObjectProperty,locatedIn,good vintage for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6164; levenshtein=0.2143; semantic=0.4593; sequence_match=0.3478,False,0.4745,False,top-3 avg score 0.4745 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,hasFlavor,typical color of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.4889; sequence_match=0.3478,False,0.4711,False,top-3 avg score 0.4711 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,good vintage for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5557; levenshtein=0.1765; semantic=0.5301; sequence_match=0.3226,False,0.4695,False,top-3 avg score 0.4695 < final_threshold 0.7
ObjectProperty,hasFlavor,good vintage for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4934; levenshtein=0.2143; semantic=0.5649; sequence_match=0.3478,False,0.4687,False,top-3 avg score 0.4687 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,grown in region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5548; levenshtein=0.2941; semantic=0.4491; sequence_match=0.4000,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.7
ObjectProperty,hasFlavor,characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.1875; semantic=0.5276; sequence_match=0.3200,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.4667; sequence_match=0.3333,False,0.4674,False,top-3 avg score 0.4674 < final_threshold 0.7
ObjectProperty,locatedIn,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.2143; semantic=0.5171; sequence_match=0.3478,False,0.4655,False,top-3 avg score 0.4655 < final_threshold 0.7
ObjectProperty,locatedIn,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.2222; semantic=0.5409; sequence_match=0.2222,False,0.4643,False,top-3 avg score 0.4643 < final_threshold 0.7
ObjectProperty,hasFlavor,color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.2222; semantic=0.5381; sequence_match=0.3750,False,0.4631,False,top-3 avg score 0.4631 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,produces grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5072; levenshtein=0.2353; semantic=0.5438; sequence_match=0.3333,False,0.4615,False,top-3 avg score 0.4615 < final_threshold 0.7
ObjectProperty,hasColor,good vintage for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5298; levenshtein=0.1429; semantic=0.5712; sequence_match=0.2727,False,0.4579,False,top-3 avg score 0.4579 < final_threshold 0.7
ObjectProperty,madeFromGrape,has wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4799; levenshtein=0.1538; semantic=0.6844; sequence_match=0.2000,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
ObjectProperty,hasColor,body of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.5437; sequence_match=0.2857,False,0.4524,False,top-3 avg score 0.4524 < final_threshold 0.7
ObjectProperty,hasVintageYear,characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5506; levenshtein=0.1250; semantic=0.5324; sequence_match=0.2667,False,0.4499,False,top-3 avg score 0.4499 < final_threshold 0.7
ObjectProperty,madeFromGrape,vintage of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.0769; semantic=0.4939; sequence_match=0.2727,False,0.4489,False,top-3 avg score 0.4489 < final_threshold 0.7
ObjectProperty,locatedIn,grown in region,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5007; levenshtein=0.3077; semantic=0.5099; sequence_match=0.2727,False,0.4394,False,top-3 avg score 0.4394 < final_threshold 0.7
ObjectProperty,hasBody,characteristic of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4702; levenshtein=0.1875; semantic=0.4996; sequence_match=0.3478,False,0.4392,False,top-3 avg score 0.4392 < final_threshold 0.7
ObjectProperty,hasColor,vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.1111; semantic=0.5913; sequence_match=0.2353,False,0.4391,False,top-3 avg score 0.4391 < final_threshold 0.7
ObjectProperty,madeFromGrape,used in wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.7429; sequence_match=0.1739,False,0.4386,False,top-3 avg score 0.4386 < final_threshold 0.7
ObjectProperty,hasColor,bouquet of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.1111; semantic=0.5767; sequence_match=0.2353,False,0.4343,False,top-3 avg score 0.4343 < final_threshold 0.7
ObjectProperty,hasSugar,good vintage for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5298; levenshtein=0.1429; semantic=0.5002; sequence_match=0.2727,False,0.4342,False,top-3 avg score 0.4342 < final_threshold 0.7
ObjectProperty,locatedIn,produces grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5007; levenshtein=0.1538; semantic=0.4288; sequence_match=0.3636,False,0.431,False,top-3 avg score 0.4310 < final_threshold 0.7
ObjectProperty,hasBody,vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5392; sequence_match=0.2500,False,0.4306,False,top-3 avg score 0.4306 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.5007; sequence_match=0.3077,False,0.4283,False,top-3 avg score 0.4283 < final_threshold 0.7
ObjectProperty,hasBody,bouquet of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.0000; semantic=0.5312; sequence_match=0.2500,False,0.4279,False,top-3 avg score 0.4279 < final_threshold 0.7
ObjectProperty,madeFromGrape,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5745; levenshtein=0.2143; semantic=0.4853; sequence_match=0.2222,False,0.4273,False,top-3 avg score 0.4273 < final_threshold 0.7
ObjectProperty,locatedIn,has vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5042; levenshtein=0.1429; semantic=0.5152; sequence_match=0.2609,False,0.4268,False,top-3 avg score 0.4268 < final_threshold 0.7
ObjectProperty,madeFromGrape,has vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5305; sequence_match=0.2222,False,0.4239,False,top-3 avg score 0.4239 < final_threshold 0.7
ObjectProperty,locatedIn,has body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.5386; sequence_match=0.2500,False,0.4216,False,top-3 avg score 0.4216 < final_threshold 0.7
ObjectProperty,hasSugar,characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5792; levenshtein=0.1875; semantic=0.4286; sequence_match=0.2500,False,0.4193,False,top-3 avg score 0.4193 < final_threshold 0.7
ObjectProperty,madeFromGrape,good vintage for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4634; levenshtein=0.1429; semantic=0.4957; sequence_match=0.2963,False,0.4185,False,top-3 avg score 0.4185 < final_threshold 0.7
ObjectProperty,hasSugar,produces grape,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5365; levenshtein=0.2308; semantic=0.4872; sequence_match=0.0952,False,0.4182,False,top-3 avg score 0.4182 < final_threshold 0.7
ObjectProperty,hasFlavor,vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.5412; sequence_match=0.2222,False,0.415,False,top-3 avg score 0.4150 < final_threshold 0.7
ObjectProperty,locatedIn,has color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.5426; sequence_match=0.2353,False,0.4121,False,top-3 avg score 0.4121 < final_threshold 0.7
ObjectProperty,locatedIn,color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.5043; sequence_match=0.2500,False,0.4102,False,top-3 avg score 0.4102 < final_threshold 0.7
ObjectProperty,locatedIn,body of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.1111; semantic=0.5206; sequence_match=0.2667,False,0.4044,False,top-3 avg score 0.4044 < final_threshold 0.7
ObjectProperty,hasSugar,vintage of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.1111; semantic=0.4822; sequence_match=0.2353,False,0.4027,False,top-3 avg score 0.4027 < final_threshold 0.7
ObjectProperty,locatedIn,bouquet of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.2222; semantic=0.5367; sequence_match=0.2222,False,0.4011,False,top-3 avg score 0.4011 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,locatedIn,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.0000; semantic=0.5572; sequence_match=0.2105,False,0.4004,False,top-3 avg score 0.4004 < final_threshold 0.7
ObjectProperty,hasBody,good vintage for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.0714; semantic=0.5249; sequence_match=0.1905,False,0.3972,False,top-3 avg score 0.3972 < final_threshold 0.7
ObjectProperty,madeFromGrape,has color,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5322; sequence_match=0.1905,False,0.3957,False,top-3 avg score 0.3957 < final_threshold 0.7
ObjectProperty,locatedIn,has grape variety,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.4638; sequence_match=0.1667,False,0.3916,False,top-3 avg score 0.3916 < final_threshold 0.7
ObjectProperty,locatedIn,vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1111; semantic=0.5048; sequence_match=0.2222,False,0.3905,False,top-3 avg score 0.3905 < final_threshold 0.7
