gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Bordeaux,Bordeaux Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8442; sequence_match=0.8000,False,0.8592,True,selected
RedBordeaux,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7079; levenshtein=0.4167; semantic=0.7635; sequence_match=0.6957,False,0.7223,False,pred already taken by 'Bordeaux' (higher averaged score)
RedWine,Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Red Wine'
wine,Red Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Wine'
WineTaste,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8556; levenshtein=0.3889; semantic=0.7669; sequence_match=0.5185,False,0.7137,False,gold already mapped to 'Wine Quality'
WineGrape,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8670; levenshtein=0.4000; semantic=0.7423; sequence_match=0.5263,False,0.7119,False,pred already taken by 'Region' (higher averaged score)
WineSugar,Wine Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8424; levenshtein=0.4545; semantic=0.6786; sequence_match=0.6000,False,0.707,False,pred already taken by 'WineTaste' (higher averaged score)
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'White Wine'
wine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'Wine'
WineBody,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.4000; semantic=0.6699; sequence_match=0.5556,False,0.6835,False,pred already taken by 'Region' (higher averaged score)
RedWine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'Red Wine'
WhiteWine,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'White Wine'
WhiteBordeaux,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6660; levenshtein=0.3077; semantic=0.7341; sequence_match=0.6400,False,0.68,False,pred already taken by 'Bordeaux' (higher averaged score)
WineColor,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.5000; semantic=0.6874; sequence_match=0.5263,False,0.6779,False,pred already taken by 'Region' (higher averaged score)
WineDescriptor,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8493; levenshtein=0.5000; semantic=0.5955; sequence_match=0.5833,False,0.676,False,pred already taken by 'Region' (higher averaged score)
WineDescriptor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7084; sequence_match=0.4444,False,0.67,False,pred already taken by 'wine' (higher averaged score)
WineSugar,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.5000; semantic=0.6540; sequence_match=0.5263,False,0.6668,False,pred already taken by 'Region' (higher averaged score)
wine,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.2222; semantic=0.7644; sequence_match=0.3636,False,0.6575,False,gold already mapped to 'Wine'
RedBordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.8567; sequence_match=0.4444,False,0.6487,False,pred already taken by 'RedWine' (higher averaged score)
WineGrape,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.8143; sequence_match=0.5000,False,0.6459,False,pred already taken by 'RedWine' (higher averaged score)
WineTaste,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6852; levenshtein=0.4000; semantic=0.7232; sequence_match=0.5263,False,0.6449,False,gold already mapped to 'Wine Quality'
WineGrape,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.3889; semantic=0.7388; sequence_match=0.5185,False,0.644,False,pred already taken by 'WineDescriptor' (higher averaged score)
WineTaste,Wine Vintage Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6946; levenshtein=0.3200; semantic=0.7561; sequence_match=0.4706,False,0.6405,False,gold already mapped to 'Wine Quality'
WineBody,Wine Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.6957; sequence_match=0.5263,False,0.6384,False,pred already taken by 'WineTaste' (higher averaged score)
WineGrape,Wine Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6700; levenshtein=0.4545; semantic=0.7415; sequence_match=0.5000,False,0.6372,False,pred already taken by 'WineTaste' (higher averaged score)
WineColor,Wine Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6700; levenshtein=0.4545; semantic=0.7374; sequence_match=0.5000,False,0.6358,False,pred already taken by 'WineTaste' (higher averaged score)
Region,Red Wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7968; levenshtein=0.4286; semantic=0.4815; sequence_match=0.6154,False,0.6313,False,gold already mapped to 'Wine Region'
WineTaste,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.7641; sequence_match=0.5000,False,0.6291,False,gold already mapped to 'Wine Quality'
RedWine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7079; levenshtein=0.2000; semantic=0.6945; sequence_match=0.4706,False,0.6243,False,gold already mapped to 'Red Wine'
WineFlavor,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.6902; sequence_match=0.5000,False,0.6189,False,pred already taken by 'Region' (higher averaged score)
wine,Wine Vintage Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8320; levenshtein=0.1600; semantic=0.7415; sequence_match=0.2759,False,0.6165,False,gold already mapped to 'Wine'
WineFlavor,Wine Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6596; levenshtein=0.4545; semantic=0.7070; sequence_match=0.4762,False,0.6142,False,pred already taken by 'WineTaste' (higher averaged score)
WineGrape,Wine Vintage Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6530; levenshtein=0.3200; semantic=0.7149; sequence_match=0.4706,False,0.6128,False,gold already mapped to 'Grape Variety'
WineGrape,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.7586; sequence_match=0.4444,False,0.6109,False,gold already mapped to 'Grape Variety'
WhiteWine,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.4167; semantic=0.6862; sequence_match=0.4762,False,0.6066,False,gold already mapped to 'White Wine'
WineColor,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.7046; sequence_match=0.4444,False,0.6052,False,pred already taken by 'WineDescriptor' (higher averaged score)
WineTaste,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6370; levenshtein=0.3333; semantic=0.7233; sequence_match=0.4444,False,0.6016,False,gold already mapped to 'Wine Quality'
WineBody,Red Wine,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.7365; sequence_match=0.5333,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.6
WineSugar,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.6790; sequence_match=0.4444,False,0.5967,False,top-3 avg score 0.5967 < final_threshold 0.6
WhiteWine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7300; levenshtein=0.3000; semantic=0.6344; sequence_match=0.4211,False,0.5952,False,top-3 avg score 0.5952 < final_threshold 0.6
WineFlavor,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.7115; sequence_match=0.4286,False,0.5948,False,top-3 avg score 0.5948 < final_threshold 0.6
WineColor,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7585; sequence_match=0.5000,False,0.5879,False,top-3 avg score 0.5879 < final_threshold 0.6
WineDescriptor,Wine Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6580; levenshtein=0.4286; semantic=0.6256; sequence_match=0.4800,False,0.5879,False,top-3 avg score 0.5879 < final_threshold 0.6
Vintage,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
wine,Bordeaux Wine,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4444; levenshtein=0.3333; semantic=0.8170; sequence_match=0.5000,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.6
WineDescriptor,Wine Vintage Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6381; levenshtein=0.3600; semantic=0.6535; sequence_match=0.4615,False,0.5844,False,top-3 avg score 0.5844 < final_threshold 0.6
Zinfandel,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.3333; semantic=0.6978; sequence_match=0.4615,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
VintageYear,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.6573; sequence_match=0.4000,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.6
WineSugar,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7257; sequence_match=0.5000,False,0.577,False,top-3 avg score 0.5770 < final_threshold 0.6
WineBody,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.6842; sequence_match=0.4706,False,0.5748,False,top-3 avg score 0.5748 < final_threshold 0.6
WineSugar,Wine Vintage Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6383; levenshtein=0.2800; semantic=0.6615; sequence_match=0.4118,False,0.5705,False,top-3 avg score 0.5705 < final_threshold 0.6
WineColor,Wine Vintage Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6356; levenshtein=0.2400; semantic=0.7161; sequence_match=0.3529,False,0.5682,False,top-3 avg score 0.5682 < final_threshold 0.6
WhiteBordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6603; levenshtein=0.2308; semantic=0.6844; sequence_match=0.3529,False,0.5659,False,top-3 avg score 0.5659 < final_threshold 0.6
WineSugar,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6918; sequence_match=0.4444,False,0.5639,False,top-3 avg score 0.5639 < final_threshold 0.6
WineColor,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6916; sequence_match=0.4444,False,0.5639,False,top-3 avg score 0.5639 < final_threshold 0.6
Vintage,Wine Vintage Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6171; levenshtein=0.2800; semantic=0.6347; sequence_match=0.4375,False,0.5631,False,top-3 avg score 0.5631 < final_threshold 0.6
RedWine,Grape Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.2500; semantic=0.6332; sequence_match=0.4211,False,0.5631,False,top-3 avg score 0.5631 < final_threshold 0.6
WhiteWine,Wine Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.6820; sequence_match=0.4000,False,0.5616,False,top-3 avg score 0.5616 < final_threshold 0.6
WineFlavor,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4905; levenshtein=0.1000; semantic=0.7184; sequence_match=0.4706,False,0.5598,False,top-3 avg score 0.5598 < final_threshold 0.6
WineGrape,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5093; levenshtein=0.1667; semantic=0.7784; sequence_match=0.3810,False,0.5562,False,top-3 avg score 0.5562 < final_threshold 0.6
WineTaste,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1667; semantic=0.7523; sequence_match=0.3810,False,0.5537,False,top-3 avg score 0.5537 < final_threshold 0.6
WineFlavor,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.6898; sequence_match=0.4211,False,0.5518,False,top-3 avg score 0.5518 < final_threshold 0.6
WineFlavor,Wine Vintage Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6124; levenshtein=0.2400; semantic=0.6927; sequence_match=0.3429,False,0.5493,False,top-3 avg score 0.5493 < final_threshold 0.6
Zinfandel,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.6783; sequence_match=0.3750,False,0.5469,False,top-3 avg score 0.5469 < final_threshold 0.6
RedWine,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.1111; semantic=0.6982; sequence_match=0.3200,False,0.5457,False,top-3 avg score 0.5457 < final_threshold 0.6
RedWine,Wine Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4784; levenshtein=0.1818; semantic=0.7138; sequence_match=0.4444,False,0.5455,False,top-3 avg score 0.5455 < final_threshold 0.6
WineDescriptor,Red Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2143; semantic=0.6048; sequence_match=0.3810,False,0.5455,False,top-3 avg score 0.5455 < final_threshold 0.6
Zinfandel,Wine Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.2727; semantic=0.5972; sequence_match=0.4000,False,0.5335,False,top-3 avg score 0.5335 < final_threshold 0.6
WhiteWine,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.2778; semantic=0.6383; sequence_match=0.2963,False,0.5291,False,top-3 avg score 0.5291 < final_threshold 0.6
Bordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.1250; semantic=0.6917; sequence_match=0.4000,False,0.5273,False,top-3 avg score 0.5273 < final_threshold 0.6
WineBody,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.6849; sequence_match=0.3077,False,0.5222,False,top-3 avg score 0.5222 < final_threshold 0.6
VintageYear,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6406; levenshtein=0.2222; semantic=0.5768; sequence_match=0.3448,False,0.5207,False,top-3 avg score 0.5207 < final_threshold 0.6
VintageYear,Grape Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6730; levenshtein=0.0833; semantic=0.6181; sequence_match=0.2609,False,0.5173,False,top-3 avg score 0.5173 < final_threshold 0.6
WhiteBordeaux,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6316; levenshtein=0.3077; semantic=0.5629; sequence_match=0.3478,False,0.5141,False,top-3 avg score 0.5141 < final_threshold 0.6
WineBody,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.0833; semantic=0.6976; sequence_match=0.4000,False,0.514,False,top-3 avg score 0.5140 < final_threshold 0.6
VintageYear,Wine Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5697; levenshtein=0.1818; semantic=0.6068; sequence_match=0.3636,False,0.5134,False,top-3 avg score 0.5134 < final_threshold 0.6
WhiteBordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5430; levenshtein=0.1538; semantic=0.6943; sequence_match=0.3000,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.6
WineFlavor,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4556; levenshtein=0.0833; semantic=0.7130; sequence_match=0.3636,False,0.5107,False,top-3 avg score 0.5107 < final_threshold 0.6
VintageYear,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.0909; semantic=0.6309; sequence_match=0.3333,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.6
WineDescriptor,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5709; sequence_match=0.3478,False,0.502,False,top-3 avg score 0.5020 < final_threshold 0.6
WineSugar,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.1667; semantic=0.6958; sequence_match=0.3810,False,0.4978,False,top-3 avg score 0.4978 < final_threshold 0.6
RedBordeaux,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.1667; semantic=0.5848; sequence_match=0.3478,False,0.4966,False,top-3 avg score 0.4966 < final_threshold 0.6
Region,Bordeaux Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.4584; sequence_match=0.4444,False,0.4954,False,top-3 avg score 0.4954 < final_threshold 0.6
WineGrape,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5134; levenshtein=0.1538; semantic=0.6934; sequence_match=0.2727,False,0.4932,False,top-3 avg score 0.4932 < final_threshold 0.6
Vintage,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5077; sequence_match=0.3750,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.6
WhiteWine,Wine Vintage Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6113; levenshtein=0.2000; semantic=0.6196; sequence_match=0.2353,False,0.4887,False,top-3 avg score 0.4887 < final_threshold 0.6
Vintage,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.6062; sequence_match=0.4286,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.6
Vintage,Napa Zinfandel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.3077; semantic=0.5184; sequence_match=0.4000,False,0.4871,False,top-3 avg score 0.4871 < final_threshold 0.6
WineBody,Wine Vintage Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5533; levenshtein=0.1600; semantic=0.6645; sequence_match=0.2424,False,0.4867,False,top-3 avg score 0.4867 < final_threshold 0.6
Vintage,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5516; levenshtein=0.1667; semantic=0.5868; sequence_match=0.3158,False,0.4847,False,top-3 avg score 0.4847 < final_threshold 0.6
VintageYear,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.5455; sequence_match=0.3000,False,0.4827,False,top-3 avg score 0.4827 < final_threshold 0.6
WhiteBordeaux,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5616; levenshtein=0.2222; semantic=0.5571; sequence_match=0.3226,False,0.4804,False,top-3 avg score 0.4804 < final_threshold 0.6
RedWine,Wine Vintage Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5048; levenshtein=0.1200; semantic=0.6858; sequence_match=0.2500,False,0.4802,False,top-3 avg score 0.4802 < final_threshold 0.6
wine,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3846; levenshtein=0.2308; semantic=0.7030; sequence_match=0.3529,False,0.4802,False,top-3 avg score 0.4802 < final_threshold 0.6
VintageYear,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.5609; sequence_match=0.2857,False,0.4771,False,top-3 avg score 0.4771 < final_threshold 0.6
Vintage,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.4932; sequence_match=0.3529,False,0.4733,False,top-3 avg score 0.4733 < final_threshold 0.6
Vintage,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5974; levenshtein=0.2222; semantic=0.5016; sequence_match=0.3200,False,0.473,False,top-3 avg score 0.4730 < final_threshold 0.6
Zinfandel,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.2000; semantic=0.5706; sequence_match=0.3158,False,0.4726,False,top-3 avg score 0.4726 < final_threshold 0.6
WineDescriptor,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5246; levenshtein=0.1429; semantic=0.5842; sequence_match=0.3077,False,0.4721,False,top-3 avg score 0.4721 < final_threshold 0.6
WineTaste,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.2308; semantic=0.6395; sequence_match=0.2727,False,0.471,False,top-3 avg score 0.4710 < final_threshold 0.6
RedWine,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.2308; semantic=0.6702; sequence_match=0.3000,False,0.4707,False,top-3 avg score 0.4707 < final_threshold 0.6
Vintage,Wine Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5617; levenshtein=0.2727; semantic=0.5168; sequence_match=0.3333,False,0.4706,False,top-3 avg score 0.4706 < final_threshold 0.6
WhiteWine,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5214; levenshtein=0.1538; semantic=0.6100; sequence_match=0.2727,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.6
WhiteBordeaux,Wine Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.2308; semantic=0.5942; sequence_match=0.2500,False,0.4671,False,top-3 avg score 0.4671 < final_threshold 0.6
WineDescriptor,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5246; levenshtein=0.2857; semantic=0.5671; sequence_match=0.3077,False,0.4665,False,top-3 avg score 0.4665 < final_threshold 0.6
Zinfandel,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1111; semantic=0.6157; sequence_match=0.3333,False,0.4645,False,top-3 avg score 0.4645 < final_threshold 0.6
WineColor,Bordeaux Wine,semantic+sequence_match+jaro_winkler,jaro_winkler=0.2963; levenshtein=0.0833; semantic=0.7103; sequence_match=0.3810,False,0.4625,False,top-3 avg score 0.4625 < final_threshold 0.6
Zinfandel,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.0833; semantic=0.6737; sequence_match=0.2857,False,0.4618,False,top-3 avg score 0.4618 < final_threshold 0.6
WineBody,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.6068; sequence_match=0.3000,False,0.4597,False,top-3 avg score 0.4597 < final_threshold 0.6
WineFlavor,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4026; levenshtein=0.1538; semantic=0.6283; sequence_match=0.3478,False,0.4596,False,top-3 avg score 0.4596 < final_threshold 0.6
