role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasbody,hasbody,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8555; sequence_match=0.8333,False,0.8772,False,gold already mapped to 'hasvintageyear'
property,hasvintageyear,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.5924; sequence_match=0.3636,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.6
property,haswinedescriptor,hasbody,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.5920; sequence_match=0.3333,False,0.5092,False,top-3 avg score 0.5092 < final_threshold 0.6
property,hasvintageyear,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.6064; sequence_match=0.3226,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
property,haswinedescriptor,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5474; sequence_match=0.3704,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.6
property,hasvintageyear,hasbouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5524; levenshtein=0.2857; semantic=0.5868; sequence_match=0.3333,False,0.4908,False,top-3 avg score 0.4908 < final_threshold 0.6
property,haswinedescriptor,usedtoproduce,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6120; levenshtein=0.2353; semantic=0.4537; sequence_match=0.4000,False,0.4885,False,top-3 avg score 0.4885 < final_threshold 0.6
property,hasbody,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6494; sequence_match=0.2500,False,0.4781,False,top-3 avg score 0.4781 < final_threshold 0.6
property,yearvalue,usedtoproduce,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5840; levenshtein=0.2308; semantic=0.4783; sequence_match=0.3636,False,0.4753,False,top-3 avg score 0.4753 < final_threshold 0.6
property,yearvalue,hasvintage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6148; levenshtein=0.2000; semantic=0.5776; sequence_match=0.1053,False,0.4642,False,top-3 avg score 0.4642 < final_threshold 0.6
property,yearvalue,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5169; sequence_match=0.3158,False,0.4590,False,top-3 avg score 0.4590 < final_threshold 0.6
property,madefromgrape,usedtoproduce,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5299; levenshtein=0.1538; semantic=0.4801; sequence_match=0.3077,False,0.4393,False,top-3 avg score 0.4393 < final_threshold 0.6
property,yearvalue,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.5133; sequence_match=0.3077,False,0.4325,False,top-3 avg score 0.4325 < final_threshold 0.6
property,madefromgrape,hasvintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5224; sequence_match=0.2222,False,0.4212,False,top-3 avg score 0.4212 < final_threshold 0.6
property,hasvintageyear,usedtoproduce,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4478; levenshtein=0.0714; semantic=0.5750; sequence_match=0.2222,False,0.4150,False,top-3 avg score 0.4150 < final_threshold 0.6
property,madefromgrape,hasvintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.5194; sequence_match=0.1739,False,0.4120,False,top-3 avg score 0.4120 < final_threshold 0.6
property,madefromgrape,hascharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4680; sequence_match=0.2667,False,0.4092,False,top-3 avg score 0.4092 < final_threshold 0.6
property,yearvalue,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.2222; semantic=0.4874; sequence_match=0.2353,False,0.4045,False,top-3 avg score 0.4045 < final_threshold 0.6
property,madefromgrape,hascolor,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5167; sequence_match=0.1905,False,0.3906,False,top-3 avg score 0.3906 < final_threshold 0.6
property,hasbody,usedtoproduce,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.4269; sequence_match=0.3000,False,0.3896,False,top-3 avg score 0.3896 < final_threshold 0.6
property,madefromgrape,hasbody,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.5089; sequence_match=0.2000,False,0.3836,False,top-3 avg score 0.3836 < final_threshold 0.6
property,madefromgrape,hasbouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.5551; sequence_match=0.1739,False,0.3761,False,top-3 avg score 0.3761 < final_threshold 0.6
property,yearvalue,hasbody,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.4626; sequence_match=0.1250,False,0.3352,False,top-3 avg score 0.3352 < final_threshold 0.6
