role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasbody,hasbody,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,madefromgrape,usesgrape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6538; levenshtein=0.4615; semantic=0.8040; sequence_match=0.5455,False,0.6678,True,selected
property,yearvalue,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5169; sequence_match=0.3158,False,0.4590,False,top-3 avg score 0.4590 < final_threshold 0.6
property,hasbody,changeswith,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.4761; sequence_match=0.3333,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.6
property,madefromgrape,considerforselection,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5342; levenshtein=0.2000; semantic=0.4921; sequence_match=0.3030,False,0.4431,False,top-3 avg score 0.4431 < final_threshold 0.6
property,yearvalue,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.5133; sequence_match=0.3077,False,0.4325,False,top-3 avg score 0.4325 < final_threshold 0.6
property,madefromgrape,hasvintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5224; sequence_match=0.2222,False,0.4212,False,top-3 avg score 0.4212 < final_threshold 0.6
property,hasvintageyear,usesgrape,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4934; levenshtein=0.2143; semantic=0.5543; sequence_match=0.1739,False,0.4207,False,top-3 avg score 0.4207 < final_threshold 0.6
property,yearvalue,considerforselection,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4648; levenshtein=0.1500; semantic=0.5158; sequence_match=0.2759,False,0.4188,False,top-3 avg score 0.4188 < final_threshold 0.6
property,madefromgrape,hasvintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.5194; sequence_match=0.1739,False,0.4120,False,top-3 avg score 0.4120 < final_threshold 0.6
property,madefromgrape,hascharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4680; sequence_match=0.2667,False,0.4092,False,top-3 avg score 0.4092 < final_threshold 0.6
property,yearvalue,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.2222; semantic=0.4874; sequence_match=0.2353,False,0.4045,False,top-3 avg score 0.4045 < final_threshold 0.6
property,madefromgrape,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5134; levenshtein=0.2308; semantic=0.3980; sequence_match=0.2727,False,0.3947,False,top-3 avg score 0.3947 < final_threshold 0.6
property,madefromgrape,hascolor,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5167; sequence_match=0.1905,False,0.3906,False,top-3 avg score 0.3906 < final_threshold 0.6
property,hasvintageyear,considerforselection,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.1500; semantic=0.5199; sequence_match=0.1765,False,0.3871,False,top-3 avg score 0.3871 < final_threshold 0.6
property,madefromgrape,producedin,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4026; levenshtein=0.0769; semantic=0.4897; sequence_match=0.2609,False,0.3844,False,top-3 avg score 0.3844 < final_threshold 0.6
property,madefromgrape,hasbody,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.5089; sequence_match=0.2000,False,0.3836,False,top-3 avg score 0.3836 < final_threshold 0.6
property,madefromgrape,hasquality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4513; levenshtein=0.0769; semantic=0.5174; sequence_match=0.1739,False,0.3809,False,top-3 avg score 0.3809 < final_threshold 0.6
property,hasbody,producedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4952; levenshtein=0.1000; semantic=0.4054; sequence_match=0.2353,False,0.3787,False,top-3 avg score 0.3787 < final_threshold 0.6
property,madefromgrape,hasbouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.5551; sequence_match=0.1739,False,0.3761,False,top-3 avg score 0.3761 < final_threshold 0.6
property,hasbody,considerforselection,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4151; levenshtein=0.1000; semantic=0.5417; sequence_match=0.1481,False,0.3683,False,top-3 avg score 0.3683 < final_threshold 0.6
property,hasbody,usesgrape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.5558; sequence_match=0.1250,False,0.3663,False,top-3 avg score 0.3663 < final_threshold 0.6
property,haswinedescriptor,producedin,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4647; levenshtein=0.1765; semantic=0.4547; sequence_match=0.1481,False,0.3653,False,top-3 avg score 0.3653 < final_threshold 0.6
property,yearvalue,producedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.0000; semantic=0.4074; sequence_match=0.1053,False,0.3524,False,top-3 avg score 0.3524 < final_threshold 0.6
property,hasvintageyear,producedin,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3937; levenshtein=0.0714; semantic=0.4552; sequence_match=0.1667,False,0.3385,False,top-3 avg score 0.3385 < final_threshold 0.6
property,yearvalue,hasbody,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.4626; sequence_match=0.1250,False,0.3352,False,top-3 avg score 0.3352 < final_threshold 0.6
property,yearvalue,hasregion,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4444; levenshtein=0.1111; semantic=0.4076; sequence_match=0.1111,False,0.3211,False,top-3 avg score 0.3211 < final_threshold 0.6
property,madefromgrape,changeswith,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3901; levenshtein=0.0000; semantic=0.4062; sequence_match=0.1667,False,0.3210,False,top-3 avg score 0.3210 < final_threshold 0.6
property,yearvalue,changeswith,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3013; levenshtein=0.0909; semantic=0.4384; sequence_match=0.1000,False,0.2799,False,top-3 avg score 0.2799 < final_threshold 0.6
