prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has input,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9103; levenshtein=0.6154; semantic=0.8144; sequence_match=0.7619,False,0.8289,True,selected
ObjectProperty,has specified data input,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6462; levenshtein=0.3810; semantic=0.5346; sequence_match=0.4324,False,0.5377,False,top-3 avg score 0.5377 < final_threshold 0.7
ObjectProperty,has declared status,created data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7324; levenshtein=0.3529; semantic=0.4462; sequence_match=0.4286,False,0.5357,False,top-3 avg score 0.5357 < final_threshold 0.7
ObjectProperty,has function,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.5595; sequence_match=0.4167,False,0.5299,False,top-3 avg score 0.5299 < final_threshold 0.7
ObjectProperty,has declared status,has developer,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6708; levenshtein=0.3529; semantic=0.4352; sequence_match=0.4828,False,0.5296,False,top-3 avg score 0.5296 < final_threshold 0.7
ObjectProperty,has specified data output,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6686; levenshtein=0.3636; semantic=0.5515; sequence_match=0.3684,False,0.5295,False,top-3 avg score 0.5295 < final_threshold 0.7
ObjectProperty,has declared status,has documentation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6232; levenshtein=0.4706; semantic=0.4745; sequence_match=0.4848,False,0.5275,False,top-3 avg score 0.5275 < final_threshold 0.7
ObjectProperty,has output,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3000; semantic=0.6060; sequence_match=0.4211,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.7
ObjectProperty,has input,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5492; sequence_match=0.4000,False,0.5201,False,top-3 avg score 0.5201 < final_threshold 0.7
ObjectProperty,is encoded in,license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7453; levenshtein=0.2727; semantic=0.4806; sequence_match=0.3333,False,0.5197,False,top-3 avg score 0.5197 < final_threshold 0.7
ObjectProperty,has clause,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3333; semantic=0.4993; sequence_match=0.4167,False,0.5164,False,top-3 avg score 0.5164 < final_threshold 0.7
ObjectProperty,uses platform,can perform task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6627; levenshtein=0.2143; semantic=0.4991; sequence_match=0.3846,False,0.5155,False,top-3 avg score 0.5155 < final_threshold 0.7
ObjectProperty,is software for,can write format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.1429; semantic=0.4661; sequence_match=0.4444,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.7
ObjectProperty,has specified data input,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.2857; semantic=0.5230; sequence_match=0.3871,False,0.5134,False,top-3 avg score 0.5134 < final_threshold 0.7
ObjectProperty,has function,has developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5657; levenshtein=0.2500; semantic=0.6242; sequence_match=0.3478,False,0.5126,False,top-3 avg score 0.5126 < final_threshold 0.7
ObjectProperty,uses software,runs on platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.2857; semantic=0.5037; sequence_match=0.3846,False,0.5117,False,top-3 avg score 0.5117 < final_threshold 0.7
ObjectProperty,has specified data input,has activity status,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6630; levenshtein=0.3810; semantic=0.4905; sequence_match=0.3684,False,0.5115,False,top-3 avg score 0.5115 < final_threshold 0.7
ObjectProperty,has license,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5213; sequence_match=0.4000,False,0.5108,False,top-3 avg score 0.5108 < final_threshold 0.7
ObjectProperty,has specified data output,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6251; levenshtein=0.2727; semantic=0.5316; sequence_match=0.3750,False,0.5106,False,top-3 avg score 0.5106 < final_threshold 0.7
ObjectProperty,has license,has activity status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5954; levenshtein=0.2941; semantic=0.5576; sequence_match=0.3704,False,0.5078,False,top-3 avg score 0.5078 < final_threshold 0.7
ObjectProperty,has declared status,has version,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6510; levenshtein=0.3529; semantic=0.4203; sequence_match=0.4444,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.7
ObjectProperty,has output,has activity status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.5852; sequence_match=0.3077,False,0.5032,False,top-3 avg score 0.5032 < final_threshold 0.7
ObjectProperty,has function,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5929; levenshtein=0.3333; semantic=0.5215; sequence_match=0.3846,False,0.4997,False,top-3 avg score 0.4997 < final_threshold 0.7
ObjectProperty,has input,has activity status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.2941; semantic=0.5246; sequence_match=0.4000,False,0.4992,False,top-3 avg score 0.4992 < final_threshold 0.7
ObjectProperty,has version,has activity status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5954; levenshtein=0.2941; semantic=0.5301; sequence_match=0.3704,False,0.4986,False,top-3 avg score 0.4986 < final_threshold 0.7
ObjectProperty,uses platform,can export to format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5874; levenshtein=0.4118; semantic=0.4214; sequence_match=0.4828,False,0.4972,False,top-3 avg score 0.4972 < final_threshold 0.7
ObjectProperty,has interface,license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.2500; semantic=0.5311; sequence_match=0.3158,False,0.4969,False,top-3 avg score 0.4969 < final_threshold 0.7
ObjectProperty,uses platform,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.1667; semantic=0.5289; sequence_match=0.3333,False,0.4964,False,top-3 avg score 0.4964 < final_threshold 0.7
ObjectProperty,has version,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.2667; semantic=0.5396; sequence_match=0.3200,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.7
ObjectProperty,is encoded in,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6591; levenshtein=0.3125; semantic=0.4548; sequence_match=0.3704,False,0.4948,False,top-3 avg score 0.4948 < final_threshold 0.7
ObjectProperty,is software for,runs on platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5842; levenshtein=0.3571; semantic=0.4543; sequence_match=0.4444,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.7
ObjectProperty,uses software,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.0833; semantic=0.5394; sequence_match=0.3636,False,0.4917,False,top-3 avg score 0.4917 < final_threshold 0.7
ObjectProperty,has specified data input,implementation language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6223; levenshtein=0.0909; semantic=0.4788; sequence_match=0.3721,False,0.4911,False,top-3 avg score 0.4911 < final_threshold 0.7
ObjectProperty,has format specification,is compatible with,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6383; levenshtein=0.2727; semantic=0.4656; sequence_match=0.3684,False,0.4908,False,top-3 avg score 0.4908 < final_threshold 0.7
ObjectProperty,is alternative format of,runs on platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6302; levenshtein=0.2857; semantic=0.3827; sequence_match=0.4571,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.7
ObjectProperty,has output,can export to format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5499; levenshtein=0.2353; semantic=0.6123; sequence_match=0.3077,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.7
ObjectProperty,has specified data output,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6535; levenshtein=0.3182; semantic=0.4910; sequence_match=0.3243,False,0.4896,False,top-3 avg score 0.4896 < final_threshold 0.7
ObjectProperty,uses platform,can read format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5644; levenshtein=0.3077; semantic=0.4243; sequence_match=0.4800,False,0.4896,False,top-3 avg score 0.4896 < final_threshold 0.7
ObjectProperty,has interface,can export to format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6174; levenshtein=0.1765; semantic=0.5019; sequence_match=0.3448,False,0.488,False,top-3 avg score 0.4880 < final_threshold 0.7
ObjectProperty,has declared status,has software type,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6728; levenshtein=0.3529; semantic=0.3318; sequence_match=0.4375,False,0.4877,False,top-3 avg score 0.4877 < final_threshold 0.7
ObjectProperty,has input,runs on platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.5047; sequence_match=0.3636,False,0.4875,False,top-3 avg score 0.4875 < final_threshold 0.7
ObjectProperty,has specified data input,has software type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6615; levenshtein=0.3333; semantic=0.4669; sequence_match=0.3333,False,0.4873,False,top-3 avg score 0.4873 < final_threshold 0.7
ObjectProperty,has specified data output,has developer,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6351; levenshtein=0.3182; semantic=0.5053; sequence_match=0.2941,False,0.4862,False,top-3 avg score 0.4862 < final_threshold 0.7
ObjectProperty,uses platform,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.1667; semantic=0.5564; sequence_match=0.3636,False,0.4845,False,top-3 avg score 0.4845 < final_threshold 0.7
ObjectProperty,has input,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2667; semantic=0.5144; sequence_match=0.3478,False,0.4837,False,top-3 avg score 0.4837 < final_threshold 0.7
ObjectProperty,is encoded in,is compatible with,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5846; levenshtein=0.2500; semantic=0.4166; sequence_match=0.4444,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,uses platform,has documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5308; levenshtein=0.1875; semantic=0.5559; sequence_match=0.3571,False,0.4813,False,top-3 avg score 0.4813 < final_threshold 0.7
ObjectProperty,uses platform,can write format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5992; levenshtein=0.2857; semantic=0.4572; sequence_match=0.3846,False,0.4803,False,top-3 avg score 0.4803 < final_threshold 0.7
ObjectProperty,is software for,is compatible with,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5634; levenshtein=0.3125; semantic=0.5272; sequence_match=0.3448,False,0.4785,False,top-3 avg score 0.4785 < final_threshold 0.7
ObjectProperty,has interface,has activity status,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5698; levenshtein=0.3529; semantic=0.5099; sequence_match=0.3448,False,0.4775,False,top-3 avg score 0.4775 < final_threshold 0.7
ObjectProperty,uses software,has developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.0833; semantic=0.5522; sequence_match=0.3333,False,0.4767,False,top-3 avg score 0.4767 < final_threshold 0.7
ObjectProperty,is software for,can read format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5299; levenshtein=0.0769; semantic=0.4373; sequence_match=0.4615,False,0.4762,False,top-3 avg score 0.4762 < final_threshold 0.7
ObjectProperty,has function,can perform task,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5469; levenshtein=0.2143; semantic=0.6623; sequence_match=0.1600,False,0.4745,False,top-3 avg score 0.4745 < final_threshold 0.7
ObjectProperty,is alternative format of,can perform task,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6302; levenshtein=0.3333; semantic=0.3148; sequence_match=0.4571,False,0.4735,False,top-3 avg score 0.4735 < final_threshold 0.7
ObjectProperty,has clause,license,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.3333; semantic=0.5642; sequence_match=0.3750,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,has format specification,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5862; levenshtein=0.2273; semantic=0.4704; sequence_match=0.3529,False,0.4699,False,top-3 avg score 0.4699 < final_threshold 0.7
ObjectProperty,is encoded in,implementation language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5563; levenshtein=0.1818; semantic=0.5492; sequence_match=0.3030,False,0.4695,False,top-3 avg score 0.4695 < final_threshold 0.7
ObjectProperty,is software for,uses algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5299; levenshtein=0.1538; semantic=0.4907; sequence_match=0.3846,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,has specified data output,can export to format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5809; levenshtein=0.1818; semantic=0.5677; sequence_match=0.2564,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,has specified data input,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5913; levenshtein=0.2857; semantic=0.5098; sequence_match=0.3030,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.7
ObjectProperty,has specified data output,can write format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5358; levenshtein=0.2273; semantic=0.5859; sequence_match=0.2778,False,0.4665,False,top-3 avg score 0.4665 < final_threshold 0.7
ObjectProperty,has specified data input,is compatible with,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6004; levenshtein=0.1429; semantic=0.4708; sequence_match=0.3243,False,0.4652,False,top-3 avg score 0.4652 < final_threshold 0.7
ObjectProperty,is encoded in,uses algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5571; levenshtein=0.2308; semantic=0.5050; sequence_match=0.3333,False,0.4651,False,top-3 avg score 0.4651 < final_threshold 0.7
ObjectProperty,has function,implementation language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5505; levenshtein=0.2273; semantic=0.5418; sequence_match=0.3030,False,0.4651,False,top-3 avg score 0.4651 < final_threshold 0.7
ObjectProperty,has format specification,can perform task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5896; levenshtein=0.2273; semantic=0.4164; sequence_match=0.3889,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.7
ObjectProperty,has output,created data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.0909; semantic=0.5590; sequence_match=0.3000,False,0.4648,False,top-3 avg score 0.4648 < final_threshold 0.7
ObjectProperty,has declared status,has valid input,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6120; levenshtein=0.3529; semantic=0.4263; sequence_match=0.3333,False,0.4637,False,top-3 avg score 0.4637 < final_threshold 0.7
ObjectProperty,has specified data output,implementation language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5859; levenshtein=0.0909; semantic=0.4833; sequence_match=0.3182,False,0.4625,False,top-3 avg score 0.4625 < final_threshold 0.7
ObjectProperty,has format specification,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5763; levenshtein=0.2727; semantic=0.5252; sequence_match=0.2857,False,0.4624,False,top-3 avg score 0.4624 < final_threshold 0.7
ObjectProperty,has license,implementation language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5687; levenshtein=0.1818; semantic=0.5682; sequence_match=0.2500,False,0.4623,False,top-3 avg score 0.4623 < final_threshold 0.7
