gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
software,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.9093; sequence_match=0.8000,False,0.8809,True,selected
Not Free,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5640; sequence_match=0.4211,False,0.5429,False,top-3 avg score 0.5429 < final_threshold 0.6
algorithm,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.5617; sequence_match=0.4211,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.6
Free,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5121; sequence_match=0.3750,False,0.5179,False,top-3 avg score 0.5179 < final_threshold 0.6
Source code available,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5553; levenshtein=0.2105; semantic=0.6015; sequence_match=0.3871,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.6
application programming interface,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6323; levenshtein=0.1935; semantic=0.6159; sequence_match=0.2500,False,0.4994,False,top-3 avg score 0.4994 < final_threshold 0.6
CEL ASCII format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.4723; sequence_match=0.3478,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.6
Not Free,Data Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.5102; sequence_match=0.2353,False,0.4613,False,top-3 avg score 0.4613 < final_threshold 0.6
GIF,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.2222; semantic=0.5672; sequence_match=0.3333,False,0.4607,False,top-3 avg score 0.4607 < final_threshold 0.6
desktop graphical user interface,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5302; levenshtein=0.1724; semantic=0.5607; sequence_match=0.2632,False,0.4514,False,top-3 avg score 0.4514 < final_threshold 0.6
application programming interface,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5467; levenshtein=0.1935; semantic=0.5140; sequence_match=0.2927,False,0.4511,False,top-3 avg score 0.4511 < final_threshold 0.6
desktop graphical user interface,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.1724; semantic=0.4859; sequence_match=0.3077,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
version number,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.0769; semantic=0.5642; sequence_match=0.2727,False,0.4459,False,top-3 avg score 0.4459 < final_threshold 0.6
desktop graphical user interface,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5130; levenshtein=0.1724; semantic=0.6113; sequence_match=0.1951,False,0.4398,False,top-3 avg score 0.4398 < final_threshold 0.6
software,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5750; levenshtein=0.1000; semantic=0.5095; sequence_match=0.2222,False,0.4356,False,top-3 avg score 0.4356 < final_threshold 0.6
Not Free,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5507; sequence_match=0.2500,False,0.4344,False,top-3 avg score 0.4344 < final_threshold 0.6
software,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.6050; sequence_match=0.2353,False,0.4329,False,top-3 avg score 0.4329 < final_threshold 0.6
Source code available,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4971; levenshtein=0.1053; semantic=0.5797; sequence_match=0.2143,False,0.4303,False,top-3 avg score 0.4303 < final_threshold 0.6
Maintained,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5333; levenshtein=0.1000; semantic=0.4548; sequence_match=0.3000,False,0.4294,False,top-3 avg score 0.4294 < final_threshold 0.6
software interface,Data Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5611; levenshtein=0.2353; semantic=0.4894; sequence_match=0.1481,False,0.4286,False,top-3 avg score 0.4286 < final_threshold 0.6
data format specification,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5314; levenshtein=0.2174; semantic=0.5039; sequence_match=0.2500,False,0.4284,False,top-3 avg score 0.4284 < final_threshold 0.6
XML,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.6345; sequence_match=0.1667,False,0.4276,False,top-3 avg score 0.4276 < final_threshold 0.6
CEL binary format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4963; levenshtein=0.2000; semantic=0.4492; sequence_match=0.3333,False,0.4263,False,top-3 avg score 0.4263 < final_threshold 0.6
programming language,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4313; levenshtein=0.1053; semantic=0.6519; sequence_match=0.1935,False,0.4256,False,top-3 avg score 0.4256 < final_threshold 0.6
Development status,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5314; levenshtein=0.2941; semantic=0.4488; sequence_match=0.2963,False,0.4255,False,top-3 avg score 0.4255 < final_threshold 0.6
programming language,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4942; levenshtein=0.1053; semantic=0.6370; sequence_match=0.1429,False,0.4247,False,top-3 avg score 0.4247 < final_threshold 0.6
web service,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4741; levenshtein=0.1000; semantic=0.5885; sequence_match=0.2105,False,0.4244,False,top-3 avg score 0.4244 < final_threshold 0.6
Maintained,Algorithm,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5278; sequence_match=0.1053,False,0.4241,False,top-3 avg score 0.4241 < final_threshold 0.6
plain text file format,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5396; levenshtein=0.1579; semantic=0.4395; sequence_match=0.2857,False,0.4216,False,top-3 avg score 0.4216 < final_threshold 0.6
PROcess,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.0833; semantic=0.5006; sequence_match=0.2105,False,0.4209,False,top-3 avg score 0.4209 < final_threshold 0.6
function,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.2500; semantic=0.5235; sequence_match=0.3000,False,0.418,False,top-3 avg score 0.4180 < final_threshold 0.6
licence,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.5792; sequence_match=0.2500,False,0.4157,False,top-3 avg score 0.4157 < final_threshold 0.6
software interface,Algorithm,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4832; levenshtein=0.1765; semantic=0.5752; sequence_match=0.1538,False,0.4116,False,top-3 avg score 0.4116 < final_threshold 0.6
software developer organization,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.2069; semantic=0.4264; sequence_match=0.2564,False,0.4116,False,top-3 avg score 0.4116 < final_threshold 0.6
programming language,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5211; levenshtein=0.1053; semantic=0.5750; sequence_match=0.1379,False,0.4113,False,top-3 avg score 0.4113 < final_threshold 0.6
software developer organization,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4427; levenshtein=0.2069; semantic=0.4725; sequence_match=0.3158,False,0.4103,False,top-3 avg score 0.4103 < final_threshold 0.6
file rendering,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4103; levenshtein=0.1538; semantic=0.5358; sequence_match=0.2727,False,0.4063,False,top-3 avg score 0.4063 < final_threshold 0.6
data format specification,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5465; levenshtein=0.2174; semantic=0.4428; sequence_match=0.2286,False,0.406,False,top-3 avg score 0.4060 < final_threshold 0.6
function,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.6372; sequence_match=0.1176,False,0.4044,False,top-3 avg score 0.4044 < final_threshold 0.6
text editing,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3965; levenshtein=0.1667; semantic=0.5547; sequence_match=0.2609,False,0.404,False,top-3 avg score 0.4040 < final_threshold 0.6
version number,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4637; levenshtein=0.0000; semantic=0.5725; sequence_match=0.1600,False,0.3987,False,top-3 avg score 0.3987 < final_threshold 0.6
Source code available,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4544; levenshtein=0.1579; semantic=0.5343; sequence_match=0.2069,False,0.3985,False,top-3 avg score 0.3985 < final_threshold 0.6
.csv,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.0000; semantic=0.5808; sequence_match=0.1333,False,0.3954,False,top-3 avg score 0.3954 < final_threshold 0.6
Purchase cost,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4944; levenshtein=0.1667; semantic=0.4178; sequence_match=0.2727,False,0.395,False,top-3 avg score 0.3950 < final_threshold 0.6
file rendering,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4513; levenshtein=0.0769; semantic=0.5544; sequence_match=0.1739,False,0.3932,False,top-3 avg score 0.3932 < final_threshold 0.6
Development status,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4766; levenshtein=0.1176; semantic=0.4686; sequence_match=0.2308,False,0.392,False,top-3 avg score 0.3920 < final_threshold 0.6
Free,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4500; levenshtein=0.2000; semantic=0.4401; sequence_match=0.2857,False,0.3919,False,top-3 avg score 0.3919 < final_threshold 0.6
algorithm,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.1667; semantic=0.5582; sequence_match=0.1905,False,0.3915,False,top-3 avg score 0.3915 < final_threshold 0.6
function,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4472; levenshtein=0.0000; semantic=0.5046; sequence_match=0.2222,False,0.3913,False,top-3 avg score 0.3913 < final_threshold 0.6
web service,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4111; levenshtein=0.0833; semantic=0.5611; sequence_match=0.1818,False,0.3847,False,top-3 avg score 0.3847 < final_threshold 0.6
Purchase cost,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4778; levenshtein=0.2500; semantic=0.4249; sequence_match=0.2500,False,0.3842,False,top-3 avg score 0.3842 < final_threshold 0.6
version number,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.5734; sequence_match=0.1739,False,0.3821,False,top-3 avg score 0.3821 < final_threshold 0.6
data item,Software Tool,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4444; levenshtein=0.2500; semantic=0.4486; sequence_match=0.2000,False,0.381,False,top-3 avg score 0.3810 < final_threshold 0.6
application programming interface,Software Tool,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3978; levenshtein=0.0968; semantic=0.6480; sequence_match=0.0930,False,0.3809,False,top-3 avg score 0.3809 < final_threshold 0.6
file rendering,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3825; levenshtein=0.0769; semantic=0.5077; sequence_match=0.2400,False,0.3767,False,top-3 avg score 0.3767 < final_threshold 0.6
Free,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.1111; semantic=0.5213; sequence_match=0.1538,False,0.3763,False,top-3 avg score 0.3763 < final_threshold 0.6
text editing,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4606; levenshtein=0.0909; semantic=0.4748; sequence_match=0.1905,False,0.3753,False,top-3 avg score 0.3753 < final_threshold 0.6
CEL binary format,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4500; levenshtein=0.2000; semantic=0.4504; sequence_match=0.2222,False,0.3742,False,top-3 avg score 0.3742 < final_threshold 0.6
CEL ASCII format,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.0714; semantic=0.4075; sequence_match=0.1538,False,0.371,False,top-3 avg score 0.3710 < final_threshold 0.6
Open source software license,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4844; levenshtein=0.1200; semantic=0.4442; sequence_match=0.1765,False,0.3684,False,top-3 avg score 0.3684 < final_threshold 0.6
Development status,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4369; levenshtein=0.1176; semantic=0.5222; sequence_match=0.1379,False,0.3657,False,top-3 avg score 0.3657 < final_threshold 0.6
plain text file format,Software Tool,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5077; levenshtein=0.1579; semantic=0.4311; sequence_match=0.0645,False,0.3656,False,top-3 avg score 0.3656 < final_threshold 0.6
GIF,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4778; levenshtein=0.1000; semantic=0.4603; sequence_match=0.1538,False,0.364,False,top-3 avg score 0.3640 < final_threshold 0.6
software developer role,Data Format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5175; levenshtein=0.1905; semantic=0.3822; sequence_match=0.1290,False,0.3634,False,top-3 avg score 0.3634 < final_threshold 0.6
PROcess,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3360; levenshtein=0.1111; semantic=0.6273; sequence_match=0.1250,False,0.3628,False,top-3 avg score 0.3628 < final_threshold 0.6
GIF,Software Tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4722; levenshtein=0.0833; semantic=0.4638; sequence_match=0.1333,False,0.3565,False,top-3 avg score 0.3565 < final_threshold 0.6
licence,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4087; levenshtein=0.0833; semantic=0.5505; sequence_match=0.1053,False,0.3548,False,top-3 avg score 0.3548 < final_threshold 0.6
Maintained,Software Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4056; levenshtein=0.0833; semantic=0.4649; sequence_match=0.1818,False,0.3508,False,top-3 avg score 0.3508 < final_threshold 0.6
Purchase cost,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.0000; semantic=0.4318; sequence_match=0.1905,False,0.3494,False,top-3 avg score 0.3494 < final_threshold 0.6
text editing,Algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3013; levenshtein=0.1818; semantic=0.5236; sequence_match=0.2000,False,0.3416,False,top-3 avg score 0.3416 < final_threshold 0.6
Open source software license,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4333; levenshtein=0.1200; semantic=0.4183; sequence_match=0.1714,False,0.341,False,top-3 avg score 0.3410 < final_threshold 0.6
web service,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4000; levenshtein=0.0000; semantic=0.4984; sequence_match=0.1000,False,0.3328,False,top-3 avg score 0.3328 < final_threshold 0.6
PROcess,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4143; levenshtein=0.1000; semantic=0.4582; sequence_match=0.1176,False,0.3301,False,top-3 avg score 0.3301 < final_threshold 0.6
software developer role,Algorithm,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3783; levenshtein=0.1429; semantic=0.4672; sequence_match=0.1333,False,0.3295,False,top-3 avg score 0.3295 < final_threshold 0.6
XML,Data Format,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.1000; semantic=0.6208; sequence_match=0.1538,False,0.2915,False,top-3 avg score 0.2915 < final_threshold 0.6
XML,Software Tool,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0833; semantic=0.5661; sequence_match=0.1333,False,0.2609,False,top-3 avg score 0.2609 < final_threshold 0.6
.csv,Data Format,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.6138; sequence_match=0.0000,False,0.2046,False,top-3 avg score 0.2046 < final_threshold 0.6
.csv,Algorithm,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5920; sequence_match=0.0000,False,0.1973,False,top-3 avg score 0.1973 < final_threshold 0.6
licence,Data Format,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.4884; sequence_match=0.0000,False,0.1628,False,top-3 avg score 0.1628 < final_threshold 0.6
