prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has License,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has Version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,is Developed By,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,uses platform,runs On Platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7492; levenshtein=0.7143; semantic=0.8535; sequence_match=0.7692,False,0.7906,True,selected
ObjectProperty,has interface,has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.4167; semantic=0.6129; sequence_match=0.4545,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.7
ObjectProperty,has interface,has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6917; levenshtein=0.3333; semantic=0.5909; sequence_match=0.4444,False,0.5757,False,top-3 avg score 0.5757 < final_threshold 0.7
ObjectProperty,has specified data input,created Data In Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6395; levenshtein=0.3333; semantic=0.5846; sequence_match=0.5000,False,0.5747,False,top-3 avg score 0.5747 < final_threshold 0.7
ObjectProperty,has interface,has Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6389; levenshtein=0.3125; semantic=0.6548; sequence_match=0.4286,False,0.5741,False,top-3 avg score 0.5741 < final_threshold 0.7
ObjectProperty,has license,has Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3750; semantic=0.6009; sequence_match=0.4615,False,0.5736,False,top-3 avg score 0.5736 < final_threshold 0.7
ObjectProperty,has output,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.4000; semantic=0.5274; sequence_match=0.5000,False,0.5721,False,top-3 avg score 0.5721 < final_threshold 0.7
ObjectProperty,is alternative format of,has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6516; levenshtein=0.3810; semantic=0.5913; sequence_match=0.4444,False,0.5625,False,top-3 avg score 0.5625 < final_threshold 0.7
ObjectProperty,has version,has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5937; sequence_match=0.4800,False,0.5616,False,top-3 avg score 0.5616 < final_threshold 0.7
ObjectProperty,has format specification,supports Input Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6146; levenshtein=0.2273; semantic=0.7239; sequence_match=0.3415,False,0.56,False,top-3 avg score 0.5600 < final_threshold 0.7
ObjectProperty,has clause,has Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6908; levenshtein=0.3125; semantic=0.5889; sequence_match=0.4000,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has output,compatible With Output Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4798; levenshtein=0.3182; semantic=0.7454; sequence_match=0.4516,False,0.5589,False,top-3 avg score 0.5589 < final_threshold 0.7
ObjectProperty,has specified data output,compatible With Output Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5991; levenshtein=0.3636; semantic=0.6656; sequence_match=0.4091,False,0.5579,False,top-3 avg score 0.5579 < final_threshold 0.7
ObjectProperty,has license,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.4000; semantic=0.5650; sequence_match=0.4800,False,0.5573,False,top-3 avg score 0.5573 < final_threshold 0.7
ObjectProperty,has input,has Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3125; semantic=0.5974; sequence_match=0.4167,False,0.5556,False,top-3 avg score 0.5556 < final_threshold 0.7
ObjectProperty,has input,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3333; semantic=0.5772; sequence_match=0.4348,False,0.5549,False,top-3 avg score 0.5549 < final_threshold 0.7
ObjectProperty,uses platform,performs Task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6852; levenshtein=0.0000; semantic=0.5593; sequence_match=0.4167,False,0.5537,False,top-3 avg score 0.5537 < final_threshold 0.7
ObjectProperty,has clause,has Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6198; sequence_match=0.4211,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,has input,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.5690; sequence_match=0.4444,False,0.5517,False,top-3 avg score 0.5517 < final_threshold 0.7
ObjectProperty,has function,has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.3636; semantic=0.6131; sequence_match=0.3810,False,0.5512,False,top-3 avg score 0.5512 < final_threshold 0.7
ObjectProperty,has specified data output,has Export Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6071; levenshtein=0.3182; semantic=0.6595; sequence_match=0.3784,False,0.5483,False,top-3 avg score 0.5483 < final_threshold 0.7
ObjectProperty,has output,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.4000; semantic=0.6038; sequence_match=0.4211,False,0.5478,False,top-3 avg score 0.5478 < final_threshold 0.7
ObjectProperty,has specified data output,supports Output Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5763; levenshtein=0.1818; semantic=0.6831; sequence_match=0.3810,False,0.5468,False,top-3 avg score 0.5468 < final_threshold 0.7
ObjectProperty,has format specification,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6707; levenshtein=0.2727; semantic=0.5358; sequence_match=0.4324,False,0.5463,False,top-3 avg score 0.5463 < final_threshold 0.7
ObjectProperty,has specified data output,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6586; levenshtein=0.3636; semantic=0.5385; sequence_match=0.4375,False,0.5449,False,top-3 avg score 0.5449 < final_threshold 0.7
ObjectProperty,has output,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.5879; sequence_match=0.4167,False,0.5447,False,top-3 avg score 0.5447 < final_threshold 0.7
ObjectProperty,has specified data input,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5283; sequence_match=0.4516,False,0.5412,False,top-3 avg score 0.5412 < final_threshold 0.7
ObjectProperty,has format specification,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.3182; semantic=0.5056; sequence_match=0.4375,False,0.5409,False,top-3 avg score 0.5409 < final_threshold 0.7
ObjectProperty,has specified data input,has Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6462; levenshtein=0.3810; semantic=0.5346; sequence_match=0.4324,False,0.5377,False,top-3 avg score 0.5377 < final_threshold 0.7
ObjectProperty,has format specification,supports Output Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.7612; sequence_match=0.3333,False,0.5376,False,top-3 avg score 0.5376 < final_threshold 0.7
ObjectProperty,has function,has Algorithm Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5429; levenshtein=0.3333; semantic=0.5506; sequence_match=0.5143,False,0.5359,False,top-3 avg score 0.5359 < final_threshold 0.7
ObjectProperty,has input,has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3333; semantic=0.5151; sequence_match=0.4348,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,is alternative format of,supports Input Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6232; levenshtein=0.3333; semantic=0.5776; sequence_match=0.4000,False,0.5336,False,top-3 avg score 0.5336 < final_threshold 0.7
ObjectProperty,has output,supports Input Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6202; levenshtein=0.2632; semantic=0.5494; sequence_match=0.4286,False,0.5327,False,top-3 avg score 0.5327 < final_threshold 0.7
ObjectProperty,has specified data input,supports Input Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5494; levenshtein=0.1905; semantic=0.6973; sequence_match=0.3500,False,0.5322,False,top-3 avg score 0.5322 < final_threshold 0.7
ObjectProperty,has specified data input,has Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6177; levenshtein=0.2083; semantic=0.5327; sequence_match=0.4444,False,0.5316,False,top-3 avg score 0.5316 < final_threshold 0.7
ObjectProperty,uses platform,supports Input Format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5931; levenshtein=0.3684; semantic=0.4833; sequence_match=0.5161,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.7
ObjectProperty,implements,has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.3000; semantic=0.5676; sequence_match=0.4000,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.7
ObjectProperty,has format specification,created Data In Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5590; levenshtein=0.1364; semantic=0.6889; sequence_match=0.3415,False,0.5298,False,top-3 avg score 0.5298 < final_threshold 0.7
ObjectProperty,has specified data output,has Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6686; levenshtein=0.3636; semantic=0.5515; sequence_match=0.3684,False,0.5295,False,top-3 avg score 0.5295 < final_threshold 0.7
ObjectProperty,uses platform,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.5444; sequence_match=0.4545,False,0.5293,False,top-3 avg score 0.5293 < final_threshold 0.7
ObjectProperty,is software for,has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6530; levenshtein=0.2667; semantic=0.5018; sequence_match=0.4286,False,0.5278,False,top-3 avg score 0.5278 < final_threshold 0.7
ObjectProperty,has declared status,has Documentation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6232; levenshtein=0.4706; semantic=0.4745; sequence_match=0.4848,False,0.5275,False,top-3 avg score 0.5275 < final_threshold 0.7
ObjectProperty,has output,has Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3000; semantic=0.6060; sequence_match=0.4211,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.7
ObjectProperty,has version,has Algorithm Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5611; levenshtein=0.2917; semantic=0.5974; sequence_match=0.4118,False,0.5234,False,top-3 avg score 0.5234 < final_threshold 0.7
ObjectProperty,uses platform,created Data In Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6506; levenshtein=0.3684; semantic=0.4572; sequence_match=0.4516,False,0.5198,False,top-3 avg score 0.5198 < final_threshold 0.7
ObjectProperty,is alternative format of,supports Output Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5398; levenshtein=0.3333; semantic=0.5782; sequence_match=0.4390,False,0.519,False,top-3 avg score 0.5190 < final_threshold 0.7
ObjectProperty,has clause,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3333; semantic=0.4993; sequence_match=0.4167,False,0.5164,False,top-3 avg score 0.5164 < final_threshold 0.7
ObjectProperty,uses platform,supports Output Format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5852; levenshtein=0.3500; semantic=0.4556; sequence_match=0.5000,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.7
ObjectProperty,has specified data input,has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.2857; semantic=0.5230; sequence_match=0.3871,False,0.5134,False,top-3 avg score 0.5134 < final_threshold 0.7
ObjectProperty,uses software,runs On Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.2857; semantic=0.5037; sequence_match=0.3846,False,0.5117,False,top-3 avg score 0.5117 < final_threshold 0.7
ObjectProperty,uses software,has Feature,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6659; levenshtein=0.3333; semantic=0.5344; sequence_match=0.2727,False,0.5112,False,top-3 avg score 0.5112 < final_threshold 0.7
ObjectProperty,has license,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5213; sequence_match=0.4000,False,0.5108,False,top-3 avg score 0.5108 < final_threshold 0.7
ObjectProperty,has specified data output,has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6251; levenshtein=0.2727; semantic=0.5316; sequence_match=0.3750,False,0.5106,False,top-3 avg score 0.5106 < final_threshold 0.7
ObjectProperty,is software for,has Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6316; levenshtein=0.2308; semantic=0.4637; sequence_match=0.4348,False,0.51,False,top-3 avg score 0.5100 < final_threshold 0.7
ObjectProperty,is encoded in,implemented In Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6089; levenshtein=0.2857; semantic=0.4793; sequence_match=0.4375,False,0.5086,False,top-3 avg score 0.5086 < final_threshold 0.7
ObjectProperty,has function,has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5929; levenshtein=0.3333; semantic=0.5460; sequence_match=0.3846,False,0.5078,False,top-3 avg score 0.5078 < final_threshold 0.7
ObjectProperty,uses software,has Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5222; levenshtein=0.2667; semantic=0.5565; sequence_match=0.4444,False,0.5077,False,top-3 avg score 0.5077 < final_threshold 0.7
ObjectProperty,uses software,has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.3333; semantic=0.5150; sequence_match=0.3704,False,0.507,False,top-3 avg score 0.5070 < final_threshold 0.7
ObjectProperty,is encoded in,is Developed By,jaro_winkler+levenshtein+semantic,jaro_winkler=0.6297; levenshtein=0.4615; semantic=0.4296; sequence_match=0.4167,False,0.507,False,top-3 avg score 0.5070 < final_threshold 0.7
ObjectProperty,has function,has Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5434; levenshtein=0.2667; semantic=0.5900; sequence_match=0.3846,False,0.506,False,top-3 avg score 0.5060 < final_threshold 0.7
ObjectProperty,has declared status,has Version,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6510; levenshtein=0.3529; semantic=0.4203; sequence_match=0.4444,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.7
ObjectProperty,has declared status,has Export Format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6263; levenshtein=0.3529; semantic=0.3814; sequence_match=0.5000,False,0.5026,False,top-3 avg score 0.5026 < final_threshold 0.7
ObjectProperty,has license,has Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.2500; semantic=0.5253; sequence_match=0.4118,False,0.5022,False,top-3 avg score 0.5022 < final_threshold 0.7
ObjectProperty,has function,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5929; levenshtein=0.3333; semantic=0.5215; sequence_match=0.3846,False,0.4997,False,top-3 avg score 0.4997 < final_threshold 0.7
ObjectProperty,has interface,supports Input Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5553; levenshtein=0.2632; semantic=0.5528; sequence_match=0.3871,False,0.4984,False,top-3 avg score 0.4984 < final_threshold 0.7
ObjectProperty,has input,has Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2083; semantic=0.5716; sequence_match=0.3125,False,0.4984,False,top-3 avg score 0.4984 < final_threshold 0.7
ObjectProperty,has specified data output,has Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5985; levenshtein=0.2500; semantic=0.5053; sequence_match=0.3913,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.7
ObjectProperty,has declared status,has License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6735; levenshtein=0.3529; semantic=0.4450; sequence_match=0.3704,False,0.4963,False,top-3 avg score 0.4963 < final_threshold 0.7
ObjectProperty,uses platform,has Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5667; levenshtein=0.2667; semantic=0.5505; sequence_match=0.3704,False,0.4959,False,top-3 avg score 0.4959 < final_threshold 0.7
ObjectProperty,has specified data input,has Export Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6021; levenshtein=0.2857; semantic=0.4960; sequence_match=0.3889,False,0.4957,False,top-3 avg score 0.4957 < final_threshold 0.7
ObjectProperty,has version,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.2667; semantic=0.5396; sequence_match=0.3200,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.7
ObjectProperty,has output,has Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5880; levenshtein=0.2500; semantic=0.5347; sequence_match=0.3636,False,0.4954,False,top-3 avg score 0.4954 < final_threshold 0.7
ObjectProperty,is encoded in,has Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6591; levenshtein=0.3125; semantic=0.4548; sequence_match=0.3704,False,0.4948,False,top-3 avg score 0.4948 < final_threshold 0.7
ObjectProperty,is software for,runs On Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5842; levenshtein=0.3571; semantic=0.4543; sequence_match=0.4444,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.7
ObjectProperty,uses software,has Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.0833; semantic=0.5394; sequence_match=0.3636,False,0.4917,False,top-3 avg score 0.4917 < final_threshold 0.7
ObjectProperty,is alternative format of,runs On Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6302; levenshtein=0.2857; semantic=0.3827; sequence_match=0.4571,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.7
ObjectProperty,has interface,performs Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.0833; semantic=0.5800; sequence_match=0.3333,False,0.4896,False,top-3 avg score 0.4896 < final_threshold 0.7
ObjectProperty,has specified data output,has Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6535; levenshtein=0.3182; semantic=0.4910; sequence_match=0.3243,False,0.4896,False,top-3 avg score 0.4896 < final_threshold 0.7
ObjectProperty,is software for,supports Output Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5885; levenshtein=0.2500; semantic=0.4527; sequence_match=0.4242,False,0.4885,False,top-3 avg score 0.4885 < final_threshold 0.7
ObjectProperty,has output,has License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3000; semantic=0.6033; sequence_match=0.3158,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.7
ObjectProperty,has declared status,has Software Type,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6728; levenshtein=0.3529; semantic=0.3318; sequence_match=0.4375,False,0.4877,False,top-3 avg score 0.4877 < final_threshold 0.7
