prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has period,has tariff,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5079; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,hasGeometry,composes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.1818; semantic=0.5928; sequence_match=0.3158,False,0.4544,False,top-3 avg score 0.4544 < final_threshold 0.7
ObjectProperty,applies to,is tariff of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.1000; semantic=0.4951; sequence_match=0.4211,False,0.4498,False,top-3 avg score 0.4498 < final_threshold 0.7
ObjectProperty,has key performance indicator,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5871; levenshtein=0.1923; semantic=0.4547; sequence_match=0.2857,False,0.4425,False,top-3 avg score 0.4425 < final_threshold 0.7
ObjectProperty,applies to,composes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.2222; semantic=0.5102; sequence_match=0.3529,False,0.4405,False,top-3 avg score 0.4405 < final_threshold 0.7
ObjectProperty,is measured by device,is tariff of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5407; levenshtein=0.2222; semantic=0.4220; sequence_match=0.3571,False,0.44,False,top-3 avg score 0.4400 < final_threshold 0.7
ObjectProperty,applies to,has tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.5023; sequence_match=0.3333,False,0.439,False,top-3 avg score 0.4390 < final_threshold 0.7
ObjectProperty,has billing period,is tariff of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5375; levenshtein=0.1875; semantic=0.4676; sequence_match=0.3077,False,0.4376,False,top-3 avg score 0.4376 < final_threshold 0.7
ObjectProperty,has phenomenon time,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5033; levenshtein=0.2353; semantic=0.4218; sequence_match=0.3846,False,0.4366,False,top-3 avg score 0.4366 < final_threshold 0.7
ObjectProperty,makes measurement,has tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5648; levenshtein=0.2500; semantic=0.4925; sequence_match=0.2400,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.7
ObjectProperty,applies to,is composed of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5241; levenshtein=0.1667; semantic=0.4766; sequence_match=0.2857,False,0.4288,False,top-3 avg score 0.4288 < final_threshold 0.7
ObjectProperty,has property,composes,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5379; levenshtein=0.2727; semantic=0.4751; sequence_match=0.2105,False,0.4286,False,top-3 avg score 0.4286 < final_threshold 0.7
ObjectProperty,has phenomenon time,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5899; levenshtein=0.1765; semantic=0.4540; sequence_match=0.2400,False,0.428,False,top-3 avg score 0.4280 < final_threshold 0.7
ObjectProperty,has property,is tariff of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5045; levenshtein=0.0909; semantic=0.4783; sequence_match=0.2857,False,0.4228,False,top-3 avg score 0.4228 < final_threshold 0.7
ObjectProperty,has property,is composed of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4823; levenshtein=0.1667; semantic=0.4347; sequence_match=0.3478,False,0.4216,False,top-3 avg score 0.4216 < final_threshold 0.7
ObjectProperty,has measurement,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.2143; semantic=0.4696; sequence_match=0.2727,False,0.4181,False,top-3 avg score 0.4181 < final_threshold 0.7
ObjectProperty,makes measurement,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5000; levenshtein=0.1875; semantic=0.4828; sequence_match=0.2500,False,0.4109,False,top-3 avg score 0.4109 < final_threshold 0.7
ObjectProperty,has phenomenon time,is composed of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5065; levenshtein=0.2353; semantic=0.3636; sequence_match=0.3448,False,0.405,False,top-3 avg score 0.4050 < final_threshold 0.7
ObjectProperty,is measured by device,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.4284; sequence_match=0.2963,False,0.399,False,top-3 avg score 0.3990 < final_threshold 0.7
ObjectProperty,has billing period,is composed of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5139; levenshtein=0.1875; semantic=0.3892; sequence_match=0.2857,False,0.3963,False,top-3 avg score 0.3963 < final_threshold 0.7
ObjectProperty,feature is measured by device,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5431; levenshtein=0.2000; semantic=0.4084; sequence_match=0.2353,False,0.3956,False,top-3 avg score 0.3956 < final_threshold 0.7
ObjectProperty,has period,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.4637; sequence_match=0.2353,False,0.3935,False,top-3 avg score 0.3935 < final_threshold 0.7
ObjectProperty,has duration,is composed of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4495; levenshtein=0.0833; semantic=0.4678; sequence_match=0.2609,False,0.3927,False,top-3 avg score 0.3927 < final_threshold 0.7
ObjectProperty,has measurement,is composed of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4563; levenshtein=0.1429; semantic=0.4773; sequence_match=0.2308,False,0.3882,False,top-3 avg score 0.3882 < final_threshold 0.7
ObjectProperty,feature is measured by device,is composed of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4783; levenshtein=0.1600; semantic=0.3619; sequence_match=0.3243,False,0.3881,False,top-3 avg score 0.3881 < final_threshold 0.7
ObjectProperty,feature is measured by device,is tariff of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5022; levenshtein=0.1600; semantic=0.3606; sequence_match=0.2857,False,0.3829,False,top-3 avg score 0.3829 < final_threshold 0.7
ObjectProperty,is measured by device,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.1667; semantic=0.4066; sequence_match=0.2308,False,0.376,False,top-3 avg score 0.3760 < final_threshold 0.7
ObjectProperty,measurement made by,has tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4766; levenshtein=0.2353; semantic=0.4140; sequence_match=0.2308,False,0.3753,False,top-3 avg score 0.3753 < final_threshold 0.7
ObjectProperty,has key performance indicator,is tariff of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4991; levenshtein=0.1538; semantic=0.3817; sequence_match=0.2222,False,0.3677,False,top-3 avg score 0.3677 < final_threshold 0.7
ObjectProperty,makes measurement,is composed of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4444; levenshtein=0.1875; semantic=0.4667; sequence_match=0.1429,False,0.3662,False,top-3 avg score 0.3662 < final_threshold 0.7
ObjectProperty,measurement made by,is composed of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4395; levenshtein=0.1765; semantic=0.4491; sequence_match=0.2069,False,0.3652,False,top-3 avg score 0.3652 < final_threshold 0.7
ObjectProperty,isKPIOf,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.4481; sequence_match=0.1333,False,0.3644,False,top-3 avg score 0.3644 < final_threshold 0.7
ObjectProperty,has key performance indicator,is composed of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4747; levenshtein=0.2308; semantic=0.3789; sequence_match=0.1579,False,0.3614,False,top-3 avg score 0.3614 < final_threshold 0.7
ObjectProperty,measurement made by,composes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4060; levenshtein=0.1176; semantic=0.4382; sequence_match=0.2400,False,0.3614,False,top-3 avg score 0.3614 < final_threshold 0.7
ObjectProperty,has measurement,is tariff of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3937; levenshtein=0.2143; semantic=0.4675; sequence_match=0.1667,False,0.3585,False,top-3 avg score 0.3585 < final_threshold 0.7
ObjectProperty,hasGeometry,is tariff of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4131; levenshtein=0.0909; semantic=0.4535; sequence_match=0.1905,False,0.3524,False,top-3 avg score 0.3524 < final_threshold 0.7
ObjectProperty,makes measurement,is tariff of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3847; levenshtein=0.1875; semantic=0.4629; sequence_match=0.1538,False,0.345,False,top-3 avg score 0.3450 < final_threshold 0.7
ObjectProperty,has key performance indicator,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4724; levenshtein=0.1154; semantic=0.4150; sequence_match=0.1176,False,0.335,False,top-3 avg score 0.3350 < final_threshold 0.7
ObjectProperty,has duration,composes,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4053; levenshtein=0.0000; semantic=0.4678; sequence_match=0.1053,False,0.3261,False,top-3 avg score 0.3261 < final_threshold 0.7
ObjectProperty,feature is measured by device,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4700; levenshtein=0.1200; semantic=0.3776; sequence_match=0.1212,False,0.3229,False,top-3 avg score 0.3229 < final_threshold 0.7
ObjectProperty,measurement made by,is tariff of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3810; levenshtein=0.0588; semantic=0.4180; sequence_match=0.1481,False,0.3157,False,top-3 avg score 0.3157 < final_threshold 0.7
ObjectProperty,has billing period,composes,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4097; levenshtein=0.0625; semantic=0.3525; sequence_match=0.1667,False,0.3096,False,top-3 avg score 0.3096 < final_threshold 0.7
ObjectProperty,has phenomenon time,is tariff of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.3810; levenshtein=0.1176; semantic=0.3776; sequence_match=0.1481,False,0.3023,False,top-3 avg score 0.3023 < final_threshold 0.7
DatatypeProperty,has hardware version,hardware version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9200; levenshtein=0.8333; semantic=0.9394; sequence_match=0.9091,False,0.9228,True,selected
DatatypeProperty,has fabrication number,fabrication number,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8912; levenshtein=0.8500; semantic=0.9316; sequence_match=0.9189,False,0.9139,True,selected
DatatypeProperty,has firmware version,firmware version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8778; levenshtein=0.8333; semantic=0.9220; sequence_match=0.9091,False,0.903,True,selected
DatatypeProperty,has manufacturer,manufacturer,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8500; levenshtein=0.8000; semantic=0.9217; sequence_match=0.8889,False,0.8869,True,selected
DatatypeProperty,has version,version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8048; levenshtein=0.7000; semantic=0.9101; sequence_match=0.8235,False,0.8461,True,selected
DatatypeProperty,has model,model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8750; levenshtein=0.6250; semantic=0.8790; sequence_match=0.7692,False,0.8411,True,selected
DatatypeProperty,operates at radio frequency,radio frequency,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7421; levenshtein=0.5833; semantic=0.8223; sequence_match=0.7368,False,0.7671,True,selected
DatatypeProperty,has firmware version,hardware version,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8277; levenshtein=0.7778; semantic=0.7865; sequence_match=0.8485,False,0.8209,False,gold already mapped to 'firmware version'
DatatypeProperty,has version,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8370; levenshtein=0.6000; semantic=0.7946; sequence_match=0.7200,False,0.7839,False,gold already mapped to 'version'
DatatypeProperty,has hardware version,firmware version,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6667; semantic=0.7055; sequence_match=0.7273,False,0.7424,False,gold already mapped to 'hardware version'
DatatypeProperty,has version,firmware version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6528; levenshtein=0.5333; semantic=0.7954; sequence_match=0.6400,False,0.6961,False,top-3 avg score 0.6961 < final_threshold 0.7
DatatypeProperty,has start timestamp,start date,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6615; levenshtein=0.3529; semantic=0.7174; sequence_match=0.5385,False,0.6391,False,top-3 avg score 0.6391 < final_threshold 0.7
DatatypeProperty,has firmware version,version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4206; levenshtein=0.3889; semantic=0.8183; sequence_match=0.5600,False,0.5996,False,top-3 avg score 0.5996 < final_threshold 0.7
DatatypeProperty,requires power,power,semantic+sequence_match+levenshtein,jaro_winkler=0.3513; levenshtein=0.3846; semantic=0.8094; sequence_match=0.5556,False,0.5832,False,top-3 avg score 0.5832 < final_threshold 0.7
DatatypeProperty,has fabrication number,manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6593; levenshtein=0.3500; semantic=0.6733; sequence_match=0.3750,False,0.5692,False,top-3 avg score 0.5692 < final_threshold 0.7
DatatypeProperty,has hardware version,version,semantic+sequence_match+levenshtein,jaro_winkler=0.2989; levenshtein=0.3889; semantic=0.7456; sequence_match=0.5600,False,0.5648,False,top-3 avg score 0.5648 < final_threshold 0.7
DatatypeProperty,requires power,radio frequency,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6039; levenshtein=0.2143; semantic=0.6045; sequence_match=0.3704,False,0.5263,False,top-3 avg score 0.5263 < final_threshold 0.7
DatatypeProperty,has manufacturer,fabrication number,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5617; levenshtein=0.2353; semantic=0.6419; sequence_match=0.3750,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
DatatypeProperty,has version,duration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.3000; semantic=0.4850; sequence_match=0.4444,False,0.5237,False,top-3 avg score 0.5237 < final_threshold 0.7
DatatypeProperty,has model,hardware version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2000; semantic=0.6050; sequence_match=0.3478,False,0.5139,False,top-3 avg score 0.5139 < final_threshold 0.7
DatatypeProperty,has firmware version,radio frequency,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6303; levenshtein=0.2222; semantic=0.5304; sequence_match=0.3750,False,0.5119,False,top-3 avg score 0.5119 < final_threshold 0.7
DatatypeProperty,has manufacturer,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1333; semantic=0.5185; sequence_match=0.4000,False,0.5062,False,top-3 avg score 0.5062 < final_threshold 0.7
DatatypeProperty,has firmware version,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1111; semantic=0.5613; sequence_match=0.3429,False,0.5018,False,top-3 avg score 0.5018 < final_threshold 0.7
DatatypeProperty,has firmware version,manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5146; levenshtein=0.2222; semantic=0.5905; sequence_match=0.4000,False,0.5017,False,top-3 avg score 0.5017 < final_threshold 0.7
DatatypeProperty,has fabrication number,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.2500; semantic=0.5397; sequence_match=0.3429,False,0.5016,False,top-3 avg score 0.5016 < final_threshold 0.7
DatatypeProperty,requires power,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6329; levenshtein=0.1333; semantic=0.5655; sequence_match=0.2857,False,0.4947,False,top-3 avg score 0.4947 < final_threshold 0.7
DatatypeProperty,requires power,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.0769; semantic=0.4778; sequence_match=0.4000,False,0.492,False,top-3 avg score 0.4920 < final_threshold 0.7
DatatypeProperty,has hardware version,start date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.2778; semantic=0.4757; sequence_match=0.4444,False,0.4919,False,top-3 avg score 0.4919 < final_threshold 0.7
DatatypeProperty,has hardware version,radio frequency,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5820; levenshtein=0.1667; semantic=0.5167; sequence_match=0.3750,False,0.4912,False,top-3 avg score 0.4912 < final_threshold 0.7
DatatypeProperty,has firmware version,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.3333; semantic=0.4531; sequence_match=0.4000,False,0.4911,False,top-3 avg score 0.4911 < final_threshold 0.7
DatatypeProperty,requires power,firmware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6530; levenshtein=0.1333; semantic=0.5130; sequence_match=0.2857,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.7
DatatypeProperty,has version,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2353; semantic=0.4719; sequence_match=0.3704,False,0.4801,False,top-3 avg score 0.4801 < final_threshold 0.7
DatatypeProperty,has timestamp,start date,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2500; semantic=0.5918; sequence_match=0.2857,False,0.4777,False,top-3 avg score 0.4777 < final_threshold 0.7
DatatypeProperty,has version,tariff period,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5722; levenshtein=0.3333; semantic=0.4053; sequence_match=0.4545,False,0.4773,False,top-3 avg score 0.4773 < final_threshold 0.7
DatatypeProperty,requires power,version,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5663; levenshtein=0.3077; semantic=0.5485; sequence_match=0.2000,False,0.4742,False,top-3 avg score 0.4742 < final_threshold 0.7
DatatypeProperty,has hardware version,manufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4981; levenshtein=0.2222; semantic=0.5880; sequence_match=0.3333,False,0.4732,False,top-3 avg score 0.4732 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.2083; semantic=0.4784; sequence_match=0.3077,False,0.4713,False,top-3 avg score 0.4713 < final_threshold 0.7
DatatypeProperty,has model,start date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.1111; semantic=0.4957; sequence_match=0.3529,False,0.4712,False,top-3 avg score 0.4712 < final_threshold 0.7
DatatypeProperty,has fabrication number,version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.2000; semantic=0.5221; sequence_match=0.2963,False,0.4688,False,top-3 avg score 0.4688 < final_threshold 0.7
DatatypeProperty,has fabrication number,duration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5722; levenshtein=0.3000; semantic=0.4011; sequence_match=0.4286,False,0.4673,False,top-3 avg score 0.4673 < final_threshold 0.7
DatatypeProperty,has timestamp,duration,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5417; levenshtein=0.0833; semantic=0.5591; sequence_match=0.3000,False,0.4669,False,top-3 avg score 0.4669 < final_threshold 0.7
DatatypeProperty,has fabrication number,firmware version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.1500; semantic=0.5586; sequence_match=0.2857,False,0.4666,False,top-3 avg score 0.4666 < final_threshold 0.7
DatatypeProperty,has model,version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.5892; sequence_match=0.2667,False,0.4559,False,top-3 avg score 0.4559 < final_threshold 0.7
DatatypeProperty,has hardware version,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5622; levenshtein=0.3333; semantic=0.4020; sequence_match=0.4000,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
DatatypeProperty,has version,geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5045; levenshtein=0.2727; semantic=0.4785; sequence_match=0.3810,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
DatatypeProperty,has timestamp,hardware version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5167; levenshtein=0.2000; semantic=0.5499; sequence_match=0.2963,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.7
DatatypeProperty,has version,radio frequency,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5651; levenshtein=0.2143; semantic=0.4607; sequence_match=0.3333,False,0.4531,False,top-3 avg score 0.4531 < final_threshold 0.7
DatatypeProperty,has fabrication number,start date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5352; levenshtein=0.3000; semantic=0.4766; sequence_match=0.3448,False,0.4522,False,top-3 avg score 0.4522 < final_threshold 0.7
DatatypeProperty,has start timestamp,hardware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5309; levenshtein=0.2941; semantic=0.5126; sequence_match=0.3125,False,0.452,False,top-3 avg score 0.4520 < final_threshold 0.7
DatatypeProperty,has firmware version,billing date period,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5050; levenshtein=0.3889; semantic=0.4578; sequence_match=0.3429,False,0.4506,False,top-3 avg score 0.4506 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,firmware version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5944; levenshtein=0.2083; semantic=0.4456; sequence_match=0.3077,False,0.4492,False,top-3 avg score 0.4492 < final_threshold 0.7
DatatypeProperty,has firmware version,start date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2222; semantic=0.5020; sequence_match=0.2963,False,0.4476,False,top-3 avg score 0.4476 < final_threshold 0.7
DatatypeProperty,requires power,duration,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5357; sequence_match=0.2857,False,0.4469,False,top-3 avg score 0.4469 < final_threshold 0.7
DatatypeProperty,has model,power,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.4827; sequence_match=0.3077,False,0.4468,False,top-3 avg score 0.4468 < final_threshold 0.7
DatatypeProperty,has timestamp,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5036; levenshtein=0.1765; semantic=0.4874; sequence_match=0.3448,False,0.4453,False,top-3 avg score 0.4453 < final_threshold 0.7
DatatypeProperty,has start timestamp,duration,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4951; levenshtein=0.1765; semantic=0.5920; sequence_match=0.2400,False,0.4424,False,top-3 avg score 0.4424 < final_threshold 0.7
DatatypeProperty,has fabrication number,geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5040; levenshtein=0.3000; semantic=0.4356; sequence_match=0.3871,False,0.4422,False,top-3 avg score 0.4422 < final_threshold 0.7
DatatypeProperty,has hardware version,geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5286; levenshtein=0.2222; semantic=0.5204; sequence_match=0.2759,False,0.4416,False,top-3 avg score 0.4416 < final_threshold 0.7
DatatypeProperty,requires power,manufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5470; levenshtein=0.2308; semantic=0.5376; sequence_match=0.2400,False,0.4415,False,top-3 avg score 0.4415 < final_threshold 0.7
DatatypeProperty,has fabrication number,billing date,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5669; levenshtein=0.2500; semantic=0.4326; sequence_match=0.3226,False,0.4407,False,top-3 avg score 0.4407 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5075; levenshtein=0.2500; semantic=0.4255; sequence_match=0.3871,False,0.44,False,top-3 avg score 0.4400 < final_threshold 0.7
DatatypeProperty,has start timestamp,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5126; levenshtein=0.1176; semantic=0.4457; sequence_match=0.3529,False,0.4371,False,top-3 avg score 0.4371 < final_threshold 0.7
DatatypeProperty,has start timestamp,tariff period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5036; levenshtein=0.2353; semantic=0.4500; sequence_match=0.3448,False,0.4328,False,top-3 avg score 0.4328 < final_threshold 0.7
DatatypeProperty,has firmware version,geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5286; levenshtein=0.2222; semantic=0.4879; sequence_match=0.2759,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.7
DatatypeProperty,has hardware version,fabrication number,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5133; levenshtein=0.1111; semantic=0.4901; sequence_match=0.2857,False,0.4297,False,top-3 avg score 0.4297 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4998; levenshtein=0.2500; semantic=0.4363; sequence_match=0.3429,False,0.4263,False,top-3 avg score 0.4263 < final_threshold 0.7
