prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,is measured by device,is measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8728; sequence_match=0.8000,False,0.8687,True,selected
ObjectProperty,isKPIOf,is physical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6548; levenshtein=0.2500; semantic=0.5456; sequence_match=0.4444,False,0.5483,False,top-3 avg score 0.5483 < final_threshold 0.7
ObjectProperty,has period,has indicator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6667; levenshtein=0.4167; semantic=0.5474; sequence_match=0.3810,False,0.5436,False,top-3 avg score 0.5436 < final_threshold 0.7
ObjectProperty,applies to,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6370; levenshtein=0.2222; semantic=0.5215; sequence_match=0.4444,False,0.5343,False,top-3 avg score 0.5343 < final_threshold 0.7
ObjectProperty,hasGeometry,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.3333; semantic=0.5308; sequence_match=0.4348,False,0.5306,False,top-3 avg score 0.5306 < final_threshold 0.7
ObjectProperty,has measurement,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5179; sequence_match=0.4348,False,0.5301,False,top-3 avg score 0.5301 < final_threshold 0.7
ObjectProperty,hasGeometry,has tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.4708; sequence_match=0.5000,False,0.5245,False,top-3 avg score 0.5245 < final_threshold 0.7
ObjectProperty,hasGeometry,is measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6447; levenshtein=0.2500; semantic=0.5735; sequence_match=0.3478,False,0.522,False,top-3 avg score 0.5220 < final_threshold 0.7
ObjectProperty,has measurement,has indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5887; sequence_match=0.3846,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.7
ObjectProperty,has duration,is temporal setting of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5730; levenshtein=0.2632; semantic=0.5829; sequence_match=0.4000,False,0.5187,False,top-3 avg score 0.5187 < final_threshold 0.7
ObjectProperty,isKPIOf,is actuator for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.5240; sequence_match=0.4000,False,0.5168,False,top-3 avg score 0.5168 < final_threshold 0.7
ObjectProperty,has property,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.5435; sequence_match=0.4000,False,0.5154,False,top-3 avg score 0.5154 < final_threshold 0.7
ObjectProperty,has phenomenon time,is temporal setting of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6208; levenshtein=0.1579; semantic=0.6468; sequence_match=0.2778,False,0.5151,False,top-3 avg score 0.5151 < final_threshold 0.7
ObjectProperty,has billing period,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.4726; sequence_match=0.4286,False,0.5133,False,top-3 avg score 0.5133 < final_threshold 0.7
ObjectProperty,has period,is provided by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6918; levenshtein=0.2500; semantic=0.4618; sequence_match=0.3810,False,0.5115,False,top-3 avg score 0.5115 < final_threshold 0.7
ObjectProperty,applies to,is physical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6685; levenshtein=0.2500; semantic=0.4484; sequence_match=0.4138,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.7
ObjectProperty,has property,is asset of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5367; levenshtein=0.1818; semantic=0.6935; sequence_match=0.3000,False,0.5101,False,top-3 avg score 0.5101 < final_threshold 0.7
ObjectProperty,has property,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.3333; semantic=0.5553; sequence_match=0.3478,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.7
ObjectProperty,isKPIOf,is provided by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.2500; semantic=0.4602; sequence_match=0.4211,False,0.5083,False,top-3 avg score 0.5083 < final_threshold 0.7
ObjectProperty,has period,is temporal setting of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5725; levenshtein=0.2105; semantic=0.5673; sequence_match=0.3571,False,0.499,False,top-3 avg score 0.4990 < final_threshold 0.7
ObjectProperty,has period,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5463; levenshtein=0.3333; semantic=0.5018; sequence_match=0.4444,False,0.4975,False,top-3 avg score 0.4975 < final_threshold 0.7
ObjectProperty,hasGeometry,is sensor for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5758; levenshtein=0.1818; semantic=0.5520; sequence_match=0.3636,False,0.4971,False,top-3 avg score 0.4971 < final_threshold 0.7
ObjectProperty,has period,is chemical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6380; levenshtein=0.3000; semantic=0.4393; sequence_match=0.4138,False,0.497,False,top-3 avg score 0.4970 < final_threshold 0.7
ObjectProperty,has duration,is actuator for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5821; levenshtein=0.3077; semantic=0.4749; sequence_match=0.4167,False,0.4912,False,top-3 avg score 0.4912 < final_threshold 0.7
ObjectProperty,has billing period,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.3125; semantic=0.5146; sequence_match=0.4000,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.7
ObjectProperty,hasGeometry,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5367; levenshtein=0.2727; semantic=0.5336; sequence_match=0.4000,False,0.4901,False,top-3 avg score 0.4901 < final_threshold 0.7
ObjectProperty,applies to,is sensor for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.0909; semantic=0.5485; sequence_match=0.4000,False,0.4893,False,top-3 avg score 0.4893 < final_threshold 0.7
ObjectProperty,applies to,is chemical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5963; levenshtein=0.2500; semantic=0.4565; sequence_match=0.4138,False,0.4889,False,top-3 avg score 0.4889 < final_threshold 0.7
ObjectProperty,has property,is sensor for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5697; levenshtein=0.0909; semantic=0.5303; sequence_match=0.3636,False,0.4879,False,top-3 avg score 0.4879 < final_threshold 0.7
ObjectProperty,has period,is physical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5664; levenshtein=0.3000; semantic=0.4824; sequence_match=0.4138,False,0.4875,False,top-3 avg score 0.4875 < final_threshold 0.7
ObjectProperty,hasGeometry,is chemical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6697; levenshtein=0.2500; semantic=0.5313; sequence_match=0.2581,False,0.4864,False,top-3 avg score 0.4864 < final_threshold 0.7
ObjectProperty,has period,is measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.1667; semantic=0.4850; sequence_match=0.3810,False,0.4856,False,top-3 avg score 0.4856 < final_threshold 0.7
ObjectProperty,has period,is sensor for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.2727; semantic=0.5328; sequence_match=0.4000,False,0.484,False,top-3 avg score 0.4840 < final_threshold 0.7
ObjectProperty,has measurement,is physical property of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5690; levenshtein=0.3000; semantic=0.5815; sequence_match=0.2941,False,0.4835,False,top-3 avg score 0.4835 < final_threshold 0.7
ObjectProperty,has billing period,is temporal setting of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6040; levenshtein=0.1579; semantic=0.4999; sequence_match=0.3429,False,0.4823,False,top-3 avg score 0.4823 < final_threshold 0.7
ObjectProperty,isKPIOf,is chemical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.2500; semantic=0.4873; sequence_match=0.3704,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,applies to,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.3333; semantic=0.4725; sequence_match=0.3810,False,0.4814,False,top-3 avg score 0.4814 < final_threshold 0.7
ObjectProperty,isKPIOf,is temporal setting of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5940; levenshtein=0.3158; semantic=0.3872; sequence_match=0.4615,False,0.4809,False,top-3 avg score 0.4809 < final_threshold 0.7
ObjectProperty,has phenomenon time,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.2941; semantic=0.5221; sequence_match=0.3448,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,hasGeometry,is physical property of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5424; levenshtein=0.2500; semantic=0.6256; sequence_match=0.2581,False,0.4754,False,top-3 avg score 0.4754 < final_threshold 0.7
ObjectProperty,has key performance indicator,is temporal setting of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5999; levenshtein=0.3462; semantic=0.3752; sequence_match=0.4444,False,0.4732,False,top-3 avg score 0.4732 < final_threshold 0.7
ObjectProperty,has phenomenon time,is sensor for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5829; levenshtein=0.2353; semantic=0.4789; sequence_match=0.3571,False,0.473,False,top-3 avg score 0.4730 < final_threshold 0.7
ObjectProperty,is measured by device,is sensor for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5108; levenshtein=0.2778; semantic=0.5547; sequence_match=0.3448,False,0.4701,False,top-3 avg score 0.4701 < final_threshold 0.7
ObjectProperty,has property,is measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4904; levenshtein=0.2500; semantic=0.4786; sequence_match=0.4348,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.7
ObjectProperty,measurement made by,is provided by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5065; levenshtein=0.2941; semantic=0.4802; sequence_match=0.4138,False,0.4668,False,top-3 avg score 0.4668 < final_threshold 0.7
ObjectProperty,is measured by device,is provided by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5787; levenshtein=0.3333; semantic=0.3550; sequence_match=0.4667,False,0.4668,False,top-3 avg score 0.4668 < final_threshold 0.7
ObjectProperty,applies to,is actuator for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.1538; semantic=0.5447; sequence_match=0.2727,False,0.4658,False,top-3 avg score 0.4658 < final_threshold 0.7
ObjectProperty,is measured by device,is physical property of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5389; levenshtein=0.2000; semantic=0.5425; sequence_match=0.3158,False,0.4657,False,top-3 avg score 0.4657 < final_threshold 0.7
ObjectProperty,has duration,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5194; levenshtein=0.2727; semantic=0.4707; sequence_match=0.4000,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.7
ObjectProperty,has duration,is measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4823; levenshtein=0.1667; semantic=0.5517; sequence_match=0.3478,False,0.4606,False,top-3 avg score 0.4606 < final_threshold 0.7
ObjectProperty,isKPIOf,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.2500; semantic=0.5127; sequence_match=0.3158,False,0.46,False,top-3 avg score 0.4600 < final_threshold 0.7
ObjectProperty,isKPIOf,has tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.4594; sequence_match=0.2500,False,0.46,False,top-3 avg score 0.4600 < final_threshold 0.7
ObjectProperty,has property,is actuator for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5579; levenshtein=0.1538; semantic=0.4825; sequence_match=0.3333,False,0.4579,False,top-3 avg score 0.4579 < final_threshold 0.7
ObjectProperty,has measurement,is sensor for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4665; levenshtein=0.2857; semantic=0.5831; sequence_match=0.3200,False,0.4565,False,top-3 avg score 0.4565 < final_threshold 0.7
ObjectProperty,has key performance indicator,is sensor for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5400; levenshtein=0.2308; semantic=0.4997; sequence_match=0.3243,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
ObjectProperty,is measured by device,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2778; semantic=0.4405; sequence_match=0.3704,False,0.4518,False,top-3 avg score 0.4518 < final_threshold 0.7
ObjectProperty,has phenomenon time,is physical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5487; levenshtein=0.2000; semantic=0.5342; sequence_match=0.2703,False,0.4511,False,top-3 avg score 0.4511 < final_threshold 0.7
ObjectProperty,has duration,is physical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5193; levenshtein=0.2500; semantic=0.5076; sequence_match=0.3226,False,0.4498,False,top-3 avg score 0.4498 < final_threshold 0.7
ObjectProperty,is measured by device,is actuator for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5541; levenshtein=0.1667; semantic=0.4711; sequence_match=0.3226,False,0.4493,False,top-3 avg score 0.4493 < final_threshold 0.7
ObjectProperty,has billing period,is physical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5417; levenshtein=0.3500; semantic=0.4161; sequence_match=0.3889,False,0.4489,False,top-3 avg score 0.4489 < final_threshold 0.7
ObjectProperty,makes measurement,is sensor for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.2500; semantic=0.5956; sequence_match=0.2963,False,0.4488,False,top-3 avg score 0.4488 < final_threshold 0.7
ObjectProperty,has billing period,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.1875; semantic=0.4666; sequence_match=0.3200,False,0.4476,False,top-3 avg score 0.4476 < final_threshold 0.7
ObjectProperty,has measurement,is temporal setting of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5944; levenshtein=0.2105; semantic=0.4431; sequence_match=0.3030,False,0.4469,False,top-3 avg score 0.4469 < final_threshold 0.7
ObjectProperty,has phenomenon time,is chemical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5808; levenshtein=0.2000; semantic=0.4276; sequence_match=0.3243,False,0.4443,False,top-3 avg score 0.4443 < final_threshold 0.7
ObjectProperty,has measurement,is chemical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.2500; semantic=0.4610; sequence_match=0.2941,False,0.443,False,top-3 avg score 0.4430 < final_threshold 0.7
ObjectProperty,has key performance indicator,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5871; levenshtein=0.1923; semantic=0.4547; sequence_match=0.2857,False,0.4425,False,top-3 avg score 0.4425 < final_threshold 0.7
ObjectProperty,makes measurement,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4815; levenshtein=0.2500; semantic=0.4387; sequence_match=0.4000,False,0.4401,False,top-3 avg score 0.4401 < final_threshold 0.7
ObjectProperty,has key performance indicator,is chemical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6593; levenshtein=0.1538; semantic=0.3992; sequence_match=0.2609,False,0.4398,False,top-3 avg score 0.4398 < final_threshold 0.7
ObjectProperty,applies to,has tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.5023; sequence_match=0.3333,False,0.439,False,top-3 avg score 0.4390 < final_threshold 0.7
ObjectProperty,has billing period,is chemical property of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5750; levenshtein=0.3000; semantic=0.3507; sequence_match=0.3889,False,0.4382,False,top-3 avg score 0.4382 < final_threshold 0.7
ObjectProperty,has phenomenon time,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5033; levenshtein=0.2353; semantic=0.4218; sequence_match=0.3846,False,0.4366,False,top-3 avg score 0.4366 < final_threshold 0.7
ObjectProperty,makes measurement,has tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5648; levenshtein=0.2500; semantic=0.4925; sequence_match=0.2400,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.7
ObjectProperty,applies to,is provided by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5241; levenshtein=0.2500; semantic=0.4963; sequence_match=0.2857,False,0.4354,False,top-3 avg score 0.4354 < final_threshold 0.7
ObjectProperty,measurement made by,is chemical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5819; levenshtein=0.1500; semantic=0.3925; sequence_match=0.3243,False,0.4329,False,top-3 avg score 0.4329 < final_threshold 0.7
ObjectProperty,hasGeometry,is temporal setting of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5911; levenshtein=0.2105; semantic=0.4373; sequence_match=0.2667,False,0.4317,False,top-3 avg score 0.4317 < final_threshold 0.7
ObjectProperty,has duration,is chemical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5193; levenshtein=0.2000; semantic=0.4530; sequence_match=0.3226,False,0.4316,False,top-3 avg score 0.4316 < final_threshold 0.7
ObjectProperty,applies to,is temporal setting of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.2632; semantic=0.4040; sequence_match=0.2857,False,0.431,False,top-3 avg score 0.4310 < final_threshold 0.7
ObjectProperty,isKPIOf,is measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4841; levenshtein=0.1667; semantic=0.5895; sequence_match=0.2105,False,0.4281,False,top-3 avg score 0.4281 < final_threshold 0.7
ObjectProperty,has key performance indicator,is physical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.1538; semantic=0.4189; sequence_match=0.2609,False,0.4277,False,top-3 avg score 0.4277 < final_threshold 0.7
ObjectProperty,has key performance indicator,is measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5331; levenshtein=0.1923; semantic=0.5354; sequence_match=0.2105,False,0.4264,False,top-3 avg score 0.4264 < final_threshold 0.7
ObjectProperty,has billing period,is sensor for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5223; levenshtein=0.2500; semantic=0.4566; sequence_match=0.2963,False,0.4251,False,top-3 avg score 0.4251 < final_threshold 0.7
ObjectProperty,is measured by device,is chemical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.2000; semantic=0.4045; sequence_match=0.3158,False,0.424,False,top-3 avg score 0.4240 < final_threshold 0.7
ObjectProperty,makes measurement,has indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5097; levenshtein=0.1250; semantic=0.5446; sequence_match=0.2143,False,0.4229,False,top-3 avg score 0.4229 < final_threshold 0.7
ObjectProperty,is measured by device,is temporal setting of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5838; levenshtein=0.2105; semantic=0.4086; sequence_match=0.2703,False,0.4209,False,top-3 avg score 0.4209 < final_threshold 0.7
ObjectProperty,is measured by device,has indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4315; levenshtein=0.1667; semantic=0.4962; sequence_match=0.3333,False,0.4203,False,top-3 avg score 0.4203 < final_threshold 0.7
ObjectProperty,feature is measured by device,is sensor for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4959; levenshtein=0.2000; semantic=0.4768; sequence_match=0.2778,False,0.4168,False,top-3 avg score 0.4168 < final_threshold 0.7
ObjectProperty,hasGeometry,is actuator for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.1538; semantic=0.5155; sequence_match=0.2500,False,0.4151,False,top-3 avg score 0.4151 < final_threshold 0.7
ObjectProperty,has measurement,is asset of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4101; levenshtein=0.2857; semantic=0.4855; sequence_match=0.3478,False,0.4145,False,top-3 avg score 0.4145 < final_threshold 0.7
ObjectProperty,has key performance indicator,is actuator for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5160; levenshtein=0.1923; semantic=0.4661; sequence_match=0.2564,False,0.4128,False,top-3 avg score 0.4128 < final_threshold 0.7
ObjectProperty,hasGeometry,is provided by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4823; levenshtein=0.2500; semantic=0.4912; sequence_match=0.2609,False,0.4115,False,top-3 avg score 0.4115 < final_threshold 0.7
ObjectProperty,makes measurement,is physical property of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4472; levenshtein=0.2500; semantic=0.5293; sequence_match=0.2222,False,0.4088,False,top-3 avg score 0.4088 < final_threshold 0.7
ObjectProperty,makes measurement,is temporal setting of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5306; levenshtein=0.1579; semantic=0.4101; sequence_match=0.2857,False,0.4088,False,top-3 avg score 0.4088 < final_threshold 0.7
ObjectProperty,has phenomenon time,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4832; levenshtein=0.1765; semantic=0.4331; sequence_match=0.3077,False,0.408,False,top-3 avg score 0.4080 < final_threshold 0.7
ObjectProperty,measurement made by,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.1765; semantic=0.4517; sequence_match=0.2069,False,0.4069,False,top-3 avg score 0.4069 < final_threshold 0.7
ObjectProperty,feature is measured by device,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5431; levenshtein=0.2000; semantic=0.3816; sequence_match=0.2941,False,0.4063,False,top-3 avg score 0.4063 < final_threshold 0.7
ObjectProperty,feature is measured by device,is physical property of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4483; levenshtein=0.1200; semantic=0.5035; sequence_match=0.2667,False,0.4062,False,top-3 avg score 0.4062 < final_threshold 0.7
ObjectProperty,has billing period,is measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5784; levenshtein=0.1250; semantic=0.4230; sequence_match=0.2143,False,0.4052,False,top-3 avg score 0.4052 < final_threshold 0.7
ObjectProperty,measurement made by,is physical property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4954; levenshtein=0.1000; semantic=0.4933; sequence_match=0.2162,False,0.4016,False,top-3 avg score 0.4016 < final_threshold 0.7
ObjectProperty,has key performance indicator,is provided by,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5331; levenshtein=0.2308; semantic=0.4393; sequence_match=0.1579,False,0.4011,False,top-3 avg score 0.4011 < final_threshold 0.7
ObjectProperty,is measured by device,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.4284; sequence_match=0.2963,False,0.399,False,top-3 avg score 0.3990 < final_threshold 0.7
ObjectProperty,measurement made by,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4766; levenshtein=0.2353; semantic=0.4103; sequence_match=0.3077,False,0.3982,False,top-3 avg score 0.3982 < final_threshold 0.7
ObjectProperty,has duration,is provided by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5571; levenshtein=0.0833; semantic=0.4627; sequence_match=0.1739,False,0.3979,False,top-3 avg score 0.3979 < final_threshold 0.7
ObjectProperty,has duration,is sensor for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4040; levenshtein=0.1818; semantic=0.5134; sequence_match=0.2727,False,0.3967,False,top-3 avg score 0.3967 < final_threshold 0.7
ObjectProperty,feature is measured by device,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5431; levenshtein=0.2000; semantic=0.4084; sequence_match=0.2353,False,0.3956,False,top-3 avg score 0.3956 < final_threshold 0.7
ObjectProperty,feature is measured by device,is provided by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.4956; levenshtein=0.2400; semantic=0.3126; sequence_match=0.3784,False,0.3955,False,top-3 avg score 0.3955 < final_threshold 0.7
ObjectProperty,feature is measured by device,is actuator for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5360; levenshtein=0.1600; semantic=0.4394; sequence_match=0.2105,False,0.3953,False,top-3 avg score 0.3953 < final_threshold 0.7
ObjectProperty,has measurement,is actuator for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4634; levenshtein=0.1429; semantic=0.4929; sequence_match=0.2222,False,0.3928,False,top-3 avg score 0.3928 < final_threshold 0.7
ObjectProperty,applies to,is measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5093; levenshtein=0.0833; semantic=0.4768; sequence_match=0.1905,False,0.3922,False,top-3 avg score 0.3922 < final_threshold 0.7
