prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,operand,has operand,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8048; levenshtein=0.7000; semantic=0.9169; sequence_match=0.8235,False,0.8484,True,selected
ObjectProperty,relation,relates to prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6940; levenshtein=0.4000; semantic=0.5835; sequence_match=0.5714,False,0.6163,False,top-3 avg score 0.6163 < final_threshold 0.7
ObjectProperty,remedy,specifies remedy,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4889; levenshtein=0.4000; semantic=0.7578; sequence_match=0.5714,False,0.606,False,top-3 avg score 0.6060 < final_threshold 0.7
ObjectProperty,consequence,contains element,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7983; levenshtein=0.4000; semantic=0.4377; sequence_match=0.5385,False,0.5915,False,top-3 avg score 0.5915 < final_threshold 0.7
ObjectProperty,partOf,has party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.5387; sequence_match=0.5714,False,0.583,False,top-3 avg score 0.5830 < final_threshold 0.7
ObjectProperty,scope,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5000,False,0.5817,False,top-3 avg score 0.5817 < final_threshold 0.7
ObjectProperty,failure,triggers on failure of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4177; levenshtein=0.3684; semantic=0.7855; sequence_match=0.5385,False,0.5806,False,top-3 avg score 0.5806 < final_threshold 0.7
ObjectProperty,assigner,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5490; sequence_match=0.5000,False,0.5719,False,top-3 avg score 0.5719 < final_threshold 0.7
ObjectProperty,assignee,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5462; sequence_match=0.5000,False,0.5709,False,top-3 avg score 0.5709 < final_threshold 0.7
ObjectProperty,target,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5734; sequence_match=0.4615,False,0.5593,False,top-3 avg score 0.5593 < final_threshold 0.7
ObjectProperty,assigner,has operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.2000; semantic=0.5745; sequence_match=0.4444,False,0.5535,False,top-3 avg score 0.5535 < final_threshold 0.7
ObjectProperty,implies,is rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5531; sequence_match=0.4615,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.7
ObjectProperty,action,activates rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6581; levenshtein=0.3077; semantic=0.5710; sequence_match=0.4211,False,0.5501,False,top-3 avg score 0.5501 < final_threshold 0.7
ObjectProperty,andSequence,constrains requirement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6951; levenshtein=0.2857; semantic=0.4514; sequence_match=0.5000,False,0.5488,False,top-3 avg score 0.5488 < final_threshold 0.7
ObjectProperty,inheritRelation,relates to prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.3000; semantic=0.4987; sequence_match=0.4571,False,0.5482,False,top-3 avg score 0.5482 < final_threshold 0.7
ObjectProperty,constraint,has operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6000; levenshtein=0.2000; semantic=0.6230; sequence_match=0.4000,False,0.541,False,top-3 avg score 0.5410 < final_threshold 0.7
ObjectProperty,andSequence,has element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.2727; semantic=0.4866; sequence_match=0.4762,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.7
ObjectProperty,partOf,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5130; sequence_match=0.4615,False,0.5391,False,top-3 avg score 0.5391 < final_threshold 0.7
ObjectProperty,hasPolicy,has conflict resolution strategy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2759; semantic=0.6160; sequence_match=0.4211,False,0.5383,False,top-3 avg score 0.5383 < final_threshold 0.7
ObjectProperty,failure,is rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6627; levenshtein=0.2857; semantic=0.4860; sequence_match=0.4615,False,0.5368,False,top-3 avg score 0.5368 < final_threshold 0.7
ObjectProperty,assignee,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.6024; sequence_match=0.4000,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.7
ObjectProperty,target,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5462; sequence_match=0.4286,False,0.5333,False,top-3 avg score 0.5333 < final_threshold 0.7
ObjectProperty,target,has party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.5257; sequence_match=0.4286,False,0.5264,False,top-3 avg score 0.5264 < final_threshold 0.7
ObjectProperty,leftOperand,applies to constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5494; levenshtein=0.3684; semantic=0.5616; sequence_match=0.4667,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,conflict,contains element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.3333; semantic=0.4769; sequence_match=0.4348,False,0.5243,False,top-3 avg score 0.5243 < final_threshold 0.7
ObjectProperty,implies,applies to constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5925; levenshtein=0.2632; semantic=0.5944; sequence_match=0.3846,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.7
ObjectProperty,hasPolicy,has element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.5246; sequence_match=0.4211,False,0.5201,False,top-3 avg score 0.5201 < final_threshold 0.7
ObjectProperty,action,applies to constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7447; levenshtein=0.2105; semantic=0.4915; sequence_match=0.3200,False,0.5187,False,top-3 avg score 0.5187 < final_threshold 0.7
ObjectProperty,permission,relates to prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.3000; semantic=0.5622; sequence_match=0.4000,False,0.5168,False,top-3 avg score 0.5168 < final_threshold 0.7
ObjectProperty,action,has operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.2000; semantic=0.5741; sequence_match=0.3750,False,0.5164,False,top-3 avg score 0.5164 < final_threshold 0.7
ObjectProperty,assigner,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5409; sequence_match=0.4000,False,0.514,False,top-3 avg score 0.5140 < final_threshold 0.7
ObjectProperty,hasPolicy,has operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.4000; semantic=0.5019; sequence_match=0.4211,False,0.5138,False,top-3 avg score 0.5138 < final_threshold 0.7
ObjectProperty,andSequence,contains element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6058; levenshtein=0.2667; semantic=0.4740; sequence_match=0.4615,False,0.5138,False,top-3 avg score 0.5138 < final_threshold 0.7
ObjectProperty,operator,applies to constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7002; levenshtein=0.2105; semantic=0.5438; sequence_match=0.2963,False,0.5134,False,top-3 avg score 0.5134 < final_threshold 0.7
ObjectProperty,inheritRelation,has operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2000; semantic=0.5282; sequence_match=0.4000,False,0.5131,False,top-3 avg score 0.5131 < final_threshold 0.7
ObjectProperty,failure,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2857; semantic=0.4715; sequence_match=0.4286,False,0.5103,False,top-3 avg score 0.5103 < final_threshold 0.7
ObjectProperty,hasPolicy,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.5976; sequence_match=0.3529,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,relation,applies to constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6526; levenshtein=0.2105; semantic=0.5707; sequence_match=0.2963,False,0.5065,False,top-3 avg score 0.5065 < final_threshold 0.7
ObjectProperty,permission,has operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.0000; semantic=0.5771; sequence_match=0.4000,False,0.5035,False,top-3 avg score 0.5035 < final_threshold 0.7
ObjectProperty,assigner,applies to constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5775; levenshtein=0.2105; semantic=0.5606; sequence_match=0.3704,False,0.5028,False,top-3 avg score 0.5028 < final_threshold 0.7
ObjectProperty,relation,has operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.1000; semantic=0.6174; sequence_match=0.3333,False,0.5002,False,top-3 avg score 0.5002 < final_threshold 0.7
ObjectProperty,obligation,applies to constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6419; levenshtein=0.2632; semantic=0.5082; sequence_match=0.3448,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.7
ObjectProperty,hasPolicy,applies to constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6202; levenshtein=0.1579; semantic=0.5168; sequence_match=0.3571,False,0.498,False,top-3 avg score 0.4980 < final_threshold 0.7
ObjectProperty,leftOperand,relates to prohibition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5841; levenshtein=0.2500; semantic=0.4502; sequence_match=0.4516,False,0.4953,False,top-3 avg score 0.4953 < final_threshold 0.7
ObjectProperty,constraint,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6149; levenshtein=0.2759; semantic=0.4607; sequence_match=0.4103,False,0.4953,False,top-3 avg score 0.4953 < final_threshold 0.7
ObjectProperty,operator,has party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.1250; semantic=0.5271; sequence_match=0.3750,False,0.4951,False,top-3 avg score 0.4951 < final_threshold 0.7
ObjectProperty,inheritRelation,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6268; levenshtein=0.3103; semantic=0.4484; sequence_match=0.4091,False,0.4948,False,top-3 avg score 0.4948 < final_threshold 0.7
ObjectProperty,operator,relates to prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.4890; sequence_match=0.3571,False,0.4931,False,top-3 avg score 0.4931 < final_threshold 0.7
ObjectProperty,scope,is rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.3333; semantic=0.5352; sequence_match=0.3636,False,0.4922,False,top-3 avg score 0.4922 < final_threshold 0.7
ObjectProperty,assignee,has operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.5912; sequence_match=0.3333,False,0.4915,False,top-3 avg score 0.4915 < final_threshold 0.7
ObjectProperty,operand,applies to constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5925; levenshtein=0.2632; semantic=0.5682; sequence_match=0.3077,False,0.4894,False,top-3 avg score 0.4894 < final_threshold 0.7
ObjectProperty,target,contains element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5667; levenshtein=0.2667; semantic=0.5145; sequence_match=0.3810,False,0.4874,False,top-3 avg score 0.4874 < final_threshold 0.7
ObjectProperty,assignee,has element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.3000; semantic=0.4852; sequence_match=0.3333,False,0.4867,False,top-3 avg score 0.4867 < final_threshold 0.7
ObjectProperty,obligation,relates to prohibition,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4667; levenshtein=0.3000; semantic=0.5255; sequence_match=0.4667,False,0.4863,False,top-3 avg score 0.4863 < final_threshold 0.7
ObjectProperty,permission,applies to constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5942; levenshtein=0.2105; semantic=0.5170; sequence_match=0.3448,False,0.4853,False,top-3 avg score 0.4853 < final_threshold 0.7
ObjectProperty,or,has operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.2000; semantic=0.5795; sequence_match=0.3333,False,0.482,False,top-3 avg score 0.4820 < final_threshold 0.7
ObjectProperty,target,has element,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6000; levenshtein=0.3000; semantic=0.5451; sequence_match=0.1250,False,0.4817,False,top-3 avg score 0.4817 < final_threshold 0.7
ObjectProperty,operand,specifies remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5429; levenshtein=0.2667; semantic=0.5379; sequence_match=0.3636,False,0.4815,False,top-3 avg score 0.4815 < final_threshold 0.7
ObjectProperty,scope,specifies remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6056; levenshtein=0.2000; semantic=0.5385; sequence_match=0.3000,False,0.4814,False,top-3 avg score 0.4814 < final_threshold 0.7
ObjectProperty,inheritFrom,constrains requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6748; levenshtein=0.2381; semantic=0.4526; sequence_match=0.3125,False,0.48,False,top-3 avg score 0.4800 < final_threshold 0.7
ObjectProperty,action,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6245; levenshtein=0.2069; semantic=0.4719; sequence_match=0.3429,False,0.4798,False,top-3 avg score 0.4798 < final_threshold 0.7
ObjectProperty,inheritRelation,contains element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.2000; semantic=0.4828; sequence_match=0.3333,False,0.4795,False,top-3 avg score 0.4795 < final_threshold 0.7
ObjectProperty,scope,contains element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1333; semantic=0.5360; sequence_match=0.3000,False,0.4787,False,top-3 avg score 0.4787 < final_threshold 0.7
ObjectProperty,consequence,has element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.4689; sequence_match=0.3810,False,0.4782,False,top-3 avg score 0.4782 < final_threshold 0.7
ObjectProperty,action,triggers on failure of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6257; levenshtein=0.1053; semantic=0.4863; sequence_match=0.3200,False,0.4773,False,top-3 avg score 0.4773 < final_threshold 0.7
ObjectProperty,implies,specifies remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.2000; semantic=0.5142; sequence_match=0.3636,False,0.4757,False,top-3 avg score 0.4757 < final_threshold 0.7
ObjectProperty,scope,applies to constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6211; levenshtein=0.1579; semantic=0.5552; sequence_match=0.2500,False,0.4754,False,top-3 avg score 0.4754 < final_threshold 0.7
ObjectProperty,Only One,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2857; semantic=0.4730; sequence_match=0.4286,False,0.4751,False,top-3 avg score 0.4751 < final_threshold 0.7
ObjectProperty,relation,has element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.5380; sequence_match=0.3333,False,0.4738,False,top-3 avg score 0.4738 < final_threshold 0.7
ObjectProperty,inheritRelation,triggers on failure of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6192; levenshtein=0.2632; semantic=0.3854; sequence_match=0.4118,False,0.4722,False,top-3 avg score 0.4722 < final_threshold 0.7
ObjectProperty,assignee,constrains requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6885; levenshtein=0.1905; semantic=0.4518; sequence_match=0.2759,False,0.472,False,top-3 avg score 0.4720 < final_threshold 0.7
ObjectProperty,and,has operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4778; levenshtein=0.3000; semantic=0.4749; sequence_match=0.4615,False,0.4714,False,top-3 avg score 0.4714 < final_threshold 0.7
ObjectProperty,inheritFrom,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.0909; semantic=0.5488; sequence_match=0.3158,False,0.4713,False,top-3 avg score 0.4713 < final_threshold 0.7
ObjectProperty,action,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5657; sequence_match=0.3077,False,0.471,False,top-3 avg score 0.4710 < final_threshold 0.7
ObjectProperty,scope,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.5531; sequence_match=0.3077,False,0.4703,False,top-3 avg score 0.4703 < final_threshold 0.7
ObjectProperty,action,contains element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.4904; sequence_match=0.2857,False,0.4698,False,top-3 avg score 0.4698 < final_threshold 0.7
ObjectProperty,assigner,has party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.1250; semantic=0.4490; sequence_match=0.3750,False,0.4691,False,top-3 avg score 0.4691 < final_threshold 0.7
ObjectProperty,relation,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.6163; sequence_match=0.2667,False,0.4689,False,top-3 avg score 0.4689 < final_threshold 0.7
ObjectProperty,inheritRelation,has element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2000; semantic=0.4754; sequence_match=0.3200,False,0.4688,False,top-3 avg score 0.4688 < final_threshold 0.7
ObjectProperty,relation,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5920; levenshtein=0.2414; semantic=0.4332; sequence_match=0.3784,False,0.4678,False,top-3 avg score 0.4678 < final_threshold 0.7
ObjectProperty,leftOperand,specifies remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5929; levenshtein=0.2667; semantic=0.5013; sequence_match=0.3077,False,0.4673,False,top-3 avg score 0.4673 < final_threshold 0.7
ObjectProperty,hasPolicy,specifies remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5630; levenshtein=0.1333; semantic=0.5050; sequence_match=0.3333,False,0.4671,False,top-3 avg score 0.4671 < final_threshold 0.7
ObjectProperty,target,is rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.1667; semantic=0.5121; sequence_match=0.3333,False,0.467,False,top-3 avg score 0.4670 < final_threshold 0.7
ObjectProperty,target,activates rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4915; levenshtein=0.2308; semantic=0.4862; sequence_match=0.4211,False,0.4662,False,top-3 avg score 0.4662 < final_threshold 0.7
ObjectProperty,action,relates to prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.4628; sequence_match=0.3846,False,0.4658,False,top-3 avg score 0.4658 < final_threshold 0.7
ObjectProperty,assignee,contains element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.2000; semantic=0.4741; sequence_match=0.2609,False,0.4654,False,top-3 avg score 0.4654 < final_threshold 0.7
ObjectProperty,assignee,specifies remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5861; levenshtein=0.2000; semantic=0.4617; sequence_match=0.3478,False,0.4652,False,top-3 avg score 0.4652 < final_threshold 0.7
ObjectProperty,constraint,has element,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.2000; semantic=0.5608; sequence_match=0.3000,False,0.4647,False,top-3 avg score 0.4647 < final_threshold 0.7
ObjectProperty,consequence,specifies remedy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5293; levenshtein=0.2000; semantic=0.5554; sequence_match=0.3077,False,0.4641,False,top-3 avg score 0.4641 < final_threshold 0.7
ObjectProperty,conflict,constrains requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5544; levenshtein=0.2381; semantic=0.4888; sequence_match=0.3448,False,0.4627,False,top-3 avg score 0.4627 < final_threshold 0.7
ObjectProperty,target,constrains requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5357; levenshtein=0.2381; semantic=0.4819; sequence_match=0.3704,False,0.4627,False,top-3 avg score 0.4627 < final_threshold 0.7
ObjectProperty,failure,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6043; levenshtein=0.2069; semantic=0.4489; sequence_match=0.3333,False,0.4622,False,top-3 avg score 0.4622 < final_threshold 0.7
ObjectProperty,hasPolicy,is rule,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5185; levenshtein=0.2222; semantic=0.6002; sequence_match=0.2667,False,0.4618,False,top-3 avg score 0.4618 < final_threshold 0.7
ObjectProperty,target,triggers on failure of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6257; levenshtein=0.1579; semantic=0.4374; sequence_match=0.3200,False,0.461,False,top-3 avg score 0.4610 < final_threshold 0.7
ObjectProperty,or,constrains requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.0952; semantic=0.5085; sequence_match=0.1739,False,0.4603,False,top-3 avg score 0.4603 < final_threshold 0.7
ObjectProperty,relation,is rule,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.0000; semantic=0.5653; sequence_match=0.2857,False,0.4596,False,top-3 avg score 0.4596 < final_threshold 0.7
ObjectProperty,inheritFrom,has party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.5135; sequence_match=0.3158,False,0.4595,False,top-3 avg score 0.4595 < final_threshold 0.7
ObjectProperty,assigner,activates rule,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6026; levenshtein=0.3077; semantic=0.4678; sequence_match=0.2857,False,0.4594,False,top-3 avg score 0.4594 < final_threshold 0.7
ObjectProperty,operator,constrains requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6230; levenshtein=0.1905; semantic=0.4782; sequence_match=0.2759,False,0.459,False,top-3 avg score 0.4590 < final_threshold 0.7
ObjectProperty,assignee,applies to constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4961; levenshtein=0.1579; semantic=0.5100; sequence_match=0.3704,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.7
ObjectProperty,permission,is rule,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5222; levenshtein=0.2000; semantic=0.6032; sequence_match=0.2500,False,0.4585,False,top-3 avg score 0.4585 < final_threshold 0.7
ObjectProperty,assigner,has element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.3000; semantic=0.4914; sequence_match=0.3333,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,scope,has party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.1250; semantic=0.5168; sequence_match=0.3077,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.7
ObjectProperty,function,contains element,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6056; levenshtein=0.2000; semantic=0.5051; sequence_match=0.2609,False,0.4572,False,top-3 avg score 0.4572 < final_threshold 0.7
ObjectProperty,conflict,applies to constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4961; levenshtein=0.2632; semantic=0.5050; sequence_match=0.3704,False,0.4571,False,top-3 avg score 0.4571 < final_threshold 0.7
ObjectProperty,remedy,has element,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4889; levenshtein=0.3000; semantic=0.5057; sequence_match=0.3750,False,0.4565,False,top-3 avg score 0.4565 < final_threshold 0.7
ObjectProperty,failure,specifies remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5294; levenshtein=0.2000; semantic=0.4765; sequence_match=0.3636,False,0.4565,False,top-3 avg score 0.4565 < final_threshold 0.7
ObjectProperty,constraint,relates to prohibition,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5405; levenshtein=0.2500; semantic=0.5787; sequence_match=0.1333,False,0.4564,False,top-3 avg score 0.4564 < final_threshold 0.7
ObjectProperty,scope,has element,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.2000; semantic=0.5635; sequence_match=0.2667,False,0.4545,False,top-3 avg score 0.4545 < final_threshold 0.7
ObjectProperty,implies,activates rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5531; levenshtein=0.1538; semantic=0.5087; sequence_match=0.3000,False,0.454,False,top-3 avg score 0.4540 < final_threshold 0.7
ObjectProperty,operand,constrains requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5841; levenshtein=0.1905; semantic=0.4897; sequence_match=0.2857,False,0.4532,False,top-3 avg score 0.4532 < final_threshold 0.7
ObjectProperty,remedy,is rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.0000; semantic=0.4706; sequence_match=0.3333,False,0.4532,False,top-3 avg score 0.4532 < final_threshold 0.7
