prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns item,owns item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is achievement in game,has all achievements in game,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7510; levenshtein=0.7500; semantic=0.7793; sequence_match=0.8372,False,0.7892,True,selected
ObjectProperty,plays game,usage player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5367; levenshtein=0.2727; semantic=0.6502; sequence_match=0.5000,False,0.5623,False,top-3 avg score 0.5623 < final_threshold 0.7
ObjectProperty,is character in session,session of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4648; levenshtein=0.2500; semantic=0.7328; sequence_match=0.4828,False,0.5601,False,top-3 avg score 0.5601 < final_threshold 0.7
ObjectProperty,has item,has all achievements in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7917; levenshtein=0.2500; semantic=0.4865; sequence_match=0.3871,False,0.5551,False,top-3 avg score 0.5551 < final_threshold 0.7
ObjectProperty,purchases game offering,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6085; levenshtein=0.3333; semantic=0.5834; sequence_match=0.4667,False,0.5529,False,top-3 avg score 0.5529 < final_threshold 0.7
ObjectProperty,has feature,has playing area,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5499; sequence_match=0.4167,False,0.5516,False,top-3 avg score 0.5516 < final_threshold 0.7
ObjectProperty,plays game,summary player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.3077; semantic=0.5953; sequence_match=0.4545,False,0.5494,False,top-3 avg score 0.5494 < final_threshold 0.7
ObjectProperty,involves player,played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5298; levenshtein=0.2143; semantic=0.6602; sequence_match=0.4545,False,0.5482,False,top-3 avg score 0.5482 < final_threshold 0.7
ObjectProperty,owns item,equipped item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.3333; semantic=0.7146; sequence_match=0.4000,False,0.5474,False,top-3 avg score 0.5474 < final_threshold 0.7
ObjectProperty,owns item,context game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6932; levenshtein=0.2727; semantic=0.4227; sequence_match=0.5263,False,0.5474,False,top-3 avg score 0.5474 < final_threshold 0.7
ObjectProperty,has playing area,has all achievements in game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6571; levenshtein=0.3750; semantic=0.4548; sequence_match=0.5263,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,has playing area,usage player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6722; levenshtein=0.2857; semantic=0.4858; sequence_match=0.4800,False,0.546,False,top-3 avg score 0.5460 < final_threshold 0.7
ObjectProperty,owns achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6968; levenshtein=0.2667; semantic=0.5768; sequence_match=0.3636,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.7
ObjectProperty,is session in game,context game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6534; levenshtein=0.2667; semantic=0.5106; sequence_match=0.4615,False,0.5418,False,top-3 avg score 0.5418 < final_threshold 0.7
ObjectProperty,is leaderboard in game,equipped game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6126; levenshtein=0.3158; semantic=0.5558; sequence_match=0.4516,False,0.54,False,top-3 avg score 0.5400 < final_threshold 0.7
ObjectProperty,has game genre,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5528; sequence_match=0.4211,False,0.5392,False,top-3 avg score 0.5392 < final_threshold 0.7
ObjectProperty,is event associated to player,equipped player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5714; levenshtein=0.4000; semantic=0.5834; sequence_match=0.4615,False,0.5388,False,top-3 avg score 0.5388 < final_threshold 0.7
ObjectProperty,has character,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.3571; semantic=0.5075; sequence_match=0.4615,False,0.5386,False,top-3 avg score 0.5386 < final_threshold 0.7
ObjectProperty,is player in session,for player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5065; levenshtein=0.2941; semantic=0.6455; sequence_match=0.4615,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,is player in session,played by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5707; sequence_match=0.4000,False,0.5368,False,top-3 avg score 0.5368 < final_threshold 0.7
ObjectProperty,is character in game,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6342; levenshtein=0.3529; semantic=0.4581; sequence_match=0.5161,False,0.5361,False,top-3 avg score 0.5361 < final_threshold 0.7
ObjectProperty,is session in game,equipped game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.4000; semantic=0.5838; sequence_match=0.4444,False,0.5353,False,top-3 avg score 0.5353 < final_threshold 0.7
ObjectProperty,has item,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has playing area,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has leaderboard,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3571; semantic=0.5015; sequence_match=0.4286,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has all achievements in game,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6138; levenshtein=0.4167; semantic=0.5721; sequence_match=0.3721,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,has item,game has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5635; levenshtein=0.3333; semantic=0.5523; sequence_match=0.4800,False,0.5319,False,top-3 avg score 0.5319 < final_threshold 0.7
ObjectProperty,is player in session,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6500; levenshtein=0.3529; semantic=0.4288; sequence_match=0.5161,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.7
ObjectProperty,is player in session,summary player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5072; levenshtein=0.1176; semantic=0.6199; sequence_match=0.4667,False,0.5312,False,top-3 avg score 0.5312 < final_threshold 0.7
ObjectProperty,is character in game,equipped game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5621; levenshtein=0.2941; semantic=0.6116; sequence_match=0.4138,False,0.5292,False,top-3 avg score 0.5292 < final_threshold 0.7
ObjectProperty,purchases game offering,for game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5175; levenshtein=0.2381; semantic=0.7120; sequence_match=0.3571,False,0.5289,False,top-3 avg score 0.5289 < final_threshold 0.7
ObjectProperty,has achievement,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5367; sequence_match=0.4286,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has playing area,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5367; sequence_match=0.4286,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has playing area,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5056; sequence_match=0.4348,False,0.5278,False,top-3 avg score 0.5278 < final_threshold 0.7
ObjectProperty,lives in,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.5737; sequence_match=0.3810,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
ObjectProperty,has game genre,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6574; levenshtein=0.4167; semantic=0.4441; sequence_match=0.4762,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,purchases game offering,equipped game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5992; levenshtein=0.2381; semantic=0.6119; sequence_match=0.3636,False,0.5249,False,top-3 avg score 0.5249 < final_threshold 0.7
ObjectProperty,has leaderboard,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.4944; sequence_match=0.4348,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,involves player,plays game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4934; levenshtein=0.2857; semantic=0.6393; sequence_match=0.4348,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.7
ObjectProperty,has playing area,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.5115; sequence_match=0.4167,False,0.5221,False,top-3 avg score 0.5221 < final_threshold 0.7
ObjectProperty,is achievement in game,usage game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5396; levenshtein=0.3684; semantic=0.5263; sequence_match=0.5000,False,0.522,False,top-3 avg score 0.5220 < final_threshold 0.7
ObjectProperty,has character,game has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6019; levenshtein=0.3333; semantic=0.5594; sequence_match=0.4000,False,0.5204,False,top-3 avg score 0.5204 < final_threshold 0.7
ObjectProperty,is character in game,context game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5875; levenshtein=0.4118; semantic=0.4731; sequence_match=0.5000,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.7
ObjectProperty,has playing area,for player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.3571; semantic=0.5348; sequence_match=0.4348,False,0.5189,False,top-3 avg score 0.5189 < final_threshold 0.7
ObjectProperty,is player in session,equipped player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5140; levenshtein=0.0588; semantic=0.5897; sequence_match=0.4516,False,0.5184,False,top-3 avg score 0.5184 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6469; levenshtein=0.3158; semantic=0.4233; sequence_match=0.4848,False,0.5183,False,top-3 avg score 0.5183 < final_threshold 0.7
ObjectProperty,has leaderboard,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5635; levenshtein=0.2857; semantic=0.6312; sequence_match=0.3571,False,0.5173,False,top-3 avg score 0.5173 < final_threshold 0.7
ObjectProperty,is character in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6594; levenshtein=0.2941; semantic=0.5049; sequence_match=0.3871,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.7
ObjectProperty,has feature,usage item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.5099; sequence_match=0.4211,False,0.5165,False,top-3 avg score 0.5165 < final_threshold 0.7
ObjectProperty,is character in game,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6256; levenshtein=0.2941; semantic=0.5043; sequence_match=0.4167,False,0.5155,False,top-3 avg score 0.5155 < final_threshold 0.7
ObjectProperty,has leaderboard,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5434; sequence_match=0.3810,False,0.5145,False,top-3 avg score 0.5145 < final_threshold 0.7
ObjectProperty,is player in session,context player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5287; levenshtein=0.0588; semantic=0.6138; sequence_match=0.4000,False,0.5141,False,top-3 avg score 0.5141 < final_threshold 0.7
ObjectProperty,owns achievement,usage item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3333; semantic=0.4921; sequence_match=0.4167,False,0.514,False,top-3 avg score 0.5140 < final_threshold 0.7
ObjectProperty,has item,purchased by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.2727; semantic=0.4518; sequence_match=0.4444,False,0.5138,False,top-3 avg score 0.5138 < final_threshold 0.7
ObjectProperty,has achievement,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.5355; sequence_match=0.4348,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.7
ObjectProperty,plays game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.5355; sequence_match=0.4348,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.7
ObjectProperty,owns character,summary player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6410; levenshtein=0.1538; semantic=0.4373; sequence_match=0.4615,False,0.5133,False,top-3 avg score 0.5133 < final_threshold 0.7
