role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasoperator,hasoperator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,partof,ispartof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9167; levenshtein=0.7500; semantic=0.8314; sequence_match=0.8571,False,0.8684,True,selected
property,hasoperator,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8190; levenshtein=0.7500; semantic=0.7978; sequence_match=0.7826,False,0.7998,False,gold already mapped to 'hasoperator'
property,hasduty,hastype,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6797; sequence_match=0.7143,False,0.7535,False,gold already mapped to 'hasduty'
property,hasoperator,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8217; levenshtein=0.3636; semantic=0.6487; sequence_match=0.5556,False,0.6753,False,gold already mapped to 'hasoperator'
property,hasaction,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8260; levenshtein=0.3846; semantic=0.6452; sequence_match=0.5455,False,0.6722,False,pred already taken by 'hasconstraint' (higher averaged score)
property,andsequence,isconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7690; levenshtein=0.5333; semantic=0.5522; sequence_match=0.6923,False,0.6712,False,pred already taken by 'consequence' (higher averaged score)
property,hasoperator,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8061; levenshtein=0.3636; semantic=0.6419; sequence_match=0.5556,False,0.6678,False,gold already mapped to 'hasoperator'
property,haspermission,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8075; levenshtein=0.4615; semantic=0.5869; sequence_match=0.5833,False,0.6592,False,pred already taken by 'hasoperator' (higher averaged score)
property,hasduty,hasright,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.7369; sequence_match=0.5333,False,0.6536,False,gold already mapped to 'hasduty'
property,hasaction,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.6441; sequence_match=0.6000,False,0.6420,False,pred already taken by 'hasoperator' (higher averaged score)
property,hasconstraint,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.4615; semantic=0.6425; sequence_match=0.5833,False,0.6344,False,gold already mapped to 'hasconstraint'
property,hasoperator,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.4615; semantic=0.6425; sequence_match=0.5833,False,0.6344,False,gold already mapped to 'hasoperator'
property,hasoperator,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.3636; semantic=0.6721; sequence_match=0.5263,False,0.6305,False,gold already mapped to 'hasoperator'
property,operand,hasoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.4545; semantic=0.7139; sequence_match=0.5556,False,0.6197,False,gold already mapped to 'usesoperator'
property,hasprohibition,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8072; levenshtein=0.4286; semantic=0.5670; sequence_match=0.4800,False,0.6181,False,gold already mapped to 'hasright'
property,hasaction,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6786; sequence_match=0.5000,False,0.6168,False,gold already mapped to 'hasrole'
property,hasaction,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6333; sequence_match=0.5000,False,0.6017,False,gold already mapped to 'hasrole'
property,haspermission,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6996; levenshtein=0.2308; semantic=0.5965; sequence_match=0.5000,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.6
property,haspermission,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6699; levenshtein=0.3846; semantic=0.6481; sequence_match=0.4762,False,0.5981,False,top-3 avg score 0.5981 < final_threshold 0.6
property,hasduty,assignedto,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6571; levenshtein=0.2000; semantic=0.6618; sequence_match=0.4706,False,0.5965,False,top-3 avg score 0.5965 < final_threshold 0.6
property,hasprohibition,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.6221; sequence_match=0.4762,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.6
property,hasaction,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6602; levenshtein=0.3333; semantic=0.6505; sequence_match=0.4706,False,0.5937,False,top-3 avg score 0.5937 < final_threshold 0.6
property,scope,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7212; levenshtein=0.2727; semantic=0.5570; sequence_match=0.5000,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.6
property,inheritsfrom,expressesinheritance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5852; levenshtein=0.3000; semantic=0.7485; sequence_match=0.4375,False,0.5904,False,top-3 avg score 0.5904 < final_threshold 0.6
property,hasduty,hasrole,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6190; levenshtein=0.4286; semantic=0.7193; sequence_match=0.4286,False,0.5890,False,top-3 avg score 0.5890 < final_threshold 0.6
property,scope,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5789; sequence_match=0.5000,False,0.5850,False,top-3 avg score 0.5850 < final_threshold 0.6
property,target,hasright,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7222; levenshtein=0.5000; semantic=0.5325; sequence_match=0.1429,False,0.5849,False,top-3 avg score 0.5849 < final_threshold 0.6
property,hasduty,hasoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6627; sequence_match=0.4444,False,0.5840,False,top-3 avg score 0.5840 < final_threshold 0.6
property,hasoperator,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6627; sequence_match=0.4444,False,0.5840,False,top-3 avg score 0.5840 < final_threshold 0.6
property,assignee,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5612; sequence_match=0.5000,False,0.5759,False,top-3 avg score 0.5759 < final_threshold 0.6
property,scope,specifies,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6648; levenshtein=0.3333; semantic=0.6259; sequence_match=0.4286,False,0.5731,False,top-3 avg score 0.5731 < final_threshold 0.6
property,hasconstraint,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6886; sequence_match=0.4000,False,0.5716,False,top-3 avg score 0.5716 < final_threshold 0.6
property,assigner,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5481; sequence_match=0.5000,False,0.5716,False,top-3 avg score 0.5716 < final_threshold 0.6
property,hasprohibition,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6456; levenshtein=0.3571; semantic=0.6812; sequence_match=0.3704,False,0.5657,False,top-3 avg score 0.5657 < final_threshold 0.6
property,hasprohibition,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6964; sequence_match=0.3810,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.6
property,hasduty,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6626; sequence_match=0.4000,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,hasconstraint,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6626; sequence_match=0.4000,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,hasoperator,assignedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6515; levenshtein=0.2727; semantic=0.5459; sequence_match=0.4762,False,0.5579,False,top-3 avg score 0.5579 < final_threshold 0.6
property,target,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5684; sequence_match=0.4615,False,0.5576,False,top-3 avg score 0.5576 < final_threshold 0.6
property,hasconstraint,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6386; sequence_match=0.4000,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
property,inheritsfrom,islinkedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.1667; semantic=0.5620; sequence_match=0.4545,False,0.5537,False,top-3 avg score 0.5537 < final_threshold 0.6
property,obligation,violates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.2000; semantic=0.5719; sequence_match=0.4444,False,0.5527,False,top-3 avg score 0.5527 < final_threshold 0.6
property,hasconstraint,hasright,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.6576; sequence_match=0.3810,False,0.5485,False,top-3 avg score 0.5485 < final_threshold 0.6
property,scope,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.3333; semantic=0.5453; sequence_match=0.4706,False,0.5479,False,top-3 avg score 0.5479 < final_threshold 0.6
property,hasprohibition,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6434; sequence_match=0.3810,False,0.5478,False,top-3 avg score 0.5478 < final_threshold 0.6
property,haspermission,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6078; sequence_match=0.4000,False,0.5469,False,top-3 avg score 0.5469 < final_threshold 0.6
property,hasoperator,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6328; levenshtein=0.3158; semantic=0.5379; sequence_match=0.4667,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.6
property,hasaction,assignedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.1000; semantic=0.5711; sequence_match=0.4211,False,0.5455,False,top-3 avg score 0.5455 < final_threshold 0.6
property,haspermission,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6447; levenshtein=0.3077; semantic=0.6044; sequence_match=0.3846,False,0.5446,False,top-3 avg score 0.5446 < final_threshold 0.6
property,assigner,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5910; sequence_match=0.4211,False,0.5444,False,top-3 avg score 0.5444 < final_threshold 0.6
property,target,assignedto,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6889; levenshtein=0.3000; semantic=0.6436; sequence_match=0.1250,False,0.5442,False,top-3 avg score 0.5442 < final_threshold 0.6
property,hasaction,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5349; sequence_match=0.4286,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.6
property,partof,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5235; sequence_match=0.4615,False,0.5426,False,top-3 avg score 0.5426 < final_threshold 0.6
property,assigner,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5430; sequence_match=0.4762,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
property,hasoperator,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.2727; semantic=0.5671; sequence_match=0.4211,False,0.5382,False,top-3 avg score 0.5382 < final_threshold 0.6
property,obligation,assignedto,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6000; levenshtein=0.2000; semantic=0.6042; sequence_match=0.4000,False,0.5347,False,top-3 avg score 0.5347 < final_threshold 0.6
property,haspermission,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6479; levenshtein=0.3158; semantic=0.5181; sequence_match=0.4375,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.6
property,hasconstraint,isconsequenceof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6205; levenshtein=0.3333; semantic=0.5525; sequence_match=0.4286,False,0.5339,False,top-3 avg score 0.5339 < final_threshold 0.6
property,hasduty,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.5980; sequence_match=0.4000,False,0.5331,False,top-3 avg score 0.5331 < final_threshold 0.6
property,failure,isactivatedbyfailureof,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4105; levenshtein=0.3182; semantic=0.7049; sequence_match=0.4828,False,0.5327,False,top-3 avg score 0.5327 < final_threshold 0.6
property,assigner,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5912; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.6
property,inheritrelation,islinkedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5807; sequence_match=0.4000,False,0.5306,False,top-3 avg score 0.5306 < final_threshold 0.6
property,scope,isconsequenceof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.2667; semantic=0.4982; sequence_match=0.4000,False,0.5290,False,top-3 avg score 0.5290 < final_threshold 0.6
property,relation,islinkedto,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5750; levenshtein=0.1000; semantic=0.6733; sequence_match=0.3333,False,0.5272,False,top-3 avg score 0.5272 < final_threshold 0.6
property,inheritsfrom,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.3333; semantic=0.5632; sequence_match=0.4000,False,0.5257,False,top-3 avg score 0.5257 < final_threshold 0.6
property,inheritrelation,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6058; levenshtein=0.3333; semantic=0.5058; sequence_match=0.4615,False,0.5244,False,top-3 avg score 0.5244 < final_threshold 0.6
property,assignee,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5703; sequence_match=0.4000,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.6
property,inheritsfrom,assignedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.0833; semantic=0.5275; sequence_match=0.4545,False,0.5237,False,top-3 avg score 0.5237 < final_threshold 0.6
property,assignee,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5679; sequence_match=0.4000,False,0.5230,False,top-3 avg score 0.5230 < final_threshold 0.6
property,haspermission,specifies,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.4558; sequence_match=0.4545,False,0.5214,False,top-3 avg score 0.5214 < final_threshold 0.6
property,haspermission,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6026; levenshtein=0.2308; semantic=0.5736; sequence_match=0.3810,False,0.5190,False,top-3 avg score 0.5190 < final_threshold 0.6
property,haspermission,assignedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.2308; semantic=0.5598; sequence_match=0.4348,False,0.5187,False,top-3 avg score 0.5187 < final_threshold 0.6
property,inheritsfrom,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5970; levenshtein=0.1667; semantic=0.5240; sequence_match=0.4348,False,0.5186,False,top-3 avg score 0.5186 < final_threshold 0.6
property,failure,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2857; semantic=0.4959; sequence_match=0.4286,False,0.5185,False,top-3 avg score 0.5185 < final_threshold 0.6
property,hasduty,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5925; levenshtein=0.2632; semantic=0.5675; sequence_match=0.3846,False,0.5149,False,top-3 avg score 0.5149 < final_threshold 0.6
property,and,assignedto,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6222; levenshtein=0.3000; semantic=0.4607; sequence_match=0.4615,False,0.5148,False,top-3 avg score 0.5148 < final_threshold 0.6
property,hasprohibition,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2143; semantic=0.5864; sequence_match=0.3636,False,0.5147,False,top-3 avg score 0.5147 < final_threshold 0.6
property,targetpolicy,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.2500; semantic=0.4765; sequence_match=0.4211,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.6
property,and,hasduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.4884; sequence_match=0.4000,False,0.5131,False,top-3 avg score 0.5131 < final_threshold 0.6
property,partof,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.4707; sequence_match=0.4286,False,0.5127,False,top-3 avg score 0.5127 < final_threshold 0.6
property,scope,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5131; levenshtein=0.2727; semantic=0.6485; sequence_match=0.3750,False,0.5122,False,top-3 avg score 0.5122 < final_threshold 0.6
property,target,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.4818; sequence_match=0.4286,False,0.5118,False,top-3 avg score 0.5118 < final_threshold 0.6
property,assigner,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5282; sequence_match=0.4000,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.6
property,inheritrelation,assignedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2667; semantic=0.5182; sequence_match=0.4000,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.6
property,assigner,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5993; sequence_match=0.4000,False,0.5090,False,top-3 avg score 0.5090 < final_threshold 0.6
property,handlepolicyconflicts,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6100; levenshtein=0.2857; semantic=0.4656; sequence_match=0.4500,False,0.5085,False,top-3 avg score 0.5085 < final_threshold 0.6
property,assignee,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5277; sequence_match=0.4762,False,0.5077,False,top-3 avg score 0.5077 < final_threshold 0.6
property,scope,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5764; sequence_match=0.3333,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.6
property,failure,isexclusive,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5617; levenshtein=0.2727; semantic=0.5130; sequence_match=0.4444,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.6
property,hasconstraint,supports,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6032; levenshtein=0.1538; semantic=0.6246; sequence_match=0.2857,False,0.5045,False,top-3 avg score 0.5045 < final_threshold 0.6
property,handlepolicyconflicts,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2381; semantic=0.4766; sequence_match=0.4118,False,0.5040,False,top-3 avg score 0.5040 < final_threshold 0.6
property,relation,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5463; sequence_match=0.3750,False,0.5016,False,top-3 avg score 0.5016 < final_threshold 0.6
property,assignee,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5379; levenshtein=0.1818; semantic=0.5422; sequence_match=0.4211,False,0.5004,False,top-3 avg score 0.5004 < final_threshold 0.6
property,inheritsfrom,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.2500; semantic=0.5226; sequence_match=0.4211,False,0.4984,False,top-3 avg score 0.4984 < final_threshold 0.6
property,assigner,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2632; semantic=0.4882; sequence_match=0.3704,False,0.4972,False,top-3 avg score 0.4972 < final_threshold 0.6
property,inheritsfrom,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.1667; semantic=0.5428; sequence_match=0.4000,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.6
property,target,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5317; levenshtein=0.1429; semantic=0.6487; sequence_match=0.3077,False,0.4961,False,top-3 avg score 0.4961 < final_threshold 0.6
property,hasprohibition,hasnestedconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5276; levenshtein=0.2632; semantic=0.5966; sequence_match=0.3636,False,0.4959,False,top-3 avg score 0.4959 < final_threshold 0.6
property,assignee,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2105; semantic=0.4795; sequence_match=0.3704,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.6
property,hasconstraint,assignedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6316; levenshtein=0.2308; semantic=0.5848; sequence_match=0.2609,False,0.4924,False,top-3 avg score 0.4924 < final_threshold 0.6
property,hasoperator,ispartof,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.5985; levenshtein=0.4545; semantic=0.4027; sequence_match=0.4211,False,0.4914,False,top-3 avg score 0.4914 < final_threshold 0.6
property,hasconstraint,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.2308; semantic=0.5304; sequence_match=0.4000,False,0.4910,False,top-3 avg score 0.4910 < final_threshold 0.6
property,relation,violates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5144; sequence_match=0.3750,False,0.4909,False,top-3 avg score 0.4909 < final_threshold 0.6
property,relation,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5426; sequence_match=0.4000,False,0.4901,False,top-3 avg score 0.4901 < final_threshold 0.6
property,onlyone,violates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.4659; sequence_match=0.4000,False,0.4890,False,top-3 avg score 0.4890 < final_threshold 0.6
property,relation,assignedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5750; levenshtein=0.0000; semantic=0.5564; sequence_match=0.3333,False,0.4882,False,top-3 avg score 0.4882 < final_threshold 0.6
property,hasconstraint,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.1538; semantic=0.5713; sequence_match=0.3333,False,0.4872,False,top-3 avg score 0.4872 < final_threshold 0.6
property,assignee,islinkedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.3000; semantic=0.4672; sequence_match=0.4444,False,0.4872,False,top-3 avg score 0.4872 < final_threshold 0.6
property,onlyone,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2857; semantic=0.5090; sequence_match=0.4286,False,0.4871,False,top-3 avg score 0.4871 < final_threshold 0.6
property,haspermission,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5531; levenshtein=0.2308; semantic=0.6055; sequence_match=0.3000,False,0.4862,False,top-3 avg score 0.4862 < final_threshold 0.6
property,hasaction,isactivatedbyfailureof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5909; levenshtein=0.2273; semantic=0.4806; sequence_match=0.3871,False,0.4862,False,top-3 avg score 0.4862 < final_threshold 0.6
property,assignee,isconsequenceof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.2667; semantic=0.4492; sequence_match=0.3478,False,0.4861,False,top-3 avg score 0.4861 < final_threshold 0.6
property,consequence,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.3077; semantic=0.5613; sequence_match=0.4167,False,0.4859,False,top-3 avg score 0.4859 < final_threshold 0.6
property,assignee,expressesinheritance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5167; levenshtein=0.2500; semantic=0.5086; sequence_match=0.4286,False,0.4846,False,top-3 avg score 0.4846 < final_threshold 0.6
property,scope,supports,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5472; levenshtein=0.2500; semantic=0.5973; sequence_match=0.3077,False,0.4841,False,top-3 avg score 0.4841 < final_threshold 0.6
property,function,assignedto,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.1000; semantic=0.5673; sequence_match=0.3333,False,0.4835,False,top-3 avg score 0.4835 < final_threshold 0.6
