prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has billing period,Has Billing Date Period,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9350; levenshtein=0.8000; semantic=0.9399; sequence_match=0.8889,False,0.9213,True,selected
ObjectProperty,has property,Has Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.7765; sequence_match=0.5263,False,0.6653,False,top-3 avg score 0.6653 < final_threshold 0.7
ObjectProperty,is measured by device,Measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.3889; semantic=0.7826; sequence_match=0.5385,False,0.6564,False,top-3 avg score 0.6564 < final_threshold 0.7
ObjectProperty,has key performance indicator,Has Water Indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6864; levenshtein=0.5385; semantic=0.5926; sequence_match=0.6512,False,0.6434,False,top-3 avg score 0.6434 < final_threshold 0.7
ObjectProperty,has period,Has Billing Date Period,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6000; levenshtein=0.4500; semantic=0.6838; sequence_match=0.6207,False,0.6348,False,top-3 avg score 0.6348 < final_threshold 0.7
ObjectProperty,has period,Has Tariff,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5079; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,is measured by device,Has Measurement Setting,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6207; levenshtein=0.4762; semantic=0.7417; sequence_match=0.5128,False,0.6251,False,top-3 avg score 0.6251 < final_threshold 0.7
ObjectProperty,has duration,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7983; levenshtein=0.4000; semantic=0.6041; sequence_match=0.4615,False,0.6213,False,top-3 avg score 0.6213 < final_threshold 0.7
ObjectProperty,has duration,Has Tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8300; levenshtein=0.4545; semantic=0.4769; sequence_match=0.5000,False,0.6023,False,top-3 avg score 0.6023 < final_threshold 0.7
ObjectProperty,has period,Has Water Indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8109; levenshtein=0.4118; semantic=0.4464; sequence_match=0.5385,False,0.5986,False,top-3 avg score 0.5986 < final_threshold 0.7
ObjectProperty,hasGeometry,Has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.5693; sequence_match=0.5263,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.7
ObjectProperty,has duration,Has Water Indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8127; levenshtein=0.3529; semantic=0.4610; sequence_match=0.5000,False,0.5912,False,top-3 avg score 0.5912 < final_threshold 0.7
ObjectProperty,feature is measured by device,Measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6483; levenshtein=0.2800; semantic=0.6792; sequence_match=0.4242,False,0.5839,False,top-3 avg score 0.5839 < final_threshold 0.7
ObjectProperty,has duration,Has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.3636; semantic=0.5290; sequence_match=0.5263,False,0.5828,False,top-3 avg score 0.5828 < final_threshold 0.7
ObjectProperty,has property,Has Tariff Period,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6702; levenshtein=0.4667; semantic=0.5106; sequence_match=0.5385,False,0.5731,False,top-3 avg score 0.5731 < final_threshold 0.7
ObjectProperty,has duration,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6449; levenshtein=0.3500; semantic=0.5579; sequence_match=0.5161,False,0.573,False,top-3 avg score 0.5730 < final_threshold 0.7
ObjectProperty,feature is measured by device,Has Measurement Setting,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5592; levenshtein=0.3600; semantic=0.6708; sequence_match=0.4783,False,0.5694,False,top-3 avg score 0.5694 < final_threshold 0.7
ObjectProperty,has period,Has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5691; sequence_match=0.4706,False,0.5626,False,top-3 avg score 0.5626 < final_threshold 0.7
ObjectProperty,has period,Has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5721; sequence_match=0.4286,False,0.5561,False,top-3 avg score 0.5561 < final_threshold 0.7
ObjectProperty,has duration,Has Measurement Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6194; levenshtein=0.3333; semantic=0.5267; sequence_match=0.5000,False,0.5487,False,top-3 avg score 0.5487 < final_threshold 0.7
ObjectProperty,hasGeometry,Has Physical Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5730; levenshtein=0.3158; semantic=0.6535; sequence_match=0.4000,False,0.5422,False,top-3 avg score 0.5422 < final_threshold 0.7
ObjectProperty,has measurement,Has Physical Property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6225; levenshtein=0.3684; semantic=0.6223; sequence_match=0.3636,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,has measurement,Has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5179; sequence_match=0.4348,False,0.5301,False,top-3 avg score 0.5301 < final_threshold 0.7
ObjectProperty,has duration,Measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5437; sequence_match=0.4211,False,0.5287,False,top-3 avg score 0.5287 < final_threshold 0.7
ObjectProperty,hasGeometry,Has Tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.4708; sequence_match=0.5000,False,0.5245,False,top-3 avg score 0.5245 < final_threshold 0.7
ObjectProperty,has key performance indicator,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6863; levenshtein=0.2692; semantic=0.4758; sequence_match=0.3902,False,0.5175,False,top-3 avg score 0.5175 < final_threshold 0.7
ObjectProperty,has phenomenon time,Has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5936; levenshtein=0.3158; semantic=0.5697; sequence_match=0.3889,False,0.5174,False,top-3 avg score 0.5174 < final_threshold 0.7
ObjectProperty,has measurement,Has Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6390; levenshtein=0.2941; semantic=0.5227; sequence_match=0.3871,False,0.5163,False,top-3 avg score 0.5163 < final_threshold 0.7
ObjectProperty,has property,Has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.5435; sequence_match=0.4000,False,0.5154,False,top-3 avg score 0.5154 < final_threshold 0.7
ObjectProperty,has phenomenon time,Has Measurement Setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6480; levenshtein=0.3810; semantic=0.4155; sequence_match=0.4737,False,0.5124,False,top-3 avg score 0.5124 < final_threshold 0.7
ObjectProperty,has property,Measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.4948; sequence_match=0.4211,False,0.5123,False,top-3 avg score 0.5123 < final_threshold 0.7
ObjectProperty,has phenomenon time,Has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.4910; sequence_match=0.4000,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.7
ObjectProperty,has property,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6145; levenshtein=0.3000; semantic=0.5283; sequence_match=0.3871,False,0.51,False,top-3 avg score 0.5100 < final_threshold 0.7
ObjectProperty,has duration,Has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.5640; sequence_match=0.3333,False,0.506,False,top-3 avg score 0.5060 < final_threshold 0.7
ObjectProperty,hasGeometry,Has Measurement Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6194; levenshtein=0.3333; semantic=0.5229; sequence_match=0.3750,False,0.5058,False,top-3 avg score 0.5058 < final_threshold 0.7
ObjectProperty,has key performance indicator,Has Measurement Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6038; levenshtein=0.3077; semantic=0.4843; sequence_match=0.4255,False,0.5045,False,top-3 avg score 0.5045 < final_threshold 0.7
ObjectProperty,has billing period,Has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.3684; semantic=0.4785; sequence_match=0.4571,False,0.5011,False,top-3 avg score 0.5011 < final_threshold 0.7
ObjectProperty,has key performance indicator,Has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6511; levenshtein=0.2308; semantic=0.4880; sequence_match=0.3556,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.7
ObjectProperty,has phenomenon time,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5785; levenshtein=0.2353; semantic=0.5287; sequence_match=0.3750,False,0.4941,False,top-3 avg score 0.4941 < final_threshold 0.7
ObjectProperty,hasGeometry,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6674; levenshtein=0.3000; semantic=0.4209; sequence_match=0.3871,False,0.4918,False,top-3 avg score 0.4918 < final_threshold 0.7
ObjectProperty,hasGeometry,Has Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5772; levenshtein=0.2941; semantic=0.4664; sequence_match=0.4286,False,0.4907,False,top-3 avg score 0.4907 < final_threshold 0.7
ObjectProperty,has billing period,Has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.3125; semantic=0.5146; sequence_match=0.4000,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.7
ObjectProperty,has key performance indicator,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6271; levenshtein=0.2692; semantic=0.4506; sequence_match=0.3913,False,0.4897,False,top-3 avg score 0.4897 < final_threshold 0.7
ObjectProperty,has billing period,Has Water Indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6377; levenshtein=0.3529; semantic=0.3918; sequence_match=0.4242,False,0.4846,False,top-3 avg score 0.4846 < final_threshold 0.7
ObjectProperty,has period,Has Measurement Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5979; levenshtein=0.2857; semantic=0.4548; sequence_match=0.4000,False,0.4842,False,top-3 avg score 0.4842 < final_threshold 0.7
ObjectProperty,hasGeometry,Measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5598; levenshtein=0.1818; semantic=0.5664; sequence_match=0.3158,False,0.4807,False,top-3 avg score 0.4807 < final_threshold 0.7
ObjectProperty,has property,Has Water Indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5772; levenshtein=0.2941; semantic=0.4236; sequence_match=0.4286,False,0.4765,False,top-3 avg score 0.4765 < final_threshold 0.7
ObjectProperty,has billing period,Has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5105; sequence_match=0.3333,False,0.4757,False,top-3 avg score 0.4757 < final_threshold 0.7
ObjectProperty,hasGeometry,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5929; levenshtein=0.2667; semantic=0.4474; sequence_match=0.3846,False,0.475,False,top-3 avg score 0.4750 < final_threshold 0.7
ObjectProperty,is measured by device,Has Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5967; levenshtein=0.1111; semantic=0.4832; sequence_match=0.3429,False,0.4743,False,top-3 avg score 0.4743 < final_threshold 0.7
ObjectProperty,applies to,Has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6053; levenshtein=0.2632; semantic=0.4462; sequence_match=0.3571,False,0.4695,False,top-3 avg score 0.4695 < final_threshold 0.7
ObjectProperty,makes measurement,Has Physical Property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5544; levenshtein=0.3158; semantic=0.5351; sequence_match=0.2857,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,has period,Measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.4870; sequence_match=0.3529,False,0.4683,False,top-3 avg score 0.4683 < final_threshold 0.7
ObjectProperty,applies to,Has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.4838; sequence_match=0.3529,False,0.4672,False,top-3 avg score 0.4672 < final_threshold 0.7
ObjectProperty,makes measurement,Has Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5688; levenshtein=0.1176; semantic=0.5211; sequence_match=0.3030,False,0.4643,False,top-3 avg score 0.4643 < final_threshold 0.7
ObjectProperty,has phenomenon time,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5857; levenshtein=0.2500; semantic=0.4828; sequence_match=0.3243,False,0.4643,False,top-3 avg score 0.4643 < final_threshold 0.7
ObjectProperty,has property,Has Measurement Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5548; levenshtein=0.2857; semantic=0.4600; sequence_match=0.3750,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.7
ObjectProperty,has measurement,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6235; levenshtein=0.2500; semantic=0.4696; sequence_match=0.2941,False,0.4624,False,top-3 avg score 0.4624 < final_threshold 0.7
ObjectProperty,has measurement,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5540; levenshtein=0.2667; semantic=0.4872; sequence_match=0.3448,False,0.462,False,top-3 avg score 0.4620 < final_threshold 0.7
ObjectProperty,has phenomenon time,Has Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6054; levenshtein=0.2353; semantic=0.4275; sequence_match=0.3529,False,0.4619,False,top-3 avg score 0.4619 < final_threshold 0.7
ObjectProperty,isKPIOf,Has Tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.4594; sequence_match=0.2500,False,0.46,False,top-3 avg score 0.4600 < final_threshold 0.7
ObjectProperty,applies to,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.2667; semantic=0.4614; sequence_match=0.3333,False,0.4575,False,top-3 avg score 0.4575 < final_threshold 0.7
ObjectProperty,makes measurement,Has Asset,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5125; levenshtein=0.3750; semantic=0.4637; sequence_match=0.3333,False,0.4504,False,top-3 avg score 0.4504 < final_threshold 0.7
ObjectProperty,has key performance indicator,Has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5391; levenshtein=0.2308; semantic=0.5000; sequence_match=0.2941,False,0.4444,False,top-3 avg score 0.4444 < final_threshold 0.7
ObjectProperty,is measured by device,Has Physical Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4968; levenshtein=0.1053; semantic=0.5092; sequence_match=0.3243,False,0.4435,False,top-3 avg score 0.4435 < final_threshold 0.7
ObjectProperty,has key performance indicator,Has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5871; levenshtein=0.1923; semantic=0.4547; sequence_match=0.2857,False,0.4425,False,top-3 avg score 0.4425 < final_threshold 0.7
ObjectProperty,feature is measured by device,Has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5372; levenshtein=0.2000; semantic=0.5125; sequence_match=0.2727,False,0.4408,False,top-3 avg score 0.4408 < final_threshold 0.7
ObjectProperty,applies to,Measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.5095; sequence_match=0.3529,False,0.4403,False,top-3 avg score 0.4403 < final_threshold 0.7
ObjectProperty,applies to,Has Tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.5023; sequence_match=0.3333,False,0.439,False,top-3 avg score 0.4390 < final_threshold 0.7
ObjectProperty,applies to,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2500; semantic=0.4274; sequence_match=0.3448,False,0.4389,False,top-3 avg score 0.4389 < final_threshold 0.7
ObjectProperty,feature is measured by device,Has Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5442; levenshtein=0.1600; semantic=0.4346; sequence_match=0.3333,False,0.4374,False,top-3 avg score 0.4374 < final_threshold 0.7
ObjectProperty,has phenomenon time,Has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5033; levenshtein=0.2353; semantic=0.4218; sequence_match=0.3846,False,0.4366,False,top-3 avg score 0.4366 < final_threshold 0.7
ObjectProperty,has billing period,Has Measurement Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.2857; semantic=0.4405; sequence_match=0.3243,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.7
ObjectProperty,makes measurement,Has Tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5648; levenshtein=0.2500; semantic=0.4925; sequence_match=0.2400,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.7
ObjectProperty,measurement made by,Has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4982; levenshtein=0.1579; semantic=0.4518; sequence_match=0.3333,False,0.4278,False,top-3 avg score 0.4278 < final_threshold 0.7
ObjectProperty,applies to,Has Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.2353; semantic=0.4080; sequence_match=0.3077,False,0.4259,False,top-3 avg score 0.4259 < final_threshold 0.7
ObjectProperty,isKPIOf,Has Physical Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5107; levenshtein=0.1579; semantic=0.5281; sequence_match=0.2308,False,0.4232,False,top-3 avg score 0.4232 < final_threshold 0.7
ObjectProperty,feature is measured by device,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2400; semantic=0.4006; sequence_match=0.2500,False,0.418,False,top-3 avg score 0.4180 < final_threshold 0.7
ObjectProperty,isKPIOf,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4460; levenshtein=0.2667; semantic=0.4387; sequence_match=0.3636,False,0.4161,False,top-3 avg score 0.4161 < final_threshold 0.7
ObjectProperty,has key performance indicator,Measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5491; levenshtein=0.1154; semantic=0.5030; sequence_match=0.1765,False,0.4095,False,top-3 avg score 0.4095 < final_threshold 0.7
ObjectProperty,measurement made by,Has Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4804; levenshtein=0.1765; semantic=0.4529; sequence_match=0.2941,False,0.4091,False,top-3 avg score 0.4091 < final_threshold 0.7
ObjectProperty,measurement made by,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5288; levenshtein=0.1176; semantic=0.3688; sequence_match=0.3125,False,0.4033,False,top-3 avg score 0.4033 < final_threshold 0.7
ObjectProperty,measurement made by,Has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4951; levenshtein=0.2353; semantic=0.3949; sequence_match=0.3200,False,0.4033,False,top-3 avg score 0.4033 < final_threshold 0.7
ObjectProperty,is measured by device,Has Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4757; levenshtein=0.2222; semantic=0.4259; sequence_match=0.3030,False,0.4015,False,top-3 avg score 0.4015 < final_threshold 0.7
ObjectProperty,has phenomenon time,Measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4951; levenshtein=0.1176; semantic=0.4628; sequence_match=0.2400,False,0.3993,False,top-3 avg score 0.3993 < final_threshold 0.7
ObjectProperty,is measured by device,Has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.4284; sequence_match=0.2963,False,0.399,False,top-3 avg score 0.3990 < final_threshold 0.7
ObjectProperty,feature is measured by device,Has Tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5431; levenshtein=0.2000; semantic=0.4084; sequence_match=0.2353,False,0.3956,False,top-3 avg score 0.3956 < final_threshold 0.7
ObjectProperty,isKPIOf,Has Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4678; levenshtein=0.1765; semantic=0.4589; sequence_match=0.2500,False,0.3922,False,top-3 avg score 0.3922 < final_threshold 0.7
ObjectProperty,has billing period,Measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.4167; sequence_match=0.2500,False,0.3889,False,top-3 avg score 0.3889 < final_threshold 0.7
ObjectProperty,feature is measured by device,Has Asset,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5522; levenshtein=0.2000; semantic=0.4129; sequence_match=0.1818,False,0.3884,False,top-3 avg score 0.3884 < final_threshold 0.7
ObjectProperty,isKPIOf,Has Billing Date Period,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4151; levenshtein=0.2000; semantic=0.4314; sequence_match=0.2963,False,0.3809,False,top-3 avg score 0.3809 < final_threshold 0.7
ObjectProperty,is measured by device,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.2000; semantic=0.3715; sequence_match=0.2105,False,0.378,False,top-3 avg score 0.3780 < final_threshold 0.7
ObjectProperty,measurement made by,Has Tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4766; levenshtein=0.2353; semantic=0.4140; sequence_match=0.2308,False,0.3753,False,top-3 avg score 0.3753 < final_threshold 0.7
ObjectProperty,makes measurement,Has Tariff Period,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4153; levenshtein=0.1250; semantic=0.4497; sequence_match=0.2581,False,0.3744,False,top-3 avg score 0.3744 < final_threshold 0.7
ObjectProperty,makes measurement,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.1500; semantic=0.4008; sequence_match=0.1667,False,0.3725,False,top-3 avg score 0.3725 < final_threshold 0.7
ObjectProperty,feature is measured by device,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5421; levenshtein=0.2000; semantic=0.3467; sequence_match=0.2222,False,0.3703,False,top-3 avg score 0.3703 < final_threshold 0.7
ObjectProperty,measurement made by,Has Billing Date Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5402; levenshtein=0.2000; semantic=0.3304; sequence_match=0.2162,False,0.3623,False,top-3 avg score 0.3623 < final_threshold 0.7
ObjectProperty,isKPIOf,Measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.0000; semantic=0.5275; sequence_match=0.1333,False,0.3611,False,top-3 avg score 0.3611 < final_threshold 0.7
ObjectProperty,applies to,Has Measurement Setting,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4616; levenshtein=0.1905; semantic=0.4277; sequence_match=0.1333,False,0.3599,False,top-3 avg score 0.3599 < final_threshold 0.7
ObjectProperty,is measured by device,Has Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4074; levenshtein=0.1667; semantic=0.4291; sequence_match=0.2308,False,0.3558,False,top-3 avg score 0.3558 < final_threshold 0.7
ObjectProperty,isKPIOf,Has Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.1250; semantic=0.4965; sequence_match=0.1333,False,0.3508,False,top-3 avg score 0.3508 < final_threshold 0.7
ObjectProperty,isKPIOf,Has Measurement Setting,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3968; levenshtein=0.0952; semantic=0.4753; sequence_match=0.0714,False,0.3224,False,top-3 avg score 0.3224 < final_threshold 0.7
DatatypeProperty,has fabrication number,Fabrication Number,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8912; levenshtein=0.8500; semantic=0.9316; sequence_match=0.9189,False,0.9139,True,selected
DatatypeProperty,has firmware version,Firmware Version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8778; levenshtein=0.8333; semantic=0.9220; sequence_match=0.9091,False,0.903,True,selected
DatatypeProperty,has manufacturer,Manufacturer,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8500; levenshtein=0.8000; semantic=0.9217; sequence_match=0.8889,False,0.8869,True,selected
DatatypeProperty,has version,Version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8048; levenshtein=0.7000; semantic=0.9101; sequence_match=0.8235,False,0.8461,True,selected
DatatypeProperty,has model,Model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8750; levenshtein=0.6250; semantic=0.8790; sequence_match=0.7692,False,0.8411,True,selected
DatatypeProperty,has hardware version,Firmware Version,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6667; semantic=0.7055; sequence_match=0.7273,False,0.7424,False,pred already taken by 'has firmware version'
DatatypeProperty,has version,Firmware Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6528; levenshtein=0.5333; semantic=0.7954; sequence_match=0.6400,False,0.6961,False,top-3 avg score 0.6961 < final_threshold 0.7
DatatypeProperty,operates at radio frequency,Radio Frequency Level,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6696; levenshtein=0.3750; semantic=0.7023; sequence_match=0.6512,False,0.6743,False,top-3 avg score 0.6743 < final_threshold 0.7
