prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,True,selected
ObjectProperty,has character,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
ObjectProperty,has game genre,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.6653; sequence_match=0.5714,False,0.653,False,top-3 avg score 0.6530 < final_threshold 0.7
ObjectProperty,has feature,has genre of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8133; levenshtein=0.4000; semantic=0.5289; sequence_match=0.6000,False,0.6474,False,top-3 avg score 0.6474 < final_threshold 0.7
ObjectProperty,has playing area,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,plays game,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,is player in session,is played by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8224; levenshtein=0.4118; semantic=0.5403; sequence_match=0.5185,False,0.6271,False,top-3 avg score 0.6271 < final_threshold 0.7
ObjectProperty,lives in,is area in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.3750; semantic=0.6318; sequence_match=0.5333,False,0.6261,False,top-3 avg score 0.6261 < final_threshold 0.7
ObjectProperty,plays game,is played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6444; levenshtein=0.3000; semantic=0.7075; sequence_match=0.5263,False,0.6261,False,top-3 avg score 0.6261 < final_threshold 0.7
ObjectProperty,has playing area,has genre,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.4903; sequence_match=0.5455,False,0.6189,False,top-3 avg score 0.6189 < final_threshold 0.7
ObjectProperty,involves player,is played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5905; levenshtein=0.3571; semantic=0.6527; sequence_match=0.5833,False,0.6088,False,top-3 avg score 0.6088 < final_threshold 0.7
ObjectProperty,has item,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6007; sequence_match=0.5333,False,0.6082,False,top-3 avg score 0.6082 < final_threshold 0.7
ObjectProperty,has item,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.3333; semantic=0.5302; sequence_match=0.4800,False,0.6071,False,top-3 avg score 0.6071 < final_threshold 0.7
ObjectProperty,is character in game,is area in,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8255; levenshtein=0.4118; semantic=0.3818; sequence_match=0.5600,False,0.5991,False,top-3 avg score 0.5991 < final_threshold 0.7
ObjectProperty,has feature,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.6542; sequence_match=0.4706,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.7
ObjectProperty,owns item,is owned by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5935; levenshtein=0.2222; semantic=0.7302; sequence_match=0.4706,False,0.5981,False,top-3 avg score 0.5981 < final_threshold 0.7
ObjectProperty,has character,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.4167; semantic=0.5926; sequence_match=0.5000,False,0.591,False,top-3 avg score 0.5910 < final_threshold 0.7
ObjectProperty,lives in,is used in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7131; levenshtein=0.3750; semantic=0.5046; sequence_match=0.5333,False,0.5837,False,top-3 avg score 0.5837 < final_threshold 0.7
ObjectProperty,has game genre,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.5375; sequence_match=0.5385,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.7
ObjectProperty,is session in game,is used in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7733; levenshtein=0.3333; semantic=0.4339; sequence_match=0.5217,False,0.5763,False,top-3 avg score 0.5763 < final_threshold 0.7
ObjectProperty,has game genre,game has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6630; levenshtein=0.2778; semantic=0.6626; sequence_match=0.4000,False,0.5752,False,top-3 avg score 0.5752 < final_threshold 0.7
ObjectProperty,has game genre,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6759; levenshtein=0.3889; semantic=0.5682; sequence_match=0.4667,False,0.5703,False,top-3 avg score 0.5703 < final_threshold 0.7
ObjectProperty,is character in session,is area in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8067; levenshtein=0.3500; semantic=0.3983; sequence_match=0.5000,False,0.5683,False,top-3 avg score 0.5683 < final_threshold 0.7
ObjectProperty,has item,has genre of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.5746; sequence_match=0.4706,False,0.5675,False,top-3 avg score 0.5675 < final_threshold 0.7
ObjectProperty,has achievement,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.5840; sequence_match=0.4545,False,0.5664,False,top-3 avg score 0.5664 < final_threshold 0.7
ObjectProperty,purchases game offering,made purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6365; levenshtein=0.1905; semantic=0.5755; sequence_match=0.4848,False,0.5656,False,top-3 avg score 0.5656 < final_threshold 0.7
ObjectProperty,is friend with player,is played by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5926; levenshtein=0.2778; semantic=0.5834; sequence_match=0.5000,False,0.5587,False,top-3 avg score 0.5587 < final_threshold 0.7
ObjectProperty,has playing area,is area in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5940; levenshtein=0.2143; semantic=0.6227; sequence_match=0.4545,False,0.5571,False,top-3 avg score 0.5571 < final_threshold 0.7
ObjectProperty,has character,has genre of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.3333; semantic=0.5723; sequence_match=0.4545,False,0.5552,False,top-3 avg score 0.5552 < final_threshold 0.7
ObjectProperty,is player in session,is area in,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7717; levenshtein=0.4118; semantic=0.3568; sequence_match=0.4800,False,0.5545,False,top-3 avg score 0.5545 < final_threshold 0.7
ObjectProperty,purchases game offering,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6085; levenshtein=0.3333; semantic=0.5834; sequence_match=0.4667,False,0.5529,False,top-3 avg score 0.5529 < final_threshold 0.7
ObjectProperty,has playing area,has genre of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6857; levenshtein=0.3571; semantic=0.4694; sequence_match=0.5000,False,0.5517,False,top-3 avg score 0.5517 < final_threshold 0.7
ObjectProperty,has feature,has playing area,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5499; sequence_match=0.4167,False,0.5516,False,top-3 avg score 0.5516 < final_threshold 0.7
ObjectProperty,owns achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6968; levenshtein=0.2667; semantic=0.5768; sequence_match=0.3636,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.7
ObjectProperty,has leaderboard,has genre of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6857; levenshtein=0.4286; semantic=0.4480; sequence_match=0.5000,False,0.5446,False,top-3 avg score 0.5446 < final_threshold 0.7
ObjectProperty,has character,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.3333; semantic=0.5441; sequence_match=0.4667,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,is leaderboard in game,is area in,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8123; levenshtein=0.3684; semantic=0.3478; sequence_match=0.4444,False,0.5417,False,top-3 avg score 0.5417 < final_threshold 0.7
ObjectProperty,has leaderboard,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4974; sequence_match=0.4545,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.7
ObjectProperty,has game genre,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5528; sequence_match=0.4211,False,0.5392,False,top-3 avg score 0.5392 < final_threshold 0.7
ObjectProperty,plays game,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.4984; sequence_match=0.4706,False,0.539,False,top-3 avg score 0.5390 < final_threshold 0.7
ObjectProperty,has character,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.3571; semantic=0.5075; sequence_match=0.4615,False,0.5386,False,top-3 avg score 0.5386 < final_threshold 0.7
ObjectProperty,is character in game,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6342; levenshtein=0.3529; semantic=0.4581; sequence_match=0.5161,False,0.5361,False,top-3 avg score 0.5361 < final_threshold 0.7
ObjectProperty,has item,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,has playing area,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5095; sequence_match=0.4762,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,purchases game offering,has genre of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7021; levenshtein=0.2857; semantic=0.4490; sequence_match=0.4516,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,has leaderboard,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3571; semantic=0.5015; sequence_match=0.4286,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,has item,game has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5635; levenshtein=0.3333; semantic=0.5523; sequence_match=0.4800,False,0.5319,False,top-3 avg score 0.5319 < final_threshold 0.7
ObjectProperty,is player in session,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6500; levenshtein=0.3529; semantic=0.4288; sequence_match=0.5161,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.7
ObjectProperty,has achievement,has genre of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5528; sequence_match=0.4167,False,0.5295,False,top-3 avg score 0.5295 < final_threshold 0.7
ObjectProperty,has achievement,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5367; sequence_match=0.4286,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has feature,uses item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.4973; sequence_match=0.4444,False,0.525,False,top-3 avg score 0.5250 < final_threshold 0.7
ObjectProperty,involves player,plays game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4934; levenshtein=0.2857; semantic=0.6393; sequence_match=0.4348,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.7
ObjectProperty,is character in game,is achievement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6723; levenshtein=0.2941; semantic=0.4535; sequence_match=0.4375,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,has character,game has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6019; levenshtein=0.3333; semantic=0.5594; sequence_match=0.4000,False,0.5204,False,top-3 avg score 0.5204 < final_threshold 0.7
ObjectProperty,has feature,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6011; levenshtein=0.3333; semantic=0.5277; sequence_match=0.4286,False,0.5191,False,top-3 avg score 0.5191 < final_threshold 0.7
ObjectProperty,is leaderboard in game,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6469; levenshtein=0.3158; semantic=0.4233; sequence_match=0.4848,False,0.5183,False,top-3 avg score 0.5183 < final_threshold 0.7
ObjectProperty,has playing area,is played by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5651; levenshtein=0.3571; semantic=0.4862; sequence_match=0.5000,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.7
ObjectProperty,is character in game,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6256; levenshtein=0.2941; semantic=0.5043; sequence_match=0.4167,False,0.5155,False,top-3 avg score 0.5155 < final_threshold 0.7
ObjectProperty,has leaderboard,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5434; sequence_match=0.3810,False,0.5145,False,top-3 avg score 0.5145 < final_threshold 0.7
ObjectProperty,has achievement,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.5355; sequence_match=0.4348,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.7
ObjectProperty,purchases game offering,game has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6071; levenshtein=0.2857; semantic=0.6198; sequence_match=0.3077,False,0.5116,False,top-3 avg score 0.5116 < final_threshold 0.7
ObjectProperty,is session in game,plays game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4963; levenshtein=0.3333; semantic=0.6093; sequence_match=0.4167,False,0.5074,False,top-3 avg score 0.5074 < final_threshold 0.7
ObjectProperty,is leaderboard in game,is played by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6419; levenshtein=0.2632; semantic=0.4636; sequence_match=0.4138,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.7
ObjectProperty,purchases game offering,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.1905; semantic=0.5093; sequence_match=0.3571,False,0.5057,False,top-3 avg score 0.5057 < final_threshold 0.7
ObjectProperty,is leaderboard in game,is used in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6886; levenshtein=0.3158; semantic=0.3836; sequence_match=0.4444,False,0.5055,False,top-3 avg score 0.5055 < final_threshold 0.7
ObjectProperty,owns character,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5089; sequence_match=0.3810,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.7
ObjectProperty,is character in game,game has achievement,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6315; levenshtein=0.2778; semantic=0.5985; sequence_match=0.2286,False,0.5026,False,top-3 avg score 0.5026 < final_threshold 0.7
ObjectProperty,is character in game,is used in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.4637; sequence_match=0.4000,False,0.5011,False,top-3 avg score 0.5011 < final_threshold 0.7
ObjectProperty,has achievement,is area in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.2857; semantic=0.4687; sequence_match=0.3636,False,0.501,False,top-3 avg score 0.5010 < final_threshold 0.7
ObjectProperty,is player in session,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.2941; semantic=0.5554; sequence_match=0.3846,False,0.5007,False,top-3 avg score 0.5007 < final_threshold 0.7
ObjectProperty,is achievement in game,is area in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6330; levenshtein=0.3158; semantic=0.4201; sequence_match=0.4444,False,0.4992,False,top-3 avg score 0.4992 < final_threshold 0.7
ObjectProperty,plays game,has genre of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.2000; semantic=0.4599; sequence_match=0.4211,False,0.4986,False,top-3 avg score 0.4986 < final_threshold 0.7
ObjectProperty,is friend with player,is owned by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6746; levenshtein=0.2778; semantic=0.4460; sequence_match=0.3704,False,0.497,False,top-3 avg score 0.4970 < final_threshold 0.7
ObjectProperty,lives in,is achievement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6413; levenshtein=0.2667; semantic=0.4812; sequence_match=0.3636,False,0.4954,False,top-3 avg score 0.4954 < final_threshold 0.7
ObjectProperty,is session in game,uses item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5861; levenshtein=0.3333; semantic=0.4649; sequence_match=0.4348,False,0.4953,False,top-3 avg score 0.4953 < final_threshold 0.7
ObjectProperty,owns character,is owned by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4174; levenshtein=0.0769; semantic=0.7047; sequence_match=0.3636,False,0.4952,False,top-3 avg score 0.4952 < final_threshold 0.7
ObjectProperty,is leaderboard in game,is made by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6330; levenshtein=0.3158; semantic=0.4064; sequence_match=0.4444,False,0.4946,False,top-3 avg score 0.4946 < final_threshold 0.7
ObjectProperty,is leaderboard in game,is achievement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2105; semantic=0.4979; sequence_match=0.3529,False,0.4939,False,top-3 avg score 0.4939 < final_threshold 0.7
ObjectProperty,has item,is type for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.1111; semantic=0.5147; sequence_match=0.3750,False,0.4928,False,top-3 avg score 0.4928 < final_threshold 0.7
ObjectProperty,is event associated to player,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6778; levenshtein=0.2000; semantic=0.4262; sequence_match=0.3721,False,0.492,False,top-3 avg score 0.4920 < final_threshold 0.7
ObjectProperty,is character in session,is achievement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6702; levenshtein=0.3000; semantic=0.4607; sequence_match=0.3429,False,0.4912,False,top-3 avg score 0.4912 < final_threshold 0.7
ObjectProperty,owns achievement,is owned by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4963; levenshtein=0.1333; semantic=0.6415; sequence_match=0.3333,False,0.4904,False,top-3 avg score 0.4904 < final_threshold 0.7
ObjectProperty,has item,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.4972; sequence_match=0.3750,False,0.487,False,top-3 avg score 0.4870 < final_threshold 0.7
ObjectProperty,plays game,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.4972; sequence_match=0.3750,False,0.487,False,top-3 avg score 0.4870 < final_threshold 0.7
ObjectProperty,purchases game offering,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6409; levenshtein=0.2857; semantic=0.4724; sequence_match=0.3448,False,0.486,False,top-3 avg score 0.4860 < final_threshold 0.7
ObjectProperty,has character,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5926; levenshtein=0.1667; semantic=0.4826; sequence_match=0.3810,False,0.4854,False,top-3 avg score 0.4854 < final_threshold 0.7
ObjectProperty,owns character,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.3077; semantic=0.6139; sequence_match=0.4000,False,0.4853,False,top-3 avg score 0.4853 < final_threshold 0.7
ObjectProperty,is session in game,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6095; levenshtein=0.3333; semantic=0.4321; sequence_match=0.4138,False,0.4852,False,top-3 avg score 0.4852 < final_threshold 0.7
ObjectProperty,is session in game,is area in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6528; levenshtein=0.2667; semantic=0.3648; sequence_match=0.4348,False,0.4841,False,top-3 avg score 0.4841 < final_threshold 0.7
ObjectProperty,involves player,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2143; semantic=0.4992; sequence_match=0.4286,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.7
ObjectProperty,has item,is achievement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6413; levenshtein=0.2667; semantic=0.4463; sequence_match=0.3636,False,0.4837,False,top-3 avg score 0.4837 < final_threshold 0.7
ObjectProperty,has achievement,uses item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.4922; sequence_match=0.3636,False,0.4833,False,top-3 avg score 0.4833 < final_threshold 0.7
ObjectProperty,has feature,made purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2500; semantic=0.4271; sequence_match=0.3636,False,0.4784,False,top-3 avg score 0.4784 < final_threshold 0.7
ObjectProperty,owns achievement,uses item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5861; levenshtein=0.2667; semantic=0.4960; sequence_match=0.3478,False,0.4767,False,top-3 avg score 0.4767 < final_threshold 0.7
ObjectProperty,is character in session,is used in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3000; semantic=0.4462; sequence_match=0.3571,False,0.4761,False,top-3 avg score 0.4761 < final_threshold 0.7
ObjectProperty,involves player,is owned by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.4366; sequence_match=0.3478,False,0.4758,False,top-3 avg score 0.4758 < final_threshold 0.7
ObjectProperty,is character in game,plays game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.2941; semantic=0.5644; sequence_match=0.3846,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.7
ObjectProperty,owns character,has genre of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5761; levenshtein=0.1538; semantic=0.5013; sequence_match=0.3478,False,0.4751,False,top-3 avg score 0.4751 < final_threshold 0.7
ObjectProperty,has feature,game has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.2222; semantic=0.5340; sequence_match=0.3571,False,0.4748,False,top-3 avg score 0.4748 < final_threshold 0.7
ObjectProperty,has leaderboard,is made by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5274; levenshtein=0.3571; semantic=0.4363; sequence_match=0.4545,False,0.4727,False,top-3 avg score 0.4727 < final_threshold 0.7
ObjectProperty,has leaderboard,is owned by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.4932; sequence_match=0.3478,False,0.4726,False,top-3 avg score 0.4726 < final_threshold 0.7
ObjectProperty,plays game,game has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1667; semantic=0.6191; sequence_match=0.2963,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,is friend with player,is area in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6389; levenshtein=0.2778; semantic=0.3843; sequence_match=0.3846,False,0.4693,False,top-3 avg score 0.4693 < final_threshold 0.7
ObjectProperty,is character in game,is played by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5451; levenshtein=0.2353; semantic=0.5648; sequence_match=0.2963,False,0.4687,False,top-3 avg score 0.4687 < final_threshold 0.7
