gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Bordeaux,Bordeaux,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Zinfandel,Napa Zinfandel,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7863; levenshtein=0.6923; semantic=0.8325; sequence_match=0.8182,False,0.8123,True,selected
WhiteBordeaux,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8256; levenshtein=0.4615; semantic=0.8189; sequence_match=0.5455,False,0.73,False,pred already taken by 'WhiteWine' (higher averaged score)
RedWine,Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Red Wine'
wine,Red Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Wine'
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'White Wine'
wine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'Wine'
RedWine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'Red Wine'
WhiteWine,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'White Wine'
WineDescriptor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7084; sequence_match=0.4444,False,0.67,False,pred already taken by 'wine' (higher averaged score)
RedBordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.8567; sequence_match=0.4444,False,0.6487,False,pred already taken by 'RedWine' (higher averaged score)
WineGrape,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.8143; sequence_match=0.5000,False,0.6459,False,gold already mapped to 'Grape'
Region,Red Wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7968; levenshtein=0.4286; semantic=0.4815; sequence_match=0.6154,False,0.6313,False,pred already taken by 'RedWine' (higher averaged score)
WineTaste,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.7641; sequence_match=0.5000,False,0.6291,False,pred already taken by 'RedWine' (higher averaged score)
WineGrape,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.7586; sequence_match=0.4444,False,0.6109,False,gold already mapped to 'Grape'
wine,Wine Characteristic Occurrence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8286; levenshtein=0.1429; semantic=0.7384; sequence_match=0.2500,False,0.6056,False,gold already mapped to 'Wine'
WineTaste,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6370; levenshtein=0.3333; semantic=0.7233; sequence_match=0.4444,False,0.6016,False,gold already mapped to 'Wine Characteristic Occurrence'
WineBody,Red Wine,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.7365; sequence_match=0.5333,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.6
Bordeaux,Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7667; levenshtein=0.3750; semantic=0.5258; sequence_match=0.5000,False,0.5975,False,top-3 avg score 0.5975 < final_threshold 0.6
WineColor,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7585; sequence_match=0.5000,False,0.5879,False,top-3 avg score 0.5879 < final_threshold 0.6
Vintage,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
WineDescriptor,Wine Characteristic Occurrence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.3571; semantic=0.6104; sequence_match=0.4762,False,0.5791,False,top-3 avg score 0.5791 < final_threshold 0.6
Zinfandel,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.3333; semantic=0.6978; sequence_match=0.4615,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
VintageYear,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.6573; sequence_match=0.4000,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.6
WineSugar,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7257; sequence_match=0.5000,False,0.577,False,top-3 avg score 0.5770 < final_threshold 0.6
WineBody,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.6842; sequence_match=0.4706,False,0.5748,False,top-3 avg score 0.5748 < final_threshold 0.6
WineGrape,Wine Characteristic Occurrence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6283; levenshtein=0.2500; semantic=0.7157; sequence_match=0.3784,False,0.5741,False,top-3 avg score 0.5741 < final_threshold 0.6
WhiteBordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6603; levenshtein=0.2308; semantic=0.6844; sequence_match=0.3529,False,0.5659,False,top-3 avg score 0.5659 < final_threshold 0.6
WineSugar,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6918; sequence_match=0.4444,False,0.5639,False,top-3 avg score 0.5639 < final_threshold 0.6
WineColor,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6916; sequence_match=0.4444,False,0.5639,False,top-3 avg score 0.5639 < final_threshold 0.6
WineFlavor,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4905; levenshtein=0.1000; semantic=0.7184; sequence_match=0.4706,False,0.5598,False,top-3 avg score 0.5598 < final_threshold 0.6
WineColor,Wine Characteristic Occurrence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6283; levenshtein=0.2500; semantic=0.6633; sequence_match=0.3784,False,0.5567,False,top-3 avg score 0.5567 < final_threshold 0.6
WineFlavor,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.6898; sequence_match=0.4211,False,0.5518,False,top-3 avg score 0.5518 < final_threshold 0.6
Zinfandel,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.6783; sequence_match=0.3750,False,0.5469,False,top-3 avg score 0.5469 < final_threshold 0.6
WineDescriptor,Red Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2143; semantic=0.6048; sequence_match=0.3810,False,0.5455,False,top-3 avg score 0.5455 < final_threshold 0.6
WineFlavor,Wine Characteristic Occurrence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6024; levenshtein=0.2500; semantic=0.6503; sequence_match=0.3684,False,0.5404,False,top-3 avg score 0.5404 < final_threshold 0.6
WineSugar,Wine Characteristic Occurrence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6283; levenshtein=0.2143; semantic=0.6630; sequence_match=0.3243,False,0.5385,False,top-3 avg score 0.5385 < final_threshold 0.6
RedWine,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5619; levenshtein=0.1429; semantic=0.6960; sequence_match=0.3333,False,0.5304,False,top-3 avg score 0.5304 < final_threshold 0.6
Bordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.1250; semantic=0.6917; sequence_match=0.4000,False,0.5273,False,top-3 avg score 0.5273 < final_threshold 0.6
Bordeaux,Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5535; sequence_match=0.4000,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
WhiteBordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5430; levenshtein=0.1538; semantic=0.6943; sequence_match=0.3000,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.6
WineBody,Wine Characteristic Occurrence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.1786; semantic=0.6565; sequence_match=0.2778,False,0.5118,False,top-3 avg score 0.5118 < final_threshold 0.6
VintageYear,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.0909; semantic=0.6309; sequence_match=0.3333,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.6
Vintage,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5619; levenshtein=0.2857; semantic=0.6333; sequence_match=0.3333,False,0.5095,False,top-3 avg score 0.5095 < final_threshold 0.6
Bordeaux,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5472; levenshtein=0.2500; semantic=0.6734; sequence_match=0.3077,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.6
WhiteBordeaux,Wine Characteristic Occurrence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6088; levenshtein=0.2500; semantic=0.5570; sequence_match=0.3415,False,0.5024,False,top-3 avg score 0.5024 < final_threshold 0.6
WineDescriptor,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5709; sequence_match=0.3478,False,0.502,False,top-3 avg score 0.5020 < final_threshold 0.6
RedBordeaux,Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5631; levenshtein=0.2727; semantic=0.5262; sequence_match=0.4000,False,0.4964,False,top-3 avg score 0.4964 < final_threshold 0.6
VintageYear,Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5617; levenshtein=0.0909; semantic=0.5869; sequence_match=0.3333,False,0.494,False,top-3 avg score 0.4940 < final_threshold 0.6
WineGrape,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5134; levenshtein=0.1538; semantic=0.6934; sequence_match=0.2727,False,0.4932,False,top-3 avg score 0.4932 < final_threshold 0.6
RedWine,Wine Characteristic Occurrence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5794; levenshtein=0.1786; semantic=0.6689; sequence_match=0.2286,False,0.4923,False,top-3 avg score 0.4923 < final_threshold 0.6
Zinfandel,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5407; levenshtein=0.2222; semantic=0.6499; sequence_match=0.2857,False,0.4921,False,top-3 avg score 0.4921 < final_threshold 0.6
Vintage,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5077; sequence_match=0.3750,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.6
wine,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4833; levenshtein=0.2000; semantic=0.7611; sequence_match=0.2222,False,0.4889,False,top-3 avg score 0.4889 < final_threshold 0.6
WhiteWine,Wine Characteristic Occurrence,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5999; levenshtein=0.2500; semantic=0.6165; sequence_match=0.2162,False,0.4888,False,top-3 avg score 0.4888 < final_threshold 0.6
Vintage,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.6062; sequence_match=0.4286,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.6
Vintage,Napa Zinfandel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.3077; semantic=0.5184; sequence_match=0.4000,False,0.4871,False,top-3 avg score 0.4871 < final_threshold 0.6
RedWine,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.1250; semantic=0.6917; sequence_match=0.2667,False,0.4828,False,top-3 avg score 0.4828 < final_threshold 0.6
VintageYear,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.5455; sequence_match=0.3000,False,0.4827,False,top-3 avg score 0.4827 < final_threshold 0.6
RedBordeaux,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5273; levenshtein=0.1818; semantic=0.6688; sequence_match=0.2500,False,0.482,False,top-3 avg score 0.4820 < final_threshold 0.6
wine,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3846; levenshtein=0.2308; semantic=0.7030; sequence_match=0.3529,False,0.4802,False,top-3 avg score 0.4802 < final_threshold 0.6
WineTaste,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.2308; semantic=0.6395; sequence_match=0.2727,False,0.471,False,top-3 avg score 0.4710 < final_threshold 0.6
RedWine,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.2308; semantic=0.6702; sequence_match=0.3000,False,0.4707,False,top-3 avg score 0.4707 < final_threshold 0.6
VintageYear,Wine Characteristic Occurrence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5877; levenshtein=0.1786; semantic=0.5665; sequence_match=0.2564,False,0.4702,False,top-3 avg score 0.4702 < final_threshold 0.6
WhiteWine,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5214; levenshtein=0.1538; semantic=0.6100; sequence_match=0.2727,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.6
Zinfandel,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1111; semantic=0.6157; sequence_match=0.3333,False,0.4645,False,top-3 avg score 0.4645 < final_threshold 0.6
VintageYear,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5273; levenshtein=0.1818; semantic=0.6133; sequence_match=0.2500,False,0.4635,False,top-3 avg score 0.4635 < final_threshold 0.6
WhiteBordeaux,Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5513; levenshtein=0.2308; semantic=0.4851; sequence_match=0.3529,False,0.4631,False,top-3 avg score 0.4631 < final_threshold 0.6
WineFlavor,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4026; levenshtein=0.1538; semantic=0.6283; sequence_match=0.3478,False,0.4596,False,top-3 avg score 0.4596 < final_threshold 0.6
Region,Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.5060; sequence_match=0.3000,False,0.4591,False,top-3 avg score 0.4591 < final_threshold 0.6
WineDescriptor,Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.2143; semantic=0.5526; sequence_match=0.2857,False,0.454,False,top-3 avg score 0.4540 < final_threshold 0.6
WineGrape,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.6599; sequence_match=0.2353,False,0.4512,False,top-3 avg score 0.4512 < final_threshold 0.6
VintageYear,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.1538; semantic=0.5187; sequence_match=0.3333,False,0.4439,False,top-3 avg score 0.4439 < final_threshold 0.6
RedBordeaux,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.1818; semantic=0.5417; sequence_match=0.3333,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
WineBody,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.6199; sequence_match=0.2857,False,0.4433,False,top-3 avg score 0.4433 < final_threshold 0.6
RedWine,Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5476; levenshtein=0.1429; semantic=0.4878; sequence_match=0.2857,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.6
WineTaste,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.1111; semantic=0.5946; sequence_match=0.2353,False,0.4402,False,top-3 avg score 0.4402 < final_threshold 0.6
WineTaste,Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.4842; sequence_match=0.2609,False,0.4387,False,top-3 avg score 0.4387 < final_threshold 0.6
Region,Bordeaux,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5139; levenshtein=0.1250; semantic=0.5122; sequence_match=0.2857,False,0.4373,False,top-3 avg score 0.4373 < final_threshold 0.6
WineSugar,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4103; levenshtein=0.1538; semantic=0.6228; sequence_match=0.2727,False,0.4352,False,top-3 avg score 0.4352 < final_threshold 0.6
WineBody,Bordeaux,semantic+sequence_match+jaro_winkler,jaro_winkler=0.3333; levenshtein=0.0000; semantic=0.5925; sequence_match=0.3750,False,0.4336,False,top-3 avg score 0.4336 < final_threshold 0.6
WhiteWine,Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.2857; semantic=0.3759; sequence_match=0.3478,False,0.4335,False,top-3 avg score 0.4335 < final_threshold 0.6
Bordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.6715; sequence_match=0.1667,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
wine,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.6715; sequence_match=0.1667,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
Region,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4111; levenshtein=0.0000; semantic=0.5179; sequence_match=0.3636,False,0.4309,False,top-3 avg score 0.4309 < final_threshold 0.6
Region,White Wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5000; levenshtein=0.2222; semantic=0.3924; sequence_match=0.4000,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.6
WineDescriptor,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4478; levenshtein=0.0000; semantic=0.5469; sequence_match=0.2963,False,0.4303,False,top-3 avg score 0.4303 < final_threshold 0.6
WhiteBordeaux,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.1538; semantic=0.5303; sequence_match=0.3000,False,0.43,False,top-3 avg score 0.4300 < final_threshold 0.6
WineTaste,Grape,semantic+jaro_winkler+levenshtein,jaro_winkler=0.3741; levenshtein=0.2222; semantic=0.6891; sequence_match=0.1429,False,0.4284,False,top-3 avg score 0.4284 < final_threshold 0.6
Vintage,Wine Characteristic Occurrence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5643; levenshtein=0.1429; semantic=0.4905; sequence_match=0.2286,False,0.4278,False,top-3 avg score 0.4278 < final_threshold 0.6
WineSugar,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.5892; sequence_match=0.2353,False,0.4276,False,top-3 avg score 0.4276 < final_threshold 0.6
WineTaste,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5285; sequence_match=0.2500,False,0.427,False,top-3 avg score 0.4270 < final_threshold 0.6
WineSugar,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4370; levenshtein=0.0000; semantic=0.6953; sequence_match=0.1429,False,0.4251,False,top-3 avg score 0.4251 < final_threshold 0.6
Zinfandel,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.5765; sequence_match=0.2353,False,0.4234,False,top-3 avg score 0.4234 < final_threshold 0.6
WineFlavor,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4833; levenshtein=0.1000; semantic=0.5633; sequence_match=0.2222,False,0.4229,False,top-3 avg score 0.4229 < final_threshold 0.6
RedBordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.0909; semantic=0.6875; sequence_match=0.1333,False,0.4226,False,top-3 avg score 0.4226 < final_threshold 0.6
WhiteBordeaux,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4551; levenshtein=0.0000; semantic=0.5801; sequence_match=0.2308,False,0.422,False,top-3 avg score 0.4220 < final_threshold 0.6
WineBody,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4417; levenshtein=0.0000; semantic=0.6678; sequence_match=0.1538,False,0.4211,False,top-3 avg score 0.4211 < final_threshold 0.6
Zinfandel,Wine Characteristic Occurrence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4458; levenshtein=0.1429; semantic=0.5460; sequence_match=0.2703,False,0.4207,False,top-3 avg score 0.4207 < final_threshold 0.6
WineColor,Napa Zinfandel,semantic+sequence_match+jaro_winkler,jaro_winkler=0.2920; levenshtein=0.1538; semantic=0.6052; sequence_match=0.3636,False,0.4203,False,top-3 avg score 0.4203 < final_threshold 0.6
WineBody,Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.4802; sequence_match=0.2667,False,0.4196,False,top-3 avg score 0.4196 < final_threshold 0.6
WhiteBordeaux,Grape,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4256; levenshtein=0.1538; semantic=0.6751; sequence_match=0.1111,False,0.4182,False,top-3 avg score 0.4182 < final_threshold 0.6
RedBordeaux,Wine Characteristic Occurrence,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5310; levenshtein=0.1786; semantic=0.5447; sequence_match=0.1538,False,0.4181,False,top-3 avg score 0.4181 < final_threshold 0.6
VintageYear,Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5372; levenshtein=0.1429; semantic=0.5527; sequence_match=0.1600,False,0.4167,False,top-3 avg score 0.4167 < final_threshold 0.6
Vintage,Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3571; levenshtein=0.0000; semantic=0.5895; sequence_match=0.2857,False,0.4108,False,top-3 avg score 0.4108 < final_threshold 0.6
WhiteWine,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4370; levenshtein=0.1111; semantic=0.6487; sequence_match=0.1429,False,0.4095,False,top-3 avg score 0.4095 < final_threshold 0.6
WineColor,Grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4370; levenshtein=0.0000; semantic=0.6475; sequence_match=0.1429,False,0.4091,False,top-3 avg score 0.4091 < final_threshold 0.6
WineTaste,Quality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.4992; sequence_match=0.2500,False,0.4085,False,top-3 avg score 0.4085 < final_threshold 0.6
WineColor,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4120; levenshtein=0.0000; semantic=0.5736; sequence_match=0.2353,False,0.407,False,top-3 avg score 0.4070 < final_threshold 0.6
WineBody,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.0000; semantic=0.5269; sequence_match=0.2667,False,0.4054,False,top-3 avg score 0.4054 < final_threshold 0.6
wine,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.5646; sequence_match=0.1818,False,0.4036,False,top-3 avg score 0.4036 < final_threshold 0.6
RedBordeaux,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4680; levenshtein=0.0000; semantic=0.5378; sequence_match=0.2000,False,0.4019,False,top-3 avg score 0.4019 < final_threshold 0.6
Vintage,Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4365; levenshtein=0.1429; semantic=0.5682; sequence_match=0.1905,False,0.3984,False,top-3 avg score 0.3984 < final_threshold 0.6
RedWine,Body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.5488; sequence_match=0.1818,False,0.3983,False,top-3 avg score 0.3983 < final_threshold 0.6
