gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Omnivore,Omnivore,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
animal,Animal,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
carnivore,Carnivore,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
herbivore,Herbivore,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
plant,Plant,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
PlantParts,Plant Part,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9800; levenshtein=0.9000; semantic=0.9267; sequence_match=0.9474,False,0.9514,True,selected
CarnivorousPlant,Herbivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6227; levenshtein=0.3125; semantic=0.7278; sequence_match=0.4000,False,0.5835,False,top-3 avg score 0.5835 < final_threshold 0.6
CarnivorousPlant,Omnivore,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3125; semantic=0.6510; sequence_match=0.4167,False,0.5735,False,top-3 avg score 0.5735 < final_threshold 0.6
lion,Plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.6276; sequence_match=0.4444,False,0.5685,False,top-3 avg score 0.5685 < final_threshold 0.6
animal,Carnivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6874; sequence_match=0.4000,False,0.5662,False,top-3 avg score 0.5662 < final_threshold 0.6
carnivore,Animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6874; sequence_match=0.4000,False,0.5662,False,top-3 avg score 0.5662 < final_threshold 0.6
CarnivorousPlant,Plant Part,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.2500; semantic=0.6551; sequence_match=0.4000,False,0.5415,False,top-3 avg score 0.5415 < final_threshold 0.6
animal,Plant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.0000; semantic=0.6693; sequence_match=0.3636,False,0.5369,False,top-3 avg score 0.5369 < final_threshold 0.6
plant,Animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.0000; semantic=0.6693; sequence_match=0.3636,False,0.5369,False,top-3 avg score 0.5369 < final_threshold 0.6
animal,Plant Part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5473; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.6
CarnivorousPlant,Animal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.5537; sequence_match=0.3636,False,0.5187,False,top-3 avg score 0.5187 < final_threshold 0.6
Omnivore,Organism,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.1250; semantic=0.5577; sequence_match=0.3750,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.6
carnivore,Organism,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5648; levenshtein=0.1111; semantic=0.5946; sequence_match=0.3529,False,0.5041,False,top-3 avg score 0.5041 < final_threshold 0.6
lion,Omnivore,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5972; levenshtein=0.2500; semantic=0.5749; sequence_match=0.3333,False,0.5018,False,top-3 avg score 0.5018 < final_threshold 0.6
plant,Organism,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.6395; sequence_match=0.3077,False,0.4991,False,top-3 avg score 0.4991 < final_threshold 0.6
CarnivorousPlant,Organism,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5972; levenshtein=0.1250; semantic=0.5529; sequence_match=0.3333,False,0.4945,False,top-3 avg score 0.4945 < final_threshold 0.6
PlantParts,Organism,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5583; levenshtein=0.1000; semantic=0.5831; sequence_match=0.3333,False,0.4916,False,top-3 avg score 0.4916 < final_threshold 0.6
PlantParts,Animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5222; levenshtein=0.3000; semantic=0.5709; sequence_match=0.3750,False,0.4894,False,top-3 avg score 0.4894 < final_threshold 0.6
carnivore,Plant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5407; levenshtein=0.1111; semantic=0.6067; sequence_match=0.2857,False,0.4777,False,top-3 avg score 0.4777 < final_threshold 0.6
plant,Carnivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5407; levenshtein=0.1111; semantic=0.6067; sequence_match=0.2857,False,0.4777,False,top-3 avg score 0.4777 < final_threshold 0.6
lion,Plant Part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5741; levenshtein=0.1111; semantic=0.5174; sequence_match=0.3077,False,0.4664,False,top-3 avg score 0.4664 < final_threshold 0.6
Omnivore,Animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.2500; semantic=0.5898; sequence_match=0.2857,False,0.4631,False,top-3 avg score 0.4631 < final_threshold 0.6
animal,Omnivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.2500; semantic=0.5898; sequence_match=0.2857,False,0.4631,False,top-3 avg score 0.4631 < final_threshold 0.6
lion,Animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.7441; sequence_match=0.2000,False,0.4628,False,top-3 avg score 0.4628 < final_threshold 0.6
lion,Herbivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.2222; semantic=0.6221; sequence_match=0.3077,False,0.4612,False,top-3 avg score 0.4612 < final_threshold 0.6
lion,Carnivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4074; levenshtein=0.2222; semantic=0.6540; sequence_match=0.3077,False,0.4564,False,top-3 avg score 0.4564 < final_threshold 0.6
PlantParts,Carnivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5636; sequence_match=0.2105,False,0.4395,False,top-3 avg score 0.4395 < final_threshold 0.6
herbivore,Organism,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.1111; semantic=0.5816; sequence_match=0.2353,False,0.4359,False,top-3 avg score 0.4359 < final_threshold 0.6
lion,Organism,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.1250; semantic=0.5513; sequence_match=0.1667,False,0.4338,False,top-3 avg score 0.4338 < final_threshold 0.6
carnivore,Plant Part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.5187; sequence_match=0.2222,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
animal,Herbivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.1111; semantic=0.6574; sequence_match=0.1333,False,0.4056,False,top-3 avg score 0.4056 < final_threshold 0.6
herbivore,Animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.1111; semantic=0.6574; sequence_match=0.1333,False,0.4056,False,top-3 avg score 0.4056 < final_threshold 0.6
PlantParts,Omnivore,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4833; levenshtein=0.2000; semantic=0.4757; sequence_match=0.2222,False,0.3938,False,top-3 avg score 0.3938 < final_threshold 0.6
Omnivore,Plant Part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.2222; semantic=0.4402; sequence_match=0.2353,False,0.3887,False,top-3 avg score 0.3887 < final_threshold 0.6
PlantParts,Herbivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4037; levenshtein=0.1000; semantic=0.6102; sequence_match=0.1053,False,0.373,False,top-3 avg score 0.3730 < final_threshold 0.6
Omnivore,Plant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4417; levenshtein=0.0000; semantic=0.5213; sequence_match=0.1538,False,0.3723,False,top-3 avg score 0.3723 < final_threshold 0.6
plant,Omnivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4417; levenshtein=0.0000; semantic=0.5213; sequence_match=0.1538,False,0.3723,False,top-3 avg score 0.3723 < final_threshold 0.6
herbivore,Plant Part,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4074; levenshtein=0.1111; semantic=0.5899; sequence_match=0.1111,False,0.3695,False,top-3 avg score 0.3695 < final_threshold 0.6
herbivore,Plant,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.6819; sequence_match=0.0000,False,0.2273,False,top-3 avg score 0.2273 < final_threshold 0.6
plant,Herbivore,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.6819; sequence_match=0.0000,False,0.2273,False,top-3 avg score 0.2273 < final_threshold 0.6
