prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasBody,has body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasColor,has color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has vintage year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasSugar,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.3750; semantic=0.6485; sequence_match=0.6250,False,0.706,True,selected
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasSugar,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5682; sequence_match=0.4000,False,0.5231,False,top-3 avg score 0.5231 < final_threshold 0.7
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5454; sequence_match=0.3871,False,0.5099,False,top-3 avg score 0.5099 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,hasVintageYear,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5524; levenshtein=0.2857; semantic=0.6111; sequence_match=0.3333,False,0.4989,False,top-3 avg score 0.4989 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5096; sequence_match=0.3704,False,0.4927,False,top-3 avg score 0.4927 < final_threshold 0.7
ObjectProperty,hasBody,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.4667; sequence_match=0.3333,False,0.4674,False,top-3 avg score 0.4674 < final_threshold 0.7
ObjectProperty,locatedIn,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.2143; semantic=0.5171; sequence_match=0.3478,False,0.4655,False,top-3 avg score 0.4655 < final_threshold 0.7
ObjectProperty,hasBody,is produced in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5595; levenshtein=0.1667; semantic=0.4204; sequence_match=0.3158,False,0.4319,False,top-3 avg score 0.4319 < final_threshold 0.7
ObjectProperty,madeFromGrape,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5745; levenshtein=0.2143; semantic=0.4853; sequence_match=0.2222,False,0.4273,False,top-3 avg score 0.4273 < final_threshold 0.7
ObjectProperty,locatedIn,has vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5042; levenshtein=0.1429; semantic=0.5152; sequence_match=0.2609,False,0.4268,False,top-3 avg score 0.4268 < final_threshold 0.7
ObjectProperty,madeFromGrape,has vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5305; sequence_match=0.2222,False,0.4239,False,top-3 avg score 0.4239 < final_threshold 0.7
ObjectProperty,locatedIn,has body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.5386; sequence_match=0.2500,False,0.4216,False,top-3 avg score 0.4216 < final_threshold 0.7
ObjectProperty,locatedIn,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.0000; semantic=0.5273; sequence_match=0.2353,False,0.4178,False,top-3 avg score 0.4178 < final_threshold 0.7
ObjectProperty,locatedIn,has color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.5426; sequence_match=0.2353,False,0.4121,False,top-3 avg score 0.4121 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,locatedIn,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.0000; semantic=0.5572; sequence_match=0.2105,False,0.4004,False,top-3 avg score 0.4004 < final_threshold 0.7
ObjectProperty,hasColor,is produced in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.0833; semantic=0.4629; sequence_match=0.2000,False,0.3969,False,top-3 avg score 0.3969 < final_threshold 0.7
ObjectProperty,madeFromGrape,has color,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5322; sequence_match=0.1905,False,0.3957,False,top-3 avg score 0.3957 < final_threshold 0.7
ObjectProperty,madeFromGrape,is produced in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3803; levenshtein=0.0769; semantic=0.5639; sequence_match=0.2400,False,0.3948,False,top-3 avg score 0.3948 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is produced in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5222; levenshtein=0.1765; semantic=0.4193; sequence_match=0.2069,False,0.3828,False,top-3 avg score 0.3828 < final_threshold 0.7
ObjectProperty,madeFromGrape,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.5573; sequence_match=0.1739,False,0.3768,False,top-3 avg score 0.3768 < final_threshold 0.7
ObjectProperty,hasVintageYear,is produced in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3730; levenshtein=0.1429; semantic=0.5166; sequence_match=0.2308,False,0.3735,False,top-3 avg score 0.3735 < final_threshold 0.7
ObjectProperty,madeFromGrape,has body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.4652; sequence_match=0.2000,False,0.3691,False,top-3 avg score 0.3691 < final_threshold 0.7
ObjectProperty,hasFlavor,is produced in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.0000; semantic=0.4757; sequence_match=0.1905,False,0.3609,False,top-3 avg score 0.3609 < final_threshold 0.7
ObjectProperty,hasSugar,is produced in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.0833; semantic=0.4502; sequence_match=0.2000,False,0.3603,False,top-3 avg score 0.3603 < final_threshold 0.7
