gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Player,Player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
playing area,Player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8576; levenshtein=0.4545; semantic=0.5741; sequence_match=0.5882,False,0.6733,False,pred already taken by 'Player' (higher averaged score)
Player,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5278; levenshtein=0.1250; semantic=0.4268; sequence_match=0.2857,False,0.4134,False,top-3 avg score 0.4134 < final_threshold 0.6
Luck,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5663; sequence_match=0.2000,False,0.4128,False,top-3 avg score 0.4128 < final_threshold 0.6
Collection,dateTime,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4472; levenshtein=0.3000; semantic=0.4513; sequence_match=0.3333,False,0.4106,False,top-3 avg score 0.4106 < final_threshold 0.6
Veteran,dateTime,semantic+sequence_match+jaro_winkler,jaro_winkler=0.3452; levenshtein=0.2500; semantic=0.4747; sequence_match=0.4000,False,0.4067,False,top-3 avg score 0.4067 < final_threshold 0.6
Fandom,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5139; levenshtein=0.2500; semantic=0.4148; sequence_match=0.2857,False,0.4048,False,top-3 avg score 0.4048 < final_threshold 0.6
Item,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5417; sequence_match=0.2000,False,0.4046,False,top-3 avg score 0.4046 < final_threshold 0.6
Loyalty,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.0000; semantic=0.4027; sequence_match=0.2667,False,0.3938,False,top-3 avg score 0.3938 < final_threshold 0.6
Leaderboard,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5379; levenshtein=0.1818; semantic=0.4088; sequence_match=0.2105,False,0.3858,False,top-3 avg score 0.3858 < final_threshold 0.6
Fandom,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.0000; semantic=0.5386; sequence_match=0.1667,False,0.3832,False,top-3 avg score 0.3832 < final_threshold 0.6
Tutorial,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.0000; semantic=0.5604; sequence_match=0.1429,False,0.3779,False,top-3 avg score 0.3779 < final_threshold 0.6
Virtuosity,dateTime,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4472; levenshtein=0.2000; semantic=0.4428; sequence_match=0.1111,False,0.3633,False,top-3 avg score 0.3633 < final_threshold 0.6
game product,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4381; levenshtein=0.1818; semantic=0.3283; sequence_match=0.3158,False,0.3607,False,top-3 avg score 0.3607 < final_threshold 0.6
Curiosity,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.0000; semantic=0.5087; sequence_match=0.1333,False,0.356,False,top-3 avg score 0.3560 < final_threshold 0.6
Virtuosity,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4222; levenshtein=0.0000; semantic=0.5147; sequence_match=0.1250,False,0.354,False,top-3 avg score 0.3540 < final_threshold 0.6
in-app purchase event,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4630; levenshtein=0.1667; semantic=0.3961; sequence_match=0.1667,False,0.3419,False,top-3 avg score 0.3419 < final_threshold 0.6
special play style,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4097; levenshtein=0.1875; semantic=0.3660; sequence_match=0.2500,False,0.3419,False,top-3 avg score 0.3419 < final_threshold 0.6
Paragon,dateTime,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.1250; semantic=0.4383; sequence_match=0.1333,False,0.3314,False,top-3 avg score 0.3314 < final_threshold 0.6
in-app purchase event,dateTime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4028; levenshtein=0.1111; semantic=0.3793; sequence_match=0.1538,False,0.312,False,top-3 avg score 0.3120 < final_threshold 0.6
Curiosity,dateTime,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3241; levenshtein=0.1111; semantic=0.4787; sequence_match=0.1176,False,0.3068,False,top-3 avg score 0.3068 < final_threshold 0.6
Session,Player,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5701; sequence_match=0.1538,False,0.2413,False,top-3 avg score 0.2413 < final_threshold 0.6
Luck,dateTime,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5066; sequence_match=0.0000,False,0.1689,False,top-3 avg score 0.1689 < final_threshold 0.6
