prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasBody,has body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8805; sequence_match=0.8333,False,0.8856,True,selected
ObjectProperty,hasBody,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.4667; sequence_match=0.3333,False,0.4674,False,top-3 avg score 0.4674 < final_threshold 0.7
ObjectProperty,locatedIn,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.0000; semantic=0.5223; sequence_match=0.3158,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.7
ObjectProperty,hasFlavor,has wine type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.2727; semantic=0.5464; sequence_match=0.3000,False,0.4606,False,top-3 avg score 0.4606 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,originates from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5557; levenshtein=0.3529; semantic=0.4230; sequence_match=0.3871,False,0.4553,False,top-3 avg score 0.4553 < final_threshold 0.7
ObjectProperty,hasSugar,has wine type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.2727; semantic=0.4588; sequence_match=0.3158,False,0.4413,False,top-3 avg score 0.4413 < final_threshold 0.7
ObjectProperty,locatedIn,has wine type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5367; levenshtein=0.0909; semantic=0.4321; sequence_match=0.3000,False,0.4229,False,top-3 avg score 0.4229 < final_threshold 0.7
ObjectProperty,locatedIn,has body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.5386; sequence_match=0.2500,False,0.4216,False,top-3 avg score 0.4216 < final_threshold 0.7
ObjectProperty,locatedIn,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.0000; semantic=0.5273; sequence_match=0.2353,False,0.4178,False,top-3 avg score 0.4178 < final_threshold 0.7
ObjectProperty,hasFlavor,originates from,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4048; levenshtein=0.1429; semantic=0.4928; sequence_match=0.3478,False,0.4151,False,top-3 avg score 0.4151 < final_threshold 0.7
ObjectProperty,madeFromGrape,has vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.5200; sequence_match=0.1739,False,0.4122,False,top-3 avg score 0.4122 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,locatedIn,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.0000; semantic=0.5572; sequence_match=0.2105,False,0.4004,False,top-3 avg score 0.4004 < final_threshold 0.7
ObjectProperty,madeFromGrape,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.5573; sequence_match=0.1739,False,0.3768,False,top-3 avg score 0.3768 < final_threshold 0.7
ObjectProperty,hasColor,originates from,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.5046; sequence_match=0.1818,False,0.3717,False,top-3 avg score 0.3717 < final_threshold 0.7
ObjectProperty,hasSugar,originates from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.4061; sequence_match=0.2727,False,0.3691,False,top-3 avg score 0.3691 < final_threshold 0.7
ObjectProperty,madeFromGrape,has body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.4652; sequence_match=0.2000,False,0.3691,False,top-3 avg score 0.3691 < final_threshold 0.7
ObjectProperty,hasBody,originates from,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3095; levenshtein=0.1429; semantic=0.4754; sequence_match=0.2857,False,0.3569,False,top-3 avg score 0.3569 < final_threshold 0.7
