prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is session in game,possession in game,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.9123; levenshtein=0.8750; semantic=0.6352; sequence_match=0.9032,False,0.8968,True,selected
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,pred already taken by 'has achievement'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,pred already taken by 'has item'
ObjectProperty,owns achievement,game has achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6833; levenshtein=0.6667; semantic=0.7882; sequence_match=0.7273,False,0.7329,False,gold already mapped to 'has achievement type'
ObjectProperty,has playing area,has play session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8657; levenshtein=0.5000; semantic=0.6843; sequence_match=0.6429,False,0.731,False,gold already mapped to 'has playing area'
ObjectProperty,is player in session,usage during session,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7008; levenshtein=0.6111; semantic=0.7053; sequence_match=0.7429,False,0.7163,False,gold already mapped to 'has play session'
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,is achievement in game,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7509; levenshtein=0.6316; semantic=0.6515; sequence_match=0.7027,False,0.7017,False,gold already mapped to 'game has achievement'
ObjectProperty,is achievement in game,game has achievement type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6682; levenshtein=0.5000; semantic=0.7922; sequence_match=0.6341,False,0.6982,False,top-3 avg score 0.6982 < final_threshold 0.7
ObjectProperty,has achievement,has usage event,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8562; levenshtein=0.5714; semantic=0.5279; sequence_match=0.6667,False,0.6981,False,top-3 avg score 0.6981 < final_threshold 0.7
ObjectProperty,is character in session,usage during session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6882; levenshtein=0.5500; semantic=0.7034; sequence_match=0.6842,False,0.6919,False,top-3 avg score 0.6919 < final_threshold 0.7
ObjectProperty,owns achievement,game has achievement type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6985; levenshtein=0.5455; semantic=0.7149; sequence_match=0.6486,False,0.6874,False,top-3 avg score 0.6874 < final_threshold 0.7
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,is session in game,session of player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6593; levenshtein=0.4667; semantic=0.7525; sequence_match=0.6000,False,0.6706,False,top-3 avg score 0.6706 < final_threshold 0.7
ObjectProperty,involves player,session of player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7488; levenshtein=0.4000; semantic=0.6981; sequence_match=0.5517,False,0.6662,False,top-3 avg score 0.6662 < final_threshold 0.7
ObjectProperty,has item,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8167; levenshtein=0.4000; semantic=0.5931; sequence_match=0.5882,False,0.666,False,top-3 avg score 0.6660 < final_threshold 0.7
ObjectProperty,is session in game,usage in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7119; levenshtein=0.4667; semantic=0.6624; sequence_match=0.6154,False,0.6632,False,top-3 avg score 0.6632 < final_threshold 0.7
ObjectProperty,has character,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6592; sequence_match=0.5263,False,0.6609,False,top-3 avg score 0.6609 < final_threshold 0.7
ObjectProperty,is session in game,has play session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7016; levenshtein=0.2000; semantic=0.7244; sequence_match=0.5517,False,0.6593,False,top-3 avg score 0.6593 < final_threshold 0.7
ObjectProperty,is character in game,usage in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.5294; semantic=0.6617; sequence_match=0.6429,False,0.6587,False,top-3 avg score 0.6587 < final_threshold 0.7
ObjectProperty,has character,has purchase,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8003; levenshtein=0.3333; semantic=0.5557; sequence_match=0.6087,False,0.6549,False,top-3 avg score 0.6549 < final_threshold 0.7
ObjectProperty,is player in session,session of player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6419; levenshtein=0.0588; semantic=0.8840; sequence_match=0.4375,False,0.6545,False,top-3 avg score 0.6545 < final_threshold 0.7
ObjectProperty,has game genre,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.6653; sequence_match=0.5714,False,0.653,False,top-3 avg score 0.6530 < final_threshold 0.7
ObjectProperty,has achievement,has completion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7930; levenshtein=0.3571; semantic=0.7191; sequence_match=0.4444,False,0.6522,False,top-3 avg score 0.6522 < final_threshold 0.7
ObjectProperty,has playing area,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,plays game,has playing area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,has item,usage of item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6898; levenshtein=0.4545; semantic=0.6838; sequence_match=0.5556,False,0.643,False,top-3 avg score 0.6430 < final_threshold 0.7
ObjectProperty,has feature,has purchase,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8118; levenshtein=0.3636; semantic=0.5376; sequence_match=0.5714,False,0.6403,False,top-3 avg score 0.6403 < final_threshold 0.7
ObjectProperty,is session in game,possession of item,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7463; levenshtein=0.5000; semantic=0.4612; sequence_match=0.6452,False,0.6305,False,top-3 avg score 0.6305 < final_threshold 0.7
ObjectProperty,is event associated to player,session of player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6883; levenshtein=0.4400; semantic=0.6023; sequence_match=0.6000,False,0.6302,False,top-3 avg score 0.6302 < final_threshold 0.7
ObjectProperty,has game genre,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5386; sequence_match=0.5385,False,0.6279,False,top-3 avg score 0.6279 < final_threshold 0.7
ObjectProperty,owns item,possession of item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5792; levenshtein=0.3750; semantic=0.7955; sequence_match=0.5000,False,0.6249,False,top-3 avg score 0.6249 < final_threshold 0.7
ObjectProperty,is friend with player,session of player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7209; levenshtein=0.4444; semantic=0.6663; sequence_match=0.4848,False,0.624,False,top-3 avg score 0.6240 < final_threshold 0.7
ObjectProperty,plays game,has play session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6164; levenshtein=0.3571; semantic=0.7311; sequence_match=0.5217,False,0.6231,False,top-3 avg score 0.6231 < final_threshold 0.7
ObjectProperty,is friend with player,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7202; sequence_match=0.5185,False,0.6219,False,top-3 avg score 0.6219 < final_threshold 0.7
ObjectProperty,has achievement,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6762; levenshtein=0.3571; semantic=0.6892; sequence_match=0.5000,False,0.6218,False,top-3 avg score 0.6218 < final_threshold 0.7
ObjectProperty,is character in session,has play session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6574; levenshtein=0.4500; semantic=0.6146; sequence_match=0.5882,False,0.6201,False,top-3 avg score 0.6201 < final_threshold 0.7
ObjectProperty,has playing area,has genre,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.4903; sequence_match=0.5455,False,0.6189,False,top-3 avg score 0.6189 < final_threshold 0.7
ObjectProperty,has achievement,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6360; sequence_match=0.5217,False,0.6187,False,top-3 avg score 0.6187 < final_threshold 0.7
ObjectProperty,owns item,usage of item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6265; levenshtein=0.3636; semantic=0.6912; sequence_match=0.5263,False,0.6147,False,top-3 avg score 0.6147 < final_threshold 0.7
ObjectProperty,has game genre,has usage event,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8180; levenshtein=0.4615; semantic=0.4489; sequence_match=0.5600,False,0.6132,False,top-3 avg score 0.6132 < final_threshold 0.7
ObjectProperty,has feature,has ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3000; semantic=0.6655; sequence_match=0.5000,False,0.6107,False,top-3 avg score 0.6107 < final_threshold 0.7
ObjectProperty,is achievement in game,usage in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6158; levenshtein=0.4737; semantic=0.6100; sequence_match=0.6000,False,0.6086,False,top-3 avg score 0.6086 < final_threshold 0.7
ObjectProperty,has item,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6007; sequence_match=0.5333,False,0.6082,False,top-3 avg score 0.6082 < final_threshold 0.7
ObjectProperty,has item,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.3333; semantic=0.5302; sequence_match=0.4800,False,0.6071,False,top-3 avg score 0.6071 < final_threshold 0.7
ObjectProperty,is achievement in game,completion for game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5715; levenshtein=0.3158; semantic=0.7492; sequence_match=0.5000,False,0.6069,False,top-3 avg score 0.6069 < final_threshold 0.7
ObjectProperty,plays game,purchase for game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6529; levenshtein=0.4000; semantic=0.5824; sequence_match=0.5833,False,0.6062,False,top-3 avg score 0.6062 < final_threshold 0.7
ObjectProperty,has character,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.6890; sequence_match=0.4615,False,0.6044,False,top-3 avg score 0.6044 < final_threshold 0.7
ObjectProperty,has item,has completion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8021; levenshtein=0.3077; semantic=0.6056; sequence_match=0.4000,False,0.6026,False,top-3 avg score 0.6026 < final_threshold 0.7
ObjectProperty,plays game,usage in game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6263; levenshtein=0.4545; semantic=0.6800; sequence_match=0.5000,False,0.6021,False,top-3 avg score 0.6021 < final_threshold 0.7
ObjectProperty,is session in game,usage during session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6074; levenshtein=0.1667; semantic=0.7086; sequence_match=0.4848,False,0.6003,False,top-3 avg score 0.6003 < final_threshold 0.7
ObjectProperty,has character,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.6636; sequence_match=0.4762,False,0.5991,False,top-3 avg score 0.5991 < final_threshold 0.7
ObjectProperty,plays game,session of game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6467; levenshtein=0.3077; semantic=0.6952; sequence_match=0.4545,False,0.5988,False,top-3 avg score 0.5988 < final_threshold 0.7
ObjectProperty,has feature,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.6542; sequence_match=0.4706,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.7
ObjectProperty,purchases game offering,has purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6618; levenshtein=0.2381; semantic=0.6172; sequence_match=0.5000,False,0.593,False,top-3 avg score 0.5930 < final_threshold 0.7
ObjectProperty,is player in session,session of game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5548; levenshtein=0.1176; semantic=0.7561; sequence_match=0.4667,False,0.5925,False,top-3 avg score 0.5925 < final_threshold 0.7
ObjectProperty,is session in game,statistic for game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6838; levenshtein=0.3750; semantic=0.5758; sequence_match=0.5161,False,0.5919,False,top-3 avg score 0.5919 < final_threshold 0.7
ObjectProperty,has item,has statistic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.4167; semantic=0.6045; sequence_match=0.5263,False,0.5915,False,top-3 avg score 0.5915 < final_threshold 0.7
ObjectProperty,has character,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.4167; semantic=0.5926; sequence_match=0.5000,False,0.591,False,top-3 avg score 0.5910 < final_threshold 0.7
ObjectProperty,is player in session,has possession,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6525; levenshtein=0.4706; semantic=0.5171; sequence_match=0.6000,False,0.5899,False,top-3 avg score 0.5899 < final_threshold 0.7
ObjectProperty,has feature,has first purchase record,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8396; levenshtein=0.3636; semantic=0.4255; sequence_match=0.5000,False,0.5884,False,top-3 avg score 0.5884 < final_threshold 0.7
ObjectProperty,plays game,statistic for game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.6550; sequence_match=0.4800,False,0.5867,False,top-3 avg score 0.5867 < final_threshold 0.7
ObjectProperty,has achievement,has purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.6140; sequence_match=0.4800,False,0.5862,False,top-3 avg score 0.5862 < final_threshold 0.7
ObjectProperty,has character,has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6389; levenshtein=0.3333; semantic=0.6644; sequence_match=0.4545,False,0.5859,False,top-3 avg score 0.5859 < final_threshold 0.7
ObjectProperty,has game genre,game has achievement type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6293; levenshtein=0.3182; semantic=0.7152; sequence_match=0.4118,False,0.5854,False,top-3 avg score 0.5854 < final_threshold 0.7
ObjectProperty,purchases game offering,first purchase record for game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6304; levenshtein=0.3462; semantic=0.6089; sequence_match=0.5106,False,0.5833,False,top-3 avg score 0.5833 < final_threshold 0.7
ObjectProperty,is character in game,purchase for game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7026; levenshtein=0.4118; semantic=0.5420; sequence_match=0.5000,False,0.5815,False,top-3 avg score 0.5815 < final_threshold 0.7
ObjectProperty,has game genre,usage in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7079; levenshtein=0.2500; semantic=0.6017; sequence_match=0.4348,False,0.5815,False,top-3 avg score 0.5815 < final_threshold 0.7
ObjectProperty,has game genre,purchase for game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.2667; semantic=0.5846; sequence_match=0.5185,False,0.5796,False,top-3 avg score 0.5796 < final_threshold 0.7
ObjectProperty,has game genre,has playing area,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.5375; sequence_match=0.5385,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.7
ObjectProperty,is leaderboard in game,usage in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6158; levenshtein=0.4737; semantic=0.5794; sequence_match=0.5333,False,0.5762,False,top-3 avg score 0.5762 < final_threshold 0.7
ObjectProperty,has game genre,game has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6630; levenshtein=0.2778; semantic=0.6626; sequence_match=0.4000,False,0.5752,False,top-3 avg score 0.5752 < final_threshold 0.7
ObjectProperty,is character in session,has possession,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6231; levenshtein=0.4500; semantic=0.5507; sequence_match=0.5455,False,0.5731,False,top-3 avg score 0.5731 < final_threshold 0.7
ObjectProperty,has item,has possession,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6877; sequence_match=0.4000,False,0.5714,False,top-3 avg score 0.5714 < final_threshold 0.7
ObjectProperty,plays game,possession in game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3750; semantic=0.6635; sequence_match=0.4800,False,0.571,False,top-3 avg score 0.5710 < final_threshold 0.7
ObjectProperty,has game genre,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6759; levenshtein=0.3889; semantic=0.5682; sequence_match=0.4667,False,0.5703,False,top-3 avg score 0.5703 < final_threshold 0.7
ObjectProperty,is session in game,has possession,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6329; levenshtein=0.2667; semantic=0.5051; sequence_match=0.5714,False,0.5698,False,top-3 avg score 0.5698 < final_threshold 0.7
ObjectProperty,has feature,has usage event,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6985; levenshtein=0.3846; semantic=0.5742; sequence_match=0.4348,False,0.5692,False,top-3 avg score 0.5692 < final_threshold 0.7
ObjectProperty,is session in game,completion for game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.4118; semantic=0.5769; sequence_match=0.5000,False,0.5677,False,top-3 avg score 0.5677 < final_threshold 0.7
ObjectProperty,has achievement,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.5840; sequence_match=0.4545,False,0.5664,False,top-3 avg score 0.5664 < final_threshold 0.7
ObjectProperty,has playing area,has completion,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6873; levenshtein=0.2143; semantic=0.4923; sequence_match=0.5185,False,0.566,False,top-3 avg score 0.5660 < final_threshold 0.7
ObjectProperty,has feature,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.6594; sequence_match=0.4167,False,0.5656,False,top-3 avg score 0.5656 < final_threshold 0.7
ObjectProperty,owns achievement,has usage event,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6900; levenshtein=0.4000; semantic=0.4981; sequence_match=0.5000,False,0.5627,False,top-3 avg score 0.5627 < final_threshold 0.7
ObjectProperty,has character,has first purchase record,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8003; levenshtein=0.3636; semantic=0.4159; sequence_match=0.4706,False,0.5622,False,top-3 avg score 0.5622 < final_threshold 0.7
ObjectProperty,has achievement,has statistic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6429; levenshtein=0.2143; semantic=0.6532; sequence_match=0.3846,False,0.5602,False,top-3 avg score 0.5602 < final_threshold 0.7
ObjectProperty,is leaderboard in game,possession in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6504; levenshtein=0.4211; semantic=0.5700; sequence_match=0.4571,False,0.5592,False,top-3 avg score 0.5592 < final_threshold 0.7
ObjectProperty,is achievement in game,possession in game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5838; levenshtein=0.4211; semantic=0.6326; sequence_match=0.4571,False,0.5578,False,top-3 avg score 0.5578 < final_threshold 0.7
ObjectProperty,has item,has statistic type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6089; levenshtein=0.3125; semantic=0.5386; sequence_match=0.5217,False,0.5564,False,top-3 avg score 0.5564 < final_threshold 0.7
ObjectProperty,is player in session,possession in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6797; levenshtein=0.1176; semantic=0.4988; sequence_match=0.4848,False,0.5545,False,top-3 avg score 0.5545 < final_threshold 0.7
ObjectProperty,has character,has statistic type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6260; levenshtein=0.3750; semantic=0.5373; sequence_match=0.5000,False,0.5544,False,top-3 avg score 0.5544 < final_threshold 0.7
ObjectProperty,has item,has first purchase record,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7970; levenshtein=0.2727; semantic=0.4500; sequence_match=0.4138,False,0.5536,False,top-3 avg score 0.5536 < final_threshold 0.7
ObjectProperty,purchases game offering,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6085; levenshtein=0.3333; semantic=0.5834; sequence_match=0.4667,False,0.5529,False,top-3 avg score 0.5529 < final_threshold 0.7
ObjectProperty,has feature,has playing area,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5499; sequence_match=0.4167,False,0.5516,False,top-3 avg score 0.5516 < final_threshold 0.7
ObjectProperty,purchases game offering,possession in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6159; levenshtein=0.2381; semantic=0.6046; sequence_match=0.4324,False,0.551,False,top-3 avg score 0.5510 < final_threshold 0.7
ObjectProperty,purchases game offering,usage in game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6194; levenshtein=0.2857; semantic=0.5958; sequence_match=0.4375,False,0.5509,False,top-3 avg score 0.5509 < final_threshold 0.7
ObjectProperty,has feature,has statistic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5722; levenshtein=0.4167; semantic=0.6175; sequence_match=0.4545,False,0.5481,False,top-3 avg score 0.5481 < final_threshold 0.7
ObjectProperty,is leaderboard in game,first purchase record for game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6511; levenshtein=0.4231; semantic=0.4575; sequence_match=0.5333,False,0.5473,False,top-3 avg score 0.5473 < final_threshold 0.7
ObjectProperty,owns achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6968; levenshtein=0.2667; semantic=0.5768; sequence_match=0.3636,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.7
ObjectProperty,has feature,has completion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6282; levenshtein=0.3077; semantic=0.5732; sequence_match=0.4348,False,0.5454,False,top-3 avg score 0.5454 < final_threshold 0.7
ObjectProperty,has character,has statistic,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6111; levenshtein=0.4167; semantic=0.6040; sequence_match=0.3333,False,0.5439,False,top-3 avg score 0.5439 < final_threshold 0.7
ObjectProperty,has character,has achievement type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.3333; semantic=0.5441; sequence_match=0.4667,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,is achievement in game,first purchase record for game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6699; levenshtein=0.3846; semantic=0.5118; sequence_match=0.4444,False,0.542,False,top-3 avg score 0.5420 < final_threshold 0.7
ObjectProperty,is character in game,possession in game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5862; levenshtein=0.3529; semantic=0.6151; sequence_match=0.4242,False,0.5418,False,top-3 avg score 0.5418 < final_threshold 0.7
ObjectProperty,is session in game,purchase for game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2667; semantic=0.5140; sequence_match=0.4667,False,0.5417,False,top-3 avg score 0.5417 < final_threshold 0.7
ObjectProperty,has game genre,has play session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.5184; sequence_match=0.4615,False,0.5409,False,top-3 avg score 0.5409 < final_threshold 0.7
