prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,has input,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6316; sequence_match=0.5333,False,0.6185,False,top-3 avg score 0.6185 < final_threshold 0.7
ObjectProperty,has version,version has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6515; levenshtein=0.1818; semantic=0.7595; sequence_match=0.4375,False,0.6162,False,top-3 avg score 0.6162 < final_threshold 0.7
ObjectProperty,has specified data input,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6164; levenshtein=0.2857; semantic=0.7702; sequence_match=0.4571,False,0.6146,False,top-3 avg score 0.6146 < final_threshold 0.7
ObjectProperty,has version,version has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6587; levenshtein=0.1905; semantic=0.7191; sequence_match=0.4516,False,0.6098,False,top-3 avg score 0.6098 < final_threshold 0.7
ObjectProperty,implements,is implementation language of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6615; levenshtein=0.3462; semantic=0.6663; sequence_match=0.5000,False,0.6093,False,top-3 avg score 0.6093 < final_threshold 0.7
ObjectProperty,is software for,is platform of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7624; levenshtein=0.3846; semantic=0.5747; sequence_match=0.4800,False,0.6057,False,top-3 avg score 0.6057 < final_threshold 0.7
ObjectProperty,has format specification,is output format of version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6447; levenshtein=0.2609; semantic=0.6830; sequence_match=0.4889,False,0.6055,False,top-3 avg score 0.6055 < final_threshold 0.7
ObjectProperty,is software for,is export format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7787; levenshtein=0.3750; semantic=0.5375; sequence_match=0.4828,False,0.5997,False,top-3 avg score 0.5997 < final_threshold 0.7
ObjectProperty,has output,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6256; sequence_match=0.5000,False,0.5992,False,top-3 avg score 0.5992 < final_threshold 0.7
ObjectProperty,has format specification,version has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6839; levenshtein=0.1818; semantic=0.6794; sequence_match=0.4186,False,0.594,False,top-3 avg score 0.5940 < final_threshold 0.7
ObjectProperty,has format specification,is input format of version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6323; levenshtein=0.2727; semantic=0.6490; sequence_match=0.5000,False,0.5938,False,top-3 avg score 0.5938 < final_threshold 0.7
ObjectProperty,has clause,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.6088; sequence_match=0.5000,False,0.5936,False,top-3 avg score 0.5936 < final_threshold 0.7
ObjectProperty,is alternative format of,version has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.2857; semantic=0.5766; sequence_match=0.5238,False,0.5922,False,top-3 avg score 0.5922 < final_threshold 0.7
ObjectProperty,has input,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.5856; sequence_match=0.5217,False,0.5895,False,top-3 avg score 0.5895 < final_threshold 0.7
ObjectProperty,has input,has platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.2727; semantic=0.5479; sequence_match=0.5263,False,0.5891,False,top-3 avg score 0.5891 < final_threshold 0.7
ObjectProperty,has format specification,is export format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6263; levenshtein=0.2273; semantic=0.7140; sequence_match=0.4211,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.7
ObjectProperty,has license,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.6103; sequence_match=0.4706,False,0.5841,False,top-3 avg score 0.5841 < final_threshold 0.7
ObjectProperty,has input,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5624; sequence_match=0.5556,False,0.5838,False,top-3 avg score 0.5838 < final_threshold 0.7
ObjectProperty,has format specification,version has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6147; levenshtein=0.1364; semantic=0.7263; sequence_match=0.4091,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.7
ObjectProperty,has version,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6173; levenshtein=0.4375; semantic=0.5932; sequence_match=0.5385,False,0.583,False,top-3 avg score 0.5830 < final_threshold 0.7
ObjectProperty,has format specification,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.3636; semantic=0.5628; sequence_match=0.5000,False,0.5808,False,top-3 avg score 0.5808 < final_threshold 0.7
ObjectProperty,has output,is output format of version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6940; levenshtein=0.2609; semantic=0.6079; sequence_match=0.4375,False,0.5798,False,top-3 avg score 0.5798 < final_threshold 0.7
ObjectProperty,has version,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.6109; sequence_match=0.4706,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.7
ObjectProperty,has function,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8224; levenshtein=0.3571; semantic=0.5156; sequence_match=0.4000,False,0.5793,False,top-3 avg score 0.5793 < final_threshold 0.7
ObjectProperty,has interface,has platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6923; levenshtein=0.3333; semantic=0.6085; sequence_match=0.4348,False,0.5785,False,top-3 avg score 0.5785 < final_threshold 0.7
ObjectProperty,is alternative format of,version has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6431; levenshtein=0.2727; semantic=0.5793; sequence_match=0.5116,False,0.578,False,top-3 avg score 0.5780 < final_threshold 0.7
ObjectProperty,has interface,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.4167; semantic=0.6129; sequence_match=0.4545,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.7
ObjectProperty,is alternative format of,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5810; levenshtein=0.3810; semantic=0.6520; sequence_match=0.5000,False,0.5777,False,top-3 avg score 0.5777 < final_threshold 0.7
ObjectProperty,uses platform,is export format of,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6597; levenshtein=0.5000; semantic=0.4072; sequence_match=0.5714,False,0.5771,False,top-3 avg score 0.5771 < final_threshold 0.7
ObjectProperty,has specified data input,version has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6587; levenshtein=0.1429; semantic=0.6874; sequence_match=0.3810,False,0.5757,False,top-3 avg score 0.5757 < final_threshold 0.7
ObjectProperty,has interface,has documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6389; levenshtein=0.3125; semantic=0.6548; sequence_match=0.4286,False,0.5741,False,top-3 avg score 0.5741 < final_threshold 0.7
ObjectProperty,has license,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3750; semantic=0.6009; sequence_match=0.4615,False,0.5736,False,top-3 avg score 0.5736 < final_threshold 0.7
ObjectProperty,is developed by,created by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3846; semantic=0.6828; sequence_match=0.4545,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.7
ObjectProperty,is alternative format of,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6183; levenshtein=0.3810; semantic=0.6313; sequence_match=0.4571,False,0.5689,False,top-3 avg score 0.5689 < final_threshold 0.7
ObjectProperty,uses platform,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7606; levenshtein=0.4286; semantic=0.4778; sequence_match=0.4615,False,0.5666,False,top-3 avg score 0.5666 < final_threshold 0.7
ObjectProperty,has specified data output,version has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6323; levenshtein=0.1364; semantic=0.6571; sequence_match=0.4091,False,0.5662,False,top-3 avg score 0.5662 < final_threshold 0.7
ObjectProperty,uses platform,has output format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7093; levenshtein=0.4000; semantic=0.4688; sequence_match=0.5185,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.7
ObjectProperty,has format specification,output format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5563; levenshtein=0.2727; semantic=0.7455; sequence_match=0.3889,False,0.5635,False,top-3 avg score 0.5635 < final_threshold 0.7
ObjectProperty,has version,is input format of version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5131; levenshtein=0.3636; semantic=0.6747; sequence_match=0.5000,False,0.5626,False,top-3 avg score 0.5626 < final_threshold 0.7
ObjectProperty,is alternative format of,exports to format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6794; levenshtein=0.3810; semantic=0.5617; sequence_match=0.4444,False,0.5618,False,top-3 avg score 0.5618 < final_threshold 0.7
ObjectProperty,has format specification,input format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5746; levenshtein=0.2273; semantic=0.7057; sequence_match=0.4000,False,0.5601,False,top-3 avg score 0.5601 < final_threshold 0.7
ObjectProperty,has clause,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6908; levenshtein=0.3125; semantic=0.5889; sequence_match=0.4000,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has interface,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.3333; semantic=0.5970; sequence_match=0.4444,False,0.5591,False,top-3 avg score 0.5591 < final_threshold 0.7
ObjectProperty,has function,has platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.3636; semantic=0.5797; sequence_match=0.4545,False,0.5586,False,top-3 avg score 0.5586 < final_threshold 0.7
ObjectProperty,has clause,has platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6700; levenshtein=0.4545; semantic=0.4998; sequence_match=0.5000,False,0.5566,False,top-3 avg score 0.5566 < final_threshold 0.7
ObjectProperty,has interface,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.6126; sequence_match=0.4211,False,0.5562,False,top-3 avg score 0.5562 < final_threshold 0.7
ObjectProperty,is developed by,task performed by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6746; levenshtein=0.4000; semantic=0.4934; sequence_match=0.5000,False,0.556,False,top-3 avg score 0.5560 < final_threshold 0.7
ObjectProperty,has input,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3125; semantic=0.5974; sequence_match=0.4167,False,0.5556,False,top-3 avg score 0.5556 < final_threshold 0.7
ObjectProperty,has interface,version has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6521; levenshtein=0.3333; semantic=0.5267; sequence_match=0.4848,False,0.5546,False,top-3 avg score 0.5546 < final_threshold 0.7
ObjectProperty,implements,is compatible with,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6028; levenshtein=0.3125; semantic=0.5986; sequence_match=0.4615,False,0.5543,False,top-3 avg score 0.5543 < final_threshold 0.7
ObjectProperty,uses platform,performs task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6852; levenshtein=0.0000; semantic=0.5593; sequence_match=0.4167,False,0.5537,False,top-3 avg score 0.5537 < final_threshold 0.7
ObjectProperty,has clause,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6198; sequence_match=0.4211,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,has function,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.3636; semantic=0.6131; sequence_match=0.3810,False,0.5512,False,top-3 avg score 0.5512 < final_threshold 0.7
ObjectProperty,has format specification,exports to format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5404; levenshtein=0.2727; semantic=0.7285; sequence_match=0.3784,False,0.5491,False,top-3 avg score 0.5491 < final_threshold 0.7
ObjectProperty,has input,is input format of version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5882; levenshtein=0.2273; semantic=0.6524; sequence_match=0.4000,False,0.5469,False,top-3 avg score 0.5469 < final_threshold 0.7
ObjectProperty,is encoded in,is documentation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7668; levenshtein=0.3529; semantic=0.4443; sequence_match=0.4286,False,0.5465,False,top-3 avg score 0.5465 < final_threshold 0.7
ObjectProperty,is developed by,is help of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6816; levenshtein=0.3846; semantic=0.4588; sequence_match=0.4762,False,0.5389,False,top-3 avg score 0.5389 < final_threshold 0.7
ObjectProperty,has specified data input,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6462; levenshtein=0.3810; semantic=0.5346; sequence_match=0.4324,False,0.5377,False,top-3 avg score 0.5377 < final_threshold 0.7
ObjectProperty,implements,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.2727; semantic=0.4774; sequence_match=0.4762,False,0.5377,False,top-3 avg score 0.5377 < final_threshold 0.7
ObjectProperty,has function,has output format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6534; levenshtein=0.4000; semantic=0.5589; sequence_match=0.3846,False,0.5374,False,top-3 avg score 0.5374 < final_threshold 0.7
ObjectProperty,has format specification,is documentation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6116; levenshtein=0.2727; semantic=0.5371; sequence_match=0.4615,False,0.5367,False,top-3 avg score 0.5367 < final_threshold 0.7
ObjectProperty,is software for,is output format of version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7714; levenshtein=0.2609; semantic=0.4479; sequence_match=0.3889,False,0.536,False,top-3 avg score 0.5360 < final_threshold 0.7
ObjectProperty,is alternative format of,is documentation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6327; levenshtein=0.3333; semantic=0.4919; sequence_match=0.4737,False,0.5328,False,top-3 avg score 0.5328 < final_threshold 0.7
ObjectProperty,has specified data output,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6229; levenshtein=0.3182; semantic=0.5828; sequence_match=0.3889,False,0.5315,False,top-3 avg score 0.5315 < final_threshold 0.7
ObjectProperty,implements,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.3000; semantic=0.5676; sequence_match=0.4000,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.7
ObjectProperty,is alternative format of,is license of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6748; levenshtein=0.3333; semantic=0.4141; sequence_match=0.5000,False,0.5296,False,top-3 avg score 0.5296 < final_threshold 0.7
ObjectProperty,has specified data output,has documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6686; levenshtein=0.3636; semantic=0.5515; sequence_match=0.3684,False,0.5295,False,top-3 avg score 0.5295 < final_threshold 0.7
ObjectProperty,uses platform,output format of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6210; levenshtein=0.2857; semantic=0.4259; sequence_match=0.5385,False,0.5285,False,top-3 avg score 0.5285 < final_threshold 0.7
ObjectProperty,has declared status,has documentation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6232; levenshtein=0.4706; semantic=0.4745; sequence_match=0.4848,False,0.5275,False,top-3 avg score 0.5275 < final_threshold 0.7
ObjectProperty,has interface,task performed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.3333; semantic=0.4931; sequence_match=0.4444,False,0.5244,False,top-3 avg score 0.5244 < final_threshold 0.7
ObjectProperty,has output,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3000; semantic=0.6060; sequence_match=0.4211,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.7
ObjectProperty,is encoded in,is license of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6623; levenshtein=0.2727; semantic=0.4537; sequence_match=0.4545,False,0.5235,False,top-3 avg score 0.5235 < final_threshold 0.7
ObjectProperty,has format specification,has platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6879; levenshtein=0.2727; semantic=0.4579; sequence_match=0.4242,False,0.5233,False,top-3 avg score 0.5233 < final_threshold 0.7
ObjectProperty,has version,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6857; levenshtein=0.2857; semantic=0.5403; sequence_match=0.3333,False,0.5198,False,top-3 avg score 0.5198 < final_threshold 0.7
ObjectProperty,is alternative format of,has platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6378; levenshtein=0.3333; semantic=0.4111; sequence_match=0.5000,False,0.5163,False,top-3 avg score 0.5163 < final_threshold 0.7
ObjectProperty,has output,has platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.5449; sequence_match=0.4000,False,0.5161,False,top-3 avg score 0.5161 < final_threshold 0.7
ObjectProperty,has version,has platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.3636; semantic=0.5778; sequence_match=0.3810,False,0.5145,False,top-3 avg score 0.5145 < final_threshold 0.7
ObjectProperty,has license,has platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5879; levenshtein=0.3636; semantic=0.5742; sequence_match=0.3810,False,0.5144,False,top-3 avg score 0.5144 < final_threshold 0.7
ObjectProperty,has specified data output,has platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6553; levenshtein=0.3182; semantic=0.4628; sequence_match=0.4242,False,0.5141,False,top-3 avg score 0.5141 < final_threshold 0.7
ObjectProperty,has function,has help,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.6411; sequence_match=0.3333,False,0.5138,False,top-3 avg score 0.5138 < final_threshold 0.7
ObjectProperty,has specified data input,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.2857; semantic=0.5230; sequence_match=0.3871,False,0.5134,False,top-3 avg score 0.5134 < final_threshold 0.7
ObjectProperty,has declared status,creates,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6256; levenshtein=0.3529; semantic=0.4142; sequence_match=0.5000,False,0.5133,False,top-3 avg score 0.5133 < final_threshold 0.7
ObjectProperty,uses platform,version has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6626; levenshtein=0.3182; semantic=0.4644; sequence_match=0.4118,False,0.5129,False,top-3 avg score 0.5129 < final_threshold 0.7
ObjectProperty,has interface,version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.5440; sequence_match=0.3810,False,0.512,False,top-3 avg score 0.5120 < final_threshold 0.7
ObjectProperty,has version,is output format of version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.3580; levenshtein=0.3478; semantic=0.6928; sequence_match=0.4848,False,0.5119,False,top-3 avg score 0.5119 < final_threshold 0.7
ObjectProperty,has input,version has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5130; sequence_match=0.4000,False,0.5114,False,top-3 avg score 0.5114 < final_threshold 0.7
ObjectProperty,is developed by,algorithm used by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5731; levenshtein=0.2667; semantic=0.5317; sequence_match=0.4286,False,0.5111,False,top-3 avg score 0.5111 < final_threshold 0.7
