role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,has fabrication number,hasfabricationnumber,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9093; sequence_match=1.0000,True,1.0000,True,selected
property,has manufacturer,hasmanufacturer,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9571; sequence_match=1.0000,True,1.0000,True,selected
property,has model,hasmodel,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9241; sequence_match=1.0000,True,1.0000,True,selected
property,has firmware version,hasfirmwareversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9377; sequence_match=1.0000,True,1.0000,True,selected
property,has billing date,hasbillingdate,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9337; sequence_match=1.0000,True,1.0000,True,selected
property,has billing period,hasbillingdateperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9350; levenshtein=0.8000; semantic=0.8775; sequence_match=0.8889,False,0.9005,True,selected
property,has billing period,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8114; levenshtein=0.6250; semantic=0.6252; sequence_match=0.6452,False,0.6939,False,gold already mapped to 'hasbillingdateperiod'
property,has model,haspower,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.8250; levenshtein=0.6250; semantic=0.6134; sequence_match=0.6250,False,0.6917,False,gold already mapped to 'hasmodel'
property,has fabrication number,hasmanufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8334; levenshtein=0.4000; semantic=0.7014; sequence_match=0.4571,False,0.6640,False,gold already mapped to 'hasfabricationnumber'
property,has version,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8094; levenshtein=0.3000; semantic=0.6146; sequence_match=0.5556,False,0.6599,False,gold already mapped to 'version'
property,requires power,haspower,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5705; levenshtein=0.4615; semantic=0.8286; sequence_match=0.5714,False,0.6569,False,pred already taken by 'has property' (higher averaged score)
property,has manufacturer,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8334; levenshtein=0.4000; semantic=0.6792; sequence_match=0.4571,False,0.6566,False,gold already mapped to 'hasmanufacturer'
property,has period,hasmodel,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8250; levenshtein=0.3333; semantic=0.5390; sequence_match=0.5882,False,0.6507,False,gold already mapped to 'hastariffperiod'
property,has fabrication number,hashardwareversionnumber,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.6806; levenshtein=0.5833; semantic=0.5081; sequence_match=0.6818,False,0.6486,False,gold already mapped to 'hasfabricationnumber'
property,has version,hastemporalsetting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8081; levenshtein=0.3889; semantic=0.5484; sequence_match=0.5714,False,0.6427,False,gold already mapped to 'version'
property,has period,hasbillingdateperiod,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6000; levenshtein=0.4500; semantic=0.7002; sequence_match=0.6207,False,0.6403,False,gold already mapped to 'hastariffperiod'
property,has period,hastariff,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5138; sequence_match=0.5556,False,0.6346,False,gold already mapped to 'hastariffperiod'
property,has duration,hasgeolocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6829; levenshtein=0.5714; semantic=0.4872; sequence_match=0.6400,False,0.6314,False,gold already mapped to 'duration'
property,has measurement,hasmanufacturer,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8263; levenshtein=0.3333; semantic=0.5145; sequence_match=0.5517,False,0.6308,False,gold already mapped to 'measures'
property,hasgeometry,haspower,jaro_winkler+levenshtein+semantic,jaro_winkler=0.7967; levenshtein=0.5455; semantic=0.5371; sequence_match=0.5263,False,0.6264,False,gold already mapped to 'hasgeolocation'
property,hasgeometry,hasmodel,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7967; levenshtein=0.4545; semantic=0.5904; sequence_match=0.4211,False,0.6139,False,gold already mapped to 'hasgeolocation'
property,has start timestamp,hastariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8109; levenshtein=0.4118; semantic=0.4874; sequence_match=0.5385,False,0.6123,False,gold already mapped to 'startdatetime'
property,has property,hasmodel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.6055; sequence_match=0.5263,False,0.6083,False,gold already mapped to 'haspower'
property,has version,hasgeolocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6857; levenshtein=0.5000; semantic=0.5529; sequence_match=0.5833,False,0.6073,False,gold already mapped to 'version'
property,has duration,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.5602; sequence_match=0.5517,False,0.6035,False,gold already mapped to 'duration'
property,has duration,hastariffperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7983; levenshtein=0.4000; semantic=0.5481; sequence_match=0.4615,False,0.6027,False,gold already mapped to 'duration'
property,has firmware version,version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4206; levenshtein=0.3889; semantic=0.8183; sequence_match=0.5600,False,0.5996,False,top-3 avg score 0.5996 < final_threshold 0.6
property,has duration,hastariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8300; levenshtein=0.4545; semantic=0.4620; sequence_match=0.5000,False,0.5973,False,top-3 avg score 0.5973 < final_threshold 0.6
property,hasgeometry,haschemicalproperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3684; semantic=0.5551; sequence_match=0.5333,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.6
property,has billing period,haspower,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.3125; semantic=0.4798; sequence_match=0.5000,False,0.5919,False,top-3 avg score 0.5919 < final_threshold 0.6
property,has firmware version,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6722; levenshtein=0.3000; semantic=0.6262; sequence_match=0.4737,False,0.5907,False,top-3 avg score 0.5907 < final_threshold 0.6
property,has model,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7949; levenshtein=0.3333; semantic=0.4996; sequence_match=0.4615,False,0.5854,False,top-3 avg score 0.5854 < final_threshold 0.6
property,has version,hastariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6852; levenshtein=0.5000; semantic=0.5341; sequence_match=0.5263,False,0.5819,False,top-3 avg score 0.5819 < final_threshold 0.6
property,has measurement,hasfirmwareversion,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6899; levenshtein=0.3333; semantic=0.4906; sequence_match=0.5625,False,0.5810,False,top-3 avg score 0.5810 < final_threshold 0.6
property,has version,hasmodel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6417; levenshtein=0.3000; semantic=0.6487; sequence_match=0.4444,False,0.5783,False,top-3 avg score 0.5783 < final_threshold 0.6
property,has hardware version,hastariffperiod,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6741; levenshtein=0.5000; semantic=0.4483; sequence_match=0.5455,False,0.5732,False,top-3 avg score 0.5732 < final_threshold 0.6
property,has period,version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3333; semantic=0.5287; sequence_match=0.5000,False,0.5729,False,top-3 avg score 0.5729 < final_threshold 0.6
property,has duration,hasfabricationnumber,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6820; levenshtein=0.4500; semantic=0.4409; sequence_match=0.5806,False,0.5709,False,top-3 avg score 0.5709 < final_threshold 0.6
property,has firmware version,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.3333; semantic=0.6093; sequence_match=0.4615,False,0.5699,False,top-3 avg score 0.5699 < final_threshold 0.6
property,has measurement,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7956; levenshtein=0.3889; semantic=0.4765; sequence_match=0.4375,False,0.5699,False,top-3 avg score 0.5699 < final_threshold 0.6
property,has version,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6746; levenshtein=0.4000; semantic=0.4741; sequence_match=0.5600,False,0.5696,False,top-3 avg score 0.5696 < final_threshold 0.6
property,has version,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3500; semantic=0.5564; sequence_match=0.4667,False,0.5688,False,top-3 avg score 0.5688 < final_threshold 0.6
property,has fabrication number,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6722; levenshtein=0.3000; semantic=0.5591; sequence_match=0.4737,False,0.5683,False,top-3 avg score 0.5683 < final_threshold 0.6
property,has model,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.2857; semantic=0.5725; sequence_match=0.4545,False,0.5659,False,top-3 avg score 0.5659 < final_threshold 0.6
property,has duration,hasfirmwareversion,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6822; levenshtein=0.4444; semantic=0.4625; sequence_match=0.5517,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.6
property,hasgeometry,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.5149; sequence_match=0.4828,False,0.5654,False,top-3 avg score 0.5654 < final_threshold 0.6
property,has firmware version,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6906; levenshtein=0.4444; semantic=0.4592; sequence_match=0.5455,False,0.5651,False,top-3 avg score 0.5651 < final_threshold 0.6
property,has firmware version,hasmanufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2778; semantic=0.6209; sequence_match=0.4848,False,0.5649,False,top-3 avg score 0.5649 < final_threshold 0.6
property,has hardware version,version,semantic+sequence_match+levenshtein,jaro_winkler=0.2989; levenshtein=0.3889; semantic=0.7456; sequence_match=0.5600,False,0.5648,False,top-3 avg score 0.5648 < final_threshold 0.6
property,has start timestamp,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6797; levenshtein=0.2778; semantic=0.6130; sequence_match=0.4000,False,0.5643,False,top-3 avg score 0.5643 < final_threshold 0.6
property,has property,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6702; levenshtein=0.4667; semantic=0.4825; sequence_match=0.5385,False,0.5637,False,top-3 avg score 0.5637 < final_threshold 0.6
property,has hardware version,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.3333; semantic=0.5899; sequence_match=0.4615,False,0.5635,False,top-3 avg score 0.5635 < final_threshold 0.6
property,has measurement,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.2857; semantic=0.5749; sequence_match=0.4545,False,0.5634,False,top-3 avg score 0.5634 < final_threshold 0.6
property,has duration,hasbillingdateperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6449; levenshtein=0.3500; semantic=0.5267; sequence_match=0.5161,False,0.5626,False,top-3 avg score 0.5626 < final_threshold 0.6
property,has firmware version,hasbillingdateperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6295; levenshtein=0.4500; semantic=0.5276; sequence_match=0.5263,False,0.5611,False,top-3 avg score 0.5611 < final_threshold 0.6
property,has timestamp,hasmodel,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6806; levenshtein=0.3333; semantic=0.4958; sequence_match=0.5000,False,0.5588,False,top-3 avg score 0.5588 < final_threshold 0.6
property,has hardware version,hasmanufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5759; levenshtein=0.3333; semantic=0.6149; sequence_match=0.4848,False,0.5586,False,top-3 avg score 0.5586 < final_threshold 0.6
property,has period,hasgeolocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6429; levenshtein=0.4286; semantic=0.5102; sequence_match=0.5217,False,0.5583,False,top-3 avg score 0.5583 < final_threshold 0.6
property,has timestamp,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6620; levenshtein=0.3333; semantic=0.5452; sequence_match=0.4667,False,0.5580,False,top-3 avg score 0.5580 < final_threshold 0.6
property,has version,usedin,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6889; levenshtein=0.4000; semantic=0.4846; sequence_match=0.5000,False,0.5578,False,top-3 avg score 0.5578 < final_threshold 0.6
property,has start timestamp,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6728; levenshtein=0.4118; semantic=0.4940; sequence_match=0.5000,False,0.5556,False,top-3 avg score 0.5556 < final_threshold 0.6
property,has hardware version,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6295; levenshtein=0.3000; semantic=0.5547; sequence_match=0.4737,False,0.5526,False,top-3 avg score 0.5526 < final_threshold 0.6
property,has billing date,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.5131; sequence_match=0.4706,False,0.5517,False,top-3 avg score 0.5517 < final_threshold 0.6
property,has measurement,hasmodel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.5308; sequence_match=0.4545,False,0.5487,False,top-3 avg score 0.5487 < final_threshold 0.6
property,has fabrication number,hastariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8049; levenshtein=0.3000; semantic=0.4259; sequence_match=0.4138,False,0.5482,False,top-3 avg score 0.5482 < final_threshold 0.6
property,hasgeometry,hastariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.5419; sequence_match=0.5000,False,0.5482,False,top-3 avg score 0.5482 < final_threshold 0.6
property,has model,hasmanufacturer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.6163; sequence_match=0.4348,False,0.5467,False,top-3 avg score 0.5467 < final_threshold 0.6
property,has timestamp,hastariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.4890; sequence_match=0.4762,False,0.5439,False,top-3 avg score 0.5439 < final_threshold 0.6
property,has property,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6406; levenshtein=0.3889; semantic=0.5050; sequence_match=0.4828,False,0.5428,False,top-3 avg score 0.5428 < final_threshold 0.6
property,has hardware version,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6303; levenshtein=0.3333; semantic=0.5590; sequence_match=0.4375,False,0.5423,False,top-3 avg score 0.5423 < final_threshold 0.6
property,has fabrication number,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.4794; sequence_match=0.4706,False,0.5405,False,top-3 avg score 0.5405 < final_threshold 0.6
property,has firmware version,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6685; levenshtein=0.2727; semantic=0.5529; sequence_match=0.4000,False,0.5404,False,top-3 avg score 0.5404 < final_threshold 0.6
property,has period,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7964; levenshtein=0.2273; semantic=0.4332; sequence_match=0.3871,False,0.5389,False,top-3 avg score 0.5389 < final_threshold 0.6
property,has manufacturer,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2778; semantic=0.5417; sequence_match=0.4848,False,0.5385,False,top-3 avg score 0.5385 < final_threshold 0.6
property,has hardware version,hasmodel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6343; levenshtein=0.2778; semantic=0.5944; sequence_match=0.3846,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.6
property,has period,hastemporalsetting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.5414; sequence_match=0.4444,False,0.5376,False,top-3 avg score 0.5376 < final_threshold 0.6
property,has fabrication number,hastariffperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8017; levenshtein=0.3000; semantic=0.3522; sequence_match=0.4571,False,0.5370,False,top-3 avg score 0.5370 < final_threshold 0.6
property,has property,hasgeolocation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6025; levenshtein=0.3571; semantic=0.6067; sequence_match=0.4000,False,0.5364,False,top-3 avg score 0.5364 < final_threshold 0.6
property,has period,hasfirmwareversion,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6111; levenshtein=0.3889; semantic=0.4772; sequence_match=0.5185,False,0.5356,False,top-3 avg score 0.5356 < final_threshold 0.6
property,has property,hasmanufacturer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5929; levenshtein=0.2667; semantic=0.5516; sequence_match=0.4615,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.6
property,has duration,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6169; levenshtein=0.2143; semantic=0.5092; sequence_match=0.4800,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.6
property,has manufacturer,haspower,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.5808; sequence_match=0.4348,False,0.5348,False,top-3 avg score 0.5348 < final_threshold 0.6
property,has fabrication number,hasgeolocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6235; levenshtein=0.4500; semantic=0.4356; sequence_match=0.5294,False,0.5343,False,top-3 avg score 0.5343 < final_threshold 0.6
property,has model,hasfirmwareversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6343; levenshtein=0.2778; semantic=0.5839; sequence_match=0.3846,False,0.5343,False,top-3 avg score 0.5343 < final_threshold 0.6
property,has duration,version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.3636; semantic=0.5008; sequence_match=0.4444,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.6
property,has measurement,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5520; sequence_match=0.4286,False,0.5332,False,top-3 avg score 0.5332 < final_threshold 0.6
property,has hardware version,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6685; levenshtein=0.3182; semantic=0.5307; sequence_match=0.4000,False,0.5331,False,top-3 avg score 0.5331 < final_threshold 0.6
property,has model,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6834; levenshtein=0.2727; semantic=0.5152; sequence_match=0.4000,False,0.5329,False,top-3 avg score 0.5329 < final_threshold 0.6
property,has measurement,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.3182; semantic=0.4974; sequence_match=0.4444,False,0.5327,False,top-3 avg score 0.5327 < final_threshold 0.6
property,has duration,hasradiofrequencylevel,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6879; levenshtein=0.2727; semantic=0.4212; sequence_match=0.4848,False,0.5313,False,top-3 avg score 0.5313 < final_threshold 0.6
property,has hardware version,hastariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5379; sequence_match=0.4444,False,0.5312,False,top-3 avg score 0.5312 < final_threshold 0.6
property,has billing date,hasmanufacturer,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6556; levenshtein=0.2667; semantic=0.4545; sequence_match=0.4828,False,0.5309,False,top-3 avg score 0.5309 < final_threshold 0.6
property,has model,hasbillingdate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.5433; sequence_match=0.4545,False,0.5306,False,top-3 avg score 0.5306 < final_threshold 0.6
property,has timestamp,startdatetime,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5644; levenshtein=0.3077; semantic=0.6266; sequence_match=0.4000,False,0.5303,False,top-3 avg score 0.5303 < final_threshold 0.6
property,has measurement,haschemicalproperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6685; levenshtein=0.4211; semantic=0.4940; sequence_match=0.4242,False,0.5289,False,top-3 avg score 0.5289 < final_threshold 0.6
property,has firmware version,hasgeolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6303; levenshtein=0.3333; semantic=0.5188; sequence_match=0.4375,False,0.5288,False,top-3 avg score 0.5288 < final_threshold 0.6
property,has duration,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5437; sequence_match=0.4211,False,0.5287,False,top-3 avg score 0.5287 < final_threshold 0.6
property,has property,hasbillingdateperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6145; levenshtein=0.3000; semantic=0.5810; sequence_match=0.3871,False,0.5275,False,top-3 avg score 0.5275 < final_threshold 0.6
property,has version,hasbillingdateperiod,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.3000; semantic=0.5370; sequence_match=0.4667,False,0.5272,False,top-3 avg score 0.5272 < final_threshold 0.6
property,has period,haschemicalproperty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6866; levenshtein=0.3158; semantic=0.4661; sequence_match=0.4286,False,0.5271,False,top-3 avg score 0.5271 < final_threshold 0.6
property,has property,hasradiofrequencylevel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6553; levenshtein=0.2727; semantic=0.4988; sequence_match=0.4242,False,0.5261,False,top-3 avg score 0.5261 < final_threshold 0.6
property,has firmware version,hasmodel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6343; levenshtein=0.2778; semantic=0.5583; sequence_match=0.3846,False,0.5257,False,top-3 avg score 0.5257 < final_threshold 0.6
property,has hardware version,hasbillingdateperiod,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6295; levenshtein=0.4000; semantic=0.4728; sequence_match=0.4737,False,0.5253,False,top-3 avg score 0.5253 < final_threshold 0.6
property,has version,duration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.3000; semantic=0.4850; sequence_match=0.4444,False,0.5237,False,top-3 avg score 0.5237 < final_threshold 0.6
property,has start timestamp,hasfabricationnumber,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5961; levenshtein=0.3000; semantic=0.4847; sequence_match=0.4865,False,0.5224,False,top-3 avg score 0.5224 < final_threshold 0.6
property,has timestamp,hasfabricationnumber,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5968; levenshtein=0.2500; semantic=0.5324; sequence_match=0.4375,False,0.5222,False,top-3 avg score 0.5222 < final_threshold 0.6
