prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasPolicy,has policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,obligation,has obligation,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9503; sequence_match=0.8696,False,0.881,True,selected
ObjectProperty,obligation,has condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6183; levenshtein=0.3333; semantic=0.5391; sequence_match=0.5455,False,0.5676,False,top-3 avg score 0.5676 < final_threshold 0.7
ObjectProperty,constraint,is condition of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.3077; semantic=0.5718; sequence_match=0.5217,False,0.5656,False,top-3 avg score 0.5656 < final_threshold 0.7
ObjectProperty,hasPolicy,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6467; levenshtein=0.3846; semantic=0.5952; sequence_match=0.4545,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.7
ObjectProperty,andSequence,is consequence duty of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6158; levenshtein=0.4211; semantic=0.4801; sequence_match=0.6000,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.7
ObjectProperty,prohibition,is obligation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7246; levenshtein=0.4286; semantic=0.4904; sequence_match=0.4800,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.7
ObjectProperty,assignee,has sequence,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7096; levenshtein=0.4545; semantic=0.4479; sequence_match=0.5263,False,0.5635,False,top-3 avg score 0.5635 < final_threshold 0.7
ObjectProperty,prohibition,has obligation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6559; levenshtein=0.4615; semantic=0.5299; sequence_match=0.5000,False,0.5619,False,top-3 avg score 0.5619 < final_threshold 0.7
ObjectProperty,conflict,has policy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5614; sequence_match=0.4706,False,0.56,False,top-3 avg score 0.5600 < final_threshold 0.7
ObjectProperty,hasPolicy,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,function,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.4167; semantic=0.5397; sequence_match=0.5000,False,0.5595,False,top-3 avg score 0.5595 < final_threshold 0.7
ObjectProperty,target,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5734; sequence_match=0.4615,False,0.5593,False,top-3 avg score 0.5593 < final_threshold 0.7
ObjectProperty,scope,is container of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7026; levenshtein=0.3077; semantic=0.5294; sequence_match=0.4444,False,0.5588,False,top-3 avg score 0.5588 < final_threshold 0.7
ObjectProperty,relation,is obligation of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6151; levenshtein=0.4286; semantic=0.5117; sequence_match=0.5455,False,0.5574,False,top-3 avg score 0.5574 < final_threshold 0.7
ObjectProperty,hasPolicy,has container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.4167; semantic=0.5249; sequence_match=0.4762,False,0.5559,False,top-3 avg score 0.5559 < final_threshold 0.7
ObjectProperty,function,is condition of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.3846; semantic=0.5637; sequence_match=0.4762,False,0.5553,False,top-3 avg score 0.5553 < final_threshold 0.7
ObjectProperty,hasPolicy,has inheritance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5919; sequence_match=0.4348,False,0.5547,False,top-3 avg score 0.5547 < final_threshold 0.7
ObjectProperty,prohibition,has condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6447; levenshtein=0.4167; semantic=0.4963; sequence_match=0.5217,False,0.5542,False,top-3 avg score 0.5542 < final_threshold 0.7
ObjectProperty,failure,has rule,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7429; levenshtein=0.4286; semantic=0.4904; sequence_match=0.4286,False,0.5539,False,top-3 avg score 0.5539 < final_threshold 0.7
ObjectProperty,scope,has container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6167; levenshtein=0.3333; semantic=0.5690; sequence_match=0.4706,False,0.5521,False,top-3 avg score 0.5521 < final_threshold 0.7
ObjectProperty,leftOperand,is operator of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5152; levenshtein=0.2500; semantic=0.7037; sequence_match=0.4348,False,0.5512,False,top-3 avg score 0.5512 < final_threshold 0.7
ObjectProperty,partOf,is operator of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6167; levenshtein=0.4167; semantic=0.4810; sequence_match=0.5556,False,0.5511,False,top-3 avg score 0.5511 < final_threshold 0.7
ObjectProperty,prohibition,is permission of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.5081; sequence_match=0.4800,False,0.5509,False,top-3 avg score 0.5509 < final_threshold 0.7
ObjectProperty,assignee,has constraint set,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6528; levenshtein=0.3125; semantic=0.4970; sequence_match=0.5000,False,0.5499,False,top-3 avg score 0.5499 < final_threshold 0.7
ObjectProperty,target,has rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5432; sequence_match=0.4615,False,0.5492,False,top-3 avg score 0.5492 < final_threshold 0.7
ObjectProperty,conflict,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.5657; sequence_match=0.4762,False,0.5484,False,top-3 avg score 0.5484 < final_threshold 0.7
ObjectProperty,constraint,has requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2143; semantic=0.6058; sequence_match=0.4167,False,0.5477,False,top-3 avg score 0.5477 < final_threshold 0.7
ObjectProperty,hasPolicy,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.5388; sequence_match=0.5000,False,0.5474,False,top-3 avg score 0.5474 < final_threshold 0.7
ObjectProperty,and,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7500; levenshtein=0.2500; semantic=0.4921; sequence_match=0.4000,False,0.5474,False,top-3 avg score 0.5474 < final_threshold 0.7
ObjectProperty,assigner,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5997; sequence_match=0.4211,False,0.5473,False,top-3 avg score 0.5473 < final_threshold 0.7
ObjectProperty,inheritFrom,has operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.1818; semantic=0.5355; sequence_match=0.4545,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.7
ObjectProperty,action,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3077; semantic=0.5357; sequence_match=0.4211,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,action,is condition of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6060; levenshtein=0.3846; semantic=0.4939; sequence_match=0.5263,False,0.5421,False,top-3 avg score 0.5421 < final_threshold 0.7
ObjectProperty,assignee,has obligation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6026; levenshtein=0.3077; semantic=0.5467; sequence_match=0.4762,False,0.5418,False,top-3 avg score 0.5418 < final_threshold 0.7
ObjectProperty,prohibition,is condition of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6773; levenshtein=0.3846; semantic=0.4473; sequence_match=0.5000,False,0.5416,False,top-3 avg score 0.5416 < final_threshold 0.7
ObjectProperty,scope,is role of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3750; semantic=0.5044; sequence_match=0.4615,False,0.5414,False,top-3 avg score 0.5414 < final_threshold 0.7
ObjectProperty,hasPolicy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.5470; sequence_match=0.4444,False,0.5404,False,top-3 avg score 0.5404 < final_threshold 0.7
ObjectProperty,assigner,has constraint set,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5972; levenshtein=0.3125; semantic=0.5218; sequence_match=0.5000,False,0.5397,False,top-3 avg score 0.5397 < final_threshold 0.7
ObjectProperty,partOf,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5130; sequence_match=0.4615,False,0.5391,False,top-3 avg score 0.5391 < final_threshold 0.7
ObjectProperty,hasPolicy,has conflict resolution strategy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2759; semantic=0.6160; sequence_match=0.4211,False,0.5383,False,top-3 avg score 0.5383 < final_threshold 0.7
ObjectProperty,partOf,is role of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5596; sequence_match=0.4286,False,0.5377,False,top-3 avg score 0.5377 < final_threshold 0.7
ObjectProperty,obligation,is condition of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5761; levenshtein=0.3077; semantic=0.5142; sequence_match=0.5217,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,assigner,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5324; sequence_match=0.4762,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,hasPolicy,has logical constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6616; levenshtein=0.3000; semantic=0.5309; sequence_match=0.4138,False,0.5355,False,top-3 avg score 0.5355 < final_threshold 0.7
ObjectProperty,assignee,has container,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6139; levenshtein=0.3333; semantic=0.4911; sequence_match=0.5000,False,0.535,False,top-3 avg score 0.5350 < final_threshold 0.7
ObjectProperty,assignee,has role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.6024; sequence_match=0.4000,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.7
ObjectProperty,assigner,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5231; sequence_match=0.4762,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,andSequence,is requirement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6534; levenshtein=0.2667; semantic=0.4866; sequence_match=0.4615,False,0.5339,False,top-3 avg score 0.5339 < final_threshold 0.7
ObjectProperty,inheritRelation,is condition of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6684; levenshtein=0.2000; semantic=0.4323; sequence_match=0.5000,False,0.5336,False,top-3 avg score 0.5336 < final_threshold 0.7
ObjectProperty,consequence,has requirement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.4546; sequence_match=0.4800,False,0.533,False,top-3 avg score 0.5330 < final_threshold 0.7
ObjectProperty,assignee,is inherited by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5182; sequence_match=0.4762,False,0.5325,False,top-3 avg score 0.5325 < final_threshold 0.7
ObjectProperty,inheritRelation,is permission of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6556; levenshtein=0.2667; semantic=0.4564; sequence_match=0.4828,False,0.5316,False,top-3 avg score 0.5316 < final_threshold 0.7
ObjectProperty,inheritFrom,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.5642; sequence_match=0.4167,False,0.5314,False,top-3 avg score 0.5314 < final_threshold 0.7
ObjectProperty,conflict,has container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.3333; semantic=0.5746; sequence_match=0.4000,False,0.5295,False,top-3 avg score 0.5295 < final_threshold 0.7
ObjectProperty,assigner,has sequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6265; levenshtein=0.3636; semantic=0.4342; sequence_match=0.5263,False,0.529,False,top-3 avg score 0.5290 < final_threshold 0.7
ObjectProperty,constraint,is requirement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2000; semantic=0.5754; sequence_match=0.4000,False,0.5288,False,top-3 avg score 0.5288 < final_threshold 0.7
ObjectProperty,operator,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.3571; semantic=0.5330; sequence_match=0.4545,False,0.5272,False,top-3 avg score 0.5272 < final_threshold 0.7
