role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
class,animal,animal,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,herbivore,herbivore,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,lion,lion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,plant,plant,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,plantparts,plantpart,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9800; levenshtein=0.9000; semantic=0.9261; sequence_match=0.9474,False,0.9512,True,selected
class,omnivore,lion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5972; levenshtein=0.2500; semantic=0.5749; sequence_match=0.3333,False,0.5018,False,top-3 avg score 0.5018 < final_threshold 0.6
class,plantparts,animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5222; levenshtein=0.3000; semantic=0.5518; sequence_match=0.3750,False,0.4830,False,top-3 avg score 0.4830 < final_threshold 0.6
class,carnivore,plant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5407; levenshtein=0.1111; semantic=0.6067; sequence_match=0.2857,False,0.4777,False,top-3 avg score 0.4777 < final_threshold 0.6
class,lion,plantpart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5741; levenshtein=0.1111; semantic=0.5213; sequence_match=0.3077,False,0.4677,False,top-3 avg score 0.4677 < final_threshold 0.6
class,omnivore,animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.2500; semantic=0.5898; sequence_match=0.2857,False,0.4631,False,top-3 avg score 0.4631 < final_threshold 0.6
class,animal,lion,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.7441; sequence_match=0.2000,False,0.4628,False,top-3 avg score 0.4628 < final_threshold 0.6
class,lion,animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.7441; sequence_match=0.2000,False,0.4628,False,top-3 avg score 0.4628 < final_threshold 0.6
class,plantparts,lion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5667; levenshtein=0.1000; semantic=0.5342; sequence_match=0.2857,False,0.4622,False,top-3 avg score 0.4622 < final_threshold 0.6
class,herbivore,lion,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.2222; semantic=0.6221; sequence_match=0.3077,False,0.4612,False,top-3 avg score 0.4612 < final_threshold 0.6
class,lion,herbivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.2222; semantic=0.6221; sequence_match=0.3077,False,0.4612,False,top-3 avg score 0.4612 < final_threshold 0.6
class,carnivore,plantpart,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.5064; sequence_match=0.2222,False,0.4280,False,top-3 avg score 0.4280 < final_threshold 0.6
class,carnivore,lion,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4074; levenshtein=0.2222; semantic=0.6540; sequence_match=0.1538,False,0.4279,False,top-3 avg score 0.4279 < final_threshold 0.6
class,animal,herbivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.1111; semantic=0.6574; sequence_match=0.1333,False,0.4056,False,top-3 avg score 0.4056 < final_threshold 0.6
class,herbivore,animal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.1111; semantic=0.6574; sequence_match=0.1333,False,0.4056,False,top-3 avg score 0.4056 < final_threshold 0.6
class,omnivore,plantpart,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.2222; semantic=0.4421; sequence_match=0.2353,False,0.3894,False,top-3 avg score 0.3894 < final_threshold 0.6
class,omnivore,plant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4417; levenshtein=0.0000; semantic=0.5213; sequence_match=0.1538,False,0.3723,False,top-3 avg score 0.3723 < final_threshold 0.6
class,plantparts,herbivore,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4037; levenshtein=0.1000; semantic=0.6064; sequence_match=0.1053,False,0.3718,False,top-3 avg score 0.3718 < final_threshold 0.6
class,herbivore,plantpart,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4074; levenshtein=0.1111; semantic=0.5861; sequence_match=0.1111,False,0.3682,False,top-3 avg score 0.3682 < final_threshold 0.6
class,herbivore,plant,semantic+jaro_winkler+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.6819; sequence_match=0.0000,False,0.2273,False,top-3 avg score 0.2273 < final_threshold 0.6
class,plant,herbivore,semantic+jaro_winkler+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.6819; sequence_match=0.0000,False,0.2273,False,top-3 avg score 0.2273 < final_threshold 0.6
