gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Asset,Asset,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Constraint,Constraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
LogicalConstraint,Logical Constraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Policy,Policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Prohibition,Prohibition,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Permission,Permission/Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8540; sequence_match=0.8333,False,0.8767,True,selected
Operator,Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.5534; sequence_match=0.4762,False,0.5443,False,top-3 avg score 0.5443 < final_threshold 0.6
ConflictTerm,Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.2500; semantic=0.5112; sequence_match=0.4545,False,0.5439,False,top-3 avg score 0.5439 < final_threshold 0.6
ConflictTerm,Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6574; levenshtein=0.4167; semantic=0.4980; sequence_match=0.4762,False,0.5439,False,top-3 avg score 0.5439 < final_threshold 0.6
AssetCollection,Condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.4965; sequence_match=0.5000,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.6
Constraint,Container Membership,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6570; levenshtein=0.2632; semantic=0.4849; sequence_match=0.4828,False,0.5415,False,top-3 avg score 0.5415 < final_threshold 0.6
Action,Container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6630; levenshtein=0.2222; semantic=0.5610; sequence_match=0.4000,False,0.5413,False,top-3 avg score 0.5413 < final_threshold 0.6
Constraint,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6746; levenshtein=0.3077; semantic=0.5020; sequence_match=0.4444,False,0.5404,False,top-3 avg score 0.5404 < final_threshold 0.6
ConflictTerm,Contract Party,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6596; levenshtein=0.4615; semantic=0.4296; sequence_match=0.4800,False,0.5337,False,top-3 avg score 0.5337 < final_threshold 0.6
Action,Aggregation,sequence_match+semantic+levenshtein,jaro_winkler=0.4192; levenshtein=0.4545; semantic=0.5552; sequence_match=0.5882,False,0.5327,False,top-3 avg score 0.5327 < final_threshold 0.6
Action,Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2000; semantic=0.5756; sequence_match=0.3750,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.6
Constraint,Transfer Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6509; levenshtein=0.3846; semantic=0.5063; sequence_match=0.4348,False,0.5307,False,top-3 avg score 0.5307 < final_threshold 0.6
Operator,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.3000; semantic=0.5972; sequence_match=0.4444,False,0.5305,False,top-3 avg score 0.5305 < final_threshold 0.6
LogicalConstraint,Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6295; levenshtein=0.2941; semantic=0.4905; sequence_match=0.4667,False,0.5289,False,top-3 avg score 0.5289 < final_threshold 0.6
Rule,Remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5670; sequence_match=0.4000,False,0.526,False,top-3 avg score 0.5260 < final_threshold 0.6
AssetScope,Sequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.4966; sequence_match=0.4444,False,0.5248,False,top-3 avg score 0.5248 < final_threshold 0.6
Rule,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5631; levenshtein=0.2727; semantic=0.6027; sequence_match=0.4000,False,0.522,False,top-3 avg score 0.5220 < final_threshold 0.6
LeftOperand,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5848; levenshtein=0.1818; semantic=0.5976; sequence_match=0.3810,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.6
Policy,Prohibition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5909; levenshtein=0.2727; semantic=0.6078; sequence_match=0.3529,False,0.5172,False,top-3 avg score 0.5172 < final_threshold 0.6
Prohibition,Policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5909; levenshtein=0.2727; semantic=0.6078; sequence_match=0.3529,False,0.5172,False,top-3 avg score 0.5172 < final_threshold 0.6
Prohibition,Aggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5697; levenshtein=0.3636; semantic=0.5270; sequence_match=0.4545,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.6
LeftOperand,Negation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.1818; semantic=0.5069; sequence_match=0.4211,False,0.5164,False,top-3 avg score 0.5164 < final_threshold 0.6
Permission,Negation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.4707; sequence_match=0.4444,False,0.5162,False,top-3 avg score 0.5162 < final_threshold 0.6
Party,Aggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6242; levenshtein=0.1818; semantic=0.5481; sequence_match=0.3750,False,0.5158,False,top-3 avg score 0.5158 < final_threshold 0.6
Party,Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.0000; semantic=0.5449; sequence_match=0.4000,False,0.515,False,top-3 avg score 0.5150 < final_threshold 0.6
Prohibition,Exclusive Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5726; levenshtein=0.2632; semantic=0.5722; sequence_match=0.4000,False,0.5149,False,top-3 avg score 0.5149 < final_threshold 0.6
Constraint,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5045; levenshtein=0.2727; semantic=0.6589; sequence_match=0.3810,False,0.5148,False,top-3 avg score 0.5148 < final_threshold 0.6
Party,Prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6242; levenshtein=0.1818; semantic=0.5389; sequence_match=0.3750,False,0.5127,False,top-3 avg score 0.5127 < final_threshold 0.6
Operator,Logical Constraint Operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2500; semantic=0.6801; sequence_match=0.3125,False,0.5123,False,top-3 avg score 0.5123 < final_threshold 0.6
Duty,Permission/Duty,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.2857; semantic=0.8041; sequence_match=0.4444,False,0.5114,False,top-3 avg score 0.5114 < final_threshold 0.6
Operator,Container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.6132; sequence_match=0.3529,False,0.5103,False,top-3 avg score 0.5103 < final_threshold 0.6
Operator,Permission/Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2143; semantic=0.5716; sequence_match=0.3636,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.6
AssetScope,Aggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5879; levenshtein=0.1818; semantic=0.5584; sequence_match=0.3810,False,0.5091,False,top-3 avg score 0.5091 < final_threshold 0.6
Action,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.1667; semantic=0.5858; sequence_match=0.3636,False,0.5091,False,top-3 avg score 0.5091 < final_threshold 0.6
Asset,Transfer Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5359; levenshtein=0.3077; semantic=0.5461; sequence_match=0.4444,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
AssetCollection,Logical Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6723; levenshtein=0.1765; semantic=0.4651; sequence_match=0.3750,False,0.5041,False,top-3 avg score 0.5041 < final_threshold 0.6
Permission,Disaggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.2857; semantic=0.4519; sequence_match=0.4167,False,0.5022,False,top-3 avg score 0.5022 < final_threshold 0.6
Asset,Disaggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6119; levenshtein=0.2143; semantic=0.5754; sequence_match=0.3158,False,0.501,False,top-3 avg score 0.5010 < final_threshold 0.6
ConflictTerm,Logical Constraint Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6167; levenshtein=0.2917; semantic=0.4961; sequence_match=0.3889,False,0.5006,False,top-3 avg score 0.5006 < final_threshold 0.6
AssetCollection,Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2000; semantic=0.4904; sequence_match=0.4000,False,0.5005,False,top-3 avg score 0.5005 < final_threshold 0.6
Permission,Aggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.3636; semantic=0.5331; sequence_match=0.3810,False,0.4996,False,top-3 avg score 0.4996 < final_threshold 0.6
AssetScope,Sequence Step,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.1667; semantic=0.4674; sequence_match=0.3636,False,0.499,False,top-3 avg score 0.4990 < final_threshold 0.6
Permission,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.2727; semantic=0.5977; sequence_match=0.3810,False,0.499,False,top-3 avg score 0.4990 < final_threshold 0.6
Party,Permission/Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5143; levenshtein=0.2857; semantic=0.5615; sequence_match=0.4211,False,0.4989,False,top-3 avg score 0.4989 < final_threshold 0.6
Operator,Condition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.2222; semantic=0.5734; sequence_match=0.3529,False,0.4986,False,top-3 avg score 0.4986 < final_threshold 0.6
Prohibition,Negation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5379; levenshtein=0.3636; semantic=0.5343; sequence_match=0.4211,False,0.4977,False,top-3 avg score 0.4977 < final_threshold 0.6
ConflictTerm,Container Membership,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6542; levenshtein=0.3158; semantic=0.3823; sequence_match=0.4516,False,0.4961,False,top-3 avg score 0.4961 < final_threshold 0.6
Prohibition,Permission Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6035; levenshtein=0.2500; semantic=0.5308; sequence_match=0.3429,False,0.4924,False,top-3 avg score 0.4924 < final_threshold 0.6
Operator,Disaggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.5181; sequence_match=0.3636,False,0.4919,False,top-3 avg score 0.4919 < final_threshold 0.6
ConflictTerm,Logical Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6291; levenshtein=0.1765; semantic=0.5001; sequence_match=0.3448,False,0.4913,False,top-3 avg score 0.4913 < final_threshold 0.6
Duty,Condition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.5894; sequence_match=0.3077,False,0.4904,False,top-3 avg score 0.4904 < final_threshold 0.6
Asset,Sequence Step,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6167; levenshtein=0.1667; semantic=0.5012; sequence_match=0.3529,False,0.4903,False,top-3 avg score 0.4903 < final_threshold 0.6
Party,Remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.1667; semantic=0.5290; sequence_match=0.3636,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.6
Constraint,Permission Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5861; levenshtein=0.2917; semantic=0.5314; sequence_match=0.3529,False,0.4901,False,top-3 avg score 0.4901 < final_threshold 0.6
LeftOperand,Logical Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5162; levenshtein=0.2941; semantic=0.5959; sequence_match=0.3571,False,0.4897,False,top-3 avg score 0.4897 < final_threshold 0.6
Operator,Prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.2727; semantic=0.5256; sequence_match=0.3158,False,0.4893,False,top-3 avg score 0.4893 < final_threshold 0.6
Operator,Logical Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5730; levenshtein=0.2353; semantic=0.5642; sequence_match=0.3200,False,0.4858,False,top-3 avg score 0.4858 < final_threshold 0.6
Action,Permission/Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.5855; sequence_match=0.3000,False,0.4856,False,top-3 avg score 0.4856 < final_threshold 0.6
AssetCollection,Disaggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5603; levenshtein=0.3333; semantic=0.4816; sequence_match=0.4138,False,0.4852,False,top-3 avg score 0.4852 < final_threshold 0.6
Duty,Remedy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5798; sequence_match=0.4000,False,0.484,False,top-3 avg score 0.4840 < final_threshold 0.6
LeftOperand,Permission/Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5469; levenshtein=0.2143; semantic=0.5045; sequence_match=0.4000,False,0.4838,False,top-3 avg score 0.4838 < final_threshold 0.6
Party,Policy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.3333; semantic=0.5082; sequence_match=0.3636,False,0.4832,False,top-3 avg score 0.4832 < final_threshold 0.6
Action,Logical Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5758; levenshtein=0.2353; semantic=0.5253; sequence_match=0.3478,False,0.483,False,top-3 avg score 0.4830 < final_threshold 0.6
Rule,Aggregation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.0909; semantic=0.6206; sequence_match=0.2667,False,0.4826,False,top-3 avg score 0.4826 < final_threshold 0.6
LogicalConstraint,Prohibition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5217; levenshtein=0.1765; semantic=0.6383; sequence_match=0.2857,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.6
Prohibition,Logical Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5217; levenshtein=0.1765; semantic=0.6383; sequence_match=0.2857,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.6
Operator,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.1250; semantic=0.5811; sequence_match=0.3077,False,0.4796,False,top-3 avg score 0.4796 < final_threshold 0.6
Asset,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.2000; semantic=0.6355; sequence_match=0.2667,False,0.4785,False,top-3 avg score 0.4785 < final_threshold 0.6
Constraint,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5333; levenshtein=0.2000; semantic=0.6355; sequence_match=0.2667,False,0.4785,False,top-3 avg score 0.4785 < final_threshold 0.6
Prohibition,Disaggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5469; levenshtein=0.2857; semantic=0.4856; sequence_match=0.4000,False,0.4775,False,top-3 avg score 0.4775 < final_threshold 0.6
Asset,Permission Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.2083; semantic=0.5065; sequence_match=0.3448,False,0.4745,False,top-3 avg score 0.4745 < final_threshold 0.6
LeftOperand,Aggregation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5030; levenshtein=0.0000; semantic=0.5550; sequence_match=0.3636,False,0.4739,False,top-3 avg score 0.4739 < final_threshold 0.6
AssetScope,Logical Constraint Operand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5687; levenshtein=0.2083; semantic=0.4995; sequence_match=0.3529,False,0.4737,False,top-3 avg score 0.4737 < final_threshold 0.6
Asset,Sequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.1250; semantic=0.5626; sequence_match=0.3077,False,0.4734,False,top-3 avg score 0.4734 < final_threshold 0.6
LogicalConstraint,Permission Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5683; levenshtein=0.2917; semantic=0.5091; sequence_match=0.3415,False,0.4729,False,top-3 avg score 0.4729 < final_threshold 0.6
Action,Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6060; levenshtein=0.2308; semantic=0.4891; sequence_match=0.3158,False,0.4703,False,top-3 avg score 0.4703 < final_threshold 0.6
Operator,Transfer Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.1538; semantic=0.5219; sequence_match=0.2857,False,0.4703,False,top-3 avg score 0.4703 < final_threshold 0.6
Rule,Transfer Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5513; levenshtein=0.1538; semantic=0.6220; sequence_match=0.2353,False,0.4695,False,top-3 avg score 0.4695 < final_threshold 0.6
Party,Permission Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6556; levenshtein=0.1667; semantic=0.4701; sequence_match=0.2759,False,0.4672,False,top-3 avg score 0.4672 < final_threshold 0.6
Action,Prohibition,semantic+sequence_match+levenshtein,jaro_winkler=0.3384; levenshtein=0.3636; semantic=0.5629; sequence_match=0.4706,False,0.4657,False,top-3 avg score 0.4657 < final_threshold 0.6
LeftOperand,Container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5707; levenshtein=0.1818; semantic=0.5259; sequence_match=0.3000,False,0.4655,False,top-3 avg score 0.4655 < final_threshold 0.6
Policy,Permission/Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4921; levenshtein=0.2143; semantic=0.6039; sequence_match=0.3000,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.6
LogicalConstraint,Negation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5343; levenshtein=0.2353; semantic=0.5372; sequence_match=0.3200,False,0.4638,False,top-3 avg score 0.4638 < final_threshold 0.6
Constraint,Permission/Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5524; levenshtein=0.2143; semantic=0.5885; sequence_match=0.2500,False,0.4636,False,top-3 avg score 0.4636 < final_threshold 0.6
AssetCollection,Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5872; levenshtein=0.1923; semantic=0.4130; sequence_match=0.3902,False,0.4635,False,top-3 avg score 0.4635 < final_threshold 0.6
ConflictTerm,Exclusive Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6053; levenshtein=0.2105; semantic=0.3972; sequence_match=0.3871,False,0.4632,False,top-3 avg score 0.4632 < final_threshold 0.6
LogicalConstraint,Aggregation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5399; levenshtein=0.1765; semantic=0.5636; sequence_match=0.2857,False,0.463,False,top-3 avg score 0.4630 < final_threshold 0.6
ConflictTerm,Policy,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5000; levenshtein=0.3333; semantic=0.4417; sequence_match=0.4444,False,0.462,False,top-3 avg score 0.4620 < final_threshold 0.6
Constraint,Prohibition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.6761; sequence_match=0.1905,False,0.4616,False,top-3 avg score 0.4616 < final_threshold 0.6
Prohibition,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.6761; sequence_match=0.1905,False,0.4616,False,top-3 avg score 0.4616 < final_threshold 0.6
Permission,Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5222; levenshtein=0.2000; semantic=0.5938; sequence_match=0.2667,False,0.4609,False,top-3 avg score 0.4609 < final_threshold 0.6
Constraint,Negation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.2000; semantic=0.5158; sequence_match=0.2222,False,0.4599,False,top-3 avg score 0.4599 < final_threshold 0.6
AssetCollection,Prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5293; levenshtein=0.3333; semantic=0.4600; sequence_match=0.3846,False,0.458,False,top-3 avg score 0.4580 < final_threshold 0.6
Constraint,Aggregation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5848; levenshtein=0.1818; semantic=0.5966; sequence_match=0.1905,False,0.4573,False,top-3 avg score 0.4573 < final_threshold 0.6
