gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Bordeaux,Bordeaux,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
VintageYear,Vintage Year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Zinfandel,Napa Zinfandel,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7863; levenshtein=0.6923; semantic=0.8325; sequence_match=0.8182,False,0.8123,True,selected
wine,Red Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Wine'
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'White Wine'
wine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'Wine'
wine,White,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8050; levenshtein=0.6000; semantic=0.5910; sequence_match=0.6667,False,0.6906,False,gold already mapped to 'Wine'
RedWine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'Red Wine'
WhiteWine,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'White Wine'
WineDescriptor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7084; sequence_match=0.4444,False,0.67,False,pred already taken by 'wine' (higher averaged score)
RedBordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.8567; sequence_match=0.4444,False,0.6487,False,gold already mapped to 'Red'
WineGrape,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.8143; sequence_match=0.5000,False,0.6459,False,pred already taken by 'RedWine' (higher averaged score)
Region,Red Wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7968; levenshtein=0.4286; semantic=0.4815; sequence_match=0.6154,False,0.6313,False,pred already taken by 'RedWine' (higher averaged score)
WineTaste,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.7641; sequence_match=0.5000,False,0.6291,False,pred already taken by 'RedWine' (higher averaged score)
WineGrape,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.7586; sequence_match=0.4444,False,0.6109,False,pred already taken by 'WhiteWine' (higher averaged score)
WineTaste,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6370; levenshtein=0.3333; semantic=0.7233; sequence_match=0.4444,False,0.6016,False,pred already taken by 'WhiteWine' (higher averaged score)
WineTaste,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.6155; sequence_match=0.5000,False,0.5991,False,top-3 avg score 0.5991 < final_threshold 0.6
WineBody,Red Wine,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.7365; sequence_match=0.5333,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.6
Bordeaux,Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7667; levenshtein=0.3750; semantic=0.5258; sequence_match=0.5000,False,0.5975,False,top-3 avg score 0.5975 < final_threshold 0.6
WineSugar,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.5841; sequence_match=0.5000,False,0.5886,False,top-3 avg score 0.5886 < final_threshold 0.6
WineColor,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7585; sequence_match=0.5000,False,0.5879,False,top-3 avg score 0.5879 < final_threshold 0.6
Vintage,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.2857; semantic=0.5876; sequence_match=0.5000,False,0.5879,False,top-3 avg score 0.5879 < final_threshold 0.6
Vintage,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
WineTaste,White,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6648; levenshtein=0.3333; semantic=0.5228; sequence_match=0.5714,False,0.5863,False,top-3 avg score 0.5863 < final_threshold 0.6
Zinfandel,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.3333; semantic=0.6978; sequence_match=0.4615,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
VintageYear,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.6573; sequence_match=0.4000,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.6
wine,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.6573; sequence_match=0.4000,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.6
WineSugar,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7257; sequence_match=0.5000,False,0.577,False,top-3 avg score 0.5770 < final_threshold 0.6
WineBody,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.6842; sequence_match=0.4706,False,0.5748,False,top-3 avg score 0.5748 < final_threshold 0.6
WineGrape,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.2727; semantic=0.6233; sequence_match=0.4000,False,0.5684,False,top-3 avg score 0.5684 < final_threshold 0.6
WhiteBordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6603; levenshtein=0.2308; semantic=0.6844; sequence_match=0.3529,False,0.5659,False,top-3 avg score 0.5659 < final_threshold 0.6
WineSugar,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6918; sequence_match=0.4444,False,0.5639,False,top-3 avg score 0.5639 < final_threshold 0.6
WineColor,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6916; sequence_match=0.4444,False,0.5639,False,top-3 avg score 0.5639 < final_threshold 0.6
WineFlavor,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4905; levenshtein=0.1000; semantic=0.7184; sequence_match=0.4706,False,0.5598,False,top-3 avg score 0.5598 < final_threshold 0.6
WineGrape,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2222; semantic=0.5950; sequence_match=0.4286,False,0.556,False,top-3 avg score 0.5560 < final_threshold 0.6
WineColor,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2222; semantic=0.5945; sequence_match=0.4286,False,0.5558,False,top-3 avg score 0.5558 < final_threshold 0.6
WineBody,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.2500; semantic=0.5412; sequence_match=0.4615,False,0.5537,False,top-3 avg score 0.5537 < final_threshold 0.6
WineFlavor,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.6898; sequence_match=0.4211,False,0.5518,False,top-3 avg score 0.5518 < final_threshold 0.6
WineFlavor,Vintage Year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.5920; sequence_match=0.4762,False,0.551,False,top-3 avg score 0.5510 < final_threshold 0.6
Bordeaux,Red,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.2500; semantic=0.6058; sequence_match=0.3636,False,0.55,False,top-3 avg score 0.5500 < final_threshold 0.6
Zinfandel,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.6783; sequence_match=0.3750,False,0.5469,False,top-3 avg score 0.5469 < final_threshold 0.6
WineDescriptor,Red Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2143; semantic=0.6048; sequence_match=0.3810,False,0.5455,False,top-3 avg score 0.5455 < final_threshold 0.6
WineBody,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5816; sequence_match=0.4211,False,0.5413,False,top-3 avg score 0.5413 < final_threshold 0.6
RedWine,Grape Varietal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.2308; semantic=0.5958; sequence_match=0.4000,False,0.5407,False,top-3 avg score 0.5407 < final_threshold 0.6
Region,Red,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.4972; sequence_match=0.4444,False,0.5361,False,top-3 avg score 0.5361 < final_threshold 0.6
WineColor,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.6002; sequence_match=0.4000,False,0.5343,False,top-3 avg score 0.5343 < final_threshold 0.6
WhiteBordeaux,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.2308; semantic=0.5710; sequence_match=0.4167,False,0.5337,False,top-3 avg score 0.5337 < final_threshold 0.6
WineSugar,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2222; semantic=0.5230; sequence_match=0.4286,False,0.532,False,top-3 avg score 0.5320 < final_threshold 0.6
Bordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.1250; semantic=0.6917; sequence_match=0.4000,False,0.5273,False,top-3 avg score 0.5273 < final_threshold 0.6
VintageYear,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6242; levenshtein=0.1818; semantic=0.5629; sequence_match=0.3750,False,0.5207,False,top-3 avg score 0.5207 < final_threshold 0.6
Bordeaux,Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5535; sequence_match=0.4000,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
WineDescriptor,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6039; levenshtein=0.2143; semantic=0.5523; sequence_match=0.4000,False,0.5187,False,top-3 avg score 0.5187 < final_threshold 0.6
Zinfandel,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.3636; semantic=0.5515; sequence_match=0.4000,False,0.5181,False,top-3 avg score 0.5181 < final_threshold 0.6
WhiteBordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5430; levenshtein=0.1538; semantic=0.6943; sequence_match=0.3000,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.6
WineFlavor,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.4983; sequence_match=0.4000,False,0.5106,False,top-3 avg score 0.5106 < final_threshold 0.6
RedWine,Vintage Year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.0909; semantic=0.6309; sequence_match=0.3333,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.6
VintageYear,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.0909; semantic=0.6309; sequence_match=0.3333,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.6
WineDescriptor,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5709; sequence_match=0.3478,False,0.502,False,top-3 avg score 0.5020 < final_threshold 0.6
RedBordeaux,Grape Varietal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5464; levenshtein=0.2308; semantic=0.5396; sequence_match=0.4167,False,0.5009,False,top-3 avg score 0.5009 < final_threshold 0.6
VintageYear,Grape Varietal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5821; levenshtein=0.1538; semantic=0.5769; sequence_match=0.3333,False,0.4974,False,top-3 avg score 0.4974 < final_threshold 0.6
RedBordeaux,Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5631; levenshtein=0.2727; semantic=0.5262; sequence_match=0.4000,False,0.4964,False,top-3 avg score 0.4964 < final_threshold 0.6
WineGrape,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5134; levenshtein=0.1538; semantic=0.6934; sequence_match=0.2727,False,0.4932,False,top-3 avg score 0.4932 < final_threshold 0.6
Vintage,Grape Varietal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.2308; semantic=0.5363; sequence_match=0.4000,False,0.4931,False,top-3 avg score 0.4931 < final_threshold 0.6
Vintage,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5077; sequence_match=0.3750,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.6
Vintage,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.6062; sequence_match=0.4286,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.6
Vintage,Napa Zinfandel,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5430; levenshtein=0.3077; semantic=0.5184; sequence_match=0.4000,False,0.4871,False,top-3 avg score 0.4871 < final_threshold 0.6
RedWine,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.1250; semantic=0.6917; sequence_match=0.2667,False,0.4828,False,top-3 avg score 0.4828 < final_threshold 0.6
VintageYear,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.5455; sequence_match=0.3000,False,0.4827,False,top-3 avg score 0.4827 < final_threshold 0.6
WhiteWine,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.5455; sequence_match=0.3000,False,0.4827,False,top-3 avg score 0.4827 < final_threshold 0.6
wine,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3846; levenshtein=0.2308; semantic=0.7030; sequence_match=0.3529,False,0.4802,False,top-3 avg score 0.4802 < final_threshold 0.6
WineTaste,Grape Varietal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4174; levenshtein=0.2308; semantic=0.6500; sequence_match=0.3636,False,0.477,False,top-3 avg score 0.4770 < final_threshold 0.6
RedWine,White,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5619; levenshtein=0.2857; semantic=0.5714; sequence_match=0.1667,False,0.473,False,top-3 avg score 0.4730 < final_threshold 0.6
WineTaste,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5007; levenshtein=0.2308; semantic=0.6395; sequence_match=0.2727,False,0.471,False,top-3 avg score 0.4710 < final_threshold 0.6
RedWine,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.2308; semantic=0.6702; sequence_match=0.3000,False,0.4707,False,top-3 avg score 0.4707 < final_threshold 0.6
WhiteWine,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5214; levenshtein=0.1538; semantic=0.6100; sequence_match=0.2727,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.6
Bordeaux,Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.1250; semantic=0.5432; sequence_match=0.3077,False,0.467,False,top-3 avg score 0.4670 < final_threshold 0.6
WineFlavor,Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.3000; semantic=0.5641; sequence_match=0.4000,False,0.4658,False,top-3 avg score 0.4658 < final_threshold 0.6
WineDescriptor,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6048; levenshtein=0.2143; semantic=0.4743; sequence_match=0.3158,False,0.4649,False,top-3 avg score 0.4649 < final_threshold 0.6
Zinfandel,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1111; semantic=0.6157; sequence_match=0.3333,False,0.4645,False,top-3 avg score 0.4645 < final_threshold 0.6
WhiteBordeaux,Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5513; levenshtein=0.2308; semantic=0.4851; sequence_match=0.3529,False,0.4631,False,top-3 avg score 0.4631 < final_threshold 0.6
WineFlavor,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4026; levenshtein=0.1538; semantic=0.6283; sequence_match=0.3478,False,0.4596,False,top-3 avg score 0.4596 < final_threshold 0.6
Region,Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.5060; sequence_match=0.3000,False,0.4591,False,top-3 avg score 0.4591 < final_threshold 0.6
WineFlavor,Grape Varietal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4859; levenshtein=0.0769; semantic=0.6269; sequence_match=0.2609,False,0.4579,False,top-3 avg score 0.4579 < final_threshold 0.6
WineDescriptor,Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.2143; semantic=0.5526; sequence_match=0.2857,False,0.454,False,top-3 avg score 0.4540 < final_threshold 0.6
WineDescriptor,Grape Varietal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.2857; semantic=0.5480; sequence_match=0.2963,False,0.4527,False,top-3 avg score 0.4527 < final_threshold 0.6
WineBody,Red,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4861; levenshtein=0.2500; semantic=0.5083; sequence_match=0.3636,False,0.4527,False,top-3 avg score 0.4527 < final_threshold 0.6
WineColor,Grape Varietal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4587; levenshtein=0.0769; semantic=0.6235; sequence_match=0.2727,False,0.4516,False,top-3 avg score 0.4516 < final_threshold 0.6
WineGrape,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.6599; sequence_match=0.2353,False,0.4512,False,top-3 avg score 0.4512 < final_threshold 0.6
Zinfandel,Grape Varietal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5214; levenshtein=0.2308; semantic=0.5473; sequence_match=0.2727,False,0.4471,False,top-3 avg score 0.4471 < final_threshold 0.6
VintageYear,Quality Rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5579; levenshtein=0.0769; semantic=0.5319; sequence_match=0.2500,False,0.4466,False,top-3 avg score 0.4466 < final_threshold 0.6
WhiteWine,Quality Rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5840; levenshtein=0.3077; semantic=0.3893; sequence_match=0.3636,False,0.4457,False,top-3 avg score 0.4457 < final_threshold 0.6
Region,Grape Varietal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5748; levenshtein=0.2308; semantic=0.4460; sequence_match=0.3158,False,0.4455,False,top-3 avg score 0.4455 < final_threshold 0.6
WhiteBordeaux,Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5179; levenshtein=0.1538; semantic=0.5961; sequence_match=0.2222,False,0.4454,False,top-3 avg score 0.4454 < final_threshold 0.6
VintageYear,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.1538; semantic=0.5187; sequence_match=0.3333,False,0.4439,False,top-3 avg score 0.4439 < final_threshold 0.6
RedBordeaux,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.1818; semantic=0.5417; sequence_match=0.3333,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
WineBody,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.6199; sequence_match=0.2857,False,0.4433,False,top-3 avg score 0.4433 < final_threshold 0.6
RedWine,Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5476; levenshtein=0.1429; semantic=0.4878; sequence_match=0.2857,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.6
WineTaste,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.1111; semantic=0.5946; sequence_match=0.2353,False,0.4402,False,top-3 avg score 0.4402 < final_threshold 0.6
WhiteBordeaux,Red,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4701; levenshtein=0.1538; semantic=0.5981; sequence_match=0.2500,False,0.4394,False,top-3 avg score 0.4394 < final_threshold 0.6
WineTaste,Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.4842; sequence_match=0.2609,False,0.4387,False,top-3 avg score 0.4387 < final_threshold 0.6
Zinfandel,White,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5407; levenshtein=0.1111; semantic=0.4857; sequence_match=0.2857,False,0.4374,False,top-3 avg score 0.4374 < final_threshold 0.6
Region,Bordeaux,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5139; levenshtein=0.1250; semantic=0.5122; sequence_match=0.2857,False,0.4373,False,top-3 avg score 0.4373 < final_threshold 0.6
WineSugar,Napa Zinfandel,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4103; levenshtein=0.1538; semantic=0.6228; sequence_match=0.2727,False,0.4352,False,top-3 avg score 0.4352 < final_threshold 0.6
wine,Grape Varietal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4423; levenshtein=0.0769; semantic=0.6263; sequence_match=0.2353,False,0.4346,False,top-3 avg score 0.4346 < final_threshold 0.6
WineBody,Bordeaux,semantic+sequence_match+jaro_winkler,jaro_winkler=0.3333; levenshtein=0.0000; semantic=0.5925; sequence_match=0.3750,False,0.4336,False,top-3 avg score 0.4336 < final_threshold 0.6
WhiteWine,Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.2857; semantic=0.3759; sequence_match=0.3478,False,0.4335,False,top-3 avg score 0.4335 < final_threshold 0.6
Bordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.6715; sequence_match=0.1667,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
wine,Bordeaux,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.6715; sequence_match=0.1667,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
