prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasBody,has Body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasColor,has Color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has Vintage Year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasFlavor,has Color,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8250; levenshtein=0.5556; semantic=0.6852; sequence_match=0.7059,False,0.7387,False,pred already taken by 'hasColor'
ObjectProperty,hasColor,has Quality Rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6458; levenshtein=0.3125; semantic=0.5929; sequence_match=0.4167,False,0.5518,False,top-3 avg score 0.5518 < final_threshold 0.7
ObjectProperty,hasFlavor,has Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasFlavor,has Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.6067; sequence_match=0.4211,False,0.5475,False,top-3 avg score 0.5475 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.3529; semantic=0.5187; sequence_match=0.4800,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,hasSugar,has Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.5350; sequence_match=0.4444,False,0.5376,False,top-3 avg score 0.5376 < final_threshold 0.7
ObjectProperty,hasColor,has Vintage Year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6473; sequence_match=0.3636,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.7
ObjectProperty,hasVintageYear,has Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6473; sequence_match=0.3636,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.7
ObjectProperty,hasFlavor,has Quality Rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3125; semantic=0.5799; sequence_match=0.4000,False,0.535,False,top-3 avg score 0.5350 < final_threshold 0.7
ObjectProperty,hasBody,has Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5905; sequence_match=0.3810,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,hasVintageYear,has Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5905; sequence_match=0.3810,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasSugar,has Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5682; sequence_match=0.4000,False,0.5231,False,top-3 avg score 0.5231 < final_threshold 0.7
ObjectProperty,hasFlavor,has Grape Varietal,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6250; levenshtein=0.3750; semantic=0.5646; sequence_match=0.3200,False,0.5215,False,top-3 avg score 0.5215 < final_threshold 0.7
ObjectProperty,hasSugar,has Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,hasBody,has Quality Rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5935; sequence_match=0.3478,False,0.5162,False,top-3 avg score 0.5162 < final_threshold 0.7
ObjectProperty,hasColor,has Grape Varietal,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5935; sequence_match=0.3333,False,0.5034,False,top-3 avg score 0.5034 < final_threshold 0.7
ObjectProperty,hasVintageYear,has Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,hasVintageYear,has Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5524; levenshtein=0.2857; semantic=0.6111; sequence_match=0.3333,False,0.4989,False,top-3 avg score 0.4989 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5980; levenshtein=0.2941; semantic=0.5096; sequence_match=0.3704,False,0.4927,False,top-3 avg score 0.4927 < final_threshold 0.7
ObjectProperty,hasBody,has Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,locatedIn,has Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.2353; semantic=0.4667; sequence_match=0.3333,False,0.4674,False,top-3 avg score 0.4674 < final_threshold 0.7
ObjectProperty,locatedIn,has Quality Rating,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4894; levenshtein=0.2500; semantic=0.5015; sequence_match=0.4000,False,0.4636,False,top-3 avg score 0.4636 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has Quality Rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5688; levenshtein=0.2353; semantic=0.5080; sequence_match=0.3030,False,0.46,False,top-3 avg score 0.4600 < final_threshold 0.7
ObjectProperty,hasBody,has Grape Varietal,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5387; levenshtein=0.1875; semantic=0.4883; sequence_match=0.2609,False,0.4293,False,top-3 avg score 0.4293 < final_threshold 0.7
ObjectProperty,locatedIn,has Vintage Year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5042; levenshtein=0.1429; semantic=0.5152; sequence_match=0.2609,False,0.4268,False,top-3 avg score 0.4268 < final_threshold 0.7
ObjectProperty,madeFromGrape,has Vintage Year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5305; sequence_match=0.2222,False,0.4239,False,top-3 avg score 0.4239 < final_threshold 0.7
ObjectProperty,locatedIn,has Body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.5386; sequence_match=0.2500,False,0.4216,False,top-3 avg score 0.4216 < final_threshold 0.7
ObjectProperty,locatedIn,has Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.5426; sequence_match=0.2353,False,0.4121,False,top-3 avg score 0.4121 < final_threshold 0.7
ObjectProperty,madeFromGrape,has Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,locatedIn,has Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.0000; semantic=0.5572; sequence_match=0.2105,False,0.4004,False,top-3 avg score 0.4004 < final_threshold 0.7
ObjectProperty,madeFromGrape,has Color,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5322; sequence_match=0.1905,False,0.3957,False,top-3 avg score 0.3957 < final_threshold 0.7
ObjectProperty,madeFromGrape,has Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.5573; sequence_match=0.1739,False,0.3768,False,top-3 avg score 0.3768 < final_threshold 0.7
ObjectProperty,locatedIn,has Grape Varietal,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5069; levenshtein=0.1875; semantic=0.4188; sequence_match=0.0800,False,0.3711,False,top-3 avg score 0.3711 < final_threshold 0.7
ObjectProperty,madeFromGrape,has Body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.4652; sequence_match=0.2000,False,0.3691,False,top-3 avg score 0.3691 < final_threshold 0.7
ObjectProperty,madeFromGrape,has Quality Rating,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4359; levenshtein=0.1875; semantic=0.4485; sequence_match=0.2069,False,0.3638,False,top-3 avg score 0.3638 < final_threshold 0.7
