prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,has license,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has version,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has specified data output,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6535; levenshtein=0.2727; semantic=0.7590; sequence_match=0.4865,False,0.633,False,top-3 avg score 0.6330 < final_threshold 0.7
ObjectProperty,has function,has feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6596; levenshtein=0.4545; semantic=0.7567; sequence_match=0.4762,False,0.6308,False,top-3 avg score 0.6308 < final_threshold 0.7
ObjectProperty,has function,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.5455; semantic=0.6556; sequence_match=0.5714,False,0.6289,False,top-3 avg score 0.6289 < final_threshold 0.7
ObjectProperty,has input,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.4000; semantic=0.5326; sequence_match=0.5556,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,has input,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6316; sequence_match=0.5333,False,0.6185,False,top-3 avg score 0.6185 < final_threshold 0.7
ObjectProperty,has version,has developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6444; levenshtein=0.4167; semantic=0.6634; sequence_match=0.5455,False,0.6178,False,top-3 avg score 0.6178 < final_threshold 0.7
ObjectProperty,has version,has feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.4000; semantic=0.6784; sequence_match=0.5000,False,0.615,False,top-3 avg score 0.6150 < final_threshold 0.7
ObjectProperty,has specified data input,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6164; levenshtein=0.2857; semantic=0.7702; sequence_match=0.4571,False,0.6146,False,top-3 avg score 0.6146 < final_threshold 0.7
ObjectProperty,has output,has tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.6482; sequence_match=0.5000,False,0.6127,False,top-3 avg score 0.6127 < final_threshold 0.7
ObjectProperty,has input,has algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.3333; semantic=0.6502; sequence_match=0.5000,False,0.6103,False,top-3 avg score 0.6103 < final_threshold 0.7
ObjectProperty,has output,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6554; sequence_match=0.5000,False,0.6091,False,top-3 avg score 0.6091 < final_threshold 0.7
ObjectProperty,has interface,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7965; levenshtein=0.4000; semantic=0.5767; sequence_match=0.4444,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,has version,has export,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7900; levenshtein=0.4000; semantic=0.4959; sequence_match=0.5263,False,0.6041,False,top-3 avg score 0.6041 < final_threshold 0.7
ObjectProperty,has input,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.5842; sequence_match=0.5333,False,0.6027,False,top-3 avg score 0.6027 < final_threshold 0.7
ObjectProperty,has output,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6256; sequence_match=0.5000,False,0.5992,False,top-3 avg score 0.5992 < final_threshold 0.7
ObjectProperty,has interface,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.4167; semantic=0.6246; sequence_match=0.5263,False,0.5982,False,top-3 avg score 0.5982 < final_threshold 0.7
ObjectProperty,has clause,has tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.6205; sequence_match=0.5000,False,0.5975,False,top-3 avg score 0.5975 < final_threshold 0.7
ObjectProperty,has version,has tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.6590; sequence_match=0.4706,False,0.5956,False,top-3 avg score 0.5956 < final_threshold 0.7
ObjectProperty,has clause,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6132; sequence_match=0.5000,False,0.595,False,top-3 avg score 0.5950 < final_threshold 0.7
ObjectProperty,has output,has algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.6480; sequence_match=0.4762,False,0.5939,False,top-3 avg score 0.5939 < final_threshold 0.7
ObjectProperty,has clause,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.6088; sequence_match=0.5000,False,0.5936,False,top-3 avg score 0.5936 < final_threshold 0.7
ObjectProperty,has input,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.5856; sequence_match=0.5217,False,0.5895,False,top-3 avg score 0.5895 < final_threshold 0.7
ObjectProperty,has license,has tool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.3000; semantic=0.6315; sequence_match=0.4706,False,0.5864,False,top-3 avg score 0.5864 < final_threshold 0.7
ObjectProperty,has version,has algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.6602; sequence_match=0.4545,False,0.5864,False,top-3 avg score 0.5864 < final_threshold 0.7
ObjectProperty,has license,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.6103; sequence_match=0.4706,False,0.5841,False,top-3 avg score 0.5841 < final_threshold 0.7
ObjectProperty,has input,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5624; sequence_match=0.5556,False,0.5838,False,top-3 avg score 0.5838 < final_threshold 0.7
ObjectProperty,has input,has tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.6134; sequence_match=0.5333,False,0.5826,False,top-3 avg score 0.5826 < final_threshold 0.7
ObjectProperty,has license,has feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.4000; semantic=0.5773; sequence_match=0.5000,False,0.5813,False,top-3 avg score 0.5813 < final_threshold 0.7
ObjectProperty,has interface,has tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.6871; sequence_match=0.4211,False,0.581,False,top-3 avg score 0.5810 < final_threshold 0.7
ObjectProperty,has format specification,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.3636; semantic=0.5628; sequence_match=0.5000,False,0.5808,False,top-3 avg score 0.5808 < final_threshold 0.7
ObjectProperty,has version,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.6109; sequence_match=0.4706,False,0.5795,False,top-3 avg score 0.5795 < final_threshold 0.7
ObjectProperty,has function,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8224; levenshtein=0.3571; semantic=0.5156; sequence_match=0.4000,False,0.5793,False,top-3 avg score 0.5793 < final_threshold 0.7
ObjectProperty,has function,has data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6472; sequence_match=0.4444,False,0.5789,False,top-3 avg score 0.5789 < final_threshold 0.7
ObjectProperty,has declared status,has feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8006; levenshtein=0.3529; semantic=0.4151; sequence_match=0.5185,False,0.5781,False,top-3 avg score 0.5781 < final_threshold 0.7
ObjectProperty,has interface,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.4167; semantic=0.6129; sequence_match=0.4545,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.7
ObjectProperty,is alternative format of,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5810; levenshtein=0.3810; semantic=0.6520; sequence_match=0.5000,False,0.5777,False,top-3 avg score 0.5777 < final_threshold 0.7
ObjectProperty,has license,has algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6389; levenshtein=0.3333; semantic=0.6390; sequence_match=0.4545,False,0.5775,False,top-3 avg score 0.5775 < final_threshold 0.7
ObjectProperty,has interface,has tool for task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.3571; semantic=0.6227; sequence_match=0.4615,False,0.577,False,top-3 avg score 0.5770 < final_threshold 0.7
ObjectProperty,has clause,has tool for task,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6984; levenshtein=0.3571; semantic=0.5094; sequence_match=0.5217,False,0.5765,False,top-3 avg score 0.5765 < final_threshold 0.7
ObjectProperty,has output,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.5865; sequence_match=0.4762,False,0.5734,False,top-3 avg score 0.5734 < final_threshold 0.7
ObjectProperty,has output,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.4000; semantic=0.5274; sequence_match=0.5000,False,0.5721,False,top-3 avg score 0.5721 < final_threshold 0.7
ObjectProperty,uses platform,export from,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7135; levenshtein=0.4167; semantic=0.4534; sequence_match=0.5455,False,0.5708,False,top-3 avg score 0.5708 < final_threshold 0.7
ObjectProperty,has output,supports export,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2857; semantic=0.6854; sequence_match=0.4348,False,0.5692,False,top-3 avg score 0.5692 < final_threshold 0.7
ObjectProperty,is alternative format of,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6183; levenshtein=0.3810; semantic=0.6313; sequence_match=0.4571,False,0.5689,False,top-3 avg score 0.5689 < final_threshold 0.7
ObjectProperty,has license,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.4167; semantic=0.6046; sequence_match=0.4545,False,0.5679,False,top-3 avg score 0.5679 < final_threshold 0.7
ObjectProperty,uses platform,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7606; levenshtein=0.4286; semantic=0.4778; sequence_match=0.4615,False,0.5666,False,top-3 avg score 0.5666 < final_threshold 0.7
ObjectProperty,uses platform,has output format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7093; levenshtein=0.4000; semantic=0.4688; sequence_match=0.5185,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.7
ObjectProperty,has clause,has collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.4000; semantic=0.5056; sequence_match=0.5000,False,0.5648,False,top-3 avg score 0.5648 < final_threshold 0.7
ObjectProperty,has specified data input,uses data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5933; levenshtein=0.2857; semantic=0.6823; sequence_match=0.4138,False,0.5631,False,top-3 avg score 0.5631 < final_threshold 0.7
ObjectProperty,has interface,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.3333; semantic=0.5970; sequence_match=0.4444,False,0.5591,False,top-3 avg score 0.5591 < final_threshold 0.7
ObjectProperty,has interface,has help,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.6126; sequence_match=0.4211,False,0.5562,False,top-3 avg score 0.5562 < final_threshold 0.7
ObjectProperty,has output,has tool for task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.5857; sequence_match=0.4348,False,0.5544,False,top-3 avg score 0.5544 < final_threshold 0.7
ObjectProperty,uses platform,performs task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6852; levenshtein=0.0000; semantic=0.5593; sequence_match=0.4167,False,0.5537,False,top-3 avg score 0.5537 < final_threshold 0.7
ObjectProperty,has clause,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6198; sequence_match=0.4211,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,has function,has algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6263; levenshtein=0.3333; semantic=0.6821; sequence_match=0.3478,False,0.5521,False,top-3 avg score 0.5521 < final_threshold 0.7
ObjectProperty,has interface,has algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6278; sequence_match=0.4167,False,0.5518,False,top-3 avg score 0.5518 < final_threshold 0.7
ObjectProperty,has input,has feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.5690; sequence_match=0.4444,False,0.5517,False,top-3 avg score 0.5517 < final_threshold 0.7
ObjectProperty,has function,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.3636; semantic=0.6131; sequence_match=0.3810,False,0.5512,False,top-3 avg score 0.5512 < final_threshold 0.7
ObjectProperty,has clause,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.3333; semantic=0.5837; sequence_match=0.4762,False,0.5502,False,top-3 avg score 0.5502 < final_threshold 0.7
ObjectProperty,has declared status,has collaborator,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6728; levenshtein=0.4118; semantic=0.4041; sequence_match=0.5625,False,0.549,False,top-3 avg score 0.5490 < final_threshold 0.7
ObjectProperty,has interface,version has feature,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7072; levenshtein=0.3529; semantic=0.5867; sequence_match=0.3448,False,0.549,False,top-3 avg score 0.5490 < final_threshold 0.7
ObjectProperty,has interface,has developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6160; sequence_match=0.4167,False,0.5479,False,top-3 avg score 0.5479 < final_threshold 0.7
ObjectProperty,has output,has feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.4000; semantic=0.6038; sequence_match=0.4211,False,0.5478,False,top-3 avg score 0.5478 < final_threshold 0.7
ObjectProperty,has function,has tool for task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6025; levenshtein=0.2857; semantic=0.6404; sequence_match=0.4000,False,0.5476,False,top-3 avg score 0.5476 < final_threshold 0.7
ObjectProperty,has version,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3000; semantic=0.5303; sequence_match=0.4286,False,0.5474,False,top-3 avg score 0.5474 < final_threshold 0.7
ObjectProperty,has format specification,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6707; levenshtein=0.2727; semantic=0.5358; sequence_match=0.4324,False,0.5463,False,top-3 avg score 0.5463 < final_threshold 0.7
ObjectProperty,has specified data output,has feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6586; levenshtein=0.3636; semantic=0.5385; sequence_match=0.4375,False,0.5449,False,top-3 avg score 0.5449 < final_threshold 0.7
ObjectProperty,has specified data output,uses data,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5882; levenshtein=0.2727; semantic=0.6454; sequence_match=0.4000,False,0.5445,False,top-3 avg score 0.5445 < final_threshold 0.7
ObjectProperty,has input,has programming language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6187; levenshtein=0.2727; semantic=0.6060; sequence_match=0.4000,False,0.5416,False,top-3 avg score 0.5416 < final_threshold 0.7
ObjectProperty,has specified data input,has feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5283; sequence_match=0.4516,False,0.5412,False,top-3 avg score 0.5412 < final_threshold 0.7
ObjectProperty,has format specification,has feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.3182; semantic=0.5056; sequence_match=0.4375,False,0.5409,False,top-3 avg score 0.5409 < final_threshold 0.7
ObjectProperty,has clause,has algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5907; levenshtein=0.3333; semantic=0.6461; sequence_match=0.3810,False,0.5393,False,top-3 avg score 0.5393 < final_threshold 0.7
ObjectProperty,has function,has output format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6534; levenshtein=0.4000; semantic=0.5589; sequence_match=0.3846,False,0.5374,False,top-3 avg score 0.5374 < final_threshold 0.7
ObjectProperty,has license,has export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.5625; sequence_match=0.4211,False,0.5328,False,top-3 avg score 0.5328 < final_threshold 0.7
ObjectProperty,has specified data output,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6229; levenshtein=0.3182; semantic=0.5828; sequence_match=0.3889,False,0.5315,False,top-3 avg score 0.5315 < final_threshold 0.7
ObjectProperty,has interface,has programming language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5934; levenshtein=0.3182; semantic=0.6475; sequence_match=0.3529,False,0.5313,False,top-3 avg score 0.5313 < final_threshold 0.7
ObjectProperty,has clause,version has feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5621; levenshtein=0.3529; semantic=0.5665; sequence_match=0.4615,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.7
ObjectProperty,implements,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.3000; semantic=0.5676; sequence_match=0.4000,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.7
ObjectProperty,has declared status,has developer,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6708; levenshtein=0.3529; semantic=0.4352; sequence_match=0.4828,False,0.5296,False,top-3 avg score 0.5296 < final_threshold 0.7
ObjectProperty,uses platform,has feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.5444; sequence_match=0.4545,False,0.5293,False,top-3 avg score 0.5293 < final_threshold 0.7
ObjectProperty,has clause,has programming language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5276; levenshtein=0.3182; semantic=0.6009; sequence_match=0.4516,False,0.5267,False,top-3 avg score 0.5267 < final_threshold 0.7
ObjectProperty,has function,has collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5929; levenshtein=0.2667; semantic=0.5251; sequence_match=0.4615,False,0.5265,False,top-3 avg score 0.5265 < final_threshold 0.7
ObjectProperty,uses platform,supports export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6210; levenshtein=0.2857; semantic=0.4960; sequence_match=0.4615,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
ObjectProperty,has output,export to,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.2222; semantic=0.6529; sequence_match=0.3529,False,0.5251,False,top-3 avg score 0.5251 < final_threshold 0.7
ObjectProperty,has output,has collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.5287; sequence_match=0.4167,False,0.525,False,top-3 avg score 0.5250 < final_threshold 0.7
ObjectProperty,has function,version has feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5660; levenshtein=0.2353; semantic=0.6504; sequence_match=0.3571,False,0.5245,False,top-3 avg score 0.5245 < final_threshold 0.7
ObjectProperty,has function,source tool,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6515; levenshtein=0.3636; semantic=0.4446; sequence_match=0.4762,False,0.5241,False,top-3 avg score 0.5241 < final_threshold 0.7
ObjectProperty,has output,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3000; semantic=0.6060; sequence_match=0.4211,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.7
ObjectProperty,has format specification,has data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6472; levenshtein=0.2727; semantic=0.5066; sequence_match=0.4138,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.7
ObjectProperty,has format specification,has algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6456; levenshtein=0.2727; semantic=0.5653; sequence_match=0.3529,False,0.5213,False,top-3 avg score 0.5213 < final_threshold 0.7
ObjectProperty,has version,has tool for task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.5261; sequence_match=0.4167,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,uses platform,has algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5794; levenshtein=0.1667; semantic=0.5654; sequence_match=0.4167,False,0.5205,False,top-3 avg score 0.5205 < final_threshold 0.7
ObjectProperty,has input,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5492; sequence_match=0.4000,False,0.5201,False,top-3 avg score 0.5201 < final_threshold 0.7
ObjectProperty,has version,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6857; levenshtein=0.2857; semantic=0.5403; sequence_match=0.3333,False,0.5198,False,top-3 avg score 0.5198 < final_threshold 0.7
