prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,leftOperand,hasLeftOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9286; levenshtein=0.7857; semantic=0.9303; sequence_match=0.8800,False,0.913,True,selected
ObjectProperty,hasPolicy,hasAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.4444; semantic=0.5731; sequence_match=0.4444,False,0.6077,False,top-3 avg score 0.6077 < final_threshold 0.7
ObjectProperty,obligation,hasProhibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.5893; sequence_match=0.5833,False,0.6036,False,top-3 avg score 0.6036 < final_threshold 0.7
ObjectProperty,hasPolicy,hasConflictStrategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6202; levenshtein=0.4211; semantic=0.6145; sequence_match=0.5714,False,0.602,False,top-3 avg score 0.6020 < final_threshold 0.7
ObjectProperty,scope,hasOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7212; levenshtein=0.2727; semantic=0.5825; sequence_match=0.5000,False,0.6012,False,top-3 avg score 0.6012 < final_threshold 0.7
ObjectProperty,hasPolicy,hasDuty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6264; sequence_match=0.5000,False,0.5994,False,top-3 avg score 0.5994 < final_threshold 0.7
ObjectProperty,hasPolicy,hasProhibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.5553; sequence_match=0.5217,False,0.5918,False,top-3 avg score 0.5918 < final_threshold 0.7
ObjectProperty,function,hasNextAction,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6816; levenshtein=0.4615; semantic=0.5172; sequence_match=0.5714,False,0.5901,False,top-3 avg score 0.5901 < final_threshold 0.7
ObjectProperty,permission,hasProhibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.6289; sequence_match=0.5000,False,0.589,False,top-3 avg score 0.5890 < final_threshold 0.7
ObjectProperty,prohibition,hasPermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3077; semantic=0.5895; sequence_match=0.5000,False,0.589,False,top-3 avg score 0.5890 < final_threshold 0.7
ObjectProperty,operator,hasLeftOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.7018; sequence_match=0.4545,False,0.5835,False,top-3 avg score 0.5835 < final_threshold 0.7
ObjectProperty,leftOperand,hasOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5697; levenshtein=0.3636; semantic=0.7259; sequence_match=0.4545,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.7
ObjectProperty,partOf,hasParty,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.5387; sequence_match=0.5714,False,0.583,False,top-3 avg score 0.5830 < final_threshold 0.7
ObjectProperty,operator,hasRightOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5861; levenshtein=0.2667; semantic=0.7219; sequence_match=0.4348,False,0.5809,False,top-3 avg score 0.5809 < final_threshold 0.7
ObjectProperty,inheritRelation,hasNextAction,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6530; levenshtein=0.3333; semantic=0.4852; sequence_match=0.5714,False,0.5699,False,top-3 avg score 0.5699 < final_threshold 0.7
ObjectProperty,inheritRelation,hasPermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6684; levenshtein=0.3333; semantic=0.5361; sequence_match=0.5000,False,0.5681,False,top-3 avg score 0.5681 < final_threshold 0.7
ObjectProperty,hasPolicy,hasPermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6467; levenshtein=0.3846; semantic=0.5952; sequence_match=0.4545,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.7
ObjectProperty,constraint,hasConflictStrategy,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6431; levenshtein=0.3684; semantic=0.5011; sequence_match=0.5517,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.7
ObjectProperty,assigner,hasRightOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6056; levenshtein=0.4000; semantic=0.5658; sequence_match=0.5217,False,0.5644,False,top-3 avg score 0.5644 < final_threshold 0.7
ObjectProperty,hasPolicy,hasConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,scope,hasLogicalOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6926; levenshtein=0.2778; semantic=0.5416; sequence_match=0.4348,False,0.5563,False,top-3 avg score 0.5563 < final_threshold 0.7
ObjectProperty,failure,hasRule,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7429; levenshtein=0.4286; semantic=0.4904; sequence_match=0.4286,False,0.5539,False,top-3 avg score 0.5539 < final_threshold 0.7
ObjectProperty,scope,hasConsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6952; levenshtein=0.2857; semantic=0.5453; sequence_match=0.4211,False,0.5539,False,top-3 avg score 0.5539 < final_threshold 0.7
ObjectProperty,assignee,hasRightOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3333; semantic=0.5696; sequence_match=0.4348,False,0.5524,False,top-3 avg score 0.5524 < final_threshold 0.7
ObjectProperty,target,hasRule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5432; sequence_match=0.4615,False,0.5492,False,top-3 avg score 0.5492 < final_threshold 0.7
ObjectProperty,scope,hasRightOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.2667; semantic=0.5586; sequence_match=0.4000,False,0.5492,False,top-3 avg score 0.5492 < final_threshold 0.7
ObjectProperty,conflict,hasConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.5657; sequence_match=0.4762,False,0.5484,False,top-3 avg score 0.5484 < final_threshold 0.7
ObjectProperty,hasPolicy,hasOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.5388; sequence_match=0.5000,False,0.5474,False,top-3 avg score 0.5474 < final_threshold 0.7
ObjectProperty,assigner,hasOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5997; sequence_match=0.4211,False,0.5473,False,top-3 avg score 0.5473 < final_threshold 0.7
ObjectProperty,hasPolicy,hasLogicalOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.3333; semantic=0.5016; sequence_match=0.4444,False,0.5468,False,top-3 avg score 0.5468 < final_threshold 0.7
ObjectProperty,inheritFrom,hasOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.1818; semantic=0.5355; sequence_match=0.4545,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.7
ObjectProperty,action,hasConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3077; semantic=0.5357; sequence_match=0.4211,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,hasPolicy,hasRemedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.5470; sequence_match=0.4444,False,0.5404,False,top-3 avg score 0.5404 < final_threshold 0.7
ObjectProperty,obligation,hasAction,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6185; levenshtein=0.4000; semantic=0.4756; sequence_match=0.5263,False,0.5401,False,top-3 avg score 0.5401 < final_threshold 0.7
ObjectProperty,action,hasConsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2143; semantic=0.5660; sequence_match=0.4000,False,0.5389,False,top-3 avg score 0.5389 < final_threshold 0.7
ObjectProperty,assigner,hasConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5324; sequence_match=0.4762,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,leftOperand,hasLogicalOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4596; levenshtein=0.3333; semantic=0.7313; sequence_match=0.4138,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.7
ObjectProperty,relation,hasNextAction,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.5705; levenshtein=0.4615; semantic=0.4505; sequence_match=0.5714,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.7
ObjectProperty,assigner,hasPermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5231; sequence_match=0.4762,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.7
ObjectProperty,hasPolicy,hasConsequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5709; levenshtein=0.3571; semantic=0.5958; sequence_match=0.4348,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.7
ObjectProperty,prohibition,hasAction,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.4967; sequence_match=0.5000,False,0.5334,False,top-3 avg score 0.5334 < final_threshold 0.7
ObjectProperty,assigner,hasLogicalOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2778; semantic=0.5739; sequence_match=0.3846,False,0.5325,False,top-3 avg score 0.5325 < final_threshold 0.7
ObjectProperty,inheritFrom,hasPermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.5642; sequence_match=0.4167,False,0.5314,False,top-3 avg score 0.5314 < final_threshold 0.7
ObjectProperty,assigner,hasAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.4710; sequence_match=0.4706,False,0.5299,False,top-3 avg score 0.5299 < final_threshold 0.7
ObjectProperty,conflict,hasConsequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6300; sequence_match=0.3636,False,0.5296,False,top-3 avg score 0.5296 < final_threshold 0.7
ObjectProperty,constraint,hasConsequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5651; levenshtein=0.3571; semantic=0.6060; sequence_match=0.4167,False,0.5292,False,top-3 avg score 0.5292 < final_threshold 0.7
ObjectProperty,relation,hasPermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6816; levenshtein=0.3077; semantic=0.5184; sequence_match=0.3810,False,0.527,False,top-3 avg score 0.5270 < final_threshold 0.7
ObjectProperty,target,hasParty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.5257; sequence_match=0.4286,False,0.5264,False,top-3 avg score 0.5264 < final_threshold 0.7
ObjectProperty,obligation,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6282; levenshtein=0.3846; semantic=0.5160; sequence_match=0.4348,False,0.5263,False,top-3 avg score 0.5263 < final_threshold 0.7
ObjectProperty,assignee,hasConsequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4522; sequence_match=0.4545,False,0.5258,False,top-3 avg score 0.5258 < final_threshold 0.7
ObjectProperty,relation,hasRightOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6056; levenshtein=0.2000; semantic=0.6177; sequence_match=0.3478,False,0.5237,False,top-3 avg score 0.5237 < final_threshold 0.7
ObjectProperty,assignee,hasAction,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.4486; sequence_match=0.4706,False,0.5224,False,top-3 avg score 0.5224 < final_threshold 0.7
ObjectProperty,inheritRelation,hasRightOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.1333; semantic=0.5439; sequence_match=0.4000,False,0.522,False,top-3 avg score 0.5220 < final_threshold 0.7
ObjectProperty,inheritRelation,hasOperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6058; levenshtein=0.3333; semantic=0.4970; sequence_match=0.4615,False,0.5214,False,top-3 avg score 0.5214 < final_threshold 0.7
ObjectProperty,assignee,hasFailureRule,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.4441; sequence_match=0.4545,False,0.5198,False,top-3 avg score 0.5198 < final_threshold 0.7
ObjectProperty,hasPolicy,hasAssigner,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.3636; semantic=0.5536; sequence_match=0.4000,False,0.5188,False,top-3 avg score 0.5188 < final_threshold 0.7
ObjectProperty,hasPolicy,hasAssignee,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.3636; semantic=0.5440; sequence_match=0.4000,False,0.5156,False,top-3 avg score 0.5156 < final_threshold 0.7
ObjectProperty,assignee,hasPermission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5475; sequence_match=0.4762,False,0.5143,False,top-3 avg score 0.5143 < final_threshold 0.7
ObjectProperty,relation,hasProhibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6151; levenshtein=0.3571; semantic=0.4702; sequence_match=0.4545,False,0.5133,False,top-3 avg score 0.5133 < final_threshold 0.7
ObjectProperty,scope,hasLeftOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6119; levenshtein=0.2857; semantic=0.5047; sequence_match=0.4211,False,0.5126,False,top-3 avg score 0.5126 < final_threshold 0.7
ObjectProperty,permission,hasAction,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.3000; semantic=0.5772; sequence_match=0.4211,False,0.5099,False,top-3 avg score 0.5099 < final_threshold 0.7
ObjectProperty,scope,hasConstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5847; sequence_match=0.3333,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.7
ObjectProperty,and,hasDuty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.4769; sequence_match=0.4000,False,0.5092,False,top-3 avg score 0.5092 < final_threshold 0.7
ObjectProperty,assignee,hasRemedy,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.4042; sequence_match=0.4706,False,0.5076,False,top-3 avg score 0.5076 < final_threshold 0.7
ObjectProperty,scope,hasPermission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.1538; semantic=0.5789; sequence_match=0.3333,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.7
ObjectProperty,assignee,hasConstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5248; sequence_match=0.4762,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,constraint,hasLeftOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2143; semantic=0.5656; sequence_match=0.3333,False,0.5065,False,top-3 avg score 0.5065 < final_threshold 0.7
ObjectProperty,inheritRelation,hasAction,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5630; levenshtein=0.3333; semantic=0.4563; sequence_match=0.5000,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.7
ObjectProperty,hasPolicy,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.5708; sequence_match=0.3636,False,0.5048,False,top-3 avg score 0.5048 < final_threshold 0.7
ObjectProperty,target,hasRemedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5030; sequence_match=0.4000,False,0.5047,False,top-3 avg score 0.5047 < final_threshold 0.7
ObjectProperty,scope,hasAction,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5407; levenshtein=0.2222; semantic=0.5412; sequence_match=0.4286,False,0.5035,False,top-3 avg score 0.5035 < final_threshold 0.7
ObjectProperty,assignee,hasRule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5092; sequence_match=0.4000,False,0.5035,False,top-3 avg score 0.5035 < final_threshold 0.7
ObjectProperty,assigner,hasRule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5090; sequence_match=0.4000,False,0.5034,False,top-3 avg score 0.5034 < final_threshold 0.7
ObjectProperty,action,hasPermission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4957; levenshtein=0.3077; semantic=0.5913; sequence_match=0.4211,False,0.5027,False,top-3 avg score 0.5027 < final_threshold 0.7
ObjectProperty,partOf,hasRightOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2667; semantic=0.4823; sequence_match=0.3810,False,0.5026,False,top-3 avg score 0.5026 < final_threshold 0.7
ObjectProperty,constraint,hasAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2000; semantic=0.5415; sequence_match=0.3158,False,0.5006,False,top-3 avg score 0.5006 < final_threshold 0.7
ObjectProperty,relation,hasLeftOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.2143; semantic=0.5580; sequence_match=0.2727,False,0.5005,False,top-3 avg score 0.5005 < final_threshold 0.7
ObjectProperty,assigner,hasFailureRule,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5940; levenshtein=0.3571; semantic=0.4510; sequence_match=0.4545,False,0.4999,False,top-3 avg score 0.4999 < final_threshold 0.7
ObjectProperty,conflict,subPolicyOf,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.4566; sequence_match=0.4211,False,0.4996,False,top-3 avg score 0.4996 < final_threshold 0.7
ObjectProperty,assigner,hasConsequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.4476; sequence_match=0.4545,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.7
ObjectProperty,target,hasRightOperand,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6556; levenshtein=0.2667; semantic=0.5712; sequence_match=0.1905,False,0.4978,False,top-3 avg score 0.4978 < final_threshold 0.7
ObjectProperty,operator,hasPermission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5365; levenshtein=0.3077; semantic=0.5725; sequence_match=0.3810,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.7
ObjectProperty,operator,hasParty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.1250; semantic=0.5271; sequence_match=0.3750,False,0.4951,False,top-3 avg score 0.4951 < final_threshold 0.7
ObjectProperty,hasPolicy,hasFailureRule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2857; semantic=0.5648; sequence_match=0.3478,False,0.4945,False,top-3 avg score 0.4945 < final_threshold 0.7
ObjectProperty,assignee,hasNextAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6026; levenshtein=0.1538; semantic=0.4961; sequence_match=0.3810,False,0.4932,False,top-3 avg score 0.4932 < final_threshold 0.7
ObjectProperty,constraint,hasRightOperand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2000; semantic=0.6016; sequence_match=0.3200,False,0.4924,False,top-3 avg score 0.4924 < final_threshold 0.7
ObjectProperty,action,hasProhibition,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4603; levenshtein=0.3571; semantic=0.5159; sequence_match=0.5000,False,0.4921,False,top-3 avg score 0.4921 < final_threshold 0.7
ObjectProperty,constraint,hasLogicalOperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5534; levenshtein=0.1667; semantic=0.5656; sequence_match=0.3571,False,0.4921,False,top-3 avg score 0.4921 < final_threshold 0.7
ObjectProperty,partOf,hasAction,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.4647; sequence_match=0.4000,False,0.492,False,top-3 avg score 0.4920 < final_threshold 0.7
ObjectProperty,inheritRelation,hasLeftOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6365; levenshtein=0.1333; semantic=0.4909; sequence_match=0.3448,False,0.4907,False,top-3 avg score 0.4907 < final_threshold 0.7
ObjectProperty,assigner,hasLeftOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.5129; sequence_match=0.3636,False,0.4906,False,top-3 avg score 0.4906 < final_threshold 0.7
ObjectProperty,action,hasRightOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5611; levenshtein=0.2667; semantic=0.5266; sequence_match=0.3810,False,0.4896,False,top-3 avg score 0.4896 < final_threshold 0.7
ObjectProperty,inheritRelation,relatesToPolicy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5639; levenshtein=0.0667; semantic=0.5047; sequence_match=0.4000,False,0.4895,False,top-3 avg score 0.4895 < final_threshold 0.7
ObjectProperty,hasPolicy,hasRightOperand,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2667; semantic=0.5007; sequence_match=0.3333,False,0.4891,False,top-3 avg score 0.4891 < final_threshold 0.7
