prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,consequence,consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9692; levenshtein=0.8462; semantic=0.9574; sequence_match=0.9167,False,0.9478,True,selected
ObjectProperty,inheritRelation,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.2667; semantic=0.4973; sequence_match=0.4444,False,0.51,False,top-3 avg score 0.5100 < final_threshold 0.7
ObjectProperty,scope,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5847; sequence_match=0.3333,False,0.5094,False,top-3 avg score 0.5094 < final_threshold 0.7
ObjectProperty,target,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5167; sequence_match=0.4000,False,0.5093,False,top-3 avg score 0.5093 < final_threshold 0.7
ObjectProperty,assignee,has remedy,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.4042; sequence_match=0.4706,False,0.5076,False,top-3 avg score 0.5076 < final_threshold 0.7
ObjectProperty,assignee,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5248; sequence_match=0.4762,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,hasPolicy,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.5976; sequence_match=0.3529,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.7
ObjectProperty,operator,is strategy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.3333; semantic=0.5051; sequence_match=0.4000,False,0.5063,False,top-3 avg score 0.5063 < final_threshold 0.7
ObjectProperty,target,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5030; sequence_match=0.4000,False,0.5047,False,top-3 avg score 0.5047 < final_threshold 0.7
ObjectProperty,operand,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5357; levenshtein=0.2857; semantic=0.5878; sequence_match=0.3810,False,0.5015,False,top-3 avg score 0.5015 < final_threshold 0.7
ObjectProperty,or,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7143; levenshtein=0.1429; semantic=0.5330; sequence_match=0.2500,False,0.4991,False,top-3 avg score 0.4991 < final_threshold 0.7
ObjectProperty,assigner,has consequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.4476; sequence_match=0.4545,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.7
ObjectProperty,permission,is involved in rule,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5472; levenshtein=0.0625; semantic=0.5552; sequence_match=0.3846,False,0.4957,False,top-3 avg score 0.4957 < final_threshold 0.7
ObjectProperty,constraint,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6149; levenshtein=0.2759; semantic=0.4607; sequence_match=0.4103,False,0.4953,False,top-3 avg score 0.4953 < final_threshold 0.7
ObjectProperty,inheritRelation,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6268; levenshtein=0.3103; semantic=0.4484; sequence_match=0.4091,False,0.4948,False,top-3 avg score 0.4948 < final_threshold 0.7
ObjectProperty,scope,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6048; levenshtein=0.2143; semantic=0.5609; sequence_match=0.3158,False,0.4938,False,top-3 avg score 0.4938 < final_threshold 0.7
ObjectProperty,relation,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5694; levenshtein=0.1111; semantic=0.5500; sequence_match=0.3529,False,0.4908,False,top-3 avg score 0.4908 < final_threshold 0.7
ObjectProperty,inheritRelation,is constraint of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6365; levenshtein=0.3333; semantic=0.5008; sequence_match=0.2759,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.7
ObjectProperty,inheritRelation,is strategy of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5881; levenshtein=0.3333; semantic=0.4365; sequence_match=0.4444,False,0.4897,False,top-3 avg score 0.4897 < final_threshold 0.7
ObjectProperty,assigner,is involved in rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5792; levenshtein=0.1875; semantic=0.4699; sequence_match=0.4167,False,0.4886,False,top-3 avg score 0.4886 < final_threshold 0.7
ObjectProperty,permission,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.0909; semantic=0.5666; sequence_match=0.3810,False,0.4886,False,top-3 avg score 0.4886 < final_threshold 0.7
ObjectProperty,constraint,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.5644; sequence_match=0.3810,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.7
ObjectProperty,permission,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2500; semantic=0.5107; sequence_match=0.3636,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.7
ObjectProperty,function,is constraint of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6151; levenshtein=0.2857; semantic=0.5589; sequence_match=0.2727,False,0.4866,False,top-3 avg score 0.4866 < final_threshold 0.7
ObjectProperty,operand,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.3077; semantic=0.5993; sequence_match=0.4000,False,0.4863,False,top-3 avg score 0.4863 < final_threshold 0.7
ObjectProperty,function,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5453; sequence_match=0.2857,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.7
ObjectProperty,inheritRelation,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5704; levenshtein=0.2667; semantic=0.5534; sequence_match=0.3333,False,0.4857,False,top-3 avg score 0.4857 < final_threshold 0.7
ObjectProperty,assigner,is strategy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7242; levenshtein=0.2500; semantic=0.4320; sequence_match=0.3000,False,0.4854,False,top-3 avg score 0.4854 < final_threshold 0.7
ObjectProperty,permission,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5905; levenshtein=0.2143; semantic=0.5323; sequence_match=0.3333,False,0.4854,False,top-3 avg score 0.4854 < final_threshold 0.7
ObjectProperty,scope,consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6192; levenshtein=0.1538; semantic=0.5017; sequence_match=0.3333,False,0.4848,False,top-3 avg score 0.4848 < final_threshold 0.7
ObjectProperty,inheritRelation,involved party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5731; levenshtein=0.2000; semantic=0.5214; sequence_match=0.3571,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.7
ObjectProperty,inheritFrom,involved party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5464; levenshtein=0.2308; semantic=0.4854; sequence_match=0.4167,False,0.4828,False,top-3 avg score 0.4828 < final_threshold 0.7
ObjectProperty,function,activates upon failure,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.1500; semantic=0.5187; sequence_match=0.3571,False,0.4827,False,top-3 avg score 0.4827 < final_threshold 0.7
ObjectProperty,operator,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.5283; sequence_match=0.3529,False,0.482,False,top-3 avg score 0.4820 < final_threshold 0.7
ObjectProperty,consequence,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4797; levenshtein=0.3077; semantic=0.5494; sequence_match=0.4167,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,failure,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.4829; sequence_match=0.3750,False,0.4817,False,top-3 avg score 0.4817 < final_threshold 0.7
ObjectProperty,implies,is involved in rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6089; levenshtein=0.1875; semantic=0.4854; sequence_match=0.3478,False,0.4807,False,top-3 avg score 0.4807 < final_threshold 0.7
ObjectProperty,action,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6245; levenshtein=0.2069; semantic=0.4719; sequence_match=0.3429,False,0.4798,False,top-3 avg score 0.4798 < final_threshold 0.7
ObjectProperty,obligation,involved party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.0769; semantic=0.5289; sequence_match=0.3478,False,0.4794,False,top-3 avg score 0.4794 < final_threshold 0.7
ObjectProperty,inheritRelation,is involved in rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5727; levenshtein=0.1250; semantic=0.5399; sequence_match=0.3226,False,0.4784,False,top-3 avg score 0.4784 < final_threshold 0.7
ObjectProperty,relation,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5274; levenshtein=0.2143; semantic=0.6338; sequence_match=0.2727,False,0.478,False,top-3 avg score 0.4780 < final_threshold 0.7
ObjectProperty,partOf,has operator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5101; levenshtein=0.3636; semantic=0.4521; sequence_match=0.4706,False,0.4776,False,top-3 avg score 0.4776 < final_threshold 0.7
ObjectProperty,obligation,is operator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.2500; semantic=0.4957; sequence_match=0.3636,False,0.4772,False,top-3 avg score 0.4772 < final_threshold 0.7
ObjectProperty,action,consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5769; levenshtein=0.0769; semantic=0.5363; sequence_match=0.3158,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,assignee,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.5580; sequence_match=0.3158,False,0.4743,False,top-3 avg score 0.4743 < final_threshold 0.7
ObjectProperty,assignee,is involved in rule,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1875; semantic=0.5052; sequence_match=0.4167,False,0.474,False,top-3 avg score 0.4740 < final_threshold 0.7
ObjectProperty,relation,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.2727; semantic=0.5444; sequence_match=0.4211,False,0.4733,False,top-3 avg score 0.4733 < final_threshold 0.7
ObjectProperty,partOf,involved party,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4145; levenshtein=0.2308; semantic=0.5841; sequence_match=0.4211,False,0.4732,False,top-3 avg score 0.4732 < final_threshold 0.7
ObjectProperty,inheritFrom,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.0909; semantic=0.5488; sequence_match=0.3158,False,0.4713,False,top-3 avg score 0.4713 < final_threshold 0.7
ObjectProperty,relation,is strategy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.2500; semantic=0.4662; sequence_match=0.4000,False,0.4712,False,top-3 avg score 0.4712 < final_threshold 0.7
ObjectProperty,function,consequence of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5365; levenshtein=0.2308; semantic=0.4938; sequence_match=0.3810,False,0.4704,False,top-3 avg score 0.4704 < final_threshold 0.7
ObjectProperty,scope,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2500; semantic=0.5531; sequence_match=0.3077,False,0.4703,False,top-3 avg score 0.4703 < final_threshold 0.7
ObjectProperty,target,has operator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5934; levenshtein=0.2727; semantic=0.5438; sequence_match=0.2353,False,0.47,False,top-3 avg score 0.4700 < final_threshold 0.7
ObjectProperty,inheritFrom,is strategy of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5707; levenshtein=0.3333; semantic=0.5060; sequence_match=0.2609,False,0.47,False,top-3 avg score 0.4700 < final_threshold 0.7
ObjectProperty,prohibition,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5693; levenshtein=0.2143; semantic=0.5965; sequence_match=0.2400,False,0.4686,False,top-3 avg score 0.4686 < final_threshold 0.7
ObjectProperty,relation,has constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5365; levenshtein=0.1538; semantic=0.5829; sequence_match=0.2857,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,permission,is strategy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5722; levenshtein=0.1667; semantic=0.4682; sequence_match=0.3636,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.7
ObjectProperty,inheritFrom,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5693; levenshtein=0.2857; semantic=0.5143; sequence_match=0.3200,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.7
ObjectProperty,operand,involved party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5663; levenshtein=0.2308; semantic=0.5373; sequence_match=0.3000,False,0.4679,False,top-3 avg score 0.4679 < final_threshold 0.7
ObjectProperty,relation,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5920; levenshtein=0.2414; semantic=0.4332; sequence_match=0.3784,False,0.4678,False,top-3 avg score 0.4678 < final_threshold 0.7
ObjectProperty,consequence,is constraint of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4706; levenshtein=0.3571; semantic=0.5321; sequence_match=0.4000,False,0.4676,False,top-3 avg score 0.4676 < final_threshold 0.7
ObjectProperty,or,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5303; levenshtein=0.1818; semantic=0.5645; sequence_match=0.3077,False,0.4675,False,top-3 avg score 0.4675 < final_threshold 0.7
ObjectProperty,conflict,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5274; levenshtein=0.3571; semantic=0.5073; sequence_match=0.3636,False,0.4661,False,top-3 avg score 0.4661 < final_threshold 0.7
ObjectProperty,constraint,is operator of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5056; levenshtein=0.1667; semantic=0.5272; sequence_match=0.3636,False,0.4655,False,top-3 avg score 0.4655 < final_threshold 0.7
ObjectProperty,consequence,has remedy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.1818; semantic=0.5606; sequence_match=0.3000,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.7
ObjectProperty,assigner,is operator of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1667; semantic=0.5682; sequence_match=0.3000,False,0.4653,False,top-3 avg score 0.4653 < final_threshold 0.7
ObjectProperty,obligation,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5045; levenshtein=0.1818; semantic=0.5099; sequence_match=0.3810,False,0.4651,False,top-3 avg score 0.4651 < final_threshold 0.7
ObjectProperty,obligation,is constraint of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5905; levenshtein=0.2143; semantic=0.5544; sequence_match=0.2500,False,0.4649,False,top-3 avg score 0.4649 < final_threshold 0.7
ObjectProperty,action,has operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.1818; semantic=0.5356; sequence_match=0.3529,False,0.4645,False,top-3 avg score 0.4645 < final_threshold 0.7
ObjectProperty,scope,is involved in rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5958; levenshtein=0.1875; semantic=0.5117; sequence_match=0.2857,False,0.4644,False,top-3 avg score 0.4644 < final_threshold 0.7
