prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,was developed by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9267; levenshtein=0.8571; semantic=0.9511; sequence_match=0.8889,False,0.9223,True,selected
ObjectProperty,has output,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7966; levenshtein=0.4615; semantic=0.6303; sequence_match=0.5455,False,0.6575,False,top-3 avg score 0.6575 < final_threshold 0.7
ObjectProperty,has input,processes input,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6151; levenshtein=0.4286; semantic=0.8067; sequence_match=0.5455,False,0.6557,False,top-3 avg score 0.6557 < final_threshold 0.7
ObjectProperty,has function,has collaboration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7905; levenshtein=0.4375; semantic=0.5830; sequence_match=0.5926,False,0.6554,False,top-3 avg score 0.6554 < final_threshold 0.7
ObjectProperty,has version,has help resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.4000; semantic=0.5737; sequence_match=0.5600,False,0.6464,False,top-3 avg score 0.6464 < final_threshold 0.7
ObjectProperty,has license,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has version,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has format specification,via format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6987; levenshtein=0.2727; semantic=0.7554; sequence_match=0.4516,False,0.6352,False,top-3 avg score 0.6352 < final_threshold 0.7
ObjectProperty,has function,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.5455; semantic=0.6556; sequence_match=0.5714,False,0.6289,False,top-3 avg score 0.6289 < final_threshold 0.7
ObjectProperty,has input,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.4000; semantic=0.5326; sequence_match=0.5556,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,uses software,uses algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6774; levenshtein=0.3077; semantic=0.7035; sequence_match=0.4800,False,0.6203,False,top-3 avg score 0.6203 < final_threshold 0.7
ObjectProperty,is encoded in,is implemented in,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7695; levenshtein=0.4667; semantic=0.4334; sequence_match=0.6154,False,0.6172,False,top-3 avg score 0.6172 < final_threshold 0.7
ObjectProperty,has output,supports output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6140; levenshtein=0.3500; semantic=0.7494; sequence_match=0.4828,False,0.6154,False,top-3 avg score 0.6154 < final_threshold 0.7
ObjectProperty,has declared status,has help resource,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7969; levenshtein=0.4706; semantic=0.4550; sequence_match=0.5625,False,0.61,False,top-3 avg score 0.6100 < final_threshold 0.7
ObjectProperty,is developed by,has development activity level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7132; levenshtein=0.3704; semantic=0.6084; sequence_match=0.5000,False,0.6072,False,top-3 avg score 0.6072 < final_threshold 0.7
ObjectProperty,has interface,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7965; levenshtein=0.4000; semantic=0.5767; sequence_match=0.4444,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,is developed by,was created by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.6805; sequence_match=0.4800,False,0.6048,False,top-3 avg score 0.6048 < final_threshold 0.7
ObjectProperty,has interface,has version feature usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8003; levenshtein=0.4091; semantic=0.5422; sequence_match=0.4706,False,0.6043,False,top-3 avg score 0.6043 < final_threshold 0.7
ObjectProperty,has output,has usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.6706; sequence_match=0.4706,False,0.5965,False,top-3 avg score 0.5965 < final_threshold 0.7
ObjectProperty,has input,has usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.6137; sequence_match=0.5000,False,0.5935,False,top-3 avg score 0.5935 < final_threshold 0.7
ObjectProperty,has specified data input,processes input,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6183; levenshtein=0.3333; semantic=0.6998; sequence_match=0.4571,False,0.5918,False,top-3 avg score 0.5918 < final_threshold 0.7
ObjectProperty,has interface,has help resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.4000; semantic=0.6176; sequence_match=0.5185,False,0.5906,False,top-3 avg score 0.5906 < final_threshold 0.7
ObjectProperty,has output,has compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6908; levenshtein=0.3750; semantic=0.5976; sequence_match=0.4800,False,0.5895,False,top-3 avg score 0.5895 < final_threshold 0.7
ObjectProperty,has clause,has help resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7904; levenshtein=0.4000; semantic=0.5579; sequence_match=0.4167,False,0.5883,False,top-3 avg score 0.5883 < final_threshold 0.7
ObjectProperty,has function,has compatibility,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6437; levenshtein=0.3125; semantic=0.6705; sequence_match=0.4444,False,0.5862,False,top-3 avg score 0.5862 < final_threshold 0.7
ObjectProperty,has function,has usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6212; levenshtein=0.3636; semantic=0.7148; sequence_match=0.4211,False,0.5857,False,top-3 avg score 0.5857 < final_threshold 0.7
ObjectProperty,has version,has usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.6676; sequence_match=0.4444,False,0.5846,False,top-3 avg score 0.5846 < final_threshold 0.7
ObjectProperty,has input,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5624; sequence_match=0.5556,False,0.5838,False,top-3 avg score 0.5838 < final_threshold 0.7
ObjectProperty,has license,has usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.6624; sequence_match=0.4444,False,0.5828,False,top-3 avg score 0.5828 < final_threshold 0.7
ObjectProperty,is alternative format of,via format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5312; levenshtein=0.3333; semantic=0.6835; sequence_match=0.5333,False,0.5827,False,top-3 avg score 0.5827 < final_threshold 0.7
ObjectProperty,has format specification,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.3636; semantic=0.5628; sequence_match=0.5000,False,0.5808,False,top-3 avg score 0.5808 < final_threshold 0.7
ObjectProperty,has version,has collaboration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6649; levenshtein=0.4375; semantic=0.5355; sequence_match=0.5385,False,0.5796,False,top-3 avg score 0.5796 < final_threshold 0.7
ObjectProperty,has input,supports input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5775; levenshtein=0.3158; semantic=0.7169; sequence_match=0.4444,False,0.5796,False,top-3 avg score 0.5796 < final_threshold 0.7
ObjectProperty,has specified data output,can process output of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6172; levenshtein=0.3182; semantic=0.6695; sequence_match=0.4500,False,0.5789,False,top-3 avg score 0.5789 < final_threshold 0.7
ObjectProperty,has interface,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.4167; semantic=0.6129; sequence_match=0.4545,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.7
ObjectProperty,has output,has tool usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.4167; semantic=0.5896; sequence_match=0.4762,False,0.5775,False,top-3 avg score 0.5775 < final_threshold 0.7
ObjectProperty,has format specification,has compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6986; levenshtein=0.4091; semantic=0.5545; sequence_match=0.4737,False,0.5756,False,top-3 avg score 0.5756 < final_threshold 0.7
ObjectProperty,has version,has valid input,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6872; levenshtein=0.3846; semantic=0.5173; sequence_match=0.5217,False,0.5754,False,top-3 avg score 0.5754 < final_threshold 0.7
ObjectProperty,has version,has export config,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6944; levenshtein=0.4000; semantic=0.4717; sequence_match=0.5600,False,0.5754,False,top-3 avg score 0.5754 < final_threshold 0.7
ObjectProperty,has license,has valid input,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6872; levenshtein=0.4615; semantic=0.5078; sequence_match=0.5217,False,0.5722,False,top-3 avg score 0.5722 < final_threshold 0.7
ObjectProperty,has output,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.4000; semantic=0.5274; sequence_match=0.5000,False,0.5721,False,top-3 avg score 0.5721 < final_threshold 0.7
ObjectProperty,has version,has development model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6419; levenshtein=0.3158; semantic=0.5860; sequence_match=0.4828,False,0.5702,False,top-3 avg score 0.5702 < final_threshold 0.7
ObjectProperty,has format specification,has export config,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6910; levenshtein=0.2727; semantic=0.5331; sequence_match=0.4865,False,0.5702,False,top-3 avg score 0.5702 < final_threshold 0.7
ObjectProperty,has clause,has collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.3750; semantic=0.5371; sequence_match=0.4800,False,0.5659,False,top-3 avg score 0.5659 < final_threshold 0.7
ObjectProperty,has interface,has usage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6139; levenshtein=0.4167; semantic=0.6561; sequence_match=0.4000,False,0.5622,False,top-3 avg score 0.5622 < final_threshold 0.7
ObjectProperty,uses platform,employs algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6227; levenshtein=0.3125; semantic=0.5591; sequence_match=0.5000,False,0.5606,False,top-3 avg score 0.5606 < final_threshold 0.7
ObjectProperty,has format specification,supports input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6146; levenshtein=0.2273; semantic=0.7239; sequence_match=0.3415,False,0.56,False,top-3 avg score 0.5600 < final_threshold 0.7
ObjectProperty,has license,has tool usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.4167; semantic=0.5795; sequence_match=0.4545,False,0.5595,False,top-3 avg score 0.5595 < final_threshold 0.7
ObjectProperty,has license,has help resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.4000; semantic=0.5650; sequence_match=0.4800,False,0.5573,False,top-3 avg score 0.5573 < final_threshold 0.7
ObjectProperty,has output,has export config,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3333; semantic=0.6194; sequence_match=0.4167,False,0.5565,False,top-3 avg score 0.5565 < final_threshold 0.7
ObjectProperty,is alternative format of,requires format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6183; levenshtein=0.3810; semantic=0.5912; sequence_match=0.4571,False,0.5555,False,top-3 avg score 0.5555 < final_threshold 0.7
ObjectProperty,has input,has help resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3333; semantic=0.5772; sequence_match=0.4348,False,0.5549,False,top-3 avg score 0.5549 < final_threshold 0.7
ObjectProperty,has format specification,has collaboration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6818; levenshtein=0.4545; semantic=0.4558; sequence_match=0.5263,False,0.5546,False,top-3 avg score 0.5546 < final_threshold 0.7
ObjectProperty,uses platform,requires format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6495; levenshtein=0.2857; semantic=0.4751; sequence_match=0.5385,False,0.5543,False,top-3 avg score 0.5543 < final_threshold 0.7
ObjectProperty,has specified data output,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6413; levenshtein=0.3636; semantic=0.5639; sequence_match=0.4571,False,0.5541,False,top-3 avg score 0.5541 < final_threshold 0.7
ObjectProperty,uses platform,performs task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6852; levenshtein=0.0000; semantic=0.5593; sequence_match=0.4167,False,0.5537,False,top-3 avg score 0.5537 < final_threshold 0.7
ObjectProperty,has clause,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6198; sequence_match=0.4211,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,has function,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.3636; semantic=0.6131; sequence_match=0.3810,False,0.5512,False,top-3 avg score 0.5512 < final_threshold 0.7
ObjectProperty,has interface,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.2308; semantic=0.5690; sequence_match=0.4800,False,0.5491,False,top-3 avg score 0.5491 < final_threshold 0.7
ObjectProperty,has input,has compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3125; semantic=0.5736; sequence_match=0.4167,False,0.5477,False,top-3 avg score 0.5477 < final_threshold 0.7
ObjectProperty,has output,has format category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6732; levenshtein=0.3529; semantic=0.5068; sequence_match=0.4615,False,0.5472,False,top-3 avg score 0.5472 < final_threshold 0.7
ObjectProperty,has specified data output,supports output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5763; levenshtein=0.1818; semantic=0.6831; sequence_match=0.3810,False,0.5468,False,top-3 avg score 0.5468 < final_threshold 0.7
ObjectProperty,has format specification,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6707; levenshtein=0.2727; semantic=0.5358; sequence_match=0.4324,False,0.5463,False,top-3 avg score 0.5463 < final_threshold 0.7
ObjectProperty,is developed by,is implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6329; levenshtein=0.3333; semantic=0.5775; sequence_match=0.4286,False,0.5463,False,top-3 avg score 0.5463 < final_threshold 0.7
ObjectProperty,has format specification,requires format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5358; levenshtein=0.1818; semantic=0.7133; sequence_match=0.3889,False,0.546,False,top-3 avg score 0.5460 < final_threshold 0.7
ObjectProperty,has license,has development model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6419; levenshtein=0.3684; semantic=0.5118; sequence_match=0.4828,False,0.5455,False,top-3 avg score 0.5455 < final_threshold 0.7
ObjectProperty,has clause,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3077; semantic=0.5269; sequence_match=0.4545,False,0.5451,False,top-3 avg score 0.5451 < final_threshold 0.7
ObjectProperty,has output,has help resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.5879; sequence_match=0.4167,False,0.5447,False,top-3 avg score 0.5447 < final_threshold 0.7
ObjectProperty,uses software,provides feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6500; levenshtein=0.2667; semantic=0.5375; sequence_match=0.4444,False,0.544,False,top-3 avg score 0.5440 < final_threshold 0.7
ObjectProperty,has specified data output,has export config,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6071; levenshtein=0.2727; semantic=0.6437; sequence_match=0.3784,False,0.543,False,top-3 avg score 0.5430 < final_threshold 0.7
ObjectProperty,has declared status,has collaboration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6603; levenshtein=0.3529; semantic=0.4189; sequence_match=0.5455,False,0.5415,False,top-3 avg score 0.5415 < final_threshold 0.7
ObjectProperty,has function,has format category,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6351; levenshtein=0.4118; semantic=0.4883; sequence_match=0.5000,False,0.5411,False,top-3 avg score 0.5411 < final_threshold 0.7
ObjectProperty,has function,has version feature usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6684; levenshtein=0.2273; semantic=0.5899; sequence_match=0.3636,False,0.5406,False,top-3 avg score 0.5406 < final_threshold 0.7
ObjectProperty,has interface,has tool usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.4167; semantic=0.5854; sequence_match=0.4167,False,0.5377,False,top-3 avg score 0.5377 < final_threshold 0.7
ObjectProperty,has format specification,supports output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.7612; sequence_match=0.3333,False,0.5376,False,top-3 avg score 0.5376 < final_threshold 0.7
ObjectProperty,has specified data input,has compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6462; levenshtein=0.2857; semantic=0.5330; sequence_match=0.4324,False,0.5372,False,top-3 avg score 0.5372 < final_threshold 0.7
ObjectProperty,has interface,has compatibility,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5784; levenshtein=0.2500; semantic=0.6743; sequence_match=0.3571,False,0.5366,False,top-3 avg score 0.5366 < final_threshold 0.7
ObjectProperty,has clause,has version feature usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3182; semantic=0.5479; sequence_match=0.4516,False,0.5343,False,top-3 avg score 0.5343 < final_threshold 0.7
ObjectProperty,is alternative format of,supports input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6232; levenshtein=0.3333; semantic=0.5776; sequence_match=0.4000,False,0.5336,False,top-3 avg score 0.5336 < final_threshold 0.7
ObjectProperty,has output,supports input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6202; levenshtein=0.2632; semantic=0.5494; sequence_match=0.4286,False,0.5327,False,top-3 avg score 0.5327 < final_threshold 0.7
ObjectProperty,has specified data input,supports input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5494; levenshtein=0.1905; semantic=0.6973; sequence_match=0.3500,False,0.5322,False,top-3 avg score 0.5322 < final_threshold 0.7
ObjectProperty,has input,can process output of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2778; semantic=0.5724; sequence_match=0.3846,False,0.532,False,top-3 avg score 0.5320 < final_threshold 0.7
ObjectProperty,has function,has export config,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6702; levenshtein=0.4000; semantic=0.4615; sequence_match=0.4615,False,0.5311,False,top-3 avg score 0.5311 < final_threshold 0.7
ObjectProperty,has output,has collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6227; levenshtein=0.3125; semantic=0.5704; sequence_match=0.4000,False,0.531,False,top-3 avg score 0.5310 < final_threshold 0.7
ObjectProperty,uses platform,supports input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5931; levenshtein=0.3684; semantic=0.4833; sequence_match=0.5161,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.7
ObjectProperty,implements,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.3000; semantic=0.5676; sequence_match=0.4000,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.7
ObjectProperty,has function,has valid input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.5595; sequence_match=0.4167,False,0.5299,False,top-3 avg score 0.5299 < final_threshold 0.7
ObjectProperty,is alternative format of,has format category,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5548; levenshtein=0.2857; semantic=0.6132; sequence_match=0.4211,False,0.5297,False,top-3 avg score 0.5297 < final_threshold 0.7
ObjectProperty,has input,has version feature usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6834; levenshtein=0.2727; semantic=0.5008; sequence_match=0.4000,False,0.5281,False,top-3 avg score 0.5281 < final_threshold 0.7
ObjectProperty,has clause,has compatibility,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6227; levenshtein=0.3125; semantic=0.5595; sequence_match=0.4000,False,0.5274,False,top-3 avg score 0.5274 < final_threshold 0.7
ObjectProperty,has license,has version feature usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6379; levenshtein=0.3182; semantic=0.5034; sequence_match=0.4375,False,0.5263,False,top-3 avg score 0.5263 < final_threshold 0.7
ObjectProperty,has input,has tool usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.3333; semantic=0.5648; sequence_match=0.4000,False,0.5262,False,top-3 avg score 0.5262 < final_threshold 0.7
ObjectProperty,is encoded in,is published in,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6134; levenshtein=0.4615; semantic=0.4168; sequence_match=0.5000,False,0.525,False,top-3 avg score 0.5250 < final_threshold 0.7
ObjectProperty,has output,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3000; semantic=0.6060; sequence_match=0.4211,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.7
ObjectProperty,uses platform,has usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6139; levenshtein=0.1667; semantic=0.6529; sequence_match=0.3000,False,0.5223,False,top-3 avg score 0.5223 < final_threshold 0.7
ObjectProperty,has input,has collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5637; sequence_match=0.4167,False,0.5212,False,top-3 avg score 0.5212 < final_threshold 0.7
ObjectProperty,uses platform,via format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6111; levenshtein=0.2500; semantic=0.4748; sequence_match=0.4762,False,0.5207,False,top-3 avg score 0.5207 < final_threshold 0.7
ObjectProperty,has declared status,has version feature usage,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6671; levenshtein=0.3182; semantic=0.3791; sequence_match=0.5128,False,0.5197,False,top-3 avg score 0.5197 < final_threshold 0.7
ObjectProperty,is alternative format of,supports output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5398; levenshtein=0.3333; semantic=0.5782; sequence_match=0.4390,False,0.519,False,top-3 avg score 0.5190 < final_threshold 0.7
ObjectProperty,has license,was created by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.4633; sequence_match=0.4545,False,0.5189,False,top-3 avg score 0.5189 < final_threshold 0.7
ObjectProperty,has function,has tool usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.2500; semantic=0.5818; sequence_match=0.3478,False,0.5186,False,top-3 avg score 0.5186 < final_threshold 0.7
ObjectProperty,has input,has development model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2632; semantic=0.5503; sequence_match=0.3704,False,0.5179,False,top-3 avg score 0.5179 < final_threshold 0.7
ObjectProperty,has interface,has format category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6487; levenshtein=0.2941; semantic=0.4876; sequence_match=0.4138,False,0.5167,False,top-3 avg score 0.5167 < final_threshold 0.7
ObjectProperty,has clause,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3333; semantic=0.4993; sequence_match=0.4167,False,0.5164,False,top-3 avg score 0.5164 < final_threshold 0.7
ObjectProperty,has specified data input,has collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6267; levenshtein=0.2857; semantic=0.4900; sequence_match=0.4324,False,0.5164,False,top-3 avg score 0.5164 < final_threshold 0.7
ObjectProperty,has declared status,has development activity level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6242; levenshtein=0.3333; semantic=0.4698; sequence_match=0.4545,False,0.5162,False,top-3 avg score 0.5162 < final_threshold 0.7
ObjectProperty,has version,runs on,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.3000; semantic=0.5731; sequence_match=0.3750,False,0.516,False,top-3 avg score 0.5160 < final_threshold 0.7
ObjectProperty,has output,has version feature usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2727; semantic=0.5098; sequence_match=0.3871,False,0.516,False,top-3 avg score 0.5160 < final_threshold 0.7
