gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Maintained,Maintained,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
data format specification,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5870; levenshtein=0.2609; semantic=0.7777; sequence_match=0.4138,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.6
CEL ASCII format,Format,semantic+sequence_match+levenshtein,jaro_winkler=0.4127; levenshtein=0.4286; semantic=0.7473; sequence_match=0.6000,False,0.592,False,top-3 avg score 0.5920 < final_threshold 0.6
Open source software license,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5048; levenshtein=0.2800; semantic=0.8238; sequence_match=0.4375,False,0.5887,False,top-3 avg score 0.5887 < final_threshold 0.6
CEL ASCII format,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5759; levenshtein=0.3529; semantic=0.6696; sequence_match=0.5161,False,0.5872,False,top-3 avg score 0.5872 < final_threshold 0.6
Not Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7302; levenshtein=0.4167; semantic=0.5026; sequence_match=0.5263,False,0.5864,False,top-3 avg score 0.5864 < final_threshold 0.6
data format specification,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8348; levenshtein=0.1739; semantic=0.6226; sequence_match=0.2963,False,0.5846,False,top-3 avg score 0.5846 < final_threshold 0.6
Development status,Open Source Development,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5045; levenshtein=0.2381; semantic=0.6691; sequence_match=0.5789,False,0.5842,False,top-3 avg score 0.5842 < final_threshold 0.6
data format specification,Algorithm Modification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6394; levenshtein=0.5217; semantic=0.4483; sequence_match=0.5909,False,0.584,False,top-3 avg score 0.5840 < final_threshold 0.6
plain text file format,Open Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5275; levenshtein=0.3684; semantic=0.6669; sequence_match=0.5517,False,0.5821,False,top-3 avg score 0.5821 < final_threshold 0.6
algorithm,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.2222; semantic=0.5765; sequence_match=0.4706,False,0.5805,False,top-3 avg score 0.5805 < final_threshold 0.6
Development status,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6120; levenshtein=0.3529; semantic=0.5881; sequence_match=0.5333,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
CEL binary format,Format,semantic+sequence_match+levenshtein,jaro_winkler=0.3222; levenshtein=0.4000; semantic=0.7461; sequence_match=0.5714,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.6
CEL ASCII format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.4286; semantic=0.4402; sequence_match=0.5455,False,0.5706,False,top-3 avg score 0.5706 < final_threshold 0.6
data format specification,Proprietary Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6037; levenshtein=0.1739; semantic=0.7034; sequence_match=0.4000,False,0.569,False,top-3 avg score 0.5690 < final_threshold 0.6
plain text file format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6294; levenshtein=0.4211; semantic=0.4779; sequence_match=0.5926,False,0.5666,False,top-3 avg score 0.5666 < final_threshold 0.6
CEL binary format,Cel File,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6159; levenshtein=0.2667; semantic=0.7187; sequence_match=0.3636,False,0.5661,False,top-3 avg score 0.5661 < final_threshold 0.6
data item,Maintained,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6417; levenshtein=0.5000; semantic=0.4577; sequence_match=0.5556,False,0.5657,False,top-3 avg score 0.5657 < final_threshold 0.6
Maintained,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.2308; semantic=0.5701; sequence_match=0.5217,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.6
CEL ASCII format,Cel File,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.6899; sequence_match=0.3810,False,0.5649,False,top-3 avg score 0.5649 < final_threshold 0.6
version number,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.2308; semantic=0.5455; sequence_match=0.4800,False,0.5617,False,top-3 avg score 0.5617 < final_threshold 0.6
data format specification,Data Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6897; levenshtein=0.2609; semantic=0.5684; sequence_match=0.4242,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.6
file rendering,XML Editing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.4615; semantic=0.5416; sequence_match=0.5217,False,0.5555,False,top-3 avg score 0.5555 < final_threshold 0.6
version number,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.6230; sequence_match=0.4545,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.6
web service,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.5539; sequence_match=0.4545,False,0.551,False,top-3 avg score 0.5510 < final_threshold 0.6
plain text file format,Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4795; levenshtein=0.3158; semantic=0.6921; sequence_match=0.4800,False,0.5506,False,top-3 avg score 0.5506 < final_threshold 0.6
Maintained,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3000; semantic=0.5377; sequence_match=0.4286,False,0.5499,False,top-3 avg score 0.5499 < final_threshold 0.6
data format specification,Open Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5909; levenshtein=0.2609; semantic=0.6942; sequence_match=0.3636,False,0.5496,False,top-3 avg score 0.5496 < final_threshold 0.6
data item,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5297; sequence_match=0.4706,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.6
Open source software license,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.3600; semantic=0.5787; sequence_match=0.4865,False,0.5476,False,top-3 avg score 0.5476 < final_threshold 0.6
file rendering,Cel File,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5663; levenshtein=0.1538; semantic=0.6765; sequence_match=0.4000,False,0.5476,False,top-3 avg score 0.5476 < final_threshold 0.6
software developer role,Development Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5810; levenshtein=0.3333; semantic=0.5583; sequence_match=0.5000,False,0.5464,False,top-3 avg score 0.5464 < final_threshold 0.6
software interface,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6735; levenshtein=0.3529; semantic=0.5936; sequence_match=0.3704,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.6
software developer organization,Community Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5602; levenshtein=0.3103; semantic=0.5841; sequence_match=0.4898,False,0.5447,False,top-3 avg score 0.5447 < final_threshold 0.6
CEL binary format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.4469; sequence_match=0.5217,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.6
Open source software license,Open Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6793; levenshtein=0.2800; semantic=0.5459; sequence_match=0.4000,False,0.5417,False,top-3 avg score 0.5417 < final_threshold 0.6
plain text file format,Cel File,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6132; levenshtein=0.2632; semantic=0.6267; sequence_match=0.3846,False,0.5415,False,top-3 avg score 0.5415 < final_threshold 0.6
software,Download Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.2857; semantic=0.5946; sequence_match=0.3636,False,0.5396,False,top-3 avg score 0.5396 < final_threshold 0.6
Source code available,Download Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5574; levenshtein=0.2105; semantic=0.6929; sequence_match=0.3636,False,0.538,False,top-3 avg score 0.5380 < final_threshold 0.6
data format specification,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6347; levenshtein=0.3478; semantic=0.5902; sequence_match=0.3889,False,0.5379,False,top-3 avg score 0.5379 < final_threshold 0.6
software developer organization,Development Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5527; levenshtein=0.3103; semantic=0.6000; sequence_match=0.4545,False,0.5357,False,top-3 avg score 0.5357 < final_threshold 0.6
application programming interface,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6526; levenshtein=0.2258; semantic=0.5917; sequence_match=0.3590,False,0.5344,False,top-3 avg score 0.5344 < final_threshold 0.6
algorithm,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.2000; semantic=0.5659; sequence_match=0.4211,False,0.5339,False,top-3 avg score 0.5339 < final_threshold 0.6
Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.4306; sequence_match=0.5000,False,0.5324,False,top-3 avg score 0.5324 < final_threshold 0.6
Not Free,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5913; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.6
PROcess,Help Resource,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5770; levenshtein=0.2500; semantic=0.4866; sequence_match=0.5263,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.6
data item,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6261; levenshtein=0.2308; semantic=0.5605; sequence_match=0.3810,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.6
data item,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.4889; sequence_match=0.4444,False,0.5222,False,top-3 avg score 0.5222 < final_threshold 0.6
algorithm,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2222; semantic=0.5525; sequence_match=0.4000,False,0.5212,False,top-3 avg score 0.5212 < final_threshold 0.6
Free,Requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.4889; sequence_match=0.4000,False,0.521,False,top-3 avg score 0.5210 < final_threshold 0.6
Development status,Requirement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6328; levenshtein=0.2941; semantic=0.4998; sequence_match=0.4286,False,0.5204,False,top-3 avg score 0.5204 < final_threshold 0.6
function,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5557; sequence_match=0.4000,False,0.519,False,top-3 avg score 0.5190 < final_threshold 0.6
plain text file format,Data Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5737; levenshtein=0.3158; semantic=0.4985; sequence_match=0.4828,False,0.5183,False,top-3 avg score 0.5183 < final_threshold 0.6
application programming interface,Algorithm Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6644; levenshtein=0.2258; semantic=0.5389; sequence_match=0.3462,False,0.5165,False,top-3 avg score 0.5165 < final_threshold 0.6
licence,Cel File,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.1429; semantic=0.4852; sequence_match=0.4286,False,0.5149,False,top-3 avg score 0.5149 < final_threshold 0.6
Source code available,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5307; levenshtein=0.1579; semantic=0.6447; sequence_match=0.3684,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.6
Source code available,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5709; levenshtein=0.1579; semantic=0.5828; sequence_match=0.3871,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.6
PROcess,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.4911; sequence_match=0.4286,False,0.5129,False,top-3 avg score 0.5129 < final_threshold 0.6
Not Free,Open Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6048; levenshtein=0.2000; semantic=0.5795; sequence_match=0.3529,False,0.5124,False,top-3 avg score 0.5124 < final_threshold 0.6
desktop graphical user interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2069; semantic=0.6407; sequence_match=0.3158,False,0.5114,False,top-3 avg score 0.5114 < final_threshold 0.6
function,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.5361; sequence_match=0.4444,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.6
Open source software license,Download Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5714; levenshtein=0.2800; semantic=0.5486; sequence_match=0.4103,False,0.5101,False,top-3 avg score 0.5101 < final_threshold 0.6
Not Free,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5361; levenshtein=0.2353; semantic=0.5761; sequence_match=0.4167,False,0.5096,False,top-3 avg score 0.5096 < final_threshold 0.6
software developer role,Community Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5254; levenshtein=0.3333; semantic=0.5146; sequence_match=0.4878,False,0.5093,False,top-3 avg score 0.5093 < final_threshold 0.6
desktop graphical user interface,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6023; levenshtein=0.2069; semantic=0.5650; sequence_match=0.3590,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
licence,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6028; levenshtein=0.2941; semantic=0.5030; sequence_match=0.4167,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.6
software interface,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6291; levenshtein=0.2941; semantic=0.5482; sequence_match=0.3448,False,0.5074,False,top-3 avg score 0.5074 < final_threshold 0.6
web service,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6087; levenshtein=0.3529; semantic=0.4670; sequence_match=0.4444,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.6
algorithm,Data Export,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.1000; semantic=0.5632; sequence_match=0.4211,False,0.5052,False,top-3 avg score 0.5052 < final_threshold 0.6
Purchase cost,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6487; levenshtein=0.2941; semantic=0.4530; sequence_match=0.4138,False,0.5052,False,top-3 avg score 0.5052 < final_threshold 0.6
software interface,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5381; levenshtein=0.1176; semantic=0.5060; sequence_match=0.4706,False,0.5049,False,top-3 avg score 0.5049 < final_threshold 0.6
Open source software license,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3200; semantic=0.4677; sequence_match=0.4324,False,0.5038,False,top-3 avg score 0.5038 < final_threshold 0.6
desktop graphical user interface,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6935; levenshtein=0.2414; semantic=0.5244; sequence_match=0.2927,False,0.5035,False,top-3 avg score 0.5035 < final_threshold 0.6
Source code available,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4729; levenshtein=0.2105; semantic=0.6775; sequence_match=0.3571,False,0.5025,False,top-3 avg score 0.5025 < final_threshold 0.6
file rendering,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5663; levenshtein=0.3077; semantic=0.5395; sequence_match=0.4000,False,0.5019,False,top-3 avg score 0.5019 < final_threshold 0.6
web service,Download Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2143; semantic=0.4693; sequence_match=0.4167,False,0.5017,False,top-3 avg score 0.5017 < final_threshold 0.6
programming language,Proprietary Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2632; semantic=0.5228; sequence_match=0.3889,False,0.5002,False,top-3 avg score 0.5002 < final_threshold 0.6
Free,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.4886; sequence_match=0.4000,False,0.4999,False,top-3 avg score 0.4999 < final_threshold 0.6
application programming interface,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6323; levenshtein=0.1935; semantic=0.6159; sequence_match=0.2500,False,0.4994,False,top-3 avg score 0.4994 < final_threshold 0.6
web service,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5519; levenshtein=0.2000; semantic=0.6284; sequence_match=0.3158,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.6
software,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5781; sequence_match=0.3333,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.6
CEL ASCII format,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.4943; sequence_match=0.3810,False,0.4981,False,top-3 avg score 0.4981 < final_threshold 0.6
data format specification,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6703; levenshtein=0.2174; semantic=0.4351; sequence_match=0.3871,False,0.4975,False,top-3 avg score 0.4975 < final_threshold 0.6
algorithm,Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5235; sequence_match=0.4211,False,0.4963,False,top-3 avg score 0.4963 < final_threshold 0.6
Maintained,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5830; levenshtein=0.2105; semantic=0.4897; sequence_match=0.4138,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.6
programming language,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5830; levenshtein=0.2105; semantic=0.4897; sequence_match=0.4138,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.6
Maintained,Data Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1000; semantic=0.4859; sequence_match=0.4000,False,0.4953,False,top-3 avg score 0.4953 < final_threshold 0.6
web service,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.5589; sequence_match=0.3529,False,0.4952,False,top-3 avg score 0.4952 < final_threshold 0.6
Maintained,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1000; semantic=0.5072; sequence_match=0.3750,False,0.4941,False,top-3 avg score 0.4941 < final_threshold 0.6
Source code available,Export Capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.2105; semantic=0.5139; sequence_match=0.4000,False,0.4938,False,top-3 avg score 0.4938 < final_threshold 0.6
Maintained,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5494; sequence_match=0.3529,False,0.4929,False,top-3 avg score 0.4929 < final_threshold 0.6
desktop graphical user interface,Development Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6133; levenshtein=0.2759; semantic=0.5001; sequence_match=0.3636,False,0.4924,False,top-3 avg score 0.4924 < final_threshold 0.6
text editing,Data Export,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5879; levenshtein=0.0909; semantic=0.5081; sequence_match=0.3810,False,0.4923,False,top-3 avg score 0.4923 < final_threshold 0.6
desktop graphical user interface,Programming Language,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5707; levenshtein=0.3103; semantic=0.5867; sequence_match=0.2917,False,0.4892,False,top-3 avg score 0.4892 < final_threshold 0.6
Development status,Open Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5611; levenshtein=0.2941; semantic=0.4613; sequence_match=0.4444,False,0.489,False,top-3 avg score 0.4890 < final_threshold 0.6
Not Free,Maintained,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5369; sequence_match=0.3529,False,0.4887,False,top-3 avg score 0.4887 < final_threshold 0.6
.csv,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4921; levenshtein=0.2857; semantic=0.5733; sequence_match=0.4000,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
text editing,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5579; levenshtein=0.2308; semantic=0.5737; sequence_match=0.3333,False,0.4883,False,top-3 avg score 0.4883 < final_threshold 0.6
web service,License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5347; sequence_match=0.3529,False,0.488,False,top-3 avg score 0.4880 < final_threshold 0.6
