gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
software,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,True,selected
version number,Tool Version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5821; levenshtein=0.2308; semantic=0.8552; sequence_match=0.5833,False,0.6735,False,gold already mapped to 'Version Feature Usage'
version number,Tool Version Export,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6295; levenshtein=0.4118; semantic=0.6942; sequence_match=0.6000,False,0.6412,False,gold already mapped to 'Version Feature Usage'
application programming interface,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.4194; semantic=0.7137; sequence_match=0.5200,False,0.6246,False,pred already taken by 'programming language' (higher averaged score)
software developer organization,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6220; levenshtein=0.3103; semantic=0.7488; sequence_match=0.4737,False,0.6148,False,pred already taken by 'software developer role' (higher averaged score)
software,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.3750; semantic=0.5712; sequence_match=0.5333,False,0.6059,False,gold already mapped to 'Software Type'
software developer organization,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6927; levenshtein=0.3448; semantic=0.6220; sequence_match=0.4878,False,0.6009,False,pred already taken by 'software' (higher averaged score)
data format specification,Format Category,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6031; levenshtein=0.3478; semantic=0.6377; sequence_match=0.5405,False,0.5938,False,top-3 avg score 0.5938 < final_threshold 0.6
data format specification,Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5870; levenshtein=0.2609; semantic=0.7777; sequence_match=0.4138,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.6
CEL ASCII format,Format,semantic+sequence_match+levenshtein,jaro_winkler=0.4127; levenshtein=0.4286; semantic=0.7473; sequence_match=0.6000,False,0.592,False,top-3 avg score 0.5920 < final_threshold 0.6
Not Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7302; levenshtein=0.4167; semantic=0.5026; sequence_match=0.5263,False,0.5864,False,top-3 avg score 0.5864 < final_threshold 0.6
data format specification,Dataset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8323; levenshtein=0.3043; semantic=0.5915; sequence_match=0.3333,False,0.5857,False,top-3 avg score 0.5857 < final_threshold 0.6
software developer role,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.5767; sequence_match=0.5405,False,0.584,False,top-3 avg score 0.5840 < final_threshold 0.6
algorithm,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.2222; semantic=0.5765; sequence_match=0.4706,False,0.5805,False,top-3 avg score 0.5805 < final_threshold 0.6
CEL binary format,Format,semantic+sequence_match+levenshtein,jaro_winkler=0.3222; levenshtein=0.4000; semantic=0.7461; sequence_match=0.5714,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.6
CEL ASCII format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.4286; semantic=0.4402; sequence_match=0.5455,False,0.5706,False,top-3 avg score 0.5706 < final_threshold 0.6
plain text file format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6294; levenshtein=0.4211; semantic=0.4779; sequence_match=0.5926,False,0.5666,False,top-3 avg score 0.5666 < final_threshold 0.6
version number,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.2308; semantic=0.5455; sequence_match=0.4800,False,0.5617,False,top-3 avg score 0.5617 < final_threshold 0.6
Maintained,Dataset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.5550; sequence_match=0.4706,False,0.5609,False,top-3 avg score 0.5609 < final_threshold 0.6
Free,Feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.5216; sequence_match=0.5455,False,0.5541,False,top-3 avg score 0.5541 < final_threshold 0.6
version number,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.6230; sequence_match=0.4545,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.6
web service,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.5539; sequence_match=0.4545,False,0.551,False,top-3 avg score 0.5510 < final_threshold 0.6
plain text file format,Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4795; levenshtein=0.3158; semantic=0.6921; sequence_match=0.4800,False,0.5506,False,top-3 avg score 0.5506 < final_threshold 0.6
data item,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5297; sequence_match=0.4706,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.6
Open source software license,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.3600; semantic=0.5787; sequence_match=0.4865,False,0.5476,False,top-3 avg score 0.5476 < final_threshold 0.6
Open source software license,License Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5991; levenshtein=0.2000; semantic=0.6532; sequence_match=0.3889,False,0.5471,False,top-3 avg score 0.5471 < final_threshold 0.6
software interface,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6735; levenshtein=0.3529; semantic=0.5936; sequence_match=0.3704,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.6
CEL binary format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.4469; sequence_match=0.5217,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.6
CEL ASCII format,Collaborator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6944; levenshtein=0.2857; semantic=0.3954; sequence_match=0.5385,False,0.5428,False,top-3 avg score 0.5428 < final_threshold 0.6
Not Free,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5689; sequence_match=0.4286,False,0.5388,False,top-3 avg score 0.5388 < final_threshold 0.6
function,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3077; semantic=0.5273; sequence_match=0.4762,False,0.5356,False,top-3 avg score 0.5356 < final_threshold 0.6
application programming interface,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6526; levenshtein=0.2258; semantic=0.5917; sequence_match=0.3590,False,0.5344,False,top-3 avg score 0.5344 < final_threshold 0.6
algorithm,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.2000; semantic=0.5659; sequence_match=0.4211,False,0.5339,False,top-3 avg score 0.5339 < final_threshold 0.6
data item,Tool Data Task Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5064; levenshtein=0.2353; semantic=0.6122; sequence_match=0.4800,False,0.5329,False,top-3 avg score 0.5329 < final_threshold 0.6
Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.4306; sequence_match=0.5000,False,0.5324,False,top-3 avg score 0.5324 < final_threshold 0.6
Not Free,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5913; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.6
software developer role,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5920; levenshtein=0.0833; semantic=0.5545; sequence_match=0.4444,False,0.5303,False,top-3 avg score 0.5303 < final_threshold 0.6
licence,Publication,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.5787; sequence_match=0.4444,False,0.5301,False,top-3 avg score 0.5301 < final_threshold 0.6
PROcess,Help Resource,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5770; levenshtein=0.2500; semantic=0.4866; sequence_match=0.5263,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.6
software interface,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6811; levenshtein=0.2941; semantic=0.5751; sequence_match=0.3333,False,0.5299,False,top-3 avg score 0.5299 < final_threshold 0.6
software developer organization,Development Activity Level,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5807; levenshtein=0.2069; semantic=0.5935; sequence_match=0.4151,False,0.5298,False,top-3 avg score 0.5298 < final_threshold 0.6
programming language,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6135; levenshtein=0.2632; semantic=0.6093; sequence_match=0.3636,False,0.5288,False,top-3 avg score 0.5288 < final_threshold 0.6
CEL binary format,Collaborator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6722; levenshtein=0.3333; semantic=0.3939; sequence_match=0.5185,False,0.5282,False,top-3 avg score 0.5282 < final_threshold 0.6
software,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6049; levenshtein=0.3158; semantic=0.5316; sequence_match=0.4444,False,0.527,False,top-3 avg score 0.5270 < final_threshold 0.6
CEL binary format,Format Category,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5766; levenshtein=0.1333; semantic=0.5895; sequence_match=0.4138,False,0.5266,False,top-3 avg score 0.5266 < final_threshold 0.6
Development status,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6208; levenshtein=0.2632; semantic=0.5127; sequence_match=0.4444,False,0.526,False,top-3 avg score 0.5260 < final_threshold 0.6
application programming interface,Publication,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6288; levenshtein=0.2581; semantic=0.5111; sequence_match=0.4286,False,0.5228,False,top-3 avg score 0.5228 < final_threshold 0.6
algorithm,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2222; semantic=0.5525; sequence_match=0.4000,False,0.5212,False,top-3 avg score 0.5212 < final_threshold 0.6
software developer organization,Development Model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5546; levenshtein=0.2759; semantic=0.6060; sequence_match=0.4000,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
software interface,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6625; levenshtein=0.2105; semantic=0.4942; sequence_match=0.3889,False,0.5152,False,top-3 avg score 0.5152 < final_threshold 0.6
data item,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5434; sequence_match=0.4000,False,0.5149,False,top-3 avg score 0.5149 < final_threshold 0.6
Source code available,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5307; levenshtein=0.1579; semantic=0.6447; sequence_match=0.3684,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.6
Purchase cost,Dataset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.4854; sequence_match=0.4211,False,0.5138,False,top-3 avg score 0.5138 < final_threshold 0.6
Source code available,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5709; levenshtein=0.1579; semantic=0.5828; sequence_match=0.3871,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.6
software developer organization,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5714; levenshtein=0.3103; semantic=0.5396; sequence_match=0.4286,False,0.5132,False,top-3 avg score 0.5132 < final_threshold 0.6
desktop graphical user interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2069; semantic=0.6407; sequence_match=0.3158,False,0.5114,False,top-3 avg score 0.5114 < final_threshold 0.6
desktop graphical user interface,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6023; levenshtein=0.2069; semantic=0.5650; sequence_match=0.3590,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
data item,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5595; levenshtein=0.2857; semantic=0.5118; sequence_match=0.4545,False,0.5086,False,top-3 avg score 0.5086 < final_threshold 0.6
Purchase cost,Publication,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.2500; semantic=0.4637; sequence_match=0.4348,False,0.5083,False,top-3 avg score 0.5083 < final_threshold 0.6
software interface,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6291; levenshtein=0.2941; semantic=0.5482; sequence_match=0.3448,False,0.5074,False,top-3 avg score 0.5074 < final_threshold 0.6
desktop graphical user interface,Dataset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5769; levenshtein=0.2069; semantic=0.6102; sequence_match=0.3333,False,0.5068,False,top-3 avg score 0.5068 < final_threshold 0.6
CEL ASCII format,Collaboration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6456; levenshtein=0.2143; semantic=0.3531; sequence_match=0.5185,False,0.5058,False,top-3 avg score 0.5058 < final_threshold 0.6
CEL binary format,Collaboration,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6530; levenshtein=0.2667; semantic=0.3604; sequence_match=0.5000,False,0.5045,False,top-3 avg score 0.5045 < final_threshold 0.6
algorithm,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.3333; semantic=0.5402; sequence_match=0.3810,False,0.504,False,top-3 avg score 0.5040 < final_threshold 0.6
Open source software license,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3200; semantic=0.4677; sequence_match=0.4324,False,0.5038,False,top-3 avg score 0.5038 < final_threshold 0.6
desktop graphical user interface,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6935; levenshtein=0.2414; semantic=0.5244; sequence_match=0.2927,False,0.5035,False,top-3 avg score 0.5035 < final_threshold 0.6
Source code available,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4729; levenshtein=0.2105; semantic=0.6775; sequence_match=0.3571,False,0.5025,False,top-3 avg score 0.5025 < final_threshold 0.6
Free,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.4886; sequence_match=0.4000,False,0.4999,False,top-3 avg score 0.4999 < final_threshold 0.6
application programming interface,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6323; levenshtein=0.1935; semantic=0.6159; sequence_match=0.2500,False,0.4994,False,top-3 avg score 0.4994 < final_threshold 0.6
file rendering,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.2308; semantic=0.4703; sequence_match=0.4000,False,0.4989,False,top-3 avg score 0.4989 < final_threshold 0.6
web service,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5519; levenshtein=0.2000; semantic=0.6284; sequence_match=0.3158,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.6
desktop graphical user interface,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6252; levenshtein=0.2414; semantic=0.4911; sequence_match=0.3774,False,0.4979,False,top-3 avg score 0.4979 < final_threshold 0.6
data format specification,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6703; levenshtein=0.2174; semantic=0.4351; sequence_match=0.3871,False,0.4975,False,top-3 avg score 0.4975 < final_threshold 0.6
Maintained,Programming Language,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5830; levenshtein=0.2105; semantic=0.4897; sequence_match=0.4138,False,0.4955,False,top-3 avg score 0.4955 < final_threshold 0.6
Maintained,Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.1000; semantic=0.5072; sequence_match=0.3750,False,0.4941,False,top-3 avg score 0.4941 < final_threshold 0.6
Not Free,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6466; levenshtein=0.2632; semantic=0.4502; sequence_match=0.3846,False,0.4938,False,top-3 avg score 0.4938 < final_threshold 0.6
algorithm,Collaboration,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.3077; semantic=0.5170; sequence_match=0.3636,False,0.493,False,top-3 avg score 0.4930 < final_threshold 0.6
software,Dataset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.6023; sequence_match=0.2667,False,0.4901,False,top-3 avg score 0.4901 < final_threshold 0.6
CEL ASCII format,Format Category,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4524; levenshtein=0.1429; semantic=0.5887; sequence_match=0.4286,False,0.4899,False,top-3 avg score 0.4899 < final_threshold 0.6
desktop graphical user interface,Programming Language,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5707; levenshtein=0.3103; semantic=0.5867; sequence_match=0.2917,False,0.4892,False,top-3 avg score 0.4892 < final_threshold 0.6
application programming interface,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6226; levenshtein=0.2258; semantic=0.5774; sequence_match=0.2667,False,0.4889,False,top-3 avg score 0.4889 < final_threshold 0.6
Free,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.2500; semantic=0.5298; sequence_match=0.3750,False,0.4868,False,top-3 avg score 0.4868 < final_threshold 0.6
algorithm,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.6418; sequence_match=0.3333,False,0.4855,False,top-3 avg score 0.4855 < final_threshold 0.6
Maintained,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5762; levenshtein=0.2000; semantic=0.5211; sequence_match=0.3529,False,0.4834,False,top-3 avg score 0.4834 < final_threshold 0.6
XML,Tool,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.6329; sequence_match=0.2857,False,0.4821,False,top-3 avg score 0.4821 < final_threshold 0.6
Maintained,Format Category,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6190; levenshtein=0.2143; semantic=0.4091; sequence_match=0.4167,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.6
file rendering,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.2308; semantic=0.5919; sequence_match=0.2727,False,0.4816,False,top-3 avg score 0.4816 < final_threshold 0.6
software developer organization,Collaborator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5757; levenshtein=0.2414; semantic=0.5248; sequence_match=0.3415,False,0.4806,False,top-3 avg score 0.4806 < final_threshold 0.6
software,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5689; sequence_match=0.4000,False,0.4804,False,top-3 avg score 0.4804 < final_threshold 0.6
Free,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6548; levenshtein=0.2143; semantic=0.4529; sequence_match=0.3333,False,0.4803,False,top-3 avg score 0.4803 < final_threshold 0.6
software,Platform,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.6076; sequence_match=0.2500,False,0.4803,False,top-3 avg score 0.4803 < final_threshold 0.6
data item,Development Activity Level,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5794; levenshtein=0.2500; semantic=0.4840; sequence_match=0.3750,False,0.4795,False,top-3 avg score 0.4795 < final_threshold 0.6
text editing,Dataset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.1818; semantic=0.5365; sequence_match=0.3333,False,0.479,False,top-3 avg score 0.4790 < final_threshold 0.6
version number,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5615; levenshtein=0.2308; semantic=0.5270; sequence_match=0.3478,False,0.4788,False,top-3 avg score 0.4788 < final_threshold 0.6
version number,Feature,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5430; levenshtein=0.2308; semantic=0.5913; sequence_match=0.3000,False,0.4781,False,top-3 avg score 0.4781 < final_threshold 0.6
function,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5379; levenshtein=0.2727; semantic=0.4747; sequence_match=0.4211,False,0.4779,False,top-3 avg score 0.4779 < final_threshold 0.6
data format specification,Publication,jaro_winkler+sequence_match+semantic,jaro_winkler=0.4910; levenshtein=0.3478; semantic=0.4691; sequence_match=0.4706,False,0.4769,False,top-3 avg score 0.4769 < final_threshold 0.6
software developer organization,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4904; levenshtein=0.1724; semantic=0.6057; sequence_match=0.3333,False,0.4765,False,top-3 avg score 0.4765 < final_threshold 0.6
.csv,Web Service,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6222; levenshtein=0.2000; semantic=0.6064; sequence_match=0.1538,False,0.4762,False,top-3 avg score 0.4762 < final_threshold 0.6
CEL ASCII format,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5767; levenshtein=0.1429; semantic=0.5020; sequence_match=0.3478,False,0.4755,False,top-3 avg score 0.4755 < final_threshold 0.6
version number,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5692; levenshtein=0.2308; semantic=0.5093; sequence_match=0.3478,False,0.4755,False,top-3 avg score 0.4755 < final_threshold 0.6
software developer organization,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6513; levenshtein=0.2414; semantic=0.4249; sequence_match=0.3500,False,0.4754,False,top-3 avg score 0.4754 < final_threshold 0.6
desktop graphical user interface,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5502; levenshtein=0.2414; semantic=0.5201; sequence_match=0.3556,False,0.4753,False,top-3 avg score 0.4753 < final_threshold 0.6
text editing,Tool Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5758; levenshtein=0.1818; semantic=0.4844; sequence_match=0.3636,False,0.4746,False,top-3 avg score 0.4746 < final_threshold 0.6
Maintained,Valid Input,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5167; levenshtein=0.2000; semantic=0.5069; sequence_match=0.4000,False,0.4745,False,top-3 avg score 0.4745 < final_threshold 0.6
Free,Version Feature Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6535; levenshtein=0.2105; semantic=0.4207; sequence_match=0.3478,False,0.474,False,top-3 avg score 0.4740 < final_threshold 0.6
Purchase cost,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5794; levenshtein=0.0833; semantic=0.4254; sequence_match=0.4167,False,0.4738,False,top-3 avg score 0.4738 < final_threshold 0.6
programming language,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5497; levenshtein=0.1579; semantic=0.5480; sequence_match=0.3226,False,0.4734,False,top-3 avg score 0.4734 < final_threshold 0.6
programming language,Tool Data Task Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.3158; semantic=0.4825; sequence_match=0.3889,False,0.4729,False,top-3 avg score 0.4729 < final_threshold 0.6
software,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6151; levenshtein=0.2857; semantic=0.4399; sequence_match=0.3636,False,0.4729,False,top-3 avg score 0.4729 < final_threshold 0.6
software interface,Format Category,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6130; levenshtein=0.2353; semantic=0.4173; sequence_match=0.3871,False,0.4724,False,top-3 avg score 0.4724 < final_threshold 0.6
.csv,Task,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.6038; sequence_match=0.2857,False,0.4724,False,top-3 avg score 0.4724 < final_threshold 0.6
plain text file format,Tool Version Export,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5382; levenshtein=0.2105; semantic=0.4344; sequence_match=0.4444,False,0.4723,False,top-3 avg score 0.4723 < final_threshold 0.6
software developer role,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6587; levenshtein=0.1905; semantic=0.4712; sequence_match=0.2857,False,0.4719,False,top-3 avg score 0.4719 < final_threshold 0.6
Development status,Help Resource,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5874; levenshtein=0.2941; semantic=0.5338; sequence_match=0.2759,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
Not Free,Dataset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.2857; semantic=0.6050; sequence_match=0.2857,False,0.4715,False,top-3 avg score 0.4715 < final_threshold 0.6
data item,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.4516; sequence_match=0.3750,False,0.47,False,top-3 avg score 0.4700 < final_threshold 0.6
