role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,consequence,hasconsequence,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.9272; sequence_match=0.8800,False,0.8917,True,selected
property,target,hasright,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7222; levenshtein=0.5000; semantic=0.5325; sequence_match=0.1429,False,0.5849,False,top-3 avg score 0.5849 < final_threshold 0.6
property,hasoperator,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6627; sequence_match=0.4444,False,0.5840,False,top-3 avg score 0.5840 < final_threshold 0.6
property,assignee,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5612; sequence_match=0.5000,False,0.5759,False,top-3 avg score 0.5759 < final_threshold 0.6
property,assigner,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5481; sequence_match=0.5000,False,0.5716,False,top-3 avg score 0.5716 < final_threshold 0.6
property,haspermission,hascomponent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6774; levenshtein=0.3077; semantic=0.5442; sequence_match=0.4800,False,0.5672,False,top-3 avg score 0.5672 < final_threshold 0.6
property,hasprohibition,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6456; levenshtein=0.3571; semantic=0.6812; sequence_match=0.3704,False,0.5657,False,top-3 avg score 0.5657 < final_threshold 0.6
property,hasprohibition,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6964; sequence_match=0.3810,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.6
property,scope,istypeof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3750; semantic=0.5692; sequence_match=0.4615,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,hasduty,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6626; sequence_match=0.4000,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,hasconstraint,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6626; sequence_match=0.4000,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,failure,activateduponfailureof,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5011; levenshtein=0.3182; semantic=0.6961; sequence_match=0.4828,False,0.5600,False,top-3 avg score 0.5600 < final_threshold 0.6
property,hasprohibition,hascomponent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6627; levenshtein=0.2857; semantic=0.5513; sequence_match=0.4615,False,0.5585,False,top-3 avg score 0.5585 < final_threshold 0.6
property,target,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5684; sequence_match=0.4615,False,0.5576,False,top-3 avg score 0.5576 < final_threshold 0.6
property,hasconstraint,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6386; sequence_match=0.4000,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
property,handlepolicyconflicts,linkstopolicy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6151; levenshtein=0.2857; semantic=0.6418; sequence_match=0.4118,False,0.5562,False,top-3 avg score 0.5562 < final_threshold 0.6
property,hasduty,specifiesduty,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4066; levenshtein=0.3846; semantic=0.7587; sequence_match=0.5000,False,0.5551,False,top-3 avg score 0.5551 < final_threshold 0.6
property,hasconstraint,hasright,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.6576; sequence_match=0.3810,False,0.5485,False,top-3 avg score 0.5485 < final_threshold 0.6
property,scope,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6278; levenshtein=0.3333; semantic=0.5453; sequence_match=0.4706,False,0.5479,False,top-3 avg score 0.5479 < final_threshold 0.6
property,haspermission,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6078; sequence_match=0.4000,False,0.5469,False,top-3 avg score 0.5469 < final_threshold 0.6
property,scope,hasconsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6952; levenshtein=0.2857; semantic=0.5229; sequence_match=0.4211,False,0.5464,False,top-3 avg score 0.5464 < final_threshold 0.6
property,hasoperator,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6328; levenshtein=0.3158; semantic=0.5379; sequence_match=0.4667,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.6
property,haspermission,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6447; levenshtein=0.3077; semantic=0.6044; sequence_match=0.3846,False,0.5446,False,top-3 avg score 0.5446 < final_threshold 0.6
property,hasduty,hasconsequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6318; sequence_match=0.3810,False,0.5439,False,top-3 avg score 0.5439 < final_threshold 0.6
property,hasaction,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5349; sequence_match=0.4286,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.6
property,partof,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5235; sequence_match=0.4615,False,0.5426,False,top-3 avg score 0.5426 < final_threshold 0.6
property,assigner,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5430; sequence_match=0.4762,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
property,haspermission,violatesprohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.3684; semantic=0.5423; sequence_match=0.5000,False,0.5387,False,top-3 avg score 0.5387 < final_threshold 0.6
property,haspermission,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6479; levenshtein=0.3158; semantic=0.5181; sequence_match=0.4375,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.6
property,hasoperator,ispartyto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.5216; sequence_match=0.4000,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.6
property,hasaction,satisfiesconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6202; levenshtein=0.2632; semantic=0.5540; sequence_match=0.4286,False,0.5342,False,top-3 avg score 0.5342 < final_threshold 0.6
property,hasconstraint,isconsequenceof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6205; levenshtein=0.3333; semantic=0.5525; sequence_match=0.4286,False,0.5339,False,top-3 avg score 0.5339 < final_threshold 0.6
property,obligation,violatesprohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5942; levenshtein=0.3158; semantic=0.5182; sequence_match=0.4828,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.6
property,hasduty,hascomponent,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5595; levenshtein=0.2500; semantic=0.6098; sequence_match=0.4211,False,0.5301,False,top-3 avg score 0.5301 < final_threshold 0.6
property,scope,isconsequenceof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.2667; semantic=0.4982; sequence_match=0.4000,False,0.5290,False,top-3 avg score 0.5290 < final_threshold 0.6
property,inheritsfrom,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.3333; semantic=0.5632; sequence_match=0.4000,False,0.5257,False,top-3 avg score 0.5257 < final_threshold 0.6
property,assignee,hasconsequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4514; sequence_match=0.4545,False,0.5255,False,top-3 avg score 0.5255 < final_threshold 0.6
property,assignee,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5679; sequence_match=0.4000,False,0.5230,False,top-3 avg score 0.5230 < final_threshold 0.6
property,partof,istypeof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.5139; sequence_match=0.4286,False,0.5225,False,top-3 avg score 0.5225 < final_threshold 0.6
property,inheritrelation,islinkedtoasset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.1333; semantic=0.5391; sequence_match=0.4000,False,0.5204,False,top-3 avg score 0.5204 < final_threshold 0.6
property,hasaction,activateduponfailureof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.1364; semantic=0.5696; sequence_match=0.3871,False,0.5200,False,top-3 avg score 0.5200 < final_threshold 0.6
property,failure,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2857; semantic=0.4959; sequence_match=0.4286,False,0.5185,False,top-3 avg score 0.5185 < final_threshold 0.6
property,hasduty,ispartyto,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.5896; sequence_match=0.3750,False,0.5177,False,top-3 avg score 0.5177 < final_threshold 0.6
property,target,ispartyto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5368; sequence_match=0.4000,False,0.5160,False,top-3 avg score 0.5160 < final_threshold 0.6
property,hasduty,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5925; levenshtein=0.2632; semantic=0.5675; sequence_match=0.3846,False,0.5149,False,top-3 avg score 0.5149 < final_threshold 0.6
property,targetpolicy,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.2500; semantic=0.4765; sequence_match=0.4211,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.6
property,and,hasduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.4884; sequence_match=0.4000,False,0.5131,False,top-3 avg score 0.5131 < final_threshold 0.6
property,scope,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5131; levenshtein=0.2727; semantic=0.6485; sequence_match=0.3750,False,0.5122,False,top-3 avg score 0.5122 < final_threshold 0.6
property,target,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.4818; sequence_match=0.4286,False,0.5118,False,top-3 avg score 0.5118 < final_threshold 0.6
property,handlepolicyconflicts,hascomponent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7625; levenshtein=0.2857; semantic=0.4065; sequence_match=0.3636,False,0.5109,False,top-3 avg score 0.5109 < final_threshold 0.6
property,assigner,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5282; sequence_match=0.4000,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.6
property,assigner,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5993; sequence_match=0.4000,False,0.5090,False,top-3 avg score 0.5090 < final_threshold 0.6
property,relation,satisfiesconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5775; levenshtein=0.1579; semantic=0.5778; sequence_match=0.3704,False,0.5086,False,top-3 avg score 0.5086 < final_threshold 0.6
property,handlepolicyconflicts,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6100; levenshtein=0.2857; semantic=0.4656; sequence_match=0.4500,False,0.5085,False,top-3 avg score 0.5085 < final_threshold 0.6
property,remedy,expressedvia,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.3333; semantic=0.4976; sequence_match=0.4444,False,0.5085,False,top-3 avg score 0.5085 < final_threshold 0.6
property,assigner,satisfiesconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6049; levenshtein=0.2632; semantic=0.5499; sequence_match=0.3704,False,0.5084,False,top-3 avg score 0.5084 < final_threshold 0.6
property,haspermission,satisfiesconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6109; levenshtein=0.2632; semantic=0.5373; sequence_match=0.3750,False,0.5077,False,top-3 avg score 0.5077 < final_threshold 0.6
property,assignee,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5277; sequence_match=0.4762,False,0.5077,False,top-3 avg score 0.5077 < final_threshold 0.6
property,scope,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5764; sequence_match=0.3333,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.6
property,failure,isexclusive,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5617; levenshtein=0.2727; semantic=0.5130; sequence_match=0.4444,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.6
property,hasoperator,hasconsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6039; levenshtein=0.3571; semantic=0.5137; sequence_match=0.4000,False,0.5059,False,top-3 avg score 0.5059 < final_threshold 0.6
property,hasduty,istypeof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.0000; semantic=0.5138; sequence_match=0.4000,False,0.5050,False,top-3 avg score 0.5050 < final_threshold 0.6
property,hasprohibition,hasconsequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.5861; sequence_match=0.3571,False,0.5049,False,top-3 avg score 0.5049 < final_threshold 0.6
property,hasprohibition,ispartyto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2857; semantic=0.5787; sequence_match=0.3478,False,0.5046,False,top-3 avg score 0.5046 < final_threshold 0.6
property,handlepolicyconflicts,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2381; semantic=0.4766; sequence_match=0.4118,False,0.5040,False,top-3 avg score 0.5040 < final_threshold 0.6
property,scope,specifiesduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6192; levenshtein=0.2308; semantic=0.5579; sequence_match=0.3333,False,0.5035,False,top-3 avg score 0.5035 < final_threshold 0.6
property,targetpolicy,ispartyto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6918; levenshtein=0.1667; semantic=0.4329; sequence_match=0.3810,False,0.5019,False,top-3 avg score 0.5019 < final_threshold 0.6
property,operand,hascomponent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.2500; semantic=0.5329; sequence_match=0.4211,False,0.5018,False,top-3 avg score 0.5018 < final_threshold 0.6
property,relation,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5463; sequence_match=0.3750,False,0.5016,False,top-3 avg score 0.5016 < final_threshold 0.6
property,inheritrelation,violatesprohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6495; levenshtein=0.3158; semantic=0.4408; sequence_match=0.4118,False,0.5007,False,top-3 avg score 0.5007 < final_threshold 0.6
property,assignee,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5379; levenshtein=0.1818; semantic=0.5422; sequence_match=0.4211,False,0.5004,False,top-3 avg score 0.5004 < final_threshold 0.6
property,inheritsfrom,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.2500; semantic=0.5226; sequence_match=0.4211,False,0.4984,False,top-3 avg score 0.4984 < final_threshold 0.6
property,handlepolicyconflicts,specifiesconflictresolutionstrategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5938; levenshtein=0.2286; semantic=0.5081; sequence_match=0.3929,False,0.4983,False,top-3 avg score 0.4983 < final_threshold 0.6
property,assigner,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2632; semantic=0.4882; sequence_match=0.3704,False,0.4972,False,top-3 avg score 0.4972 < final_threshold 0.6
property,scope,linkstopolicy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5477; sequence_match=0.3333,False,0.4971,False,top-3 avg score 0.4971 < final_threshold 0.6
property,inheritsfrom,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.1667; semantic=0.5428; sequence_match=0.4000,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.6
property,hasprohibition,hasnestedconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5276; levenshtein=0.2632; semantic=0.5966; sequence_match=0.3636,False,0.4959,False,top-3 avg score 0.4959 < final_threshold 0.6
property,hasoperator,containsconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5322; levenshtein=0.2778; semantic=0.5417; sequence_match=0.4138,False,0.4959,False,top-3 avg score 0.4959 < final_threshold 0.6
property,assigner,hascomponent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.4756; sequence_match=0.4000,False,0.4956,False,top-3 avg score 0.4956 < final_threshold 0.6
property,onlyone,hascomponent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.2500; semantic=0.4283; sequence_match=0.4211,False,0.4947,False,top-3 avg score 0.4947 < final_threshold 0.6
property,inheritrelation,ispartyto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.4379; sequence_match=0.4167,False,0.4947,False,top-3 avg score 0.4947 < final_threshold 0.6
property,assignee,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2105; semantic=0.4795; sequence_match=0.3704,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.6
property,assignee,hascomponent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.4677; sequence_match=0.4000,False,0.4929,False,top-3 avg score 0.4929 < final_threshold 0.6
property,inheritsfrom,islinkedtoasset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.2000; semantic=0.5175; sequence_match=0.3704,False,0.4920,False,top-3 avg score 0.4920 < final_threshold 0.6
property,assigner,hasconsequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.4269; sequence_match=0.4545,False,0.4918,False,top-3 avg score 0.4918 < final_threshold 0.6
property,hasoperator,ispartof,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.5985; levenshtein=0.4545; semantic=0.4027; sequence_match=0.4211,False,0.4914,False,top-3 avg score 0.4914 < final_threshold 0.6
property,hasconstraint,usesoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.2308; semantic=0.5304; sequence_match=0.4000,False,0.4910,False,top-3 avg score 0.4910 < final_threshold 0.6
property,remedy,specifiesduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5769; levenshtein=0.3077; semantic=0.4749; sequence_match=0.4211,False,0.4910,False,top-3 avg score 0.4910 < final_threshold 0.6
property,relation,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.2500; semantic=0.5426; sequence_match=0.4000,False,0.4901,False,top-3 avg score 0.4901 < final_threshold 0.6
property,haspermission,ispartyto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.5256; sequence_match=0.3636,False,0.4898,False,top-3 avg score 0.4898 < final_threshold 0.6
property,obligation,satisfiesconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5830; levenshtein=0.1579; semantic=0.5374; sequence_match=0.3448,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
property,haspermission,hasconsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5745; levenshtein=0.2143; semantic=0.5176; sequence_match=0.3704,False,0.4875,False,top-3 avg score 0.4875 < final_threshold 0.6
property,hasconstraint,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.1538; semantic=0.5713; sequence_match=0.3333,False,0.4872,False,top-3 avg score 0.4872 < final_threshold 0.6
property,onlyone,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2857; semantic=0.5090; sequence_match=0.4286,False,0.4871,False,top-3 avg score 0.4871 < final_threshold 0.6
