gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Achievement,Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Game,Game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Item,Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Player,Player,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
playing area,Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
in-app purchase event,In App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9444; levenshtein=0.7222; semantic=0.8778; sequence_match=0.8387,False,0.887,True,selected
Completion,Play Session,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7152; levenshtein=0.3636; semantic=0.4730; sequence_match=0.5714,False,0.5865,False,top-3 avg score 0.5865 < final_threshold 0.6
Item,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6722; levenshtein=0.2667; semantic=0.6651; sequence_match=0.4211,False,0.5861,False,top-3 avg score 0.5861 < final_threshold 0.6
hard mode,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.3750; semantic=0.6585; sequence_match=0.5000,False,0.5806,False,top-3 avg score 0.5806 < final_threshold 0.6
playing area,Player Equipment In Game,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6748; levenshtein=0.3810; semantic=0.4826; sequence_match=0.5625,False,0.5733,False,top-3 avg score 0.5733 < final_threshold 0.6
Curiosity,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5456; sequence_match=0.5000,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.6
Completion,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.2273; semantic=0.6593; sequence_match=0.3750,False,0.5713,False,top-3 avg score 0.5713 < final_threshold 0.6
in-app purchase event,Achievement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6616; levenshtein=0.3889; semantic=0.4966; sequence_match=0.5517,False,0.57,False,top-3 avg score 0.5700 < final_threshold 0.6
Virtuosity,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.6588; sequence_match=0.4706,False,0.5677,False,top-3 avg score 0.5677 < final_threshold 0.6
special play style,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6486; levenshtein=0.2500; semantic=0.5981; sequence_match=0.4545,False,0.5671,False,top-3 avg score 0.5671 < final_threshold 0.6
Genre,Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6180; sequence_match=0.4444,False,0.5653,False,top-3 avg score 0.5653 < final_threshold 0.6
Game,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.6
Player,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6809; sequence_match=0.4000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.6
Game,Player Game Stats,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2667; semantic=0.6696; sequence_match=0.4211,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.6
in-app purchase event,Time Achievement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7074; levenshtein=0.3333; semantic=0.3999; sequence_match=0.5455,False,0.5509,False,top-3 avg score 0.5509 < final_threshold 0.6
Achievement,Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.5751; sequence_match=0.4000,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
Item,Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.5751; sequence_match=0.4000,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
playing area,Player Item Usage,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6702; levenshtein=0.4000; semantic=0.4339; sequence_match=0.5385,False,0.5475,False,top-3 avg score 0.5475 < final_threshold 0.6
Leaderboard,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.2727; semantic=0.5688; sequence_match=0.4706,False,0.5443,False,top-3 avg score 0.5443 < final_threshold 0.6
Completion,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.7289; sequence_match=0.3810,False,0.5427,False,top-3 avg score 0.5427 < final_threshold 0.6
Achievement,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6667; sequence_match=0.4000,False,0.5424,False,top-3 avg score 0.5424 < final_threshold 0.6
Game,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6667; sequence_match=0.4000,False,0.5424,False,top-3 avg score 0.5424 < final_threshold 0.6
in-app purchase event,Exploration Achievement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6857; levenshtein=0.3182; semantic=0.4263; sequence_match=0.5000,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.6
special play style,Play Session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5758; levenshtein=0.1875; semantic=0.5914; sequence_match=0.4444,False,0.5372,False,top-3 avg score 0.5372 < final_threshold 0.6
Paragon,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.2727; semantic=0.4772; sequence_match=0.4444,False,0.526,False,top-3 avg score 0.5260 < final_threshold 0.6
in-app purchase event,Score Achievement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7056; levenshtein=0.3333; semantic=0.4008; sequence_match=0.4706,False,0.5257,False,top-3 avg score 0.5257 < final_threshold 0.6
Collection,Play Session,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6515; levenshtein=0.3636; semantic=0.4470; sequence_match=0.4762,False,0.5249,False,top-3 avg score 0.5249 < final_threshold 0.6
Paragon,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.2857; semantic=0.5729; sequence_match=0.4615,False,0.5247,False,top-3 avg score 0.5247 < final_threshold 0.6
Paragon,Play Session,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.4842; sequence_match=0.4444,False,0.5246,False,top-3 avg score 0.5246 < final_threshold 0.6
Completion,Score Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6042; levenshtein=0.2500; semantic=0.5731; sequence_match=0.3846,False,0.5206,False,top-3 avg score 0.5206 < final_threshold 0.6
Loyalty,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5130; sequence_match=0.4286,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
special play style,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6306; levenshtein=0.1250; semantic=0.5377; sequence_match=0.3871,False,0.5184,False,top-3 avg score 0.5184 < final_threshold 0.6
Veteran,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.6508; sequence_match=0.3333,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.6
special play style,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5960; levenshtein=0.1875; semantic=0.5625; sequence_match=0.3704,False,0.5096,False,top-3 avg score 0.5096 < final_threshold 0.6
special play style,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6097; levenshtein=0.1875; semantic=0.5291; sequence_match=0.3871,False,0.5087,False,top-3 avg score 0.5087 < final_threshold 0.6
Game,Player Equipment In Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5198; levenshtein=0.1905; semantic=0.6821; sequence_match=0.3200,False,0.5073,False,top-3 avg score 0.5073 < final_threshold 0.6
Paragon,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6544; levenshtein=0.2273; semantic=0.5191; sequence_match=0.3448,False,0.5061,False,top-3 avg score 0.5061 < final_threshold 0.6
Collection,Score Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3125; semantic=0.4619; sequence_match=0.3846,False,0.5016,False,top-3 avg score 0.5016 < final_threshold 0.6
Completion,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.2000; semantic=0.5281; sequence_match=0.3750,False,0.501,False,top-3 avg score 0.5010 < final_threshold 0.6
Achievement,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.2857; semantic=0.4614; sequence_match=0.3750,False,0.4992,False,top-3 avg score 0.4992 < final_threshold 0.6
game product,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6058; levenshtein=0.2000; semantic=0.4933; sequence_match=0.3846,False,0.4946,False,top-3 avg score 0.4946 < final_threshold 0.6
Leaderboard,Player Game Stats,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5374; levenshtein=0.2667; semantic=0.5598; sequence_match=0.3846,False,0.4939,False,top-3 avg score 0.4939 < final_threshold 0.6
Virtuosity,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.2667; semantic=0.4533; sequence_match=0.4000,False,0.4934,False,top-3 avg score 0.4934 < final_threshold 0.6
Paragon,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5429; levenshtein=0.2667; semantic=0.4733; sequence_match=0.4545,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.6
playing area,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5303; levenshtein=0.2727; semantic=0.5140; sequence_match=0.4242,False,0.4895,False,top-3 avg score 0.4895 < final_threshold 0.6
Paragon,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6159; levenshtein=0.2667; semantic=0.4875; sequence_match=0.3636,False,0.489,False,top-3 avg score 0.4890 < final_threshold 0.6
Completion,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5667; levenshtein=0.2000; semantic=0.6128; sequence_match=0.2857,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
Game,Playing Area,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.2727; semantic=0.6169; sequence_match=0.4000,False,0.488,False,top-3 avg score 0.4880 < final_threshold 0.6
playing area,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.2727; semantic=0.6169; sequence_match=0.4000,False,0.488,False,top-3 avg score 0.4880 < final_threshold 0.6
Fandom,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.5910; sequence_match=0.4000,False,0.4877,False,top-3 avg score 0.4877 < final_threshold 0.6
Achievement,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4892; levenshtein=0.1818; semantic=0.6355; sequence_match=0.3333,False,0.486,False,top-3 avg score 0.4860 < final_threshold 0.6
Game,Play Session,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5606; levenshtein=0.1818; semantic=0.6303; sequence_match=0.2667,False,0.4859,False,top-3 avg score 0.4859 < final_threshold 0.6
Character,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.3333; semantic=0.5504; sequence_match=0.4000,False,0.4835,False,top-3 avg score 0.4835 < final_threshold 0.6
game product,Player Equipment In Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5613; levenshtein=0.1905; semantic=0.6357; sequence_match=0.2500,False,0.4823,False,top-3 avg score 0.4823 < final_threshold 0.6
Feature,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5238; levenshtein=0.0000; semantic=0.6330; sequence_match=0.2857,False,0.4808,False,top-3 avg score 0.4808 < final_threshold 0.6
special play style,Player IAP Summary,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6500; levenshtein=0.1250; semantic=0.4154; sequence_match=0.3750,False,0.4801,False,top-3 avg score 0.4801 < final_threshold 0.6
Leaderboard,Player IAP Summary,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5846; levenshtein=0.3125; semantic=0.4074; sequence_match=0.4444,False,0.4788,False,top-3 avg score 0.4788 < final_threshold 0.6
game product,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.1818; semantic=0.4812; sequence_match=0.3529,False,0.4758,False,top-3 avg score 0.4758 < final_threshold 0.6
Completion,Time Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2000; semantic=0.6297; sequence_match=0.2400,False,0.4751,False,top-3 avg score 0.4751 < final_threshold 0.6
Collection,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5962; levenshtein=0.2273; semantic=0.5143; sequence_match=0.3125,False,0.4743,False,top-3 avg score 0.4743 < final_threshold 0.6
Character,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5367; levenshtein=0.2727; semantic=0.5848; sequence_match=0.3000,False,0.4738,False,top-3 avg score 0.4738 < final_threshold 0.6
Veteran,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5397; levenshtein=0.1429; semantic=0.5739; sequence_match=0.3077,False,0.4738,False,top-3 avg score 0.4738 < final_threshold 0.6
Achievement,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5582; levenshtein=0.2000; semantic=0.4746; sequence_match=0.3846,False,0.4725,False,top-3 avg score 0.4725 < final_threshold 0.6
in-app purchase event,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.1667; semantic=0.5004; sequence_match=0.3636,False,0.472,False,top-3 avg score 0.4720 < final_threshold 0.6
Curiosity,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.0909; semantic=0.5802; sequence_match=0.3000,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
in-app purchase event,Player IAP Summary,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5764; levenshtein=0.1667; semantic=0.5357; sequence_match=0.2941,False,0.4687,False,top-3 avg score 0.4687 < final_threshold 0.6
Achievement,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5293; levenshtein=0.2667; semantic=0.4903; sequence_match=0.3846,False,0.4681,False,top-3 avg score 0.4681 < final_threshold 0.6
special play style,Ability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5423; levenshtein=0.2500; semantic=0.5126; sequence_match=0.3478,False,0.4676,False,top-3 avg score 0.4676 < final_threshold 0.6
Paragon,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.1905; semantic=0.5233; sequence_match=0.2857,False,0.4654,False,top-3 avg score 0.4654 < final_threshold 0.6
Collection,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.5918; sequence_match=0.2857,False,0.4652,False,top-3 avg score 0.4652 < final_threshold 0.6
Virtuosity,Item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5667; levenshtein=0.2000; semantic=0.5426; sequence_match=0.2857,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.6
hard mode,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4545; levenshtein=0.1818; semantic=0.6231; sequence_match=0.3158,False,0.4645,False,top-3 avg score 0.4645 < final_threshold 0.6
playing area,In App Purchase,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5821; levenshtein=0.1538; semantic=0.3944; sequence_match=0.4167,False,0.4644,False,top-3 avg score 0.4644 < final_threshold 0.6
Feature,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5805; levenshtein=0.1364; semantic=0.5341; sequence_match=0.2759,False,0.4635,False,top-3 avg score 0.4635 < final_threshold 0.6
Feature,In App Purchase,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5531; levenshtein=0.3077; semantic=0.4262; sequence_match=0.4000,False,0.4598,False,top-3 avg score 0.4598 < final_threshold 0.6
Veteran,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5492; levenshtein=0.2667; semantic=0.4637; sequence_match=0.3636,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.6
Loyalty,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5844; levenshtein=0.1364; semantic=0.5160; sequence_match=0.2759,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.6
game product,Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5152; levenshtein=0.0909; semantic=0.4968; sequence_match=0.3636,False,0.4585,False,top-3 avg score 0.4585 < final_threshold 0.6
Curiosity,Exploration Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4609; levenshtein=0.1818; semantic=0.5906; sequence_match=0.3226,False,0.4581,False,top-3 avg score 0.4581 < final_threshold 0.6
special play style,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.1429; semantic=0.4827; sequence_match=0.3243,False,0.458,False,top-3 avg score 0.4580 < final_threshold 0.6
Item,Time Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2000; semantic=0.4669; sequence_match=0.3158,False,0.4572,False,top-3 avg score 0.4572 < final_threshold 0.6
Item,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.5424; sequence_match=0.3636,False,0.4568,False,top-3 avg score 0.4568 < final_threshold 0.6
Session,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5294; levenshtein=0.2667; semantic=0.4753; sequence_match=0.3636,False,0.4561,False,top-3 avg score 0.4561 < final_threshold 0.6
Veteran,Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.2857; semantic=0.5726; sequence_match=0.3636,False,0.4549,False,top-3 avg score 0.4549 < final_threshold 0.6
Feature,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.2857; semantic=0.5233; sequence_match=0.3077,False,0.4543,False,top-3 avg score 0.4543 < final_threshold 0.6
Game,Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.0000; semantic=0.6111; sequence_match=0.2500,False,0.4537,False,top-3 avg score 0.4537 < final_threshold 0.6
Item,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.0000; semantic=0.6111; sequence_match=0.2500,False,0.4537,False,top-3 avg score 0.4537 < final_threshold 0.6
Player,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5535; levenshtein=0.1818; semantic=0.5188; sequence_match=0.2857,False,0.4527,False,top-3 avg score 0.4527 < final_threshold 0.6
hard mode,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.0000; semantic=0.5571; sequence_match=0.2857,False,0.4522,False,top-3 avg score 0.4522 < final_threshold 0.6
Veteran,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5805; levenshtein=0.1364; semantic=0.5670; sequence_match=0.2069,False,0.4515,False,top-3 avg score 0.4515 < final_threshold 0.6
special play style,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5461; levenshtein=0.1818; semantic=0.4861; sequence_match=0.3158,False,0.4493,False,top-3 avg score 0.4493 < final_threshold 0.6
Loyalty,Player,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5317; levenshtein=0.1429; semantic=0.5078; sequence_match=0.3077,False,0.4491,False,top-3 avg score 0.4491 < final_threshold 0.6
Completion,Playing Area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.0000; semantic=0.4754; sequence_match=0.2857,False,0.4486,False,top-3 avg score 0.4486 < final_threshold 0.6
Character,Ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5921; sequence_match=0.2500,False,0.4482,False,top-3 avg score 0.4482 < final_threshold 0.6
Session,Score Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5238; levenshtein=0.2500; semantic=0.4724; sequence_match=0.3478,False,0.448,False,top-3 avg score 0.4480 < final_threshold 0.6
Tutorial,Exploration Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5631; levenshtein=0.1818; semantic=0.5083; sequence_match=0.2667,False,0.446,False,top-3 avg score 0.4460 < final_threshold 0.6
Leaderboard,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5374; levenshtein=0.2667; semantic=0.4160; sequence_match=0.3846,False,0.446,False,top-3 avg score 0.4460 < final_threshold 0.6
Feature,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5857; levenshtein=0.2667; semantic=0.4748; sequence_match=0.2727,False,0.4444,False,top-3 avg score 0.4444 < final_threshold 0.6
Paragon,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.6865; sequence_match=0.1818,False,0.4442,False,top-3 avg score 0.4442 < final_threshold 0.6
hard mode,Player Game Stats,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5056; levenshtein=0.2000; semantic=0.4727; sequence_match=0.3478,False,0.442,False,top-3 avg score 0.4420 < final_threshold 0.6
Genre,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5273; levenshtein=0.1818; semantic=0.5442; sequence_match=0.2500,False,0.4405,False,top-3 avg score 0.4405 < final_threshold 0.6
Achievement,Player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.0909; semantic=0.5810; sequence_match=0.2353,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.6
Player,Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5051; levenshtein=0.0909; semantic=0.5810; sequence_match=0.2353,False,0.4404,False,top-3 avg score 0.4404 < final_threshold 0.6
Item,Player Equipment In Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5198; levenshtein=0.1429; semantic=0.5600; sequence_match=0.2400,False,0.44,False,top-3 avg score 0.4400 < final_threshold 0.6
Item,First IAP Context,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.4592; sequence_match=0.3158,False,0.4398,False,top-3 avg score 0.4398 < final_threshold 0.6
hard mode,Player Item Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5056; levenshtein=0.2667; semantic=0.4621; sequence_match=0.3478,False,0.4385,False,top-3 avg score 0.4385 < final_threshold 0.6
Character,Game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.2222; semantic=0.5540; sequence_match=0.3077,False,0.4385,False,top-3 avg score 0.4385 < final_threshold 0.6
Completion,Player Equipment In Game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5349; levenshtein=0.1905; semantic=0.3924; sequence_match=0.3871,False,0.4381,False,top-3 avg score 0.4381 < final_threshold 0.6
Game,Player Item Usage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5584; sequence_match=0.2105,False,0.4378,False,top-3 avg score 0.4378 < final_threshold 0.6
Feature,Playing Area,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.4734; sequence_match=0.2222,False,0.4378,False,top-3 avg score 0.4378 < final_threshold 0.6
