role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasbody,hasbody,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,haswinedescriptor,producedinregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5862; levenshtein=0.2353; semantic=0.3714; sequence_match=0.3030,False,0.4202,False,top-3 avg score 0.4202 < final_threshold 0.6
property,hasvintageyear,usedtomake,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4786; levenshtein=0.2143; semantic=0.5561; sequence_match=0.1667,False,0.4163,False,top-3 avg score 0.4163 < final_threshold 0.6
property,madefromgrape,hascharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4680; sequence_match=0.2667,False,0.4092,False,top-3 avg score 0.4092 < final_threshold 0.6
property,madefromgrape,hasbody,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.5089; sequence_match=0.2000,False,0.3836,False,top-3 avg score 0.3836 < final_threshold 0.6
property,yearvalue,producedinregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4815; levenshtein=0.1250; semantic=0.4235; sequence_match=0.2400,False,0.3817,False,top-3 avg score 0.3817 < final_threshold 0.6
property,madefromgrape,hasquality,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4513; levenshtein=0.0769; semantic=0.5174; sequence_match=0.1739,False,0.3809,False,top-3 avg score 0.3809 < final_threshold 0.6
property,madefromgrape,producedinregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5158; levenshtein=0.1250; semantic=0.4123; sequence_match=0.2069,False,0.3783,False,top-3 avg score 0.3783 < final_threshold 0.6
property,madefromgrape,hasbouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.5551; sequence_match=0.1739,False,0.3761,False,top-3 avg score 0.3761 < final_threshold 0.6
property,hasbody,usedtomake,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.1000; semantic=0.5371; sequence_match=0.1176,False,0.3733,False,top-3 avg score 0.3733 < final_threshold 0.6
property,yearvalue,haswinetype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4680; levenshtein=0.0909; semantic=0.4478; sequence_match=0.2000,False,0.3719,False,top-3 avg score 0.3719 < final_threshold 0.6
property,hasvintageyear,producedinregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4901; levenshtein=0.0625; semantic=0.4142; sequence_match=0.2000,False,0.3681,False,top-3 avg score 0.3681 < final_threshold 0.6
property,hasbody,producedinregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4702; levenshtein=0.0625; semantic=0.3692; sequence_match=0.1739,False,0.3378,False,top-3 avg score 0.3378 < final_threshold 0.6
property,yearvalue,hasbody,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.4626; sequence_match=0.1250,False,0.3352,False,top-3 avg score 0.3352 < final_threshold 0.6
