role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasachievement,hasachievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasitem,hasitem,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,releasedate,releasedate,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,livesin,livesin,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasplayingarea,hasplayingarea,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,username,hasusername,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9063; sequence_match=0.8421,False,0.8581,True,selected
property,hasplayingarea,hasdoneiap,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7950; levenshtein=0.3571; semantic=0.6230; sequence_match=0.3333,False,0.5917,False,top-3 avg score 0.5917 < final_threshold 0.6
property,hasitem,hasreceived,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6563; levenshtein=0.4545; semantic=0.5593; sequence_match=0.5556,False,0.5904,False,top-3 avg score 0.5904 < final_threshold 0.6
property,username,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.2500; semantic=0.5355; sequence_match=0.5000,False,0.5729,False,top-3 avg score 0.5729 < final_threshold 0.6
property,hasachievement,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.3571; semantic=0.5979; sequence_match=0.4545,False,0.5711,False,top-3 avg score 0.5711 < final_threshold 0.6
property,hasgamegenre,hasplayingarea,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.5014; sequence_match=0.5385,False,0.5675,False,top-3 avg score 0.5675 < final_threshold 0.6
property,ownsachievement,hasreceived,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6949; levenshtein=0.2667; semantic=0.6105; sequence_match=0.3846,False,0.5634,False,top-3 avg score 0.5634 < final_threshold 0.6
property,hasplayingarea,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.6039; sequence_match=0.4348,False,0.5605,False,top-3 avg score 0.5605 < final_threshold 0.6
property,hasplayingarea,played,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5675; levenshtein=0.3571; semantic=0.6127; sequence_match=0.5000,False,0.5601,False,top-3 avg score 0.5601 < final_threshold 0.6
property,hasachievement,hasplayingarea,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6322; sequence_match=0.4286,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.6
property,hasplayingarea,hasachievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6322; sequence_match=0.4286,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.6
property,hasitem,hasplayingarea,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5779; sequence_match=0.4762,False,0.5577,False,top-3 avg score 0.5577 < final_threshold 0.6
property,hasplayingarea,hasitem,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.3571; semantic=0.5779; sequence_match=0.4762,False,0.5577,False,top-3 avg score 0.5577 < final_threshold 0.6
property,hasplayingarea,plays,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6524; levenshtein=0.2857; semantic=0.5983; sequence_match=0.4211,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
property,hasplayingarea,hasusername,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6645; levenshtein=0.4286; semantic=0.5763; sequence_match=0.4000,False,0.5564,False,top-3 avg score 0.5564 < final_threshold 0.6
property,ownsitem,obtains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6464; levenshtein=0.2500; semantic=0.6181; sequence_match=0.4000,False,0.5548,False,top-3 avg score 0.5548 < final_threshold 0.6
property,hasachievement,hasdoneiap,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6206; levenshtein=0.2857; semantic=0.7088; sequence_match=0.3333,False,0.5543,False,top-3 avg score 0.5543 < final_threshold 0.6
property,hasachievement,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6502; sequence_match=0.3810,False,0.5501,False,top-3 avg score 0.5501 < final_threshold 0.6
property,playsgame,hasusername,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.5464; sequence_match=0.5000,False,0.5499,False,top-3 avg score 0.5499 < final_threshold 0.6
property,hasgamegenre,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6574; levenshtein=0.4167; semantic=0.5125; sequence_match=0.4762,False,0.5487,False,top-3 avg score 0.5487 < final_threshold 0.6
property,releasedate,hasreceived,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6623; levenshtein=0.1818; semantic=0.5245; sequence_match=0.4545,False,0.5471,False,top-3 avg score 0.5471 < final_threshold 0.6
property,hasgamegenre,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.5803; sequence_match=0.4211,False,0.5454,False,top-3 avg score 0.5454 < final_threshold 0.6
property,ownsachievement,hasitem,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6968; levenshtein=0.2667; semantic=0.5701; sequence_match=0.3636,False,0.5435,False,top-3 avg score 0.5435 < final_threshold 0.6
property,releasedate,haspurchasetime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6058; levenshtein=0.2667; semantic=0.5496; sequence_match=0.4615,False,0.5390,False,top-3 avg score 0.5390 < final_threshold 0.6
property,playsgame,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.4959; sequence_match=0.4706,False,0.5382,False,top-3 avg score 0.5382 < final_threshold 0.6
property,purchasesgameoffering,hasusername,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7284; levenshtein=0.2381; semantic=0.4486; sequence_match=0.4375,False,0.5382,False,top-3 avg score 0.5382 < final_threshold 0.6
property,hasachievement,livesin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.6067; sequence_match=0.3810,False,0.5372,False,top-3 avg score 0.5372 < final_threshold 0.6
property,livesin,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2857; semantic=0.6067; sequence_match=0.3810,False,0.5372,False,top-3 avg score 0.5372 < final_threshold 0.6
property,ownsitem,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.6089; sequence_match=0.4000,False,0.5367,False,top-3 avg score 0.5367 < final_threshold 0.6
property,playsgame,releasedate,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.4986; sequence_match=0.5000,False,0.5340,False,top-3 avg score 0.5340 < final_threshold 0.6
property,hasgamegenre,hasitem,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.5345; sequence_match=0.4211,False,0.5331,False,top-3 avg score 0.5331 < final_threshold 0.6
property,username,releasedate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.2727; semantic=0.5499; sequence_match=0.4211,False,0.5325,False,top-3 avg score 0.5325 < final_threshold 0.6
property,livesin,makesiap,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5902; sequence_match=0.4000,False,0.5304,False,top-3 avg score 0.5304 < final_threshold 0.6
property,releasedate,played,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5934; levenshtein=0.3636; semantic=0.5271; sequence_match=0.4706,False,0.5304,False,top-3 avg score 0.5304 < final_threshold 0.6
property,playsgame,ispaying,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5935; levenshtein=0.1111; semantic=0.5198; sequence_match=0.4706,False,0.5280,False,top-3 avg score 0.5280 < final_threshold 0.6
property,ownsitem,hasachievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2143; semantic=0.6229; sequence_match=0.3636,False,0.5273,False,top-3 avg score 0.5273 < final_threshold 0.6
property,username,hasfriend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.6469; sequence_match=0.3529,False,0.5216,False,top-3 avg score 0.5216 < final_threshold 0.6
property,username,hasitem,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.5607; sequence_match=0.4000,False,0.5206,False,top-3 avg score 0.5206 < final_threshold 0.6
property,livesin,hasfriend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.5974; sequence_match=0.3750,False,0.5204,False,top-3 avg score 0.5204 < final_threshold 0.6
property,playsgame,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.5532; sequence_match=0.4348,False,0.5196,False,top-3 avg score 0.5196 < final_threshold 0.6
property,hasitem,makesiap,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5415; sequence_match=0.4000,False,0.5162,False,top-3 avg score 0.5162 < final_threshold 0.6
property,hasitem,haspurchasetime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6127; levenshtein=0.3333; semantic=0.4703; sequence_match=0.4545,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.6
property,hasplayingarea,haspurchasetime,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6183; levenshtein=0.2667; semantic=0.4365; sequence_match=0.4828,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.6
property,hasgamegenre,hasreceived,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6818; levenshtein=0.4167; semantic=0.4135; sequence_match=0.4348,False,0.5111,False,top-3 avg score 0.5111 < final_threshold 0.6
property,ownsachievement,obtains,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5492; levenshtein=0.2667; semantic=0.7106; sequence_match=0.2727,False,0.5108,False,top-3 avg score 0.5108 < final_threshold 0.6
property,ownsachievement,haspurchasetime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.2000; semantic=0.4904; sequence_match=0.4000,False,0.5042,False,top-3 avg score 0.5042 < final_threshold 0.6
property,username,hasachievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5274; levenshtein=0.2143; semantic=0.6211; sequence_match=0.3636,False,0.5040,False,top-3 avg score 0.5040 < final_threshold 0.6
property,eventtime,hasusername,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.5055; sequence_match=0.4000,False,0.5027,False,top-3 avg score 0.5027 < final_threshold 0.6
property,ownsachievement,hasusername,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5582; levenshtein=0.2000; semantic=0.6419; sequence_match=0.3077,False,0.5026,False,top-3 avg score 0.5026 < final_threshold 0.6
property,username,hasreceived,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.2727; semantic=0.5638; sequence_match=0.3158,False,0.5020,False,top-3 avg score 0.5020 < final_threshold 0.6
property,hasgamegenre,hasdoneiap,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.4975; sequence_match=0.3636,False,0.5019,False,top-3 avg score 0.5019 < final_threshold 0.6
property,ownsitem,hasdoneiap,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5750; levenshtein=0.1000; semantic=0.5957; sequence_match=0.3333,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.6
property,purchasesgameoffering,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5968; levenshtein=0.2857; semantic=0.4976; sequence_match=0.4000,False,0.4981,False,top-3 avg score 0.4981 < final_threshold 0.6
property,username,canbeusedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5379; levenshtein=0.0909; semantic=0.5354; sequence_match=0.4211,False,0.4981,False,top-3 avg score 0.4981 < final_threshold 0.6
property,hasachievement,releasedate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6169; levenshtein=0.1429; semantic=0.5503; sequence_match=0.3200,False,0.4957,False,top-3 avg score 0.4957 < final_threshold 0.6
property,releasedate,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6169; levenshtein=0.1429; semantic=0.5503; sequence_match=0.3200,False,0.4957,False,top-3 avg score 0.4957 < final_threshold 0.6
property,releasedate,hasusername,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5030; levenshtein=0.2727; semantic=0.5287; sequence_match=0.4545,False,0.4954,False,top-3 avg score 0.4954 < final_threshold 0.6
property,isfriendwithplayer,played,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.2778; semantic=0.5880; sequence_match=0.4167,False,0.4954,False,top-3 avg score 0.4954 < final_threshold 0.6
property,releasedate,plays,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6242; levenshtein=0.1818; semantic=0.4842; sequence_match=0.3750,False,0.4945,False,top-3 avg score 0.4945 < final_threshold 0.6
property,hasplayingarea,hasreceived,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5372; levenshtein=0.3571; semantic=0.5439; sequence_match=0.4000,False,0.4937,False,top-3 avg score 0.4937 < final_threshold 0.6
property,playsgame,hastype,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5886; levenshtein=0.3333; semantic=0.5544; sequence_match=0.2500,False,0.4921,False,top-3 avg score 0.4921 < final_threshold 0.6
property,username,haspurchasetime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5861; levenshtein=0.3333; semantic=0.4529; sequence_match=0.4348,False,0.4913,False,top-3 avg score 0.4913 < final_threshold 0.6
property,username,hasdoneiap,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.2000; semantic=0.5828; sequence_match=0.3333,False,0.4887,False,top-3 avg score 0.4887 < final_threshold 0.6
property,livesin,canbeusedin,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4784; levenshtein=0.3636; semantic=0.5425; sequence_match=0.4444,False,0.4884,False,top-3 avg score 0.4884 < final_threshold 0.6
property,eventtime,releasedate,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.2727; semantic=0.5434; sequence_match=0.4000,False,0.4876,False,top-3 avg score 0.4876 < final_threshold 0.6
property,hasgamegenre,haspurchasetime,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6357; levenshtein=0.3333; semantic=0.3803; sequence_match=0.4444,False,0.4868,False,top-3 avg score 0.4868 < final_threshold 0.6
property,ownsachievement,hasdoneiap,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5794; levenshtein=0.1333; semantic=0.6385; sequence_match=0.2400,False,0.4860,False,top-3 avg score 0.4860 < final_threshold 0.6
property,releasedate,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5367; levenshtein=0.0909; semantic=0.5149; sequence_match=0.4000,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.6
property,iseventassociatedtoplayer,hasdoneiap,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6233; levenshtein=0.2000; semantic=0.4826; sequence_match=0.3429,False,0.4829,False,top-3 avg score 0.4829 < final_threshold 0.6
property,ownsachievement,hasfriend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5222; levenshtein=0.2667; semantic=0.5914; sequence_match=0.3333,False,0.4823,False,top-3 avg score 0.4823 < final_threshold 0.6
property,hasachievement,makesiap,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.1429; semantic=0.5729; sequence_match=0.2727,False,0.4799,False,top-3 avg score 0.4799 < final_threshold 0.6
property,isfriendwithplayer,ispaying,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.4800; sequence_match=0.3846,False,0.4796,False,top-3 avg score 0.4796 < final_threshold 0.6
property,hasachievement,canbeusedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6169; levenshtein=0.2143; semantic=0.5016; sequence_match=0.3200,False,0.4795,False,top-3 avg score 0.4795 < final_threshold 0.6
property,purchasesgameoffering,hasitem,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.1905; semantic=0.4304; sequence_match=0.3571,False,0.4795,False,top-3 avg score 0.4795 < final_threshold 0.6
property,username,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.1250; semantic=0.6585; sequence_match=0.2667,False,0.4790,False,top-3 avg score 0.4790 < final_threshold 0.6
property,playsgame,hasitem,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.4629; sequence_match=0.3750,False,0.4755,False,top-3 avg score 0.4755 < final_threshold 0.6
property,playsgame,haspurchasetime,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.2667; semantic=0.4277; sequence_match=0.4167,False,0.4740,False,top-3 avg score 0.4740 < final_threshold 0.6
property,releasedate,hasdoneiap,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5182; levenshtein=0.1818; semantic=0.5201; sequence_match=0.3810,False,0.4731,False,top-3 avg score 0.4731 < final_threshold 0.6
property,playsgame,hasfriend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5556; levenshtein=0.1111; semantic=0.5266; sequence_match=0.3333,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.6
property,releasedate,canbeusedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5697; levenshtein=0.2727; semantic=0.4751; sequence_match=0.3636,False,0.4695,False,top-3 avg score 0.4695 < final_threshold 0.6
property,hasgamegenre,releasedate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5707; levenshtein=0.2500; semantic=0.4894; sequence_match=0.3478,False,0.4693,False,top-3 avg score 0.4693 < final_threshold 0.6
property,ownsitem,hasusername,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5492; levenshtein=0.1818; semantic=0.6452; sequence_match=0.2105,False,0.4683,False,top-3 avg score 0.4683 < final_threshold 0.6
property,hasitem,releasedate,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.2727; semantic=0.4997; sequence_match=0.4444,False,0.4667,False,top-3 avg score 0.4667 < final_threshold 0.6
property,releasedate,hasitem,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.2727; semantic=0.4997; sequence_match=0.4444,False,0.4667,False,top-3 avg score 0.4667 < final_threshold 0.6
property,ownsachievement,canbeusedin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6285; levenshtein=0.2000; semantic=0.4639; sequence_match=0.3077,False,0.4667,False,top-3 avg score 0.4667 < final_threshold 0.6
property,releasedate,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.2727; semantic=0.6053; sequence_match=0.3333,False,0.4649,False,top-3 avg score 0.4649 < final_threshold 0.6
property,username,makespurchase,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6032; levenshtein=0.3077; semantic=0.4834; sequence_match=0.2857,False,0.4648,False,top-3 avg score 0.4648 < final_threshold 0.6
property,purchasesgameoffering,hasgenre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6409; levenshtein=0.2857; semantic=0.4082; sequence_match=0.3448,False,0.4646,False,top-3 avg score 0.4646 < final_threshold 0.6
property,eventtime,haspurchasetime,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4037; levenshtein=0.2667; semantic=0.5720; sequence_match=0.4167,False,0.4641,False,top-3 avg score 0.4641 < final_threshold 0.6
property,isfriendwithplayer,livesin,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5974; levenshtein=0.1111; semantic=0.4667; sequence_match=0.3200,False,0.4613,False,top-3 avg score 0.4613 < final_threshold 0.6
property,isfriendwithplayer,releasedate,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5798; levenshtein=0.2222; semantic=0.4562; sequence_match=0.3448,False,0.4603,False,top-3 avg score 0.4603 < final_threshold 0.6
property,ownsachievement,livesin,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4460; levenshtein=0.2667; semantic=0.5709; sequence_match=0.3636,False,0.4602,False,top-3 avg score 0.4602 < final_threshold 0.6
property,livesin,plays,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5619; levenshtein=0.1429; semantic=0.4840; sequence_match=0.3333,False,0.4597,False,top-3 avg score 0.4597 < final_threshold 0.6
property,iseventassociatedtoplayer,hasachievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5904; levenshtein=0.1600; semantic=0.4803; sequence_match=0.3077,False,0.4595,False,top-3 avg score 0.4595 < final_threshold 0.6
property,hasplayingarea,makesiap,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2143; semantic=0.5102; sequence_match=0.2727,False,0.4590,False,top-3 avg score 0.4590 < final_threshold 0.6
