prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has measurement,has measurement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has billing period,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9250; levenshtein=0.6250; semantic=0.8312; sequence_match=0.7692,False,0.8418,True,selected
ObjectProperty,has phenomenon time,has measurement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6675; levenshtein=0.3529; semantic=0.4967; sequence_match=0.5161,False,0.5601,False,top-3 avg score 0.5601 < final_threshold 0.7
ObjectProperty,has period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.6083; sequence_match=0.4444,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has measurement,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.5331; sequence_match=0.4800,False,0.5592,False,top-3 avg score 0.5592 < final_threshold 0.7
ObjectProperty,has period,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5721; sequence_match=0.4286,False,0.5561,False,top-3 avg score 0.5561 < final_threshold 0.7
ObjectProperty,has phenomenon time,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6732; levenshtein=0.3529; semantic=0.5320; sequence_match=0.4615,False,0.5556,False,top-3 avg score 0.5556 < final_threshold 0.7
ObjectProperty,hasGeometry,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.3636; semantic=0.5701; sequence_match=0.4545,False,0.5553,False,top-3 avg score 0.5553 < final_threshold 0.7
ObjectProperty,hasGeometry,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.4743; sequence_match=0.4828,False,0.5519,False,top-3 avg score 0.5519 < final_threshold 0.7
ObjectProperty,has duration,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6515; levenshtein=0.3636; semantic=0.5231; sequence_match=0.4762,False,0.5503,False,top-3 avg score 0.5503 < final_threshold 0.7
ObjectProperty,has period,has geolocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6429; levenshtein=0.4286; semantic=0.4861; sequence_match=0.5217,False,0.5502,False,top-3 avg score 0.5502 < final_threshold 0.7
ObjectProperty,has period,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.4000; semantic=0.6000; sequence_match=0.4211,False,0.5453,False,top-3 avg score 0.5453 < final_threshold 0.7
ObjectProperty,has period,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5576; sequence_match=0.4348,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.7
ObjectProperty,hasGeometry,has physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5730; levenshtein=0.3158; semantic=0.6535; sequence_match=0.4000,False,0.5422,False,top-3 avg score 0.5422 < final_threshold 0.7
ObjectProperty,has measurement,has physical property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6225; levenshtein=0.3684; semantic=0.6223; sequence_match=0.3636,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,has property,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6406; levenshtein=0.3889; semantic=0.4725; sequence_match=0.4828,False,0.5319,False,top-3 avg score 0.5319 < final_threshold 0.7
ObjectProperty,has key performance indicator,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.3462; semantic=0.5470; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.7
ObjectProperty,has property,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6025; levenshtein=0.3571; semantic=0.5892; sequence_match=0.4000,False,0.5305,False,top-3 avg score 0.5305 < final_threshold 0.7
ObjectProperty,has measurement,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5179; sequence_match=0.4348,False,0.5301,False,top-3 avg score 0.5301 < final_threshold 0.7
ObjectProperty,has period,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6866; levenshtein=0.3158; semantic=0.4686; sequence_match=0.4286,False,0.5279,False,top-3 avg score 0.5279 < final_threshold 0.7
ObjectProperty,has measurement,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6685; levenshtein=0.4211; semantic=0.4881; sequence_match=0.4242,False,0.5269,False,top-3 avg score 0.5269 < final_threshold 0.7
ObjectProperty,has billing period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.2778; semantic=0.5210; sequence_match=0.4118,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,hasGeometry,has tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.4708; sequence_match=0.5000,False,0.5245,False,top-3 avg score 0.5245 < final_threshold 0.7
ObjectProperty,has measurement,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5244; sequence_match=0.4286,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,has key performance indicator,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6382; levenshtein=0.3846; semantic=0.4251; sequence_match=0.5000,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,has billing period,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6432; levenshtein=0.3125; semantic=0.5176; sequence_match=0.4000,False,0.5203,False,top-3 avg score 0.5203 < final_threshold 0.7
ObjectProperty,has duration,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.5516; sequence_match=0.4000,False,0.5183,False,top-3 avg score 0.5183 < final_threshold 0.7
ObjectProperty,has phenomenon time,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5936; levenshtein=0.3158; semantic=0.5697; sequence_match=0.3889,False,0.5174,False,top-3 avg score 0.5174 < final_threshold 0.7
ObjectProperty,has property,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.5435; sequence_match=0.4000,False,0.5154,False,top-3 avg score 0.5154 < final_threshold 0.7
ObjectProperty,has property,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.2727; semantic=0.5374; sequence_match=0.3636,False,0.5142,False,top-3 avg score 0.5142 < final_threshold 0.7
ObjectProperty,has phenomenon time,has geolocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6500; levenshtein=0.4118; semantic=0.4362; sequence_match=0.4516,False,0.5126,False,top-3 avg score 0.5126 < final_threshold 0.7
ObjectProperty,has key performance indicator,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5400; levenshtein=0.3462; semantic=0.5093; sequence_match=0.4865,False,0.5119,False,top-3 avg score 0.5119 < final_threshold 0.7
ObjectProperty,has key performance indicator,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6347; levenshtein=0.2692; semantic=0.5549; sequence_match=0.3429,False,0.5108,False,top-3 avg score 0.5108 < final_threshold 0.7
ObjectProperty,has phenomenon time,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.4910; sequence_match=0.4000,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.7
ObjectProperty,has key performance indicator,has geolocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.4438; sequence_match=0.4500,False,0.5089,False,top-3 avg score 0.5089 < final_threshold 0.7
ObjectProperty,has period,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.3636; semantic=0.5233; sequence_match=0.4000,False,0.5087,False,top-3 avg score 0.5087 < final_threshold 0.7
ObjectProperty,has duration,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.5640; sequence_match=0.3333,False,0.506,False,top-3 avg score 0.5060 < final_threshold 0.7
ObjectProperty,has phenomenon time,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6208; levenshtein=0.3158; semantic=0.4473; sequence_match=0.4444,False,0.5042,False,top-3 avg score 0.5042 < final_threshold 0.7
ObjectProperty,has billing period,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.3684; semantic=0.4785; sequence_match=0.4571,False,0.5011,False,top-3 avg score 0.5011 < final_threshold 0.7
ObjectProperty,has key performance indicator,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6511; levenshtein=0.2308; semantic=0.4880; sequence_match=0.3556,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.7
ObjectProperty,makes measurement,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5560; levenshtein=0.3125; semantic=0.6186; sequence_match=0.3200,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.7
ObjectProperty,applies to,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.4912; sequence_match=0.4000,False,0.498,False,top-3 avg score 0.4980 < final_threshold 0.7
ObjectProperty,applies to,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5463; levenshtein=0.1111; semantic=0.4975; sequence_match=0.4444,False,0.4961,False,top-3 avg score 0.4961 < final_threshold 0.7
ObjectProperty,has billing period,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.3125; semantic=0.5146; sequence_match=0.4000,False,0.4902,False,top-3 avg score 0.4902 < final_threshold 0.7
ObjectProperty,has billing period,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6240; levenshtein=0.3750; semantic=0.4279; sequence_match=0.4000,False,0.484,False,top-3 avg score 0.4840 < final_threshold 0.7
ObjectProperty,has property,has billing,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5242; levenshtein=0.2727; semantic=0.6372; sequence_match=0.2857,False,0.4824,False,top-3 avg score 0.4824 < final_threshold 0.7
ObjectProperty,has billing period,has chemical property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6047; levenshtein=0.3684; semantic=0.3812; sequence_match=0.4571,False,0.481,False,top-3 avg score 0.4810 < final_threshold 0.7
ObjectProperty,has measurement,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5619; levenshtein=0.2857; semantic=0.5407; sequence_match=0.3333,False,0.4786,False,top-3 avg score 0.4786 < final_threshold 0.7
ObjectProperty,has key performance indicator,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6394; levenshtein=0.2308; semantic=0.4334; sequence_match=0.3556,False,0.4761,False,top-3 avg score 0.4761 < final_threshold 0.7
ObjectProperty,has billing period,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5105; sequence_match=0.3333,False,0.4757,False,top-3 avg score 0.4757 < final_threshold 0.7
ObjectProperty,has duration,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.4716; sequence_match=0.3333,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.7
ObjectProperty,applies to,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6053; levenshtein=0.2632; semantic=0.4462; sequence_match=0.3571,False,0.4695,False,top-3 avg score 0.4695 < final_threshold 0.7
ObjectProperty,makes measurement,has physical property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5544; levenshtein=0.3158; semantic=0.5351; sequence_match=0.2857,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,applies to,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2857; semantic=0.4675; sequence_match=0.3478,False,0.4675,False,top-3 avg score 0.4675 < final_threshold 0.7
ObjectProperty,hasGeometry,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5242; levenshtein=0.2727; semantic=0.4971; sequence_match=0.3810,False,0.4674,False,top-3 avg score 0.4674 < final_threshold 0.7
ObjectProperty,applies to,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.4838; sequence_match=0.3529,False,0.4672,False,top-3 avg score 0.4672 < final_threshold 0.7
ObjectProperty,makes measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6269; levenshtein=0.2222; semantic=0.4078; sequence_match=0.3529,False,0.4625,False,top-3 avg score 0.4625 < final_threshold 0.7
ObjectProperty,makes measurement,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5846; levenshtein=0.1875; semantic=0.5047; sequence_match=0.2963,False,0.4619,False,top-3 avg score 0.4619 < final_threshold 0.7
ObjectProperty,isKPIOf,has tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.4594; sequence_match=0.2500,False,0.46,False,top-3 avg score 0.4600 < final_threshold 0.7
ObjectProperty,applies to,has measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4934; levenshtein=0.1429; semantic=0.5138; sequence_match=0.3478,False,0.4517,False,top-3 avg score 0.4517 < final_threshold 0.7
ObjectProperty,makes measurement,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5987; levenshtein=0.3158; semantic=0.4134; sequence_match=0.3429,False,0.4517,False,top-3 avg score 0.4517 < final_threshold 0.7
ObjectProperty,makes measurement,has asset,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5125; levenshtein=0.3750; semantic=0.4637; sequence_match=0.3333,False,0.4504,False,top-3 avg score 0.4504 < final_threshold 0.7
ObjectProperty,applies to,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5497; levenshtein=0.2105; semantic=0.4347; sequence_match=0.3571,False,0.4472,False,top-3 avg score 0.4472 < final_threshold 0.7
ObjectProperty,has key performance indicator,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5391; levenshtein=0.2308; semantic=0.5000; sequence_match=0.2941,False,0.4444,False,top-3 avg score 0.4444 < final_threshold 0.7
ObjectProperty,is measured by device,has physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4968; levenshtein=0.1053; semantic=0.5092; sequence_match=0.3243,False,0.4435,False,top-3 avg score 0.4435 < final_threshold 0.7
ObjectProperty,measurement made by,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4832; levenshtein=0.2353; semantic=0.5392; sequence_match=0.3077,False,0.4434,False,top-3 avg score 0.4434 < final_threshold 0.7
ObjectProperty,has key performance indicator,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5871; levenshtein=0.1923; semantic=0.4547; sequence_match=0.2857,False,0.4425,False,top-3 avg score 0.4425 < final_threshold 0.7
ObjectProperty,applies to,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.2778; semantic=0.4014; sequence_match=0.2963,False,0.4415,False,top-3 avg score 0.4415 < final_threshold 0.7
ObjectProperty,feature is measured by device,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5372; levenshtein=0.2000; semantic=0.5125; sequence_match=0.2727,False,0.4408,False,top-3 avg score 0.4408 < final_threshold 0.7
ObjectProperty,applies to,has tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4815; levenshtein=0.0000; semantic=0.5023; sequence_match=0.3333,False,0.439,False,top-3 avg score 0.4390 < final_threshold 0.7
ObjectProperty,applies to,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5315; levenshtein=0.1000; semantic=0.4681; sequence_match=0.3158,False,0.4385,False,top-3 avg score 0.4385 < final_threshold 0.7
ObjectProperty,has phenomenon time,has tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5033; levenshtein=0.2353; semantic=0.4218; sequence_match=0.3846,False,0.4366,False,top-3 avg score 0.4366 < final_threshold 0.7
ObjectProperty,has billing period,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5456; levenshtein=0.2500; semantic=0.4964; sequence_match=0.2667,False,0.4362,False,top-3 avg score 0.4362 < final_threshold 0.7
ObjectProperty,makes measurement,has tariff,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5648; levenshtein=0.2500; semantic=0.4925; sequence_match=0.2400,False,0.4358,False,top-3 avg score 0.4358 < final_threshold 0.7
ObjectProperty,applies to,defined for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.2000; semantic=0.5551; sequence_match=0.3158,False,0.4347,False,top-3 avg score 0.4347 < final_threshold 0.7
ObjectProperty,hasGeometry,defined for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5045; levenshtein=0.0909; semantic=0.5009; sequence_match=0.2857,False,0.4304,False,top-3 avg score 0.4304 < final_threshold 0.7
ObjectProperty,has billing period,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5223; levenshtein=0.2500; semantic=0.4683; sequence_match=0.2963,False,0.429,False,top-3 avg score 0.4290 < final_threshold 0.7
ObjectProperty,measurement made by,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4982; levenshtein=0.1579; semantic=0.4518; sequence_match=0.3333,False,0.4278,False,top-3 avg score 0.4278 < final_threshold 0.7
ObjectProperty,measurement made by,has chemical property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5196; levenshtein=0.2632; semantic=0.3619; sequence_match=0.3889,False,0.4235,False,top-3 avg score 0.4235 < final_threshold 0.7
ObjectProperty,isKPIOf,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.2222; semantic=0.5169; sequence_match=0.2500,False,0.4232,False,top-3 avg score 0.4232 < final_threshold 0.7
ObjectProperty,isKPIOf,has physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5107; levenshtein=0.1579; semantic=0.5281; sequence_match=0.2308,False,0.4232,False,top-3 avg score 0.4232 < final_threshold 0.7
ObjectProperty,has period,defined for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.4356; sequence_match=0.2105,False,0.4215,False,top-3 avg score 0.4215 < final_threshold 0.7
ObjectProperty,has billing period,defined for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5375; levenshtein=0.2500; semantic=0.4067; sequence_match=0.3077,False,0.4173,False,top-3 avg score 0.4173 < final_threshold 0.7
ObjectProperty,is measured by device,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4778; levenshtein=0.1667; semantic=0.5514; sequence_match=0.2222,False,0.4171,False,top-3 avg score 0.4171 < final_threshold 0.7
ObjectProperty,has phenomenon time,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5314; levenshtein=0.2353; semantic=0.4161; sequence_match=0.2963,False,0.4146,False,top-3 avg score 0.4146 < final_threshold 0.7
ObjectProperty,makes measurement,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4901; levenshtein=0.1875; semantic=0.4858; sequence_match=0.2667,False,0.4142,False,top-3 avg score 0.4142 < final_threshold 0.7
ObjectProperty,has phenomenon time,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5162; levenshtein=0.2353; semantic=0.4398; sequence_match=0.2857,False,0.4139,False,top-3 avg score 0.4139 < final_threshold 0.7
ObjectProperty,isKPIOf,has geolocation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4762; levenshtein=0.2143; semantic=0.4786; sequence_match=0.2857,False,0.4135,False,top-3 avg score 0.4135 < final_threshold 0.7
ObjectProperty,measurement made by,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5217; levenshtein=0.2353; semantic=0.4298; sequence_match=0.2857,False,0.4124,False,top-3 avg score 0.4124 < final_threshold 0.7
ObjectProperty,has key performance indicator,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4974; levenshtein=0.1923; semantic=0.4478; sequence_match=0.2778,False,0.4077,False,top-3 avg score 0.4077 < final_threshold 0.7
ObjectProperty,makes measurement,defined for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4958; levenshtein=0.1250; semantic=0.4947; sequence_match=0.2308,False,0.4071,False,top-3 avg score 0.4071 < final_threshold 0.7
ObjectProperty,makes measurement,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4958; levenshtein=0.1875; semantic=0.4935; sequence_match=0.2308,False,0.4067,False,top-3 avg score 0.4067 < final_threshold 0.7
ObjectProperty,is measured by device,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5097; levenshtein=0.1053; semantic=0.3805; sequence_match=0.3243,False,0.4049,False,top-3 avg score 0.4049 < final_threshold 0.7
ObjectProperty,measurement made by,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4951; levenshtein=0.2353; semantic=0.3949; sequence_match=0.3200,False,0.4033,False,top-3 avg score 0.4033 < final_threshold 0.7
