prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasWineDescriptor,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8824; levenshtein=0.4118; semantic=0.7368; sequence_match=0.5833,False,0.7342,True,selected
ObjectProperty,hasVintageYear,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6640; levenshtein=0.2857; semantic=0.5067; sequence_match=0.4348,False,0.5352,False,top-3 avg score 0.5352 < final_threshold 0.7
ObjectProperty,hasSugar,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5859; sequence_match=0.4000,False,0.529,False,top-3 avg score 0.5290 < final_threshold 0.7
ObjectProperty,hasFlavor,has wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.3333; semantic=0.6195; sequence_match=0.3750,False,0.5273,False,top-3 avg score 0.5273 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasColor,has grape variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5889; levenshtein=0.2667; semantic=0.6354; sequence_match=0.3478,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,hasFlavor,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.4978; sequence_match=0.4444,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,hasSugar,has region,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.4192; sequence_match=0.4706,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic instance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5935; levenshtein=0.2400; semantic=0.5110; sequence_match=0.4103,False,0.5049,False,top-3 avg score 0.5049 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,locatedIn,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.5164; sequence_match=0.3750,False,0.4934,False,top-3 avg score 0.4934 < final_threshold 0.7
ObjectProperty,hasBody,has grape variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5429; levenshtein=0.2667; semantic=0.5476; sequence_match=0.3636,False,0.4847,False,top-3 avg score 0.4847 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic instance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6083; levenshtein=0.2000; semantic=0.5339; sequence_match=0.3030,False,0.4818,False,top-3 avg score 0.4818 < final_threshold 0.7
ObjectProperty,hasBody,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6176; levenshtein=0.3529; semantic=0.4234; sequence_match=0.3846,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic instance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5852; levenshtein=0.2000; semantic=0.5246; sequence_match=0.2941,False,0.468,False,top-3 avg score 0.4680 < final_threshold 0.7
ObjectProperty,locatedIn,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.2222; semantic=0.5409; sequence_match=0.2222,False,0.4643,False,top-3 avg score 0.4643 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic instance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5800; levenshtein=0.2400; semantic=0.4457; sequence_match=0.3529,False,0.4595,False,top-3 avg score 0.4595 < final_threshold 0.7
ObjectProperty,hasSugar,has characteristic instance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6078; levenshtein=0.2000; semantic=0.4595; sequence_match=0.3030,False,0.4568,False,top-3 avg score 0.4568 < final_threshold 0.7
ObjectProperty,madeFromGrape,has wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4799; levenshtein=0.1538; semantic=0.6844; sequence_match=0.2000,False,0.4547,False,top-3 avg score 0.4547 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic instance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6048; levenshtein=0.2800; semantic=0.4375; sequence_match=0.2857,False,0.4427,False,top-3 avg score 0.4427 < final_threshold 0.7
ObjectProperty,hasBody,has characteristic instance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5162; levenshtein=0.1200; semantic=0.5690; sequence_match=0.1875,False,0.4242,False,top-3 avg score 0.4242 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,locatedIn,has grape variety,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5111; levenshtein=0.2000; semantic=0.4638; sequence_match=0.1667,False,0.3916,False,top-3 avg score 0.3916 < final_threshold 0.7
ObjectProperty,madeFromGrape,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5134; levenshtein=0.2308; semantic=0.3639; sequence_match=0.2727,False,0.3833,False,top-3 avg score 0.3833 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic instance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4615; levenshtein=0.2000; semantic=0.3707; sequence_match=0.2105,False,0.3476,False,top-3 avg score 0.3476 < final_threshold 0.7
DatatypeProperty,yearValue,has vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.6890; sequence_match=0.3478,False,0.5379,False,top-3 avg score 0.5379 < final_threshold 0.7
