gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
WineColor,Wine Color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineTaste,Wine Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8828; levenshtein=0.5455; semantic=0.8151; sequence_match=0.7000,False,0.7993,True,selected
wine,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8727; levenshtein=0.3636; semantic=0.8750; sequence_match=0.5333,False,0.7603,False,gold already mapped to 'Wine'
WineGrape,Wine Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8424; levenshtein=0.5455; semantic=0.8287; sequence_match=0.6000,False,0.7571,False,pred already taken by 'WineTaste' (higher averaged score)
WineFlavor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7979; sequence_match=0.5714,False,0.7498,False,pred already taken by 'wine' (higher averaged score)
wine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7772; sequence_match=0.5714,False,0.7429,False,gold already mapped to 'Wine'
VintageYear,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6932; levenshtein=0.2727; semantic=0.8505; sequence_match=0.6364,False,0.7267,False,pred already taken by 'WineTaste' (higher averaged score)
RedWine,Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,pred already taken by 'wine' (higher averaged score)
WineGrape,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8670; levenshtein=0.4000; semantic=0.7423; sequence_match=0.5263,False,0.7119,False,pred already taken by 'Region' (higher averaged score)
WineGrape,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.4444; semantic=0.7574; sequence_match=0.5556,False,0.7117,False,pred already taken by 'WineColor' (higher averaged score)
WineBody,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.6950; sequence_match=0.5882,False,0.7065,False,pred already taken by 'WineColor' (higher averaged score)
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,pred already taken by 'wine' (higher averaged score)
WineSugar,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.5556; semantic=0.6949; sequence_match=0.5556,False,0.6909,False,pred already taken by 'WineColor' (higher averaged score)
WineDescriptor,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8270; levenshtein=0.5000; semantic=0.6281; sequence_match=0.6087,False,0.6879,False,pred already taken by 'WineColor' (higher averaged score)
WineBody,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.4000; semantic=0.6699; sequence_match=0.5556,False,0.6835,False,pred already taken by 'Region' (higher averaged score)
WineColor,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.5000; semantic=0.6874; sequence_match=0.5263,False,0.6779,False,gold already mapped to 'Wine Color'
WineDescriptor,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8493; levenshtein=0.5000; semantic=0.5955; sequence_match=0.5833,False,0.676,False,pred already taken by 'Region' (higher averaged score)
WineDescriptor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7084; sequence_match=0.4444,False,0.67,False,pred already taken by 'wine' (higher averaged score)
WineSugar,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.5000; semantic=0.6540; sequence_match=0.5263,False,0.6668,False,pred already taken by 'Region' (higher averaged score)
WineSugar,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6818; levenshtein=0.4545; semantic=0.7593; sequence_match=0.5000,False,0.647,False,pred already taken by 'WineTaste' (higher averaged score)
WineTaste,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6852; levenshtein=0.4000; semantic=0.7232; sequence_match=0.5263,False,0.6449,False,gold already mapped to 'Wine Vintage'
WhiteWine,Wine Vintage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7385; levenshtein=0.4545; semantic=0.7380; sequence_match=0.4000,False,0.6437,False,pred already taken by 'WineTaste' (higher averaged score)
WineFlavor,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6596; levenshtein=0.3636; semantic=0.7626; sequence_match=0.4762,False,0.6328,False,pred already taken by 'WineTaste' (higher averaged score)
RedWine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7079; levenshtein=0.2000; semantic=0.6945; sequence_match=0.4706,False,0.6243,False,pred already taken by 'Region' (higher averaged score)
WineFlavor,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.6902; sequence_match=0.5000,False,0.6189,False,pred already taken by 'Region' (higher averaged score)
RedWine,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.2727; semantic=0.8164; sequence_match=0.4444,False,0.6168,False,pred already taken by 'WineTaste' (higher averaged score)
WineTaste,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.7754; sequence_match=0.4444,False,0.6165,False,gold already mapped to 'Wine Vintage'
WineBody,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6212; levenshtein=0.3636; semantic=0.7621; sequence_match=0.4211,False,0.6014,False,pred already taken by 'WineTaste' (higher averaged score)
WhiteWine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7300; levenshtein=0.3000; semantic=0.6344; sequence_match=0.4211,False,0.5952,False,top-3 avg score 0.5952 < final_threshold 0.6
WineColor,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6027; levenshtein=0.3636; semantic=0.7699; sequence_match=0.4000,False,0.5909,False,top-3 avg score 0.5909 < final_threshold 0.6
WhiteBordeaux,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6467; levenshtein=0.3077; semantic=0.6635; sequence_match=0.4545,False,0.5883,False,top-3 avg score 0.5883 < final_threshold 0.6
RedWine,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7585; sequence_match=0.5000,False,0.5879,False,top-3 avg score 0.5879 < final_threshold 0.6
Vintage,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
Zinfandel,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.3333; semantic=0.6978; sequence_match=0.4615,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
VintageYear,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.6573; sequence_match=0.4000,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.6
WineDescriptor,Wine Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6645; levenshtein=0.3571; semantic=0.6561; sequence_match=0.4000,False,0.5735,False,top-3 avg score 0.5735 < final_threshold 0.6
WhiteBordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6603; levenshtein=0.2308; semantic=0.6844; sequence_match=0.3529,False,0.5659,False,top-3 avg score 0.5659 < final_threshold 0.6
WhiteWine,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6916; sequence_match=0.4444,False,0.5639,False,top-3 avg score 0.5639 < final_threshold 0.6
RedWine,Grape Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.2500; semantic=0.6332; sequence_match=0.4211,False,0.5631,False,top-3 avg score 0.5631 < final_threshold 0.6
Zinfandel,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6034; levenshtein=0.2727; semantic=0.6785; sequence_match=0.4000,False,0.5606,False,top-3 avg score 0.5606 < final_threshold 0.6
Zinfandel,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6224; sequence_match=0.4444,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
VintageYear,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.6002; sequence_match=0.4000,False,0.5343,False,top-3 avg score 0.5343 < final_threshold 0.6
WhiteBordeaux,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5579; levenshtein=0.3077; semantic=0.6894; sequence_match=0.3333,False,0.5269,False,top-3 avg score 0.5269 < final_threshold 0.6
VintageYear,Grape Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6730; levenshtein=0.0833; semantic=0.6181; sequence_match=0.2609,False,0.5173,False,top-3 avg score 0.5173 < final_threshold 0.6
WhiteBordeaux,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6316; levenshtein=0.3077; semantic=0.5629; sequence_match=0.3478,False,0.5141,False,top-3 avg score 0.5141 < final_threshold 0.6
RedBordeaux,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.0000; semantic=0.6728; sequence_match=0.3000,False,0.5027,False,top-3 avg score 0.5027 < final_threshold 0.6
Vintage,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5417; sequence_match=0.3750,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.6
RedBordeaux,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.1667; semantic=0.5848; sequence_match=0.3478,False,0.4966,False,top-3 avg score 0.4966 < final_threshold 0.6
Vintage,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5516; levenshtein=0.1667; semantic=0.5868; sequence_match=0.3158,False,0.4847,False,top-3 avg score 0.4847 < final_threshold 0.6
VintageYear,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.5609; sequence_match=0.2857,False,0.4771,False,top-3 avg score 0.4771 < final_threshold 0.6
Vintage,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.4932; sequence_match=0.3529,False,0.4733,False,top-3 avg score 0.4733 < final_threshold 0.6
Zinfandel,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.2000; semantic=0.5706; sequence_match=0.3158,False,0.4726,False,top-3 avg score 0.4726 < final_threshold 0.6
WineDescriptor,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5246; levenshtein=0.2857; semantic=0.5671; sequence_match=0.3077,False,0.4665,False,top-3 avg score 0.4665 < final_threshold 0.6
WineBody,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.6068; sequence_match=0.3000,False,0.4597,False,top-3 avg score 0.4597 < final_threshold 0.6
Region,Grape Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.4580; sequence_match=0.3333,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.6
Bordeaux,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4773; levenshtein=0.0909; semantic=0.6868; sequence_match=0.2105,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.6
WineTaste,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.2500; semantic=0.6603; sequence_match=0.2857,False,0.4573,False,top-3 avg score 0.4573 < final_threshold 0.6
wine,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.0833; semantic=0.6511; sequence_match=0.2500,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
WineFlavor,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4944; levenshtein=0.0833; semantic=0.6496; sequence_match=0.1818,False,0.4419,False,top-3 avg score 0.4419 < final_threshold 0.6
WineSugar,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.0833; semantic=0.6214; sequence_match=0.2857,False,0.4413,False,top-3 avg score 0.4413 < final_threshold 0.6
WhiteWine,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1667; semantic=0.5836; sequence_match=0.1905,False,0.434,False,top-3 avg score 0.4340 < final_threshold 0.6
Bordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.6715; sequence_match=0.1667,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
WhiteBordeaux,Grape Variety,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4637; levenshtein=0.2308; semantic=0.5967; sequence_match=0.1600,False,0.4304,False,top-3 avg score 0.4304 < final_threshold 0.6
Bordeaux,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.1667; semantic=0.5562; sequence_match=0.3000,False,0.4289,False,top-3 avg score 0.4289 < final_threshold 0.6
RedBordeaux,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4040; levenshtein=0.0909; semantic=0.6953; sequence_match=0.1818,False,0.4271,False,top-3 avg score 0.4271 < final_threshold 0.6
WineColor,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4630; levenshtein=0.0833; semantic=0.6253; sequence_match=0.1905,False,0.4262,False,top-3 avg score 0.4262 < final_threshold 0.6
RedBordeaux,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4212; levenshtein=0.0909; semantic=0.5687; sequence_match=0.2857,False,0.4252,False,top-3 avg score 0.4252 < final_threshold 0.6
RedBordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4470; levenshtein=0.0909; semantic=0.6875; sequence_match=0.1333,False,0.4226,False,top-3 avg score 0.4226 < final_threshold 0.6
Zinfandel,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4630; levenshtein=0.1667; semantic=0.5752; sequence_match=0.1905,False,0.4095,False,top-3 avg score 0.4095 < final_threshold 0.6
Bordeaux,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4120; levenshtein=0.0000; semantic=0.5736; sequence_match=0.2353,False,0.407,False,top-3 avg score 0.4070 < final_threshold 0.6
Region,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4798; levenshtein=0.1818; semantic=0.4865; sequence_match=0.2353,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.6
Region,Wine Color,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5370; levenshtein=0.2222; semantic=0.4353; sequence_match=0.1333,False,0.3982,False,top-3 avg score 0.3982 < final_threshold 0.6
Region,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1667; semantic=0.5108; sequence_match=0.2000,False,0.3851,False,top-3 avg score 0.3851 < final_threshold 0.6
Bordeaux,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3167; levenshtein=0.1000; semantic=0.5736; sequence_match=0.1111,False,0.3338,False,top-3 avg score 0.3338 < final_threshold 0.6
