role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,has license,haslicense,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9318; sequence_match=1.0000,True,1.0000,True,selected
property,has version,hasversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9590; sequence_match=1.0000,True,1.0000,True,selected
property,has release date,releasedate,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8074; levenshtein=0.7857; semantic=0.8953; sequence_match=0.8800,False,0.8609,True,selected
property,has output,outputs,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8413; levenshtein=0.5556; semantic=0.8712; sequence_match=0.7500,False,0.8208,False,gold already mapped to 'hasoutputformat'
property,has input,hasinputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7311; sequence_match=0.7273,False,0.7909,False,gold already mapped to 'hasvalidinput'
property,is developed by,develops,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.7540; sequence_match=0.6667,False,0.7417,False,gold already mapped to 'developed'
property,has input,isinputfor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7278; levenshtein=0.5000; semantic=0.8217; sequence_match=0.6667,False,0.7387,False,gold already mapped to 'hasvalidinput'
property,has download location,haslocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8169; levenshtein=0.5789; semantic=0.6566; sequence_match=0.7333,False,0.7356,False,pred already taken by 'has documentation' (higher averaged score)
property,has format specification,hasmodification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8496; levenshtein=0.5909; semantic=0.5128; sequence_match=0.7027,False,0.7144,False,gold already mapped to 'hasformat'
property,has output,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.6331; sequence_match=0.6250,False,0.6959,False,gold already mapped to 'hasoutputformat'
property,has output,hasexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.4444; semantic=0.6803; sequence_match=0.5556,False,0.6805,False,gold already mapped to 'hasoutputformat'
property,has documentation,hasmodification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8172; levenshtein=0.5625; semantic=0.5705; sequence_match=0.6452,False,0.6776,False,gold already mapped to 'haslocation'
property,has specified data input,hasvalidinput,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6991; levenshtein=0.4762; semantic=0.7331; sequence_match=0.5882,False,0.6735,False,pred already taken by 'has input' (higher averaged score)
property,has support url,hasexport,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8405; levenshtein=0.5385; semantic=0.5085; sequence_match=0.6364,False,0.6718,False,gold already mapped to 'support'
property,uses platform,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.6451; sequence_match=0.5000,False,0.6706,False,pred already taken by 'uses software' (higher averaged score)
property,has support url,hasurl,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8175; levenshtein=0.4615; semantic=0.5529; sequence_match=0.6316,False,0.6673,False,gold already mapped to 'support'
property,has interface,haslicense,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.5958; sequence_match=0.5455,False,0.6625,False,gold already mapped to 'hasinputformat'
property,has output,hasinputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8449; levenshtein=0.4286; semantic=0.6190; sequence_match=0.5217,False,0.6619,False,gold already mapped to 'hasoutputformat'
property,has output,hasvalidinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7966; levenshtein=0.4615; semantic=0.6408; sequence_match=0.5455,False,0.6609,False,gold already mapped to 'hasoutputformat'
property,has license,haslocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8387; levenshtein=0.4545; semantic=0.5726; sequence_match=0.5714,False,0.6609,False,gold already mapped to 'haslicense'
property,has output,hasformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7926; levenshtein=0.4444; semantic=0.6174; sequence_match=0.5556,False,0.6552,False,gold already mapped to 'hasoutputformat'
property,has interface,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7972; levenshtein=0.4167; semantic=0.6395; sequence_match=0.5263,False,0.6543,False,gold already mapped to 'hasinputformat'
property,has version,haslicense,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6666; sequence_match=0.5000,False,0.6533,False,gold already mapped to 'hasversion'
property,has input,hasexport,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8088; levenshtein=0.5556; semantic=0.5371; sequence_match=0.5882,False,0.6509,False,gold already mapped to 'hasvalidinput'
property,has version,hasexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7900; levenshtein=0.4000; semantic=0.6260; sequence_match=0.5263,False,0.6474,False,gold already mapped to 'hasversion'
property,has input,hasurl,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8056; levenshtein=0.3750; semantic=0.5612; sequence_match=0.5714,False,0.6461,False,gold already mapped to 'hasvalidinput'
property,has format specification,hasinputformat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6898; levenshtein=0.2727; semantic=0.7475; sequence_match=0.5000,False,0.6457,False,gold already mapped to 'hasformat'
property,has interface,hasname,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.5000; semantic=0.5908; sequence_match=0.5263,False,0.6428,False,gold already mapped to 'hasinputformat'
property,has format specification,hasoutputformat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6707; levenshtein=0.3636; semantic=0.7577; sequence_match=0.4865,False,0.6383,False,gold already mapped to 'hasformat'
property,has output,hasurl,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7926; levenshtein=0.4444; semantic=0.5730; sequence_match=0.5333,False,0.6330,False,gold already mapped to 'hasoutputformat'
property,has license,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.5875; sequence_match=0.5000,False,0.6269,False,gold already mapped to 'haslicense'
property,has input,haslicense,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.4000; semantic=0.5248; sequence_match=0.5556,False,0.6254,False,gold already mapped to 'hasvalidinput'
property,has specified data output,hasoutputformat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6535; levenshtein=0.2727; semantic=0.7230; sequence_match=0.4865,False,0.6210,False,pred already taken by 'has output' (higher averaged score)
property,has input,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6326; sequence_match=0.5333,False,0.6188,False,gold already mapped to 'hasvalidinput'
property,has support url,hasformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7966; levenshtein=0.3846; semantic=0.5017; sequence_match=0.5455,False,0.6146,False,gold already mapped to 'support'
property,has input,hasname,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6091; sequence_match=0.5333,False,0.6110,False,gold already mapped to 'hasvalidinput'
property,has version,hasurl,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.4000; semantic=0.6390; sequence_match=0.5000,False,0.6093,False,gold already mapped to 'hasversion'
property,has documentation,hasformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6908; levenshtein=0.4375; semantic=0.5685; sequence_match=0.5600,False,0.6064,False,gold already mapped to 'haslocation'
property,has release date,hasurl,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8111; levenshtein=0.2857; semantic=0.5010; sequence_match=0.5000,False,0.6040,False,gold already mapped to 'releasedate'
property,has documentation,hasname,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8021; levenshtein=0.3125; semantic=0.5743; sequence_match=0.4348,False,0.6037,False,gold already mapped to 'haslocation'
property,has interface,hasformat,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8176; levenshtein=0.4167; semantic=0.5734; sequence_match=0.3810,False,0.6026,False,gold already mapped to 'hasinputformat'
property,has specified data output,hasmodification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7999; levenshtein=0.4091; semantic=0.5212; sequence_match=0.4865,False,0.6025,False,pred already taken by 'has specified data input' (higher averaged score)
property,has license,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.6670; sequence_match=0.4706,False,0.5982,False,top-3 avg score 0.5982 < final_threshold 0.6
property,has download location,hasmodification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6799; levenshtein=0.5263; semantic=0.5061; sequence_match=0.5882,False,0.5981,False,top-3 avg score 0.5981 < final_threshold 0.6
property,has specified data input,hasinputformat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6164; levenshtein=0.2857; semantic=0.7080; sequence_match=0.4571,False,0.5938,False,top-3 avg score 0.5938 < final_threshold 0.6
property,has version,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.3000; semantic=0.6507; sequence_match=0.4706,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.6
property,has version,haslocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6596; levenshtein=0.5455; semantic=0.5408; sequence_match=0.5714,False,0.5922,False,top-3 avg score 0.5922 < final_threshold 0.6
property,has version,hasmodification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.4000; semantic=0.6854; sequence_match=0.4800,False,0.5922,False,top-3 avg score 0.5922 < final_threshold 0.6
property,has website homepage,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6963; levenshtein=0.3889; semantic=0.5783; sequence_match=0.5000,False,0.5915,False,top-3 avg score 0.5915 < final_threshold 0.6
property,is software for,isfree,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7915; levenshtein=0.3846; semantic=0.4567; sequence_match=0.5263,False,0.5915,False,top-3 avg score 0.5915 < final_threshold 0.6
property,has license,hasurl,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.3000; semantic=0.5827; sequence_match=0.5000,False,0.5905,False,top-3 avg score 0.5905 < final_threshold 0.6
property,has format specification,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7970; levenshtein=0.2727; semantic=0.5583; sequence_match=0.4138,False,0.5897,False,top-3 avg score 0.5897 < final_threshold 0.6
property,has documentation,hasinputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7992; levenshtein=0.3125; semantic=0.5027; sequence_match=0.4667,False,0.5895,False,top-3 avg score 0.5895 < final_threshold 0.6
property,has documentation,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6173; levenshtein=0.4375; semantic=0.5952; sequence_match=0.5385,False,0.5837,False,top-3 avg score 0.5837 < final_threshold 0.6
property,has documentation,hashomepage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6913; levenshtein=0.4375; semantic=0.5385; sequence_match=0.5185,False,0.5828,False,top-3 avg score 0.5828 < final_threshold 0.6
property,has version,hasvalidinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6872; levenshtein=0.3846; semantic=0.5327; sequence_match=0.5217,False,0.5805,False,top-3 avg score 0.5805 < final_threshold 0.6
property,has release date,hasformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6984; levenshtein=0.3571; semantic=0.5202; sequence_match=0.5217,False,0.5801,False,top-3 avg score 0.5801 < final_threshold 0.6
property,has license,hasname,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6714; levenshtein=0.4000; semantic=0.5963; sequence_match=0.4706,False,0.5794,False,top-3 avg score 0.5794 < final_threshold 0.6
property,has interface,hashomepage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.5000; semantic=0.5330; sequence_match=0.5217,False,0.5788,False,top-3 avg score 0.5788 < final_threshold 0.6
property,has version,hasname,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.3000; semantic=0.6056; sequence_match=0.4706,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
property,has license,hasvalidinput,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6872; levenshtein=0.4615; semantic=0.5198; sequence_match=0.5217,False,0.5763,False,top-3 avg score 0.5763 < final_threshold 0.6
property,has input,hasversion,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5378; sequence_match=0.5556,False,0.5756,False,top-3 avg score 0.5756 < final_threshold 0.6
property,has documentation,hasoutputformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6972; levenshtein=0.3125; semantic=0.5115; sequence_match=0.5161,False,0.5750,False,top-3 avg score 0.5750 < final_threshold 0.6
property,uses platform,isinputfor,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7135; levenshtein=0.5000; semantic=0.5072; sequence_match=0.4545,False,0.5736,False,top-3 avg score 0.5736 < final_threshold 0.6
property,has format specification,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.3636; semantic=0.5405; sequence_match=0.5000,False,0.5733,False,top-3 avg score 0.5733 < final_threshold 0.6
property,has documentation,haslicense,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3750; semantic=0.5982; sequence_match=0.4615,False,0.5727,False,top-3 avg score 0.5727 < final_threshold 0.6
property,has release date,haslicense,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.4286; semantic=0.5795; sequence_match=0.5000,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.6
property,has format specification,haslocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6553; levenshtein=0.4545; semantic=0.4124; sequence_match=0.6061,False,0.5720,False,top-3 avg score 0.5720 < final_threshold 0.6
property,uses software,usewith,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6437; levenshtein=0.3333; semantic=0.6481; sequence_match=0.4211,False,0.5709,False,top-3 avg score 0.5709 < final_threshold 0.6
property,has license,hasmodification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6189; sequence_match=0.4800,False,0.5700,False,top-3 avg score 0.5700 < final_threshold 0.6
property,is software for,isinputfor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6316; levenshtein=0.3846; semantic=0.5530; sequence_match=0.5217,False,0.5688,False,top-3 avg score 0.5688 < final_threshold 0.6
property,has input,hasoutputformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.5211; sequence_match=0.5217,False,0.5680,False,top-3 avg score 0.5680 < final_threshold 0.6
property,has interface,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.4167; semantic=0.5832; sequence_match=0.4545,False,0.5679,False,top-3 avg score 0.5679 < final_threshold 0.6
property,uses platform,hasinputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7606; levenshtein=0.4286; semantic=0.4807; sequence_match=0.4615,False,0.5676,False,top-3 avg score 0.5676 < final_threshold 0.6
property,has support url,hasoutputformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6530; levenshtein=0.4000; semantic=0.4736; sequence_match=0.5714,False,0.5660,False,top-3 avg score 0.5660 < final_threshold 0.6
property,has output,hashomepage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6700; levenshtein=0.4545; semantic=0.5249; sequence_match=0.5000,False,0.5650,False,top-3 avg score 0.5650 < final_threshold 0.6
property,has input,hasmodification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.3333; semantic=0.6069; sequence_match=0.4348,False,0.5648,False,top-3 avg score 0.5648 < final_threshold 0.6
property,uses platform,support,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6746; levenshtein=0.3333; semantic=0.5950; sequence_match=0.4211,False,0.5635,False,top-3 avg score 0.5635 < final_threshold 0.6
property,has output,haslocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6700; levenshtein=0.4545; semantic=0.5192; sequence_match=0.5000,False,0.5631,False,top-3 avg score 0.5631 < final_threshold 0.6
property,uses platform,hasoutputformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7093; levenshtein=0.4000; semantic=0.4603; sequence_match=0.5185,False,0.5627,False,top-3 avg score 0.5627 < final_threshold 0.6
property,has version,hasformat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.4000; semantic=0.6386; sequence_match=0.4211,False,0.5594,False,top-3 avg score 0.5594 < final_threshold 0.6
property,uses platform,usewith,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.6201; sequence_match=0.4211,False,0.5587,False,top-3 avg score 0.5587 < final_threshold 0.6
property,has interface,hasurl,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.5588; sequence_match=0.4444,False,0.5566,False,top-3 avg score 0.5566 < final_threshold 0.6
property,is developed by,createdby,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3846; semantic=0.6351; sequence_match=0.4545,False,0.5566,False,top-3 avg score 0.5566 < final_threshold 0.6
property,has input,haslocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6212; levenshtein=0.3636; semantic=0.5200; sequence_match=0.5263,False,0.5558,False,top-3 avg score 0.5558 < final_threshold 0.6
property,has license,hasexport,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.6273; sequence_match=0.4211,False,0.5544,False,top-3 avg score 0.5544 < final_threshold 0.6
property,has interface,hasmodification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6917; levenshtein=0.2667; semantic=0.6010; sequence_match=0.3704,False,0.5543,False,top-3 avg score 0.5543 < final_threshold 0.6
property,has license,hashomepage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6515; levenshtein=0.4545; semantic=0.5319; sequence_match=0.4762,False,0.5532,False,top-3 avg score 0.5532 < final_threshold 0.6
property,has website homepage,haslicense,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6487; levenshtein=0.3333; semantic=0.5811; sequence_match=0.4286,False,0.5528,False,top-3 avg score 0.5528 < final_threshold 0.6
property,has output,hasmodification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.6086; sequence_match=0.4167,False,0.5516,False,top-3 avg score 0.5516 < final_threshold 0.6
property,has release date,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.3571; semantic=0.6172; sequence_match=0.4167,False,0.5515,False,top-3 avg score 0.5515 < final_threshold 0.6
property,has input,hasformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.5337; sequence_match=0.4706,False,0.5508,False,top-3 avg score 0.5508 < final_threshold 0.6
property,has support url,hasinputformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6456; levenshtein=0.3571; semantic=0.4876; sequence_match=0.5185,False,0.5506,False,top-3 avg score 0.5506 < final_threshold 0.6
property,has website homepage,hasinputformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.4793; sequence_match=0.5000,False,0.5504,False,top-3 avg score 0.5504 < final_threshold 0.6
property,has interface,hasvalidinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5983; levenshtein=0.2308; semantic=0.5721; sequence_match=0.4800,False,0.5501,False,top-3 avg score 0.5501 < final_threshold 0.6
property,has specified data output,hasvalidinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6413; levenshtein=0.3636; semantic=0.5509; sequence_match=0.4571,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.6
property,has specified data input,haslocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6611; levenshtein=0.3333; semantic=0.4830; sequence_match=0.5000,False,0.5480,False,top-3 avg score 0.5480 < final_threshold 0.6
property,has version,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3000; semantic=0.5303; sequence_match=0.4286,False,0.5474,False,top-3 avg score 0.5474 < final_threshold 0.6
property,has specified data input,isinputfor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5175; levenshtein=0.1429; semantic=0.7345; sequence_match=0.3871,False,0.5464,False,top-3 avg score 0.5464 < final_threshold 0.6
property,has interface,hasoutputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.3333; semantic=0.5573; sequence_match=0.4444,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.6
property,has interface,hasexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.5869; sequence_match=0.3810,False,0.5448,False,top-3 avg score 0.5448 < final_threshold 0.6
property,has release date,hasexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.5410; sequence_match=0.4348,False,0.5396,False,top-3 avg score 0.5396 < final_threshold 0.6
property,has interface,isinputfor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.3333; semantic=0.5704; sequence_match=0.4545,False,0.5379,False,top-3 avg score 0.5379 < final_threshold 0.6
property,has version,hasinputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6857; levenshtein=0.2857; semantic=0.5932; sequence_match=0.3333,False,0.5374,False,top-3 avg score 0.5374 < final_threshold 0.6
property,has release date,canread,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.4454; sequence_match=0.4762,False,0.5374,False,top-3 avg score 0.5374 < final_threshold 0.6
property,has release date,haslocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6580; levenshtein=0.2857; semantic=0.4740; sequence_match=0.4800,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.6
property,uses platform,hasexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6442; levenshtein=0.3333; semantic=0.4901; sequence_match=0.4762,False,0.5368,False,top-3 avg score 0.5368 < final_threshold 0.6
property,uses platform,hasformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6442; levenshtein=0.2500; semantic=0.4888; sequence_match=0.4762,False,0.5364,False,top-3 avg score 0.5364 < final_threshold 0.6
property,has support url,hasversion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6316; levenshtein=0.3077; semantic=0.5412; sequence_match=0.4348,False,0.5359,False,top-3 avg score 0.5359 < final_threshold 0.6
property,has input,support,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.6050; sequence_match=0.4000,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.6
property,is software for,isfoss,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.2308; semantic=0.5110; sequence_match=0.4211,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.6
property,has input,canexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.4831; sequence_match=0.4706,False,0.5340,False,top-3 avg score 0.5340 < final_threshold 0.6
property,has specified data input,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2381; semantic=0.5930; sequence_match=0.3571,False,0.5336,False,top-3 avg score 0.5336 < final_threshold 0.6
property,has support url,canexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6467; levenshtein=0.3846; semantic=0.4966; sequence_match=0.4545,False,0.5326,False,top-3 avg score 0.5326 < final_threshold 0.6
property,has specified data output,hasformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6465; levenshtein=0.2727; semantic=0.5629; sequence_match=0.3871,False,0.5322,False,top-3 avg score 0.5322 < final_threshold 0.6
property,has support url,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.5658; sequence_match=0.4000,False,0.5307,False,top-3 avg score 0.5307 < final_threshold 0.6
property,implements,haslicense,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.3000; semantic=0.5687; sequence_match=0.4000,False,0.5303,False,top-3 avg score 0.5303 < final_threshold 0.6
property,has specified data input,hasformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.5396; sequence_match=0.4000,False,0.5301,False,top-3 avg score 0.5301 < final_threshold 0.6
property,has documentation,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6089; levenshtein=0.2500; semantic=0.6317; sequence_match=0.3478,False,0.5295,False,top-3 avg score 0.5295 < final_threshold 0.6
property,has output,support,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6233; levenshtein=0.3333; semantic=0.5849; sequence_match=0.3750,False,0.5277,False,top-3 avg score 0.5277 < final_threshold 0.6
property,has interface,haslocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6447; levenshtein=0.2500; semantic=0.5031; sequence_match=0.4348,False,0.5275,False,top-3 avg score 0.5275 < final_threshold 0.6
property,has input,outputs,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5809; sequence_match=0.4000,False,0.5274,False,top-3 avg score 0.5274 < final_threshold 0.6
property,has documentation,hasexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.5538; sequence_match=0.4000,False,0.5263,False,top-3 avg score 0.5263 < final_threshold 0.6
