gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Free,Free,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Not Free,Non-Free,semantic+jaro_winkler+levenshtein,jaro_winkler=0.9238; levenshtein=0.8571; semantic=0.9493; sequence_match=0.8571,False,0.9101,True,selected
Not Free,Free,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.7279; sequence_match=0.7273,False,0.6755,False,gold already mapped to 'Non-Free'
version number,Tool Version,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5821; levenshtein=0.2308; semantic=0.8552; sequence_match=0.5833,False,0.6735,False,gold already mapped to 'Version'
CEL ASCII format,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.5000; semantic=0.6978; sequence_match=0.5833,False,0.6715,False,gold already mapped to 'CEL File Format'
data format specification,Valid Input Specification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6721; levenshtein=0.6522; semantic=0.6691; sequence_match=0.6522,False,0.6645,False,gold already mapped to 'Data Format'
data format specification,Open Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6263; levenshtein=0.2609; semantic=0.8013; sequence_match=0.5405,False,0.656,False,gold already mapped to 'Data Format'
software developer role,Software Source,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8437; levenshtein=0.5238; semantic=0.5884; sequence_match=0.5143,False,0.652,False,gold already mapped to 'Developer'
software developer role,Software License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8332; levenshtein=0.5238; semantic=0.5670; sequence_match=0.5556,False,0.6519,False,gold already mapped to 'Developer'
Open source software license,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7105; levenshtein=0.3600; semantic=0.7204; sequence_match=0.5128,False,0.6479,False,gold already mapped to 'Open Source License'
CEL binary format,Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.4667; semantic=0.7060; sequence_match=0.5600,False,0.6469,False,gold already mapped to 'Open Data Format'
version number,Tool Version Export,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6295; levenshtein=0.4118; semantic=0.6942; sequence_match=0.6000,False,0.6412,False,gold already mapped to 'Version'
CEL binary format,CSV Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6529; levenshtein=0.4667; semantic=0.6687; sequence_match=0.5833,False,0.635,False,gold already mapped to 'Open Data Format'
licence,Software License,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5429; levenshtein=0.4000; semantic=0.8068; sequence_match=0.5455,False,0.6317,False,pred already taken by 'software developer organization' (higher averaged score)
plain text file format,Open Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6670; levenshtein=0.4211; semantic=0.6691; sequence_match=0.5455,False,0.6272,False,gold already mapped to 'TXT Format'
software developer organization,Open Source Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6105; levenshtein=0.3103; semantic=0.7109; sequence_match=0.5600,False,0.6271,False,gold already mapped to 'Software License'
software developer organization,Proprietary Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6687; levenshtein=0.3103; semantic=0.6625; sequence_match=0.5490,False,0.6267,False,gold already mapped to 'Software License'
application programming interface,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.4194; semantic=0.7137; sequence_match=0.5200,False,0.6246,False,pred already taken by 'programming language' (higher averaged score)
CEL ASCII format,Open Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6310; levenshtein=0.4286; semantic=0.6664; sequence_match=0.5714,False,0.6229,False,gold already mapped to 'CEL File Format'
data item,Data Tool Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6699; levenshtein=0.3077; semantic=0.6261; sequence_match=0.5714,False,0.6225,False,gold already mapped to 'Data'
Development status,Maintenance Status,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6435; levenshtein=0.3529; semantic=0.6796; sequence_match=0.5294,False,0.6175,False,gold already mapped to 'Development Model'
software developer organization,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6220; levenshtein=0.3103; semantic=0.7488; sequence_match=0.4737,False,0.6148,False,gold already mapped to 'Software License'
CEL binary format,Proprietary Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6009; levenshtein=0.4762; semantic=0.6846; sequence_match=0.5556,False,0.6137,False,gold already mapped to 'Open Data Format'
data format specification,Proprietary Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6156; levenshtein=0.1304; semantic=0.7653; sequence_match=0.4545,False,0.6118,False,gold already mapped to 'Data Format'
software developer role,Open Source Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6587; levenshtein=0.3333; semantic=0.5998; sequence_match=0.5714,False,0.61,False,gold already mapped to 'Developer'
software,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.3750; semantic=0.5712; sequence_match=0.5333,False,0.6059,False,gold already mapped to 'Software Type'
software,Non-Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.2500; semantic=0.5857; sequence_match=0.5333,False,0.6032,False,gold already mapped to 'Software Type'
Source code available,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6680; levenshtein=0.2105; semantic=0.6387; sequence_match=0.5000,False,0.6022,False,gold already mapped to 'Open Source Development'
software developer organization,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6927; levenshtein=0.3448; semantic=0.6220; sequence_match=0.4878,False,0.6009,False,gold already mapped to 'Software License'
licence,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5361; levenshtein=0.3529; semantic=0.7575; sequence_match=0.5000,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.6
software developer organization,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6914; levenshtein=0.3448; semantic=0.6624; sequence_match=0.4186,False,0.5908,False,top-3 avg score 0.5908 < final_threshold 0.6
Not Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7302; levenshtein=0.4167; semantic=0.5026; sequence_match=0.5263,False,0.5864,False,top-3 avg score 0.5864 < final_threshold 0.6
data format specification,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8348; levenshtein=0.1739; semantic=0.6226; sequence_match=0.2963,False,0.5846,False,top-3 avg score 0.5846 < final_threshold 0.6
Development status,Open Source Development,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5045; levenshtein=0.2381; semantic=0.6691; sequence_match=0.5789,False,0.5842,False,top-3 avg score 0.5842 < final_threshold 0.6
software developer role,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.3333; semantic=0.5767; sequence_match=0.5405,False,0.584,False,top-3 avg score 0.5840 < final_threshold 0.6
CEL ASCII format,TXT Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.4286; semantic=0.6409; sequence_match=0.5217,False,0.5833,False,top-3 avg score 0.5833 < final_threshold 0.6
algorithm,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.2222; semantic=0.5765; sequence_match=0.4706,False,0.5805,False,top-3 avg score 0.5805 < final_threshold 0.6
plain text file format,Proprietary Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6232; levenshtein=0.4286; semantic=0.6660; sequence_match=0.4500,False,0.5797,False,top-3 avg score 0.5797 < final_threshold 0.6
software developer role,Proprietary Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6010; levenshtein=0.3636; semantic=0.5739; sequence_match=0.5581,False,0.5777,False,top-3 avg score 0.5777 < final_threshold 0.6
Source code available,Software Source,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5944; levenshtein=0.2105; semantic=0.7674; sequence_match=0.3636,False,0.5752,False,top-3 avg score 0.5752 < final_threshold 0.6
Development status,Proprietary Development,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4447; levenshtein=0.2273; semantic=0.7114; sequence_match=0.5641,False,0.5734,False,top-3 avg score 0.5734 < final_threshold 0.6
Not Free,Software License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6968; levenshtein=0.3333; semantic=0.5658; sequence_match=0.4545,False,0.5724,False,top-3 avg score 0.5724 < final_threshold 0.6
CEL ASCII format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.4286; semantic=0.4402; sequence_match=0.5455,False,0.5706,False,top-3 avg score 0.5706 < final_threshold 0.6
plain text file format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6294; levenshtein=0.4211; semantic=0.4779; sequence_match=0.5926,False,0.5666,False,top-3 avg score 0.5666 < final_threshold 0.6
Not Free,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.3571; semantic=0.5886; sequence_match=0.4762,False,0.5629,False,top-3 avg score 0.5629 < final_threshold 0.6
CEL binary format,TXT Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.4000; semantic=0.6078; sequence_match=0.5000,False,0.5619,False,top-3 avg score 0.5619 < final_threshold 0.6
version number,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.2308; semantic=0.5455; sequence_match=0.4800,False,0.5617,False,top-3 avg score 0.5617 < final_threshold 0.6
plain text file format,Data Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4535; levenshtein=0.4211; semantic=0.6665; sequence_match=0.5517,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
Free,Feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.5216; sequence_match=0.5455,False,0.5541,False,top-3 avg score 0.5541 < final_threshold 0.6
CEL ASCII format,Proprietary Data Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5423; levenshtein=0.3810; semantic=0.6606; sequence_match=0.4571,False,0.5533,False,top-3 avg score 0.5533 < final_threshold 0.6
data item,Open Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6151; levenshtein=0.3571; semantic=0.5887; sequence_match=0.4545,False,0.5528,False,top-3 avg score 0.5528 < final_threshold 0.6
version number,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3077; semantic=0.6230; sequence_match=0.4545,False,0.5525,False,top-3 avg score 0.5525 < final_threshold 0.6
data format specification,TXT Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6464; levenshtein=0.3043; semantic=0.5699; sequence_match=0.4375,False,0.5513,False,top-3 avg score 0.5513 < final_threshold 0.6
web service,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.5539; sequence_match=0.4545,False,0.551,False,top-3 avg score 0.5510 < final_threshold 0.6
Maintained,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3000; semantic=0.5377; sequence_match=0.4286,False,0.5499,False,top-3 avg score 0.5499 < final_threshold 0.6
data item,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5297; sequence_match=0.4706,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.6
Open source software license,Software Type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.3600; semantic=0.5787; sequence_match=0.4865,False,0.5476,False,top-3 avg score 0.5476 < final_threshold 0.6
software interface,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6735; levenshtein=0.3529; semantic=0.5936; sequence_match=0.3704,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.6
CEL binary format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.4469; sequence_match=0.5217,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.6
CEL ASCII format,Collaborator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6944; levenshtein=0.2857; semantic=0.3954; sequence_match=0.5385,False,0.5428,False,top-3 avg score 0.5428 < final_threshold 0.6
data format specification,Modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6027; levenshtein=0.4348; semantic=0.4519; sequence_match=0.5714,False,0.542,False,top-3 avg score 0.5420 < final_threshold 0.6
text editing,Modification,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.1667; semantic=0.6315; sequence_match=0.4348,False,0.5411,False,top-3 avg score 0.5411 < final_threshold 0.6
text editing,TXT Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.6198; sequence_match=0.4000,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
Not Free,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5689; sequence_match=0.4286,False,0.5388,False,top-3 avg score 0.5388 < final_threshold 0.6
file rendering,Free,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6859; levenshtein=0.3077; semantic=0.4568; sequence_match=0.4706,False,0.5377,False,top-3 avg score 0.5377 < final_threshold 0.6
Free,Software License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6500; levenshtein=0.2667; semantic=0.5405; sequence_match=0.4211,False,0.5372,False,top-3 avg score 0.5372 < final_threshold 0.6
Maintained,Modification,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2500; semantic=0.5997; sequence_match=0.3636,False,0.5359,False,top-3 avg score 0.5359 < final_threshold 0.6
application programming interface,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6526; levenshtein=0.2258; semantic=0.5917; sequence_match=0.3590,False,0.5344,False,top-3 avg score 0.5344 < final_threshold 0.6
Free,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6548; levenshtein=0.2857; semantic=0.5025; sequence_match=0.4444,False,0.5339,False,top-3 avg score 0.5339 < final_threshold 0.6
Source code available,Proprietary Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5718; levenshtein=0.2727; semantic=0.6394; sequence_match=0.3902,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.6
algorithm,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.5617; sequence_match=0.4211,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.6
Not Free,Homepage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5971; sequence_match=0.4000,False,0.5328,False,top-3 avg score 0.5328 < final_threshold 0.6
Free,Software Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.4306; sequence_match=0.5000,False,0.5324,False,top-3 avg score 0.5324 < final_threshold 0.6
Not Free,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5913; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.6
PROcess,Help Resource,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5770; levenshtein=0.2500; semantic=0.4866; sequence_match=0.5263,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.6
software interface,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6811; levenshtein=0.2941; semantic=0.5751; sequence_match=0.3333,False,0.5299,False,top-3 avg score 0.5299 < final_threshold 0.6
programming language,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6135; levenshtein=0.2632; semantic=0.6093; sequence_match=0.3636,False,0.5288,False,top-3 avg score 0.5288 < final_threshold 0.6
CEL binary format,Collaborator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6722; levenshtein=0.3333; semantic=0.3939; sequence_match=0.5185,False,0.5282,False,top-3 avg score 0.5282 < final_threshold 0.6
web service,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5651; levenshtein=0.2143; semantic=0.5164; sequence_match=0.5000,False,0.5272,False,top-3 avg score 0.5272 < final_threshold 0.6
software interface,Non-Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6256; levenshtein=0.2353; semantic=0.5320; sequence_match=0.4167,False,0.5248,False,top-3 avg score 0.5248 < final_threshold 0.6
Source code available,Software License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2632; semantic=0.5885; sequence_match=0.3529,False,0.5241,False,top-3 avg score 0.5241 < final_threshold 0.6
software developer organization,Development Model,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5546; levenshtein=0.2759; semantic=0.6060; sequence_match=0.4000,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
data format specification,CSV Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5512; levenshtein=0.2609; semantic=0.6321; sequence_match=0.3750,False,0.5194,False,top-3 avg score 0.5194 < final_threshold 0.6
function,Version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.5557; sequence_match=0.4000,False,0.519,False,top-3 avg score 0.5190 < final_threshold 0.6
data item,Feature,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5434; sequence_match=0.4000,False,0.5149,False,top-3 avg score 0.5149 < final_threshold 0.6
Source code available,Programming Language,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5307; levenshtein=0.1579; semantic=0.6447; sequence_match=0.3684,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.6
Source code available,Help Resource,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5709; levenshtein=0.1579; semantic=0.5828; sequence_match=0.3871,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.6
desktop graphical user interface,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.2069; semantic=0.6407; sequence_match=0.3158,False,0.5114,False,top-3 avg score 0.5114 < final_threshold 0.6
function,Community,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5935; levenshtein=0.1111; semantic=0.5836; sequence_match=0.3529,False,0.51,False,top-3 avg score 0.5100 < final_threshold 0.6
software,Homepage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.3750; semantic=0.5715; sequence_match=0.3750,False,0.5099,False,top-3 avg score 0.5099 < final_threshold 0.6
Not Free,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5361; levenshtein=0.2353; semantic=0.5761; sequence_match=0.4167,False,0.5096,False,top-3 avg score 0.5096 < final_threshold 0.6
desktop graphical user interface,Web Service,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6023; levenshtein=0.2069; semantic=0.5650; sequence_match=0.3590,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.6
data format specification,CEL File Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5464; levenshtein=0.1739; semantic=0.6457; sequence_match=0.3333,False,0.5085,False,top-3 avg score 0.5085 < final_threshold 0.6
web service,Software License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.2667; semantic=0.4961; sequence_match=0.4000,False,0.5077,False,top-3 avg score 0.5077 < final_threshold 0.6
file rendering,Non-Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2308; semantic=0.4899; sequence_match=0.4000,False,0.5076,False,top-3 avg score 0.5076 < final_threshold 0.6
plain text file format,CSV Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.3860; levenshtein=0.3158; semantic=0.7081; sequence_match=0.4286,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.6
licence,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6028; levenshtein=0.2941; semantic=0.5030; sequence_match=0.4167,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.6
software interface,Help Resource,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6291; levenshtein=0.2941; semantic=0.5482; sequence_match=0.3448,False,0.5074,False,top-3 avg score 0.5074 < final_threshold 0.6
web service,Open Source License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6087; levenshtein=0.3529; semantic=0.4670; sequence_match=0.4444,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.6
data format specification,Data Tool Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6205; levenshtein=0.3043; semantic=0.5095; sequence_match=0.3889,False,0.5063,False,top-3 avg score 0.5063 < final_threshold 0.6
Open source software license,Non-Free,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5879; levenshtein=0.2400; semantic=0.5546; sequence_match=0.3750,False,0.5058,False,top-3 avg score 0.5058 < final_threshold 0.6
