prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has billing period,has billing period,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has measurement,is measurement of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8302; levenshtein=0.7333; semantic=0.8585; sequence_match=0.8276,False,0.8387,True,selected
ObjectProperty,measurement made by,is measurement of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7329; levenshtein=0.5294; semantic=0.8057; sequence_match=0.6875,False,0.742,False,pred already taken by 'has measurement'
ObjectProperty,has property,has chemical property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.6113; sequence_match=0.7333,False,0.7347,False,gold already mapped to 'has physical property'
ObjectProperty,measurement made by,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6881; levenshtein=0.2632; semantic=0.8156; sequence_match=0.6111,False,0.7049,False,pred already taken by 'makes measurement'
ObjectProperty,makes measurement,has measured property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6343; levenshtein=0.4737; semantic=0.8070; sequence_match=0.6286,False,0.69,False,top-3 avg score 0.6900 < final_threshold 0.7
ObjectProperty,has measurement,is measured property of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6714; levenshtein=0.4500; semantic=0.8094; sequence_match=0.5882,False,0.6897,False,top-3 avg score 0.6897 < final_threshold 0.7
ObjectProperty,is measured by device,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6550; levenshtein=0.2632; semantic=0.7978; sequence_match=0.5405,False,0.6644,False,top-3 avg score 0.6644 < final_threshold 0.7
ObjectProperty,has key performance indicator,has defined water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8149; levenshtein=0.5385; semantic=0.5467; sequence_match=0.6000,False,0.6538,False,top-3 avg score 0.6538 < final_threshold 0.7
ObjectProperty,has property,is measured property of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7030; levenshtein=0.5000; semantic=0.6061; sequence_match=0.6452,False,0.6514,False,top-3 avg score 0.6514 < final_threshold 0.7
ObjectProperty,measurement made by,has measured property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6403; levenshtein=0.3684; semantic=0.7519; sequence_match=0.5556,False,0.6492,False,top-3 avg score 0.6492 < final_threshold 0.7
ObjectProperty,measurement made by,is measured property of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6414; levenshtein=0.3500; semantic=0.7504; sequence_match=0.5405,False,0.6441,False,top-3 avg score 0.6441 < final_threshold 0.7
ObjectProperty,is measured by device,has measured property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6391; levenshtein=0.4737; semantic=0.7522; sequence_match=0.5405,False,0.644,False,top-3 avg score 0.6440 < final_threshold 0.7
ObjectProperty,makes measurement,is measured property of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6083; levenshtein=0.3500; semantic=0.7622; sequence_match=0.5556,False,0.642,False,top-3 avg score 0.6420 < final_threshold 0.7
ObjectProperty,has property,has component,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6923; levenshtein=0.4167; semantic=0.5721; sequence_match=0.6087,False,0.6243,False,top-3 avg score 0.6243 < final_threshold 0.7
ObjectProperty,hasGeometry,has component,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6923; levenshtein=0.3333; semantic=0.5714; sequence_match=0.6087,False,0.6241,False,top-3 avg score 0.6241 < final_threshold 0.7
ObjectProperty,has duration,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.6119; sequence_match=0.5517,False,0.6208,False,top-3 avg score 0.6208 < final_threshold 0.7
ObjectProperty,has period,is billing period of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6346; levenshtein=0.3529; semantic=0.6781; sequence_match=0.5385,False,0.6171,False,top-3 avg score 0.6171 < final_threshold 0.7
ObjectProperty,has phenomenon time,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8346; levenshtein=0.4118; semantic=0.4837; sequence_match=0.4828,False,0.6004,False,top-3 avg score 0.6004 < final_threshold 0.7
ObjectProperty,feature is measured by device,has measured property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6065; levenshtein=0.4000; semantic=0.6697; sequence_match=0.5000,False,0.5921,False,top-3 avg score 0.5921 < final_threshold 0.7
ObjectProperty,hasGeometry,has measured property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3684; semantic=0.6058; sequence_match=0.4667,False,0.5875,False,top-3 avg score 0.5875 < final_threshold 0.7
ObjectProperty,hasGeometry,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3684; semantic=0.5381; sequence_match=0.5333,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.7
ObjectProperty,feature is measured by device,is measured property of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5951; levenshtein=0.3600; semantic=0.6761; sequence_match=0.4889,False,0.5867,False,top-3 avg score 0.5867 < final_threshold 0.7
ObjectProperty,feature is measured by device,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6065; levenshtein=0.4000; semantic=0.6862; sequence_match=0.4545,False,0.5824,False,top-3 avg score 0.5824 < final_threshold 0.7
ObjectProperty,has measurement,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.4286; semantic=0.5588; sequence_match=0.5385,False,0.5814,False,top-3 avg score 0.5814 < final_threshold 0.7
ObjectProperty,feature is measured by device,is measurement of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5729; levenshtein=0.4000; semantic=0.6508; sequence_match=0.5000,False,0.5746,False,top-3 avg score 0.5746 < final_threshold 0.7
ObjectProperty,has phenomenon time,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6618; levenshtein=0.3333; semantic=0.6391; sequence_match=0.4000,False,0.567,False,top-3 avg score 0.5670 < final_threshold 0.7
ObjectProperty,has measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7956; levenshtein=0.3889; semantic=0.4617; sequence_match=0.4375,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.7
ObjectProperty,hasGeometry,is measured property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6449; levenshtein=0.3000; semantic=0.5946; sequence_match=0.4516,False,0.5637,False,top-3 avg score 0.5637 < final_threshold 0.7
ObjectProperty,has period,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.5412; sequence_match=0.4762,False,0.5614,False,top-3 avg score 0.5614 < final_threshold 0.7
ObjectProperty,has period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.6083; sequence_match=0.4444,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has period,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5721; sequence_match=0.4286,False,0.5561,False,top-3 avg score 0.5561 < final_threshold 0.7
ObjectProperty,has duration,has billing period,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5960; levenshtein=0.3125; semantic=0.6173; sequence_match=0.4444,False,0.5526,False,top-3 avg score 0.5526 < final_threshold 0.7
ObjectProperty,has period,has measured property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6866; levenshtein=0.3158; semantic=0.5421; sequence_match=0.4286,False,0.5524,False,top-3 avg score 0.5524 < final_threshold 0.7
ObjectProperty,hasGeometry,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.4743; sequence_match=0.4828,False,0.5519,False,top-3 avg score 0.5519 < final_threshold 0.7
ObjectProperty,has key performance indicator,has component,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8035; levenshtein=0.3462; semantic=0.5022; sequence_match=0.3158,False,0.5506,False,top-3 avg score 0.5506 < final_threshold 0.7
ObjectProperty,has key performance indicator,is defined water indicator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6560; levenshtein=0.3846; semantic=0.5130; sequence_match=0.4706,False,0.5465,False,top-3 avg score 0.5465 < final_threshold 0.7
ObjectProperty,has duration,has measured property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6744; levenshtein=0.3158; semantic=0.5603; sequence_match=0.4000,False,0.5449,False,top-3 avg score 0.5449 < final_threshold 0.7
ObjectProperty,has property,has billing period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6402; levenshtein=0.3750; semantic=0.5440; sequence_match=0.4444,False,0.5429,False,top-3 avg score 0.5429 < final_threshold 0.7
ObjectProperty,hasGeometry,has physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5730; levenshtein=0.3158; semantic=0.6535; sequence_match=0.4000,False,0.5422,False,top-3 avg score 0.5422 < final_threshold 0.7
ObjectProperty,has duration,is measurement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6058; levenshtein=0.2667; semantic=0.5565; sequence_match=0.4615,False,0.5413,False,top-3 avg score 0.5413 < final_threshold 0.7
ObjectProperty,has duration,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.3333; semantic=0.5548; sequence_match=0.4348,False,0.5386,False,top-3 avg score 0.5386 < final_threshold 0.7
ObjectProperty,has measurement,has physical property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6225; levenshtein=0.3684; semantic=0.6223; sequence_match=0.3636,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,has property,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6406; levenshtein=0.3889; semantic=0.4725; sequence_match=0.4828,False,0.5319,False,top-3 avg score 0.5319 < final_threshold 0.7
ObjectProperty,has period,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6866; levenshtein=0.3158; semantic=0.4686; sequence_match=0.4286,False,0.5279,False,top-3 avg score 0.5279 < final_threshold 0.7
ObjectProperty,has measurement,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6685; levenshtein=0.4211; semantic=0.4881; sequence_match=0.4242,False,0.5269,False,top-3 avg score 0.5269 < final_threshold 0.7
ObjectProperty,has billing period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.2778; semantic=0.5210; sequence_match=0.4118,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,has key performance indicator,has measured property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6777; levenshtein=0.2692; semantic=0.5389; sequence_match=0.3556,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,hasGeometry,is measurement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5582; levenshtein=0.3333; semantic=0.5458; sequence_match=0.4615,False,0.5218,False,top-3 avg score 0.5218 < final_threshold 0.7
ObjectProperty,has key performance indicator,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6382; levenshtein=0.3846; semantic=0.4251; sequence_match=0.5000,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,has phenomenon time,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5936; levenshtein=0.3158; semantic=0.5697; sequence_match=0.3889,False,0.5174,False,top-3 avg score 0.5174 < final_threshold 0.7
ObjectProperty,has duration,has defined water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6570; levenshtein=0.3333; semantic=0.4294; sequence_match=0.4571,False,0.5145,False,top-3 avg score 0.5145 < final_threshold 0.7
ObjectProperty,has duration,is measured property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6258; levenshtein=0.3000; semantic=0.5257; sequence_match=0.3871,False,0.5128,False,top-3 avg score 0.5128 < final_threshold 0.7
ObjectProperty,isKPIOf,is measured property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5905; levenshtein=0.2500; semantic=0.5708; sequence_match=0.3704,False,0.5105,False,top-3 avg score 0.5105 < final_threshold 0.7
ObjectProperty,has phenomenon time,is measurement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6516; levenshtein=0.2353; semantic=0.4401; sequence_match=0.4375,False,0.5097,False,top-3 avg score 0.5097 < final_threshold 0.7
ObjectProperty,has phenomenon time,has measured property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6049; levenshtein=0.2632; semantic=0.5327; sequence_match=0.3889,False,0.5088,False,top-3 avg score 0.5088 < final_threshold 0.7
ObjectProperty,has measurement,has defined water indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2917; semantic=0.4923; sequence_match=0.4211,False,0.5079,False,top-3 avg score 0.5079 < final_threshold 0.7
ObjectProperty,isKPIOf,is component of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5430; levenshtein=0.3846; semantic=0.4779; sequence_match=0.5000,False,0.507,False,top-3 avg score 0.5070 < final_threshold 0.7
ObjectProperty,has duration,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.5640; sequence_match=0.3333,False,0.506,False,top-3 avg score 0.5060 < final_threshold 0.7
ObjectProperty,hasGeometry,has billing period,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6402; levenshtein=0.2500; semantic=0.4314; sequence_match=0.4444,False,0.5053,False,top-3 avg score 0.5053 < final_threshold 0.7
ObjectProperty,has phenomenon time,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6208; levenshtein=0.3158; semantic=0.4473; sequence_match=0.4444,False,0.5042,False,top-3 avg score 0.5042 < final_threshold 0.7
ObjectProperty,has period,is measured property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6380; levenshtein=0.3000; semantic=0.4531; sequence_match=0.4138,False,0.5016,False,top-3 avg score 0.5016 < final_threshold 0.7
ObjectProperty,has billing period,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.3684; semantic=0.4785; sequence_match=0.4571,False,0.5011,False,top-3 avg score 0.5011 < final_threshold 0.7
ObjectProperty,applies to,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.2500; semantic=0.5041; sequence_match=0.3810,False,0.4987,False,top-3 avg score 0.4987 < final_threshold 0.7
ObjectProperty,has key performance indicator,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6511; levenshtein=0.2308; semantic=0.4880; sequence_match=0.3556,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.7
ObjectProperty,isKPIOf,is billing period of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5189; levenshtein=0.3529; semantic=0.4727; sequence_match=0.5000,False,0.4972,False,top-3 avg score 0.4972 < final_threshold 0.7
ObjectProperty,has period,has defined water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6422; levenshtein=0.2917; semantic=0.4080; sequence_match=0.4242,False,0.4915,False,top-3 avg score 0.4915 < final_threshold 0.7
ObjectProperty,has duration,provides measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5911; levenshtein=0.1579; semantic=0.5478; sequence_match=0.3333,False,0.4907,False,top-3 avg score 0.4907 < final_threshold 0.7
ObjectProperty,has billing period,has defined water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6547; levenshtein=0.3333; semantic=0.3652; sequence_match=0.4500,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.7
ObjectProperty,hasGeometry,is component of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5464; levenshtein=0.2308; semantic=0.5019; sequence_match=0.4167,False,0.4883,False,top-3 avg score 0.4883 < final_threshold 0.7
ObjectProperty,has key performance indicator,is measured property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6801; levenshtein=0.1923; semantic=0.4799; sequence_match=0.3043,False,0.4881,False,top-3 avg score 0.4881 < final_threshold 0.7
ObjectProperty,has phenomenon time,provides measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6049; levenshtein=0.2105; semantic=0.4677; sequence_match=0.3889,False,0.4872,False,top-3 avg score 0.4872 < final_threshold 0.7
ObjectProperty,is measured by device,is defined water indicator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6231; levenshtein=0.2800; semantic=0.4643; sequence_match=0.3721,False,0.4865,False,top-3 avg score 0.4865 < final_threshold 0.7
ObjectProperty,applies to,is measurement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2667; semantic=0.4917; sequence_match=0.3333,False,0.4861,False,top-3 avg score 0.4861 < final_threshold 0.7
ObjectProperty,has key performance indicator,has billing period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6126; levenshtein=0.2308; semantic=0.4589; sequence_match=0.3810,False,0.4842,False,top-3 avg score 0.4842 < final_threshold 0.7
ObjectProperty,applies to,has billing period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.3125; semantic=0.4259; sequence_match=0.4000,False,0.4836,False,top-3 avg score 0.4836 < final_threshold 0.7
ObjectProperty,makes measurement,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5139; levenshtein=0.3125; semantic=0.5045; sequence_match=0.4286,False,0.4823,False,top-3 avg score 0.4823 < final_threshold 0.7
ObjectProperty,has key performance indicator,is measurement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5976; levenshtein=0.3077; semantic=0.5068; sequence_match=0.3415,False,0.4819,False,top-3 avg score 0.4819 < final_threshold 0.7
ObjectProperty,has billing period,has chemical property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6047; levenshtein=0.3684; semantic=0.3812; sequence_match=0.4571,False,0.481,False,top-3 avg score 0.4810 < final_threshold 0.7
ObjectProperty,isKPIOf,is measurement of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4730; levenshtein=0.2667; semantic=0.6013; sequence_match=0.3636,False,0.4793,False,top-3 avg score 0.4793 < final_threshold 0.7
ObjectProperty,has phenomenon time,has billing period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5735; levenshtein=0.2353; semantic=0.4944; sequence_match=0.3636,False,0.4772,False,top-3 avg score 0.4772 < final_threshold 0.7
ObjectProperty,has key performance indicator,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6394; levenshtein=0.2308; semantic=0.4334; sequence_match=0.3556,False,0.4761,False,top-3 avg score 0.4761 < final_threshold 0.7
ObjectProperty,has duration,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.4716; sequence_match=0.3333,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.7
ObjectProperty,hasGeometry,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4537; levenshtein=0.2105; semantic=0.5696; sequence_match=0.4000,False,0.4745,False,top-3 avg score 0.4745 < final_threshold 0.7
ObjectProperty,applies to,is measured property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5664; levenshtein=0.2500; semantic=0.4420; sequence_match=0.4138,False,0.4741,False,top-3 avg score 0.4741 < final_threshold 0.7
ObjectProperty,has property,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5093; levenshtein=0.2105; semantic=0.5103; sequence_match=0.4000,False,0.4732,False,top-3 avg score 0.4732 < final_threshold 0.7
ObjectProperty,hasGeometry,has defined water indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6427; levenshtein=0.2917; semantic=0.4334; sequence_match=0.3429,False,0.473,False,top-3 avg score 0.4730 < final_threshold 0.7
ObjectProperty,has period,is measurement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2667; semantic=0.4484; sequence_match=0.3333,False,0.4717,False,top-3 avg score 0.4717 < final_threshold 0.7
ObjectProperty,has period,uses tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.4752; sequence_match=0.3158,False,0.4698,False,top-3 avg score 0.4698 < final_threshold 0.7
ObjectProperty,applies to,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6053; levenshtein=0.2632; semantic=0.4462; sequence_match=0.3571,False,0.4695,False,top-3 avg score 0.4695 < final_threshold 0.7
ObjectProperty,has billing period,has component,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5784; levenshtein=0.3125; semantic=0.4728; sequence_match=0.3571,False,0.4694,False,top-3 avg score 0.4694 < final_threshold 0.7
ObjectProperty,makes measurement,has physical property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5544; levenshtein=0.3158; semantic=0.5351; sequence_match=0.2857,False,0.4684,False,top-3 avg score 0.4684 < final_threshold 0.7
ObjectProperty,has key performance indicator,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5588; levenshtein=0.1538; semantic=0.5628; sequence_match=0.2667,False,0.4627,False,top-3 avg score 0.4627 < final_threshold 0.7
ObjectProperty,makes measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6269; levenshtein=0.2222; semantic=0.4078; sequence_match=0.3529,False,0.4625,False,top-3 avg score 0.4625 < final_threshold 0.7
ObjectProperty,applies to,is component of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5427; levenshtein=0.3077; semantic=0.4782; sequence_match=0.3636,False,0.4615,False,top-3 avg score 0.4615 < final_threshold 0.7
ObjectProperty,makes measurement,uses tariff,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5375; levenshtein=0.2500; semantic=0.5391; sequence_match=0.3077,False,0.4614,False,top-3 avg score 0.4614 < final_threshold 0.7
ObjectProperty,has property,is component of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5464; levenshtein=0.2308; semantic=0.4207; sequence_match=0.4167,False,0.4612,False,top-3 avg score 0.4612 < final_threshold 0.7
ObjectProperty,feature is measured by device,has defined water indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6083; levenshtein=0.1600; semantic=0.4074; sequence_match=0.3673,False,0.461,False,top-3 avg score 0.4610 < final_threshold 0.7
ObjectProperty,is measured by device,has defined water indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5989; levenshtein=0.2500; semantic=0.4435; sequence_match=0.3333,False,0.4586,False,top-3 avg score 0.4586 < final_threshold 0.7
ObjectProperty,has measurement,has billing period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5456; levenshtein=0.2500; semantic=0.4964; sequence_match=0.3333,False,0.4585,False,top-3 avg score 0.4585 < final_threshold 0.7
ObjectProperty,has billing period,has measured property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5570; levenshtein=0.2632; semantic=0.4662; sequence_match=0.3429,False,0.4554,False,top-3 avg score 0.4554 < final_threshold 0.7
ObjectProperty,makes measurement,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5987; levenshtein=0.3158; semantic=0.4134; sequence_match=0.3429,False,0.4517,False,top-3 avg score 0.4517 < final_threshold 0.7
ObjectProperty,feature is measured by device,is defined water indicator of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6000; levenshtein=0.0800; semantic=0.3935; sequence_match=0.3600,False,0.4512,False,top-3 avg score 0.4512 < final_threshold 0.7
ObjectProperty,applies to,provides measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4729; levenshtein=0.1579; semantic=0.5190; sequence_match=0.3571,False,0.4497,False,top-3 avg score 0.4497 < final_threshold 0.7
ObjectProperty,has measurement,is component of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5139; levenshtein=0.1429; semantic=0.4583; sequence_match=0.3704,False,0.4475,False,top-3 avg score 0.4475 < final_threshold 0.7
ObjectProperty,applies to,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5497; levenshtein=0.2105; semantic=0.4347; sequence_match=0.3571,False,0.4472,False,top-3 avg score 0.4472 < final_threshold 0.7
ObjectProperty,has phenomenon time,is component of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6295; levenshtein=0.2941; semantic=0.3760; sequence_match=0.3333,False,0.4463,False,top-3 avg score 0.4463 < final_threshold 0.7
ObjectProperty,has duration,uses tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6040; levenshtein=0.2727; semantic=0.4448; sequence_match=0.2857,False,0.4448,False,top-3 avg score 0.4448 < final_threshold 0.7
ObjectProperty,is measured by device,has physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4968; levenshtein=0.1053; semantic=0.5092; sequence_match=0.3243,False,0.4435,False,top-3 avg score 0.4435 < final_threshold 0.7
ObjectProperty,measurement made by,has component,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5065; levenshtein=0.2353; semantic=0.4089; sequence_match=0.4138,False,0.4431,False,top-3 avg score 0.4431 < final_threshold 0.7
ObjectProperty,has phenomenon time,is measured property of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5627; levenshtein=0.2000; semantic=0.4926; sequence_match=0.2703,False,0.4419,False,top-3 avg score 0.4419 < final_threshold 0.7
