prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,implements,implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9185; levenshtein=0.6923; semantic=0.8329; sequence_match=0.7826,False,0.8446,True,selected
ObjectProperty,implements,is implementation of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7467; levenshtein=0.5000; semantic=0.7761; sequence_match=0.6429,False,0.7219,False,gold already mapped to 'implemented in'
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,False,gold already mapped to 'runs on platform'
ObjectProperty,uses software,is software type of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6861; levenshtein=0.4375; semantic=0.7688; sequence_match=0.6429,False,0.6993,False,top-3 avg score 0.6993 < final_threshold 0.7
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,is alternative format of,is input format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7808; levenshtein=0.5238; semantic=0.6623; sequence_match=0.6111,False,0.6847,False,top-3 avg score 0.6847 < final_threshold 0.7
ObjectProperty,is alternative format of,is output format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5714; semantic=0.7144; sequence_match=0.6486,False,0.6845,False,top-3 avg score 0.6845 < final_threshold 0.7
ObjectProperty,is alternative format of,is export format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7664; levenshtein=0.5714; semantic=0.6796; sequence_match=0.5946,False,0.6802,False,top-3 avg score 0.6802 < final_threshold 0.7
ObjectProperty,is software for,is platform for,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8236; levenshtein=0.5385; semantic=0.6574; sequence_match=0.4615,False,0.6731,False,top-3 avg score 0.6731 < final_threshold 0.7
ObjectProperty,has interface,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8464; levenshtein=0.4167; semantic=0.6034; sequence_match=0.5455,False,0.6651,False,top-3 avg score 0.6651 < final_threshold 0.7
ObjectProperty,has output,is output format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7384; levenshtein=0.3750; semantic=0.6818; sequence_match=0.5600,False,0.6601,False,top-3 avg score 0.6601 < final_threshold 0.7
ObjectProperty,is software for,has software type,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6530; levenshtein=0.6000; semantic=0.6819; sequence_match=0.6429,False,0.6593,False,top-3 avg score 0.6593 < final_threshold 0.7
ObjectProperty,has output,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8449; levenshtein=0.4286; semantic=0.6085; sequence_match=0.5217,False,0.6584,False,top-3 avg score 0.6584 < final_threshold 0.7
ObjectProperty,has format specification,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6707; levenshtein=0.3636; semantic=0.8151; sequence_match=0.4865,False,0.6574,False,top-3 avg score 0.6574 < final_threshold 0.7
ObjectProperty,has output,can work with output of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6202; levenshtein=0.3684; semantic=0.8261; sequence_match=0.5000,False,0.6487,False,top-3 avg score 0.6487 < final_threshold 0.7
ObjectProperty,has format specification,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6898; levenshtein=0.2727; semantic=0.7557; sequence_match=0.5000,False,0.6485,False,top-3 avg score 0.6485 < final_threshold 0.7
ObjectProperty,has output,is output worked with by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7093; levenshtein=0.3000; semantic=0.7288; sequence_match=0.4828,False,0.6403,False,top-3 avg score 0.6403 < final_threshold 0.7
ObjectProperty,is developed by,is performed by,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7615; levenshtein=0.5385; semantic=0.5019; sequence_match=0.6154,False,0.6385,False,top-3 avg score 0.6385 < final_threshold 0.7
ObjectProperty,has license,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has version,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7933; levenshtein=0.3000; semantic=0.6209; sequence_match=0.5000,False,0.6381,False,top-3 avg score 0.6381 < final_threshold 0.7
ObjectProperty,has input,is input format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6611; levenshtein=0.3333; semantic=0.7176; sequence_match=0.5217,False,0.6335,False,top-3 avg score 0.6335 < final_threshold 0.7
ObjectProperty,has specified data output,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6535; levenshtein=0.2727; semantic=0.7590; sequence_match=0.4865,False,0.633,False,top-3 avg score 0.6330 < final_threshold 0.7
ObjectProperty,has function,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.5455; semantic=0.6556; sequence_match=0.5714,False,0.6289,False,top-3 avg score 0.6289 < final_threshold 0.7
ObjectProperty,has input,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7958; levenshtein=0.4000; semantic=0.5326; sequence_match=0.5556,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,uses software,uses algorithm,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6774; levenshtein=0.3077; semantic=0.7035; sequence_match=0.4800,False,0.6203,False,top-3 avg score 0.6203 < final_threshold 0.7
ObjectProperty,has version,has developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6444; levenshtein=0.4167; semantic=0.6634; sequence_match=0.5455,False,0.6178,False,top-3 avg score 0.6178 < final_threshold 0.7
ObjectProperty,has specified data input,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6164; levenshtein=0.2857; semantic=0.7702; sequence_match=0.4571,False,0.6146,False,top-3 avg score 0.6146 < final_threshold 0.7
ObjectProperty,is developed by,is used by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6816; levenshtein=0.4615; semantic=0.5749; sequence_match=0.5714,False,0.6093,False,top-3 avg score 0.6093 < final_threshold 0.7
ObjectProperty,has interface,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7965; levenshtein=0.4000; semantic=0.5767; sequence_match=0.4444,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,has version,version has export format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6515; levenshtein=0.2273; semantic=0.7162; sequence_match=0.4375,False,0.6017,False,top-3 avg score 0.6017 < final_threshold 0.7
ObjectProperty,is software for,is export format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7787; levenshtein=0.3750; semantic=0.5375; sequence_match=0.4828,False,0.5997,False,top-3 avg score 0.5997 < final_threshold 0.7
ObjectProperty,has specified data input,created data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7119; levenshtein=0.3333; semantic=0.6269; sequence_match=0.4375,False,0.5921,False,top-3 avg score 0.5921 < final_threshold 0.7
ObjectProperty,is alternative format of,can write format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.4762; semantic=0.6142; sequence_match=0.5143,False,0.5905,False,top-3 avg score 0.5905 < final_threshold 0.7
ObjectProperty,is alternative format of,can read format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6385; levenshtein=0.4286; semantic=0.6007; sequence_match=0.5294,False,0.5895,False,top-3 avg score 0.5895 < final_threshold 0.7
ObjectProperty,has input,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.5856; sequence_match=0.5217,False,0.5895,False,top-3 avg score 0.5895 < final_threshold 0.7
ObjectProperty,has format specification,is export format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6263; levenshtein=0.2273; semantic=0.7140; sequence_match=0.4211,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.7
ObjectProperty,has input,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5624; sequence_match=0.5556,False,0.5838,False,top-3 avg score 0.5838 < final_threshold 0.7
ObjectProperty,is alternative format of,is platform for,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6688; levenshtein=0.4762; semantic=0.4912; sequence_match=0.5882,False,0.5827,False,top-3 avg score 0.5827 < final_threshold 0.7
ObjectProperty,has format specification,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6795; levenshtein=0.3636; semantic=0.5628; sequence_match=0.5000,False,0.5808,False,top-3 avg score 0.5808 < final_threshold 0.7
ObjectProperty,has function,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8224; levenshtein=0.3571; semantic=0.5156; sequence_match=0.4000,False,0.5793,False,top-3 avg score 0.5793 < final_threshold 0.7
ObjectProperty,has format specification,can write format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.2727; semantic=0.7566; sequence_match=0.3889,False,0.5784,False,top-3 avg score 0.5784 < final_threshold 0.7
ObjectProperty,has interface,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.4167; semantic=0.6129; sequence_match=0.4545,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.7
ObjectProperty,is alternative format of,has output format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5810; levenshtein=0.3810; semantic=0.6520; sequence_match=0.5000,False,0.5777,False,top-3 avg score 0.5777 < final_threshold 0.7
ObjectProperty,uses platform,is export format of,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6597; levenshtein=0.5000; semantic=0.4072; sequence_match=0.5714,False,0.5771,False,top-3 avg score 0.5771 < final_threshold 0.7
ObjectProperty,has format specification,is output format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5777; levenshtein=0.3182; semantic=0.7237; sequence_match=0.4211,False,0.5741,False,top-3 avg score 0.5741 < final_threshold 0.7
ObjectProperty,is encoded in,implemented in,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6773; levenshtein=0.4615; semantic=0.4160; sequence_match=0.5833,False,0.5741,False,top-3 avg score 0.5741 < final_threshold 0.7
ObjectProperty,is alternative format of,version has export format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6654; levenshtein=0.2273; semantic=0.5443; sequence_match=0.5116,False,0.5738,False,top-3 avg score 0.5738 < final_threshold 0.7
ObjectProperty,has output,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.5865; sequence_match=0.4762,False,0.5734,False,top-3 avg score 0.5734 < final_threshold 0.7
ObjectProperty,is developed by,created by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5801; levenshtein=0.3846; semantic=0.6828; sequence_match=0.4545,False,0.5725,False,top-3 avg score 0.5725 < final_threshold 0.7
ObjectProperty,has specified data output,created data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6545; levenshtein=0.3182; semantic=0.6385; sequence_match=0.4242,False,0.5724,False,top-3 avg score 0.5724 < final_threshold 0.7
ObjectProperty,has output,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6889; levenshtein=0.4000; semantic=0.5274; sequence_match=0.5000,False,0.5721,False,top-3 avg score 0.5721 < final_threshold 0.7
ObjectProperty,is alternative format of,has input format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6183; levenshtein=0.3810; semantic=0.6313; sequence_match=0.4571,False,0.5689,False,top-3 avg score 0.5689 < final_threshold 0.7
ObjectProperty,has function,has capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6134; levenshtein=0.3077; semantic=0.6756; sequence_match=0.4167,False,0.5686,False,top-3 avg score 0.5686 < final_threshold 0.7
ObjectProperty,has license,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.4167; semantic=0.6046; sequence_match=0.4545,False,0.5679,False,top-3 avg score 0.5679 < final_threshold 0.7
ObjectProperty,uses platform,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7606; levenshtein=0.4286; semantic=0.4778; sequence_match=0.4615,False,0.5666,False,top-3 avg score 0.5666 < final_threshold 0.7
ObjectProperty,has format specification,version has export format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6147; levenshtein=0.1818; semantic=0.6756; sequence_match=0.4091,False,0.5665,False,top-3 avg score 0.5665 < final_threshold 0.7
ObjectProperty,uses platform,has output format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7093; levenshtein=0.4000; semantic=0.4688; sequence_match=0.5185,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.7
ObjectProperty,has format specification,is input format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5929; levenshtein=0.2273; semantic=0.6703; sequence_match=0.4324,False,0.5652,False,top-3 avg score 0.5652 < final_threshold 0.7
ObjectProperty,has format specification,can read format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5523; levenshtein=0.2273; semantic=0.7381; sequence_match=0.4000,False,0.5635,False,top-3 avg score 0.5635 < final_threshold 0.7
ObjectProperty,has clause,has capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5733; sequence_match=0.4545,False,0.5606,False,top-3 avg score 0.5606 < final_threshold 0.7
ObjectProperty,has input,has capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6816; levenshtein=0.3846; semantic=0.5232; sequence_match=0.4762,False,0.5603,False,top-3 avg score 0.5603 < final_threshold 0.7
ObjectProperty,has interface,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.3333; semantic=0.5970; sequence_match=0.4444,False,0.5591,False,top-3 avg score 0.5591 < final_threshold 0.7
ObjectProperty,is alternative format of,is implementation of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6958; levenshtein=0.3333; semantic=0.4532; sequence_match=0.5128,False,0.5539,False,top-3 avg score 0.5539 < final_threshold 0.7
ObjectProperty,has clause,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6198; sequence_match=0.4211,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,is alternative format of,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6378; levenshtein=0.3810; semantic=0.5785; sequence_match=0.4375,False,0.5513,False,top-3 avg score 0.5513 < final_threshold 0.7
ObjectProperty,has function,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.3636; semantic=0.6131; sequence_match=0.3810,False,0.5512,False,top-3 avg score 0.5512 < final_threshold 0.7
ObjectProperty,has clause,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.3333; semantic=0.5837; sequence_match=0.4762,False,0.5502,False,top-3 avg score 0.5502 < final_threshold 0.7
ObjectProperty,is software for,is output format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6775; levenshtein=0.3125; semantic=0.4894; sequence_match=0.4828,False,0.5499,False,top-3 avg score 0.5499 < final_threshold 0.7
ObjectProperty,has interface,has developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.6160; sequence_match=0.4167,False,0.5479,False,top-3 avg score 0.5479 < final_threshold 0.7
ObjectProperty,has specified data output,can work with output of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5868; levenshtein=0.3182; semantic=0.7129; sequence_match=0.3415,False,0.5471,False,top-3 avg score 0.5471 < final_threshold 0.7
ObjectProperty,has format specification,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6707; levenshtein=0.2727; semantic=0.5358; sequence_match=0.4324,False,0.5463,False,top-3 avg score 0.5463 < final_threshold 0.7
ObjectProperty,is developed by,is readable by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6774; levenshtein=0.4615; semantic=0.4807; sequence_match=0.4800,False,0.546,False,top-3 avg score 0.5460 < final_threshold 0.7
ObjectProperty,has output,has capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6467; levenshtein=0.3077; semantic=0.6225; sequence_match=0.3636,False,0.5443,False,top-3 avg score 0.5443 < final_threshold 0.7
ObjectProperty,is developed by,is output worked with by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6301; levenshtein=0.3500; semantic=0.5155; sequence_match=0.4848,False,0.5435,False,top-3 avg score 0.5435 < final_threshold 0.7
ObjectProperty,has interface,can perform task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5992; levenshtein=0.2857; semantic=0.5568; sequence_match=0.4615,False,0.5392,False,top-3 avg score 0.5392 < final_threshold 0.7
ObjectProperty,has interface,can write format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6627; levenshtein=0.2857; semantic=0.4900; sequence_match=0.4615,False,0.5381,False,top-3 avg score 0.5381 < final_threshold 0.7
ObjectProperty,implements,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6596; levenshtein=0.2727; semantic=0.4774; sequence_match=0.4762,False,0.5377,False,top-3 avg score 0.5377 < final_threshold 0.7
ObjectProperty,has function,has output format,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6534; levenshtein=0.4000; semantic=0.5589; sequence_match=0.3846,False,0.5374,False,top-3 avg score 0.5374 < final_threshold 0.7
ObjectProperty,has license,has capability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5615; levenshtein=0.2308; semantic=0.6141; sequence_match=0.4348,False,0.5368,False,top-3 avg score 0.5368 < final_threshold 0.7
ObjectProperty,has declared status,created data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7324; levenshtein=0.3529; semantic=0.4462; sequence_match=0.4286,False,0.5357,False,top-3 avg score 0.5357 < final_threshold 0.7
ObjectProperty,is encoded in,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.1818; semantic=0.5018; sequence_match=0.4545,False,0.5326,False,top-3 avg score 0.5326 < final_threshold 0.7
ObjectProperty,has specified data output,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6229; levenshtein=0.3182; semantic=0.5828; sequence_match=0.3889,False,0.5315,False,top-3 avg score 0.5315 < final_threshold 0.7
ObjectProperty,is software for,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6297; levenshtein=0.2308; semantic=0.5443; sequence_match=0.4167,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,implements,has license,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6222; levenshtein=0.3000; semantic=0.5676; sequence_match=0.4000,False,0.53,False,top-3 avg score 0.5300 < final_threshold 0.7
ObjectProperty,is alternative format of,is license of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6748; levenshtein=0.3333; semantic=0.4141; sequence_match=0.5000,False,0.5296,False,top-3 avg score 0.5296 < final_threshold 0.7
ObjectProperty,has declared status,has developer,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6708; levenshtein=0.3529; semantic=0.4352; sequence_match=0.4828,False,0.5296,False,top-3 avg score 0.5296 < final_threshold 0.7
ObjectProperty,uses platform,version has export format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6626; levenshtein=0.3636; semantic=0.4508; sequence_match=0.4706,False,0.528,False,top-3 avg score 0.5280 < final_threshold 0.7
ObjectProperty,is software for,is used by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6026; levenshtein=0.2308; semantic=0.5919; sequence_match=0.3810,False,0.5251,False,top-3 avg score 0.5251 < final_threshold 0.7
ObjectProperty,is encoded in,is performed by,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6134; levenshtein=0.4615; semantic=0.3867; sequence_match=0.5000,False,0.525,False,top-3 avg score 0.5250 < final_threshold 0.7
ObjectProperty,has output,has version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.3000; semantic=0.6060; sequence_match=0.4211,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.7
ObjectProperty,is encoded in,is license of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6623; levenshtein=0.2727; semantic=0.4537; sequence_match=0.4545,False,0.5235,False,top-3 avg score 0.5235 < final_threshold 0.7
ObjectProperty,is encoded in,is readable by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6237; levenshtein=0.2500; semantic=0.5104; sequence_match=0.4348,False,0.523,False,top-3 avg score 0.5230 < final_threshold 0.7
ObjectProperty,implements,is performed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6282; levenshtein=0.3077; semantic=0.5051; sequence_match=0.4348,False,0.5227,False,top-3 avg score 0.5227 < final_threshold 0.7
ObjectProperty,uses software,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6237; levenshtein=0.1667; semantic=0.5077; sequence_match=0.4348,False,0.5221,False,top-3 avg score 0.5221 < final_threshold 0.7
ObjectProperty,has input,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5492; sequence_match=0.4000,False,0.5201,False,top-3 avg score 0.5201 < final_threshold 0.7
ObjectProperty,has version,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6857; levenshtein=0.2857; semantic=0.5403; sequence_match=0.3333,False,0.5198,False,top-3 avg score 0.5198 < final_threshold 0.7
ObjectProperty,uses platform,is performed by,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6596; levenshtein=0.2308; semantic=0.4109; sequence_match=0.4800,False,0.5168,False,top-3 avg score 0.5168 < final_threshold 0.7
ObjectProperty,has clause,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3333; semantic=0.4993; sequence_match=0.4167,False,0.5164,False,top-3 avg score 0.5164 < final_threshold 0.7
ObjectProperty,uses platform,can perform task,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6627; levenshtein=0.2143; semantic=0.4991; sequence_match=0.3846,False,0.5155,False,top-3 avg score 0.5155 < final_threshold 0.7
ObjectProperty,has specified data output,has capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6413; levenshtein=0.2727; semantic=0.5018; sequence_match=0.4000,False,0.5143,False,top-3 avg score 0.5143 < final_threshold 0.7
ObjectProperty,is software for,is input format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6530; levenshtein=0.3333; semantic=0.4598; sequence_match=0.4286,False,0.5138,False,top-3 avg score 0.5138 < final_threshold 0.7
ObjectProperty,is software for,can write format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.1429; semantic=0.4661; sequence_match=0.4444,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.7
ObjectProperty,has specified data input,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6302; levenshtein=0.2857; semantic=0.5230; sequence_match=0.3871,False,0.5134,False,top-3 avg score 0.5134 < final_threshold 0.7
ObjectProperty,has function,has developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5657; levenshtein=0.2500; semantic=0.6242; sequence_match=0.3478,False,0.5126,False,top-3 avg score 0.5126 < final_threshold 0.7
ObjectProperty,has specified data input,has capability,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6485; levenshtein=0.2857; semantic=0.4765; sequence_match=0.4118,False,0.5122,False,top-3 avg score 0.5122 < final_threshold 0.7
ObjectProperty,has specified data input,is input format of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5131; levenshtein=0.1905; semantic=0.6891; sequence_match=0.3333,False,0.5118,False,top-3 avg score 0.5118 < final_threshold 0.7
ObjectProperty,uses software,runs on platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6468; levenshtein=0.2857; semantic=0.5037; sequence_match=0.3846,False,0.5117,False,top-3 avg score 0.5117 < final_threshold 0.7
ObjectProperty,uses platform,is implementation of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6204; levenshtein=0.3333; semantic=0.5123; sequence_match=0.4000,False,0.5109,False,top-3 avg score 0.5109 < final_threshold 0.7
ObjectProperty,has license,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5213; sequence_match=0.4000,False,0.5108,False,top-3 avg score 0.5108 < final_threshold 0.7
ObjectProperty,has specified data output,has version,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6251; levenshtein=0.2727; semantic=0.5316; sequence_match=0.3750,False,0.5106,False,top-3 avg score 0.5106 < final_threshold 0.7
ObjectProperty,has interface,is input format of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5881; levenshtein=0.3333; semantic=0.4981; sequence_match=0.4444,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.7
